IARE_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
IARE503002,8,14,22,131,150,278,4,7,8,143,170,313,13,26,41,141,141,279,0,5,4,154,178,330,5,4,5,46,35,76,0,4,6,49,34,83,0,0,0,6,5,9,0,0,0,6,4,8,23,27,46,109,77,186,7,0,7,131,105,236,11,7,16,95,31,125,4,0,3,111,40,147,4,4,5,11,11,21,0,0,0,11,17,30,5,0,9,60,42,107,0,5,3,69,44,113,17,14,29,130,167,301,0,0,0,146,187,332,0,0,0,21,9,26,0,0,0,17,13,32,12,12,27,95,108,205,0,5,9,116,128,240,129,132,257,1031,789,1827,19,18,36,1181,941,2119,18,17,37,66,39,106,550,395,946,636,452,1087,199,216,421,1647,1321,2972,573,421,997,2428,1963,4389,134,139,270,1084,835,1923,18,18,40,1237,991,2233,34,50,79,335,290,633,7,6,8,374,347,716,9,8,17,110,104,213,0,4
IARE503003,30,48,83,627,911,1531,14,8,22,672,967,1639,51,86,136,814,938,1753,4,4,11,865,1034,1899,17,16,30,255,266,517,3,0,3,271,284,554,3,13,20,32,63,92,0,0,5,41,77,114,85,96,178,605,442,1048,3,4,7,691,540,1232,29,36,65,411,237,648,4,3,11,442,277,722,21,25,41,100,92,197,6,0,6,131,120,245,14,16,31,176,151,328,5,3,6,194,168,361,48,76,123,652,1103,1754,0,5,11,706,1184,1883,14,11,26,79,66,146,0,0,0,84,84,166,61,63,125,663,833,1491,7,5,9,726,901,1626,642,606,1246,8943,7792,16735,38,30,65,9623,8423,18046,293,160,452,594,493,1088,1378,1086,2469,2267,1741,4006,1196,1031,2231,12626,11632,24258,1446,1133,2581,15265,13805,29072,675,626,1303,9335,8212,17548,43,34,71,10053,8862,18923,169,150,317,2018,2026,4048,19,6,24,2206,2182,4387,30,67,98,432,626,1054,5,0
IARE503004,5,15,17,16,16,33,0,0,0,23,33,55,12,37,52,28,23,48,0,0,0,44,64,107,3,4,10,3,8,8,0,0,0,8,11,19,3,11,14,0,0,0,0,0,0,3,11,14,59,97,154,13,13,24,0,0,0,73,107,180,32,47,79,11,4,19,0,0,0,42,52,95,20,25,42,4,0,4,0,0,0,17,25,44,3,12,19,9,4,8,0,0,0,12,13,31,10,15,26,19,18,42,0,0,0,34,32,69,8,6,5,0,0,0,0,0,0,8,6,11,41,49,88,20,12,34,0,0,0,59,65,121,354,341,697,306,121,427,6,0,4,662,466,1122,28,37,62,23,5,23,391,130,519,439,163,600,508,534,1044,422,189,609,393,127,523,1325,855,2177,378,367,741,318,126,445,6,0,4,702,495,1192,73,67,137,71,41,107,0,0,3,145,103,248,19,47,68,7,8,16,0,0
IARE503005,9,8,15,38,26,63,0,0,0,47,29,77,14,12,22,57,42,100,0,0,0,70,52,125,0,0,0,8,10,17,0,0,0,8,10,17,0,0,3,0,0,0,0,0,0,3,4,3,14,21,30,28,13,38,0,0,0,35,30,68,4,3,8,18,7,29,0,0,0,24,5,32,0,4,4,12,0,12,0,0,0,12,4,14,3,0,6,12,3,20,0,0,0,14,8,21,3,5,9,40,46,89,0,0,0,52,48,100,0,0,0,9,0,8,0,0,0,9,0,14,11,0,14,33,30,60,0,0,0,39,30,77,89,101,187,536,299,840,5,0,8,630,400,1030,0,9,8,43,21,62,479,149,630,523,179,707,125,143,267,763,441,1209,483,153,639,1374,737,2113,97,103,197,559,321,879,5,0,8,663,421,1083,19,20,42,124,65,193,0,0,3,148,88,233,8,7,15,24,29,51,0,0
IARE503006,0,0,0,0,0,0,0,0,0,0,4,4,8,10,15,4,0,9,0,0,0,13,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,26,28,0,0,0,0,0,0,3,20,25,5,18,22,0,0,0,0,0,0,7,18,26,3,0,5,0,0,0,0,0,0,3,0,5,0,4,3,0,0,0,0,0,0,0,4,3,3,0,3,3,3,9,0,0,0,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,0,5,0,0,0,9,10,19,158,165,327,20,13,41,0,0,0,185,188,367,20,22,39,0,0,3,9,5,18,31,26,58,206,225,431,37,30,61,9,8,16,247,264,511,163,173,338,22,20,43,0,0,0,190,194,382,16,18,29,8,8,16,0,0,0,25,26,49,3,16,24,0,0,0,0,0
IARE503007,3,0,8,0,3,9,0,0,0,10,11,17,7,3,10,11,3,17,0,0,0,21,9,21,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,27,49,6,0,5,0,0,0,25,31,56,12,19,29,3,0,4,0,0,0,13,20,31,6,22,25,0,0,0,0,0,0,8,22,28,3,0,5,4,3,0,0,0,0,4,6,8,8,5,11,9,10,12,0,0,0,12,15,25,0,0,0,0,0,0,0,0,0,0,0,0,11,3,18,11,7,15,0,0,0,18,10,30,34,42,74,121,55,177,0,0,0,157,95,251,5,0,8,11,3,7,117,39,161,130,45,177,63,73,141,162,75,236,117,39,161,345,189,535,38,44,78,131,55,179,0,0,0,162,96,260,7,7,8,22,11,35,0,0,0,30,17,51,9,5,14,4,0,7,0,0
IARE504001,0,6,8,0,0,3,0,0,0,4,8,10,8,7,14,3,10,16,0,0,0,12,20,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,37,0,0,5,0,0,0,14,24,35,11,6,18,5,0,5,0,0,0,14,6,24,6,10,16,0,0,0,0,0,0,3,10,11,3,5,4,3,0,3,0,0,0,3,5,10,6,10,18,5,8,13,0,0,0,10,24,29,5,0,6,0,0,0,0,0,0,4,0,3,10,11,21,5,5,10,0,0,0,13,16,28,211,197,412,76,56,135,0,0,0,292,257,546,38,42,82,7,4,4,29,29,63,73,77,146,295,286,582,98,77,179,33,29,65,432,399,824,224,204,430,77,56,134,0,0,0,300,264,567,32,26,58,11,16,27,0,0,0,41,40,83,3,7,8,10,4,10,0,0
IARE504002,6,12,11,0,5,5,0,0,0,9,11,18,10,28,39,0,6,9,0,0,0,8,35,46,0,0,6,0,4,0,0,0,0,0,3,8,0,4,5,0,0,0,0,0,0,0,4,4,30,51,78,3,0,6,0,0,0,36,48,82,21,29,47,6,0,6,0,0,0,24,29,46,3,12,10,0,0,0,0,0,0,3,12,10,4,4,8,0,0,0,0,0,0,4,8,7,13,10,28,7,3,13,0,0,0,21,18,33,0,4,4,0,0,4,0,0,0,0,5,9,24,32,52,0,6,13,0,0,0,25,33,62,300,258,556,45,44,92,0,0,0,349,298,650,86,103,191,5,8,9,37,29,65,131,136,260,464,459,919,71,72,135,39,26,70,566,558,1124,311,272,582,49,48,96,0,0,0,364,319,683,47,50,103,7,15,21,0,0,0,51,68,126,11,23,33,5,0,7,0,0
IARE504003,9,9,13,3,10,16,0,3,3,5,20,27,8,23,31,12,10,19,0,0,3,23,32,55,0,9,7,0,0,0,0,0,0,4,9,7,4,4,8,0,0,0,0,0,0,4,4,8,20,36,56,13,3,20,0,0,0,37,41,75,8,15,27,6,0,7,0,0,0,13,18,35,3,3,8,0,0,0,0,0,0,3,3,8,5,4,6,3,0,5,0,0,0,8,6,9,8,3,13,5,6,16,0,0,0,16,13,31,4,6,9,0,0,0,0,0,0,4,8,10,16,14,27,3,9,20,0,0,0,15,28,47,384,424,805,108,101,202,20,17,38,508,539,1050,73,83,155,3,3,9,84,70,153,160,150,317,521,607,1133,145,134,281,101,89,191,771,828,1605,396,439,829,111,108,217,20,17,38,520,562,1083,44,72,119,20,16,34,0,0,4,66,88,159,3,17,22,9,8,19,0,0
IARE504004,0,0,3,0,0,3,0,0,0,3,4,4,3,6,12,0,5,4,0,0,0,7,14,17,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,0,0,0,0,0,0,6,8,12,0,5,6,3,0,3,0,0,0,3,5,13,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,4,0,0,4,0,8,0,0,0,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,3,0,0,0,6,3,13,128,109,233,23,6,30,0,0,9,150,120,270,43,29,70,4,0,3,6,12,21,49,40,98,182,165,349,32,13,50,10,8,22,233,194,421,134,108,240,22,8,31,0,0,9,157,117,278,8,16,29,12,5,11,0,0,0,17,20,43,0,9,11,0,0,0,0,0
IARE504005,0,3,3,0,0,0,0,0,0,0,0,0,8,18,26,0,0,0,0,0,0,8,18,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,28,43,0,0,0,0,0,0,19,28,43,4,6,5,0,0,0,0,0,0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,4,3,13,0,0,0,0,0,0,4,3,13,0,3,3,0,0,0,0,0,0,0,3,3,5,20,25,0,0,0,0,0,0,5,20,25,110,117,231,9,11,22,0,0,0,125,125,250,19,12,27,0,0,0,13,14,22,32,24,51,163,176,343,10,15,23,13,14,22,184,198,388,119,124,241,9,11,22,0,0,0,128,137,264,24,24,52,0,0,0,0,0,0,24,28,48,4,8,16,0,0,0,0,0
IARE504006,14,19,40,62,63,123,0,3,3,75,86,163,23,49,63,70,102,176,0,0,0,92,153,243,0,6,3,19,30,51,4,0,4,25,31,60,0,3,4,3,3,6,0,0,0,4,10,12,30,57,84,53,22,74,0,0,0,89,78,165,16,24,44,41,14,56,0,0,0,60,39,98,15,13,28,13,9,19,0,0,0,20,28,50,0,5,5,12,18,33,0,0,0,17,23,42,12,20,34,43,109,151,0,0,0,59,139,194,0,0,4,3,3,7,0,0,0,9,6,15,34,31,60,49,102,154,0,0,0,81,134,217,422,504,924,981,940,1919,16,15,28,1421,1457,2879,70,63,137,41,36,84,350,377,722,462,480,944,605,713,1314,1313,1332,2648,371,394,768,2290,2441,4726,440,514,957,1016,1004,2017,16,15,28,1473,1538,3011,68,93,163,196,223,422,3,3,9,274,317,590,18,21,42,46,47,93,0,0
IARE504007,3,0,8,27,19,48,0,0,0,29,26,58,0,4,4,21,34,55,0,0,0,21,40,59,0,0,0,10,3,12,0,0,0,10,9,16,0,0,0,0,0,4,0,0,0,0,0,4,4,15,19,15,3,17,0,0,0,19,19,38,4,5,10,17,6,20,0,0,0,16,9,29,4,3,4,3,0,9,0,0,0,12,7,11,4,4,5,11,5,13,0,0,0,13,7,21,0,4,4,14,21,30,0,0,3,18,22,36,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,15,20,34,0,0,0,16,23,39,81,64,142,281,269,552,9,4,10,363,335,700,22,24,41,18,3,23,135,114,246,176,142,313,116,115,229,388,369,753,145,119,259,649,593,1245,82,67,148,287,280,572,8,5,12,378,351,731,11,16,30,56,63,114,0,0,0,65,81,146,7,3,9,23,6,29,0,0
IARE504008,8,9,17,13,5,13,0,0,0,23,11,28,4,16,25,12,8,21,0,0,0,18,23,42,4,5,3,9,0,6,0,0,0,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,24,23,41,7,4,12,0,0,0,35,27,62,12,12,16,3,0,9,0,0,0,12,10,20,3,4,10,0,0,7,0,0,0,8,6,14,0,3,5,4,0,3,0,0,0,0,9,10,3,4,5,9,10,18,0,0,0,13,10,26,0,4,5,3,0,3,0,0,0,0,4,4,6,11,16,6,11,13,0,0,0,12,21,33,133,157,292,70,48,120,0,0,0,203,212,415,37,26,57,4,3,13,53,47,104,96,80,168,209,234,448,113,80,201,53,50,104,377,365,745,133,164,299,72,51,126,0,0,0,205,223,431,33,22,55,22,22,43,0,0,0,52,43,100,7,10,18,3,7,13,0,0
IARE505001,41,88,129,2328,4147,6469,11,41,55,2378,4281,6657,155,221,373,2927,4083,7007,15,30,37,3096,4333,7422,20,23,47,964,1069,2032,8,5,16,996,1099,2100,0,7,3,197,204,403,3,3,8,197,212,416,81,121,208,2345,2053,4392,17,20,36,2439,2193,4632,53,40,93,1726,1178,2903,10,13,25,1790,1228,3018,13,18,30,348,321,672,6,5,11,372,343,712,20,31,52,741,814,1553,9,10,12,767,847,1615,131,212,350,3061,5036,8095,17,24,46,3208,5278,8487,8,13,20,339,317,652,5,9,16,349,335,690,92,112,206,3124,3836,6959,11,22,39,3232,3974,7203,830,812,1641,29036,28028,57065,75,74,148,29942,28914,58856,115,91,205,1663,1575,3238,2215,1807,4021,3994,3467,7467,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184,883,863,1748,30784,29793,60577,82,79,161,31750,30741,62490,266,271,538,7411,8505,15919,37,46,75,7711,8819,16528,71,122,191,2036,2919,4952,13,28
IARE505002,4,14,23,441,881,1325,5,3,5,453,900,1351,26,36,63,561,720,1281,0,4,4,589,763,1351,0,0,0,223,265,486,0,0,0,222,270,491,0,0,0,52,74,119,0,0,0,49,74,126,9,15,26,382,336,723,5,0,6,391,357,751,6,5,14,368,270,645,0,8,9,377,286,659,0,0,6,77,71,150,0,0,0,79,71,151,3,4,5,159,185,344,3,0,8,161,192,357,27,26,56,617,1018,1631,0,4,6,649,1053,1697,0,0,0,77,81,154,0,0,0,77,82,161,12,17,32,574,782,1358,4,4,13,590,811,1394,122,104,226,4516,4331,8847,20,14,33,4651,4451,9103,21,13,35,289,271,563,418,318,733,726,602,1328,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932,128,107,235,4818,4690,9507,20,15,34,4964,4815,9775,51,46,99,1423,1775,3195,11,8,15,1478,1826,3309,4,16,24,426,572,997,0,9
IARE505003,18,29,48,1730,3149,4881,3,15,20,1754,3202,4948,47,86,132,2170,2696,4864,3,11,15,2216,2788,5006,3,5,10,836,974,1811,0,4,9,841,985,1830,0,5,10,205,362,561,0,0,3,206,362,576,25,33,54,1671,1426,3094,9,4,12,1700,1464,3158,8,23,32,1471,953,2418,4,8,14,1481,976,2461,0,9,11,300,237,537,0,0,0,307,248,549,4,9,17,523,503,1027,4,4,6,524,521,1047,60,105,164,2290,3590,5874,5,6,14,2353,3704,6057,6,11,15,326,241,562,3,0,7,330,253,585,53,53,107,2259,3078,5341,10,3,11,2328,3134,5461,323,300,620,20904,19883,40785,53,45,100,21285,20229,41508,32,34,64,1040,1011,2054,1380,1100,2475,2449,2144,4593,512,535,1050,31315,32115,63431,1470,1188,2655,33294,33835,67129,353,318,672,22225,21371,43597,59,48,106,22635,21733,44370,94,106,197,5769,6718,12477,22,27,44,5884,6839,12723,25,53,82,1523,2050,3567,10,17
IARE505004,20,45,64,1013,1809,2821,8,20,22,1036,1869,2909,52,97,150,1118,1602,2722,5,8,10,1174,1708,2874,4,11,12,468,509,972,4,5,8,472,520,997,0,3,3,125,169,297,0,0,3,124,174,305,42,62,109,1029,883,1909,11,7,17,1084,948,2034,21,32,53,833,564,1396,3,8,6,858,600,1459,7,12,24,148,136,286,0,0,0,164,146,307,3,21,26,307,352,657,0,3,3,307,375,683,57,94,149,1225,1950,3180,5,7,15,1290,2056,3342,8,6,8,220,187,408,0,0,3,224,200,425,47,48,96,1320,1551,2871,5,10,10,1376,1607,2978,320,314,633,13511,12316,25827,43,48,90,13881,12673,26554,46,23,72,713,724,1434,1320,1047,2368,2079,1797,3876,547,582,1129,19458,19128,38583,1391,1126,2517,21402,20842,42236,339,328,674,14281,13030,27309,51,46,97,14672,13407,28076,111,138,252,3134,3561,6699,18,15,29,3266,3713,6980,33,48,83,885,1164,2051,7,9
IARE505005,22,36,56,1946,3771,5715,15,31,48,1979,3837,5814,73,99,162,2293,2806,5098,11,4,15,2366,2907,5277,8,13,17,1035,1227,2259,6,6,14,1051,1241,2288,3,5,10,213,313,528,6,3,3,224,321,545,32,40,74,2403,1935,4344,8,13,15,2447,1992,4433,22,26,44,1857,1063,2921,10,14,24,1889,1105,2991,3,7,12,377,288,661,0,0,6,384,300,676,14,7,19,508,579,1089,9,4,14,524,594,1120,75,110,183,2260,3423,5684,4,16,19,2336,3547,5882,8,7,13,337,277,616,0,4,8,350,286,634,49,57,105,2805,3509,6311,10,14,22,2864,3575,6438,348,363,713,32827,31292,64122,67,64,130,33242,31723,64959,40,39,84,1381,1388,2774,1704,1324,3026,3131,2753,5884,586,652,1236,45372,45476,90850,1816,1452,3271,47775,47579,95358,373,392,761,34501,33124,67623,69,70,142,34939,33581,68521,121,151,279,6919,7689,14604,31,38,66,7066,7883,14952,20,46,69,1749,2257,4003,14,7
IARE505006,37,80,114,2806,5018,7826,17,36,60,2868,5131,7994,121,160,282,3547,4613,8161,14,23,37,3689,4795,8483,11,18,28,1313,1386,2707,10,9,18,1331,1413,2746,5,5,6,277,357,635,5,5,10,287,362,655,55,63,122,2531,2103,4637,12,9,21,2603,2177,4784,36,22,59,2112,1377,3491,6,10,17,2161,1408,3567,7,5,16,446,401,852,8,4,7,458,414,875,17,15,30,656,779,1432,3,9,18,674,802,1481,97,153,257,3572,5973,9540,16,32,46,3687,6158,9845,8,7,14,415,363,782,0,0,0,428,372,795,71,84,160,3629,4880,8512,20,18,41,3718,4992,8711,718,660,1376,36968,35770,72736,86,78,170,37774,36510,74282,84,62,146,1958,1945,3907,2644,1874,4519,4689,3884,8569,1133,1114,2248,53819,55853,109669,2800,2040,4843,57753,59011,116763,758,700,1459,39060,38280,77344,95,87,178,39913,39072,78983,223,241,464,9483,10952,20436,44,48,98,9749,11239,20993,52,70,118,2259,3240,5503,16,22
IARE505007,13,26,40,1166,1995,3164,8,15,19,1191,2032,3224,27,42,74,1232,1500,2733,3,7,12,1263,1550,2813,6,6,13,643,688,1333,8,8,8,655,698,1354,0,0,0,158,207,362,0,4,8,159,215,373,17,14,35,700,559,1254,3,3,11,718,580,1297,15,12,22,930,517,1452,6,8,7,952,532,1487,0,3,5,170,117,291,0,0,0,169,123,294,6,9,14,317,329,646,0,4,3,325,340,668,44,59,106,1501,2327,3831,10,6,16,1560,2398,3955,5,0,7,189,132,320,0,0,4,198,141,331,17,36,52,1374,1892,3264,3,3,13,1401,1932,3331,173,182,353,11410,11682,23090,41,35,77,11623,11895,23513,25,14,44,716,762,1478,1082,864,1947,1824,1638,3463,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744,175,191,366,12147,12616,24767,47,33,79,12369,12847,25211,67,75,146,3504,4156,7657,14,17,30,3584,4246,7830,20,20,42,951,1209,2162,6,4
IARE505008,55,120,174,2944,5476,8418,21,42,62,3016,5637,8651,152,245,398,3687,4749,8437,11,14,27,3845,5005,8859,16,21,39,1261,1443,2710,16,13,23,1290,1476,2767,5,9,13,246,358,602,0,7,6,254,368,625,112,128,243,3603,3083,6687,19,13,30,3730,3221,6955,57,65,124,2551,1599,4151,10,10,19,2621,1670,4297,19,26,43,509,459,967,3,0,4,535,484,1023,18,30,47,928,987,1911,6,12,20,953,1033,1983,142,246,383,3335,5320,8662,11,12,23,3495,5574,9068,13,7,23,504,415,916,3,3,8,525,425,947,117,145,257,3930,4870,8794,18,16,33,4056,5029,9085,874,850,1729,40086,38084,78172,129,98,227,41091,39035,80129,448,207,658,2845,2289,5138,2602,2194,4801,5904,4696,10596,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376,933,914,1843,42352,40440,82793,139,108,247,43427,41461,84882,278,332,612,9808,10905,20711,40,37,81,10124,11276,21403,74,138,211,2613,3431,6045,15,21
