IARE_CODE_2021,NonI_35_44_PD_GD_GCL_P,NonI_35_44_BDL_P,NonI_35_44_ADip_DipL_P,NonI_35_44_Ct_III_IV_P,NonI_35_44_Ct_I_II_P,NonI_35_44_CL_nfd_P,NonI_35_44_LoE_NS_P,NonI_35_44_Tot_P,NonI_45_54_PD_GD_GCL_P,NonI_45_54_BDL_P,NonI_45_54_ADip_DipL_P,NonI_45_54_Ct_III_IV_P,NonI_45_54_Ct_I_II_P,NonI_45_54_CL_nfd_P,NonI_45_54_LoE_NS_P,NonI_45_54_Tot_P,NonI_55_64_PD_GD_GCL_P,NonI_55_64_BDL_P,NonI_55_64_ADip_DipL_P,NonI_55_64_Ct_III_IV_P,NonI_55_64_Ct_I_II_P,NonI_55_64_CL_nfd_P,NonI_55_64_LoE_NS_P,NonI_55_64_Tot_P,NonI_65ov_PtgdDe_GdDp_GdCt_P,NonI_65ov_BDL_P,NonI_65ov_ADip_DipL_P,NonI_65ov_Ct_III_IV_P,NonI_65ov_Ct_I_II_P,NonI_65ov_CL_nfd_P,NonI_65ov_LoE_NS_P,NonI_65ov_Tot_P,NonI_Tot_PD_GD_GCL_P,NonI_Tot_BDL_P,NonI_Tot_ADip_DipL_P,NonI_Tot_Ct_III_IV_P,NonI_Tot_Ct_I_II_P,NonI_tot_CL_nfd_P,NonI_Tot_LoE_NS_P,NonI_Tot_Tot_P,IS_NS_15_19_PD_GD_GCL_P,IS_NS_15_19_BDL_P,IS_NS_15_19_ADip_DipL_P,IS_NS_15_19_Ct_III_IV_P,IS_NS_15_19_Ct_I_II_P,IS_NS_15_19_CL_nfd_P,IS_NS_15_19_LoE_NS_P,IS_NS_15_19_Tot_P,IS_NS_20_24_PD_GD_GCL_P,IS_NS_20_24_BDL_P,IS_NS_20_24_ADip_DipL_P,IS_NS_20_24_Ct_III_IV_P,IS_NS_20_24_Ct_I_II_P,IS_NS_20_24_CL_nfd_P,IS_NS_20_24_LoE_NS_P,IS_NS_20_24_Tot_P,IS_NS_25_34_PD_GD_GCL_P,IS_NS_25_34_BDL_P,IS_NS_25_34_ADip_DipL_P,IS_NS_25_34_Ct_III_IV_P,IS_NS_25_34_Ct_I_II_P,IS_NS_25_34_CL_nfd_P,IS_NS_25_34_LoE_NS_P,IS_NS_25_34_Tot_P,IS_NS_35_44_PD_GD_GCL_P,IS_NS_35_44_BDL_P,IS_NS_35_44_ADip_DipL_P,IS_NS_35_44_Ct_III_IV_P,IS_NS_35_44_Ct_I_II_P,IS_NS_35_44_CL_nfd_P,IS_NS_35_44_LoE_NS_P,IS_NS_35_44_Tot_P,IS_NS_45_54_PD_GD_GCL_P,IS_NS_45_54_BDL_P,IS_NS_45_54_ADip_DipL_P,IS_NS_45_54_Ct_III_IV_P,IS_NS_45_54_Ct_I_II_P,IS_NS_45_54_CL_nfd_P,IS_NS_45_54_LoE_NS_P,IS_NS_45_54_Tot_P,IS_NS_55_64_PD_GD_GCL_P,IS_NS_55_64_BDL_P,IS_NS_55_64_ADip_DipL_P,IS_NS_55_64_Ct_III_IV_P,IS_NS_55_64_Ct_I_II_P,IS_NS_55_64_CL_nfd_P,IS_NS_55_64_LoE_NS_P,IS_NS_55_64_Tot_P,IS_NS_65ov_PtgdDe_GdDp_GdCt_P,IS_NS_65ov_BDL_P,IS_NS_65ov_ADip_DipL_P,IS_NS_65ov_Ct_III_IV_P,IS_NS_65ov_Ct_I_II_P,IS_NS_65ov_CL_nfd_P,IS_NS_65ov_LoE_NS_P,IS_NS_65ov_Tot_P,IS_NS_Tot_PD_GD_GCL_P,IS_NS_Tot_BDL_P,IS_NS_Tot_ADip_DipL_P,IS_NS_Tot_Ct_III_IV_P,IS_NS_Tot_Ct_I_II_P,IS_NS_tot_CL_nfd_P,IS_NS_Tot_LoE_NS_P,IS_NS_Tot_Tot_P,Tot_15_19_PD_GD_GCL_P,Tot_15_19_BDL_P,Tot_15_19_ADip_DipL_P,Tot_15_19_Ct_III_IV_P,Tot_15_19_Ct_I_II_P,Tot_15_19_CL_nfd_P,Tot_15_19_LoE_NS_P,Tot_15_19_Tot_P,Tot_20_24_PD_GD_GCL_P,Tot_20_24_BDL_P,Tot_20_24_ADip_DipL_P,Tot_20_24_Ct_III_IV_P,Tot_20_24_Ct_I_II_P,Tot_20_24_CL_nfd_P,Tot_20_24_LoE_NS_P,Tot_20_24_Tot_P,Tot_25_34_PD_GD_GCL_P,Tot_25_34_BDL_P,Tot_25_34_ADip_DipL_P,Tot_25_34_Ct_III_IV_P,Tot_25_34_Ct_I_II_P,Tot_25_34_CL_nfd_P,Tot_25_34_LoE_NS_P,Tot_25_34_Tot_P,Tot_35_44_PD_GD_GCL_P,Tot_35_44_BDL_P,Tot_35_44_ADip_DipL_P,Tot_35_44_Ct_III_IV_P,Tot_35_44_Ct_I_II_P,Tot_35_44_CL_nfd_P,Tot_35_44_LoE_NS_P,Tot_35_44_Tot_P,Tot_45_54_PD_GD_GCL_P,Tot_45_54_BDL_P,Tot_45_54_ADip_DipL_P,Tot_45_54_Ct_III_IV_P,Tot_45_54_Ct_I_II_P,Tot_45_54_CL_nfd_P,Tot_45_54_LoE_NS_P,Tot_45_54_Tot_P,Tot_55_64_PD_GD_GCL_P,Tot_55_64_BDL_P,Tot_55_64_ADip_DipL_P,Tot_55_64_Ct_III_IV_P,Tot_55_64_Ct_I_II_P,Tot_55_64_CL_nfd_P,Tot_55_64_LoE_NS_P,Tot_55_64_Tot_P,Tot_65ov_PtgdDe_GdDp_GdCt_P,Tot_65ov_BDL_P,Tot_65ov_ADip_DipL_P,Tot_65ov_Ct_III_IV_P,Tot_65ov_Ct_I_II_P,Tot_65ov_CL_nfd_P,Tot_65ov_LoE_NS_P,Tot_65ov_Tot_P,Tot_Tot_PD_GD_GCL_P,Tot_Tot_BDL_P,Tot_Tot_ADip_DipL_P,Tot_Tot_Ct_III_IV_P,Tot_Tot_Ct_I_II_P,Tot_tot_CL_nfd_P,Tot_Tot_LoE_NS_P,Tot_Tot_Tot_P
IARE503002,18,31,28,111,8,7,6,215,11,26,19,116,5,7,33,218,9,28,23,118,3,8,32,226,3,11,16,70,0,10,35,151,57,148,128,591,51,27,130,1129,0,0,0,0,0,0,47,47,0,0,0,0,0,0,65,65,0,0,0,0,0,0,163,164,0,0,0,3,0,0,161,166,0,0,0,4,0,0,151,153,0,0,3,3,0,0,120,125,0,0,0,0,0,0,86,93,0,0,3,13,0,0,794,808,0,0,0,18,8,0,61,85,0,10,4,39,15,3,78,147,16,48,28,142,10,10,180,428,18,31,28,120,8,7,173,391,11,26,19,125,10,3,186,388,9,28,26,123,6,8,153,355,3,11,25,77,0,8,130,256,58,152,133,647,59,40,962,2047
IARE503003,285,601,363,1114,54,60,107,2585,173,343,307,972,51,78,112,2024,111,224,253,714,20,61,114,1491,43,117,117,387,11,44,212,925,917,2142,1357,4925,427,327,735,10837,0,0,0,0,0,0,106,106,0,0,0,0,0,0,177,181,0,0,0,5,0,0,431,436,0,0,0,0,0,0,362,367,0,0,0,0,0,0,325,330,0,0,0,7,0,0,302,313,0,0,0,5,0,0,256,261,0,4,6,20,3,0,1969,1998,0,0,3,99,82,3,160,351,32,164,45,422,144,21,246,1080,277,710,280,1336,101,64,571,3343,284,609,370,1168,62,67,504,3060,176,357,311,1008,51,81,466,2456,116,226,260,746,23,61,446,1869,43,120,120,396,14,49,512,1247,932,2185,1400,5176,472,345,2906,13413
IARE503004,5,22,15,30,0,3,5,80,5,15,7,21,4,0,6,60,7,16,11,32,3,3,12,78,0,0,9,10,0,0,3,23,23,86,56,147,13,7,27,361,0,0,0,0,0,0,5,5,0,0,0,0,0,0,42,42,0,0,0,0,0,0,147,147,0,0,0,0,0,0,94,94,0,0,0,0,0,0,107,107,0,0,0,0,0,0,89,89,0,0,0,0,0,0,14,14,0,0,0,0,0,0,490,494,0,0,0,4,0,0,22,28,0,3,0,7,0,0,46,62,0,32,7,55,4,3,155,270,5,22,16,45,7,4,112,203,5,13,7,25,7,5,115,181,7,16,13,36,5,8,98,176,0,0,8,9,0,0,23,49,23,87,61,187,22,17,563,961
IARE503005,6,17,24,68,0,0,10,135,8,8,24,54,0,5,13,102,5,11,9,38,0,8,6,81,5,5,8,23,0,0,9,46,44,83,95,297,28,14,46,603,0,0,0,0,0,0,15,15,0,0,0,0,0,0,90,90,0,0,0,0,0,0,173,173,0,0,0,0,0,0,133,133,0,0,0,0,0,0,83,83,0,0,0,0,0,0,70,71,0,0,0,0,0,0,27,27,0,0,0,0,0,0,591,587,0,0,0,0,3,0,18,26,0,11,5,23,13,0,94,153,17,29,27,91,6,5,183,361,6,17,23,78,7,4,138,277,8,8,21,58,0,5,100,196,5,11,13,42,0,8,76,156,5,4,9,23,0,0,40,78,44,81,99,325,36,21,643,1246
IARE503006,8,8,0,3,0,0,0,16,0,6,0,0,0,0,0,5,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,8,19,4,13,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,5,5,0,0,0,0,0,0,7,14,0,9,0,0,0,0,11,22,8,8,0,8,0,0,9,25,0,6,0,0,0,0,5,13,0,0,3,0,0,0,11,16,0,0,0,0,0,0,0,4,3,21,4,19,4,0,48,103
IARE503007,5,0,3,14,0,0,0,22,0,3,7,15,0,0,0,30,0,0,6,10,0,0,0,18,0,3,0,4,0,0,3,12,11,24,22,66,3,3,7,136,0,0,0,0,0,0,11,11,0,0,0,0,0,0,12,12,0,0,0,0,0,0,37,37,0,0,0,0,0,0,38,38,0,0,0,0,0,0,21,21,0,0,0,0,0,0,15,14,0,0,0,0,0,0,12,12,0,0,0,0,0,0,137,142,0,0,0,6,0,0,12,13,0,0,0,10,0,0,12,30,3,10,5,16,0,0,42,82,5,0,4,18,0,0,42,65,0,5,7,17,0,0,28,57,0,0,6,9,0,0,15,27,0,6,0,4,0,0,13,27,11,27,25,79,4,3,152,296
IARE504001,3,4,3,11,0,0,0,27,0,5,5,4,0,0,0,13,0,4,3,0,0,0,0,13,0,4,3,0,0,0,5,13,16,35,24,39,3,6,7,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,5,5,0,0,0,0,0,0,11,11,0,0,0,0,0,0,13,13,0,0,0,0,0,0,18,18,0,0,0,0,0,0,51,52,0,0,0,4,3,0,6,11,0,5,0,14,0,0,3,21,3,17,4,36,6,9,19,94,3,3,3,31,6,3,6,63,0,4,3,17,0,0,16,42,0,8,3,8,5,0,15,42,0,4,3,0,0,0,19,34,16,39,25,101,21,20,82,302
IARE504002,0,3,0,4,0,0,0,10,5,8,4,4,0,0,0,16,8,3,0,6,0,0,0,21,0,3,0,0,0,0,0,6,16,29,14,25,0,0,3,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,3,3,0,0,0,0,0,0,15,14,0,0,0,0,0,0,10,10,0,0,0,0,0,0,6,6,0,0,0,0,0,0,52,53,0,0,0,3,0,0,9,9,0,0,0,7,0,0,13,26,3,11,3,13,7,6,24,74,0,3,0,12,5,5,24,59,9,7,4,15,0,0,17,54,6,5,6,7,0,0,14,45,0,3,0,4,0,4,9,20,22,34,17,66,21,17,109,284
IARE504003,5,14,0,16,0,3,0,38,3,12,0,10,0,0,0,34,8,7,5,13,0,0,0,37,3,4,4,3,0,0,5,21,30,69,22,62,5,3,17,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,4,0,31,34,0,0,0,0,0,0,31,30,0,0,0,0,0,0,29,32,0,0,0,3,0,0,17,20,0,0,0,0,0,0,19,19,0,0,0,3,4,0,135,148,0,0,0,6,0,0,21,26,0,5,6,4,4,0,17,36,13,23,4,27,4,0,52,128,9,12,7,34,6,6,47,115,3,24,6,33,3,0,42,101,8,11,6,22,3,0,27,79,3,4,7,7,0,0,34,53,33,81,29,137,20,6,241,547
IARE504004,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,7,0,3,3,0,0,0,0,3,5,3,4,14,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,16,16,0,0,0,5,0,0,18,16,0,0,0,9,0,0,11,13,4,0,0,15,0,0,15,27,0,0,0,14,8,0,17,42,0,0,3,6,0,0,5,19,0,0,3,3,4,0,13,22,0,3,3,0,0,0,10,11,5,3,11,48,7,0,82,158
IARE504005,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,3,3,0,0,0,0,12,0,0,0,0,0,0,0,0,6,6,3,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7,0,0,0,0,0,0,22,22,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,9,0,3,0,4,0,0,6,19,4,3,3,4,0,0,8,23,0,0,0,0,0,0,7,7,6,6,3,12,6,4,27,61
IARE504006,44,105,55,114,3,10,15,342,27,69,24,118,3,7,10,257,29,52,52,74,6,5,15,234,6,19,10,40,4,0,20,103,177,461,213,504,28,25,92,1502,0,0,0,0,0,0,34,34,0,0,0,0,0,0,44,44,0,0,0,0,0,0,155,156,0,0,0,0,0,0,107,107,0,0,0,0,0,0,103,103,0,0,0,0,0,0,69,71,0,0,0,0,0,0,54,56,0,6,0,0,0,0,571,576,0,0,0,10,7,0,63,84,4,33,10,43,8,6,69,173,68,187,61,148,18,9,213,705,51,113,61,130,8,10,130,499,29,79,42,129,0,9,128,421,34,54,57,80,6,11,100,343,6,18,16,44,4,5,95,197,186,486,249,600,51,48,804,2422
