IARE_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
IARE503002,0,116,115,234,4,10,15,57,54,105,4,0,3,60,64,118,48,66,114,494,443,944,10,8,18,554,520,1078,18,17,37,66,39,106,550,395,946,636,452,1087,199,216,421,1647,1321,2972,573,421,997,2428,1963,4389
IARE503003,12,474,695,1163,24,41,63,240,280,516,0,3,7,269,324,592,223,249,475,2695,2928,5626,26,17,42,2945,3199,6147,293,160,452,594,493,1088,1378,1086,2469,2267,1741,4006,1196,1031,2231,12626,11632,24258,1446,1133,2581,15265,13805,29072
IARE503004,0,25,57,77,13,23,39,8,8,15,0,0,0,24,36,57,103,137,243,84,55,139,0,0,4,190,196,381,28,37,62,23,5,23,391,130,519,439,163,600,508,534,1044,422,189,609,393,127,523,1325,855,2177
IARE503005,0,32,31,61,5,7,6,15,8,21,0,0,0,14,11,27,27,27,59,163,101,264,0,0,4,193,135,326,0,9,8,43,21,62,479,149,630,523,179,707,125,143,267,763,441,1209,483,153,639,1374,737,2113
IARE503006,0,9,16,22,0,4,4,0,0,0,0,0,0,0,4,4,24,33,52,7,8,20,0,0,0,26,43,73,20,22,39,0,0,3,9,5,18,31,26,58,206,225,431,37,30,61,9,8,16,247,264,511
IARE503007,0,9,10,26,13,20,28,0,0,0,0,0,0,13,18,31,26,27,56,27,18,43,0,0,0,54,45,97,5,0,8,11,3,7,117,39,161,130,45,177,63,73,141,162,75,236,117,39,161,345,189,535
IARE504001,0,12,5,23,0,9,8,0,0,0,0,0,0,0,9,11,40,37,78,18,21,37,0,0,0,55,58,115,38,42,82,7,4,4,29,29,63,73,77,146,295,286,582,98,77,179,33,29,65,432,399,824
IARE504002,0,17,26,39,0,14,15,0,0,0,0,0,0,3,9,18,62,88,150,13,15,30,0,0,0,76,110,180,86,103,191,5,8,9,37,29,65,131,136,260,464,459,919,71,72,135,39,26,70,566,558,1124
IARE504003,0,13,23,40,3,0,7,0,0,3,0,0,0,5,8,11,52,90,144,29,25,58,0,3,7,86,117,203,73,83,155,3,3,9,84,70,153,160,150,317,521,607,1133,145,134,281,101,89,191,771,828,1605
IARE504004,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,15,21,37,12,4,14,0,0,0,23,30,50,43,29,70,4,0,3,6,12,21,49,40,98,182,165,349,32,13,50,10,8,22,233,194,421
IARE504005,0,4,8,16,0,0,3,0,0,0,0,0,0,0,0,3,35,41,70,0,0,0,0,0,0,35,41,69,19,12,27,0,0,0,13,14,22,32,24,51,163,176,343,10,15,23,13,14,22,184,198,388
IARE504006,0,57,75,136,0,11,19,12,17,26,0,0,0,15,28,49,90,134,224,255,286,546,3,5,8,351,425,777,70,63,137,41,36,84,350,377,722,462,480,944,605,713,1314,1313,1332,2648,371,394,768,2290,2441,4726
IARE504007,0,23,18,34,0,5,5,7,7,9,0,0,3,7,9,16,17,28,42,83,79,156,0,0,3,101,103,199,22,24,41,18,3,23,135,114,246,176,142,313,116,115,229,388,369,753,145,119,259,649,593,1245
IARE504008,0,10,15,32,3,10,11,6,0,6,0,0,0,8,10,16,42,42,87,35,25,60,0,0,0,73,65,145,37,26,57,4,3,13,53,47,104,96,80,168,209,234,448,113,80,201,53,50,104,377,365,745
IARE505001,39,2115,3067,5179,33,67,104,992,1401,2389,13,14,23,1032,1486,2518,363,460,829,10438,12823,23256,57,90,142,10858,13369,24229,115,91,205,1663,1575,3238,2215,1807,4021,3994,3467,7467,1366,1417,2785,42882,44187,87071,2352,1973,4327,46604,47583,94184
IARE505002,9,431,599,1030,3,7,13,195,278,475,0,5,4,197,298,491,57,73,130,2040,2630,4672,8,19,25,2108,2718,4828,21,13,35,289,271,563,418,318,733,726,602,1328,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
IARE505003,18,1547,2113,3666,8,32,36,767,967,1734,0,5,0,773,1000,1774,125,189,310,8051,9731,17781,31,42,67,8205,9955,18159,32,34,64,1040,1011,2054,1380,1100,2475,2449,2144,4593,512,535,1050,31315,32115,63431,1470,1188,2655,33294,33835,67129
IARE505004,10,914,1226,2147,15,38,51,444,649,1095,4,4,7,463,690,1158,157,227,387,4466,5376,9838,21,31,53,4644,5631,10277,46,23,72,713,724,1434,1320,1047,2368,2079,1797,3876,547,582,1129,19458,19128,38583,1391,1126,2517,21402,20842,42236
IARE505005,22,1779,2305,4091,22,27,49,826,1019,1844,6,15,17,854,1064,1918,167,224,393,9486,10968,20454,47,58,104,9697,11253,20948,40,39,84,1381,1388,2774,1704,1324,3026,3131,2753,5884,586,652,1236,45372,45476,90850,1816,1452,3271,47775,47579,95358
IARE505006,34,2329,3332,5660,20,43,63,1047,1426,2476,5,12,17,1073,1481,2558,292,353,644,12795,15623,28414,65,85,150,13152,16054,29207,84,62,146,1958,1945,3907,2644,1874,4519,4689,3884,8569,1133,1114,2248,53819,55853,109669,2800,2040,4843,57753,59011,116763
IARE505007,14,982,1234,2216,12,19,26,463,525,987,3,5,5,478,549,1022,98,114,206,4913,5892,10806,20,32,54,5034,6030,11069,25,14,44,716,762,1478,1082,864,1947,1824,1638,3463,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744
IARE505008,37,2702,3593,6300,46,83,127,1285,1768,3052,10,12,17,1334,1858,3197,397,550,948,13702,16108,29811,65,69,138,14165,16732,30895,448,207,658,2845,2289,5138,2602,2194,4801,5904,4696,10596,1777,1667,3448,58902,58843,117744,2807,2375,5182,63485,62887,126376
IARE505009,38,3780,4726,8507,25,25,49,1542,1887,3426,14,15,25,1571,1921,3496,207,193,399,19503,22796,42299,77,88,167,19791,23075,42865,47,40,92,2717,2836,5556,2394,1667,4058,5162,4545,9703,706,681,1386,75882,78221,154104,2613,1904,4517,79198,80810,160003
IARE505010,17,1537,1967,3505,17,21,40,711,876,1594,4,0,6,736,899,1639,158,199,357,7566,8879,16442,21,35,58,7744,9114,16859,31,41,73,1025,985,2006,1135,852,1984,2194,1879,4067,663,688,1350,27228,28031,55263,1216,938,2152,29108,29654,58762
IARE505011,12,1025,1442,2463,14,28,45,490,687,1175,4,4,3,506,720,1227,208,271,476,5085,6163,11246,22,18,45,5319,6445,11768,537,41,581,1530,691,2224,1122,855,1979,3190,1594,4785,1267,751,2016,21030,20712,41740,1194,912,2107,23482,22379,45867
IARE505012,41,2273,3070,5343,15,23,35,985,1248,2229,6,21,30,1011,1288,2295,125,155,279,12159,14868,27025,71,91,157,12352,15110,27460,30,41,74,1574,1798,3375,1537,1294,2833,3146,3134,6283,445,481,927,48779,53262,102037,1693,1469,3163,50918,55210,106127
IARE505013,13,1114,1445,2560,14,13,25,516,602,1124,8,4,9,535,623,1154,115,141,256,5317,6281,11595,22,37,53,5451,6454,11907,625,31,656,1959,681,2640,906,640,1541,3489,1351,4842,1101,491,1594,19189,18636,37824,980,726,1708,21271,19854,41121
IARE505014,37,2924,3660,6582,9,24,38,1227,1336,2566,10,11,26,1244,1380,2628,164,217,384,16222,18627,34846,77,79,156,16465,18925,35385,39,15,54,2157,2141,4299,3871,3043,6911,6057,5204,11261,564,603,1164,69685,71792,141478,4063,3228,7291,74310,75627,149933
IARE505015,56,3401,4783,8185,44,69,116,1712,2202,3919,23,27,44,1776,2296,4078,485,610,1097,16802,20839,37643,103,118,222,17386,21573,38964,120,107,233,2451,2670,5111,3653,2537,6192,6220,5311,11536,1750,1830,3579,60816,63812,124625,3906,2787,6702,66476,68430,134903
IARE505016,9,670,914,1580,4,8,10,271,342,617,0,4,6,279,358,634,103,121,227,3579,4265,7839,18,22,47,3705,4408,8114,80,20,106,838,545,1380,709,506,1211,1630,1067,2694,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242
IARE505017,28,1680,2311,3990,25,37,64,760,973,1734,6,7,11,789,1023,1815,192,206,397,8927,10720,19648,44,57,104,9162,10986,20144,48,55,99,1317,1522,2842,1851,1589,3439,3220,3166,6387,670,626,1297,37033,38302,75342,1952,1703,3650,39652,40640,80288
IARE505018,80,4990,7034,12021,36,82,116,2381,3203,5581,14,28,37,2434,3307,5736,374,540,913,26062,32783,58849,136,187,321,26567,33500,60071,94,85,178,3581,3772,7347,5027,4359,9387,8700,8210,16909,1304,1395,2699,110079,117588,227664,5366,4748,10121,116754,123727,240484
IARE505019,37,3204,4581,7784,51,104,159,1480,2042,3526,6,18,30,1542,2171,3706,626,758,1388,16881,20224,37106,74,94,164,17585,21080,38658,186,290,477,2792,2797,5591,3354,2550,5909,6337,5637,11977,2520,2649,5170,69633,71221,140852,3601,2789,6389,75752,76665,152414
IARE505020,33,2560,3434,5993,21,45,70,1192,1560,2749,6,14,18,1222,1617,2842,255,338,592,13286,16157,29441,61,69,128,13602,16559,30163,76,68,149,2216,2183,4404,2082,1503,3586,4379,3761,8141,973,1086,2061,57523,59550,117069,2246,1655,3901,60745,62290,123036
IARE505021,25,1764,2649,4414,29,28,57,810,1179,1983,6,12,19,836,1218,2059,240,279,519,9443,12211,21658,50,55,105,9734,12551,22281,62,64,129,1570,1620,3189,2102,1520,3630,3736,3209,6946,935,971,1910,38905,41385,80286,2242,1664,3903,42079,44020,86103
IARE506001,0,102,100,203,14,15,23,20,20,37,4,0,4,31,33,65,145,165,308,572,405,976,3,0,11,725,573,1297,45,37,84,142,71,215,1683,549,2230,1871,656,2524,916,826,1746,3627,2117,5738,1712,560,2275,6256,3504,9760
IARE506002,6,146,139,283,12,9,20,49,45,89,0,0,3,59,51,109,104,104,202,789,672,1468,11,6,19,905,784,1684,21,15,44,146,120,266,1005,575,1579,1175,708,1884,460,400,862,4407,3567,7978,1036,607,1643,5907,4576,10482
IARE506003,0,151,203,352,11,11,25,42,42,85,0,0,0,51,59,114,127,171,301,1064,1120,2190,9,3,17,1205,1300,2506,46,55,95,265,206,470,1373,1071,2444,1678,1325,3005,755,773,1530,6820,6167,12984,1405,1096,2500,8976,8036,17013
IARE506004,0,184,225,411,15,40,60,50,49,95,0,0,0,65,90,154,299,377,674,944,971,1910,3,9,10,1241,1351,2591,122,122,250,219,180,397,1209,936,2146,1548,1246,2791,1435,1476,2916,5554,5008,10559,1243,965,2207,8229,7449,15684
IARE506005,0,71,68,144,5,14,21,14,13,30,0,0,0,27,29,58,117,122,236,306,278,581,5,0,5,422,399,818,184,22,206,108,53,160,621,315,931,907,393,1293,637,427,1070,1792,1376,3164,629,328,956,3058,2130,5187
IARE507001,22,1230,1667,2900,12,26,39,611,784,1398,3,9,15,625,826,1449,178,215,388,5575,6655,12229,30,59,90,5783,6925,12709,216,59,278,921,740,1660,901,759,1664,2042,1564,3603,811,667,1476,17231,18189,35424,992,874,1865,19033,19732,38763
IARE507002,26,867,872,1740,22,37,61,421,447,868,5,5,6,448,488,943,156,177,335,3454,3632,7081,38,35,79,3649,3838,7490,34,34,71,701,335,1035,1206,1019,2222,1941,1384,3323,499,478,976,10307,9707,20015,1300,1116,2415,12111,11302,23409
IARE507003,16,1002,1370,2371,20,52,63,521,766,1284,5,12,16,542,826,1365,168,250,416,4513,5718,10235,29,51,78,4711,6024,10729,145,57,203,1022,610,1637,899,785,1681,2061,1456,3518,703,701,1402,14517,15212,29725,974,881,1853,16194,16790,32987
IARE507004,21,1146,1457,2607,17,14,31,522,671,1195,6,4,14,548,686,1235,102,111,209,5311,6410,11715,42,48,89,5455,6565,12015,42,27,63,700,750,1450,1067,905,1969,1808,1683,3481,418,383,797,18108,19456,37565,1170,1011,2181,19696,20852,40544
IARE507005,6,261,272,527,4,14,20,120,134,257,4,0,4,130,150,277,58,61,119,1047,1071,2122,14,9,16,1122,1141,2264,16,14,30,155,118,278,579,401,976,749,535,1284,175,160,337,3440,3090,6531,609,425,1029,4227,3670,7898
IARE507006,14,757,995,1746,13,14,30,353,439,791,4,7,8,370,460,829,123,124,242,3664,4256,7921,19,33,56,3801,4414,8219,20,22,43,561,532,1102,714,495,1207,1297,1048,2348,410,408,815,13097,13304,26403,775,576,1354,14285,14286,28567
IARE507007,5,243,264,508,6,17,24,100,121,221,0,3,3,106,141,252,49,89,137,1090,1100,2192,13,14,30,1153,1200,2359,12,17,27,137,125,257,394,337,733,538,478,1014,176,214,385,3458,3126,6589,417,368,782,4045,3708,7752
IARE507008,3,199,215,414,4,11,16,99,90,194,0,0,3,107,106,216,53,58,114,916,871,1787,11,7,15,974,937,1910,24,29,55,118,91,214,290,279,565,432,400,830,192,206,393,3118,2787,5912,308,302,608,3616,3300,6912
IARE507009,74,3313,4242,7553,41,66,107,1878,2176,4061,20,27,46,1939,2273,4208,372,472,843,14142,16989,31131,104,138,241,14618,17599,32220,96,96,195,1938,2065,4002,2590,1956,4547,4625,4121,8749,1341,1431,2771,42773,46793,89565,2830,2216,5040,46942,50439,97378
IARE507010,15,660,811,1469,9,7,20,343,383,725,0,10,7,355,400,757,74,113,190,2901,3320,6219,33,29,59,3004,3462,6464,12,9,30,442,318,760,826,743,1569,1279,1073,2358,269,288,557,9256,9244,18500,904,826,1736,10432,10360,20795
IARE507011,12,534,591,1119,9,12,25,265,265,529,3,3,8,278,274,555,104,110,208,2425,2494,4918,25,16,42,2553,2619,5175,16,24,36,300,242,545,819,602,1423,1137,867,2006,366,367,732,7993,7622,15623,925,681,1606,9282,8670,17957
IARE507012,13,522,675,1205,8,13,20,315,319,633,4,6,4,320,338,656,80,100,181,2457,2745,5196,14,22,39,2549,2867,5417,20,16,38,380,358,740,590,493,1083,990,869,1861,292,265,558,7444,7673,15112,635,560,1195,8373,8500,16866
IARE507013,17,391,534,929,14,23,33,210,265,474,4,5,13,229,289,520,116,121,238,1738,2010,3742,24,24,52,1871,2155,4030,39,42,81,250,200,448,640,592,1234,920,835,1756,357,377,731,5905,5732,11633,704,664,1372,6974,6770,13741
IARE507014,4,185,295,485,11,19,25,118,144,259,0,0,0,130,160,288,64,90,156,888,1109,2006,10,10,14,962,1213,2174,40,26,60,99,99,201,332,305,643,473,432,902,273,288,557,2625,2812,5441,353,327,679,3254,3424,6679
IARE507015,36,1957,2565,4520,31,31,60,905,1147,2053,5,16,24,942,1192,2136,254,290,547,9316,10952,20268,73,79,149,9650,11316,20963,53,71,126,1352,1287,2639,2377,1924,4299,3778,3287,7064,908,947,1849,32916,33834,66748,2577,2136,4721,36404,36920,73316
IARE508001,0,61,64,121,10,19,25,13,12,20,0,0,0,21,31,49,102,158,256,143,142,284,4,0,5,245,301,547,30,47,82,25,21,44,344,403,749,396,472,873,551,604,1149,576,528,1106,345,408,757,1472,1540,3009
IARE508003,0,11,13,22,3,6,7,0,0,0,0,0,0,0,4,9,49,87,134,6,12,17,0,0,0,56,95,150,10,18,26,0,0,0,11,3,15,22,23,47,522,530,1049,38,28,64,9,4,16,569,566,1133
IARE508005,0,14,34,50,3,18,24,4,4,5,0,0,0,4,20,27,69,109,180,33,46,77,0,0,0,99,153,256,46,37,83,3,8,6,53,66,115,104,108,208,569,617,1190,185,180,371,54,67,122,812,869,1678
IARE508006,0,12,10,19,0,0,0,0,0,0,0,0,0,0,0,0,47,33,76,31,19,54,0,0,0,83,52,131,219,68,286,12,6,24,63,48,115,297,128,422,502,346,845,132,122,257,65,50,123,700,520,1221
IARE594994,0,152,163,318,12,5,18,64,61,125,0,3,5,79,67,147,81,76,152,676,629,1306,11,12,19,768,713,1482,610,492,1106,915,384,1303,753,436,1191,2281,1315,3591,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
IARE597997,0,3,0,3,0,0,0,7,0,7,0,0,0,7,0,7,3,0,3,35,4,39,0,0,0,43,4,43,0,0,0,5,0,8,191,19,214,204,20,226,7,3,9,256,32,293,193,19,218,455,58,514
