LGA_CODE_2021,C16_M_25_29_Tot_LF,C16_M_25_29_Not_LF,C16_M_25_29_LF_NS,C16_M_25_29_Tot,C16_M_30_34_Em_FT,C16_M_30_34_Em_PT,C16_M_30_34_Em_AFW,C16_M_30_34_Em_Hrs_NS,C16_M_30_34_Em_Tot,C16_M_30_34_Unem_Look_FT,C16_M_30_34_Unem_Look_PT,C16_M_30_34_Unem_Tot,C16_M_30_34_Tot_LF,C16_M_30_34_Not_LF,C16_M_30_34_LF_NS,C16_M_30_34_Tot,C16_M_35_39_Em_FT,C16_M_35_39_Em_PT,C16_M_35_39_Em_AFW,C16_M_35_39_Em_Hrs_NS,C16_M_35_39_Em_Tot,C16_M_35_39_Unem_Look_FT,C16_M_35_39_Unem_Look_PT,C16_M_35_39_Unem_Tot,C16_M_35_39_Tot_LF,C16_M_35_39_Not_LF,C16_M_35_39_LF_NS,C16_M_35_39_Tot,C16_M_40_44_Em_FT,C16_M_40_44_Em_PT,C16_M_40_44_Em_AFW,C16_M_40_44_Em_Hrs_NS,C16_M_40_44_Em_Tot,C16_M_40_44_Unem_Look_FT,C16_M_40_44_Unem_Look_PT,C16_M_40_44_Unem_Tot,C16_M_40_44_Tot_LF,C16_M_40_44_Not_LF,C16_M_40_44_LF_NS,C16_M_40_44_Tot,C16_M_45_49_Em_FT,C16_M_45_49_Em_PT,C16_M_45_49_Em_AFW,C16_M_45_49_Em_Hrs_NS,C16_M_45_49_Em_Tot,C16_M_45_49_Unem_Look_FT,C16_M_45_49_Unem_Look_PT,C16_M_45_49_Unem_Tot,C16_M_45_49_Tot_LF,C16_M_45_49_Not_LF,C16_M_45_49_LF_NS,C16_M_45_49_Tot,C16_M_50_54_Em_FT,C16_M_50_54_Em_PT,C16_M_50_54_Em_AFW,C16_M_50_54_Em_Hrs_NS,C16_M_50_54_Em_Tot,C16_M_50_54_Unem_Look_FT,C16_M_50_54_Unem_Look_PT,C16_M_50_54_Unem_Tot,C16_M_50_54_Tot_LF,C16_M_50_54_Not_LF,C16_M_50_54_LF_NS,C16_M_50_54_Tot,C16_M_55_59_Em_FT,C16_M_55_59_Em_PT,C16_M_55_59_Em_AFW,C16_M_55_59_Em_Hrs_NS,C16_M_55_59_Em_Tot,C16_M_55_59_Unem_Look_FT,C16_M_55_59_Unem_Look_PT,C16_M_55_59_Unem_Tot,C16_M_55_59_Tot_LF,C16_M_55_59_Not_LF,C16_M_55_59_LF_NS,C16_M_55_59_Tot,C16_M_60_64_Em_FT,C16_M_60_64_Em_PT,C16_M_60_64_Em_AFW,C16_M_60_64_Em_Hrs_NS,C16_M_60_64_Em_Tot,C16_M_60_64_Unem_Look_FT,C16_M_60_64_Unem_Look_PT,C16_M_60_64_Unem_Tot,C16_M_60_64_Tot_LF,C16_M_60_64_Not_LF,C16_M_60_64_LF_NS,C16_M_60_64_Tot,C16_M_65_69_Em_FT,C16_M_65_69_Em_PT,C16_M_65_69_Em_AFW,C16_M_65_69_Em_Hrs_NS,C16_M_65_69_Em_Tot,C16_M_65_69_Unem_Look_FT,C16_M_65_69_Unem_Look_PT,C16_M_65_69_Unem_Tot,C16_M_65_69_Tot_LF,C16_M_65_69_Not_LF,C16_M_65_69_LF_NS,C16_M_65_69_Tot,C16_M_70_74_Em_FT,C16_M_70_74_Em_PT,C16_M_70_74_Em_AFW,C16_M_70_74_Em_Hrs_NS,C16_M_70_74_Em_Tot,C16_M_70_74_Unem_Look_FT,C16_M_70_74_Unem_Look_PT,C16_M_70_74_Unem_Tot,C16_M_70_74_Tot_LF,C16_M_70_74_Not_LF,C16_M_70_74_LF_NS,C16_M_70_74_Tot,C16_M_75over_Em_FT,C16_M_75over_Em_PT,C16_M_75over_Em_AFW,C16_M_75over_Em_Hrs_NS,C16_M_75over_Em_Tot,C16_M_75over_Unem_Lo_ft_wor,C16_M_75over_Unem_Lo_pt_wor,C16_M_75over_Unempl_Tot,C16_M_75over_Tot_LF,C16_M_75over_Not_LF,C16_M_75over_LF_NS,C16_M_75over_Tot,C16_M_Tot_Em_FT,C16_M_Tot_Em_PT,C16_M_Tot_Em_AFW,C16_M_Tot_Em_Hrs_NS,C16_M_Tot_Em_Tot,C16_M_Tot_Unem_Look_FT,C16_M_Tot_Unem_Look_PT,C16_M_Tot_Unem_Tot,C16_M_Tot_Tot_labo_for,C16_M_Tot_Not_LF,C16_M_Tot_LF_NS,C16_M_Tot_Tot,C21_M_15_19_Em_FT,C21_M_15_19_Em_PT,C21_M_15_19_Em_AFW,C21_M_15_19_Em_Hrs_NS,C21_M_15_19_Em_Tot,C21_M_15_19_Unem_Look_FT,C21_M_15_19_Unem_Look_PT,C21_M_15_19_Unem_Tot,C21_M_15_19_Tot_LF,C21_M_15_19_Not_LF,C21_M_15_19_LF_NS,C21_M_15_19_Tot,C21_M_20_24_Em_FT,C21_M_20_24_Em_PT,C21_M_20_24_Em_AFW,C21_M_20_24_Em_Hrs_NS,C21_M_20_24_Em_Tot,C21_M_20_24_Unem_Look_FT,C21_M_20_24_Unem_Look_PT,C21_M_20_24_Unem_Tot,C21_M_20_24_Tot_LF,C21_M_20_24_Not_LF,C21_M_20_24_LF_NS,C21_M_20_24_Tot,C21_M_25_29_Em_FT,C21_M_25_29_Em_PT,C21_M_25_29_Em_AFW,C21_M_25_29_Em_Hrs_NS,C21_M_25_29_Em_Tot,C21_M_25_29_Unem_Look_FT,C21_M_25_29_Unem_Look_PT,C21_M_25_29_Unem_Tot,C21_M_25_29_Tot_LF,C21_M_25_29_Not_LF,C21_M_25_29_LF_NS,C21_M_25_29_Tot,C21_M_30_34_Em_FT,C21_M_30_34_Em_PT,C21_M_30_34_Em_AFW,C21_M_30_34_Em_Hrs_NS,C21_M_30_34_Em_Tot,C21_M_30_34_Unem_Look_FT,C21_M_30_34_Unem_Look_PT,C21_M_30_34_Unem_Tot,C21_M_30_34_Tot_LF,C21_M_30_34_Not_LF,C21_M_30_34_LF_NS,C21_M_30_34_Tot,C21_M_35_39_Em_FT,C21_M_35_39_Em_PT,C21_M_35_39_Em_AFW,C21_M_35_39_Em_Hrs_NS,C21_M_35_39_Em_Tot,C21_M_35_39_Unem_Look_FT,C21_M_35_39_Unem_Look_PT,C21_M_35_39_Unem_Tot,C21_M_35_39_Tot_LF,C21_M_35_39_Not_LF,C21_M_35_39_LF_NS,C21_M_35_39_Tot,C21_M_40_44_Em_FT,C21_M_40_44_Em_PT,C21_M_40_44_Em_AFW,C21_M_40_44_Em_Hrs_NS
LGA50840,64,12,3,74,45,12,4,0,52,3,0,3,61,3,11,76,50,9,7,0,65,8,0,8,70,15,9,93,86,17,3,3,104,3,3,8,107,8,8,130,94,9,4,6,110,3,0,3,115,11,11,144,104,25,12,0,149,3,0,3,147,20,14,182,90,27,3,7,130,4,8,6,139,41,20,195,68,43,3,4,117,0,0,4,120,65,15,193,26,27,5,0,62,0,4,3,65,140,17,224,12,17,4,0,29,0,0,0,35,115,10,156,10,4,0,4,20,0,0,0,20,147,24,193,699,236,49,25,1007,44,22,64,1070,642,154,1867,11,23,0,3,41,5,8,14,55,45,3,107,51,11,0,0,66,0,0,0,69,7,8,81,53,10,0,3,72,0,0,0,70,5,5,85,68,8,4,3,85,3,0,3,87,10,12,107,71,9,4,0,89,5,0,5,94,7,14,110,87,12,9,0
LGA50910,16,0,0,21,9,0,0,0,10,3,0,3,15,3,4,27,17,0,0,0,17,3,0,3,18,5,0,20,19,0,0,0,23,0,0,0,23,0,5,23,21,6,4,0,24,4,0,4,29,4,7,40,24,5,0,0,30,6,0,6,29,6,6,42,15,0,0,0,18,0,0,0,16,9,4,30,12,5,0,0,16,0,0,0,21,12,5,33,6,10,4,0,24,0,0,0,24,21,3,44,5,7,3,3,15,0,0,0,15,15,3,39,3,0,0,0,4,0,0,0,4,37,14,50,161,47,9,8,216,23,0,21,241,111,54,404,4,0,0,0,5,0,0,0,5,5,4,15,8,3,0,0,15,3,0,3,15,0,0,21,4,6,0,0,7,0,0,0,11,0,0,13,15,0,0,0,15,0,0,0,15,0,0,17,12,0,0,3,14,0,0,0,14,4,0,22,14,0,0,0
LGA50980,454,89,104,645,415,68,24,10,513,30,4,32,548,74,80,698,354,51,16,9,426,22,4,25,451,65,82,602,366,69,19,0,453,22,9,28,477,101,68,647,331,56,27,9,423,24,5,26,447,70,63,582,281,61,14,3,360,16,3,23,385,83,62,536,269,55,22,5,351,17,0,21,372,99,68,533,155,68,15,12,247,8,3,10,256,107,53,412,59,23,3,6,88,0,4,4,96,135,43,276,18,16,0,0,36,0,0,0,31,104,29,165,6,7,0,0,17,0,0,0,17,105,33,151,2772,695,157,89,3713,241,63,307,4020,1367,767,6151,47,117,8,5,174,17,9,22,195,186,72,459,176,51,13,11,245,34,5,40,280,85,79,452,270,52,15,21,355,23,5,30,384,85,85,548,412,57,18,15,500,21,3,25,521,82,115,718,398,43,35,11,485,11,4,13,500,76,85,661,335,61,14,16
LGA51080,21,0,4,24,21,0,3,0,31,0,0,0,31,7,10,42,18,4,0,0,25,0,0,0,28,4,5,30,25,3,0,3,28,0,0,0,27,4,0,33,21,4,0,0,26,0,0,5,25,5,0,35,29,7,0,5,35,0,0,0,35,3,3,42,16,9,0,0,32,4,0,4,34,11,7,47,17,0,3,0,23,4,0,0,26,11,7,50,10,0,0,0,13,0,0,0,17,8,3,27,0,4,0,0,6,0,0,0,6,10,7,18,5,3,0,0,0,0,0,0,0,28,13,44,204,41,14,9,265,18,0,20,282,109,57,450,6,0,0,0,8,0,0,0,5,13,3,22,11,7,0,0,15,0,0,0,15,5,0,25,16,3,0,0,23,0,0,0,23,0,3,27,16,0,0,3,19,5,0,5,23,5,5,28,25,0,0,0,25,0,0,0,25,3,0,29,17,4,0,0
LGA51120,20,0,0,26,17,4,0,0,23,0,0,0,23,0,0,23,16,5,0,0,19,0,0,0,22,4,0,24,20,0,0,0,25,0,0,0,24,3,0,29,19,4,0,0,28,0,0,0,26,0,0,36,18,0,0,0,22,0,0,0,22,0,6,30,20,3,0,0,24,0,0,0,26,9,0,40,20,5,0,0,22,6,0,0,29,17,0,51,13,9,0,0,19,0,0,0,19,20,5,47,3,4,0,0,4,0,0,0,4,17,3,22,6,6,0,0,12,0,0,0,12,29,0,38,179,35,6,6,231,11,3,15,242,113,32,387,8,0,0,0,8,0,0,0,8,11,5,20,13,0,0,0,20,4,0,4,24,3,4,31,14,4,0,0,16,0,0,0,21,5,3,23,23,0,0,0,23,0,0,0,23,0,3,28,15,6,0,0,17,0,0,0,17,0,4,23,22,4,0,3
LGA51190,840,139,89,1066,590,106,25,22,749,70,9,77,824,142,74,1040,609,98,33,21,762,55,9,67,827,139,72,1039,577,97,25,10,710,55,7,60,770,128,76,974,615,87,52,19,772,61,7,64,831,140,73,1046,645,75,46,13,772,47,7,53,831,151,105,1087,587,128,37,4,765,44,11,56,823,202,88,1109,365,122,31,3,515,44,15,56,573,305,69,947,129,118,14,3,266,9,12,16,278,548,71,895,23,49,5,0,86,0,4,7,91,521,62,676,3,24,4,6,43,0,0,3,40,932,109,1081,5293,1401,314,146,7151,577,178,751,7910,3893,1020,12816,138,269,19,8,434,39,31,69,503,324,39,864,440,157,23,16,632,50,17,68,699,131,61,892,558,120,29,26,730,47,17,62,791,175,94,1060,593,135,27,16,775,24,22,43,824,173,90,1089,604,79,36,14,737,29,9,34,766,202,70,1036,608,91,23,7
LGA51260,686,49,67,804,619,130,39,14,807,36,6,44,845,63,94,1003,735,119,43,3,912,29,4,35,943,52,74,1072,819,156,48,21,1046,39,13,49,1091,80,95,1270,812,145,39,19,1018,34,4,34,1051,102,107,1261,698,163,42,14,922,40,6,54,975,101,85,1160,552,188,49,13,802,45,15,60,867,159,83,1100,353,226,55,11,645,39,18,55,700,345,90,1139,147,154,26,11,339,0,11,10,347,781,82,1210,34,75,9,3,125,0,3,7,125,685,76,891,22,40,0,3,68,0,0,0,71,1103,155,1330,5820,1931,435,155,8336,403,142,545,8885,4059,1113,14052,201,462,38,23,721,18,40,58,780,363,47,1192,386,167,28,8,582,26,10,39,623,76,41,739,462,126,36,15,637,30,9,35,675,53,85,821,657,121,49,14,847,23,7,30,877,67,86,1035,725,150,64,20,950,14,8,20,968,69,93,1138,855,134,59,23
LGA51310,615,57,68,736,464,70,9,6,546,26,0,28,574,40,57,670,576,64,12,4,658,20,3,32,690,22,40,750,731,74,14,7,827,28,0,34,860,36,58,944,795,91,19,11,907,33,3,39,943,61,53,1058,678,81,14,0,778,31,3,32,810,48,43,900,602,110,20,3,737,27,0,30,765,74,31,874,306,136,17,6,467,26,7,34,500,158,36,696,105,106,7,0,216,0,7,6,222,281,26,528,34,58,5,0,101,0,0,0,101,278,37,421,24,63,0,0,87,0,0,0,87,728,64,884,4987,1538,163,56,6747,255,141,399,7141,2379,570,10093,46,380,17,6,445,3,80,83,529,528,11,1069,223,330,16,5,575,19,13,36,609,110,15,729,430,120,10,8,568,17,8,25,593,56,32,682,491,90,19,9,609,11,8,23,633,28,29,694,632,102,16,8,757,19,0,17,780,30,27,843,739,77,14,6
LGA51330,3292,556,257,4100,2243,520,62,54,2883,178,57,232,3115,313,235,3659,2050,403,58,48,2561,162,35,195,2757,255,166,3184,1941,330,48,27,2345,153,33,183,2534,237,139,2904,1894,362,55,36,2349,160,17,179,2526,224,157,2914,1695,285,61,38,2079,168,30,195,2279,257,108,2644,1390,285,70,35,1772,138,32,166,1936,348,113,2399,917,312,53,9,1294,103,35,143,1433,668,97,2201,342,295,31,4,667,13,22,33,703,1163,86,1950,80,123,19,3,231,0,6,12,238,1060,65,1366,18,60,7,0,87,0,7,5,96,1798,132,2037,15707,6059,645,410,22821,1627,1016,2639,25464,9777,1913,37149,210,886,30,15,1148,50,228,274,1420,1492,83,2996,1171,1590,59,102,2925,122,179,303,3227,725,228,4176,2072,1036,68,116,3294,119,74,193,3485,368,273,4125,2242,633,63,85,3020,86,34,119,3139,296,240,3675,2400,475,67,48,2994,79,16,97,3094,230,186,3507,2333,409,50,35
LGA51400,346,27,28,398,330,43,5,6,387,13,0,20,404,28,30,457,358,50,20,8,430,21,0,25,451,32,31,517,486,45,22,9,561,18,4,27,582,33,43,660,456,61,25,9,552,20,0,20,581,36,38,653,426,56,23,6,511,14,3,24,527,46,33,613,314,57,19,4,394,28,4,35,425,65,33,523,174,66,15,0,262,19,9,25,287,114,30,427,48,50,10,5,113,0,3,3,123,263,24,406,15,24,0,0,46,0,0,0,46,203,19,264,11,10,0,0,20,0,0,0,20,203,24,251,3225,726,175,80,4211,219,79,300,4504,1389,386,6286,105,197,19,8,325,7,32,42,371,293,33,693,271,64,11,12,354,11,6,25,379,48,23,452,269,29,13,4,314,13,0,13,325,18,20,364,325,53,20,6,404,8,0,12,418,16,23,459,370,45,27,12,462,11,0,13,473,28,30,541,430,38,17,9
LGA51470,11,0,0,14,16,0,0,0,16,0,0,4,19,0,0,19,16,0,0,0,16,0,0,0,16,3,0,20,11,0,0,0,14,0,0,0,14,0,0,15,11,4,0,0,13,0,0,0,13,0,3,15,18,0,0,0,17,0,0,0,21,0,3,26,19,0,0,0,20,4,0,4,28,4,4,34,16,3,0,0,16,0,0,0,13,4,6,27,4,0,0,0,5,0,0,0,5,20,0,23,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,11,5,16,139,11,4,0,152,6,0,6,164,60,22,240,0,0,0,0,4,0,0,0,4,3,3,11,9,0,0,0,12,0,0,0,7,0,0,7,7,4,0,0,15,0,0,0,15,0,0,14,10,0,0,0,10,0,0,0,10,0,0,10,16,4,0,0,22,0,0,0,22,0,3,24,9,0,3,0
LGA51540,136,22,26,180,90,20,4,4,120,0,0,11,127,27,32,185,78,12,9,0,99,11,0,11,114,21,34,163,101,11,10,0,123,14,6,15,138,18,28,184,147,18,5,4,170,11,0,11,187,28,29,244,93,19,7,3,118,13,0,13,133,35,33,197,109,19,7,3,131,10,0,10,141,45,34,225,71,20,0,7,102,0,4,8,103,75,32,211,37,8,5,0,54,0,0,0,55,80,22,157,18,5,0,0,19,0,0,0,19,78,8,110,5,9,0,0,19,0,0,0,21,103,31,153,915,190,77,28,1211,89,20,110,1319,598,359,2277,21,19,3,4,45,8,4,8,50,49,36,143,53,15,5,3,79,8,0,7,83,22,38,147,95,14,5,8,116,8,0,10,124,14,49,191,79,22,6,0,105,3,0,4,111,16,32,160,79,7,9,10,103,3,0,9,112,11,35,157,77,15,0,3
LGA51610,15,4,3,20,26,0,0,0,31,0,0,0,31,0,3,38,29,0,0,0,35,0,0,0,35,0,6,43,30,8,0,0,36,4,0,5,43,3,12,50,42,7,4,0,50,3,0,3,57,0,7,61,34,6,0,0,46,0,0,0,48,0,11,61,26,3,9,0,40,0,0,0,41,9,4,59,12,5,4,0,26,0,0,0,26,10,4,44,10,10,4,0,19,0,0,0,19,24,0,42,5,4,0,0,10,0,0,0,10,18,3,37,8,0,0,0,12,0,0,0,12,30,5,42,270,53,23,8,352,16,0,15,366,119,69,555,13,7,0,0,22,0,0,0,23,16,8,47,15,0,0,0,16,8,0,8,18,0,4,29,20,0,0,0,19,0,0,0,24,0,4,28,28,0,5,0,27,0,0,0,27,0,3,36,40,0,0,0,41,0,0,0,41,0,7,51,28,0,3,0
LGA51680,77,11,7,92,78,9,8,0,89,0,0,4,96,6,13,115,112,14,13,3,141,7,3,12,155,10,14,171,145,26,7,0,170,3,0,9,178,9,13,199,149,22,9,4,182,8,0,11,193,18,26,233,156,31,7,3,198,11,0,13,207,11,23,240,132,20,5,4,169,3,0,4,171,27,31,230,80,22,10,0,107,9,4,7,120,60,12,194,30,15,5,0,48,3,0,3,53,103,6,163,5,16,0,0,34,0,0,0,30,80,13,122,9,15,6,0,22,0,0,0,27,108,12,144,1035,241,77,22,1391,69,21,87,1477,575,196,2244,38,23,5,3,70,7,9,9,77,119,15,213,79,23,5,5,106,12,0,10,116,9,12,143,73,12,3,3,98,6,0,6,102,15,13,125,87,14,4,3,104,3,0,3,107,8,12,127,104,8,5,4,119,4,0,4,128,8,12,141,123,22,4,0
LGA51710,46,55,12,110,37,0,3,0,46,0,0,0,47,48,15,106,37,0,5,5,45,0,0,0,45,41,11,101,43,0,3,0,47,0,0,0,48,28,3,81,45,3,0,0,54,0,0,0,54,22,11,80,52,17,0,0,70,0,0,0,71,16,10,98,37,5,0,0,45,0,0,4,48,17,11,73,42,9,3,0,53,0,0,0,56,8,15,80,42,9,0,0,56,0,0,0,59,10,15,84,8,0,0,0,8,0,0,0,8,11,3,25,3,0,0,0,3,0,0,0,3,19,7,22,397,66,30,6,501,3,4,10,512,327,125,966,3,9,0,0,7,0,0,0,10,10,4,22,21,4,0,0,18,0,0,0,18,20,8,52,30,6,0,3,33,0,0,0,33,49,10,93,42,5,0,5,53,0,0,0,53,57,19,131,34,3,0,0,38,0,0,0,38,36,11,88,30,0,0,0
LGA51750,262,24,38,318,170,15,6,0,189,10,0,13,198,19,27,243,174,16,3,5,197,0,0,7,202,5,25,236,190,21,7,3,217,11,0,11,232,15,25,265,204,33,3,0,239,12,0,12,253,22,21,295,207,29,0,0,239,8,4,5,250,21,24,296,152,38,3,3,197,10,0,10,204,52,22,274,122,61,5,3,185,4,3,4,190,58,26,276,67,53,0,0,130,4,4,3,135,84,22,237,39,40,0,5,85,0,0,5,85,144,21,251,21,32,0,0,58,0,3,3,59,365,32,459,1613,628,41,27,2314,69,53,126,2436,1240,321,3998,15,145,6,6,167,0,20,23,192,264,18,471,93,146,6,7,251,10,8,17,268,69,14,351,177,57,14,4,250,8,3,8,259,24,25,309,206,33,10,3,251,6,0,11,264,16,27,303,184,27,7,0,219,3,0,3,225,20,9,259,211,31,3,0
LGA51820,3273,260,312,3845,3052,380,99,53,3587,201,31,230,3818,239,272,4330,3019,368,90,51,3526,182,27,208,3735,236,277,4244,2838,318,77,52,3281,184,24,207,3491,239,242,3973,2584,316,86,54,3036,192,18,212,3247,264,230,3739,2199,326,90,34,2652,159,24,181,2827,287,221,3336,1694,270,93,30,2088,145,26,170,2257,403,165,2820,1011,348,64,20,1439,121,24,142,1585,679,145,2414,367,237,29,9,642,17,22,40,685,1190,140,2014,87,105,17,6,209,0,13,11,220,1073,85,1373,25,44,10,3,84,3,7,5,86,1868,287,2245,20960,4818,841,492,27109,1767,600,2367,29478,8735,2758,40967,454,1064,39,25,1586,77,244,318,1909,1292,109,3309,1590,1081,79,53,2806,170,127,293,3100,422,179,3707,2596,558,109,61,3331,129,49,176,3508,279,223,4009,3351,442,144,73,4015,92,29,117,4135,226,291,4655,3581,433,149,76,4231,102,17,112,4347,256,295,4899,3168,396,109,50
LGA51860,0,0,0,4,11,6,0,0,17,0,0,0,17,4,0,24,16,3,0,6,16,0,0,0,16,0,0,20,12,0,0,0,17,0,0,0,17,4,0,15,8,0,0,0,6,0,0,0,6,0,0,12,9,9,5,0,14,0,0,0,14,3,0,24,10,0,7,0,19,0,0,0,17,6,4,30,9,0,0,0,12,0,0,0,12,0,0,12,5,5,0,0,8,0,0,0,8,6,5,16,0,0,0,0,0,0,0,0,0,12,0,14,0,0,0,0,0,0,0,0,0,13,0,13,81,29,13,11,133,0,0,0,135,61,20,207,0,0,0,0,0,0,0,0,0,0,0,8,5,4,0,0,12,0,0,0,14,4,3,20,15,4,0,0,17,0,0,0,17,0,6,23,3,0,0,0,3,0,0,0,6,0,0,4,15,10,0,0,24,0,0,0,24,0,3,32,8,5,0,0
LGA51890,169,33,25,218,153,9,7,4,185,32,3,36,214,19,31,256,135,10,8,5,162,22,0,26,185,37,18,239,123,20,14,0,162,11,0,13,175,36,17,231,192,16,4,4,213,27,0,24,241,30,12,284,187,18,10,6,226,24,0,22,250,39,23,320,168,23,14,4,210,8,0,15,218,82,27,329,95,16,18,4,130,13,3,16,154,174,29,351,21,8,0,7,37,4,0,4,35,236,29,305,9,15,0,0,26,0,0,0,26,167,11,206,4,0,0,0,8,0,0,0,8,205,50,256,1383,246,81,47,1767,227,34,259,2020,1235,318,3578,48,55,9,0,113,10,9,15,127,124,35,289,107,31,8,9,159,13,10,19,180,26,13,219,125,34,4,3,169,24,0,31,198,21,16,236,114,22,7,14,157,13,0,13,171,16,23,207,145,20,18,0,185,13,0,14,197,24,19,233,152,16,3,8
LGA51960,121,11,26,167,90,3,4,4,105,11,0,11,118,12,26,159,80,0,5,4,94,4,0,4,98,18,14,131,86,6,4,0,90,6,0,6,95,9,15,117,96,8,11,5,115,11,0,13,124,16,29,175,86,6,4,0,100,11,0,11,110,14,17,144,78,7,3,3,85,8,0,8,96,13,12,124,37,6,10,0,50,10,4,13,63,24,12,101,18,7,3,0,23,0,0,0,21,54,12,88,4,0,0,0,9,0,0,0,9,44,4,48,0,3,0,0,6,0,0,0,6,35,9,41,727,74,53,19,866,79,11,93,962,337,220,1515,17,10,0,3,32,3,6,3,36,40,14,97,42,4,0,4,46,9,0,6,58,13,21,94,71,8,3,5,86,0,0,0,95,5,37,137,60,7,7,3,82,0,0,0,83,14,36,128,59,4,6,6,70,0,0,0,78,6,36,117,55,9,0,0
LGA52030,33,6,5,44,11,0,0,0,11,0,0,0,12,0,0,19,11,0,0,0,21,4,0,4,18,4,4,28,18,6,0,0,23,3,0,3,28,0,5,31,25,4,0,0,33,6,0,6,27,3,0,43,27,4,0,0,37,0,0,0,41,3,3,47,40,7,4,0,47,4,3,3,54,14,4,71,16,5,0,0,19,4,0,6,25,22,4,48,14,0,0,0,12,0,0,0,16,43,8,58,4,10,8,0,17,0,0,0,17,28,0,45,0,0,0,0,3,0,0,0,3,36,5,42,203,39,8,3,260,18,5,29,286,168,41,499,0,0,0,0,0,0,0,0,3,10,0,12,10,0,0,0,9,0,0,0,9,5,3,18,7,0,0,0,10,0,0,0,11,0,3,15,21,3,0,0,22,0,0,0,25,7,7,32,14,0,0,0,16,4,0,4,19,0,0,20,16,0,0,0
LGA52100,32,0,3,41,14,0,0,0,19,0,0,0,19,0,8,22,16,5,0,0,26,0,0,0,26,0,4,35,23,6,0,0,25,0,0,0,25,0,8,31,26,0,0,0,30,0,0,0,35,0,0,36,33,4,0,0,30,0,0,0,30,0,3,36,35,5,0,0,34,0,0,0,38,4,0,42,30,0,3,3,36,0,0,0,36,12,9,49,11,6,3,0,23,0,0,0,23,29,0,51,0,0,0,0,4,0,0,0,4,14,0,17,0,3,0,5,6,0,0,0,6,38,6,55,254,31,11,3,300,8,5,9,314,114,52,481,13,6,0,0,20,0,0,0,20,3,0,26,26,3,0,0,26,0,0,0,25,0,0,32,25,0,0,0,22,0,0,0,28,6,0,29,18,3,0,0,22,0,0,0,22,0,0,22,21,3,0,0,27,0,0,0,27,0,0,32,23,5,0,0
LGA52170,213,14,20,247,135,23,3,0,159,3,0,9,173,11,25,201,165,11,5,0,182,3,0,3,177,19,11,210,147,21,6,0,173,0,0,6,178,12,13,204,205,17,0,0,232,6,0,5,237,15,19,270,191,23,0,0,222,4,0,8,232,14,29,270,174,32,12,3,221,9,0,9,223,31,21,289,118,50,9,0,171,7,3,11,186,50,24,255,59,43,5,0,113,0,3,3,110,98,13,221,28,32,0,0,63,0,0,0,63,119,13,197,7,17,0,0,25,0,3,3,32,197,18,241,1441,458,47,17,1963,64,43,104,2067,748,233,3048,12,102,6,0,116,0,23,21,137,138,7,285,55,112,5,0,176,0,16,16,192,22,9,227,142,38,7,4,191,6,0,3,199,15,13,225,151,13,3,7,180,6,5,4,184,8,16,213,134,14,7,4,161,0,3,0,166,7,13,190,158,29,5,0
LGA52240,28,0,3,32,15,0,0,0,17,0,0,0,25,0,0,27,23,0,3,0,31,0,0,0,31,3,6,37,33,3,5,0,37,0,0,0,40,3,4,43,23,4,0,0,28,0,0,0,28,3,7,39,27,0,3,0,30,0,0,0,27,8,0,34,30,4,0,4,38,0,0,0,38,9,7,56,27,4,0,0,29,5,0,0,29,9,7,45,14,6,5,0,27,0,0,0,29,20,6,58,0,3,0,3,5,0,0,0,9,13,6,25,6,0,0,6,13,0,0,0,13,35,5,43,233,35,16,13,291,9,4,12,305,108,49,466,0,0,0,0,7,0,0,0,8,9,3,24,9,3,5,4,17,0,0,0,17,0,0,20,14,0,0,0,18,0,0,0,16,0,3,23,20,0,0,0,23,0,0,4,22,5,0,23,21,0,0,0,18,0,0,0,19,0,0,23,24,0,0,0
LGA52310,19,5,0,26,19,0,0,0,19,0,0,0,19,0,3,22,13,0,0,0,13,0,0,0,13,0,3,19,22,0,0,0,20,0,0,0,20,3,5,31,20,0,0,0,23,4,0,4,22,7,0,26,20,3,0,0,23,0,0,0,24,3,0,35,16,0,3,0,23,4,0,4,25,10,3,35,19,4,0,0,25,0,0,0,22,13,3,42,7,7,0,0,13,0,0,0,18,25,6,45,5,3,0,0,12,0,0,0,12,19,8,39,0,3,0,0,5,0,0,0,5,27,5,29,163,31,9,4,203,8,0,11,216,123,56,387,4,7,0,0,8,0,0,0,8,3,0,15,12,0,0,0,12,0,0,0,14,0,3,17,11,6,0,0,15,0,0,0,17,3,3,23,10,0,0,0,15,0,0,0,10,0,0,16,13,0,0,3,18,0,0,0,18,3,0,17,8,0,0,0
