LGA_CODE_2021,C11_Aus_BP_B_OS,C11_Aus_Fa_O_B_OS,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sam_BP_B_OS,C11_Sam_Fa_O_B_OS,C11_Sam_Mo_O_B_OS,C11_Sam_BP_B_Aus,C11_Sam_Birthplac_ns,C11_Sam_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_Tot_resp,C11_Tot_P_BP_B_OS,C11_Tot_P_Fa_O_B_OS,C11_Tot_P_Mo_O_B_OS,C11_Tot_P_BP_B_Aus,C11_Tot_P_Bplace_NS,C11_Tot_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS
LGA50840,27,240,180,1233,40,1721,0,0,0,10,0,8,5,0,0,7,0,15,9,0,3,7,0,13,63,16,7,16,0,101,798,224,177,1011,32,2245,18,0,6,0,0,22,15,3,3,9,0,31,39,9,13,73,0,138,0,0,0,6,0,4,6,0,0,4,0,8,4,0,0,3,0,11,106,27,25,272,21,454,44,23,5,60,4,131,0,0,5,0,0,5,0,0,0,0,0,0,17,0,3,13,0,29,0,0,0,0,0,5,10,4,0,0,4,12,27,11,5,4,0,48,13,0,0,5,0,15,6,0,3,0,0,5,0,0,0,0,0,0,123,37,30,266,0,459,0,0,0,0,0,0,12,0,6,0,0,18,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,6,23,7,0,15,0,43,89,29,6,32,5,165,12,10,9,41,89,161,1221,410,299,2212,178,4322,34,269
LGA50910,0,39,33,406,19,493,0,0,0,15,0,15,5,0,0,0,0,4,0,0,0,0,0,0,3,7,0,6,0,16,75,34,29,264,8,407,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,10,5,0,32,0,45,4,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,7,39,0,71,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,11,4,4,6,0,23,4,0,0,20,44,72,123,55,41,639,74,935,5,25
LGA50980,60,524,414,4448,200,5651,4,69,9,1983,43,2112,57,34,16,130,7,242,14,11,0,17,0,39,109,46,14,35,3,209,961,440,315,2425,91,4234,128,0,13,16,0,165,52,0,0,14,0,67,136,34,15,240,9,434,11,5,0,18,0,35,11,3,4,5,0,20,48,13,4,3,4,78,193,83,61,835,28,1194,99,47,26,204,7,378,39,0,0,0,0,39,3,0,4,0,0,7,7,0,0,0,0,11,8,5,0,9,0,21,65,16,10,10,0,103,99,23,20,9,3,160,21,8,11,16,0,53,4,0,4,4,0,14,0,0,0,0,0,0,239,98,77,642,27,1074,5,0,0,0,0,7,59,9,9,0,0,84,22,0,4,14,0,43,6,4,0,0,0,9,0,0,0,0,0,4,29,3,6,26,0,65,405,130,79,296,23,937,52,15,3,292,1530,1892,2419,997,665,9037,1877,14997,94,559
LGA51080,0,33,28,465,8,537,0,0,0,26,0,30,0,0,0,0,0,0,0,0,0,5,0,3,10,4,0,4,0,12,80,31,43,363,12,521,3,0,0,0,0,3,0,0,0,4,0,4,5,7,0,37,0,51,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,11,6,5,75,0,94,8,4,8,30,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,49,0,80,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,19,0,4,11,0,38,0,3,0,19,39,63,154,55,51,812,62,1139,5,28
LGA51120,8,30,21,357,28,439,0,0,0,7,0,7,5,0,0,0,0,5,0,0,0,4,0,3,8,0,0,0,0,11,84,29,31,290,16,445,3,0,0,0,0,3,0,0,0,0,0,0,7,4,0,27,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,54,0,67,6,0,0,20,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,0,0,3,4,0,0,0,0,5,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,15,0,57,0,103,0,0,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,11,5,0,10,0,28,4,0,6,26,37,68,153,56,46,650,73,970,5,25
LGA51190,211,1319,902,9044,330,11812,0,0,0,55,7,60,233,15,14,22,14,297,44,14,8,19,0,85,267,79,50,110,12,522,3248,1217,976,7009,372,12824,319,4,24,5,8,355,54,15,4,33,3,108,250,93,56,484,26,895,74,38,7,89,4,211,20,5,0,6,0,35,193,14,10,13,6,231,598,193,162,1858,79,2892,715,237,90,867,49,1961,52,0,0,0,3,57,34,3,0,0,0,45,10,4,3,6,0,26,22,7,6,3,0,35,310,54,24,5,10,403,226,66,55,13,7,368,201,31,30,79,6,346,45,4,0,8,0,57,13,0,6,0,0,24,712,243,219,1439,56,2671,14,0,3,4,0,21,200,7,6,4,0,223,48,3,4,38,7,108,22,3,4,0,0,33,35,9,0,0,3,46,126,24,22,92,4,272,971,174,120,206,27,1491,146,44,36,367,2113,2696,7880,2467,1726,16376,2897,31348,231,1395
LGA51260,180,1508,1148,9811,316,12965,0,4,0,50,3,62,92,12,14,20,7,144,31,6,0,37,0,81,264,80,65,182,6,601,3905,1526,1106,7434,315,14285,100,3,12,3,6,121,82,12,11,65,0,167,264,108,68,521,15,982,28,17,5,45,5,99,25,10,0,14,0,43,51,3,10,12,5,79,581,229,162,1888,49,2913,228,153,36,540,15,977,3,0,3,0,0,5,0,3,0,0,0,4,6,0,5,16,0,32,13,11,5,12,0,42,99,30,13,5,0,146,188,107,49,19,5,366,76,21,17,55,0,168,32,5,9,12,0,61,0,5,0,0,0,4,660,299,192,1614,44,2816,10,0,0,3,0,18,202,17,12,11,8,251,23,13,10,55,0,101,7,3,3,5,0,23,22,0,8,4,0,33,92,34,19,72,3,214,747,189,142,193,22,1301,88,40,29,339,1263,1764,6714,2751,1906,17031,1925,30331,231,1771
LGA51310,187,1349,1001,5881,106,8526,0,0,0,3,0,3,743,37,46,51,20,895,87,32,18,83,0,228,332,70,43,110,0,550,3149,1092,758,4401,108,9515,99,4,12,0,0,114,112,8,11,28,5,162,321,85,50,310,5,772,218,78,37,182,11,527,35,17,3,10,0,62,398,41,33,14,17,510,981,285,174,1673,53,3153,609,214,85,510,16,1438,29,0,0,9,0,39,16,0,3,12,0,33,59,19,4,17,0,96,16,5,4,8,6,40,30,0,5,0,0,36,176,44,46,12,3,284,126,19,14,15,0,179,61,8,3,7,0,76,3,0,0,0,0,3,742,268,159,1222,28,2419,35,5,6,7,0,49,275,26,22,0,4,326,59,0,12,27,0,101,47,7,0,5,0,59,56,0,4,0,0,59,112,23,14,52,7,212,1443,225,196,195,27,2087,121,26,17,128,912,1212,8869,2403,1651,10733,1243,24895,212,1417
LGA51330,737,3066,2373,13789,417,20389,0,8,5,129,4,152,11611,124,185,91,198,12204,192,45,25,107,3,371,901,233,154,320,30,1632,10237,2738,1992,9740,402,25108,1042,8,53,3,24,1136,264,26,24,86,9,408,754,163,131,766,33,1841,148,44,21,92,4,306,109,10,9,13,3,152,4232,73,43,37,72,4460,1833,452,315,2664,64,5326,1568,421,179,1002,55,3223,665,0,15,8,16,699,142,23,17,18,10,218,24,4,5,28,0,62,71,14,10,24,0,128,439,34,24,4,20,522,543,160,70,27,11,811,412,58,36,100,9,615,142,12,13,18,3,191,77,3,0,0,0,80,2226,559,433,2201,82,5506,81,0,9,9,4,101,718,43,31,3,5,805,182,10,10,33,3,247,727,15,14,9,9,777,428,16,13,0,14,462,360,69,39,118,11,595,11328,525,483,391,249,12977,891,59,81,393,3712,5137,47073,5411,4094,23734,5192,85514,924,2838
LGA51400,80,711,543,4595,104,6032,0,0,0,20,0,25,52,5,8,7,0,70,10,6,5,15,0,33,177,39,44,75,5,336,1816,669,506,3243,132,6366,62,0,10,0,3,80,28,0,0,27,0,51,132,38,53,252,8,481,14,4,6,19,0,34,3,0,0,4,0,14,46,8,8,5,0,61,269,105,94,735,25,1228,131,73,31,378,11,630,10,0,0,3,0,16,17,0,0,0,0,15,0,3,0,4,0,10,10,3,0,4,0,22,109,9,11,8,0,136,106,57,25,13,4,198,41,14,11,35,0,97,12,0,4,3,0,26,3,0,0,0,0,3,361,103,95,703,27,1283,8,0,0,0,0,10,349,3,5,5,3,365,14,3,3,12,0,37,17,0,0,3,0,24,0,0,0,0,0,0,64,18,8,24,5,115,455,60,66,120,13,716,44,14,13,197,749,1009,3694,1197,909,7826,1003,14636,92,821
LGA51470,3,15,10,238,5,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,5,0,15,45,18,10,116,4,193,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,16,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,36,0,57,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,3,3,45,0,65,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,5,0,0,6,0,15,0,0,0,4,39,51,94,27,18,362,50,546,3,16
LGA51540,48,151,132,1843,82,2250,0,0,0,265,0,263,25,0,3,10,0,41,75,8,3,19,5,115,43,11,12,16,0,88,413,127,113,1012,41,1708,24,0,5,0,0,35,25,0,0,3,0,31,36,16,5,87,6,146,6,4,0,0,0,10,5,3,0,0,0,3,22,3,0,0,0,31,69,32,21,287,0,406,65,13,7,116,3,207,7,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,11,0,0,4,0,0,9,14,5,4,0,4,37,17,3,8,0,5,34,9,0,0,4,0,16,6,0,0,0,0,9,3,0,0,0,0,5,77,27,20,197,6,324,4,0,0,0,0,8,14,0,4,0,0,17,0,0,3,4,0,4,0,0,0,0,0,0,177,4,8,0,6,194,20,0,0,8,0,27,245,30,21,37,7,346,40,5,9,102,646,810,1283,291,249,3180,789,5788,44,140
LGA51610,3,44,31,465,11,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,8,0,0,6,0,15,111,46,22,323,16,516,0,0,0,0,0,0,6,0,0,0,0,8,12,0,4,21,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,89,4,110,0,3,0,17,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,8,0,0,3,0,0,0,3,0,0,4,0,8,0,0,0,0,0,0,19,15,10,57,0,99,0,0,0,0,0,0,7,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,29,6,0,10,0,50,0,5,0,17,55,73,199,75,48,769,79,1172,4,33
LGA51680,28,198,169,1289,29,1709,0,0,0,7,0,8,18,0,0,0,0,22,4,0,0,3,0,7,59,13,11,13,5,102,772,237,187,937,55,2184,3,0,0,3,0,8,8,0,0,4,0,17,43,12,15,92,0,160,3,5,0,0,0,13,7,0,0,0,0,4,13,0,0,0,0,12,101,39,20,226,6,383,45,14,9,64,0,127,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,7,6,0,0,0,0,10,10,0,3,0,0,16,32,12,11,0,0,55,12,8,0,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,135,32,29,182,0,381,0,0,0,0,0,0,34,3,0,0,0,37,6,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,24,0,3,15,0,46,101,22,15,36,8,182,14,0,3,57,193,269,1266,364,284,2236,281,4431,48,261
LGA51710,9,31,34,183,4,268,0,0,0,0,0,5,396,9,15,5,0,422,0,0,0,0,0,5,6,3,5,4,0,13,74,13,22,99,3,207,9,0,0,0,5,8,0,0,0,0,0,0,16,3,5,11,0,28,4,0,0,0,0,5,0,0,0,0,0,0,16,3,0,0,0,20,8,4,0,38,0,56,0,4,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,0,38,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,188,38,47,40,14,317,34,0,5,13,818,865,742,82,106,306,844,2072,15,36
LGA51750,48,465,352,1931,48,2850,0,0,0,3,0,3,288,12,16,8,5,338,37,3,0,13,0,53,93,32,11,30,0,166,1335,412,317,1777,61,3905,22,0,8,0,0,31,50,0,3,24,4,88,106,17,13,140,4,286,23,8,7,39,0,66,14,4,3,0,0,21,129,9,9,7,0,151,266,89,61,654,23,1094,112,30,15,97,6,258,17,0,0,0,0,22,8,0,0,6,0,10,8,0,0,0,0,12,8,3,0,8,0,15,14,4,0,3,0,16,54,18,3,0,0,77,50,7,4,13,3,78,29,3,8,0,0,42,0,0,0,0,0,0,304,100,76,566,0,1056,0,0,0,0,0,3,103,8,4,0,0,119,19,0,3,0,0,25,28,4,5,0,0,31,20,0,0,0,0,18,44,10,0,31,0,84,567,81,63,79,17,797,17,11,14,71,628,742,3159,810,609,3944,761,9282,66,480
LGA51820,787,4065,3021,19111,646,27627,0,10,5,154,10,180,3273,66,78,81,63,3556,1889,366,122,533,65,2978,818,257,168,363,17,1622,11220,3306,2609,12730,647,30516,1300,17,61,10,61,1448,323,37,39,107,8,517,918,234,115,919,35,2220,142,51,16,117,9,331,104,13,16,19,0,157,1336,59,41,33,23,1491,2074,563,412,3446,133,6628,3692,1098,492,2775,177,8236,225,3,4,0,0,232,111,15,5,24,0,148,62,9,8,21,0,104,135,24,24,49,6,236,735,82,46,15,22,894,652,196,126,30,14,1009,499,69,41,106,5,720,133,13,11,36,0,198,71,3,0,0,6,81,2727,713,573,2937,106,7057,728,30,17,24,10,808,1135,74,51,21,24,1298,376,44,26,63,10,518,179,9,7,6,6,205,200,3,9,0,0,214,358,76,43,147,14,639,7298,828,643,792,211,9770,666,125,82,723,3485,5083,37956,7731,5410,33275,5312,89686,1062,4634
LGA51860,0,14,4,104,3,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,12,6,45,3,75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,17,0,20,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,19,7,198,30,308,0,0,0,32,19,58,71,37,14,379,54,554,0,7
LGA51890,54,356,271,3186,116,3985,0,3,0,30,0,37,30,3,0,0,0,33,3,3,0,7,0,13,59,24,6,23,0,111,779,345,262,2271,89,3741,45,0,8,0,0,52,10,3,0,7,0,25,96,43,9,174,9,324,0,0,0,3,0,10,9,4,0,0,0,13,24,13,5,4,0,43,136,58,23,450,20,685,138,64,13,242,9,459,23,0,0,0,0,26,5,0,0,4,0,6,0,4,0,0,0,5,10,3,0,3,0,13,110,10,0,4,3,127,55,9,12,0,3,88,111,7,3,24,0,147,6,4,0,0,0,13,0,0,0,0,0,7,165,89,75,536,14,881,7,0,0,0,0,7,29,3,7,0,0,34,9,0,0,10,0,16,0,0,0,0,0,3,3,0,0,0,0,3,42,20,9,44,0,118,181,33,25,53,12,303,52,19,17,169,428,691,1782,693,471,5524,654,9127,63,394
LGA51960,15,145,117,1222,49,1546,0,0,0,122,4,126,26,0,0,7,0,31,0,3,0,0,0,4,18,5,7,15,0,41,421,103,81,663,51,1321,30,0,7,0,0,36,8,0,0,6,0,12,32,12,6,85,0,142,3,0,0,4,0,8,7,0,0,4,0,15,14,0,0,0,0,14,72,19,22,186,4,306,11,10,0,41,0,63,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,204,6,12,3,19,248,85,17,11,9,7,116,14,0,0,0,0,14,0,0,0,0,0,8,15,0,0,0,0,15,93,15,23,123,3,263,8,0,0,0,0,8,32,0,3,0,0,34,5,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,10,0,30,138,15,9,26,0,191,21,17,0,77,451,561,994,232,185,2020,564,3998,38,110
LGA52030,3,50,43,385,9,497,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,4,8,3,0,17,91,49,31,305,0,480,4,0,0,3,0,4,3,0,0,3,0,8,3,3,4,24,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,77,0,93,3,0,0,23,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,9,10,0,0,0,0,14,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,7,9,64,0,108,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,3,4,6,0,44,3,0,0,15,49,66,160,79,63,698,62,1068,4,50
LGA52100,3,30,27,448,4,520,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,4,19,85,38,26,349,3,491,0,0,0,0,0,0,4,0,0,0,0,9,4,0,0,25,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,50,0,72,13,4,0,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,8,0,3,0,0,8,0,0,0,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,12,11,4,46,0,85,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,6,5,0,19,8,0,0,10,26,38,151,59,50,763,43,1064,7,34
LGA52170,44,363,292,1791,42,2531,0,0,0,0,0,0,65,3,6,7,0,88,13,7,0,16,0,45,77,32,7,21,3,134,973,346,264,1664,57,3304,6,0,8,0,0,11,60,15,5,18,0,105,109,22,20,121,4,278,28,19,9,37,0,90,16,3,6,0,0,25,29,3,0,5,0,43,216,59,45,614,17,943,92,38,14,102,0,245,9,0,0,0,0,9,10,4,0,5,0,19,3,0,0,3,0,9,3,0,0,3,0,8,7,0,0,0,0,11,46,13,6,4,3,81,26,3,5,15,0,49,12,4,0,0,0,12,0,0,0,0,0,0,224,52,56,516,13,865,6,0,0,0,0,8,77,15,4,0,0,89,18,0,4,9,0,27,3,0,0,0,0,5,0,0,0,0,0,0,32,6,7,20,0,61,307,57,46,58,12,473,25,8,4,49,675,749,2015,656,505,3652,789,7605,61,395
LGA52240,7,41,47,375,12,486,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,7,0,4,3,0,16,130,40,48,314,15,551,3,0,0,0,0,3,3,0,0,3,0,4,5,0,3,28,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,11,63,0,80,8,4,0,14,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,3,0,4,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,8,7,46,0,78,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,9,16,0,3,4,0,35,3,0,0,15,54,74,214,67,70,646,78,1079,0,46
LGA52310,3,32,25,353,12,421,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,14,81,50,30,233,7,398,11,0,0,0,0,11,0,0,0,0,0,0,10,3,0,24,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,0,58,0,80,5,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,59,0,101,0,0,0,0,0,0,9,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,6,6,0,9,0,22,0,0,0,10,23,35,148,62,34,578,42,867,3,31
