LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA53640,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,7,83,42,119,85,38,13,15,50,439
LGA53710,0,0,0,4,18,0,0,0,0,4,4,0,0,13,0,0,0,0,4,0,0,0,12,61,26,97,80,45,13,5,53,386
LGA53780,203,69,49,125,1633,68,57,301,282,172,74,50,133,1141,48,65,224,254,186,81,111,197,1156,14263,6632,13613,7487,3020,1082,840,3112,50054
LGA53800,115,34,23,71,653,16,21,83,127,86,45,24,62,469,11,24,65,108,92,49,52,86,481,3778,1623,4191,2899,1276,431,323,1609,16116
LGA53920,0,3,3,4,21,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,4,9,358,165,160,134,95,54,101,301,1372
LGA53990,70,25,7,31,464,12,14,70,77,51,30,14,30,301,7,8,25,54,48,28,24,22,224,2567,1179,3476,2266,875,291,164,670,11485
LGA54060,17,7,7,18,123,0,0,18,12,12,4,3,8,62,0,0,5,9,8,5,0,10,45,239,138,485,327,147,37,16,179,1564
LGA54130,0,0,0,0,9,0,0,3,0,0,0,0,4,8,0,0,0,0,0,0,0,0,3,85,31,122,110,33,6,4,43,422
LGA54170,253,55,24,131,2513,99,110,501,462,223,74,33,120,1615,91,119,439,416,285,116,87,190,1746,17745,7402,23097,11275,3297,765,382,2374,66334
LGA54200,128,44,26,68,1070,48,47,224,247,127,47,21,88,832,44,66,156,175,123,70,33,85,750,6319,2746,7337,4181,1606,486,258,1238,24174
LGA54280,28,13,12,14,175,11,14,19,31,27,7,12,21,143,0,15,19,16,15,20,20,30,138,2972,1276,2481,1584,773,278,166,1202,10734
LGA54310,4,4,6,5,39,3,0,3,8,0,5,0,6,22,0,0,0,6,0,0,0,0,8,2074,859,1745,1003,381,128,89,1188,7466
LGA54340,16,3,4,5,63,3,0,9,11,11,0,11,4,54,4,0,8,15,15,4,8,8,64,355,144,369,280,155,37,61,190,1596
LGA54410,4,0,0,8,31,0,0,4,5,5,6,0,4,23,0,4,5,7,10,5,0,9,34,101,32,124,93,44,23,10,67,490
LGA54480,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,44,29,16,4,0,20,160
LGA54550,5,6,0,3,45,0,4,11,8,4,0,0,6,28,5,0,3,11,5,3,0,4,32,129,57,203,173,71,27,10,72,745
LGA54620,7,0,0,0,11,0,0,0,7,3,0,0,0,13,0,0,0,0,0,0,4,3,11,53,29,61,81,40,12,4,36,324
LGA54690,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,13,46,32,16,4,0,6,136
LGA54760,0,0,0,0,12,0,0,5,0,0,0,0,0,9,0,0,0,3,0,0,0,0,4,37,25,81,85,22,0,0,33,287
LGA54830,42,27,13,37,403,10,20,64,82,45,20,15,13,281,7,17,57,59,31,23,25,23,236,5056,2568,4517,2447,1081,408,273,1015,17364
LGA54900,4,0,0,3,13,0,0,0,6,0,0,3,3,14,0,0,0,0,0,0,4,0,10,87,41,131,106,49,13,11,34,468
LGA54970,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,118,28,42,27,23,5,18,100,358
LGA55040,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,114,49,69,70,28,16,9,124,479
LGA55110,258,89,35,202,2404,91,87,420,439,284,82,59,183,1656,69,69,300,393,260,104,89,315,1605,8708,4246,11919,7350,2892,898,522,2569,39106
LGA55180,19,12,7,17,185,0,4,25,47,24,9,11,16,129,6,3,17,34,18,17,11,17,122,859,348,962,754,336,132,73,346,3809
LGA55250,0,0,5,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,36,37,39,28,16,19,113,404
LGA55320,177,44,22,115,2010,114,97,493,431,250,66,28,99,1582,124,129,541,511,321,132,87,241,2089,13714,5086,14259,7190,2122,497,258,1969,45104
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,30,13,23,11,8,3,0,24,113
LGA55460,5,3,0,6,37,0,0,4,8,16,5,5,4,44,3,8,0,11,3,3,8,5,40,258,104,273,245,113,31,27,164,1213
LGA55530,0,0,5,0,11,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,3,23,7,36,33,8,0,8,27,142
LGA55600,13,4,0,5,54,0,0,0,3,5,0,0,8,22,5,0,5,10,4,3,6,11,40,185,94,227,171,78,23,13,125,917
LGA55670,5,0,0,0,18,0,0,0,6,0,0,0,4,10,0,0,0,0,0,0,0,8,8,43,16,46,47,33,11,4,52,260
LGA55740,14,3,3,11,188,7,10,38,39,17,0,5,15,123,15,6,27,19,19,10,3,24,126,1438,419,1085,598,170,27,21,245,4006
LGA55810,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,32,22,26,24,7,4,8,106,233
LGA55880,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,4,5,6,0,0,12,25,16,46,40,21,6,3,19,175
LGA55950,0,0,0,0,8,0,0,3,0,0,0,0,0,14,0,0,4,0,0,0,0,0,3,35,21,59,35,32,6,7,25,215
LGA56090,86,19,16,59,764,26,24,124,130,80,36,22,39,480,22,22,88,95,61,39,29,96,457,4065,1690,4795,2813,1063,289,158,832,15701
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,3,9,3,0,0,36
LGA56230,56,16,4,36,399,16,12,76,78,46,22,13,43,304,8,5,44,53,31,12,7,38,203,1590,674,2239,1440,631,204,94,624,7497
LGA56300,3,0,0,12,49,0,0,9,7,3,0,0,6,24,0,0,0,7,0,0,4,4,14,122,57,170,136,52,13,9,83,644
LGA56370,0,0,0,0,19,0,0,5,3,4,0,0,4,17,0,0,4,8,0,3,0,6,27,37,18,85,72,21,12,8,43,298
LGA56460,18,3,0,12,96,5,4,22,20,19,0,4,8,75,0,0,16,21,16,13,11,14,100,461,152,502,390,171,61,38,235,2013
LGA56580,52,19,3,27,484,29,16,96,87,36,6,9,17,295,33,24,82,100,57,19,26,51,397,2650,863,2993,1716,480,109,52,377,9234
LGA56620,0,0,0,3,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,137,91,92,77,28,18,5,111,561
LGA56730,22,12,3,33,222,8,10,20,30,23,12,6,19,139,6,3,29,26,21,15,18,32,147,1045,455,1128,843,388,146,110,498,4609
LGA56790,7,3,0,11,83,0,0,7,9,3,6,0,9,35,0,0,11,9,4,3,0,5,50,211,113,363,276,106,33,23,182,1301
LGA56860,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,19,9,13,20,16,5,0,23,102
LGA56930,3,4,0,6,35,0,0,3,6,9,0,0,0,22,0,0,5,8,0,0,0,0,26,306,57,170,125,44,15,9,31,748
LGA57000,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,30,14,44,39,13,4,0,53,197
LGA57080,18,14,0,24,248,15,17,52,45,19,0,4,13,164,15,18,36,33,23,9,6,13,151,7513,1345,1519,618,215,63,27,1207,12503
LGA57140,8,0,0,4,28,0,0,5,13,3,0,0,10,26,0,0,0,0,3,7,0,4,13,66,40,115,96,50,13,13,37,432
LGA57210,15,0,4,9,102,3,0,16,12,3,8,5,17,60,4,4,11,11,12,3,4,19,61,464,219,554,415,188,55,48,255,2199
LGA57280,0,0,3,0,27,6,0,3,3,0,6,0,7,21,0,0,3,0,0,0,6,6,16,1572,696,1099,677,347,141,85,905,5520
LGA57350,0,0,0,4,23,0,0,0,7,0,0,0,4,16,0,0,0,7,8,5,0,0,23,52,25,80,98,31,14,9,111,419
LGA57420,10,3,0,5,40,0,0,0,9,5,0,0,4,25,0,0,0,5,7,0,0,0,18,176,99,180,151,73,14,9,81,784
LGA57490,234,63,34,168,1939,54,67,354,353,228,72,50,159,1329,46,79,238,249,212,84,73,243,1225,14066,6442,15721,9289,3692,1134,659,3307,54306
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,4,0,3,0,9,37
LGA57700,33,16,9,24,267,9,15,41,60,30,6,9,21,186,5,5,29,41,17,15,11,7,138,3326,1463,3547,2052,794,250,189,597,12207
LGA57770,4,0,0,6,15,0,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,5,3,114,35,105,63,27,8,4,71,431
LGA57840,80,10,19,75,781,64,40,180,147,69,17,18,77,596,44,51,163,157,102,36,37,192,794,7529,2352,4818,2325,695,162,141,1225,19244
LGA57910,390,102,69,260,3949,234,213,860,903,445,148,100,252,3156,240,225,891,899,531,252,218,400,3659,35271,12869,25713,12314,3988,1246,900,5592,97883
LGA57980,34,3,3,23,350,32,18,76,71,30,13,3,38,275,20,22,59,83,35,15,9,39,287,3087,930,1965,918,243,45,28,462,7681
LGA58050,194,83,60,119,1625,52,67,291,273,217,67,55,112,1133,44,69,224,232,161,79,79,168,1055,17840,8129,16753,8975,3534,1210,898,3633,60964
LGA58190,3,0,0,4,13,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,5,23,5,25,32,16,8,3,21,140
LGA58260,4,0,0,4,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,38,15,70,34,10,9,5,38,216
LGA58330,12,8,3,18,107,0,3,10,13,10,11,0,9,60,0,6,4,3,8,3,6,6,35,383,187,486,401,163,54,37,230,1931
LGA58400,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,28,17,24,20,11,5,0,18,127
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,6,12,3,0,0,8,55
LGA58510,47,20,9,72,488,38,26,111,82,46,17,8,100,428,44,21,93,125,63,43,28,260,677,7041,2082,3229,1374,464,152,109,1472,15928
LGA58540,7,0,0,0,17,0,0,0,0,4,0,0,4,9,0,0,0,0,0,0,0,0,3,63,10,95,71,23,7,3,38,314
LGA58570,33,11,0,31,332,32,28,88,83,41,10,12,17,309,26,30,123,110,54,25,25,33,438,7849,1844,3198,1344,381,96,63,966,15743
LGA58610,9,4,0,6,40,0,0,6,8,9,4,0,9,31,5,0,5,4,10,0,0,3,31,132,70,172,162,75,27,12,96,743
LGA58680,0,0,0,3,8,0,0,5,0,0,0,0,0,13,0,0,0,0,3,0,0,0,3,35,13,49,45,18,9,0,39,209
LGA58760,294,92,61,169,2468,64,124,467,486,252,110,73,172,1753,46,97,394,350,255,111,114,236,1597,23831,10759,24866,12806,4819,1579,1089,4118,83860
LGA58820,9,3,0,17,77,3,3,14,18,6,11,0,11,73,0,0,3,23,7,4,0,17,61,344,154,490,368,154,53,42,152,1756
LGA58890,6,0,0,0,5,0,0,5,4,0,5,0,0,13,0,0,0,3,0,5,0,0,8,54,14,86,59,31,11,3,38,300
LGA59030,0,0,0,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,18,4,21,19,14,4,0,13,102
LGA59100,0,0,0,0,17,0,0,0,4,3,3,0,0,12,0,0,0,0,0,0,0,4,10,38,19,60,57,22,9,9,42,263
LGA59170,7,0,0,6,22,0,0,3,7,4,0,0,0,17,0,0,0,5,0,0,0,4,9,59,30,101,92,34,6,5,53,389
LGA59250,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,35,14,12,18,11,5,6,42,140
LGA59310,0,0,0,0,13,0,0,0,0,7,0,0,0,13,0,0,0,4,0,0,0,0,9,92,39,129,102,46,15,17,40,486
LGA59320,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,22,15,45,32,15,6,5,19,167
LGA59330,5,0,0,3,18,0,0,4,0,0,3,4,0,12,0,0,0,0,0,0,0,0,6,44,16,33,37,17,13,10,28,194
LGA59340,7,5,8,10,46,0,0,0,0,3,0,0,3,13,0,0,0,0,0,0,0,11,17,839,345,483,317,179,93,102,566,2921
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,20,7,11,7,4,4,5,30,86
LGA59360,0,0,0,0,16,0,0,5,0,4,0,0,0,6,0,0,0,0,0,0,0,3,9,79,26,113,74,32,8,3,54,388
LGA59370,13,5,0,19,108,4,0,8,25,19,5,4,18,81,7,5,11,14,11,6,8,7,54,288,123,409,314,133,44,22,135,1476
LGA59499,0,0,0,13,26,0,0,0,4,0,0,0,10,15,0,0,0,0,0,0,0,12,16,734,203,417,264,108,47,40,1222,3030
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,5,5,0,3,0,0,20,61
