LGA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA50840,32,10,32,43,8,10,13,124,140,266,61,23,83,0,3,5,9,9,14,16,35,53,7,0,4,91,70,161,26,10,34,0,0,0,0,4,8,15,41,49,4,4,7,43,57,104,1171,1148,2317,71,89,160,213,261,479,63,192,255,614,544,1159,2132,2237,4367
LGA50910,0,6,11,16,0,0,0,22,31,49,17,13,20,0,0,0,0,3,3,3,11,9,0,0,5,21,21,39,9,5,12,0,0,0,0,0,0,11,15,26,0,0,4,19,22,41,195,207,402,17,13,33,32,27,64,25,45,66,121,88,206,392,383,770
LGA50980,37,14,27,39,11,4,21,101,98,200,22,16,40,6,0,6,8,3,14,4,18,22,9,5,13,48,46,96,18,0,21,5,4,3,3,8,6,10,22,25,6,0,13,37,33,75,2245,2209,4458,194,233,432,451,542,993,94,232,326,3214,3550,6759,6206,6766,12969
LGA51080,4,0,4,6,0,0,0,15,17,28,6,4,10,0,0,0,0,0,0,3,8,9,0,0,5,14,16,28,0,4,6,0,0,0,0,0,0,0,3,4,0,0,0,4,9,13,208,204,409,26,12,43,33,35,63,11,29,38,143,119,264,419,403,816
LGA51120,6,7,8,7,0,0,0,10,24,42,13,16,29,0,0,0,0,0,0,0,5,8,0,0,0,20,21,37,4,0,7,0,0,0,0,5,5,3,12,11,0,0,0,8,12,26,238,226,460,10,11,22,29,35,66,11,35,48,122,84,205,413,388,798
LGA51190,188,54,205,262,19,15,33,616,673,1293,269,168,439,10,3,16,36,54,90,58,239,301,10,15,20,374,482,864,197,112,310,8,10,20,20,35,58,101,454,560,13,9,27,344,622,968,5807,5631,11441,584,634,1219,1361,1868,3227,355,1388,1744,5265,4635,9905,13376,14159,27536
LGA51260,216,67,205,267,21,32,48,875,923,1799,432,252,681,13,10,15,54,62,111,75,257,337,11,12,20,580,588,1164,238,136,377,4,4,10,34,38,74,129,454,574,3,17,14,404,645,1045,8627,8706,17333,492,590,1083,1352,1938,3290,418,1386,1808,4979,4536,9509,15871,17146,33019
LGA51310,94,28,98,126,25,27,54,425,458,879,245,181,423,4,6,10,27,23,51,26,163,189,23,32,49,322,406,730,214,131,343,7,4,16,18,29,46,92,382,477,13,70,86,345,621,969,6302,6393,12691,179,274,450,581,869,1455,210,880,1089,3876,3647,7520,11155,12062,23216
LGA51330,313,71,380,451,52,49,101,1219,1334,2549,579,393,972,10,10,25,67,111,175,84,433,516,30,33,65,769,978,1749,399,195,592,9,3,13,29,54,86,182,682,867,15,22,36,631,959,1591,20167,20314,40478,783,1048,1834,2073,3157,5231,596,2508,3101,15404,12409,27814,39025,39434,78459
LGA51400,58,18,63,82,6,12,18,247,234,485,76,41,117,0,5,5,10,15,25,13,59,68,4,4,3,104,117,219,38,17,56,0,0,0,0,7,8,13,53,62,0,5,8,56,82,136,3730,3757,7483,196,287,483,527,675,1205,112,333,450,2270,2257,4526,6833,7313,14148
LGA51470,6,0,4,3,0,0,0,14,13,27,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,7,5,0,9,0,0,0,0,0,0,0,6,6,0,0,0,3,4,11,124,116,241,20,8,25,32,25,56,0,11,15,76,60,134,253,218,473
LGA51540,17,9,25,31,12,4,19,83,69,149,19,9,30,5,0,5,14,3,19,4,23,28,4,0,3,46,39,91,17,9,21,0,0,0,0,3,3,11,26,35,3,0,7,29,40,70,848,819,1671,102,81,183,208,184,386,49,152,196,1018,827,1843,2216,2060,4280
LGA51610,6,4,3,5,0,0,0,30,10,38,9,3,10,0,0,0,0,0,0,0,4,4,0,0,0,10,9,15,4,0,5,0,0,0,0,0,0,0,0,3,0,0,0,8,3,9,359,361,717,31,14,49,50,43,91,16,28,40,186,155,337,634,595,1226
LGA51680,24,9,18,28,6,0,6,109,93,199,43,24,66,0,6,9,8,4,11,0,17,20,6,0,6,59,51,105,22,8,36,0,0,0,5,4,14,8,22,30,0,0,0,33,40,77,1358,1364,2721,72,82,153,192,209,399,51,109,159,771,614,1381,2441,2376,4820
LGA51710,0,0,0,0,0,0,0,12,8,20,7,3,12,0,0,6,0,0,0,5,0,0,0,0,0,10,6,17,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,387,311,693,45,14,59,63,45,112,9,25,31,351,163,511,856,546,1406
LGA51750,76,14,86,104,17,19,37,263,330,592,149,103,251,7,4,7,13,36,50,27,82,112,11,12,22,200,239,441,106,68,173,6,0,6,6,42,52,59,218,281,8,18,22,189,344,529,2207,2247,4459,106,142,251,265,572,835,129,491,621,1730,1622,3347,4439,5074,9513
LGA51820,397,101,431,534,42,27,66,1324,1426,2748,650,413,1064,9,8,23,68,148,208,162,481,644,33,14,52,922,1068,1993,405,206,613,6,8,7,49,80,130,217,804,1020,20,21,40,697,1115,1811,22629,22798,45432,1318,1613,2932,3265,4771,8035,837,2898,3729,18334,16662,34997,46388,48736,95118
LGA51860,0,0,0,0,0,0,0,13,10,22,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,11,176,171,347,0,4,8,12,11,20,9,4,17,32,43,77,229,236,467
LGA51890,47,18,59,81,11,3,15,187,178,371,64,45,107,9,0,9,13,11,23,14,48,63,0,0,0,95,106,197,34,13,49,0,0,0,4,3,13,25,81,107,4,0,8,77,101,183,1587,1595,3178,137,162,303,404,410,811,122,318,440,1372,1131,2507,3630,3611,7239
LGA51960,11,8,7,16,6,0,6,43,25,65,3,0,3,0,0,0,3,3,6,0,6,5,6,0,6,14,11,22,0,0,0,0,0,0,3,0,3,4,5,12,0,0,0,8,7,14,575,507,1080,59,65,129,182,110,295,35,64,100,674,521,1190,1525,1262,2789
LGA52030,4,3,6,10,0,0,0,38,39,79,13,3,16,0,0,0,0,0,0,7,5,8,0,0,0,16,7,28,8,0,5,0,0,0,0,0,0,9,12,17,0,0,0,13,13,23,258,253,507,17,11,30,72,35,108,23,29,55,134,92,218,502,419,922
LGA52100,4,0,5,5,0,0,0,13,25,36,14,9,22,0,0,0,0,5,6,4,3,4,0,0,0,19,15,34,13,14,26,0,0,0,0,0,0,0,11,15,0,0,0,19,25,42,244,240,479,12,13,26,35,36,74,7,40,49,131,85,214,428,409,833
LGA52170,39,19,38,53,12,10,11,194,177,379,73,51,120,5,3,3,3,11,23,8,30,42,7,6,13,95,107,198,53,28,82,3,3,7,9,16,26,26,70,96,3,7,8,91,125,219,1664,1704,3372,62,75,143,247,304,554,84,216,299,1221,1135,2358,3282,3437,6722
LGA52240,8,0,8,8,0,0,0,26,30,50,16,11,23,0,0,0,0,0,3,0,0,0,0,0,0,21,11,31,4,4,6,0,0,0,0,0,5,3,3,9,0,0,0,4,5,15,238,235,481,9,12,19,57,33,90,6,25,30,149,113,259,464,421,882
LGA52310,9,7,0,7,0,0,0,33,15,44,3,8,13,0,0,0,0,0,0,3,3,6,0,0,0,7,12,21,6,4,7,0,0,0,0,0,0,7,0,7,0,0,0,10,8,12,214,207,422,12,16,34,36,22,59,17,22,42,117,82,205,399,358,756
LGA52380,0,0,0,3,0,0,0,8,5,13,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,24,71,3,3,6,33,14,39,0,6,5,57,18,80,143,70,209
LGA52450,10,3,6,7,4,0,4,23,12,40,5,8,15,0,0,0,0,0,7,0,0,4,0,0,0,12,9,20,4,0,6,0,0,0,0,0,0,7,13,25,0,0,0,14,13,27,258,255,520,16,13,31,37,30,72,23,36,58,212,149,359,547,489,1039
LGA52520,3,4,6,13,0,0,0,14,24,37,5,8,18,0,0,0,0,6,6,0,3,3,0,0,0,8,14,23,7,6,19,0,0,0,0,0,0,0,15,15,0,0,0,7,27,36,331,305,632,15,7,25,38,27,62,15,44,60,187,112,298,580,500,1081
LGA52590,23,6,22,27,0,4,10,82,79,159,43,15,60,3,0,3,8,0,6,4,29,34,0,0,0,58,40,103,19,12,26,0,0,0,0,0,3,6,31,36,0,0,0,25,41,65,765,728,1491,68,42,113,169,119,286,46,119,165,471,365,836,1516,1373,2885
LGA52660,48,19,86,109,4,3,10,237,278,518,105,92,199,4,5,7,9,13,25,24,112,136,11,3,12,154,229,386,94,43,133,0,0,0,6,8,15,48,141,190,7,0,9,154,195,347,2980,2994,5971,185,206,386,456,579,1038,147,513,663,1960,1676,3637,5732,5961,11691
LGA52730,54,16,26,41,8,9,10,178,181,359,63,38,97,5,0,5,16,10,27,10,35,49,5,3,7,100,81,185,33,20,57,0,0,0,6,10,12,23,58,79,0,0,0,67,86,155,1285,1327,2616,97,82,180,309,344,658,73,198,274,762,748,1506,2529,2695,5225
LGA52800,10,4,16,15,3,5,8,31,39,75,8,7,12,0,0,0,4,8,8,4,8,23,5,4,3,24,23,45,0,0,0,0,0,0,0,0,0,6,20,23,0,3,4,10,20,29,913,814,1725,105,142,250,160,115,275,60,124,181,1498,1530,3030,2743,2723,5466
LGA52870,37,9,40,41,12,4,12,151,146,295,56,31,86,0,0,0,8,14,12,8,45,54,0,7,8,73,95,167,32,17,45,0,0,4,3,9,10,15,56,71,0,0,4,47,72,127,1324,1357,2682,81,107,185,258,281,535,62,218,277,795,648,1440,2521,2609,5132
LGA52940,4,0,3,3,0,0,0,17,11,30,4,4,7,0,0,4,0,0,0,0,11,11,0,0,0,3,8,18,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,3,10,10,154,140,291,16,10,22,30,23,57,8,30,37,89,60,152,296,265,557
LGA53010,0,3,0,3,0,0,0,14,3,18,10,8,15,0,0,0,3,0,3,0,3,3,0,0,0,16,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,156,316,11,11,21,22,19,38,11,11,19,88,63,151,293,252,540
LGA53080,7,3,3,11,0,0,0,20,15,35,4,4,4,0,0,0,3,0,3,0,0,0,0,0,0,7,10,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,93,88,185,21,14,38,45,36,84,13,24,34,146,108,259,319,278,600
LGA53150,53,12,39,47,10,9,16,114,144,257,64,46,119,0,0,4,19,18,32,10,34,45,10,8,15,104,111,212,56,33,86,0,4,4,6,18,20,35,101,134,9,5,16,103,149,254,1538,1564,3096,75,107,177,227,387,611,85,246,333,1123,1100,2220,3046,3394,6439
LGA53220,8,0,0,0,4,0,4,12,20,33,5,0,5,0,0,0,0,0,0,0,3,4,5,0,4,7,7,13,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,5,13,2054,940,2995,233,104,339,481,218,697,37,64,99,2631,1422,4051,5440,2746,8186
LGA53290,71,24,98,124,17,4,18,270,284,560,100,67,169,7,3,6,22,10,36,43,95,138,9,0,11,179,182,355,59,33,95,7,0,7,9,9,22,31,120,157,4,3,11,112,171,284,2645,2665,5308,191,188,383,474,505,980,158,518,671,2141,1682,3817,5611,5553,11164
LGA53360,4,3,10,14,0,0,0,36,39,73,7,0,16,0,0,0,9,0,11,0,4,7,4,0,4,23,10,33,4,3,4,0,0,0,0,0,0,0,11,10,0,0,0,8,9,16,521,512,1033,36,18,60,134,109,240,23,40,63,600,534,1126,1310,1217,2523
LGA53430,214,39,143,183,43,40,85,548,591,1134,239,155,391,11,4,20,45,67,113,45,190,234,15,10,32,358,439,797,183,83,267,5,6,12,26,38,63,94,373,461,22,15,36,335,518,849,5214,5176,10386,399,445,842,1414,1811,3222,287,1053,1336,5860,5698,11560,13174,14176,27353
LGA53570,30,10,34,49,5,3,10,164,136,303,60,32,95,3,0,3,15,5,23,21,22,40,3,0,3,99,59,159,30,11,38,0,0,0,3,3,10,10,26,38,0,0,0,42,45,88,1249,1208,2460,113,54,175,284,195,482,70,156,229,791,646,1435,2519,2264,4781
LGA53640,0,4,0,9,0,0,0,14,10,23,8,3,11,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,5,7,8,259,248,514,26,11,37,46,23,73,16,27,38,164,129,285,515,439,952
LGA53710,6,0,7,6,4,3,3,18,18,34,13,5,17,0,0,0,4,0,4,4,4,11,0,0,0,16,13,31,6,0,5,0,0,0,0,0,0,4,10,12,0,0,0,12,12,24,221,201,421,18,6,24,36,48,88,15,33,48,120,94,215,407,386,792
LGA53780,372,118,564,683,48,31,80,1441,1633,3076,664,418,1079,21,11,31,75,130,208,165,563,724,29,26,53,948,1141,2087,406,228,633,19,10,23,47,76,123,238,825,1062,14,19,37,717,1156,1869,25025,24779,49805,1484,1749,3235,3261,4496,7759,926,3450,4374,19361,15576,34939,50056,50054,100107
LGA53800,168,76,208,281,30,23,52,614,653,1265,275,204,483,14,4,10,30,43,75,77,208,285,20,6,21,411,469,882,197,95,293,4,4,6,27,15,45,110,361,474,13,7,22,355,481,839,7000,7006,14011,584,663,1247,1282,1623,2908,478,1360,1839,6164,5463,11633,15514,16116,31634
LGA53920,0,4,9,9,0,7,6,25,21,41,7,4,10,0,0,0,0,0,0,0,7,6,0,0,3,10,6,21,0,6,3,0,0,0,0,0,0,0,4,4,3,0,0,5,9,11,379,362,740,45,57,101,69,59,127,19,65,86,804,830,1634,1310,1372,2685
LGA53990,84,36,124,157,7,10,13,423,464,881,209,131,344,0,6,4,20,20,41,41,136,179,9,4,13,281,301,578,110,40,155,3,0,3,6,11,21,50,162,209,8,11,15,177,224,400,5968,6015,11978,344,398,741,857,1091,1948,221,751,967,3736,3233,6966,11113,11485,22603
LGA54060,27,9,30,42,4,0,4,105,123,222,49,32,81,6,0,6,17,0,16,6,24,30,3,6,3,82,62,143,24,8,30,0,0,0,3,4,7,12,29,42,0,0,0,41,45,78,814,803,1617,57,69,121,166,177,346,53,155,208,469,359,832,1559,1564,3126
LGA54130,3,0,0,5,0,0,0,17,9,27,0,3,5,0,0,0,0,0,4,0,4,5,0,0,0,8,8,20,4,0,4,0,0,0,0,0,3,3,5,10,0,0,0,6,3,12,255,245,500,19,4,27,44,40,80,7,21,32,159,118,282,485,422,911
LGA54170,564,179,630,818,45,49,93,2438,2513,4949,997,672,1665,27,21,45,84,187,281,156,693,851,23,39,65,1293,1615,2901,629,379,1007,24,13,35,58,117,176,322,1197,1519,14,27,42,1043,1746,2782,35424,35679,71103,1542,1959,3504,3950,6138,10091,1191,4170,5361,21712,18390,40101,63822,66334,130156
LGA54200,227,102,314,414,27,18,44,1023,1070,2099,489,370,853,17,12,29,47,97,148,94,351,440,12,11,26,657,832,1493,351,169,526,10,10,17,23,60,81,149,500,655,7,8,16,539,750,1292,11942,12082,24026,711,851,1568,1753,2427,4185,552,1840,2388,8258,6976,15239,23227,24174,47399
LGA54280,66,26,59,78,29,9,37,228,175,408,59,44,101,13,3,18,18,20,37,20,67,89,17,4,18,125,143,268,31,23,53,7,3,9,3,10,13,23,105,123,5,0,5,60,138,202,4808,4569,9378,498,386,887,946,924,1875,194,509,704,5637,4339,9973,12083,10734,22815
LGA54310,12,9,17,26,5,0,6,44,39,78,12,11,21,0,3,3,3,4,4,12,6,21,0,0,3,29,22,56,0,0,0,0,0,0,0,0,0,4,7,12,0,0,3,7,8,12,3981,3458,7435,329,254,583,574,516,1086,68,124,195,4150,3113,7260,9092,7466,16560
LGA54340,17,10,17,30,3,3,6,68,63,133,33,21,52,0,0,0,0,3,9,4,29,34,0,0,0,44,54,101,20,14,34,0,0,0,4,4,0,7,49,53,0,0,3,32,64,100,800,751,1552,50,53,99,94,122,215,35,156,195,696,521,1214,1677,1596,3271
LGA54410,13,0,6,10,4,4,9,30,31,67,12,10,19,0,0,0,3,0,4,0,13,15,0,0,0,19,23,45,7,6,17,0,0,0,0,4,3,4,25,30,0,0,4,12,34,46,229,225,451,21,19,35,53,59,106,18,62,75,189,134,319,505,490,992
LGA54480,0,0,0,3,0,0,0,8,4,8,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,101,200,4,4,9,13,9,22,5,7,8,86,45,132,206,160,370
LGA54550,8,5,14,16,3,0,3,43,45,87,23,17,40,0,0,0,5,4,4,3,14,16,4,0,4,34,28,64,16,3,21,0,0,0,0,0,0,9,29,30,0,0,6,20,32,54,427,397,824,37,19,56,57,43,100,23,74,97,242,207,451,785,745,1532
LGA54620,0,4,3,7,0,0,0,14,11,25,9,4,12,0,0,0,0,0,0,0,8,9,0,0,0,11,13,25,5,4,9,0,0,0,0,0,3,0,5,4,0,0,0,11,11,18,187,177,358,23,11,32,31,29,59,8,26,36,129,84,207,375,324,702
LGA54690,0,0,0,0,0,0,0,9,6,17,8,3,7,0,0,0,0,0,3,0,0,0,0,0,0,10,0,11,3,0,3,0,0,0,0,0,0,0,7,7,0,0,0,0,7,6,87,84,172,5,5,9,17,14,38,4,7,10,53,19,73,166,136,302
LGA54760,4,0,9,9,4,0,4,12,12,26,7,9,15,0,0,0,0,0,0,0,0,0,0,0,0,13,9,17,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,9,4,11,191,183,372,12,8,15,19,16,35,8,14,20,96,64,156,320,287,605
LGA54830,121,36,123,161,10,6,19,380,403,788,136,91,230,11,14,22,31,37,64,56,147,199,13,3,12,248,281,523,91,37,131,4,0,7,12,16,26,70,178,247,8,0,3,179,236,416,7829,7554,15379,683,776,1453,1246,1720,2965,313,904,1218,8027,6408,14430,18092,17364,35457
LGA54900,0,0,5,5,0,0,0,16,13,32,5,10,14,0,0,0,4,0,0,4,3,10,0,0,0,15,14,34,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,3,10,13,291,279,572,18,14,33,48,24,75,7,38,41,178,118,296,547,468,1017
LGA54970,5,0,0,0,0,0,3,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,289,85,374,42,5,50,82,33,115,9,13,18,426,224,649,841,358,1197
LGA55040,4,0,0,0,0,0,0,8,6,17,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,3,6,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,308,178,488,36,25,60,60,46,107,16,15,25,428,211,640,843,479,1324
LGA55110,596,189,612,802,46,28,81,2233,2404,4635,1144,753,1900,28,26,57,137,179,320,215,674,889,33,18,51,1564,1656,3215,656,352,1011,20,11,26,52,97,153,357,1132,1488,18,17,33,1108,1605,2707,17780,17979,35759,1330,1691,3016,3508,4875,8386,1178,3713,4890,11735,10849,22586,35525,39106,74628
LGA55180,62,18,53,78,19,6,24,221,185,400,81,65,145,4,0,7,11,11,17,21,53,74,3,0,5,125,129,250,60,18,73,0,0,0,3,13,12,38,86,126,8,0,5,98,122,221,1795,1793,3588,127,156,282,353,386,738,132,321,452,1400,1156,2556,3806,3809,7617
LGA55250,0,0,8,8,5,0,9,16,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,109,286,41,18,55,59,16,79,11,19,31,332,241,576,629,404,1028
LGA55320,476,134,496,627,67,77,137,1909,2010,3920,893,648,1539,20,27,52,86,195,276,145,664,812,27,50,79,1172,1582,2757,734,405,1135,18,17,37,61,125,183,414,1500,1915,15,47,61,1248,2089,3336,22511,22797,45309,893,1244,2135,2460,4192,6651,958,3683,4637,13689,13186,26880,40511,45104,85614
LGA55390,4,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,28,174,6,10,13,30,8,43,0,6,9,198,59,253,383,113,492
LGA55460,10,6,15,15,5,0,5,52,37,86,17,21,39,4,0,4,10,0,7,3,15,22,4,0,4,32,44,74,18,5,20,0,0,0,4,0,9,12,24,41,0,0,0,31,40,65,601,595,1196,52,41,92,121,106,226,34,103,135,505,374,876,1315,1213,2528
LGA55530,8,4,0,4,0,0,0,14,11,23,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,6,0,0,0,0,0,0,0,3,3,0,0,0,8,3,9,92,90,186,13,5,12,20,8,33,12,7,18,50,32,84,190,142,331
LGA55600,15,3,14,22,7,0,7,44,54,97,17,11,27,0,0,0,4,4,4,4,9,9,5,0,5,33,22,47,7,4,11,0,0,0,4,5,3,9,29,39,0,0,0,17,40,57,450,433,887,31,27,58,70,66,136,21,91,115,356,298,653,938,917,1851
LGA55670,4,0,0,0,0,0,0,6,18,28,0,3,5,0,0,0,0,0,0,5,3,9,0,0,0,5,10,12,3,0,11,0,0,0,0,0,0,3,4,10,0,0,0,12,8,18,117,125,238,11,9,21,17,23,43,11,19,27,96,83,175,253,260,506
LGA55740,62,8,44,51,21,18,36,189,188,374,67,45,113,4,0,4,11,20,29,9,53,63,4,11,10,97,123,223,45,25,69,5,0,5,9,5,16,19,86,106,0,9,11,82,126,211,1801,1829,3621,89,94,182,288,402,689,68,265,332,1376,1416,2792,3623,4006,7622
LGA55810,6,0,0,4,0,0,0,13,5,22,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,70,172,28,23,49,42,28,66,4,13,18,122,99,220,297,233,531
