LGA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA52170,481,225,704,535,234,775,564,258,822,907,725,1636,825,863,1693,929,919,1844,194,58,250,145,45,188,143,42,189,97,180,279,89,170,255,134,226,364,83,285,368,81,241,327,92,283,374,127,170,295,122,125,244,129,153,282,39,10,51,37,0,39,48,5,55,81,25,103,78,31,106,82,29,111,29,21,45,45,25,75,49,35,83,2042,1698,3734,1963,1725,3688,2169,1954,4120
LGA52240,153,64,220,156,68,224,156,66,218,10,26,32,8,22,24,8,16,31,28,14,35,23,17,43,20,14,32,3,22,24,4,22,26,0,27,36,3,37,38,7,33,34,0,41,41,3,9,10,8,18,19,0,9,8,33,5,46,39,6,44,37,13,46,60,26,90,49,39,90,60,38,95,4,5,5,3,7,14,5,8,15,297,203,503,291,231,526,292,227,525
LGA52310,93,42,135,78,39,115,82,32,108,9,30,48,11,33,40,12,33,42,40,7,51,47,10,53,35,10,46,4,21,27,5,26,32,0,31,34,8,41,43,3,31,35,4,43,50,4,24,32,0,17,17,7,15,26,38,0,38,31,3,36,35,0,35,35,19,55,32,8,41,42,28,75,5,4,12,3,3,7,0,0,3,238,190,429,203,168,373,226,197,419
LGA52380,10,9,22,9,9,18,7,9,15,4,9,10,6,7,10,0,0,6,3,6,9,4,3,4,21,0,21,3,0,8,0,0,0,5,5,3,3,8,4,0,8,8,0,4,4,0,3,3,0,4,5,0,3,3,13,0,13,6,0,6,40,5,43,5,12,17,5,0,8,13,9,12,3,0,3,0,0,0,0,4,6,41,43,84,39,30,66,85,25,111
LGA52450,128,37,160,129,42,172,122,32,148,19,36,55,32,38,65,18,32,48,82,14,97,82,10,88,68,14,86,9,36,42,9,43,48,13,41,50,3,69,65,4,54,62,6,51,58,27,18,42,23,21,43,18,26,43,45,8,51,49,9,52,50,9,52,45,36,86,47,36,80,47,37,80,5,3,8,4,0,4,5,5,11,355,253,610,373,244,619,340,239,580
LGA52520,209,78,287,192,58,257,178,61,239,11,43,51,16,37,55,21,57,79,67,14,85,83,12,104,70,12,80,0,36,37,3,37,36,4,26,31,3,58,65,5,72,78,8,71,75,13,28,42,19,19,42,10,25,33,58,3,70,51,7,56,58,10,63,43,34,77,59,33,95,38,27,63,3,4,10,0,0,0,3,0,10,421,301,724,434,290,723,390,281,671
LGA52590,243,121,366,230,130,361,207,119,330,53,84,137,45,83,128,69,120,186,179,31,215,176,34,211,191,39,229,20,72,92,18,78,95,22,96,115,17,134,144,14,141,155,10,143,155,23,63,82,22,52,74,32,64,91,133,19,159,120,15,135,143,37,187,135,88,230,174,96,265,149,106,254,22,7,23,9,9,20,13,13,25,831,622,1446,805,642,1453,847,730,1571
LGA52660,421,231,655,378,258,632,436,272,707,282,400,675,283,483,760,332,599,934,1136,184,1317,1120,196,1315,1127,204,1330,79,433,515,105,549,654,143,644,793,114,656,771,121,632,753,141,689,832,180,432,614,175,495,674,196,457,655,616,76,695,713,57,770,734,83,816,480,303,779,483,280,762,525,324,844,53,34,84,78,29,102,76,42,117,3369,2731,6102,3457,2968,6425,3716,3314,7025
LGA52730,273,191,467,258,169,424,301,201,503,198,238,435,195,269,466,200,325,528,280,56,336,303,57,361,319,77,397,53,159,211,68,178,252,72,209,277,37,200,238,45,201,244,39,193,228,60,115,173,66,122,188,68,108,179,101,7,113,103,9,113,118,11,131,138,97,236,170,120,295,172,137,310,22,11,32,15,10,26,24,20,45,1166,1073,2240,1230,1139,2370,1306,1284,2592
LGA52800,160,88,251,145,107,252,122,109,236,181,324,504,166,324,496,158,309,462,250,46,299,223,44,265,174,26,202,178,205,377,199,250,450,194,241,435,46,219,266,48,207,249,38,174,215,34,71,101,45,65,111,34,53,83,151,23,168,89,6,94,89,8,95,398,147,542,240,90,327,144,66,207,61,39,104,42,34,74,39,24,64,1456,1157,2614,1197,1123,2323,992,1008,2001
LGA52870,295,175,474,291,165,461,282,207,485,122,204,331,113,215,329,125,264,385,337,61,391,340,67,404,394,72,463,31,184,218,41,187,222,61,209,273,46,191,236,38,211,252,39,212,252,52,114,165,55,122,184,49,106,155,212,19,234,254,22,278,285,41,320,236,140,372,180,161,339,206,168,373,31,14,42,32,10,42,24,24,53,1361,1100,2468,1349,1160,2513,1470,1308,2774
LGA52940,99,36,137,89,35,121,84,40,129,10,20,29,9,16,25,6,20,23,26,12,37,26,0,28,23,3,31,3,22,23,5,23,24,3,26,28,0,24,24,4,24,26,4,28,29,8,5,8,0,8,12,0,6,6,22,0,25,28,3,23,33,5,31,19,14,29,25,13,37,27,14,35,3,4,10,0,9,8,3,0,0,185,133,321,176,128,305,180,139,318
LGA53010,131,42,174,112,46,158,89,38,127,0,27,27,4,29,32,3,22,27,15,14,22,19,4,27,22,9,33,4,19,19,4,22,25,4,18,27,5,24,28,0,26,27,0,26,26,5,4,8,3,8,13,0,7,11,18,0,21,18,0,19,15,0,13,19,6,27,25,12,36,27,10,41,0,0,0,0,0,0,3,6,4,203,138,335,184,144,328,175,137,312
LGA53080,32,22,60,27,23,44,15,20,38,21,19,43,4,22,26,16,17,35,81,23,103,43,18,64,17,12,33,19,38,59,7,13,24,15,15,34,12,27,35,8,21,29,4,20,25,7,20,24,8,11,15,11,8,21,114,11,126,41,0,41,33,3,30,28,38,60,30,18,50,19,25,41,0,10,10,9,3,14,0,3,0,319,203,515,178,130,308,135,128,262
LGA53150,394,205,597,430,235,664,485,287,772,623,706,1326,615,734,1345,644,868,1509,275,53,334,289,61,357,260,62,318,108,172,276,117,230,343,128,279,408,97,365,462,78,348,427,88,317,408,96,167,265,118,160,280,122,168,290,69,9,77,77,12,88,76,10,78,123,43,164,114,51,166,135,49,188,28,32,58,27,29,57,22,26,43,1825,1743,3566,1857,1863,3721,1961,2060,4016
LGA53220,254,122,379,254,148,399,197,117,313,535,318,856,377,273,650,287,239,528,1799,133,1934,1540,134,1667,1193,175,1366,96,193,291,79,162,240,96,208,307,113,390,503,93,226,314,67,235,305,15,109,122,20,102,119,53,98,144,1711,222,1937,1473,298,1775,968,271,1239,451,282,735,346,220,569,354,208,562,64,20,85,94,26,119,61,38,97,5051,1798,6843,4273,1580,5850,3262,1590,4859
LGA53290,827,414,1240,741,384,1121,731,435,1166,326,444,774,331,491,831,292,517,811,849,156,1005,806,167,975,825,155,978,83,450,531,86,448,529,97,468,567,92,641,731,105,630,732,88,633,714,170,373,548,199,376,571,184,337,515,564,54,618,613,53,663,684,97,775,500,323,822,513,337,844,484,335,820,59,30,86,71,27,100,100,56,153,3464,2895,6360,3465,2918,6379,3481,3022,6504
LGA53360,114,66,177,125,75,195,140,87,226,76,76,150,96,109,206,121,142,256,225,38,257,237,45,279,278,45,322,56,77,132,61,105,164,68,171,231,31,140,173,25,138,164,25,176,198,27,79,107,42,83,121,49,80,131,54,13,70,64,9,69,74,9,76,110,76,185,96,83,181,123,110,236,10,6,14,18,7,26,21,18,43,695,565,1267,754,653,1411,899,836,1733
LGA53430,1069,603,1669,1160,764,1927,1474,1016,2481,2040,2510,4550,2140,2791,4925,2725,3491,6213,1405,300,1703,1295,310,1601,1418,405,1824,392,854,1244,460,967,1430,634,1266,1907,364,1230,1595,360,1094,1454,375,1131,1509,356,590,942,376,624,997,370,587,955,456,59,515,438,62,505,434,84,520,675,271,944,601,286,886,622,299,920,92,55,146,146,94,239,151,83,238,6847,6470,13316,6983,6993,13973,8205,8363,16569
LGA53570,296,148,452,275,158,429,306,179,481,66,94,153,59,99,158,73,138,215,225,61,285,276,54,338,316,51,371,32,86,123,29,105,138,22,130,158,30,178,211,22,191,212,21,222,244,23,85,107,29,98,129,36,84,115,199,22,215,199,31,231,244,50,296,214,150,365,261,219,485,293,256,547,25,15,42,23,19,38,38,26,63,1106,851,1955,1183,970,2155,1352,1137,2487
LGA53640,196,76,274,159,69,230,146,66,208,11,35,45,15,29,42,10,31,44,49,12,65,66,20,80,63,14,81,3,36,36,5,23,26,3,18,21,5,48,51,7,55,66,6,46,49,11,12,30,14,8,22,10,17,26,41,4,50,40,3,40,51,10,57,45,22,69,60,32,93,61,37,99,6,4,5,6,0,10,5,9,10,373,254,624,358,243,600,357,252,610
LGA53710,116,39,154,108,33,140,96,35,129,17,26,42,11,29,40,10,31,44,42,9,49,40,14,51,46,19,62,10,30,38,6,32,40,3,36,41,9,50,53,7,53,51,5,42,49,3,18,20,4,21,23,7,10,17,33,4,35,39,6,44,38,10,52,19,18,43,30,20,47,37,12,50,4,4,9,5,3,6,3,4,8,243,201,444,249,203,442,242,200,440
LGA53780,2962,1525,4483,2794,1634,4426,2990,1861,4848,3428,3845,7280,3754,4380,8131,4548,5270,9817,8029,1323,9351,8061,1280,9340,8262,1551,9809,1361,3539,4901,1583,4246,5830,1895,5388,7286,1987,6457,8447,1903,5517,7417,2024,5414,7434,1682,3046,4723,1985,3175,5156,1816,3107,4916,4681,583,5261,4774,541,5318,5498,723,6217,3566,2238,5803,3880,2470,6347,4194,2759,6947,513,311,826,622,350,976,709,405,1116,28207,22860,51071,29336,23597,52934,31927,26460,58391
LGA53800,1275,675,1951,1156,682,1838,1133,749,1878,992,1536,2531,990,1701,2687,1052,1981,3032,2784,417,3201,2439,399,2839,2575,442,3012,423,1332,1756,439,1481,1921,569,1852,2421,348,1894,2239,313,1755,2066,339,1692,2036,481,1138,1622,529,1089,1619,559,1056,1618,1597,147,1740,1360,131,1493,1458,190,1645,1245,728,1975,1188,746,1931,1290,754,2043,148,97,242,199,110,311,172,112,282,9288,7965,17250,8617,8089,16697,9139,8820,17963
