LGA_CODE_2021,C21_OTT_DS_F_a,C21_OTT_DS_OD,C21_OTT_DS_NS,C21_OTT_Tot,C21_TT_NS_DS_Sep_house,C21_TT_NS_DS_SemiDRTHT,C21_TT_NS_DS_F_a,C21_TT_NS_DS_OD,C21_TT_NS_DS_NS,C21_TT_NS_Tot,C21_Tot_DS_Sep_house,C21_Tot_DS_SemiDRTHT,C21_Tot_DS_F_a,C21_Tot_DS_OD,C21_Tot_DS_NS,C21_Tot_Tot
LGA53290,3,3,27,251,463,68,26,56,5,622,4837,478,115,207,78,5720
LGA53360,0,35,7,80,91,3,9,49,13,160,1082,42,71,1177,37,2404
LGA53430,32,3,3,246,283,194,210,106,10,797,8152,3115,2391,297,46,14005
LGA53570,0,4,0,92,166,7,0,15,3,191,2104,53,28,72,9,2268
LGA53640,0,0,6,66,37,0,0,3,0,45,470,4,0,8,3,488
LGA53710,0,0,0,25,43,9,0,0,0,50,397,28,0,11,0,429
LGA53780,15,18,5,808,1673,298,56,57,11,2099,39238,3983,855,247,56,44372
LGA53800,14,8,9,354,967,227,48,89,15,1354,13318,1757,299,447,90,15910
LGA53920,0,32,15,169,114,10,0,47,35,205,862,91,10,355,105,1430
LGA53990,0,7,0,207,348,31,0,116,3,490,9835,379,50,341,22,10626
LGA54060,0,5,0,52,133,24,9,26,9,198,1378,159,39,137,24,1746
LGA54130,0,0,0,56,36,5,0,0,0,38,447,17,0,35,11,503
LGA54170,37,0,4,628,1011,233,151,124,28,1546,51879,5074,1595,247,48,58848
LGA54200,9,3,0,387,657,71,8,85,8,817,20462,1093,96,262,29,21938
LGA54280,4,18,0,189,695,229,10,412,18,1362,8778,1837,141,688,54,11495
LGA54310,52,18,33,476,714,274,88,196,50,1311,5730,1177,501,684,199,8287
LGA54340,0,0,0,55,130,26,0,0,0,156,1439,144,7,3,6,1602
LGA54410,0,0,0,33,46,0,0,5,0,47,440,13,18,13,10,487
LGA54480,0,0,0,32,16,3,0,0,0,24,186,4,0,0,0,200
LGA54550,0,0,0,60,73,5,0,4,0,77,760,28,0,9,10,810
LGA54620,0,3,0,31,46,4,4,0,0,49,345,7,4,25,3,381
LGA54690,0,0,0,9,10,0,0,0,0,5,168,0,0,3,0,170
LGA54760,0,3,0,30,34,0,0,0,0,36,292,3,0,5,5,303
LGA54830,0,3,0,126,716,34,80,31,5,874,15129,584,603,38,19,16373
LGA54900,0,0,0,67,39,0,6,0,0,47,486,18,9,26,6,537
LGA54970,0,0,13,42,29,9,3,7,8,49,193,24,4,20,37,287
LGA55040,3,4,5,88,64,25,23,29,4,155,334,52,39,88,36,547
LGA55110,21,10,0,1210,1136,319,84,98,9,1649,30586,4807,1087,305,42,36833
LGA55180,0,4,3,128,247,17,7,16,19,300,3533,213,29,44,52,3877
LGA55250,0,11,0,45,55,5,3,16,14,96,279,21,18,89,44,444
LGA55320,335,0,0,1091,650,294,156,16,10,1121,29867,7432,2219,20,50,39588
LGA55390,0,0,13,23,4,0,6,20,3,33,53,0,12,41,26,138
LGA55460,0,0,0,43,124,19,3,26,0,172,1239,65,6,32,7,1351
LGA55530,0,0,0,29,29,0,0,28,0,59,171,3,0,62,5,239
LGA55600,0,4,0,53,98,18,0,19,0,131,857,64,0,36,10,963
LGA55670,0,0,0,23,24,0,0,21,0,49,230,6,0,32,13,278
LGA55740,10,0,0,62,62,24,79,3,0,168,2231,538,925,3,4,3702
LGA55810,0,0,0,24,107,0,0,19,4,142,253,6,0,50,10,316
LGA55880,0,0,0,22,22,0,0,0,0,19,190,6,0,3,4,205
LGA55950,0,0,0,29,29,0,0,3,0,33,242,0,0,9,0,256
LGA56090,0,0,3,182,424,47,0,7,0,479,13365,539,22,30,18,13971
LGA56160,0,7,4,14,3,0,0,0,4,10,21,4,0,32,12,72
LGA56230,0,7,0,285,354,29,3,45,3,434,6488,286,19,251,18,7075
LGA56300,0,0,3,22,79,0,4,12,0,96,661,10,24,24,3,722
LGA56370,0,0,0,23,36,0,0,0,0,38,298,22,0,3,0,325
LGA56460,0,0,0,75,153,28,0,19,0,197,1834,159,5,26,0,2026
LGA56580,62,0,0,196,107,33,36,0,7,180,6309,940,509,4,11,7771
LGA56620,0,6,20,74,49,9,0,0,3,62,360,27,0,11,37,436
LGA56730,0,4,0,71,367,35,0,8,10,415,4188,186,17,46,18,4456
LGA56790,0,11,14,83,150,37,15,27,23,248,1244,134,16,404,83,1880
LGA56860,0,0,0,9,25,0,0,0,0,26,106,0,0,0,0,115
LGA56930,0,0,0,6,17,7,0,0,0,14,415,62,67,0,0,540
LGA57000,0,0,0,14,31,0,0,23,3,62,164,0,0,35,9,209
LGA57080,141,0,3,179,18,35,911,360,15,1344,389,861,12228,366,54,13900
LGA57140,0,0,0,15,35,0,0,0,0,35,459,8,0,0,0,468
LGA57210,0,0,0,95,190,0,3,8,0,197,2114,29,11,34,9,2187
LGA57280,38,27,19,412,455,193,153,222,29,1062,3944,1129,705,514,127,6418
LGA57350,0,0,0,22,111,0,0,0,0,115,406,9,0,6,9,426
LGA57420,0,4,0,165,65,0,0,6,0,81,840,11,12,44,8,910
LGA57490,20,4,0,606,1794,197,133,93,19,2241,45323,2882,1720,392,64,50382
LGA57630,0,6,3,15,6,0,0,0,0,12,44,0,0,25,3,75
LGA57700,0,10,4,134,386,3,0,14,0,411,10290,82,35,127,27,10555
LGA57770,0,22,4,61,48,7,0,143,23,224,355,34,8,695,42,1133
LGA57840,168,0,0,527,250,261,173,0,8,693,8956,6466,2996,6,30,18454
LGA57910,447,9,3,1715,1842,1601,668,46,28,4184,53935,30285,9550,166,82,94013
LGA57980,200,0,0,265,72,33,178,14,0,291,3513,1406,2922,22,4,7872
LGA58050,22,7,0,514,1755,394,92,450,48,2738,48282,4931,1025,715,117,55068
LGA58190,0,0,0,14,25,0,0,0,0,29,168,0,0,0,0,165
LGA58260,0,0,0,33,30,0,0,4,0,35,218,14,0,10,7,253
LGA58330,0,0,0,38,226,5,0,21,0,260,1897,12,0,45,13,1970
LGA58400,0,0,0,12,15,0,0,0,0,15,141,3,0,0,9,150
LGA58470,0,7,9,24,3,0,0,14,6,14,39,3,0,73,16,136
LGA58510,194,0,0,493,337,225,287,16,8,872,8677,3938,3545,21,27,16209
LGA58540,0,0,0,33,35,0,0,11,0,46,321,4,0,15,7,349
LGA58570,39,0,0,246,211,140,363,53,3,771,7610,3536,4935,108,28,16224
LGA58610,0,0,0,24,65,6,4,0,0,77,707,38,4,5,4,760
LGA58680,0,0,0,17,42,0,0,0,0,44,222,0,0,4,0,228
LGA58760,11,10,0,1364,2311,327,22,51,15,2731,67535,5310,323,244,53,73463
LGA58820,0,0,0,49,74,17,0,7,5,101,1536,105,0,35,15,1692
LGA58890,0,0,0,28,41,0,0,0,0,41,323,11,0,5,5,336
LGA59030,0,0,0,17,10,0,0,0,0,10,113,0,0,0,0,115
LGA59100,0,0,0,14,46,0,0,0,0,46,269,5,0,0,0,279
LGA59170,0,0,0,42,40,4,0,0,0,51,388,14,4,3,5,412
LGA59250,0,0,6,36,26,4,0,0,7,36,112,13,0,10,18,156
LGA59310,0,0,0,29,41,6,0,0,0,47,527,25,0,15,3,577
LGA59320,0,0,0,19,14,0,0,0,0,15,180,0,0,0,0,174
LGA59330,0,0,0,16,23,0,0,0,0,23,232,6,0,0,0,240
LGA59340,5,69,21,207,306,70,36,416,65,891,1798,311,153,1354,190,3806
LGA59350,0,0,6,12,21,0,0,0,8,30,61,0,0,23,28,116
LGA59360,0,3,4,51,42,6,0,0,0,49,422,32,3,22,14,485
LGA59370,0,6,6,60,131,3,0,3,0,144,1485,46,9,23,27,1587
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,4,4,0,0,0,0,0,0,0,0,0,5,8,13
