LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA51080,0,0,0,0,0,3,0,0,0,7,6,0,0,0,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,0,5,0,3,3,21,13,4,9,44
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,10,0,3,22
LGA51190,95,60,16,11,178,134,54,20,11,215,241,102,22,17,387,122,57,7,3,193,78,43,5,4,135,34,10,9,4,56,24,11,4,0,38,15,8,5,0,29,64,45,20,5,133,16,4,0,0,18,1037,507,144,65,1760
LGA51260,89,61,17,7,178,98,73,22,3,195,200,100,43,14,354,87,58,12,0,162,63,39,12,0,119,26,16,4,0,47,13,8,11,0,31,11,12,0,0,24,59,41,23,4,135,7,8,0,0,17,783,509,166,36,1497
LGA51310,24,3,0,0,31,32,13,4,0,49,66,34,10,0,113,53,32,4,3,97,46,30,13,0,85,31,14,3,0,48,23,17,9,0,54,56,42,9,0,109,33,27,11,0,70,0,0,0,0,0,413,239,70,15,740
LGA51330,121,65,26,8,222,186,77,23,9,297,373,208,67,21,668,238,157,25,11,431,215,113,33,5,361,101,50,18,5,170,82,71,14,0,171,55,62,8,7,127,124,98,48,14,288,24,9,3,4,42,1810,1058,318,121,3307
LGA51400,16,33,12,7,61,41,14,5,5,59,83,57,21,5,160,56,29,13,6,112,41,25,10,0,80,10,11,4,0,25,13,11,0,3,27,7,8,0,0,11,35,26,5,0,72,4,6,0,0,9,367,260,95,43,761
LGA51470,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,13
LGA51540,14,7,7,0,25,14,3,0,0,20,23,7,6,0,41,14,8,0,0,24,13,0,0,0,15,9,3,0,0,9,0,0,0,0,3,0,0,0,0,4,9,0,3,3,18,5,0,0,0,8,125,55,27,10,219
LGA51610,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,20,10,5,0,37
LGA51680,0,0,4,0,4,15,3,0,0,17,12,7,3,0,26,14,12,0,0,23,12,6,0,0,18,10,4,0,0,12,3,0,0,0,3,3,5,0,0,10,6,9,4,0,19,4,0,0,0,5,92,46,22,4,165
LGA51710,0,0,0,0,6,0,0,0,0,0,4,3,0,0,5,3,0,0,0,3,5,6,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,3,0,34
LGA51750,8,5,0,0,13,13,8,6,0,26,50,19,6,0,70,33,20,7,0,58,22,14,3,0,43,18,4,3,0,26,18,6,4,0,27,19,24,10,0,45,9,18,5,0,33,0,0,0,0,3,231,128,36,3,399
LGA51820,202,98,30,13,350,289,143,46,21,497,567,321,84,27,1002,418,245,62,14,740,317,185,41,19,566,152,72,23,6,247,116,120,23,3,259,58,69,19,4,151,167,146,54,20,392,34,11,10,3,53,2785,1638,454,152,5028
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,0,0,7
LGA51890,14,12,6,0,29,23,10,9,0,48,35,24,9,9,77,15,8,5,3,32,19,8,5,0,32,14,3,0,6,19,6,3,0,0,10,7,3,0,0,8,16,8,3,4,28,6,6,0,0,10,212,102,53,23,390
LGA51960,11,0,0,0,16,6,3,0,0,15,6,5,0,0,12,10,7,0,0,8,6,0,0,0,8,3,0,0,0,5,3,4,4,0,9,7,0,0,0,12,13,3,5,0,13,6,0,0,0,6,79,33,14,8,130
LGA52030,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,8,0,0,0,0,0,12,9,3,0,21
LGA52100,3,0,0,0,3,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,6,5,0,17
LGA52170,4,0,0,0,9,11,4,0,0,17,9,7,0,0,22,13,5,0,0,20,14,13,0,4,33,7,3,0,0,9,6,11,3,0,19,17,27,11,0,54,14,9,5,0,26,0,0,0,0,0,112,83,21,3,217
LGA52240,6,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,3,0,0,21
LGA52310,0,0,0,0,4,3,0,0,0,3,0,0,0,0,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,18,8,0,0,29
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
LGA52450,0,0,0,0,3,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,15,3,5,3,27
LGA52520,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,9,5,0,26
LGA52590,3,0,0,0,8,5,0,0,0,3,9,7,0,0,21,4,5,0,0,7,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,16,0,0,0,0,0,48,20,7,3,81
LGA52660,14,22,7,0,55,44,16,11,8,75,76,37,13,3,132,30,16,11,0,60,32,19,0,0,56,4,9,0,0,19,9,11,3,0,19,7,3,5,0,14,18,21,10,0,47,7,4,0,0,13,295,186,62,25,573
LGA52730,18,5,0,0,22,21,0,0,0,20,26,20,8,0,52,10,7,0,0,15,10,4,0,0,11,5,0,0,0,5,0,0,0,0,4,0,0,0,0,0,13,13,3,0,31,0,0,0,0,0,119,68,21,4,214
LGA52800,23,13,3,5,52,16,4,5,0,25,20,11,0,10,46,13,6,6,4,25,7,5,0,4,11,3,0,0,0,4,4,6,0,0,8,0,0,0,0,0,12,9,7,6,35,7,0,0,0,10,192,90,50,43,373
LGA52870,10,7,0,0,19,13,4,0,0,21,16,11,0,5,34,15,6,0,0,15,8,9,0,0,16,0,0,0,0,3,4,5,0,0,3,0,0,0,0,0,14,4,4,0,21,0,0,0,0,3,107,55,19,9,195
LGA52940,0,0,0,0,5,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,11,11,4,4,23
LGA53010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5
LGA53080,4,0,0,0,4,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,4,19,6,0,0,29
LGA53150,15,0,4,0,21,13,8,3,0,19,22,18,6,0,47,18,20,3,0,40,13,13,0,0,26,10,3,0,0,15,9,3,0,0,14,10,9,0,0,21,7,7,4,0,23,0,0,0,0,0,144,89,22,0,259
LGA53220,13,0,0,0,18,0,4,5,0,5,5,11,5,4,24,14,11,0,5,24,13,4,0,0,14,5,4,0,0,7,3,6,0,0,6,3,3,3,0,8,3,0,7,0,9,0,0,0,0,5,89,66,32,10,195
LGA53290,20,7,3,0,35,36,16,8,4,58,44,24,5,4,77,21,15,9,0,42,32,5,4,4,44,13,4,0,0,16,7,4,0,0,16,0,5,0,0,11,34,14,6,0,55,9,0,3,0,13,270,132,48,32,482
LGA53360,0,0,0,0,4,0,7,0,0,7,7,5,0,0,15,4,0,0,0,8,5,0,0,0,10,3,0,0,0,3,3,0,0,0,3,5,0,0,0,5,9,5,0,0,14,0,0,0,0,0,38,28,7,0,71
LGA53430,54,16,6,0,76,90,15,4,3,112,137,63,11,5,225,120,59,11,0,193,83,36,8,6,128,43,15,0,0,54,44,21,3,0,69,52,29,3,0,83,54,35,13,3,100,5,0,6,0,14,819,355,81,28,1276
LGA53570,3,3,7,0,10,6,11,0,0,21,19,8,8,0,33,17,5,0,0,16,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,5,0,0,15,4,0,4,0,10,80,39,18,8,149
LGA53640,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,25
LGA53710,0,0,0,0,3,5,0,0,0,5,6,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,19,5,0,0,30
LGA53780,240,132,57,33,454,346,117,56,24,544,640,324,115,38,1119,402,196,51,15,672,295,166,47,14,530,127,66,32,9,239,96,101,32,7,237,38,41,17,12,108,169,132,44,35,381,48,26,3,7,86,2958,1624,593,252,5425
LGA53800,81,54,27,9,169,110,52,20,19,203,191,99,45,18,352,122,86,21,8,236,77,45,15,9,147,50,21,4,0,80,32,22,4,7,67,17,11,0,0,28,75,47,27,5,156,20,3,6,3,36,983,556,215,100,1851
LGA53920,8,10,0,0,23,13,0,3,3,23,17,8,0,8,31,5,4,0,0,13,8,0,0,0,11,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,12,5,8,5,36,11,9,3,3,27,134,86,39,36,298
LGA53990,54,41,18,0,120,68,38,11,9,122,128,71,24,6,235,72,35,10,6,128,53,33,14,4,100,29,6,0,4,41,13,12,9,0,38,13,0,0,0,16,42,36,12,7,108,12,6,0,0,17,592,359,135,43,1131
LGA54060,7,8,4,0,20,11,3,0,0,12,6,9,0,0,15,7,0,0,0,14,3,0,0,0,8,0,0,0,0,0,5,0,0,0,8,0,0,3,0,5,9,0,0,0,5,4,0,0,0,4,73,36,13,3,125
LGA54130,0,5,0,0,4,0,3,0,0,3,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,8,4,0,20
LGA54170,163,123,30,6,332,272,135,48,8,459,667,383,91,24,1163,492,277,70,20,859,408,258,70,16,753,171,100,27,8,303,186,148,28,4,364,126,130,31,4,298,221,193,84,13,510,26,16,4,0,47,3160,2010,545,125,5840
LGA54200,72,60,25,12,165,109,59,29,0,197,295,148,42,25,512,202,97,32,18,342,144,101,27,3,281,70,38,5,5,123,63,40,14,3,121,43,29,7,0,80,104,66,31,10,219,18,11,3,0,24,1300,757,245,106,2415
LGA54280,43,15,5,4,72,56,10,6,10,80,90,48,20,10,165,71,41,15,6,137,72,32,11,3,130,42,15,3,4,56,45,13,4,0,62,31,18,3,0,52,21,32,11,6,73,24,8,5,4,41,586,299,102,68,1054
LGA54310,13,13,0,0,23,12,9,8,4,32,39,18,7,4,71,39,29,14,0,86,32,24,3,0,61,8,4,0,0,15,23,23,6,0,51,13,19,8,0,41,11,14,5,0,27,3,3,0,0,8,237,166,69,21,491
LGA54340,3,3,5,0,14,9,6,5,0,20,19,3,0,0,25,7,6,0,0,17,3,3,0,0,9,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,9,3,4,15,0,0,0,0,4,80,48,19,10,159
LGA54410,3,4,0,0,6,4,0,0,0,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,7,0,0,0,0,3,26,13,3,0,39
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
LGA54550,3,4,0,0,11,5,0,0,0,9,0,0,3,0,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,25,12,10,0,47
LGA54620,5,0,4,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,4,0,0,0,4,18,3,4,0,29
LGA54690,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,3
LGA54760,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,13,3,0,0,9
LGA54830,102,66,31,15,213,139,71,20,19,248,287,123,58,26,496,177,78,24,13,297,98,56,9,4,178,39,27,4,0,77,31,26,4,0,66,16,13,3,5,36,77,48,31,13,169,25,12,4,0,39,1250,652,252,126,2287
LGA54900,3,3,0,0,5,0,0,0,0,0,4,0,0,0,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,6,0,0,18
LGA54970,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,10,4,3,4,25
LGA55040,0,0,0,0,0,0,0,0,0,0,6,0,3,0,7,0,0,0,0,5,5,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,15,7,0,6,31
LGA55110,210,139,69,22,433,280,122,61,38,501,490,236,79,42,848,272,132,38,23,468,171,114,34,10,325,74,57,9,9,156,63,46,8,3,127,42,40,9,6,94,166,107,47,23,341,38,21,0,3,64,2300,1326,472,210,4306
LGA55180,20,15,9,0,32,32,5,0,0,45,40,19,4,4,70,17,5,7,0,30,10,12,0,0,18,6,0,0,0,5,3,4,0,0,10,5,0,0,0,5,16,9,0,0,28,0,0,0,0,4,171,88,32,12,305
LGA55250,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,3,16,15,0,8,42
LGA55320,126,61,10,4,206,171,79,17,4,279,413,173,54,9,645,305,149,25,4,489,299,153,33,4,484,112,68,22,0,195,124,91,20,6,237,122,117,20,5,263,113,106,53,8,276,25,10,3,0,45,2126,1158,318,62,3670
LGA55390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
LGA55460,6,7,0,0,10,10,8,0,0,13,13,7,0,0,23,8,5,0,0,14,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,6,0,3,0,6,67,29,11,0,111
LGA55530,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,7
LGA55600,4,3,4,0,15,3,5,0,0,7,9,3,0,0,20,7,0,0,0,6,6,0,0,0,6,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,3,49,21,11,3,89
LGA55670,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,19
LGA55740,7,4,0,0,7,13,8,0,0,20,16,14,0,0,34,22,16,3,0,42,22,12,0,0,29,8,6,0,0,14,3,3,0,0,15,17,11,5,0,34,11,9,3,0,20,0,0,0,0,0,154,93,18,10,262
LGA55810,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,8,0,15
LGA55880,3,0,0,0,3,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,14
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,14
LGA56090,53,26,10,3,88,71,32,8,8,116,144,83,32,3,259,114,61,11,3,191,110,42,21,4,172,45,22,10,3,75,49,26,8,3,81,27,25,5,0,59,62,62,17,10,144,11,10,0,0,23,813,436,135,40,1421
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9
LGA56230,37,30,5,6,78,44,15,10,3,78,99,54,13,4,168,44,25,5,5,79,35,10,3,0,53,16,0,7,0,30,16,6,0,0,24,10,5,4,4,19,31,25,12,4,70,3,0,3,0,8,436,234,75,35,775
LGA56300,5,3,0,0,7,0,0,0,0,3,5,0,0,0,7,9,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,27,8,0,0,37
LGA56370,0,0,0,0,0,0,0,0,0,4,3,6,0,0,3,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,17
LGA56460,8,9,0,5,21,13,0,3,0,23,26,11,4,0,44,11,4,3,0,21,6,5,0,0,16,4,0,0,0,7,3,0,0,0,8,3,0,0,0,4,9,9,3,0,15,3,0,0,0,7,114,65,15,10,210
LGA56580,6,7,0,0,14,23,11,5,0,38,46,28,6,0,79,35,22,9,0,64,37,26,8,0,72,21,8,0,0,28,20,17,5,0,46,55,39,14,9,113,17,19,8,0,53,3,0,0,0,0,299,209,66,9,587
LGA56620,5,3,4,0,14,9,3,0,0,14,7,7,0,0,16,3,4,6,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,6,9,0,14,0,6,0,0,10,48,36,13,6,107
LGA56730,25,13,5,3,46,43,13,11,3,75,50,34,13,9,105,32,8,0,9,53,19,9,9,5,36,11,5,3,0,20,17,3,0,0,20,5,0,0,0,6,13,16,4,0,34,9,8,0,0,16,290,144,54,39,526
LGA56790,3,3,0,0,6,13,0,0,0,13,8,7,3,4,14,3,0,0,0,3,9,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,7,0,5,0,0,4,47,21,10,6,78
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8
LGA56930,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,7,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,19,12,6,4,39
LGA57000,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,12
LGA57080,29,6,0,0,37,32,6,0,0,40,58,18,7,0,77,52,19,0,0,74,44,16,5,0,70,13,6,0,0,19,32,6,3,0,36,38,9,0,0,47,22,9,4,0,40,3,4,0,0,8,385,117,22,6,527
LGA57140,0,3,0,0,3,5,0,3,0,7,0,0,0,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,21,10,7,7,40
LGA57210,8,6,0,3,19,11,3,3,0,19,22,4,4,4,36,8,7,0,3,18,6,0,0,0,6,3,0,0,0,4,3,0,0,0,3,0,0,0,0,0,4,8,0,0,13,4,6,0,0,5,100,43,23,11,174
LGA57280,13,11,7,0,23,16,4,0,4,26,35,15,14,5,75,41,24,10,0,78,39,14,6,5,62,11,5,0,0,17,29,9,7,4,41,18,10,0,0,31,7,17,12,6,36,14,8,3,0,22,265,137,65,25,501
