LGA_CODE_2021,C21_P_NatPhy_sci_15_19,C21_P_NatPhy_sci_20_24,C21_P_NatPhy_sci_25_34,C21_P_NatPhy_sci_35_44,C21_P_NatPhy_sci_45_54,C21_P_NatPhy_sci_55_64,C21_P_NatPhy_sci_65_74,C21_P_NatPhy_sci_75_84,C21_P_NatPhy_sci_85over,C21_P_NatPhy_sci_Tot,C21_P_InfTec_15_19,C21_P_InfTec_20_24,C21_P_InfTec_25_34,C21_P_InfTec_35_44,C21_P_InfTec_45_54,C21_P_InfTec_55_64,C21_P_InfTec_65_74,C21_P_InfTec_75_84,C21_P_InfTec_85over,C21_P_InfTec_Tot,C21_P_EngRT_15_19,C21_P_EngRT_20_24,C21_P_EngRT_25_34,C21_P_EngRT_35_44,C21_P_EngRT_45_54,C21_P_EngRT_55_64,C21_P_EngRT_65_74,C21_P_EngRT_75_84,C21_P_EngRT_85over,C21_P_EngRT_Tot,C21_P_ArchBuild_15_19,C21_P_ArchBuild_20_24,C21_P_ArchBuild_25_34,C21_P_ArchBuild_35_44,C21_P_ArchBuild_45_54,C21_P_ArchBuild_55_64,C21_P_ArchBuild_65_74,C21_P_ArchBuild_75_84,C21_P_ArchBuild_85over,C21_P_ArchBuild_Tot,C21_P_AgEnv_RS_15_19,C21_P_AgEnv_RS_20_24,C21_P_AgEnv_RS_25_34,C21_P_AgEnv_RS_35_44,C21_P_AgEnv_RS_45_54,C21_P_AgEnv_RS_55_64,C21_P_AgEnv_RS_65_74,C21_P_AgEnv_RS_75_84,C21_P_AgEnv_RS_85over,C21_P_AgEnv_RS_Tot,C21_P_Health_15_19,C21_P_Health_20_24,C21_P_Health_25_34,C21_P_Health_35_44,C21_P_Health_45_54,C21_P_Health_55_64,C21_P_Health_65_74,C21_P_Health_75_84,C21_P_Health_85over,C21_P_Health_Tot,C21_P_Educ_15_19,C21_P_Educ_20_24,C21_P_Educ_25_34,C21_P_Educ_35_44,C21_P_Educ_45_54,C21_P_Educ_55_64,C21_P_Educ_65_74,C21_P_Educ_75_84,C21_P_Educ_85over,C21_P_Educ_Tot,C21_P_MngtCom_15_19,C21_P_MngtCom_20_24,C21_P_MngtCom_25_34,C21_P_MngtCom_35_44,C21_P_MngtCom_45_54,C21_P_MngtCom_55_64,C21_P_MngtCom_65_74,C21_P_MngtCom_75_84,C21_P_MngtCom_85over,C21_P_MngtCom_Tot,C21_P_Soc_cult_15_19,C21_P_Soc_cult_20_24,C21_P_Soc_cult_25_34,C21_P_Soc_cult_35_44,C21_P_Soc_cult_45_54,C21_P_Soc_cult_55_64,C21_P_Soc_cult_65_74,C21_P_Soc_cult_75_84,C21_P_Soc_cult_85over,C21_P_Soc_cult_Tot,C21_P_Creative_art_15_19,C21_P_Creative_art_20_24,C21_P_Creative_art_25_34,C21_P_Creative_art_35_44,C21_P_Creative_art_45_54,C21_P_Creative_art_55_64,C21_P_Creative_art_65_74,C21_P_Creative_art_75_84,C21_P_Creative_art_85over,C21_P_Creative_art_Tot,C21_P_FoodHos_PS_15_19,C21_P_FoodHos_PS_20_24,C21_P_FoodHos_PS_25_34,C21_P_FoodHos_PS_35_44,C21_P_FoodHos_PS_45_54,C21_P_FoodHos_PS_55_64,C21_P_FoodHos_PS_65_74,C21_P_FoodHos_PS_75_84,C21_P_FoodHos_PS_85over,C21_P_FoodHos_PS_Tot,C21_P_MixFld_pr_15_19,C21_P_MixFld_pr_20_24,C21_P_MixFld_pr_25_34,C21_P_MixFld_pr_35_44,C21_P_MixFld_pr_45_54,C21_P_MixFld_pr_55_64,C21_P_MixFld_pr_65_74,C21_P_MixFld_pr_75_84,C21_P_MixFld_pr_85over,C21_P_MixFld_pr_Tot,C21_P_FldStu_ID_15_19,C21_P_FldStu_ID_20_24,C21_P_FldStu_ID_25_34,C21_P_FldStu_ID_35_44,C21_P_FldStu_ID_45_54,C21_P_FldStu_ID_55_64,C21_P_FldStu_ID_65_74,C21_P_FldStu_ID_75_84,C21_P_FldStu_ID_85over,C21_P_FldStu_ID_Tot,C21_P_FldStu_NS_15_19,C21_P_FldStu_NS_20_24,C21_P_FldStu_NS_25_34,C21_P_FldStu_NS_35_44,C21_P_FldStu_NS_45_54,C21_P_FldStu_NS_55_64,C21_P_FldStu_NS_65_74,C21_P_FldStu_NS_75_84,C21_P_FldStu_NS_85over,C21_P_FldStu_NS_Tot,C21_P_Tot_15_19,C21_P_Tot_20_24,C21_P_Tot_25_34,C21_P_Tot_35_44,C21_P_Tot_45_54,C21_P_Tot_55_64,C21_P_Tot_65_74,C21_P_Tot_75_84,C21_P_Tot_85over,C21_P_Tot_Tot
LGA51960,0,0,6,4,8,4,0,4,0,26,0,0,0,3,5,0,0,0,0,9,6,19,78,56,77,62,27,7,4,323,0,0,8,4,4,8,3,0,0,29,0,0,4,4,4,3,3,0,0,22,3,3,11,12,18,20,4,4,0,64,0,3,15,22,17,17,6,0,0,81,5,10,21,27,26,25,9,0,0,124,3,10,10,15,11,15,6,0,0,71,0,0,0,3,0,0,3,0,0,10,0,4,17,15,16,10,8,0,0,73,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,17,59,59,130,139,141,116,67,30,5,743,74,118,317,311,321,272,137,43,4,1600
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,17,9,14,36,30,13,0,116,0,3,3,0,0,3,4,4,0,19,0,0,0,4,8,8,6,3,0,29,0,0,0,3,0,0,3,3,0,19,0,0,9,0,6,8,14,11,0,54,0,5,15,3,10,9,17,0,0,55,0,0,5,5,0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,6,0,0,3,0,4,3,4,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,8,18,9,20,27,26,13,8,130,7,22,73,49,64,105,109,50,14,492
LGA52100,0,0,4,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,17,16,12,4,10,0,0,73,0,0,5,0,4,5,0,0,0,9,4,3,6,10,3,6,5,3,0,39,0,0,0,9,6,12,3,5,0,44,0,3,8,5,0,11,12,3,0,40,0,9,5,24,11,6,6,5,0,58,0,0,11,8,6,5,6,5,0,30,0,0,3,3,0,0,0,0,0,4,0,0,5,3,0,4,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,4,0,8,0,9,10,14,8,11,63,7,23,73,85,66,66,59,27,16,414
LGA52170,0,23,57,45,45,46,47,24,9,294,0,0,4,3,5,14,10,4,0,44,0,18,80,69,83,84,80,42,15,471,0,7,38,34,38,32,33,9,8,183,0,0,15,15,15,18,11,8,3,88,0,32,172,126,165,176,123,70,27,890,4,9,32,31,53,103,117,58,17,430,10,44,170,211,310,230,140,73,14,1211,0,40,105,115,168,139,131,63,16,776,0,19,47,49,48,42,22,17,0,243,0,3,9,18,13,17,5,0,5,72,0,0,4,0,0,0,0,0,0,4,0,6,3,8,14,12,12,5,0,68,13,22,68,55,35,63,40,51,55,398,30,225,817,772,993,978,763,428,166,5167
LGA52240,0,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,9,4,10,11,14,0,0,57,0,5,0,0,0,3,0,0,0,15,0,0,19,22,18,23,10,0,0,93,0,0,4,4,3,3,5,4,0,31,0,8,3,5,3,8,4,0,0,33,0,4,7,20,6,3,4,0,0,48,3,0,4,7,11,0,4,0,0,33,0,0,0,0,0,0,0,0,0,3,0,0,10,7,3,0,3,3,0,24,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,7,8,8,7,20,14,26,21,11,5,118,15,25,71,87,87,88,63,32,10,476
LGA52310,0,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,9,7,4,14,21,13,5,0,69,0,0,6,0,6,0,4,0,0,14,0,0,9,6,7,8,5,6,0,45,0,0,4,3,5,11,4,0,0,36,0,0,3,0,11,8,3,0,3,28,0,3,9,7,5,10,10,4,0,46,0,0,3,4,5,11,10,0,0,35,0,0,0,0,4,0,0,0,0,12,0,3,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,11,17,14,14,15,5,92,4,25,48,46,77,94,69,31,8,411
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,3,8,4,6,0,0,28,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,11,0,0,4,0,0,5,0,0,0,5,0,3,0,4,0,6,7,0,0,18,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,6,3,10,3,0,35,4,13,26,11,27,21,31,3,0,121
LGA52450,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,6,28,18,16,18,6,12,3,108,0,0,0,0,0,3,0,0,0,10,0,8,8,6,3,6,5,0,0,41,0,0,9,8,9,5,3,3,0,43,0,0,8,11,6,12,5,4,0,46,0,7,22,9,12,10,10,0,0,67,0,0,0,13,9,4,7,0,0,30,0,0,0,0,0,3,0,0,0,3,0,0,6,5,0,7,0,0,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,9,10,24,11,11,24,5,4,103,21,28,102,93,70,68,57,25,10,489
LGA52520,0,0,0,4,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,8,0,7,24,30,14,7,3,0,0,93,0,4,7,0,0,0,0,0,0,16,0,3,5,14,6,6,4,0,0,43,0,0,10,8,7,11,7,0,0,44,0,0,10,12,11,5,4,4,4,52,4,6,14,29,10,3,0,0,0,62,0,0,3,8,9,3,3,0,0,29,0,0,5,0,0,0,0,0,0,3,0,0,0,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,11,6,9,27,45,31,35,20,10,8,188,11,34,115,149,90,92,43,24,12,569
LGA52590,0,3,10,5,9,6,0,0,0,26,0,0,0,0,0,0,0,0,0,8,0,11,45,55,62,72,67,22,3,333,0,4,21,5,16,16,17,4,0,84,6,4,12,14,23,13,13,0,0,88,4,0,25,16,17,28,26,14,6,120,0,0,15,22,21,31,33,12,0,136,5,6,29,35,24,44,48,8,8,199,0,3,22,18,19,26,11,0,0,100,0,4,10,0,0,9,0,4,0,29,0,0,27,15,18,15,14,3,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,22,22,19,63,57,52,54,77,33,5,376,32,58,276,241,269,311,304,112,18,1623
LGA52660,0,3,18,35,34,18,18,7,0,124,3,16,23,40,15,11,7,0,0,119,15,71,335,312,272,232,169,67,22,1495,8,29,97,77,46,50,38,19,8,371,13,13,21,27,33,32,26,8,7,178,10,32,109,162,117,114,63,49,17,674,16,22,77,119,145,118,77,21,6,599,32,44,248,223,175,139,97,35,15,998,31,61,133,155,130,102,51,13,4,679,7,15,31,32,16,15,9,9,0,130,16,38,92,88,69,52,32,20,0,409,3,0,0,3,0,3,0,0,0,11,4,3,14,13,21,11,13,0,0,72,34,43,139,143,155,143,123,131,97,1000,184,395,1339,1424,1216,1033,723,374,175,6854
LGA52730,0,0,8,28,35,28,40,17,3,165,4,0,7,0,3,21,10,4,0,41,4,5,38,66,74,112,100,40,11,447,0,5,31,45,34,45,25,11,0,206,14,6,22,32,34,51,35,16,3,210,7,4,38,63,73,85,64,47,8,388,0,6,26,62,80,93,95,33,13,412,0,6,31,66,63,81,71,34,5,364,3,7,26,55,62,104,79,29,9,375,0,4,18,27,32,19,31,16,0,154,9,5,19,27,22,31,19,11,0,137,0,0,0,0,0,0,0,0,0,4,0,3,9,9,15,13,7,8,0,57,45,17,57,71,97,103,97,73,34,590,88,71,317,569,630,783,682,333,80,3553
LGA52800,0,10,12,3,8,0,3,0,0,33,0,0,7,3,0,0,3,0,0,14,5,22,59,46,48,67,25,0,0,275,3,7,20,19,15,16,16,4,0,106,4,7,27,21,20,9,0,0,0,94,0,17,63,44,31,32,32,3,0,216,0,19,63,41,47,41,18,3,0,233,6,23,66,54,31,33,14,0,0,232,0,7,45,44,49,33,17,0,0,199,0,0,12,9,4,4,6,0,0,29,0,12,28,20,16,9,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,5,0,0,0,14,117,112,241,195,174,161,96,34,8,1133,138,240,631,506,444,413,236,46,6,2655
LGA52870,0,0,14,18,22,20,17,5,0,96,0,4,0,7,0,0,7,4,0,35,12,29,68,90,111,97,96,43,8,562,0,9,15,20,20,33,27,13,8,144,8,3,23,39,29,26,29,7,0,162,4,8,36,46,45,67,60,23,9,293,8,13,22,46,61,70,82,26,3,323,11,14,58,74,72,71,56,16,5,376,13,14,28,62,48,79,44,10,0,299,3,0,9,16,22,20,11,9,0,96,7,9,20,32,23,24,11,8,0,130,0,0,0,0,0,0,0,0,0,5,3,0,0,5,11,11,7,0,0,43,25,17,39,60,68,78,85,67,13,464,105,117,340,518,548,593,528,229,49,3021
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,6,8,6,7,0,0,39,0,0,0,0,3,0,3,0,0,9,0,4,4,6,8,3,9,0,0,35,0,0,0,10,0,8,8,0,0,24,0,0,0,10,7,0,12,0,0,28,0,0,0,4,7,4,6,0,0,32,0,3,4,7,4,0,3,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,5,5,13,7,16,5,0,66,5,18,31,52,58,32,60,14,6,271
LGA53010,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12,4,8,3,8,3,0,35,0,0,0,0,0,0,0,0,0,6,0,0,3,13,5,6,0,0,0,33,0,0,3,5,3,10,6,0,0,21,0,0,3,7,3,8,6,0,0,24,0,0,6,13,4,3,0,0,0,35,0,0,0,11,3,5,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,11,14,15,24,23,9,0,109,5,14,54,65,52,51,45,14,0,301
LGA53080,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,9,4,4,7,17,3,0,40,0,0,0,0,0,0,7,0,0,11,0,6,0,0,4,4,0,0,0,12,0,0,4,4,0,4,3,0,0,22,0,0,3,0,0,3,3,0,0,10,0,0,4,0,4,5,4,0,0,18,0,0,10,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,8,28,9,34,29,15,8,0,137,10,18,58,28,51,66,37,16,0,292
LGA53150,0,15,40,50,59,62,38,13,0,277,0,5,3,9,25,14,3,0,0,66,0,11,82,100,131,107,92,33,19,583,0,10,23,45,38,36,25,3,5,182,0,7,8,21,11,16,15,5,0,84,0,25,103,126,150,143,81,34,6,671,0,8,41,59,100,120,113,40,12,491,3,26,106,161,230,166,107,43,12,845,8,35,93,101,138,108,102,43,5,631,14,19,42,62,41,27,18,5,3,234,6,7,13,19,29,22,17,9,0,128,0,0,0,0,0,0,0,0,0,5,0,5,8,10,16,17,7,3,0,71,13,12,46,71,48,43,42,73,95,446,48,185,611,833,1022,884,655,308,166,4705
LGA53220,0,3,40,23,20,12,0,0,0,96,0,5,21,10,10,7,0,0,0,39,10,78,452,394,234,160,25,0,0,1348,4,15,78,76,44,35,4,0,0,249,6,7,27,19,22,10,3,0,0,84,0,18,79,47,43,32,8,3,0,231,0,12,61,58,50,34,11,0,0,222,11,29,136,118,80,27,5,0,0,411,6,29,86,70,27,27,3,4,0,254,0,5,25,12,6,4,3,0,0,47,5,12,72,63,49,21,6,0,0,224,0,0,5,0,0,0,0,0,0,5,0,0,10,10,13,5,0,0,0,44,63,168,683,604,447,312,53,11,0,2343,98,386,1761,1503,1042,672,122,21,0,5602
LGA53290,0,3,18,28,13,11,8,4,0,93,0,6,11,7,9,12,0,0,0,42,13,68,207,196,199,185,111,54,14,1049,6,28,72,68,43,51,29,19,0,313,8,33,77,92,88,66,27,31,4,430,3,20,93,90,104,102,67,49,17,549,3,10,91,98,132,116,69,45,10,572,29,63,144,168,189,116,50,33,10,797,11,25,81,100,82,75,56,13,5,446,0,7,34,27,19,6,8,8,3,118,5,33,94,66,64,46,30,7,0,347,0,0,0,0,0,0,0,0,0,4,3,0,9,7,6,7,14,11,3,57,110,98,179,208,249,213,188,168,38,1446,205,399,1111,1153,1200,1006,668,431,104,6269
LGA53360,0,5,52,25,5,6,0,0,0,87,0,0,0,0,4,0,0,0,0,3,3,18,87,75,65,53,33,8,4,346,0,13,37,32,18,22,12,3,0,137,0,3,16,21,14,9,0,0,0,60,0,6,23,26,24,17,9,5,0,111,0,3,31,34,31,23,11,0,0,136,7,14,42,47,44,22,12,0,0,204,0,5,33,28,29,15,0,6,0,123,0,0,19,16,12,3,0,0,0,55,0,8,36,22,23,18,3,3,0,114,0,0,0,0,0,0,0,0,0,3,0,0,3,3,4,3,0,6,0,21,22,26,58,56,42,54,42,15,4,322,44,112,432,387,312,249,131,54,9,1724
LGA53430,0,76,210,207,192,177,102,42,6,1015,5,19,46,72,58,58,24,5,0,296,26,67,445,513,400,447,327,168,39,2437,0,42,196,219,183,172,103,54,13,983,0,24,86,112,87,97,47,12,3,462,5,93,602,492,429,449,286,124,17,2493,17,48,240,265,307,368,331,118,20,1713,26,116,501,588,559,516,292,127,24,2748,21,135,541,544,554,527,434,154,26,2936,25,119,332,318,220,182,133,37,8,1373,23,44,147,139,130,83,75,20,6,661,3,5,5,5,3,4,0,0,0,30,4,14,69,80,67,51,38,16,5,340,80,147,414,341,354,280,268,183,196,2267,225,946,3841,3887,3539,3404,2473,1064,367,19746
LGA53570,0,0,3,3,5,8,8,0,0,35,0,0,3,8,3,5,4,0,0,27,8,21,59,61,105,111,134,53,10,555,0,4,22,25,24,40,30,11,5,164,0,3,31,39,32,26,27,4,0,159,0,0,23,33,26,51,33,20,3,195,0,0,18,26,35,31,32,18,5,160,7,12,53,47,55,69,54,17,0,313,0,12,40,27,32,33,28,4,0,176,0,0,12,10,5,8,4,4,0,45,0,11,25,13,29,23,20,11,0,141,0,0,0,0,0,0,4,0,0,9,0,0,9,3,8,3,8,7,0,39,14,31,74,67,104,99,116,87,12,613,39,104,373,361,475,495,491,245,37,2614
LGA53640,0,0,5,0,3,5,0,3,0,16,0,0,0,0,0,0,0,0,0,3,0,4,20,11,14,13,5,0,0,64,0,0,9,0,5,0,0,0,0,17,0,3,17,14,6,10,6,0,0,61,0,0,16,7,0,4,3,0,0,34,0,0,7,10,10,7,6,0,0,47,0,3,19,10,18,8,7,0,0,65,0,0,0,7,10,9,7,0,0,30,0,3,0,0,0,3,0,0,0,12,0,0,4,3,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,9,8,13,21,13,22,21,4,3,106,5,21,109,83,80,89,63,8,6,472
LGA53710,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,20,7,10,11,0,0,58,0,0,4,8,0,0,0,0,0,12,0,0,3,3,3,8,5,0,0,31,0,3,5,3,12,11,9,5,0,40,0,4,0,9,7,4,9,0,0,31,0,3,6,14,11,9,4,0,0,59,0,4,5,8,3,13,7,0,0,28,0,0,0,0,0,0,0,0,0,4,0,3,5,0,5,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,8,11,21,23,31,15,5,133,18,25,44,81,68,81,75,19,3,412
LGA53780,5,178,445,511,321,197,125,51,9,1830,51,174,580,908,334,144,37,12,4,2238,130,533,1962,2649,2132,1661,1220,550,112,10951,47,201,589,506,341,313,267,152,40,2461,16,46,137,168,148,106,54,21,3,704,59,495,1381,1295,858,657,422,188,45,5401,59,210,640,841,778,575,418,158,42,3733,177,677,2255,3229,2154,1283,737,267,64,10841,162,514,1320,1595,1213,844,486,157,21,6310,107,262,406,352,206,84,58,35,11,1518,109,410,963,865,547,340,211,81,14,3551,24,16,25,12,6,13,14,7,0,127,22,50,217,233,182,112,69,40,10,940,429,540,1410,1400,1148,785,667,541,386,7308,1394,4300,12342,14565,10374,7137,4788,2252,768,57919
LGA53800,3,33,66,80,53,33,28,3,0,301,9,26,66,55,41,17,17,4,0,224,78,162,607,613,635,589,411,163,52,3313,11,68,234,191,165,192,126,51,13,1048,24,44,98,102,124,105,67,14,4,586,25,158,428,372,385,277,212,91,29,1986,6,57,264,341,438,348,185,63,12,1720,47,149,407,516,521,411,212,71,25,2361,49,92,294,341,355,303,161,33,9,1635,21,50,69,80,51,44,33,10,0,352,28,95,207,201,210,98,58,39,7,937,6,6,9,3,3,9,4,0,3,40,7,13,24,36,36,43,15,6,7,185,254,227,576,608,582,512,406,328,207,3699,566,1181,3356,3539,3594,2981,1925,890,370,18394
LGA53920,0,0,3,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,33,19,18,9,3,0,0,96,0,5,7,16,6,4,6,0,0,48,4,5,17,14,7,4,0,0,0,51,0,5,16,7,12,12,11,0,0,65,0,8,36,22,20,19,5,0,0,111,0,4,9,17,15,11,3,0,0,67,0,4,28,20,21,17,8,0,0,101,0,0,0,3,3,3,0,0,0,14,0,0,8,9,3,6,0,0,0,30,0,0,0,0,0,0,0,0,0,4,0,0,4,3,0,0,4,0,0,16,52,49,95,100,85,58,32,22,3,492,61,96,267,238,198,150,70,27,3,1110
LGA53990,5,5,40,55,45,57,25,12,0,247,9,27,49,50,19,27,9,0,0,191,64,158,526,627,594,498,357,133,18,2980,14,48,145,149,120,128,84,39,9,732,32,26,58,85,86,80,49,21,7,436,27,44,192,252,225,285,176,67,16,1289,17,40,159,264,292,272,198,66,10,1321,51,104,341,427,387,311,172,56,8,1866,54,86,199,292,276,202,144,36,3,1290,16,24,57,50,39,28,24,14,4,259,36,47,194,177,134,102,61,19,4,788,6,0,0,3,0,8,0,0,0,20,3,10,40,45,49,37,26,8,3,216,107,97,245,258,253,267,245,154,68,1695,438,725,2241,2742,2531,2297,1573,624,153,13320
LGA54060,0,0,0,0,6,4,3,0,0,21,0,0,5,0,0,5,3,0,0,8,8,16,24,45,64,78,69,30,6,342,0,0,9,16,22,25,36,14,0,122,0,0,8,22,11,11,11,4,0,69,3,5,16,17,38,30,33,18,0,159,0,4,8,20,24,37,30,8,5,131,5,13,19,23,43,33,21,13,0,179,0,0,10,21,16,20,17,6,0,94,0,0,0,3,3,3,5,0,0,14,0,3,11,22,21,17,8,3,0,91,0,0,0,0,0,0,0,0,0,3,0,0,0,6,5,0,6,0,0,10,20,19,39,62,56,83,85,65,19,436,45,69,146,247,311,346,316,165,33,1682
LGA54130,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,8,17,16,16,17,9,3,0,82,0,0,9,13,0,3,0,0,0,28,0,5,17,16,8,10,4,3,0,66,0,0,10,0,5,10,0,3,0,38,0,0,11,10,13,12,3,0,0,59,0,6,19,15,7,8,5,0,0,66,0,0,8,9,0,10,0,0,0,25,0,0,4,0,0,0,0,0,0,7,0,0,4,8,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,11,7,6,12,23,22,16,0,4,102,13,29,104,104,85,95,46,16,5,500
LGA54170,4,237,477,693,698,522,338,122,19,3114,35,152,341,622,548,383,138,21,0,2243,121,538,2139,2771,2869,3062,2583,973,221,15272,63,231,1097,1290,1117,930,661,224,54,5661,13,69,208,326,259,197,103,38,13,1210,76,566,1760,1875,1960,1844,1075,391,93,9651,89,275,1094,1679,1965,1826,1342,456,96,8830,293,787,2057,3787,3976,3114,2125,700,165,17011,189,668,1434,1918,1826,1463,1004,265,40,8816,176,388,593,662,423,265,193,58,19,2778,117,316,734,804,787,604,386,149,23,3924,38,19,10,5,8,14,17,3,0,109,22,64,120,228,243,178,132,58,11,1065,292,355,929,1105,1098,937,819,612,453,6591,1524,4675,12999,17775,17769,15336,10911,4069,1205,86272
LGA54200,5,77,142,230,229,139,134,56,15,1036,12,49,132,233,147,81,35,5,0,695,71,268,968,1159,1111,1029,860,445,115,6024,26,82,283,295,243,218,216,116,31,1506,8,31,88,132,114,82,54,23,11,556,31,175,520,568,495,483,354,189,55,2878,32,81,358,506,537,464,459,223,53,2717,120,205,708,1194,1043,707,547,219,61,4802,97,197,475,584,587,521,335,151,38,2980,33,116,197,215,139,93,64,39,16,914,53,152,327,342,282,175,120,58,8,1510,16,8,4,0,4,5,0,4,0,43,5,21,62,85,92,53,44,27,12,408,163,180,482,523,472,441,334,320,226,3127,670,1637,4747,6052,5497,4507,3549,1883,633,29184
LGA54280,0,33,146,133,57,35,6,0,0,407,3,13,34,47,27,8,3,3,0,124,40,254,977,861,711,501,210,57,8,3629,9,32,124,94,77,82,52,19,0,494,3,19,46,47,41,18,15,0,0,192,14,94,261,215,206,181,71,23,0,1073,10,54,210,232,206,148,58,16,9,944,38,121,390,454,328,226,75,10,5,1637,22,86,281,242,155,145,52,17,0,997,16,18,59,51,27,19,5,5,0,203,27,98,231,160,132,66,25,8,0,744,5,12,3,3,0,3,0,0,0,29,0,14,37,49,32,26,17,0,0,173,160,260,604,532,470,425,286,119,71,2930,354,1098,3396,3113,2472,1889,876,284,92,13572
LGA54310,0,5,39,60,51,16,3,0,0,178,0,5,28,42,15,3,0,0,0,96,46,146,774,870,581,327,74,14,0,2835,0,20,173,146,91,67,19,3,0,523,3,11,32,52,37,18,5,0,0,157,4,45,235,214,129,93,23,3,0,741,0,41,210,248,184,78,22,0,0,786,36,67,413,497,330,136,32,3,0,1519,13,58,197,211,174,77,24,0,0,750,0,13,66,48,24,11,0,0,0,162,20,34,141,135,94,46,5,0,0,485,0,0,3,0,0,0,3,0,0,12,3,7,31,44,44,25,3,0,0,154,194,234,820,806,550,369,117,33,5,3131,326,692,3173,3381,2302,1257,333,69,3,11532
LGA54340,0,0,4,4,6,0,4,0,0,14,0,3,10,0,6,0,0,0,0,12,6,21,52,32,35,45,31,13,3,228,0,3,16,12,12,5,4,4,0,53,7,18,23,26,28,24,10,0,0,132,0,8,37,20,19,24,15,13,3,146,4,7,23,31,25,27,12,11,0,145,8,10,31,40,16,22,10,5,0,150,6,15,23,25,21,18,3,6,0,118,0,7,3,3,4,0,0,0,0,24,5,7,23,13,12,14,4,9,0,78,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,3,0,0,0,11,40,30,68,70,46,56,56,37,22,438,76,140,310,283,231,237,157,87,34,1557
LGA54410,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,4,11,19,15,14,12,11,0,78,0,0,3,0,0,3,0,0,0,9,0,0,0,4,4,10,0,0,0,24,4,0,5,0,4,5,10,5,0,37,0,0,8,13,12,9,6,0,0,47,0,9,12,14,7,5,3,0,0,53,0,0,3,6,4,10,8,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,6,5,5,4,4,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,11,14,27,36,19,24,11,162,24,28,61,66,75,99,59,46,14,474
