LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA51750,374,2129,39,3087,0,0,0,7,0,7,434,12,26,15,5,484,36,15,7,12,0,76,81,24,14,31,4,151,1333,447,364,2014,33,4196,26,6,10,6,0,40,66,7,11,19,4,97,119,27,27,135,9,319,20,17,5,34,0,70,15,4,0,3,0,27,134,11,3,7,0,161,328,111,63,801,6,1308,101,40,17,134,4,297,18,7,0,0,0,23,9,0,0,3,0,14,4,0,5,12,0,12,11,0,0,0,0,10,7,0,0,0,0,7,49,16,16,0,0,84,72,13,10,10,0,110,44,5,0,0,0,57,3,0,0,0,0,3,347,114,78,677,13,1236,7,0,0,0,0,18,90,13,13,3,0,123,35,0,5,6,0,42,22,7,0,0,0,36,23,0,3,0,0,24,52,13,7,40,3,113,693,81,103,91,7,977,27,10,3,19,742,796,3397,861,685,4281,824,10055,88,535,493,2272
LGA51820,3626,20212,390,29928,4,8,11,193,0,225,5166,93,118,126,29,5528,1790,316,144,628,22,2901,931,244,204,430,11,1821,12930,3925,3167,15126,431,35577,2423,11,101,6,16,2566,475,52,39,107,3,682,1148,292,195,1122,43,2802,162,66,24,149,6,401,132,19,12,36,0,200,2574,89,68,73,20,2829,2976,797,569,4309,99,8747,3887,1199,597,3451,88,9224,450,3,10,4,0,472,120,15,13,12,0,162,68,20,9,39,0,139,126,43,23,76,0,266,878,84,52,25,3,1055,810,270,162,46,16,1298,554,75,71,147,4,856,225,19,17,28,8,297,117,13,4,4,0,140,3397,912,659,3612,83,8661,722,30,33,17,6,814,1241,121,100,37,12,1502,572,49,37,85,9,746,272,18,9,13,5,307,279,9,20,5,11,314,510,108,51,183,6,861,9883,961,940,1026,121,12927,362,56,46,380,5931,6781,46470,8492,6433,36013,7063,104472,1610,5360,4553,22102
LGA51860,0,89,0,105,0,0,0,0,0,0,4,3,0,8,0,18,0,0,0,0,0,0,3,0,0,0,0,4,14,3,4,29,3,60,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,5,252,21,318,3,0,7,30,29,69,42,36,19,399,53,541,0,12,7,126
LGA51890,251,3307,99,4110,0,5,0,54,7,62,24,3,5,10,0,37,6,0,0,0,0,7,35,21,5,26,0,94,635,299,274,2333,71,3607,41,0,7,0,0,49,15,4,3,7,0,25,86,36,17,177,8,323,3,4,6,0,0,10,8,0,0,0,0,11,33,7,0,5,0,49,112,67,41,470,16,705,114,61,13,267,6,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,12,96,4,7,3,4,114,43,16,12,8,5,85,87,10,8,29,3,133,3,0,0,0,0,9,0,0,0,0,0,0,127,81,61,502,21,794,5,0,0,0,0,5,19,0,0,0,0,29,3,0,6,3,0,15,0,0,0,0,0,0,8,0,0,0,0,8,45,14,6,41,0,108,154,28,27,56,5,271,20,9,9,99,644,780,1390,642,442,5495,824,8798,62,363,286,3028
LGA51960,123,1148,39,1455,0,0,0,138,4,142,13,0,3,0,0,17,8,5,0,0,0,10,15,6,8,14,0,40,330,91,77,749,31,1282,35,0,12,4,0,48,14,0,0,6,0,21,22,4,8,77,6,114,0,4,0,0,0,11,10,0,0,6,0,13,7,0,0,0,0,13,82,17,13,150,0,262,15,11,0,50,0,75,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,141,10,15,10,7,180,66,7,6,4,6,88,11,0,3,0,0,15,0,0,0,0,0,0,3,8,0,0,0,10,79,21,23,154,0,278,3,0,0,0,0,3,29,0,4,0,0,32,16,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,4,8,0,5,8,0,22,122,10,20,21,3,180,10,0,7,42,412,469,810,178,186,1938,491,3613,27,110,105,888
LGA52030,26,419,8,498,0,0,0,4,0,4,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,12,88,52,30,289,5,463,0,0,0,0,0,5,0,0,0,0,0,4,8,0,4,23,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,63,0,84,0,3,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,7,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,9,6,60,0,100,0,0,0,0,0,0,4,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,5,4,0,25,0,3,0,13,61,83,143,78,50,695,73,1038,8,34,33,346
LGA52100,27,454,10,533,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,9,0,0,3,0,16,77,37,26,365,5,511,5,0,0,0,0,5,3,0,0,0,0,5,9,0,0,22,0,23,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,17,12,3,4,63,3,86,5,3,0,14,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,6,0,4,0,0,10,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,5,3,62,0,82,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,11,3,0,6,0,24,0,0,0,9,108,118,155,59,42,762,127,1147,6,33,28,421
LGA52170,299,1682,14,2458,0,0,0,0,0,3,79,9,17,0,0,103,24,13,6,35,0,80,82,18,12,22,0,128,1028,389,264,1863,30,3573,3,0,6,0,0,7,83,10,4,17,0,115,114,27,10,154,3,309,25,21,3,45,4,96,13,0,3,5,0,19,45,14,0,5,0,62,297,96,47,652,10,1107,116,41,28,134,7,328,11,0,3,0,0,12,12,5,0,11,0,22,4,0,0,4,0,10,0,4,0,0,0,5,5,0,0,0,0,5,33,16,9,0,0,58,28,9,4,14,0,64,5,0,0,6,0,13,0,0,0,0,0,0,276,83,68,571,11,1001,5,0,0,0,0,9,65,12,15,0,0,89,14,6,0,7,0,27,13,3,0,4,0,22,9,0,0,0,0,10,35,14,6,25,0,80,359,81,66,70,5,580,4,0,0,17,479,503,2138,721,509,3681,546,7594,70,408,343,1789
LGA52240,45,357,0,451,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,9,5,0,5,0,14,124,39,44,289,13,511,19,0,0,0,0,18,4,0,0,5,0,9,7,0,0,22,0,33,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,3,12,4,9,45,0,66,9,5,3,11,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,16,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,4,50,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,14,24,4,4,7,0,34,0,0,0,14,93,113,217,72,69,606,122,1084,12,46,48,339
LGA52310,22,315,8,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,6,0,18,89,33,23,220,17,376,0,0,0,0,0,0,9,0,0,0,0,9,13,0,0,11,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,56,8,78,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,4,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,23,3,3,38,3,75,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,3,3,5,0,19,0,0,0,5,110,116,131,49,32,516,135,864,3,29,22,299
LGA52380,3,62,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,21,3,5,36,0,66,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,50,50,35,7,6,89,56,192,0,7,5,45
LGA52450,61,569,9,686,0,0,0,3,0,3,12,0,0,0,0,12,0,0,0,4,0,6,10,4,0,4,0,19,110,42,48,374,8,579,65,0,0,0,0,66,0,0,0,0,0,3,10,0,0,35,0,46,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,24,8,8,81,0,122,5,4,0,18,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,6,0,0,7,4,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,10,10,74,0,125,0,0,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,13,27,5,5,12,0,41,10,0,0,13,111,128,283,75,90,890,121,1456,10,37,69,525
LGA52520,70,537,6,681,0,0,0,0,0,0,13,0,0,5,0,12,3,0,0,0,0,8,7,5,3,0,0,14,105,47,40,363,12,567,84,0,0,0,0,86,0,0,0,0,0,6,12,0,4,32,0,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,46,4,87,8,4,0,15,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,14,3,11,0,0,28,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,19,7,6,55,0,90,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,31,3,3,3,4,48,5,0,0,7,121,134,293,86,92,813,144,1428,11,43,58,386
LGA52590,102,1175,32,1469,0,0,0,9,0,8,14,0,0,3,0,15,4,0,0,5,0,11,36,14,8,19,0,69,263,135,96,782,30,1303,9,0,0,3,0,15,12,0,6,4,0,17,26,14,10,84,0,127,9,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,6,45,19,10,169,8,251,13,10,0,39,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,25,18,3,7,0,0,38,9,3,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,85,35,21,188,6,334,0,0,0,0,0,0,9,3,0,0,0,13,6,0,0,0,0,3,7,0,0,0,0,9,3,0,0,0,0,3,8,4,0,7,0,21,78,13,9,26,3,130,16,0,8,25,249,295,559,236,174,1922,317,3212,17,146,91,1165
LGA52660,433,4637,69,5823,0,5,0,17,0,21,57,6,8,5,3,76,16,0,0,17,0,39,165,30,40,76,0,315,1481,624,476,3791,80,6447,90,0,24,3,4,123,30,9,0,22,0,61,104,43,32,231,0,409,9,4,7,31,0,51,9,0,0,0,0,12,79,4,6,0,0,87,205,89,96,917,10,1316,132,91,36,549,3,813,31,0,0,0,0,31,10,0,0,3,0,12,3,0,0,4,0,9,0,0,0,5,0,4,207,23,10,6,9,249,83,36,14,15,0,145,50,15,4,42,0,114,14,3,3,3,0,28,4,0,0,0,0,4,281,118,91,758,15,1261,4,0,0,3,0,7,112,6,4,0,0,124,23,0,3,21,0,45,6,3,0,0,0,11,5,0,0,0,0,5,55,22,9,48,0,128,436,60,54,127,6,688,23,10,5,83,809,938,3030,1058,803,8168,968,14028,121,650,474,4755
LGA52730,254,1556,46,2186,0,0,0,18,0,18,14,3,0,4,0,25,14,3,5,4,0,27,81,11,19,34,0,146,984,291,219,1289,40,2818,10,0,3,0,0,15,18,4,9,10,0,43,104,18,25,102,5,251,5,3,0,7,0,16,6,0,0,0,0,8,13,6,0,3,0,18,163,34,38,380,10,620,41,44,8,74,4,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,8,12,4,0,0,0,14,35,14,7,4,0,62,24,4,0,15,0,44,4,0,0,3,0,7,0,0,0,0,0,0,206,59,41,335,4,649,4,0,0,0,0,5,35,8,3,0,0,54,8,0,0,8,0,8,3,0,0,0,0,3,10,0,0,0,0,10,47,5,4,6,0,69,187,38,41,56,7,330,14,0,5,14,517,551,1633,501,396,2719,596,5850,54,301,226,1626
LGA52800,66,1642,56,1913,3,26,3,3395,61,3487,23,4,0,35,0,66,0,0,0,3,0,3,16,7,0,12,0,35,235,91,60,711,26,1124,35,0,8,24,0,66,3,0,0,15,0,19,33,8,7,76,3,127,3,0,0,5,0,10,4,0,0,6,0,8,71,3,0,0,4,89,51,20,7,240,10,328,22,0,0,39,0,66,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,3,0,3,57,4,4,4,0,71,39,3,6,9,5,56,16,0,0,6,0,18,3,0,0,0,0,3,3,0,0,0,0,0,77,25,10,187,4,298,0,0,0,0,0,0,10,0,0,0,0,10,13,0,0,6,0,15,20,0,0,4,0,22,0,4,0,0,0,3,6,0,0,5,0,16,129,39,13,154,0,332,12,0,5,105,813,939,724,228,115,5703,964,7728,11,76,61,756
LGA52870,190,1868,37,2401,0,0,0,9,0,15,38,3,3,3,0,42,3,0,0,3,0,13,60,20,13,23,3,117,699,239,168,1422,45,2571,15,0,4,0,0,23,11,0,0,4,0,21,57,24,30,114,0,225,6,0,0,11,0,12,5,0,0,0,0,10,6,0,4,0,3,13,80,43,39,356,6,528,125,44,30,203,10,414,4,0,4,0,0,7,0,0,0,0,0,6,0,0,0,4,0,4,0,0,0,0,0,8,14,10,6,5,0,32,42,6,11,0,5,60,26,0,0,8,0,37,0,0,0,0,0,3,0,0,0,0,0,0,152,63,50,324,4,593,0,3,0,3,0,5,5,0,0,0,0,12,4,6,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,8,27,6,3,22,0,57,121,23,20,29,0,197,12,0,6,35,514,570,1293,451,338,3181,608,5871,46,267,234,1830
LGA52940,30,304,13,372,0,0,0,4,0,4,3,0,0,0,0,3,0,0,0,0,0,3,7,0,0,8,0,13,42,25,27,180,13,287,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,7,17,5,36,5,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,35,0,52,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,4,6,5,0,9,0,17,0,0,0,16,40,58,71,34,50,470,67,693,10,30,31,299
LGA53010,31,256,9,315,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,5,0,12,36,11,25,184,0,263,0,0,3,0,0,10,0,0,0,0,0,0,4,0,0,17,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,45,0,56,0,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,5,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,6,34,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,0,19,4,0,0,10,70,83,76,29,45,438,85,673,0,15,29,251
LGA53080,24,214,6,283,0,0,0,4,0,11,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,5,72,20,11,140,3,246,3,0,0,0,0,3,0,0,0,0,0,4,11,3,6,11,0,31,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,12,0,0,54,0,72,3,4,0,13,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,24,5,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,6,6,33,0,62,3,0,0,0,0,3,5,3,0,0,0,8,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,33,8,4,12,0,60,7,0,0,7,123,138,189,44,34,365,140,767,9,21,21,138
LGA53150,306,1690,24,2470,0,0,0,4,0,4,40,6,4,22,0,74,38,22,6,57,0,125,74,20,16,19,0,127,1022,361,279,1403,34,3099,15,0,0,0,0,17,47,4,11,12,0,76,97,19,17,115,0,241,9,7,4,23,0,47,17,0,0,3,0,17,57,9,0,3,0,75,277,106,68,611,14,1072,304,96,32,223,0,657,9,0,0,0,0,15,3,0,0,0,0,9,3,0,0,6,0,7,12,5,0,5,0,19,24,6,0,0,0,27,47,25,16,3,0,95,36,9,3,12,0,57,11,0,7,3,0,22,4,0,0,0,0,3,267,99,67,457,4,885,3,0,3,0,0,11,28,12,9,0,0,44,23,0,9,5,0,36,6,8,4,0,0,18,20,0,0,0,0,20,57,11,8,25,0,108,317,77,59,72,0,527,8,0,0,19,463,487,2274,732,522,3319,521,7375,62,455,344,1674
LGA53220,253,2588,43,3233,0,0,3,1189,3,1198,73,8,4,8,0,88,22,5,0,20,0,49,53,30,10,29,0,118,896,253,220,1461,31,2864,171,3,13,4,4,196,28,0,4,11,0,43,84,19,19,183,0,300,11,0,0,16,0,33,9,0,0,5,0,16,82,4,0,0,0,87,233,56,38,409,11,749,33,34,10,152,5,230,14,0,0,0,0,11,4,0,0,0,0,4,13,6,3,4,0,23,8,3,3,8,0,17,254,11,6,6,0,276,151,13,19,3,0,183,27,3,4,22,0,53,3,0,3,5,0,17,27,0,0,4,0,28,273,48,48,407,13,786,18,0,0,4,3,20,54,0,0,0,0,65,22,0,4,0,0,23,3,0,0,0,0,9,12,0,0,0,0,15,32,3,0,16,0,56,530,46,36,141,10,771,17,0,5,57,1937,2020,2497,499,425,5129,2038,10591,78,247,236,1461
LGA53290,468,5301,131,6589,0,0,0,86,0,96,55,0,5,14,0,72,8,0,4,11,0,26,86,26,28,29,0,176,1036,533,382,3465,112,5524,60,0,10,5,0,73,33,0,0,4,0,48,126,35,33,375,7,576,9,8,3,12,0,24,4,0,0,0,0,3,34,4,0,7,0,49,204,90,62,837,22,1211,58,40,16,230,11,369,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,9,90,17,12,12,0,142,99,37,33,20,3,193,22,9,0,20,0,51,14,0,3,5,0,18,7,0,0,0,0,3,245,111,85,821,19,1280,0,0,0,0,0,0,91,6,16,0,0,104,10,5,0,13,0,22,11,0,0,0,0,10,6,0,0,0,0,6,28,6,15,13,4,63,291,82,64,122,7,572,23,17,4,157,1514,1708,2147,980,752,8584,1767,14238,78,608,511,4767
LGA53360,116,949,12,1205,0,0,0,0,0,3,8,0,0,0,0,12,0,0,0,4,0,8,27,13,12,10,0,64,269,99,91,623,7,1091,32,0,0,0,0,35,14,5,0,6,0,26,50,15,9,51,3,121,3,5,0,17,0,23,0,0,0,4,0,6,0,0,0,0,0,3,32,19,8,156,5,222,23,13,9,34,4,83,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,0,7,0,0,0,3,0,3,3,0,3,0,0,14,16,8,4,0,0,25,12,0,5,6,0,24,3,0,0,0,0,3,4,0,0,0,0,6,64,20,15,167,7,280,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,3,3,15,0,24,76,19,15,28,6,139,8,6,6,15,232,265,552,181,181,1543,270,2727,18,126,120,992
