LGA_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
LGA50840,5,10,22,50,73,84,71,8,9,326,24,42,100,133,161,176,129,37,3,806,11,14,3,11,11,4,6,4,0,60,0,4,3,17,14,23,27,3,0,103,36,56,101,162,186,209,168,37,8,966,0,0,3,8,9,4,13,5,0,40,29,10,34,51,86,97,85,70,15,477,67,87,209,359,441,513,426,149,36,2284,0,0,8,13,6,18,28,10,0,93,0,0,6,13,16,24,18,5,0,83,0,10,55,92,105,88,98,30,7,472,0,5,36,58,73,102,108,43,0,417,16,52,137,139,183,219,162,49,9,976,11,21,20,14,11,4,12,5,0,91,0,0,7,9,14,15,24,15,0,92,31,71,160,166,205,241,200,69,14,1166,0,0,0,3,9,12,14,6,0,37,27,16,32,56,74,85,103,64,16,467,59,111,287,408,479,565,566,218,31,2730
LGA50910,0,3,5,4,8,6,9,3,0,43,3,13,19,24,26,18,13,0,0,108,0,5,4,0,0,0,0,0,0,10,0,0,0,0,6,0,0,4,0,14,3,14,23,27,28,20,15,3,0,128,0,0,0,0,0,5,0,0,0,7,4,5,12,9,19,15,26,18,20,134,10,29,47,59,69,51,65,31,20,388,0,0,0,4,0,0,3,0,0,11,0,0,0,3,0,7,0,0,0,13,0,0,14,17,13,9,3,0,0,52,0,0,4,7,8,8,6,4,0,42,3,0,24,21,26,19,17,7,3,125,0,0,0,4,4,0,0,0,0,9,0,0,0,0,3,0,0,0,0,8,4,7,29,25,37,21,17,9,4,148,0,0,0,0,0,3,0,0,0,6,4,7,8,12,6,16,15,13,3,88,11,19,54,69,71,68,55,23,9,365
LGA50980,0,51,249,273,221,157,55,9,0,1015,56,174,557,553,456,315,108,28,0,2248,40,55,71,46,36,22,5,0,0,276,10,24,57,56,61,47,18,0,0,277,104,248,683,660,552,388,131,26,4,2799,0,3,22,11,11,8,3,3,0,61,179,138,461,420,326,309,162,64,20,2083,290,509,2101,1920,1488,1162,437,120,30,8054,0,9,142,138,80,60,27,7,0,459,0,3,91,109,70,50,17,3,0,346,0,72,618,485,326,192,89,19,4,1818,3,43,222,305,232,185,81,17,3,1087,33,166,502,552,481,315,152,28,3,2233,42,43,60,49,23,24,4,0,0,242,5,16,36,38,51,41,16,5,0,206,81,225,595,636,556,375,176,32,3,2683,0,3,11,14,12,13,10,3,0,69,176,161,520,406,424,327,162,67,20,2241,257,515,2194,2089,1703,1205,568,149,33,8716
LGA51080,0,0,7,6,15,9,9,3,0,52,3,10,26,24,31,31,16,9,0,142,0,3,0,0,6,0,0,0,0,16,0,0,0,0,0,8,0,0,0,9,10,18,29,27,34,36,16,11,0,171,0,0,3,0,0,0,0,0,0,11,10,9,26,9,18,32,23,13,6,144,13,21,88,71,88,96,43,32,6,459,0,0,0,3,0,5,0,0,0,8,0,0,4,0,0,0,0,0,0,5,0,6,21,23,16,14,4,0,0,84,0,0,8,6,11,16,11,0,0,52,0,6,17,30,10,27,25,6,0,123,0,0,6,3,0,0,0,0,0,13,0,0,0,0,5,4,5,0,0,14,0,11,26,34,21,28,26,6,0,157,0,0,0,0,0,5,3,0,0,5,12,4,18,13,17,27,11,15,0,112,16,25,70,74,73,91,59,22,0,431
LGA51120,0,0,6,6,10,13,9,7,0,49,4,10,23,22,20,22,18,3,0,125,4,7,0,0,0,4,0,0,0,12,0,0,0,5,0,5,0,0,0,13,6,11,23,28,20,31,19,4,0,143,0,0,0,0,0,0,0,0,0,10,0,8,8,6,10,8,18,16,3,87,13,15,67,48,66,66,56,24,11,369,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,4,0,0,0,11,0,3,9,26,18,4,8,0,0,59,0,0,4,4,16,8,12,3,5,51,4,8,26,27,23,26,16,7,0,130,0,4,5,3,0,0,0,0,0,8,0,0,0,0,0,8,0,0,0,15,4,9,28,30,23,35,17,10,0,152,0,0,0,0,0,5,0,0,0,7,9,8,10,9,22,28,31,20,9,147,9,28,53,74,75,80,64,30,9,432
LGA51190,7,82,358,352,424,428,242,90,22,1995,129,489,1107,978,913,883,486,194,69,5247,80,106,87,59,62,35,16,3,0,449,13,41,79,107,112,119,77,31,6,590,220,646,1270,1143,1080,1042,578,223,77,6285,3,7,38,29,24,30,42,22,8,205,184,187,482,457,465,442,416,311,166,3111,412,1048,2960,2823,2671,2545,1589,761,305,15108,0,12,120,153,142,114,81,28,7,654,0,5,75,100,121,106,78,21,5,509,0,120,644,617,563,457,322,143,43,2907,10,54,301,386,394,451,334,157,52,2139,183,528,1154,1091,1038,980,681,270,69,5999,92,136,153,55,64,42,34,20,3,605,9,28,44,78,87,134,77,39,12,501,289,691,1350,1226,1192,1154,799,324,83,7107,0,9,20,33,27,30,40,24,12,191,101,136,379,323,340,331,353,259,190,2410,403,1032,2886,2839,2784,2640,1994,955,383,15922
LGA51260,15,61,346,503,545,519,427,171,38,2635,108,417,1106,1339,1208,931,631,282,72,6089,62,64,73,87,67,60,28,15,3,454,6,30,78,135,145,128,120,38,12,702,180,514,1257,1559,1424,1115,778,334,86,7246,0,10,19,28,33,41,60,31,9,231,211,131,345,413,449,498,507,401,263,3206,407,794,2686,3604,3304,2888,2279,1123,437,17519,0,3,102,159,184,133,136,67,3,785,0,3,81,171,187,135,105,31,8,718,0,81,630,1050,909,702,599,266,64,4299,11,61,354,582,675,674,591,283,60,3289,145,404,1157,1455,1376,1184,930,382,84,7111,118,100,90,76,79,62,57,16,7,602,12,23,55,88,137,149,146,61,15,692,276,531,1297,1616,1597,1392,1134,458,108,8409,7,7,27,31,38,46,52,39,8,253,168,89,366,400,400,414,418,362,193,2808,454,770,2858,4012,3988,3491,3045,1508,443,20567
LGA51310,7,64,209,294,459,400,292,185,79,2002,26,92,253,206,272,252,141,114,53,1409,10,9,12,20,15,6,16,9,4,106,4,9,22,42,62,53,33,25,21,269,35,111,288,270,352,314,195,139,76,1781,0,4,26,28,28,33,36,12,18,189,68,78,246,211,223,196,192,247,185,1641,112,801,2481,3214,3489,2532,1470,922,487,15502,0,40,472,835,868,594,305,120,44,3271,0,14,136,218,291,216,136,54,8,1070,0,481,1280,1684,1856,1236,740,354,157,7801,11,72,193,291,422,473,349,213,98,2114,68,126,207,218,253,267,197,123,69,1524,42,15,14,17,16,27,11,9,5,155,4,16,20,27,63,70,53,50,30,334,112,155,242,266,330,362,261,183,106,2014,4,5,26,27,34,22,29,27,19,195,34,32,161,136,158,141,175,158,145,1149,160,799,2509,3460,3959,3050,1999,1108,567,17620
LGA51330,92,725,1492,1313,1338,1152,700,272,80,7162,238,894,1730,1564,1698,1511,958,442,120,9167,137,109,126,119,103,81,43,6,4,732,23,81,167,208,254,234,196,86,20,1270,398,1086,2027,1886,2059,1826,1200,539,151,11177,12,66,141,144,118,99,89,53,16,748,336,551,1051,703,654,604,593,547,403,5436,842,4190,11585,9462,7974,5999,3770,1756,731,46304,3,151,2192,2236,1345,787,383,119,14,7233,0,55,383,476,450,330,209,69,0,1970,10,1617,4933,4639,3137,1848,1242,444,90,17966,47,703,1503,1615,1320,1200,902,405,88,7772,325,970,1735,1649,1675,1557,1107,511,169,9695,218,253,164,104,101,90,71,36,5,1036,33,50,134,154,217,236,190,105,32,1159,577,1276,2031,1905,1990,1879,1367,646,208,11887,10,40,138,120,118,86,106,82,16,713,196,501,1100,788,609,545,414,412,210,4775,842,4340,12282,11775,8974,6677,4623,2172,635,52320
LGA51400,10,34,160,253,323,233,104,23,3,1142,97,230,552,664,654,398,229,40,13,2874,73,38,47,47,34,8,9,0,0,263,12,14,34,62,80,67,32,3,0,309,183,279,630,772,771,479,270,43,13,3440,0,5,15,22,12,19,13,3,0,94,107,65,143,171,222,170,157,72,16,1128,301,436,1291,1782,1863,1202,678,182,37,7774,0,4,45,100,91,76,34,8,0,358,3,8,37,70,87,58,31,5,0,286,0,46,283,464,463,296,192,47,5,1793,9,35,163,248,301,262,178,43,10,1245,129,301,653,681,728,583,307,98,9,3475,63,73,55,54,42,24,12,0,0,319,10,12,24,38,69,57,47,26,0,288,199,389,732,774,836,659,367,117,9,4082,0,0,13,20,11,19,22,3,0,86,78,66,109,162,187,170,157,91,27,1039,289,537,1373,1829,1984,1545,969,316,53,8887
LGA51470,0,0,6,5,11,5,0,0,0,31,0,8,16,8,14,14,11,5,0,77,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,10,0,6,21,10,17,16,15,5,0,95,0,0,3,0,0,0,0,0,0,5,0,10,7,8,16,9,5,10,0,57,3,15,41,38,45,47,24,12,0,223,0,0,4,0,0,0,3,0,0,9,0,0,0,3,0,0,4,0,0,7,0,0,8,7,7,6,0,0,0,25,0,4,0,5,4,9,6,0,0,33,0,6,15,22,10,10,20,5,0,88,0,0,3,4,0,0,0,0,0,14,0,0,0,4,0,5,3,0,0,10,0,8,17,25,17,14,18,5,0,114,0,0,0,0,3,4,0,0,0,8,7,0,4,18,11,8,13,8,0,80,8,18,39,69,46,40,48,9,6,274
LGA51540,0,13,47,49,46,56,21,4,0,246,16,60,141,133,165,121,55,18,7,718,8,11,21,17,18,10,4,0,0,91,5,4,13,12,17,17,3,4,3,82,24,78,170,168,204,149,69,24,10,890,0,0,7,8,8,3,6,0,0,30,46,51,144,151,149,132,97,55,21,858,73,163,499,463,488,408,228,96,35,2445,0,0,23,15,18,9,7,0,0,64,0,0,11,10,14,6,7,0,0,47,0,19,93,89,63,52,24,9,4,349,0,9,33,59,42,39,39,12,6,232,10,49,140,109,146,151,86,13,7,708,7,27,21,6,8,11,4,4,0,89,0,4,14,12,13,14,8,5,0,67,22,83,175,130,166,170,95,20,7,863,0,0,0,5,0,0,0,4,3,16,68,77,170,132,150,120,82,54,12,877,88,191,512,429,457,396,261,94,23,2448
LGA51610,3,3,5,11,27,20,9,5,0,81,7,13,39,45,49,35,21,8,4,213,4,4,5,0,6,3,0,0,0,23,0,0,4,4,3,3,0,0,0,18,7,17,50,56,54,39,22,10,4,255,0,0,0,5,0,3,0,0,0,7,8,0,14,32,37,25,20,9,0,152,17,26,83,143,156,104,69,22,3,623,0,0,0,3,3,3,0,0,0,17,0,0,3,0,8,6,0,0,0,18,0,0,20,30,35,18,16,6,0,117,0,0,10,19,30,22,18,8,0,108,7,15,52,62,56,53,16,8,3,273,0,3,4,0,0,0,5,0,0,17,0,3,0,5,3,4,0,0,0,30,9,20,60,70,65,57,25,9,3,316,0,0,0,0,3,3,6,0,0,11,15,6,6,36,42,39,25,10,0,183,20,30,104,156,192,141,91,28,5,766
LGA51680,0,13,45,84,94,76,48,16,3,372,22,52,161,205,228,182,114,41,0,1007,6,9,11,10,11,4,6,0,0,60,0,3,10,20,25,22,15,5,0,103,28,68,185,231,259,208,134,45,0,1165,0,0,0,7,3,8,7,6,0,35,60,17,52,76,118,98,73,41,6,549,97,116,320,489,569,464,307,128,15,2497,0,0,3,12,18,18,9,6,0,67,0,0,11,15,13,16,9,5,0,58,0,16,65,86,91,72,35,19,0,394,0,18,38,86,119,101,69,19,6,456,26,47,175,224,264,245,117,59,5,1162,28,16,13,11,8,16,10,0,0,88,0,3,13,12,21,25,14,9,6,97,54,67,198,244,290,281,135,66,14,1343,0,0,0,3,4,5,0,3,0,20,52,19,53,51,106,123,76,54,13,545,108,124,370,498,650,619,333,172,31,2892
LGA51710,0,0,22,28,24,11,5,0,0,84,3,12,47,51,55,45,9,0,0,218,5,8,3,0,3,0,3,0,0,26,0,0,6,4,9,5,0,0,0,21,3,15,59,62,63,47,17,0,0,269,0,0,0,0,4,0,0,0,0,8,17,53,142,93,87,73,33,6,0,506,29,76,260,230,215,144,59,11,0,1029,0,0,4,9,7,4,0,0,0,29,0,0,6,8,11,0,0,0,0,29,0,3,21,30,25,10,12,0,0,99,0,3,18,23,21,14,7,0,0,86,0,17,55,45,42,41,22,0,0,216,8,9,4,0,9,3,3,0,0,39,0,0,0,3,5,0,0,0,0,11,10,18,62,50,56,47,27,0,0,268,0,0,0,0,0,0,8,0,0,12,11,28,164,96,75,46,28,4,0,451,14,61,278,224,194,121,72,4,0,968
LGA51750,0,31,58,71,138,139,142,108,52,745,13,35,89,53,82,48,41,25,9,397,7,5,5,0,4,7,6,5,0,42,0,5,7,16,16,19,30,17,16,128,22,47,92,71,107,77,76,47,21,567,0,0,11,5,5,9,22,9,12,78,50,48,112,103,110,115,129,131,79,875,73,340,988,929,1175,997,821,544,293,6162,0,24,229,246,292,204,170,104,42,1316,0,4,61,70,105,92,61,35,9,428,0,241,587,520,612,468,399,252,96,3173,0,28,59,101,129,154,162,143,66,841,31,42,74,66,70,73,51,35,15,461,10,4,6,3,0,7,4,10,0,46,5,0,6,13,20,22,30,24,11,122,38,50,88,78,96,102,80,64,28,625,4,3,5,17,18,12,16,21,23,126,49,42,104,62,76,62,80,116,75,670,96,396,1137,1091,1334,1091,970,730,344,7186
LGA51820,72,449,1758,1916,1643,1134,530,157,45,7703,338,1347,3512,3390,3036,2203,1123,447,95,15492,163,168,243,202,132,89,48,10,3,1063,47,78,276,362,422,287,173,74,26,1737,549,1599,4033,3958,3586,2573,1349,530,124,18298,9,34,140,171,153,105,89,37,13,760,482,481,1342,1173,1096,947,799,697,430,7437,1118,3528,12825,12186,9334,6375,3368,1599,672,51011,0,72,1216,1627,902,548,265,55,13,4702,6,53,562,638,509,317,146,36,6,2271,0,1080,4936,4742,2852,1605,807,240,58,16320,50,489,1740,2277,2025,1477,942,284,62,9349,442,1512,4020,3851,3388,2733,1576,617,140,18281,286,325,272,216,190,136,81,25,3,1544,39,91,197,290,391,354,258,92,24,1734,767,1934,4487,4357,3964,3223,1914,729,174,21557,17,41,117,172,140,128,119,57,20,795,245,395,1105,1102,918,751,682,584,398,6181,1086,4061,14168,14918,11310,8053,4876,1983,735,61177
LGA51860,0,0,4,3,4,3,0,0,0,22,4,6,16,11,9,19,0,0,0,65,3,0,0,0,0,0,0,0,0,6,0,3,3,3,0,0,0,0,0,14,3,9,20,13,15,23,4,0,0,90,0,0,0,0,0,0,0,0,0,0,6,3,6,5,12,13,6,6,0,58,13,12,48,46,35,41,14,11,0,215,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,5,0,0,0,8,0,0,5,3,8,5,0,0,0,27,0,0,7,8,3,4,0,0,0,16,0,3,3,16,6,21,7,0,0,70,0,5,3,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,17,8,23,6,22,7,0,0,80,0,0,0,0,0,0,0,0,0,5,3,10,17,21,14,18,15,8,0,111,5,21,38,59,33,54,15,13,0,249
LGA51890,0,7,54,58,67,99,56,18,0,362,30,182,332,306,335,262,147,53,12,1669,22,25,37,22,17,17,12,0,0,146,3,7,11,24,28,26,25,9,5,145,57,215,384,360,385,307,179,66,11,1964,0,0,3,0,3,7,10,0,0,33,85,54,117,99,121,139,153,112,56,938,147,291,647,593,648,630,432,193,66,3662,0,0,3,8,15,11,3,5,0,42,0,0,14,8,5,22,5,0,0,56,0,11,48,76,59,49,57,17,6,323,0,3,48,69,71,87,71,30,3,383,49,131,374,342,353,340,192,77,7,1865,25,35,36,23,22,10,6,3,0,154,0,3,20,22,24,22,32,15,0,136,72,168,426,387,403,373,234,93,10,2162,0,0,0,3,10,8,11,5,0,43,62,36,87,105,96,107,123,92,62,771,140,222,624,653,657,664,511,243,79,3788
LGA51960,0,6,39,39,23,25,11,5,0,146,7,46,161,116,123,78,38,13,5,572,5,4,4,10,9,0,5,0,0,36,0,5,10,14,11,4,3,0,0,50,17,52,172,136,136,85,41,12,5,661,0,0,0,5,4,0,0,0,0,14,39,39,99,76,87,60,43,18,0,462,55,104,368,296,277,200,102,40,4,1445,0,0,7,3,6,7,0,0,0,24,0,0,8,7,0,7,0,0,0,24,0,6,26,22,24,18,7,0,0,104,0,3,18,26,21,21,8,4,3,104,14,32,119,97,107,100,46,4,3,529,6,11,10,8,10,6,0,0,0,55,0,3,4,7,3,6,5,0,0,35,24,49,130,115,124,109,49,4,3,607,0,0,0,4,8,0,4,0,0,12,55,57,130,140,144,115,66,28,5,722,74,118,317,311,321,272,137,43,4,1600
LGA52030,0,0,4,7,10,25,15,0,0,66,0,13,23,16,39,34,26,3,0,151,0,0,6,0,0,0,0,0,0,9,0,0,4,4,9,8,10,0,0,30,0,13,31,21,43,43,32,3,0,194,0,0,0,0,0,3,3,0,0,3,10,0,15,20,10,29,15,5,6,106,8,14,66,54,81,106,83,16,6,430,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,9,0,0,17,15,6,6,9,9,0,58,0,0,0,7,10,11,21,8,0,53,0,10,25,21,23,43,39,13,0,179,0,0,9,0,0,6,0,0,0,17,0,0,4,0,0,9,11,3,0,25,4,15,32,22,23,55,48,17,0,217,0,0,0,4,0,0,0,0,0,3,6,11,18,5,20,34,22,16,10,140,7,22,73,49,64,105,109,50,14,492
LGA52100,0,3,4,7,15,12,7,0,0,43,3,13,32,27,29,25,11,4,0,146,9,0,4,0,0,0,0,0,0,11,0,0,6,6,0,5,4,0,0,15,8,14,38,27,26,31,14,4,0,167,0,0,0,0,0,0,0,0,0,7,10,10,19,24,17,17,14,21,8,130,20,28,86,74,68,74,43,28,18,434,0,0,5,0,0,0,0,0,0,8,0,0,3,6,0,3,0,0,0,10,0,4,16,13,6,12,12,4,0,72,0,0,5,12,17,19,10,4,0,64,0,6,33,35,25,20,23,0,0,147,5,8,0,9,3,0,0,0,0,29,0,0,3,7,3,0,3,5,0,16,5,19,39,54,29,22,21,8,0,189,0,0,0,0,0,0,5,0,0,7,4,0,3,3,9,11,15,9,8,61,7,23,73,85,66,66,59,27,16,414
LGA52170,0,21,50,59,107,145,117,55,25,567,6,25,67,53,54,52,41,29,12,340,5,0,5,0,3,6,9,0,0,26,0,5,7,11,24,16,17,6,6,101,14,32,77,65,82,77,72,37,13,463,0,0,3,8,11,11,18,8,3,65,29,34,92,51,99,96,67,40,28,545,43,230,845,762,1008,936,613,262,122,4818,0,11,135,152,211,204,138,52,12,926,0,3,39,37,56,63,52,16,3,260,0,149,459,398,509,426,332,154,40,2464,0,11,42,58,92,119,109,83,26,539,12,19,53,50,54,47,38,21,10,303,9,0,4,6,4,15,0,0,3,38,0,4,4,7,18,24,19,22,6,103,23,24,61,61,77,82,61,49,19,452,0,4,4,5,17,8,21,9,3,62,13,21,73,60,40,77,51,64,57,452,30,225,817,772,993,978,763,428,166,5167
LGA52240,0,0,0,12,13,18,9,3,0,55,0,5,32,16,24,29,20,7,0,148,5,0,0,3,5,3,0,0,0,19,0,0,5,4,8,3,6,3,0,29,8,12,36,25,31,35,24,15,0,188,0,0,0,0,3,0,0,0,0,3,5,4,18,20,20,26,20,10,5,124,13,19,73,77,81,91,61,35,6,455,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,7,0,0,15,24,14,13,0,0,0,69,0,0,8,8,8,15,14,3,0,64,3,17,31,28,26,24,16,9,6,156,0,0,5,4,3,0,0,0,0,24,3,0,0,0,9,0,3,0,0,12,6,19,34,35,32,30,17,8,6,191,0,0,0,0,4,5,0,0,0,7,8,4,8,15,18,33,27,14,5,129,15,25,71,87,87,88,63,32,10,476
LGA52310,0,0,0,3,9,11,10,5,0,46,4,3,22,20,22,25,18,3,0,124,0,0,3,0,3,0,0,0,0,9,0,0,0,0,3,0,7,0,0,16,8,3,30,23,20,28,27,3,0,153,0,0,0,0,4,0,0,0,5,5,8,4,19,18,15,18,26,8,7,126,16,13,61,59,74,66,65,17,5,383,0,0,3,0,4,9,0,0,0,12,0,0,0,0,8,3,4,0,0,13,0,3,11,4,15,19,6,0,0,56,0,0,4,9,14,17,15,9,5,59,0,11,16,15,29,36,22,3,0,143,0,5,3,0,0,3,0,0,0,14,0,0,0,0,0,0,3,0,0,12,6,19,22,20,31,35,27,8,0,164,0,0,0,0,0,0,3,0,0,5,4,8,8,11,9,11,15,14,5,90,4,25,48,46,77,94,69,31,8,411
LGA52380,0,0,3,0,0,4,0,0,0,8,0,0,6,0,5,5,6,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,5,6,6,5,0,27,0,0,0,0,0,0,0,0,0,5,0,5,4,4,0,9,10,0,0,47,0,3,20,10,12,24,17,3,0,95,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,15,0,0,0,0,0,5,0,0,0,11,0,4,12,8,8,3,8,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,9,12,7,8,5,11,0,0,55,0,0,0,0,0,0,0,0,0,7,0,4,5,7,10,5,9,3,0,40,4,13,26,11,27,21,31,3,0,121
LGA52450,0,6,7,9,9,15,4,3,0,50,19,19,52,32,24,31,22,3,0,215,5,0,0,5,5,3,0,0,0,19,0,4,4,0,3,8,3,0,0,26,28,24,55,38,35,43,23,3,0,257,0,0,0,4,0,0,0,0,0,6,11,5,14,19,19,29,16,16,9,137,36,36,106,96,80,95,52,30,8,541,0,0,0,3,3,0,0,0,0,15,0,0,7,0,3,0,0,0,0,9,0,0,16,18,12,5,0,3,0,69,0,3,9,3,9,8,12,3,0,49,12,11,51,34,23,33,20,15,3,204,6,5,0,0,6,4,0,0,0,22,0,0,0,5,0,5,0,0,0,20,11,17,56,41,31,41,16,17,3,240,0,0,0,0,0,3,3,0,0,9,8,9,10,24,18,12,23,9,4,109,21,28,102,93,70,68,57,25,10,489
