LGA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
LGA54830,0,3,0,0,4,0,0,0,0,0,6,0,31,38,4,0,0,0,5,0,0,11,19,3428,5698,2218,194,11540,3588,533,713,16373
LGA54900,0,0,0,0,0,4,0,0,0,4,5,0,17,26,4,0,0,0,4,4,0,0,6,153,143,20,0,320,133,8,69,537
LGA54970,0,0,0,0,0,0,0,0,0,0,0,0,18,20,3,0,0,0,4,4,0,31,37,48,34,23,8,115,64,0,105,287
LGA55040,4,6,0,6,16,9,0,0,0,16,14,0,62,88,0,0,0,0,6,4,0,22,36,90,87,32,4,209,99,4,234,547
LGA55110,0,7,0,7,15,53,8,3,3,66,159,0,80,305,10,0,7,0,15,17,0,9,42,11306,8809,4196,300,24619,9909,829,1476,36833
LGA55180,0,0,0,0,0,0,3,0,0,9,5,0,37,44,6,0,3,0,9,19,0,28,52,1159,827,303,36,2322,1118,71,364,3877
LGA55250,0,0,0,5,4,5,0,0,0,8,6,0,75,89,5,6,0,0,6,9,0,24,44,72,50,40,15,170,103,7,163,444
LGA55320,0,0,0,0,4,0,0,0,0,3,0,0,16,20,13,10,5,0,29,15,4,8,50,10657,13468,3604,423,28152,9375,1049,1020,39588
LGA55390,0,0,0,0,3,3,0,0,0,9,6,0,28,41,7,0,0,0,7,5,0,16,26,16,10,0,7,35,31,0,67,138
LGA55460,0,0,0,0,0,0,0,0,0,3,12,0,20,32,0,4,0,0,3,3,0,9,7,345,298,110,3,759,359,30,204,1351
LGA55530,0,0,0,0,0,0,0,0,0,6,0,0,58,62,3,0,0,0,3,0,0,6,5,44,45,8,0,101,42,0,94,239
LGA55600,0,0,0,0,0,0,0,0,0,0,13,0,26,36,5,0,0,0,5,3,0,3,10,250,206,86,9,545,261,17,140,963
LGA55670,0,0,0,0,0,0,0,0,0,0,4,0,27,32,0,0,0,0,0,3,0,3,13,67,52,19,0,134,73,7,66,278
LGA55740,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,4,862,1102,261,29,2247,1147,124,179,3702
LGA55810,0,0,0,0,0,5,0,4,0,5,0,0,43,50,0,0,0,0,0,3,0,10,10,39,20,15,0,71,49,10,189,316
LGA55880,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,4,55,50,11,0,115,60,5,28,205
LGA55950,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,76,56,14,4,148,62,0,37,256
LGA56090,6,0,0,0,3,0,3,0,0,9,9,0,10,30,0,3,6,0,5,5,0,8,18,4382,4634,1367,104,10489,2792,257,431,13971
LGA56160,0,0,0,0,0,7,3,0,0,10,0,0,27,32,0,0,0,0,0,0,0,6,12,11,5,8,0,28,10,0,41,72
LGA56230,0,0,0,5,3,50,10,13,0,68,119,0,65,251,6,7,0,0,4,8,0,3,18,2238,1842,744,50,4878,1627,134,430,7075
LGA56300,0,0,0,0,0,3,5,0,0,10,0,0,8,24,0,0,0,0,0,0,0,0,3,250,110,36,6,403,187,18,115,722
LGA56370,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,97,77,16,0,189,69,4,61,325
LGA56460,3,0,0,5,4,3,0,0,0,3,4,0,18,26,0,0,0,0,0,0,0,0,0,513,401,206,18,1143,629,51,204,2026
LGA56580,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,9,11,2075,3152,580,56,5865,1480,257,174,7771
LGA56620,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,3,5,5,19,37,63,102,76,10,253,83,5,98,436
LGA56730,0,0,0,0,0,6,0,0,0,10,20,4,12,46,0,7,0,0,11,8,3,4,18,1233,987,516,41,2777,1181,111,390,4456
LGA56790,0,4,0,0,7,25,6,0,0,32,16,0,351,404,7,8,0,0,12,6,0,66,83,482,235,76,8,806,371,19,692,1880
LGA56860,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,18,6,0,61,31,0,24,115
LGA56930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,195,36,4,404,115,4,14,540
LGA57000,0,0,0,0,0,0,0,0,0,0,0,0,30,35,3,0,0,0,4,0,0,0,9,51,32,9,0,93,46,3,72,209
LGA57080,0,0,0,0,0,0,0,0,0,0,0,0,365,366,5,0,0,0,4,23,0,25,54,3833,1307,529,178,5846,5303,1181,1570,13900
LGA57140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,83,37,3,279,151,3,34,468
LGA57210,0,0,0,0,3,15,0,0,0,13,9,0,4,34,0,0,0,0,0,0,0,3,9,723,495,168,14,1403,550,49,185,2187
LGA57280,11,6,7,22,43,18,12,5,0,39,29,3,446,514,9,9,0,0,19,16,4,92,127,1164,1736,471,65,3443,1264,165,1547,6418
LGA57350,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,5,4,0,0,9,115,62,28,0,211,101,6,111,426
LGA57420,3,0,0,0,7,3,0,0,0,13,13,0,22,44,0,0,0,0,0,0,0,8,8,262,179,60,4,507,265,13,129,910
LGA57490,22,27,0,5,54,73,8,12,0,94,172,10,121,392,15,17,3,0,30,30,0,10,64,12652,16513,6360,441,35958,11283,1183,1953,50382
LGA57630,0,0,0,0,0,0,0,0,0,0,5,0,18,25,0,0,0,0,0,0,0,4,3,16,0,0,0,16,22,0,32,75
LGA57700,8,8,0,3,17,50,5,3,0,67,47,0,15,127,3,4,0,0,8,10,0,0,27,2754,4509,1129,78,8477,1542,200,344,10555
LGA57770,0,0,0,0,3,22,6,5,0,36,25,0,631,695,0,0,0,0,0,3,0,32,42,121,71,16,0,213,137,20,772,1133
LGA57840,0,0,0,0,4,0,0,0,0,0,0,0,0,6,3,4,3,0,11,10,0,7,30,4932,4478,1313,363,11092,5651,953,758,18454
LGA57910,3,4,3,0,13,27,3,0,0,33,24,3,98,166,16,12,0,3,29,33,3,18,82,23087,25765,8678,1141,58676,27703,3935,3698,94013
LGA57980,4,8,0,0,10,0,0,0,0,4,8,0,12,22,0,0,0,0,3,5,0,0,4,1977,1790,535,73,4381,2850,305,336,7872
LGA58050,13,8,0,3,28,62,9,12,3,87,145,0,478,715,17,17,3,3,37,29,3,42,117,12600,19857,6941,659,40062,11157,1442,2401,55068
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,40,12,4,91,53,0,28,165
LGA58260,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,0,0,5,0,0,7,63,54,16,0,136,73,0,43,253
LGA58330,0,0,0,0,0,3,0,0,0,7,18,0,21,45,5,0,0,0,5,3,0,4,13,711,363,140,16,1229,468,56,216,1970
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,42,11,10,0,70,56,0,22,150
LGA58470,0,0,0,0,6,0,4,0,0,6,4,6,67,73,6,4,0,0,10,0,0,5,16,6,15,6,6,38,19,6,81,136
LGA58510,0,0,0,0,6,0,0,0,0,0,0,0,16,21,3,4,0,0,5,10,0,9,27,4160,3370,1082,289,8898,5323,1141,842,16209
LGA58540,0,0,0,0,0,0,0,0,0,0,4,0,13,15,3,0,0,0,5,0,0,3,7,109,83,11,3,203,82,4,62,349
LGA58570,32,20,3,6,58,18,9,4,0,32,20,3,52,108,0,0,7,0,6,12,0,7,28,4245,3483,1041,188,8952,5244,1254,776,16224
LGA58610,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,3,0,0,0,0,0,0,4,229,133,63,9,430,242,21,76,760
LGA58680,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,77,51,15,0,134,41,4,42,228
LGA58760,14,7,0,0,16,34,8,8,0,56,128,6,61,244,10,10,0,0,17,24,0,17,53,17036,28691,9597,761,56085,13627,1535,2221,73463
LGA58820,0,0,0,4,8,9,0,0,0,11,12,0,11,35,0,0,0,0,0,6,0,10,15,525,428,144,10,1101,443,39,105,1692
LGA58890,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,114,72,19,3,202,86,8,47,336
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,20,0,0,63,34,0,16,115
LGA59100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,57,16,3,166,65,3,45,279
LGA59170,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,5,137,104,23,0,260,95,7,52,412
LGA59250,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0,20,18,26,10,16,3,56,36,3,67,156
LGA59310,0,0,0,0,0,0,0,3,0,4,3,0,13,15,0,0,0,0,0,0,0,3,3,156,121,53,4,334,179,13,59,577
LGA59320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,52,12,0,119,44,7,14,174
LGA59330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,31,14,3,107,99,9,27,240
LGA59340,33,11,3,12,58,80,24,6,0,106,123,11,1115,1354,29,16,5,0,45,26,0,115,190,525,588,328,44,1488,548,87,1687,3806
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,16,23,3,0,0,0,3,4,0,17,28,12,7,11,0,29,20,0,70,116
LGA59360,0,0,0,0,0,5,0,0,0,5,0,0,19,22,0,0,0,0,0,0,0,9,14,123,63,22,0,210,159,8,104,485
LGA59370,0,0,0,0,0,0,0,0,0,4,7,0,13,23,0,0,0,0,5,9,0,9,27,514,265,128,10,923,469,30,165,1587
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,11,13
