LGA_CODE_2021,C21_F_Tot_Em_Tot,C21_F_Tot_Unem_Look_FT,C21_F_Tot_Unem_Look_PT,C21_F_Tot_Unem_Tot,C21_F_Tot_Tot_labo_for,C21_F_Tot_Not_LF,C21_F_Tot_LF_NS,C21_F_Tot_Tot,C11_P_15_19_Em_FT,C11_P_15_19_Em_PT,C11_P_15_19_Em_AFW,C11_P_15_19_Em_Hrs_NS,C11_P_15_19_Em_Tot,C11_P_15_19_Unem_Look_FT,C11_P_15_19_Unem_Look_PT,C11_P_15_19_Unem_Tot,C11_P_15_19_Tot_LF,C11_P_15_19_Not_LF,C11_P_15_19_LF_NS,C11_P_15_19_Tot,C11_P_20_24_Em_FT,C11_P_20_24_Em_PT,C11_P_20_24_Em_AFW,C11_P_20_24_Em_Hrs_NS,C11_P_20_24_Em_Tot,C11_P_20_24_Unem_Look_FT,C11_P_20_24_Unem_Look_PT,C11_P_20_24_Unem_Tot,C11_P_20_24_Tot_LF,C11_P_20_24_Not_LF,C11_P_20_24_LF_NS,C11_P_20_24_Tot,C11_P_25_29_Em_FT,C11_P_25_29_Em_PT,C11_P_25_29_Em_AFW,C11_P_25_29_Em_Hrs_NS,C11_P_25_29_Em_Tot,C11_P_25_29_Unem_Look_FT,C11_P_25_29_Unem_Look_PT,C11_P_25_29_Unem_Tot,C11_P_25_29_Tot_LF,C11_P_25_29_Not_LF,C11_P_25_29_LF_NS,C11_P_25_29_Tot,C11_P_30_34_Em_FT,C11_P_30_34_Em_PT,C11_P_30_34_Em_AFW,C11_P_30_34_Em_Hrs_NS,C11_P_30_34_Em_Tot,C11_P_30_34_Unem_Look_FT,C11_P_30_34_Unem_Look_PT,C11_P_30_34_Unem_Tot,C11_P_30_34_Tot_LF,C11_P_30_34_Not_LF,C11_P_30_34_LF_NS,C11_P_30_34_Tot,C11_P_35_39_Em_FT,C11_P_35_39_Em_PT,C11_P_35_39_Em_AFW,C11_P_35_39_Em_Hrs_NS,C11_P_35_39_Em_Tot,C11_P_35_39_Unem_Look_FT,C11_P_35_39_Unem_Look_PT,C11_P_35_39_Unem_Tot,C11_P_35_39_Tot_LF,C11_P_35_39_Not_LF,C11_P_35_39_LF_NS,C11_P_35_39_Tot,C11_P_40_44_Em_FT,C11_P_40_44_Em_PT,C11_P_40_44_Em_AFW,C11_P_40_44_Em_Hrs_NS,C11_P_40_44_Em_Tot,C11_P_40_44_Unem_Look_FT,C11_P_40_44_Unem_Look_PT,C11_P_40_44_Unem_Tot,C11_P_40_44_Tot_LF,C11_P_40_44_Not_LF,C11_P_40_44_LF_NS,C11_P_40_44_Tot,C11_P_45_49_Em_FT,C11_P_45_49_Em_PT,C11_P_45_49_Em_AFW,C11_P_45_49_Em_Hrs_NS,C11_P_45_49_Em_Tot,C11_P_45_49_Unem_Look_FT,C11_P_45_49_Unem_Look_PT,C11_P_45_49_Unem_Tot,C11_P_45_49_Tot_LF,C11_P_45_49_Not_LF,C11_P_45_49_LF_NS,C11_P_45_49_Tot,C11_P_50_54_Em_FT,C11_P_50_54_Em_PT,C11_P_50_54_Em_AFW,C11_P_50_54_Em_Hrs_NS,C11_P_50_54_Em_Tot,C11_P_50_54_Unem_Look_FT,C11_P_50_54_Unem_Look_PT,C11_P_50_54_Unem_Tot,C11_P_50_54_Tot_LF,C11_P_50_54_Not_LF,C11_P_50_54_LF_NS,C11_P_50_54_Tot,C11_P_55_59_Em_FT,C11_P_55_59_Em_PT,C11_P_55_59_Em_AFW,C11_P_55_59_Em_Hrs_NS,C11_P_55_59_Em_Tot,C11_P_55_59_Unem_Look_FT,C11_P_55_59_Unem_Look_PT,C11_P_55_59_Unem_Tot,C11_P_55_59_Tot_LF,C11_P_55_59_Not_LF,C11_P_55_59_LF_NS,C11_P_55_59_Tot,C11_P_60_64_Em_FT,C11_P_60_64_Em_PT,C11_P_60_64_Em_AFW,C11_P_60_64_Em_Hrs_NS,C11_P_60_64_Em_Tot,C11_P_60_64_Unem_Look_FT,C11_P_60_64_Unem_Look_PT,C11_P_60_64_Unem_Tot,C11_P_60_64_Tot_LF,C11_P_60_64_Not_LF,C11_P_60_64_LF_NS,C11_P_60_64_Tot,C11_P_65_69_Em_FT,C11_P_65_69_Em_PT,C11_P_65_69_Em_AFW,C11_P_65_69_Em_Hrs_NS,C11_P_65_69_Em_Tot,C11_P_65_69_Unem_Look_FT,C11_P_65_69_Unem_Look_PT,C11_P_65_69_Unem_Tot,C11_P_65_69_Tot_LF,C11_P_65_69_Not_LF,C11_P_65_69_LF_NS,C11_P_65_69_Tot,C11_P_70_74_Em_FT,C11_P_70_74_Em_PT,C11_P_70_74_Em_AFW,C11_P_70_74_Em_Hrs_NS,C11_P_70_74_Em_Tot,C11_P_70_74_Unem_Look_FT,C11_P_70_74_Unem_Look_PT,C11_P_70_74_Unem_Tot,C11_P_70_74_Tot_LF,C11_P_70_74_Not_LF,C11_P_70_74_LF_NS,C11_P_70_74_Tot,C11_P_75over_Em_FT,C11_P_75over_Em_PT,C11_P_75over_Em_Aw_fr_w,C11_P_75over_Emp_H_wor_ns,C11_P_75over_Em_Tot,C11_P_75over_Unem_Lo_ft_wor,C11_P_75over_Unem_Lo_pt_wor,C11_P_75over_Unemp_Tot,C11_P_75over_Tot_lab_for,C11_P_75over_N_lab_forc,C11_P_75over_LF_NS,C11_P_75over_Tot,C11_P_Tot_Em_FT,C11_P_Tot_Em_PT,C11_P_Tot_Em_AFW,C11_P_Tot_Em_Hrs_NS,C11_P_Tot_Em_Tot,C11_P_Tot_Unem_Look_FT,C11_P_Tot_Unem_Look_PT,C11_P_Tot_Unem_Tot,C11_P_Tot_Tot_labo_for,C11_P_Tot_Not_LF,C11_P_Tot_LF_NS,C11_P_Tot_Tot,C16_P_15_19_Em_FT,C16_P_15_19_Em_PT,C16_P_15_19_Em_AFW,C16_P_15_19_Em_Hrs_NS,C16_P_15_19_Em_Tot,C16_P_15_19_Unem_Look_FT,C16_P_15_19_Unem_Look_PT,C16_P_15_19_Unem_Tot,C16_P_15_19_Tot_LF,C16_P_15_19_Not_LF,C16_P_15_19_LF_NS,C16_P_15_19_Tot,C16_P_20_24_Em_FT,C16_P_20_24_Em_PT,C16_P_20_24_Em_AFW,C16_P_20_24_Em_Hrs_NS,C16_P_20_24_Em_Tot,C16_P_20_24_Unem_Look_FT,C16_P_20_24_Unem_Look_PT,C16_P_20_24_Unem_Tot,C16_P_20_24_Tot_LF,C16_P_20_24_Not_LF,C16_P_20_24_LF_NS,C16_P_20_24_Tot
LGA50840,1105,16,21,33,1137,941,159,2237,36,67,3,6,110,14,9,19,128,87,4,216,53,18,6,0,72,4,0,10,82,20,5,110,67,16,4,0,93,7,4,8,101,36,7,142,79,58,7,5,145,3,0,6,155,39,8,200,108,65,11,8,188,9,0,5,197,43,11,244,114,84,3,0,208,8,3,14,220,55,4,274,164,73,11,3,250,8,0,9,260,59,0,320,157,103,13,0,276,0,4,3,280,59,5,349,144,106,19,0,271,5,3,9,280,93,15,380,84,94,17,5,201,0,3,4,200,176,13,395,34,33,9,0,74,0,0,0,76,234,13,326,14,17,6,0,40,0,0,0,40,169,5,213,5,7,0,0,17,0,0,0,17,221,9,250,1070,741,112,29,1951,50,33,81,2041,1290,102,3424,51,63,0,5,119,5,7,10,131,113,18,261,57,28,3,0,87,0,4,7,86,27,6,127
LGA50910,179,6,3,8,191,159,30,383,3,4,0,3,8,0,0,0,7,18,0,29,15,4,0,0,20,0,0,0,21,11,0,34,15,3,0,0,19,0,0,0,19,15,0,34,18,8,3,0,28,3,0,5,30,10,4,45,29,13,0,0,39,0,3,3,39,3,9,49,29,16,4,5,55,7,0,8,61,15,8,78,30,13,0,4,44,0,0,0,48,13,3,64,26,7,0,0,39,0,0,3,44,9,6,56,34,9,3,0,42,0,0,0,42,18,8,71,26,12,4,0,44,0,0,0,49,25,3,69,15,12,0,0,30,0,0,0,32,27,8,69,5,9,0,0,11,0,0,0,11,36,6,52,7,0,0,0,13,0,0,0,13,73,9,97,251,111,21,14,403,12,9,18,420,273,52,749,8,9,0,0,15,9,0,9,21,15,3,37,15,12,0,0,20,3,3,3,31,3,5,41
LGA50980,4149,92,93,179,4326,1492,942,6766,147,136,8,18,308,32,17,53,360,388,88,834,435,121,28,24,609,55,18,78,682,234,135,1053,699,150,55,27,930,41,13,50,977,191,175,1354,597,172,51,24,852,20,10,25,883,236,130,1251,578,204,47,21,852,33,9,42,897,230,130,1261,634,207,44,25,911,22,10,28,940,201,137,1277,589,158,29,15,785,14,7,24,810,165,118,1097,559,151,33,26,759,15,6,14,778,179,83,1040,419,135,29,13,599,7,8,17,612,195,88,895,206,66,18,9,300,0,0,6,306,198,63,568,50,48,4,0,105,0,0,0,105,186,42,336,13,18,4,0,25,0,0,0,32,133,25,186,12,7,0,0,16,0,0,0,16,177,43,234,4927,1582,347,200,7056,250,102,348,7401,2714,1261,11372,84,180,8,20,289,33,32,58,342,425,95,866,302,151,17,28,493,61,24,78,573,209,101,881
LGA51080,202,6,8,10,214,134,54,403,10,0,0,0,19,0,0,0,19,33,0,53,21,5,0,0,22,0,0,0,22,15,0,37,31,5,4,0,45,5,0,3,46,10,4,58,26,6,4,0,38,0,0,0,40,26,3,70,27,14,0,6,51,0,0,0,53,23,0,78,32,14,5,0,56,3,0,3,56,11,6,80,55,15,0,0,76,0,0,3,79,17,5,99,44,11,5,0,64,4,3,5,70,18,9,94,40,11,4,0,53,3,0,3,55,20,0,71,21,15,3,3,42,0,0,0,41,23,0,59,9,3,0,0,12,0,0,0,12,19,0,32,6,4,0,0,10,0,0,0,10,26,0,42,3,5,0,0,8,0,0,0,8,45,0,52,332,118,23,17,490,16,3,24,513,281,37,830,7,6,0,0,13,0,0,5,15,32,3,47,20,4,0,0,28,7,0,7,28,10,4,50
LGA51120,179,0,7,8,190,136,61,388,9,3,0,0,15,5,0,3,22,11,0,39,14,3,0,0,16,3,0,7,26,9,0,31,27,10,0,0,39,0,0,0,39,8,0,44,18,11,0,0,29,5,0,5,29,12,3,45,34,15,6,0,53,0,0,0,56,8,0,67,33,11,0,0,54,0,0,0,53,3,0,53,35,9,0,5,45,0,0,0,43,5,0,55,38,15,9,0,53,0,0,0,58,15,0,70,40,15,0,3,57,0,0,5,61,16,0,76,21,18,4,3,46,0,0,0,46,38,4,84,11,4,4,3,18,0,0,0,22,19,0,45,3,0,0,0,7,0,0,0,7,27,6,41,4,0,0,0,5,0,0,0,5,69,9,82,292,112,22,15,438,16,9,25,465,244,30,743,3,6,0,0,12,0,3,3,17,12,4,30,11,3,0,0,16,0,0,0,18,7,5,28
LGA51190,7166,171,237,405,7569,5748,844,14159,419,523,45,49,1036,87,73,159,1200,726,138,2064,1029,386,82,31,1521,107,43,149,1676,360,149,2180,1108,339,58,25,1531,79,32,104,1639,432,138,2209,996,387,67,30,1474,59,31,90,1562,428,122,2112,880,403,48,28,1361,59,29,93,1454,394,130,1982,1015,506,77,24,1616,46,30,79,1697,324,142,2164,1084,424,79,37,1622,44,24,66,1690,312,146,2144,1150,481,88,24,1747,37,13,56,1799,350,123,2276,860,429,87,25,1399,20,11,34,1431,482,108,2022,510,357,65,19,951,17,11,27,984,807,101,1894,134,144,21,7,307,4,3,3,314,986,76,1383,15,54,3,4,77,0,5,4,87,916,72,1080,3,33,4,0,42,0,4,4,48,2004,290,2336,9199,4464,732,305,14701,569,303,873,15572,8529,1747,25845,173,529,20,24,744,58,100,166,906,735,120,1762,753,368,28,25,1174,132,58,191,1369,338,134,1841
LGA51260,9417,93,198,291,9703,6525,918,17146,338,575,61,35,1007,68,58,125,1135,706,72,1907,617,280,31,21,953,64,19,83,1033,191,91,1318,674,304,63,19,1063,57,20,81,1145,267,77,1485,779,431,86,40,1333,35,27,68,1395,307,89,1794,907,536,114,30,1594,50,31,80,1672,380,103,2156,1033,649,89,25,1796,34,48,75,1871,297,104,2268,1040,581,83,34,1738,32,18,47,1792,255,85,2125,977,531,80,27,1609,28,5,35,1648,299,90,2035,708,532,89,20,1350,33,16,46,1401,465,80,1947,392,367,82,7,854,22,16,37,887,868,93,1846,99,173,33,9,314,0,6,11,327,1123,59,1505,25,67,6,3,106,0,0,3,106,982,70,1159,10,33,5,9,64,0,0,0,64,2024,158,2242,7603,5060,838,274,13785,418,269,691,14473,8154,1156,23782,253,673,57,32,1010,69,94,161,1166,846,107,2122,623,371,37,29,1058,69,29,97,1152,205,103,1460
LGA51310,7311,107,182,292,7599,4068,401,12062,88,567,41,13,714,14,76,87,798,879,36,1723,565,553,51,14,1184,26,35,62,1241,223,67,1540,817,208,41,13,1077,29,11,45,1122,117,88,1338,712,212,48,12,982,14,4,26,1007,180,52,1236,805,328,68,11,1206,12,15,21,1231,276,66,1577,1029,521,69,15,1636,25,21,44,1673,302,71,2047,1123,499,51,11,1678,15,7,23,1698,227,55,1980,1081,420,45,20,1565,16,13,31,1595,195,68,1857,772,337,45,17,1169,12,16,30,1207,227,75,1498,422,281,46,8,763,10,8,13,778,395,48,1219,147,153,21,4,323,0,0,6,326,526,36,891,49,94,8,0,152,0,3,7,154,617,31,810,26,75,7,13,116,0,0,0,117,1805,127,2052,7621,4240,545,153,12561,180,214,393,12954,5980,822,19760,25,574,20,22,640,14,114,130,775,869,45,1690,392,668,34,19,1114,39,52,94,1206,252,68,1525
LGA51330,22361,554,888,1445,23805,14082,1547,39434,655,1823,90,96,2659,108,347,457,3121,3065,247,6433,2841,2450,207,142,5642,269,381,649,6294,2265,570,9129,3777,1314,186,97,5388,194,131,321,5707,1151,455,7316,2973,966,201,65,4211,117,57,176,4385,1040,338,5771,2595,1048,172,78,3887,106,68,172,4062,1013,233,5304,2994,1326,153,100,4572,110,89,195,4770,842,264,5875,3226,1263,134,84,4706,118,63,185,4891,746,223,5856,3073,1141,158,66,4433,95,53,148,4582,786,189,5559,2436,1078,167,67,3742,79,32,108,3851,1047,182,5079,1425,941,127,41,2535,39,32,72,2606,1711,180,4500,411,423,47,22,902,7,9,12,912,2086,121,3126,56,160,10,11,242,0,4,3,245,1964,137,2347,25,65,0,17,110,0,0,0,116,4045,343,4505,26494,13999,1657,883,43030,1242,1272,2511,45544,21760,3486,70789,298,1662,61,37,2066,127,612,738,2803,3220,196,6223,1772,2817,146,108,4840,356,584,942,5788,2079,433,8297
LGA51400,4454,78,120,197,4653,2337,325,7313,197,265,25,17,509,24,40,71,576,485,59,1119,355,102,19,19,498,29,11,41,536,101,36,678,337,121,40,17,512,15,9,23,536,145,43,724,397,190,34,17,637,16,9,29,674,175,44,890,571,270,39,14,893,15,4,25,918,192,56,1166,650,291,42,22,1007,15,24,43,1047,163,71,1282,676,250,44,17,987,17,9,24,1008,129,50,1183,523,209,41,9,780,13,3,19,796,117,53,961,361,157,35,4,569,8,7,13,578,190,44,808,170,127,20,6,322,11,3,9,332,319,32,693,51,47,19,0,121,0,0,0,121,354,18,489,7,19,4,0,36,0,0,0,36,248,19,293,0,11,9,0,23,0,0,0,23,270,39,329,4289,2061,372,150,6877,164,128,292,7166,2882,564,10610,154,416,14,22,613,44,102,144,757,616,50,1425,367,172,20,13,574,42,15,59,631,112,50,795
LGA51470,106,7,3,8,117,69,31,218,9,6,0,0,13,0,0,0,15,9,0,23,12,7,0,3,20,0,0,0,20,3,0,28,18,4,0,0,21,0,0,0,21,7,0,29,10,4,3,3,20,0,0,0,19,7,3,35,23,3,0,0,22,0,0,0,22,3,0,22,15,10,0,0,28,0,0,0,28,3,4,27,21,3,0,0,29,0,0,0,31,6,0,35,44,0,5,0,45,0,0,0,45,11,3,57,23,10,0,4,30,0,0,0,30,15,5,46,17,5,3,4,20,0,0,0,20,20,0,48,3,3,0,0,4,0,0,0,4,29,8,40,0,0,0,0,0,0,0,0,0,10,0,16,0,0,0,0,6,0,0,0,6,17,5,25,184,61,12,7,264,0,0,3,270,136,31,437,7,0,0,0,3,0,0,0,3,5,0,18,18,4,0,0,22,0,0,0,22,3,10,26
LGA51540,1129,25,16,40,1171,558,330,2060,58,44,6,7,114,10,4,19,133,125,33,286,130,24,6,4,165,13,4,21,184,49,38,266,156,40,16,7,221,9,9,12,236,56,40,337,173,59,20,5,255,9,0,8,268,75,42,388,187,76,20,4,291,15,3,19,314,73,46,431,222,69,7,6,313,11,6,14,329,63,50,445,202,60,10,8,282,8,7,12,298,62,50,413,241,54,19,3,326,10,5,11,333,45,45,426,192,55,12,9,265,5,0,5,268,73,59,403,121,45,8,6,181,4,4,7,186,128,53,371,35,25,3,0,73,0,0,0,73,179,30,276,15,19,0,0,34,0,0,0,34,137,28,202,6,13,0,0,14,0,0,0,16,173,36,232,1743,578,140,71,2534,95,38,134,2667,1254,561,4479,49,46,3,3,98,11,6,18,116,118,28,260,126,28,12,5,174,24,4,24,200,58,45,300
LGA51610,352,4,3,11,361,160,73,595,14,8,0,0,21,0,0,0,25,35,9,62,18,8,6,0,28,0,0,0,32,3,5,38,18,8,0,0,25,0,0,0,28,9,0,42,32,13,0,0,50,0,0,0,49,20,3,73,34,8,0,0,48,0,0,0,48,17,0,70,49,26,5,0,82,6,0,6,85,12,3,103,45,22,5,0,69,4,0,5,75,15,3,93,31,28,0,0,62,0,0,0,62,12,9,80,39,29,10,5,76,0,0,0,76,20,5,107,35,15,10,0,56,0,0,3,63,40,9,105,20,11,0,0,36,0,0,0,31,24,8,67,5,6,0,0,15,0,0,0,15,35,0,43,0,5,0,0,5,0,0,0,5,27,8,38,354,172,33,6,573,14,7,18,591,272,51,910,17,25,0,0,39,0,0,0,42,31,0,73,25,6,0,0,29,0,0,0,30,3,0,40
LGA51680,1347,19,31,52,1399,807,172,2376,61,71,5,10,151,12,7,20,170,169,17,352,71,24,3,5,106,3,0,4,108,14,18,149,57,28,0,0,87,0,4,4,91,24,9,121,97,37,7,0,134,4,0,9,142,31,6,185,154,61,11,3,235,3,0,3,236,52,19,309,183,89,8,7,290,3,3,5,294,38,14,351,237,81,16,4,338,3,0,3,339,45,33,419,187,81,12,0,281,9,0,9,287,65,22,374,150,62,12,8,232,0,6,6,238,79,10,331,92,56,11,3,160,8,5,5,166,116,12,291,35,27,5,3,67,0,0,0,67,164,10,243,11,14,0,0,29,0,0,0,31,135,9,178,4,0,0,0,11,0,0,0,11,126,9,151,1339,637,92,31,2105,52,20,75,2184,1075,195,3452,47,78,0,11,134,11,7,22,158,220,28,413,96,52,11,7,156,12,8,24,181,20,16,220
LGA51710,345,6,3,5,347,107,88,546,31,11,0,0,39,0,0,0,39,72,0,113,46,4,5,0,63,0,0,0,63,141,9,205,42,8,3,4,57,3,0,3,60,281,8,350,52,9,9,3,70,0,0,0,70,155,0,230,51,12,4,0,66,0,0,0,66,76,11,151,73,21,6,0,102,4,0,4,99,52,10,162,78,17,6,3,113,0,0,0,113,32,3,149,79,14,4,0,95,0,0,0,95,20,5,122,80,13,4,0,102,0,0,0,102,27,9,133,68,9,0,6,87,0,0,0,87,18,4,105,9,4,0,0,11,0,0,0,13,27,0,35,6,0,0,0,9,0,0,0,9,15,0,24,0,0,0,0,0,0,0,0,0,9,0,16,623,122,36,25,809,5,0,7,811,923,65,1809,4,3,0,0,11,0,0,0,14,44,13,70,28,17,8,4,48,0,0,0,48,46,9,108
LGA51750,2674,41,84,124,2799,2028,244,5074,32,191,19,4,239,0,28,30,272,392,81,752,206,262,14,9,500,17,26,36,534,155,60,754,314,106,22,8,445,6,6,9,457,79,43,587,240,66,18,0,325,8,0,8,336,62,35,429,206,98,10,3,319,12,0,12,332,91,27,447,253,143,5,5,411,6,3,14,423,98,34,559,285,144,13,6,448,10,0,14,462,94,35,588,329,145,18,7,498,3,0,12,510,105,45,650,268,147,13,7,434,8,3,9,446,114,25,587,195,126,17,5,334,4,4,12,343,178,24,548,71,110,6,0,192,3,0,3,189,306,22,521,28,58,4,0,85,0,0,0,85,297,25,411,6,38,0,4,49,0,0,0,54,817,116,987,2439,1633,161,58,4292,79,78,157,4445,2800,570,7822,10,161,6,8,182,7,36,42,224,544,35,815,150,272,8,3,436,5,34,37,467,144,50,663
LGA51820,30605,543,970,1514,32122,14695,1917,48736,965,1680,111,120,2880,192,249,442,3321,2232,250,5797,2944,1398,175,130,4645,239,124,364,5007,975,283,6265,3999,998,299,105,5406,143,76,223,5623,854,349,6830,3883,1308,301,95,5598,144,68,215,5809,1139,317,7271,3839,1574,281,122,5810,108,70,174,5985,1137,337,7456,3732,1652,226,95,5713,116,68,180,5890,937,290,7116,3447,1387,237,103,5172,106,57,164,5338,749,263,6350,3021,1153,209,73,4453,90,41,128,4585,865,245,5697,2216,929,165,60,3364,61,34,92,3460,1139,208,4812,1262,780,129,47,2216,42,16,67,2286,1734,163,4187,346,388,27,20,787,9,9,20,803,2074,134,3018,56,110,14,3,183,3,0,6,191,1891,142,2225,16,34,11,8,67,0,0,4,68,3437,411,3919,29730,13395,2182,979,46294,1245,827,2074,48368,19171,3395,70932,547,1932,102,63,2647,185,518,704,3351,2753,295,6405,2485,1966,145,120,4723,331,229,561,5287,1042,397,6722
LGA51860,112,0,4,4,113,80,39,236,4,6,0,3,6,4,0,0,7,11,0,23,4,0,0,0,3,0,0,0,6,11,0,13,16,8,0,0,24,3,0,6,32,8,4,40,11,11,0,0,20,0,0,0,27,3,3,31,8,18,0,0,29,0,0,0,30,4,0,36,19,6,0,0,27,0,0,0,27,9,0,36,19,15,5,0,39,5,0,5,43,12,4,55,17,20,0,0,35,0,0,4,34,13,0,53,21,6,0,0,21,0,0,0,22,18,0,44,0,0,0,0,4,0,0,0,9,18,5,34,0,0,0,0,0,0,0,0,0,17,0,20,0,0,0,0,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,20,0,20,122,81,11,10,220,15,3,16,236,165,18,421,3,5,0,0,6,0,0,3,9,15,5,29,3,4,0,0,15,0,0,0,15,7,3,22
LGA51890,1608,73,59,134,1740,1576,289,3611,162,153,5,16,340,28,13,40,380,248,17,645,238,74,24,8,342,23,6,31,372,90,38,496,297,77,18,3,405,9,4,18,420,82,55,559,240,71,23,15,338,21,7,22,361,118,35,518,236,137,21,10,406,6,4,10,422,118,42,579,347,138,30,20,539,20,0,21,568,107,35,703,365,124,23,3,515,12,4,14,528,110,42,675,337,140,40,12,529,9,0,12,536,125,36,702,277,92,39,5,418,9,6,12,425,226,36,689,128,68,18,5,214,7,0,7,224,314,35,568,35,38,5,4,85,0,0,0,89,305,12,404,7,8,0,0,17,0,0,0,25,225,15,260,5,5,0,0,11,0,0,0,11,476,63,549,2674,1125,256,105,4161,151,52,202,4366,2530,461,7362,63,137,7,8,214,33,24,58,271,253,41,559,195,86,14,7,305,55,13,66,365,111,39,511
LGA51960,566,24,12,36,601,390,280,1262,65,40,0,13,120,16,0,20,140,112,33,279,148,19,12,4,184,8,3,14,199,58,42,294,146,22,16,3,187,6,3,11,199,73,44,315,177,21,11,7,213,15,6,21,234,59,47,334,161,36,11,10,221,12,5,17,235,47,35,318,190,31,3,4,235,11,0,9,242,39,40,323,148,51,0,7,204,7,0,14,219,29,33,277,125,25,4,7,155,5,0,5,163,45,27,231,106,42,5,0,147,5,4,12,155,54,31,242,72,19,6,3,102,5,4,3,105,46,11,168,18,10,0,0,33,0,0,0,32,57,18,110,4,0,0,0,3,0,0,0,7,39,5,48,0,0,0,0,5,0,0,0,5,38,8,51,1361,314,76,54,1804,100,30,129,1935,699,367,2996,32,20,4,0,57,3,4,11,71,138,26,228,83,14,3,0,101,17,3,25,129,49,24,199
LGA52030,189,8,0,10,198,164,57,419,7,0,0,0,11,6,0,4,15,17,0,29,27,7,0,0,31,0,3,6,37,9,4,50,33,6,0,0,38,0,0,0,42,13,0,51,19,3,0,0,28,0,0,0,30,13,4,43,30,18,0,0,50,3,0,3,54,13,3,74,44,15,3,0,58,3,0,3,57,17,0,72,41,12,0,0,51,0,0,0,52,10,4,69,55,10,3,7,71,0,0,0,72,21,16,108,29,14,4,3,57,0,5,5,58,30,0,86,33,9,0,3,44,3,0,3,51,52,3,104,19,4,0,0,23,0,0,0,23,50,9,84,5,4,0,0,14,0,0,0,14,40,5,54,7,3,4,5,11,0,0,0,11,50,10,67,346,109,21,9,487,18,5,24,508,320,55,876,6,7,0,0,10,0,0,0,11,19,0,32,11,9,0,0,21,3,0,0,22,5,0,26
LGA52100,233,0,3,3,238,145,28,409,9,6,0,0,13,4,0,4,14,10,0,25,23,3,0,0,29,0,0,0,33,5,0,37,34,4,4,0,50,0,0,3,53,4,0,56,37,7,3,0,52,0,0,0,48,9,0,64,26,14,0,0,39,4,5,6,49,11,0,62,44,14,0,0,57,3,0,4,61,3,0,62,45,17,0,0,63,0,0,0,61,5,0,68,55,19,0,5,76,3,0,5,83,8,8,98,45,24,6,0,72,0,0,0,75,10,3,84,28,23,3,0,58,0,0,0,61,27,0,91,10,11,6,3,25,0,0,0,23,41,7,71,3,9,0,0,14,0,0,0,14,39,3,56,0,5,3,3,15,0,0,0,15,87,8,107,358,154,32,20,562,21,6,27,590,253,33,876,9,7,0,0,15,8,5,7,21,18,7,48,28,3,0,0,34,0,0,3,39,12,6,57
LGA52170,1954,22,38,61,2015,1267,153,3437,32,123,16,8,167,7,14,15,187,213,20,430,166,170,22,9,366,11,15,22,389,99,47,534,337,83,21,4,449,10,6,22,467,40,71,577,254,53,18,4,328,5,0,9,339,69,62,467,183,64,19,3,264,6,0,3,270,75,35,379,248,122,12,5,388,5,0,8,398,101,44,552,266,141,13,6,421,6,3,8,436,69,26,531,285,118,12,4,420,10,7,16,435,61,42,541,241,124,21,3,392,5,3,11,403,102,50,557,165,107,23,6,301,0,0,6,303,197,43,538,50,98,6,0,153,0,3,3,156,221,22,391,11,35,9,3,54,0,0,0,59,168,28,254,7,18,5,0,27,0,0,0,27,406,109,538,2245,1254,185,51,3734,66,65,127,3864,1820,602,6279,6,134,0,0,143,0,33,34,178,263,23,459,112,163,4,10,284,13,10,27,314,68,35,409
LGA52240,227,0,5,7,239,134,45,421,8,3,4,0,14,0,0,0,10,24,3,41,24,7,0,0,33,0,0,0,33,3,6,48,26,10,0,0,29,0,0,0,33,7,3,42,40,6,10,0,52,5,0,5,54,13,0,71,37,10,8,0,55,0,0,0,58,9,0,75,37,17,0,0,60,0,0,0,56,14,9,80,26,22,9,0,53,0,3,4,61,8,7,75,47,11,3,0,63,4,0,4,65,16,6,87,36,11,6,0,46,8,0,8,54,17,7,78,31,16,0,0,48,3,0,6,52,23,4,78,17,10,0,0,30,0,0,0,32,30,0,61,0,4,0,0,7,0,0,0,5,39,3,49,9,4,0,0,11,0,0,0,11,41,7,61,337,121,34,7,503,18,9,27,524,254,62,844,9,3,0,0,20,0,0,0,20,12,0,35,17,3,0,0,28,0,0,0,25,8,4,33
LGA52310,197,3,0,3,203,120,34,358,11,15,0,0,21,0,0,0,22,21,0,46,13,0,0,0,15,0,0,4,15,7,0,18,15,3,0,3,21,0,0,0,20,14,0,34,14,9,3,0,28,0,0,0,28,4,0,32,27,8,3,0,49,0,0,0,46,7,0,54,33,17,3,0,56,4,0,4,58,10,4,68,34,20,0,0,58,5,0,4,59,11,3,76,31,10,0,0,46,0,0,0,51,11,0,62,43,6,5,0,52,0,0,0,55,22,0,81,26,13,0,0,47,0,0,0,44,27,0,75,10,16,0,0,34,0,0,0,34,16,0,54,0,3,0,0,8,0,0,0,8,38,6,50,4,0,0,3,9,0,0,0,9,28,6,41,268,123,22,14,429,12,7,12,445,219,24,689,8,4,0,0,12,0,0,0,10,13,7,33,8,3,0,0,19,0,0,0,19,4,4,25
