LGA_CODE_2021,C11_M_15_19_Em_FT,C11_M_15_19_Em_PT,C11_M_15_19_Em_AFW,C11_M_15_19_Em_Hrs_NS,C11_M_15_19_Em_Tot,C11_M_15_19_Unem_Look_FT,C11_M_15_19_Unem_Look_PT,C11_M_15_19_Unem_Tot,C11_M_15_19_Tot_LF,C11_M_15_19_Not_LF,C11_M_15_19_LF_NS,C11_M_15_19_Tot,C11_M_20_24_Em_FT,C11_M_20_24_Em_PT,C11_M_20_24_Em_AFW,C11_M_20_24_Em_Hrs_NS,C11_M_20_24_Em_Tot,C11_M_20_24_Unem_Look_FT,C11_M_20_24_Unem_Look_PT,C11_M_20_24_Unem_Tot,C11_M_20_24_Tot_LF,C11_M_20_24_Not_LF,C11_M_20_24_LF_NS,C11_M_20_24_Tot,C11_M_25_29_Em_FT,C11_M_25_29_Em_PT,C11_M_25_29_Em_AFW,C11_M_25_29_Em_Hrs_NS,C11_M_25_29_Em_Tot,C11_M_25_29_Unem_Look_FT,C11_M_25_29_Unem_Look_PT,C11_M_25_29_Unem_Tot,C11_M_25_29_Tot_LF,C11_M_25_29_Not_LF,C11_M_25_29_LF_NS,C11_M_25_29_Tot,C11_M_30_34_Em_FT,C11_M_30_34_Em_PT,C11_M_30_34_Em_AFW,C11_M_30_34_Em_Hrs_NS,C11_M_30_34_Em_Tot,C11_M_30_34_Unem_Look_FT,C11_M_30_34_Unem_Look_PT,C11_M_30_34_Unem_Tot,C11_M_30_34_Tot_LF,C11_M_30_34_Not_LF,C11_M_30_34_LF_NS,C11_M_30_34_Tot,C11_M_35_39_Em_FT,C11_M_35_39_Em_PT,C11_M_35_39_Em_AFW,C11_M_35_39_Em_Hrs_NS,C11_M_35_39_Em_Tot,C11_M_35_39_Unem_Look_FT,C11_M_35_39_Unem_Look_PT,C11_M_35_39_Unem_Tot,C11_M_35_39_Tot_LF,C11_M_35_39_Not_LF,C11_M_35_39_LF_NS,C11_M_35_39_Tot,C11_M_40_44_Em_FT,C11_M_40_44_Em_PT,C11_M_40_44_Em_AFW,C11_M_40_44_Em_Hrs_NS,C11_M_40_44_Em_Tot,C11_M_40_44_Unem_Look_FT,C11_M_40_44_Unem_Look_PT,C11_M_40_44_Unem_Tot,C11_M_40_44_Tot_LF,C11_M_40_44_Not_LF,C11_M_40_44_LF_NS,C11_M_40_44_Tot,C11_M_45_49_Em_FT,C11_M_45_49_Em_PT,C11_M_45_49_Em_AFW,C11_M_45_49_Em_Hrs_NS,C11_M_45_49_Em_Tot,C11_M_45_49_Unem_Look_FT,C11_M_45_49_Unem_Look_PT,C11_M_45_49_Unem_Tot,C11_M_45_49_Tot_LF,C11_M_45_49_Not_LF,C11_M_45_49_LF_NS,C11_M_45_49_Tot,C11_M_50_54_Em_FT,C11_M_50_54_Em_PT,C11_M_50_54_Em_AFW,C11_M_50_54_Em_Hrs_NS,C11_M_50_54_Em_Tot,C11_M_50_54_Unem_Look_FT,C11_M_50_54_Unem_Look_PT,C11_M_50_54_Unem_Tot,C11_M_50_54_Tot_LF,C11_M_50_54_Not_LF,C11_M_50_54_LF_NS,C11_M_50_54_Tot,C11_M_55_59_Em_FT,C11_M_55_59_Em_PT,C11_M_55_59_Em_AFW,C11_M_55_59_Em_Hrs_NS,C11_M_55_59_Em_Tot,C11_M_55_59_Unem_Look_FT,C11_M_55_59_Unem_Look_PT,C11_M_55_59_Unem_Tot,C11_M_55_59_Tot_LF,C11_M_55_59_Not_LF,C11_M_55_59_LF_NS,C11_M_55_59_Tot,C11_M_60_64_Em_FT,C11_M_60_64_Em_PT,C11_M_60_64_Em_AFW,C11_M_60_64_Em_Hrs_NS,C11_M_60_64_Em_Tot,C11_M_60_64_Unem_Look_FT,C11_M_60_64_Unem_Look_PT,C11_M_60_64_Unem_Tot,C11_M_60_64_Tot_LF,C11_M_60_64_Not_LF,C11_M_60_64_LF_NS,C11_M_60_64_Tot,C11_M_65_69_Em_FT,C11_M_65_69_Em_PT,C11_M_65_69_Em_AFW,C11_M_65_69_Em_Hrs_NS,C11_M_65_69_Em_Tot,C11_M_65_69_Unem_Look_FT,C11_M_65_69_Unem_Look_PT,C11_M_65_69_Unem_Tot,C11_M_65_69_Tot_LF,C11_M_65_69_Not_LF,C11_M_65_69_LF_NS,C11_M_65_69_Tot,C11_M_70_74_Em_FT,C11_M_70_74_Em_PT,C11_M_70_74_Em_AFW,C11_M_70_74_Em_Hrs_NS,C11_M_70_74_Em_Tot,C11_M_70_74_Unem_Look_FT,C11_M_70_74_Unem_Look_PT,C11_M_70_74_Unem_Tot,C11_M_70_74_Tot_LF,C11_M_70_74_Not_LF,C11_M_70_74_LF_NS,C11_M_70_74_Tot,C11_M_75over_Em_FT,C11_M_75over_Em_PT,C11_M_75over_Em_AFW,C11_M_75over_Em_Hrs_NS,C11_M_75over_Em_Tot,C11_M_75over_Unem_Look_FT,C11_M_75over_Unem_Look_PT,C11_M_75over_Unem_Tot,C11_M_75over_Tot_LF,C11_M_75ove_Not_LF,C11_M_75over_LF_NS,C11_M_75over_Tot,C11_M_Tot_Em_FT,C11_M_Tot_Em_PT,C11_M_Tot_Em_AFW,C11_M_Tot_Em_Hrs_NS,C11_M_Tot_Em_Tot,C11_M_Tot_Unem_Look_FT,C11_M_Tot_Unem_Look_PT,C11_M_Tot_Unem_Tot,C11_M_Tot_Tot_labo_for,C11_M_Tot_Not_LF,C11_M_Tot_LF_NS,C11_M_Tot_Tot,C16_M_15_19_Em_FT,C16_M_15_19_Em_PT,C16_M_15_19_Em_AFW,C16_M_15_19_Em_Hrs_NS,C16_M_15_19_Em_Tot,C16_M_15_19_Unem_Look_FT,C16_M_15_19_Unem_Look_PT,C16_M_15_19_Unem_Tot,C16_M_15_19_Tot_LF,C16_M_15_19_Not_LF,C16_M_15_19_LF_NS,C16_M_15_19_Tot,C16_M_20_24_Em_FT,C16_M_20_24_Em_PT,C16_M_20_24_Em_AFW,C16_M_20_24_Em_Hrs_NS,C16_M_20_24_Em_Tot,C16_M_20_24_Unem_Look_FT,C16_M_20_24_Unem_Look_PT,C16_M_20_24_Unem_Tot,C16_M_20_24_Tot_LF,C16_M_20_24_Not_LF,C16_M_20_24_LF_NS,C16_M_20_24_Tot,C16_M_25_29_Em_FT,C16_M_25_29_Em_PT,C16_M_25_29_Em_AFW,C16_M_25_29_Em_Hrs_NS,C16_M_25_29_Em_Tot,C16_M_25_29_Unem_Look_FT,C16_M_25_29_Unem_Look_PT,C16_M_25_29_Unem_Tot
LGA50840,27,22,4,7,51,8,0,17,68,48,6,115,33,8,0,0,41,4,0,4,49,4,5,55,42,5,4,0,48,4,0,3,56,4,8,63,61,12,0,3,81,0,0,0,79,11,0,94,80,12,5,4,92,0,0,0,93,9,3,102,83,14,3,0,105,4,0,4,107,18,3,128,113,25,3,3,143,8,0,8,147,18,3,173,103,26,9,0,146,0,0,5,142,27,5,171,100,26,9,0,137,0,0,0,140,38,6,182,66,42,4,5,114,0,3,4,117,68,8,189,29,17,7,0,45,0,0,0,51,108,11,169,13,17,5,0,31,0,0,0,31,82,3,116,6,5,0,0,9,0,0,0,9,105,3,115,753,212,52,23,1036,33,14,43,1078,536,55,1674,39,23,0,6,60,0,4,3,72,66,10,138,39,3,3,0,43,0,0,4,47,7,0,62,43,9,0,3,57,5,0,6
LGA50910,0,0,0,0,0,0,0,0,3,6,0,14,12,4,0,0,11,0,0,0,10,3,0,16,13,0,0,0,13,0,0,0,13,4,0,17,14,0,0,0,12,0,0,3,18,0,0,15,22,0,0,0,19,0,0,0,23,5,6,27,24,0,4,3,24,3,0,3,29,6,5,42,18,3,0,0,27,0,0,0,30,10,4,38,17,0,0,0,24,0,0,3,24,5,5,36,24,0,3,0,25,0,0,0,25,8,7,42,21,3,0,0,27,0,0,0,27,9,0,37,11,11,0,0,18,0,0,0,21,17,0,41,6,0,0,0,7,0,0,0,7,17,0,21,3,0,0,0,13,0,0,0,13,32,0,48,169,32,8,10,218,10,6,9,233,127,30,384,6,4,0,0,10,5,0,5,11,3,0,16,4,7,0,0,8,3,0,0,14,0,0,16,13,0,0,0,13,3,0,3
LGA50980,85,55,4,11,156,21,9,27,190,202,45,437,217,51,13,15,289,37,9,41,335,96,67,495,369,52,27,15,469,23,8,27,498,68,96,661,354,38,13,22,429,10,4,17,441,87,72,600,361,43,25,9,444,23,9,29,475,88,77,634,388,51,27,11,472,17,7,15,491,82,76,650,306,56,12,11,387,8,5,13,405,77,72,555,314,51,15,15,398,5,5,12,409,71,48,533,249,61,11,11,333,7,6,8,350,87,49,482,133,32,12,5,185,0,0,6,185,97,44,318,33,24,0,0,65,4,0,4,65,91,28,188,7,13,0,0,20,0,0,0,22,78,10,105,5,4,0,0,16,0,0,0,16,102,20,134,2823,544,164,124,3658,158,49,211,3870,1223,696,5792,53,94,0,10,154,15,21,39,193,236,48,484,153,60,4,14,236,43,11,50,287,93,43,425,314,75,13,7,411,41,6,44
LGA51080,7,0,0,0,3,0,0,0,11,17,0,32,13,0,0,0,11,0,0,0,11,6,0,18,20,0,0,0,22,0,0,0,23,3,0,31,24,0,0,0,30,0,0,0,24,7,3,34,23,3,0,0,31,0,0,0,32,7,0,38,19,5,0,0,29,0,0,0,25,6,0,32,32,6,0,0,42,0,0,0,41,6,0,50,30,4,4,0,33,4,3,4,38,8,3,52,26,0,0,0,26,0,0,0,30,6,0,39,17,12,0,0,24,0,0,0,26,6,0,27,7,4,0,0,7,0,0,0,7,12,0,21,5,3,0,0,5,0,0,0,5,17,0,24,3,0,0,0,8,0,0,0,8,12,0,21,212,33,14,13,271,9,4,18,291,113,21,419,6,3,0,0,10,0,0,0,15,21,5,33,13,0,0,0,16,0,0,0,14,3,3,27,13,0,0,0,13,0,0,0
LGA51120,5,0,0,0,5,0,0,3,13,13,0,24,9,0,0,0,12,3,0,5,17,0,0,14,17,0,0,0,17,0,0,0,17,0,0,20,21,3,0,0,22,5,0,5,26,0,3,25,24,0,0,0,25,0,0,0,31,4,5,32,19,0,0,3,22,0,0,0,22,4,0,25,26,0,0,0,25,0,0,0,25,0,0,27,21,7,8,0,31,0,0,0,31,8,0,42,28,0,0,3,33,0,0,0,39,9,0,46,18,6,0,3,29,0,0,0,29,17,0,47,6,0,0,3,13,0,0,0,14,10,0,26,8,0,0,0,7,0,0,0,7,9,4,16,4,0,0,0,6,0,0,0,6,20,5,33,200,20,11,14,248,12,4,10,257,97,14,371,3,0,0,0,10,0,0,3,9,4,0,17,8,0,0,0,5,0,0,0,11,4,0,11,17,3,0,0,20,0,0,0
LGA51190,258,202,18,24,504,49,31,83,582,386,82,1046,639,138,36,19,834,73,11,82,924,145,80,1148,725,105,24,24,883,55,4,63,941,136,85,1159,719,98,28,17,867,31,10,43,910,115,66,1092,652,81,18,28,780,39,3,41,824,132,68,1023,697,92,45,13,848,22,8,35,882,105,74,1060,713,85,37,26,859,31,3,37,894,119,76,1089,734,97,43,14,888,29,0,28,920,119,69,1101,587,102,45,15,752,16,5,16,766,152,62,982,387,132,37,17,570,12,7,18,586,280,57,928,108,86,18,6,216,5,4,5,216,424,39,684,16,35,7,5,57,0,5,5,56,417,39,513,3,21,5,0,26,0,0,0,26,796,110,933,6231,1275,363,207,8076,352,97,450,8525,3330,906,12757,115,225,10,9,364,33,57,87,453,407,69,924,439,135,9,11,599,87,35,121,725,140,76,933,591,125,21,10,758,69,8,80
LGA51260,216,250,36,20,516,37,26,59,572,368,41,983,389,119,16,14,530,40,6,50,580,48,57,686,414,99,39,12,566,43,6,53,614,58,48,720,558,106,37,26,727,24,5,29,756,35,52,840,682,108,65,20,879,28,3,32,906,66,63,1029,720,148,48,12,921,12,8,21,940,62,59,1067,694,115,51,21,879,14,4,23,898,79,50,1025,613,132,29,19,790,19,0,23,808,99,45,951,479,166,38,7,690,27,6,30,725,162,41,923,291,167,50,5,511,13,7,25,536,334,43,919,76,106,27,10,220,0,5,5,226,479,28,736,22,39,0,8,67,0,0,0,67,466,30,569,8,20,9,3,43,0,0,0,43,839,67,949,5159,1576,440,161,7335,265,76,343,7681,3085,627,11392,156,283,27,23,483,51,48,99,586,458,62,1102,388,127,20,8,543,47,8,56,594,76,44,723,494,119,14,14,645,35,6,42
LGA51310,58,277,24,6,358,8,41,49,408,461,22,885,284,303,28,6,630,18,23,37,664,120,41,827,451,92,21,10,568,18,3,26,593,51,51,700,442,51,11,8,508,15,0,13,517,34,24,581,584,32,20,6,650,9,4,11,660,19,31,717,754,71,25,12,861,13,0,14,875,38,42,960,779,80,23,7,894,9,5,9,907,28,26,958,724,77,19,8,829,14,0,15,852,45,35,926,530,89,22,11,647,13,8,18,665,69,43,773,289,100,28,5,420,7,9,12,429,136,21,594,103,69,10,0,190,0,0,0,188,228,20,436,40,49,3,0,96,0,3,7,97,264,13,377,18,48,3,4,77,0,0,0,77,637,39,751,5057,1332,242,91,6726,123,87,212,6938,2141,407,9482,17,255,12,4,286,11,65,75,359,464,18,843,219,315,18,6,565,23,29,50,612,140,38,788,434,130,15,4,577,23,10,35
LGA51330,420,792,38,53,1304,63,180,250,1552,1632,132,3320,1625,1172,109,87,2997,163,219,376,3374,1107,348,4836,2275,634,98,73,3078,125,61,177,3264,417,300,3975,2013,346,71,48,2484,68,11,84,2566,248,211,3025,1819,294,76,51,2236,59,13,77,2312,192,138,2640,2044,278,82,72,2479,61,15,77,2556,185,158,2897,2044,250,66,45,2406,65,13,76,2484,203,132,2817,1887,252,84,32,2254,60,18,75,2325,210,105,2642,1554,286,88,38,1961,60,8,70,2033,292,106,2428,1007,370,74,23,1471,33,22,54,1526,623,83,2227,320,228,28,9,587,4,4,6,590,888,59,1543,45,99,9,8,168,0,4,3,173,844,59,1077,20,43,0,10,73,0,0,0,73,1625,135,1835,17068,5045,824,555,23493,764,570,1334,24830,8461,1973,35265,204,747,24,24,1002,75,319,394,1400,1778,114,3287,1006,1460,73,60,2604,232,326,555,3160,1114,224,4505,1920,881,79,71,2946,237,101,348
LGA51400,117,103,15,15,241,19,26,43,280,259,32,572,214,37,9,14,277,23,7,27,306,24,19,348,229,29,19,15,295,13,0,11,301,19,23,343,292,28,17,12,344,15,0,11,355,14,22,400,422,41,16,13,488,13,0,13,501,19,26,544,448,36,22,16,517,4,9,14,528,29,37,588,453,35,24,15,527,8,0,6,532,35,33,598,356,44,23,8,433,5,0,4,441,30,36,502,261,37,19,0,320,8,0,4,323,52,23,399,126,52,11,3,197,4,7,5,205,125,21,351,38,32,7,0,83,0,0,0,84,182,9,273,5,9,4,0,25,0,0,0,25,109,7,140,0,8,5,0,10,0,0,0,10,138,17,162,2963,499,184,106,3746,99,47,140,3890,1035,308,5236,100,175,9,16,298,34,46,81,376,316,22,709,234,52,12,13,305,25,7,29,338,40,25,400,276,41,14,3,328,13,0,20
LGA51470,5,3,0,0,8,0,0,0,9,0,0,14,5,0,0,3,12,0,0,0,12,3,0,15,17,0,0,0,17,0,0,0,17,0,0,13,12,0,0,3,12,0,0,0,17,3,0,17,13,0,0,0,13,0,0,0,13,0,0,12,12,0,0,0,11,0,0,0,11,0,0,17,15,0,0,0,15,0,0,0,14,0,0,19,29,0,0,0,30,0,0,0,30,0,0,32,18,0,0,0,21,0,0,0,21,3,6,29,15,0,0,4,19,0,0,0,19,13,0,33,0,0,0,0,3,0,0,0,3,12,0,19,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,7,0,13,130,16,6,8,156,0,0,3,160,53,18,227,3,0,0,0,3,0,0,0,3,3,0,10,10,0,0,0,15,0,0,0,15,0,3,16,12,0,0,0,10,0,0,0
LGA51540,42,21,5,0,73,11,3,13,82,59,17,159,74,14,4,0,87,5,0,7,97,14,19,128,95,11,3,3,114,5,0,5,116,23,29,166,93,19,4,5,117,6,0,6,120,21,13,160,122,21,17,3,161,15,0,15,173,19,32,224,140,19,3,5,171,6,0,7,179,23,25,223,114,16,8,9,142,7,0,5,147,20,25,197,142,27,14,4,187,9,0,9,195,27,30,253,120,19,9,3,149,5,0,5,156,36,32,222,76,26,4,4,103,4,5,8,111,55,27,192,28,13,4,0,46,0,0,0,46,93,21,157,11,9,0,0,23,0,0,0,23,78,20,117,6,5,0,0,10,0,0,0,12,91,16,121,1060,214,72,41,1384,64,11,75,1460,555,296,2303,26,16,4,0,44,7,0,11,51,57,17,128,63,9,7,0,79,13,0,16,93,26,23,141,88,18,15,4,124,9,0,13
LGA51610,6,3,0,0,12,0,0,0,10,20,3,34,11,0,0,0,13,0,0,0,16,3,5,19,11,0,0,0,18,0,0,0,18,3,0,16,28,0,0,0,28,0,0,0,28,0,3,33,29,0,0,0,34,0,0,0,34,5,0,39,28,7,0,0,37,3,0,3,41,5,0,47,35,6,0,0,41,5,0,5,45,6,0,52,19,7,0,0,30,0,0,0,30,8,3,44,22,8,0,0,38,0,0,0,38,7,0,51,23,5,5,0,36,0,0,3,38,16,0,55,16,3,0,0,21,0,0,0,21,13,4,37,5,3,0,0,12,0,0,0,12,24,0,32,0,0,0,0,4,0,0,0,4,19,8,29,245,52,20,4,322,8,0,11,330,121,31,481,10,8,0,0,17,0,0,0,17,14,0,35,16,3,0,0,19,0,0,0,19,3,0,23,12,0,0,0,11,0,0,0
LGA51680,42,19,4,3,71,4,0,6,77,87,12,173,39,12,0,0,57,3,0,3,57,4,8,75,39,3,0,0,45,0,0,0,45,0,4,51,64,5,4,0,74,3,0,3,77,3,4,90,106,13,3,0,129,0,0,0,128,4,10,140,123,13,10,7,153,0,0,0,154,8,9,169,157,13,8,4,181,4,0,4,184,8,18,212,130,17,10,0,155,0,0,0,160,17,13,200,104,15,7,4,134,0,0,4,134,25,3,170,67,22,4,6,92,3,0,3,96,37,8,139,25,15,4,3,44,0,0,0,44,90,0,135,11,9,0,0,20,0,0,0,21,72,0,100,4,0,0,0,11,0,0,0,11,73,5,91,915,164,60,22,1153,30,8,40,1192,429,105,1728,25,37,0,11,79,8,3,9,85,123,19,230,53,18,0,0,76,8,3,13,86,10,0,101,61,6,4,0,70,8,0,8
LGA51710,19,9,0,0,25,0,0,0,29,57,0,82,27,3,0,4,31,0,0,0,31,136,0,174,30,0,0,3,34,4,0,4,36,274,4,316,26,0,0,0,31,0,0,0,31,152,0,180,34,0,0,0,36,0,0,0,36,70,9,114,36,9,7,0,51,0,0,0,51,46,3,94,57,3,5,0,67,0,0,0,67,19,5,88,51,3,3,0,56,0,0,0,56,11,0,64,54,6,4,0,70,0,0,0,70,8,5,79,62,4,0,6,68,0,0,0,68,10,0,80,4,4,0,0,9,0,0,0,13,14,0,26,6,0,0,0,9,0,0,0,9,9,0,22,0,0,0,0,0,0,0,0,0,3,4,10,402,47,15,18,483,3,0,3,486,812,37,1328,4,0,0,0,8,0,0,0,8,24,6,34,13,8,0,4,29,0,0,0,29,39,7,79,29,8,7,3,48,0,0,0
LGA51750,17,92,8,0,116,0,16,23,138,229,64,438,105,106,9,12,231,6,15,23,252,84,43,377,154,43,4,5,206,3,0,7,214,39,30,286,148,19,3,0,172,6,0,6,173,15,25,216,153,24,10,5,189,3,0,10,193,16,14,226,180,21,4,3,212,6,0,9,219,19,17,251,193,15,7,3,217,4,0,4,219,23,16,261,209,32,6,0,252,5,0,5,258,24,27,306,174,40,3,0,221,5,0,5,219,37,12,272,124,53,11,5,190,6,0,3,194,53,18,268,55,55,3,0,112,3,0,3,116,112,14,245,20,37,0,0,62,0,0,0,62,128,12,205,9,31,0,4,40,0,0,0,43,272,31,343,1540,571,70,40,2219,47,47,90,2312,1060,333,3701,10,77,6,4,92,4,19,23,120,344,14,481,86,142,8,3,232,3,16,14,253,78,28,357,176,63,4,0,243,7,4,11
LGA51820,601,698,50,67,1417,104,119,220,1642,1149,119,2905,1602,560,84,76,2323,151,56,205,2525,483,160,3167,2402,332,134,70,2938,96,36,124,3058,195,210,3469,2683,284,101,70,3136,97,13,108,3246,180,176,3602,2835,278,132,83,3323,65,17,83,3403,183,189,3774,2585,286,123,51,3045,62,11,69,3117,229,158,3503,2260,264,122,60,2710,58,17,77,2788,199,166,3153,1946,259,101,39,2336,56,10,66,2408,257,159,2826,1464,225,87,36,1809,50,10,55,1864,333,121,2319,922,290,75,30,1317,35,9,46,1360,648,85,2094,275,196,21,13,512,4,8,16,527,919,63,1504,42,68,10,5,123,3,3,8,126,875,71,1075,13,23,6,3,39,0,0,4,48,1449,159,1650,19627,3761,1041,599,25032,774,302,1078,26107,7103,1830,35042,376,799,40,31,1245,110,248,359,1606,1483,170,3255,1363,812,63,76,2313,228,104,333,2651,520,203,3378,2349,511,83,60,3007,221,45,265
LGA51860,0,0,0,0,4,0,0,0,3,5,0,13,0,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,12,6,0,6,11,0,0,20,10,4,0,0,12,0,0,0,15,0,0,18,9,4,0,0,13,0,0,0,14,0,0,18,11,0,0,0,17,0,0,0,17,0,0,16,14,6,0,0,21,0,0,0,20,0,0,23,11,12,0,0,26,0,0,0,23,3,0,28,10,0,0,0,17,0,0,0,16,0,0,21,0,0,0,0,3,0,0,0,5,10,0,19,0,0,0,0,0,0,0,0,0,6,0,11,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,0,0,6,0,8,84,37,5,8,131,12,0,13,141,61,13,215,3,0,0,0,5,0,0,0,5,5,0,13,3,3,0,0,9,0,0,0,9,0,0,15,0,0,0,0,0,0,0,0
LGA51890,121,52,3,12,183,16,6,19,209,137,10,352,167,18,19,6,212,20,0,20,229,20,24,280,230,16,19,0,273,8,0,8,274,18,47,338,200,9,5,10,220,19,4,17,242,21,30,288,184,25,8,6,229,9,0,6,232,26,25,289,261,24,22,16,318,9,0,9,332,25,31,379,278,18,17,9,317,7,6,9,321,27,37,387,258,28,28,4,311,5,0,9,321,40,30,397,230,24,24,3,279,6,0,11,287,76,30,391,94,26,15,6,139,10,0,10,149,129,19,294,34,18,6,5,54,0,0,0,59,151,12,222,8,0,0,0,9,0,0,0,9,113,8,127,0,3,0,0,9,0,0,0,10,200,28,236,2061,253,170,68,2560,102,15,115,2678,971,320,3965,50,48,0,3,108,27,6,31,134,133,16,289,126,30,6,4,169,41,7,43,214,49,22,283,121,19,4,3,149,16,4,18
LGA51960,61,24,0,9,85,9,0,16,99,56,22,176,103,0,4,0,117,7,0,3,120,13,22,151,114,7,6,3,130,0,0,0,136,3,34,172,135,6,9,4,154,10,0,10,162,4,27,191,121,4,8,6,140,6,0,5,145,4,20,174,137,5,3,3,153,4,0,0,158,6,31,197,109,15,4,5,124,9,0,3,133,7,18,154,84,5,0,5,95,5,0,5,95,11,18,125,80,14,3,0,96,0,0,0,95,14,16,129,55,13,3,0,75,0,0,3,79,18,8,99,14,7,5,0,20,0,0,0,24,39,8,73,4,0,0,0,3,0,0,0,7,16,4,31,0,0,0,0,5,0,0,0,5,18,4,28,1010,85,46,37,1185,52,11,59,1244,223,227,1696,20,5,0,0,26,6,3,6,33,73,15,119,51,4,3,0,51,11,5,15,68,20,13,104,99,12,4,3,111,10,0,10
LGA52030,5,0,0,0,5,0,0,0,8,0,0,7,16,4,0,0,22,0,3,6,26,6,6,34,21,0,0,0,23,0,0,0,23,0,0,28,12,0,0,0,19,0,0,0,19,3,4,21,21,0,0,0,32,3,0,3,31,3,0,38,30,0,0,0,32,3,0,3,35,7,0,38,28,0,0,0,29,0,0,0,32,4,0,37,48,0,0,0,49,0,0,0,49,10,11,70,18,6,0,0,32,0,0,0,25,8,0,37,23,5,0,0,27,3,0,3,27,24,8,57,13,0,0,0,20,0,0,0,20,27,3,42,7,5,0,0,6,0,0,0,6,23,5,36,7,0,0,5,6,0,0,0,6,26,5,36,256,23,6,9,296,12,3,17,314,140,33,480,0,0,0,0,4,0,0,0,4,16,0,22,5,0,0,0,8,0,0,0,11,0,0,11,25,6,0,0,31,3,0,3
LGA52100,8,0,0,0,11,0,0,0,11,6,0,16,17,3,0,0,23,0,0,0,23,3,0,27,26,0,0,0,28,0,0,0,24,0,0,24,27,0,0,0,27,0,0,0,27,0,0,30,23,0,0,0,24,4,0,5,28,0,0,30,29,0,0,0,29,3,0,3,33,0,0,35,24,4,0,0,27,0,0,0,29,5,0,33,38,7,0,0,46,0,0,4,47,5,0,54,30,8,0,0,42,0,0,0,41,3,3,43,14,9,3,0,28,0,0,0,28,16,0,48,7,0,0,0,10,0,0,0,16,16,4,34,4,7,0,0,7,0,0,0,7,16,3,27,0,3,3,3,8,0,0,0,8,31,5,44,255,43,12,10,318,14,3,12,327,100,20,444,5,6,0,0,10,3,0,4,10,12,3,27,22,0,0,0,22,0,0,3,28,5,7,30,23,0,0,0,32,0,0,0
LGA52170,16,51,7,0,71,0,9,7,79,105,14,205,92,92,5,6,201,4,7,8,209,50,25,282,185,42,9,9,240,5,5,9,248,20,46,310,154,19,9,0,188,4,0,3,193,16,35,242,117,15,4,5,140,0,0,0,144,7,19,170,189,12,3,6,210,4,0,4,218,7,21,241,190,35,9,0,230,4,3,3,234,11,12,259,187,29,6,0,220,4,0,9,229,14,25,271,169,31,11,4,207,3,5,8,213,26,21,253,115,51,10,6,180,0,0,6,181,64,25,273,39,49,3,0,96,0,0,0,97,96,8,203,11,18,0,3,34,0,0,0,36,78,11,127,0,6,4,0,13,0,0,0,13,165,34,206,1471,449,87,31,2042,41,30,62,2100,650,290,3045,3,63,0,0,64,0,21,21,85,131,12,230,49,86,0,3,136,12,3,18,156,42,13,207,174,31,0,0,203,11,0,8
LGA52240,7,0,0,0,5,0,0,0,5,10,3,20,22,3,0,0,26,0,0,0,27,3,5,33,15,0,0,0,18,0,0,0,16,0,0,19,24,0,3,0,23,0,0,0,23,0,0,28,33,4,3,0,41,0,0,0,41,0,0,44,28,0,0,0,30,0,0,0,35,4,8,40,21,3,4,0,27,0,3,3,30,4,5,38,30,0,3,0,40,0,0,0,37,5,6,49,25,0,0,0,23,6,0,6,29,8,4,44,21,10,0,0,32,3,0,3,34,11,0,48,12,4,0,0,16,0,0,0,23,10,0,34,0,3,0,0,0,0,0,0,6,18,3,24,5,0,0,0,13,0,0,0,13,20,4,32,241,35,19,4,297,13,4,17,313,111,35,462,5,0,0,0,5,0,0,0,5,7,0,12,9,0,0,0,6,0,0,0,10,0,0,13,22,3,0,0,28,0,0,0
LGA52310,8,0,0,0,3,0,0,0,5,13,0,18,6,0,0,0,7,0,0,4,11,0,0,14,10,0,0,0,11,0,0,0,10,0,0,13,15,4,0,0,15,0,0,0,15,0,0,19,24,0,3,0,31,0,0,0,26,0,0,26,24,3,0,0,26,4,0,4,28,0,4,33,20,5,0,0,28,5,0,5,28,6,3,37,25,0,0,0,30,0,0,0,30,4,0,36,21,0,5,0,30,0,0,0,27,8,0,35,18,5,0,0,27,0,0,0,28,12,0,40,11,9,0,0,25,0,0,0,25,8,0,37,0,3,0,0,3,0,0,0,3,17,0,23,0,0,0,0,5,0,0,0,5,15,3,24,182,37,14,7,238,6,5,7,249,91,15,352,3,0,0,0,5,0,0,0,9,12,3,18,4,0,0,0,12,0,0,0,12,0,6,18,18,6,0,0,18,0,0,0
