LGA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
LGA50840,11,18,14,30,45,0,4,4,42,40,79,144,178,321,108,106,211,13,11,20,23,35,57,0,3,3,40,29,71,182,187,371,117,122,240,13,6,20,32,32,62,7,6,9,33,27,56,195,200,394,141,162,301,5,13,16,36,46,79,6,14,18,8,7,18,193,241,436,160,138,299,7,5,15,26,32,63,11,29,38,16,7,25,224,212,439,114,90,200,0,9,4,21,20,44,7,22,31,7,7,12,156,137,296,77,48,125,3,0,3,14,14,24,13,23,33,10,0,10,111,86,196,30,17,48,3,0,3,0,8,10,4,29,34,0,5,3,45,52,102,12,3,23,0,0,0,0,4,5,12,47,60,0,0,3,34,53,90,1045,1033,2077,70,80,147,185,246,424,57,172,230,511,440,959,1867,1977,3841,0,0,0,0,0,0,0,0,0,0,0,0,107,139,250,107,139,250,0,5,5,0,5,5
LGA50910,0,6,0,5,4,0,0,0,15,6,20,40,43,83,27,21,47,0,0,3,4,6,10,0,3,4,10,0,17,42,37,79,19,13,35,0,0,0,3,6,12,0,3,3,0,4,3,30,27,56,22,24,43,0,0,0,7,5,9,0,0,5,5,3,9,33,34,68,30,33,61,3,0,0,11,9,16,0,4,0,0,0,0,44,42,89,25,20,43,0,0,0,10,0,11,0,8,7,0,0,0,39,29,68,18,15,31,0,0,0,0,0,3,0,7,6,0,0,0,19,28,43,8,6,19,0,0,0,0,0,0,3,5,16,0,0,0,18,16,36,8,3,11,0,0,0,4,0,4,10,15,24,0,0,0,22,17,40,208,215,427,9,6,12,41,41,78,24,50,73,126,91,216,404,402,807,0,0,0,0,0,0,0,0,0,0,0,0,15,19,29,15,19,29,0,0,0,0,0,0
LGA50980,41,63,73,56,130,3,6,12,193,210,405,582,575,1157,225,257,482,22,25,47,94,74,173,3,13,22,190,151,337,536,530,1060,255,214,466,22,37,58,86,115,205,8,29,33,163,115,282,533,506,1044,210,183,390,33,17,50,82,93,175,18,32,47,73,69,137,412,389,800,157,99,256,17,21,36,55,24,78,14,29,47,32,29,61,276,202,474,85,70,154,9,0,10,29,14,49,16,30,50,23,8,37,165,134,298,43,21,66,5,6,8,17,5,24,11,24,35,10,6,17,84,64,154,21,15,29,0,5,5,6,8,9,9,17,27,6,5,8,47,39,78,5,0,4,0,0,0,6,3,5,15,23,38,0,5,5,23,30,58,2260,2209,4471,201,240,440,506,509,1015,95,222,316,3092,3004,6090,6151,6188,12338,0,0,0,0,0,0,0,0,0,0,0,0,459,497,958,459,503,961,18,18,41,0,0,0
LGA51080,0,0,0,0,7,0,0,0,3,3,8,35,39,64,27,37,60,0,3,0,3,3,13,0,0,0,8,10,15,42,45,97,33,20,59,0,6,6,4,6,10,0,0,3,8,0,10,47,37,86,24,20,47,6,0,10,8,12,14,5,5,3,4,0,7,50,42,87,19,19,39,4,4,10,6,4,4,0,3,0,0,0,0,27,31,61,12,9,21,0,0,0,0,3,6,5,3,11,0,0,0,18,16,39,23,14,34,0,0,0,3,0,3,4,0,9,0,0,0,28,17,45,4,0,11,0,0,0,0,0,0,0,11,11,0,0,0,8,6,18,3,0,3,0,0,0,0,0,0,5,4,9,0,0,0,4,10,14,247,229,473,24,12,40,28,31,56,15,33,49,137,106,249,450,420,867,0,0,0,0,0,0,0,0,0,0,0,0,22,30,53,22,29,55,0,3,7,0,0,0
LGA51120,0,3,4,9,11,0,0,0,14,0,14,36,26,58,14,23,34,0,3,9,0,4,5,0,0,0,9,0,8,30,25,55,29,29,57,0,0,0,3,0,4,0,0,0,6,0,6,40,34,75,34,24,59,0,0,0,9,0,13,4,0,4,9,3,11,51,30,79,26,30,57,0,4,4,3,3,6,3,9,17,3,5,4,47,43,90,12,9,26,0,0,0,6,9,11,0,5,3,0,0,0,22,21,43,13,10,25,0,0,3,0,3,4,3,5,10,0,0,0,18,26,43,9,3,13,0,0,0,0,0,0,0,10,10,0,0,0,9,13,24,5,0,9,0,0,0,0,0,0,6,8,14,0,0,0,10,10,19,217,213,435,13,12,24,32,33,63,22,36,56,101,65,165,387,359,744,0,0,0,0,0,0,0,0,0,0,0,0,20,17,40,20,17,40,0,0,0,0,0,0
LGA51190,97,181,129,198,330,6,17,26,254,217,468,1046,1117,2164,581,589,1172,76,80,153,201,239,438,9,19,28,222,137,358,1087,1066,2149,649,672,1325,57,58,118,217,318,534,17,52,66,160,112,270,1109,1207,2312,603,600,1203,51,46,93,197,259,459,12,83,92,87,70,151,947,1055,2006,594,575,1171,40,42,80,173,206,383,43,120,158,47,47,96,895,991,1885,497,384,882,29,25,57,94,112,200,31,174,205,21,11,36,676,708,1379,366,258,628,10,9,17,47,62,108,34,225,264,21,12,29,472,573,1049,215,161,372,4,5,14,22,40,60,53,239,292,15,10,17,310,454,757,179,99,277,9,3,9,7,32,38,101,437,539,6,8,17,298,569,874,5987,5864,11852,537,577,1115,1246,1704,2949,314,1375,1690,4731,4040,8769,12816,13565,26378,0,0,0,0,0,0,0,0,0,0,0,0,861,895,1753,864,898,1764,27,36,61,5,0,6
LGA51260,70,139,135,199,338,6,23,26,242,206,454,1261,1340,2595,748,757,1503,60,71,128,147,196,349,17,29,43,189,150,338,1160,1200,2363,757,813,1569,39,51,97,162,247,410,21,38,56,123,94,215,1100,1247,2346,807,825,1634,28,37,67,184,234,414,25,66,90,91,80,172,1139,1248,2381,942,865,1797,37,34,71,148,189,343,36,115,154,52,39,89,1210,1244,2453,703,603,1305,21,23,44,109,120,222,41,122,166,20,36,50,891,903,1792,475,337,810,11,13,29,63,71,131,55,209,263,14,12,27,620,640,1265,276,214,492,9,0,11,22,35,61,55,221,281,8,18,24,368,491,866,216,98,313,4,0,10,13,21,36,102,384,489,4,13,17,334,513,852,7862,7909,15776,417,520,929,1117,1560,2683,359,1249,1610,4298,3916,8214,14052,15157,29216,5,0,7,0,0,0,0,0,0,0,0,5,1186,1079,2263,1192,1079,2269,5,16,28,5,3,7
LGA51310,32,52,57,94,156,4,11,18,131,119,250,1058,1125,2181,688,681,1367,22,25,47,85,121,200,8,24,28,103,102,201,900,946,1848,651,604,1258,27,32,55,82,121,207,9,34,37,103,74,174,874,863,1735,537,485,1024,16,18,36,65,102,163,12,34,45,63,68,133,696,713,1404,399,359,754,9,19,26,65,97,157,8,58,68,50,39,92,528,568,1094,325,296,623,6,7,9,33,59,94,10,67,83,37,32,71,421,460,878,260,219,479,9,6,15,26,32,57,25,122,152,32,37,69,347,421,767,180,161,343,10,3,11,12,28,36,39,181,222,3,53,63,242,432,673,182,99,284,0,3,4,16,16,33,76,337,422,21,74,91,298,529,832,5725,5871,11595,158,205,361,494,779,1281,199,880,1080,3515,3252,6760,10093,10988,21082,0,0,0,0,0,0,0,0,0,0,0,0,1069,909,1977,1069,914,1984,8,16,18,0,0,0
LGA51330,102,206,209,308,522,6,33,39,452,369,825,2914,2929,5844,1940,1931,3875,98,81,182,264,392,655,17,66,83,322,289,609,2644,2758,5405,1706,1780,3487,88,107,193,275,453,727,23,106,127,300,208,508,2399,2647,5041,1661,1608,3266,71,94,167,270,430,701,32,161,194,164,144,306,2201,2431,4635,1496,1330,2824,72,58,130,219,366,589,54,228,280,116,102,214,1950,2077,4029,1053,803,1857,36,26,67,143,224,364,66,287,353,66,71,135,1366,1404,2769,712,536,1247,15,20,33,78,141,221,60,412,469,32,42,73,895,1147,2045,440,281,724,12,9,19,41,64,105,94,422,514,14,26,37,598,802,1398,318,166,485,6,3,13,25,56,77,178,739,911,19,44,61,538,1005,1549,18911,18965,37872,762,885,1647,1877,2962,4839,563,2485,3045,15038,11887,26930,37149,37185,74338,0,4,6,0,0,0,0,0,0,0,7,5,2990,2932,5920,2996,2937,5932,99,260,358,8,13,16
LGA51400,41,67,53,92,148,3,6,7,73,91,161,653,749,1402,430,427,852,29,41,67,85,115,200,3,9,15,62,49,108,613,638,1254,397,367,767,20,31,49,68,76,143,4,15,20,33,40,71,523,524,1052,312,295,604,12,19,31,63,74,137,16,27,42,23,14,37,427,431,859,304,274,571,10,5,21,66,53,116,8,38,52,17,8,27,406,376,786,210,153,359,7,6,12,30,34,63,20,34,58,4,18,17,264,240,505,101,67,172,0,3,4,9,21,34,6,60,71,4,0,8,126,162,289,58,26,80,0,0,0,0,4,5,14,43,56,0,6,8,81,77,153,29,22,49,0,0,0,0,0,3,11,37,48,0,3,3,44,58,102,3490,3554,7047,181,261,441,466,615,1080,93,284,376,2054,1968,4023,6286,6680,12971,0,3,9,0,0,0,0,0,0,0,0,0,693,683,1376,693,689,1385,17,25,40,0,0,0
