LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA51190,0,3,49,5,3,3,11,12,80,48,34,7,4,3,8,222,4,0,0,4,3,16,9,5,0,0,0,3,44,4,7,9,18,15,51,30,22,6,3,0,3,167,16,14,16,38,37,155,97,65,18,12,9,21,485,122,62,58,119,189,672,724,612,220,162,105,148,3202
LGA51260,0,7,60,10,0,0,14,14,36,70,56,17,10,5,13,254,4,0,0,4,6,12,18,14,4,0,5,4,71,5,3,8,11,14,32,23,22,6,3,3,5,141,15,8,12,26,31,93,129,108,37,19,10,30,517,170,87,65,129,175,577,919,1236,484,368,232,219,4659
LGA51310,5,0,21,4,0,0,0,4,6,11,19,6,16,24,4,95,0,3,0,5,0,0,6,9,3,4,10,3,53,9,0,0,0,9,3,10,7,5,5,10,0,57,7,6,0,5,5,17,28,43,18,30,44,10,217,183,34,26,44,59,186,163,357,297,576,1138,173,3235
LGA51330,3,15,98,13,0,4,11,11,61,76,83,30,22,10,13,348,16,7,0,9,3,35,42,49,21,13,11,9,210,23,8,6,14,21,41,58,67,24,17,11,18,319,58,19,16,35,42,150,188,224,85,62,42,58,977,507,140,143,221,303,1175,1681,2412,1193,980,760,570,10079
LGA51400,0,0,38,0,0,3,7,14,34,43,31,13,3,4,7,153,0,0,0,0,5,13,10,11,3,0,3,0,54,4,0,5,5,14,15,16,22,0,0,3,4,93,10,5,7,9,25,75,78,70,14,14,11,14,327,88,28,25,58,99,408,609,680,242,173,118,122,2667
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,6,7,3,4,0,0,0,0,25
LGA51540,0,0,4,0,0,0,3,3,3,3,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,4,0,4,0,0,16,0,0,3,6,6,8,6,3,5,5,0,0,44,15,7,10,20,26,58,43,39,21,20,23,22,307
LGA51610,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,7,3,3,0,0,0,0,0,18,3,3,0,9,8,24,25,50,22,25,14,13,201
LGA51680,0,0,6,0,0,0,0,0,11,4,7,10,6,0,0,40,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,7,4,9,0,4,0,4,27,0,0,3,0,3,15,14,20,14,11,3,8,87,31,5,10,10,23,94,137,271,174,142,51,68,1033
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,3,0,5,4,0,16,7,8,3,0,0,0,53
LGA51750,5,4,15,4,0,0,0,0,0,0,5,4,6,12,3,35,3,0,0,0,0,3,0,4,0,0,5,0,24,0,0,0,0,0,0,3,8,0,0,8,3,25,5,0,0,0,10,3,8,16,8,14,27,11,100,38,13,13,13,21,36,56,108,70,156,349,60,919
LGA51820,7,6,161,24,7,15,12,37,140,155,195,69,57,28,39,776,13,4,7,13,19,54,78,58,31,16,3,24,314,46,18,25,21,42,90,89,111,45,29,19,40,567,88,23,48,50,109,303,359,406,163,107,61,104,1817,570,162,224,342,475,1673,3016,4861,2267,1667,958,838,17064
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
LGA51890,0,0,18,4,0,3,5,8,11,11,4,0,0,0,9,56,0,0,0,0,4,3,0,0,0,0,0,0,15,5,4,9,9,3,11,5,4,3,0,0,0,54,8,9,11,10,21,31,19,10,4,0,0,7,134,28,33,30,58,98,204,173,154,40,39,30,68,958
LGA51960,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,5,0,0,0,0,0,4,11,0,0,0,0,0,4,0,0,0,0,0,0,10,0,5,0,0,9,10,9,0,0,0,0,4,39,11,19,24,39,49,85,35,9,3,6,4,14,290
LGA52030,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,11,4,0,5,0,12,9,11,7,0,4,6,72
LGA52100,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,3,4,4,8,4,10,14,13,3,0,0,0,66
LGA52170,9,0,10,0,0,0,0,0,0,3,7,0,3,6,3,22,0,0,0,0,0,0,0,3,3,3,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,5,7,5,3,7,24,9,59,36,4,4,13,7,26,20,57,32,69,327,41,654
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,6,0,15,11,6,7,0,0,0,50
LGA52310,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,0,8,3,4,0,11,7,17,14,4,0,0,0,8,76
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,0,8,10,26,16,16,0,3,0,4,102
LGA52520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,12,17,22,11,8,7,4,3,4,94
LGA52590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,0,0,10,3,0,0,0,0,9,0,6,0,0,0,0,23,28,4,5,8,10,32,56,51,22,14,8,10,260
LGA52660,0,0,25,0,4,0,3,7,27,29,19,3,3,0,11,110,0,0,0,0,4,3,6,6,0,0,0,4,34,5,0,0,4,6,14,12,9,0,0,0,0,59,10,4,5,8,22,60,54,33,6,9,3,16,230,55,31,30,43,82,348,510,493,182,109,63,99,2047
LGA52730,0,0,8,5,0,0,0,0,13,5,4,0,0,0,0,33,0,0,0,0,6,0,0,3,0,0,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,6,5,0,0,0,6,23,9,8,3,3,0,0,59,25,13,12,21,29,98,107,101,45,43,22,14,534
LGA52800,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,7,6,6,3,4,18,15,20,4,3,10,0,97
LGA52870,0,0,5,0,0,0,3,0,3,7,4,0,3,0,0,24,0,0,3,0,0,3,0,6,0,0,0,0,11,0,0,0,5,0,8,3,4,0,0,0,0,26,0,0,4,8,10,14,16,16,5,3,4,0,75,23,15,15,26,46,140,127,158,75,61,27,27,739
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,8,12,5,6,3,4,4,0,0,4,50
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0,4,4,0,4,0,0,0,3,0,30
LGA53080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,0,0,0,0,0,9,3,7,0,7,0,0,0,0,0,0,0,0,22
LGA53150,4,0,10,0,0,0,0,3,0,0,7,9,3,7,4,27,0,0,0,0,4,3,0,0,5,0,6,3,20,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,7,12,3,11,8,10,9,8,71,31,13,7,9,12,46,57,117,93,145,256,53,846
LGA53220,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,5,5,6,6,10,9,3,9,4,5,0,7,57
LGA53290,0,0,15,0,0,0,0,5,16,11,6,3,0,0,0,51,0,4,0,0,0,4,4,0,0,0,0,0,17,5,0,0,0,4,16,5,7,0,0,0,3,44,5,0,0,3,9,37,17,18,12,0,3,5,117,67,18,24,50,73,230,234,271,116,67,44,71,1268
LGA53360,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,13,0,0,0,0,0,4,0,0,3,4,0,0,18,11,12,9,6,4,31,41,82,39,28,21,18,294
LGA53430,0,7,35,4,0,3,0,13,11,22,35,21,16,8,8,154,3,0,3,0,3,4,6,13,12,14,0,6,78,12,11,6,7,6,15,17,18,15,14,4,8,122,23,14,8,14,25,31,53,80,46,46,18,31,385,151,49,40,54,84,256,353,768,499,535,380,189,3361
LGA53570,0,0,3,0,0,0,0,0,3,10,0,3,0,4,0,17,0,0,0,0,0,0,3,3,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,4,0,16,3,3,0,0,0,9,15,3,4,0,5,4,48,37,11,14,16,23,90,108,124,62,40,37,36,602
LGA53640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,17,6,8,4,7,13,9,5,0,0,3,0,76
LGA53710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,7,8,12,14,11,0,0,0,9,72
LGA53780,0,10,174,22,3,12,15,27,147,201,168,52,42,21,32,738,14,10,5,13,17,67,70,74,28,5,10,28,347,42,21,22,35,52,142,137,111,37,21,17,60,691,90,35,41,69,103,393,446,401,124,78,43,136,1955,599,228,211,409,642,2559,3580,4243,1650,1064,673,950,16811
LGA53800,0,0,42,3,3,6,22,15,69,51,45,4,11,8,19,251,6,0,6,3,4,23,17,14,3,0,0,4,75,10,4,4,8,10,43,31,26,8,0,4,15,169,19,10,16,31,35,139,118,93,19,14,9,31,534,143,73,54,166,234,772,848,897,295,262,151,225,4127
LGA53920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,10
LGA53990,0,7,42,6,4,5,4,6,30,55,37,12,5,7,8,182,5,0,4,6,4,13,11,4,9,0,0,5,55,5,3,8,4,9,25,20,18,8,4,4,10,121,17,9,13,15,28,79,94,73,31,13,11,27,404,130,58,56,100,143,577,936,996,374,225,151,189,3931
LGA54060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,9,4,0,0,0,0,3,5,6,0,0,0,5,28,17,3,6,13,12,54,56,69,16,16,11,26,297
LGA54130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,15,0,0,6,5,16,11,6,0,3,5,3,80
LGA54170,12,9,203,32,8,8,21,49,81,152,213,112,46,38,38,806,25,11,3,14,28,63,78,100,56,28,28,28,469,52,16,13,31,33,122,113,127,58,31,32,62,702,119,42,26,76,108,289,390,494,251,130,104,144,2179,1043,330,263,451,642,2017,3002,5861,3493,2973,2015,1282,23380
LGA54200,0,6,95,5,0,8,13,14,58,78,97,38,20,14,27,367,5,5,0,5,13,28,39,39,9,11,5,4,163,27,12,10,15,17,79,53,63,23,16,3,22,350,38,17,18,33,44,186,180,230,75,53,27,61,973,278,102,104,166,260,942,1491,2324,991,745,470,441,8307
LGA54280,0,0,22,10,3,6,12,17,51,32,26,15,3,0,3,172,0,0,0,6,0,9,10,5,0,0,0,0,35,9,0,4,8,8,25,24,18,6,0,3,4,114,17,3,7,33,23,81,69,52,24,13,3,15,345,79,34,48,125,182,612,747,756,284,217,110,177,3361
LGA54310,0,0,6,4,0,0,0,0,4,3,14,0,4,4,3,40,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,6,0,0,0,6,0,3,0,0,16,4,0,0,4,0,6,10,16,10,9,4,3,72,31,15,9,32,28,160,219,319,149,150,135,67,1297
LGA54340,0,0,9,0,0,0,0,4,3,5,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,8,4,0,5,4,0,5,3,0,0,0,0,0,18,4,6,5,4,9,5,10,6,0,0,0,0,40,23,17,16,37,54,73,50,42,11,6,12,20,367
LGA54410,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,5,0,5,5,0,0,0,0,0,0,16,4,5,5,16,10,13,10,3,3,0,5,7,74
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,16
LGA54550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,15,4,4,7,17,25,11,14,6,0,3,15,125
LGA54620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,5,0,7,7,0,0,0,0,5,42
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,14
LGA54760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,4,0,4,0,4,0,0,0,0,0,37
LGA54830,4,4,55,12,6,6,17,17,89,109,79,25,10,5,24,390,3,3,3,0,15,34,30,23,10,3,0,3,127,16,11,4,9,30,72,59,47,11,4,6,33,310,34,22,12,32,57,209,197,159,51,15,13,72,881,175,92,71,147,285,1107,1649,1899,645,361,210,339,6985
LGA54900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,3,4,4,3,20,8,3,0,0,0,9,71
LGA54970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12
LGA55040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,5,3,0,0,0,0,0,26
LGA55110,3,14,131,17,6,4,27,39,137,158,123,32,19,16,35,608,4,3,0,12,13,40,33,44,13,4,9,9,182,25,21,9,21,49,102,78,71,17,15,13,29,443,52,29,19,57,100,311,298,261,66,42,36,90,1366,353,161,140,287,419,1605,2249,2716,962,678,462,593,10631
LGA55180,0,0,13,3,0,0,4,8,11,9,0,0,0,0,4,39,0,0,0,3,0,3,0,0,0,0,0,0,10,5,0,5,4,8,4,5,0,0,0,0,0,30,7,0,3,6,21,26,12,4,3,0,0,6,97,52,24,20,55,73,183,127,122,45,49,32,55,841
LGA55250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
LGA55320,11,9,116,22,3,6,5,17,33,58,86,46,38,40,23,371,18,4,0,11,11,37,43,54,19,32,33,12,273,41,15,7,18,15,41,46,43,27,28,25,32,342,82,26,14,39,49,116,171,195,109,110,111,71,1098,584,148,167,206,296,862,1105,2216,1679,1973,1770,643,11655
