LGA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
LGA50840,190,32,20,238,141,65,15,0,219,5,0,7,226,39,35,297,158,92,13,8,272,4,0,5,278,31,25,333,159,88,10,0,263,3,4,7,267,54,39,362,165,111,22,3,302,0,6,11,310,94,21,431,122,116,21,3,259,12,0,15,272,154,30,464,63,60,18,6,137,0,0,8,145,302,31,484,20,34,5,3,69,0,0,0,66,336,29,434,17,18,0,4,42,0,0,0,42,436,46,527,1224,842,138,55,2261,54,36,89,2351,1675,341,4367
LGA50910,30,10,3,45,23,13,0,0,38,5,0,6,40,7,10,53,26,6,5,0,34,0,0,0,36,9,3,47,43,11,4,0,62,0,4,3,67,17,6,88,35,15,5,0,52,0,0,3,53,12,11,74,22,8,3,0,35,7,0,4,36,13,7,58,7,15,0,0,30,0,0,0,30,33,0,59,3,13,5,0,18,0,0,0,23,43,10,70,7,3,0,4,9,0,0,0,9,112,7,134,234,121,27,6,395,14,12,21,416,287,70,770
LGA50980,1107,182,188,1478,585,241,33,19,886,20,19,38,920,169,145,1233,587,163,30,14,788,21,13,37,823,148,190,1161,607,162,33,13,815,16,17,33,845,170,176,1191,444,140,39,16,636,18,7,24,668,166,148,984,323,113,31,12,483,4,7,15,495,237,106,845,157,94,23,3,277,5,0,0,281,254,80,615,39,34,3,4,76,0,0,0,76,213,47,335,13,23,0,0,33,0,0,0,33,264,69,366,5267,2010,410,195,7893,259,142,401,8291,2797,1882,12969
LGA51080,47,5,3,62,24,17,0,0,41,3,0,3,47,13,9,62,29,15,4,0,43,0,0,0,43,11,11,63,35,12,3,0,50,0,0,4,49,10,7,66,49,19,0,3,69,0,4,7,72,22,13,105,26,11,4,0,43,0,0,0,42,23,11,75,20,6,0,0,28,0,0,0,31,24,9,62,4,5,0,0,13,0,0,0,13,24,3,43,7,6,0,0,6,0,0,0,6,51,13,64,297,144,24,10,466,16,5,22,496,232,93,816
LGA51120,44,4,3,53,26,8,0,3,42,0,0,0,45,0,9,56,36,13,0,0,50,0,0,0,50,7,10,62,36,11,0,0,41,0,5,5,46,0,6,61,29,7,3,0,36,4,0,4,42,9,10,69,24,17,0,0,43,0,0,0,43,26,14,84,19,10,8,0,31,0,0,0,39,32,12,78,3,3,0,0,12,0,0,0,12,54,13,75,5,0,0,0,10,0,0,0,10,70,25,102,285,109,12,8,411,11,4,16,431,238,137,798
LGA51190,1500,420,130,2055,901,457,48,18,1419,49,29,74,1497,376,130,2002,998,466,62,23,1542,37,24,54,1602,340,130,2073,1026,482,77,20,1596,53,29,82,1683,399,135,2220,888,454,89,14,1444,49,13,63,1507,493,112,2113,731,443,102,3,1282,35,27,62,1346,874,108,2329,239,299,40,5,584,5,9,14,601,1310,107,2010,69,139,19,3,228,0,0,3,231,1528,108,1869,17,60,13,0,91,0,3,3,91,2777,253,3124,8560,5091,764,222,14644,507,372,877,15524,10258,1762,27536
LGA51260,2022,333,167,2517,1277,767,109,38,2188,33,25,54,2242,246,155,2644,1417,794,107,27,2338,26,19,48,2393,259,160,2811,1296,733,130,29,2182,28,23,55,2238,305,159,2697,1057,720,136,17,1934,22,25,46,1980,459,152,2595,719,731,139,20,1606,9,26,43,1643,978,142,2761,272,457,69,7,810,3,16,18,827,1814,123,2761,89,218,27,9,343,0,4,6,341,2238,165,2744,38,92,15,13,158,0,0,0,160,3532,321,4015,9882,7598,1195,283,18958,276,321,599,19558,11445,2015,33019
LGA51310,1575,169,51,1794,1106,506,37,17,1662,18,16,35,1697,194,60,1951,1309,538,31,17,1894,30,21,53,1944,229,50,2219,1247,531,58,14,1847,27,13,42,1895,217,65,2171,975,445,62,12,1493,31,20,48,1549,285,44,1876,631,415,52,3,1109,21,17,34,1136,539,45,1724,229,324,32,7,582,3,5,14,596,775,63,1435,75,150,11,0,235,0,3,8,242,894,49,1184,46,103,15,0,165,4,0,5,166,2254,161,2579,8677,5625,542,149,14988,252,335,586,15571,6867,772,23216
LGA51330,5863,1053,338,7258,3588,1534,106,65,5291,165,123,284,5573,906,296,6776,3309,1394,104,61,4879,137,83,218,5093,849,236,6181,2870,1202,125,61,4255,132,69,202,4466,893,217,5569,2431,1128,155,44,3763,105,46,152,3914,1112,193,5223,1566,1061,134,25,2790,100,63,157,2943,1772,177,4891,619,676,63,11,1366,23,27,50,1419,2790,121,4330,152,333,25,9,522,4,13,13,537,3124,98,3756,46,144,7,5,204,0,4,4,213,5306,365,5886,27394,18223,1567,862,48045,1446,1553,2996,51039,23949,3472,78459
LGA51400,984,147,62,1187,669,299,28,16,1018,17,9,21,1046,134,68,1244,764,326,40,17,1148,19,17,33,1179,131,66,1372,745,283,52,19,1100,12,13,20,1119,156,78,1351,583,273,56,18,930,19,3,23,962,199,67,1223,374,219,69,12,673,16,8,27,696,358,57,1108,135,130,24,0,289,8,0,6,297,552,57,907,35,51,4,0,92,0,0,0,89,650,38,785,7,28,0,3,37,0,4,4,40,737,63,839,5364,3056,497,145,9068,180,185,361,9429,3970,750,14148
LGA51470,32,0,9,48,17,5,0,0,32,0,0,6,31,5,16,46,15,3,0,0,19,0,0,0,19,8,3,25,16,6,3,0,22,0,0,0,27,3,7,37,12,0,0,0,19,0,0,0,20,7,0,30,23,12,0,0,35,5,0,5,41,12,0,52,13,4,3,0,13,4,0,4,18,25,6,50,3,3,0,0,8,0,0,0,8,25,6,36,0,0,0,0,0,0,0,0,0,36,7,46,168,69,13,0,252,11,3,14,265,141,71,473
LGA51540,232,34,69,331,145,44,3,0,193,6,4,8,205,33,43,286,170,60,12,5,242,11,0,11,251,45,62,357,192,48,13,4,261,14,9,17,279,54,71,408,169,61,9,7,249,10,0,13,259,79,48,384,131,59,17,7,208,3,3,8,215,107,46,371,80,27,13,8,122,0,6,4,128,166,34,324,21,24,8,0,57,0,0,0,57,143,32,225,8,3,0,6,16,0,0,6,17,229,59,311,1494,583,127,75,2279,84,38,115,2396,1141,743,4280
LGA51610,75,9,18,94,55,12,0,3,74,3,0,3,73,7,16,101,65,25,5,4,97,0,0,8,103,11,24,138,59,30,9,0,99,0,0,0,104,9,15,130,62,32,3,0,91,0,3,7,100,19,20,136,40,21,7,0,68,0,4,3,69,33,7,114,20,11,0,0,36,0,0,3,36,43,7,85,12,11,0,0,22,0,0,0,22,55,8,81,7,8,0,0,14,0,0,0,14,50,9,68,474,212,44,12,747,24,11,31,783,294,156,1226
LGA51680,258,52,16,326,191,78,11,0,285,4,4,8,294,38,21,354,244,78,22,6,352,4,6,7,361,35,37,434,263,99,22,6,390,4,0,7,400,62,46,509,252,112,23,8,394,7,4,9,405,90,47,537,163,94,15,3,277,0,4,0,276,126,36,446,53,40,10,0,102,0,4,4,99,215,30,349,25,25,8,0,57,0,0,0,62,213,19,291,15,18,0,8,40,0,0,0,40,300,39,386,1786,872,155,79,2893,67,40,107,3000,1432,390,4820
LGA51710,88,44,23,158,59,16,0,5,73,0,0,0,78,25,13,115,62,4,4,4,78,0,0,0,78,23,17,115,70,21,0,0,98,0,0,0,101,22,30,152,52,9,6,4,78,0,0,5,81,18,18,112,48,12,0,0,65,0,0,0,67,21,7,95,35,13,0,6,57,0,0,0,57,30,17,102,21,11,3,0,28,0,0,0,28,35,10,78,0,0,0,0,0,0,0,0,0,38,3,39,548,170,27,28,771,3,4,12,783,415,208,1406
LGA51750,469,88,24,581,332,141,10,4,486,15,8,23,504,71,20,595,391,140,15,7,557,17,8,28,580,92,19,699,414,196,7,0,623,17,9,28,651,98,35,777,337,143,13,4,498,9,9,16,516,129,23,669,204,147,11,0,370,7,5,15,383,213,20,619,110,117,13,0,247,7,3,10,256,326,29,611,53,83,8,3,145,0,8,9,150,408,24,585,27,92,7,4,131,0,0,0,131,1318,107,1562,3064,2055,214,53,5382,121,130,255,5638,3399,477,9513
LGA51820,8307,1103,471,9883,4827,2072,204,81,7186,130,98,227,7413,900,370,8683,4597,1812,197,74,6664,157,92,249,6916,907,335,8149,4211,1611,239,75,6142,132,88,215,6359,1010,309,7680,3345,1545,236,53,5179,107,89,198,5380,1241,270,6892,2153,1315,189,46,3715,100,81,184,3895,1940,217,6050,790,768,85,22,1665,23,35,54,1724,3209,197,5126,169,326,28,4,533,9,14,21,555,3509,175,4241,44,126,10,6,193,0,5,4,198,5769,587,6548,38666,20705,2676,866,62912,1536,1600,3131,66038,24739,4337,95118
LGA51860,37,10,10,51,13,5,0,0,21,0,0,0,23,3,3,27,15,5,0,0,23,0,0,0,22,3,5,28,16,3,0,0,18,0,0,0,18,3,5,26,26,5,0,0,36,0,0,0,36,10,7,52,16,11,0,0,29,0,0,0,33,19,10,55,4,0,0,0,4,0,0,0,4,24,0,29,0,0,0,0,5,0,0,0,5,20,8,33,0,0,0,0,0,0,0,0,0,32,8,42,157,78,3,0,239,3,4,5,248,140,82,467
LGA51890,379,69,39,490,211,101,11,9,332,18,11,26,358,86,48,488,219,104,16,11,359,12,9,20,377,86,49,515,273,107,22,9,407,21,11,26,442,139,34,604,231,127,30,6,393,18,8,16,413,183,39,641,134,97,23,6,259,17,8,27,286,332,36,660,58,52,3,3,114,9,0,13,123,482,48,652,8,25,0,3,41,0,0,4,40,495,37,574,10,16,5,10,34,0,0,0,34,583,132,745,1946,1170,209,97,3420,197,92,293,3708,2914,615,7239
LGA51960,136,45,67,242,96,26,8,0,129,4,0,9,135,30,65,233,106,21,10,4,145,3,4,9,147,37,56,243,128,48,5,4,187,9,0,4,194,28,66,293,94,35,11,5,148,7,0,7,155,48,48,255,85,30,9,10,125,6,3,12,135,77,43,258,32,23,0,0,53,0,0,0,54,91,30,178,5,6,0,0,20,0,0,0,20,84,23,118,5,3,0,0,12,0,0,0,12,65,27,101,925,303,86,51,1359,59,23,79,1447,699,650,2789
LGA52030,36,6,4,42,18,7,0,0,28,0,0,3,34,3,4,46,25,11,5,3,37,0,0,0,37,7,11,58,25,15,3,0,36,4,0,4,43,4,8,55,36,16,8,0,61,0,4,0,62,20,11,89,43,11,7,0,65,0,0,6,65,49,22,132,20,15,0,5,41,4,0,0,40,67,14,116,6,10,0,0,22,0,0,0,24,67,9,101,7,3,0,0,17,0,0,0,17,92,21,125,260,131,28,13,426,21,10,26,455,340,125,922
LGA52100,55,0,0,59,30,15,0,0,48,5,0,5,51,3,0,60,29,13,0,0,47,0,0,0,48,4,4,57,36,7,0,0,45,0,0,0,46,4,3,59,31,11,6,0,46,0,0,0,46,7,7,62,37,16,0,0,56,3,0,3,62,16,4,81,21,8,0,0,32,0,0,0,35,50,0,80,16,14,0,0,28,0,0,0,28,37,9,70,0,5,0,0,8,0,0,0,8,92,13,110,349,143,25,13,527,13,3,12,537,247,52,833
LGA52170,332,52,28,406,226,104,10,0,346,0,5,9,354,62,20,436,257,114,8,7,389,5,3,14,403,50,7,457,332,149,13,7,505,6,5,16,522,100,18,636,274,140,18,4,438,12,0,14,447,112,20,580,175,155,8,0,343,7,3,8,348,153,34,533,81,123,16,5,223,0,3,9,229,252,12,490,35,92,3,0,135,0,0,4,136,310,16,465,17,45,0,3,73,0,0,0,73,638,78,789,2283,1605,170,56,4120,64,88,149,4271,2133,321,6722
LGA52240,52,7,11,64,35,16,4,0,59,0,0,0,59,8,6,76,37,14,0,3,53,0,0,0,51,14,6,73,40,20,3,0,63,0,0,0,62,15,3,82,34,13,0,0,53,4,0,4,57,13,7,71,41,18,0,0,68,0,0,0,68,28,11,103,20,14,8,0,34,0,0,0,34,26,4,72,13,11,0,4,24,0,0,0,24,34,10,65,6,5,3,4,18,0,0,0,20,63,16,98,327,148,30,12,525,9,9,17,543,247,95,882
LGA52310,24,14,3,33,24,4,3,0,27,0,0,0,27,3,7,39,38,15,0,0,53,0,0,0,59,13,4,74,35,18,0,0,48,0,0,0,51,15,7,73,32,25,4,0,62,0,0,0,62,16,6,81,28,8,4,0,39,0,0,0,46,27,3,79,16,7,0,0,23,0,0,0,23,50,4,79,9,4,0,0,24,0,0,0,24,46,3,68,3,4,0,6,13,0,0,0,13,49,18,78,251,138,16,11,419,11,3,16,431,255,72,756
LGA52380,0,0,3,5,9,0,0,0,12,0,0,0,12,0,0,13,8,0,0,0,9,0,0,0,12,3,3,14,5,0,0,0,10,0,0,0,10,6,3,17,7,0,0,0,10,0,0,0,8,4,0,13,12,3,0,0,12,0,0,0,12,3,3,15,3,0,0,0,3,0,0,0,3,25,0,29,0,0,0,0,5,0,0,0,5,17,6,28,0,0,0,0,0,0,0,0,0,13,0,11,89,16,4,3,111,3,0,3,117,62,26,209
LGA52450,60,12,11,80,41,20,0,0,62,0,0,0,62,6,9,80,41,18,0,0,53,0,0,0,60,4,3,68,28,18,0,0,45,0,0,0,49,16,10,67,31,11,3,0,49,0,0,4,49,17,3,67,27,19,5,0,52,0,0,0,55,31,0,92,14,7,6,0,31,0,0,0,32,41,9,84,12,4,5,0,25,0,0,0,25,38,3,67,3,6,0,0,6,0,0,0,6,71,6,85,357,177,33,9,580,21,13,33,612,347,80,1039
LGA52520,72,11,22,106,57,17,3,3,75,0,0,0,75,4,20,107,47,12,0,0,58,0,0,0,59,8,17,85,36,18,0,0,48,0,0,7,49,7,13,70,63,15,4,0,74,0,0,0,76,12,22,113,39,17,0,0,64,0,0,0,64,18,10,92,24,20,0,0,46,0,0,0,47,17,16,77,13,0,0,0,9,0,0,0,9,26,3,38,8,8,0,0,20,0,0,0,20,68,13,97,470,171,16,10,671,7,3,13,681,218,175,1081
LGA52590,151,24,19,195,70,42,9,9,125,5,0,8,132,13,27,170,115,49,12,0,175,8,5,9,178,9,22,210,97,39,18,0,149,7,6,11,162,18,23,205,122,65,11,3,203,3,0,9,213,43,22,277,101,63,18,0,182,4,4,9,188,99,22,309,44,48,12,0,108,0,0,4,108,205,33,342,16,25,0,4,49,0,0,0,49,190,23,258,11,25,0,0,41,0,0,0,41,255,34,333,916,516,103,37,1571,48,24,68,1639,935,309,2885
LGA52660,809,113,50,968,502,265,33,10,814,13,9,21,832,79,51,963,426,217,35,8,695,10,9,24,719,86,48,852,514,224,44,10,793,9,10,20,810,120,66,1001,425,170,56,8,662,9,8,17,687,178,53,904,282,184,36,4,514,16,15,31,544,295,55,895,92,102,12,0,210,4,9,7,215,515,49,773,22,49,3,0,74,0,0,0,78,587,49,717,8,27,10,6,49,0,0,0,52,1018,181,1255,4116,2396,407,102,7025,164,163,321,7348,3602,742,11691
LGA52730,240,57,23,316,143,126,15,8,289,5,4,6,297,36,35,373,158,113,15,0,290,5,4,10,296,51,44,391,171,133,21,3,324,3,0,9,332,59,45,438,166,147,21,4,336,7,0,10,348,107,43,495,122,137,28,3,285,8,4,14,300,217,40,560,51,84,9,11,153,0,6,4,157,319,49,522,34,51,8,0,87,0,4,5,91,393,34,521,17,34,7,0,61,0,0,0,61,561,75,695,1195,1182,166,55,2592,51,49,103,2693,2050,475,5225
LGA52800,221,223,75,519,127,37,6,0,167,8,3,12,183,177,79,443,140,21,15,5,184,10,3,9,193,181,67,442,126,38,12,3,180,3,3,11,188,155,70,414,142,32,13,6,191,0,4,10,199,153,72,425,109,33,13,7,154,4,3,6,162,129,63,353,59,35,14,0,106,0,0,0,110,106,49,264,21,11,4,0,36,0,0,0,36,93,28,162,3,3,0,0,11,0,0,0,13,110,30,148,1389,431,114,58,2001,71,54,129,2123,2430,903,5466
