LGA_CODE_2021,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_SDRTHT1S_NPUR_1,C11_SDRTHT1S_NPUR_2,C11_SDRTHT1S_NPUR_3,C11_SDRTHT1S_NPUR_4,C11_SDRTHT1S_NPUR_5,C11_SDRTHT1S_NPUR_6mor,C11_SDRTHT1S_Tot,C11_SDRTHT2S_NPUR_1,C11_SDRTHT2S_NPUR_2,C11_SDRTHT2S_NPUR_3,C11_SDRTHT2S_NPUR_4,C11_SDRTHT2S_NPUR_5,C11_SDRTHT2S_NPUR_6mor,C11_SDRTHT2S_Tot,C11_SDRTHT_NPUR_1,C11_SDRTHT_NPUR_2,C11_SDRTHT_NPUR_3,C11_SDRTHT_NPUR_4,C11_SDRTHT_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_SDRTHT_Tot,C11_F_a_1_2SB_NPUR_1,C11_F_a_1_2SB_NPUR_2,C11_F_a_1_2SB_NPUR_3,C11_F_a_1_2SB_NPUR_4,C11_F_a_1_2SB_NPUR_5,C11_F_a_1_2SB_NPUR_6mor,C11_F_a_1_2SB_Tot,C11_F_a_I_a_3SB_NPUR_1,C11_F_a_I_a_3SB_NPUR_2,C11_F_a_I_a_3SB_NPUR_3,C11_F_a_I_a_3SB_NPUR_4,C11_F_a_I_a_3SB_NPUR_5,C11_F_a_I_a_3SB_NPUR_6mor,C11_F_a_In_a_3SB_Tot,C11_F_a_4_8SB_NPUR_1,C11_F_a_4_8SB_NPUR_2,C11_F_a_4_8SB_NPUR_3,C11_F_a_4_8SB_NPUR_4,C11_F_a_4_8SB_NPUR_5,C11_F_a_4_8SB_NPUR_6mor,C11_F_a_4_8SB_Tot,C11_F_a_9mor_s_b_NPUR_1,C11_F_a_9mor_s_b_NPUR_2,C11_F_a_9mor_s_b_NPUR_3,C11_F_a_9mor_s_b_NPUR_4,C11_F_a_9mor_s_b_NPUR_5,C11_F_a_9m_s_b_NPUR_6mor,C11_F_a_9mor_st_bl_Tot,C11_F_a_AH_NPUR_1,C11_F_a_AH_NPUR_2,C11_F_a_AH_NPUR_3,C11_F_a_AH_NPUR_4,C11_F_a_AH_NPUR_5,C11_F_a_AH_NPUR_6mor,C11_F_a_AH_Tot,C11_F_a_Tot_NPUR_1,C11_F_a_Tot_NPUR_2,C11_F_a_Tot_NPUR_3,C11_F_a_Tot_NPUR_4,C11_F_a_Tot_NPUR_5,C11_F_a_Tot_NPUR_6mor,C11_F_a_Tot_Tot,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mor,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mor,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_Tot,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_Tot_Tot,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4,C11_DS_ns_NPUR_5,C11_DS_ns_NPUR_6more,C11_Dwg_st_NS_Tot,C11_Tot_NPUR_1,C11_Tot_NPUR_2,C11_Tot_NPUR_3,C11_Tot_NPUR_4,C11_Tot_NPUR_5,C11_Tot_NPUR_6more,C11_Tot_Tot,C16_Se_h_NPUR_1,C16_Se_h_NPUR_2,C16_Se_h_NPUR_3,C16_Se_h_NPUR_4,C16_Se_h_NPUR_5,C16_Se_h_NPUR_6more,C16_Se_h_Tot,C16_SDRTHT1S_NPUR_1,C16_SDRTHT1S_NPUR_2,C16_SDRTHT1S_NPUR_3,C16_SDRTHT1S_NPUR_4,C16_SDRTHT1S_NPUR_5,C16_SDRTHT1S_NPUR_6mor,C16_SDRTHT1S_Tot,C16_SDRTHT2S_NPUR_1,C16_SDRTHT2S_NPUR_2,C16_SDRTHT2S_NPUR_3,C16_SDRTHT2S_NPUR_4,C16_SDRTHT2S_NPUR_5,C16_SDRTHT2S_NPUR_6mor,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_NPUR_1,C16_SDRTHT_Tot_NPUR_2,C16_SDRTHT_Tot_NPUR_3,C16_SDRTHT_Tot_NPUR_4,C16_SDRTHT_Tot_NPUR_5,C16_SDRTHT_Tot_NPUR_6mor,C16_SDRTHT_Tot_Tot,C16_F_a_1_2SB_NPUR_1,C16_F_a_1_2SB_NPUR_2,C16_F_a_1_2SB_NPUR_3,C16_F_a_1_2SB_NPUR_4,C16_F_a_1_2SB_NPUR_5,C16_F_a_1_2SB_NPUR_6mor,C16_F_a_1_2SB_Tot,C16_F_a_I_a_3SB_NPUR_1,C16_F_a_I_a_3SB_NPUR_2,C16_F_a_I_a_3SB_NPUR_3,C16_F_a_I_a_3SB_NPUR_4,C16_F_a_I_a_3SB_NPUR_5,C16_F_a_I_a_3SB_NPUR_6mor,C16_F_a_In_a_3_st_b_Tot,C16_F_a_4_8SB_NPUR_1,C16_F_a_4_8SB_NPUR_2,C16_F_a_4_8SB_NPUR_3,C16_F_a_4_8SB_NPUR_4,C16_F_a_4_8SB_NPUR_5,C16_F_a_4_8SB_NPUR_6mor,C16_F_a_4_8SB_Tot,C16_F_a_9mor_s_b_NPUR_1,C16_F_a_9mor_s_b_NPUR_2,C16_F_a_9mor_s_b_NPUR_3,C16_F_a_9mor_s_b_NPUR_4,C16_F_a_9mor_s_b_NPUR_5,C16_F_a_9m_s_b_NPUR_6mor,C16_F_a_9mor_st_bl_Tot,C16_F_a_AH_NPUR_1,C16_F_a_AH_NPUR_2,C16_F_a_AH_NPUR_3,C16_F_a_AH_NPUR_4,C16_F_a_AH_NPUR_5,C16_F_a_AH_NPUR_6mor,C16_F_a_AH_Tot,C16_F_a_Tot_NPUR_1,C16_F_a_Tot_NPUR_2,C16_F_a_Tot_NPUR_3,C16_F_a_Tot_NPUR_4,C16_F_a_Tot_NPUR_5,C16_F_a_Tot_NPUR_6mor,C16_F_a_Tot_Tot,C16_OD_CCH_NPUR_1,C16_OD_CCH_NPUR_2,C16_OD_CCH_NPUR_3,C16_OD_CCH_NPUR_4,C16_OD_CCH_NPUR_5,C16_OD_CCH_NPUR_6mor,C16_OD_CCH_Tot,C16_OD_IHTSO_NPUR_1,C16_OD_IHTSO_NPUR_2,C16_OD_IHTSO_NPUR_3,C16_OD_IHTSO_NPUR_4,C16_OD_IHTSO_NPUR_5,C16_OD_IHTSO_NPUR_6mor,C16_OD_IHTSO_Tot,C16_OD_H_f_a_s_o_NPUR_1,C16_OD_H_f_a_s_o_NPUR_2,C16_OD_H_f_a_s_o_NPUR_3,C16_OD_H_f_a_s_o_NPUR_4
LGA50840,407,696,202,204,91,39,1645,34,9,4,0,0,0,53,0,3,0,0,0,0,7,40,13,4,0,0,0,50,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,4,0,4,0,0,9,4,4,0,0,0,0,10,3,0,3,0,0,0,6,8,9,3,4,0,0,22,0,0,0,0,0,0,6,456,722,212,200,91,39,1726,495,760,184,193,92,47,1777,40,7,0,0,0,0,48,0,0,0,0,0,0,0,40,7,0,0,0,0,48,9,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,9,3,0,0,0,0,11,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
LGA50910,83,121,43,41,13,12,308,15,6,3,0,0,0,19,0,0,0,0,0,0,0,15,6,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,6,0,0,0,0,0,0,0,100,127,45,41,17,12,342,101,129,41,42,19,5,343,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,4,10,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,10,5,0,0,0,0,12,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
LGA50980,450,989,589,638,295,270,3238,166,121,53,17,14,14,379,29,36,12,8,0,4,88,194,154,62,25,13,15,465,154,119,47,16,12,3,344,3,0,0,0,0,0,3,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,153,116,47,16,12,3,346,179,170,23,19,4,4,398,16,16,0,5,3,0,40,17,21,9,5,0,0,51,215,205,35,27,9,4,491,20,13,5,0,0,0,44,1038,1476,741,708,330,290,4584,729,1153,687,718,365,246,3882,100,71,33,8,4,3,222,50,71,20,9,3,5,152,156,147,48,16,8,3,375,123,121,39,21,10,0,316,0,5,0,0,0,0,5,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,3,130,126,40,18,10,0,324,199,131,7,13,7,0,356,28,12,0,0,0,0,36,3,13,3,5
LGA51080,82,133,58,60,31,20,384,4,0,0,0,0,4,11,0,0,0,0,0,0,0,4,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,94,137,61,58,31,19,398,83,137,34,46,35,17,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,103,152,34,44,22,17,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,16,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,4,121,157,34,44,22,17,392,101,139,37,30,25,10,341,16,3,0,0,0,0,23,0,0,0,0,0,0,0,16,3,0,0,0,0,23,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,2173,3703,1554,1403,502,218,9546,887,491,150,54,19,9,1597,80,97,30,7,5,0,219,960,583,178,64,20,9,1820,376,183,66,21,18,0,661,69,41,12,0,0,0,129,17,10,0,0,0,0,34,..,..,..,..,..,..,..,0,0,0,0,0,0,0,463,241,76,29,18,0,822,79,47,4,3,0,0,132,0,0,0,0,0,0,0,0,4,0,0,0,0,6,79,52,9,6,0,0,143,0,4,4,0,0,0,5,3678,4577,1818,1489,535,225,12330,2109,3681,1464,1328,525,216,9321,995,532,169,76,24,11,1806,116,174,54,24,4,0,372,1109,705,220,102,30,11,2181,410,146,32,9,0,3,591,34,36,9,5,0,0,80,13,20,5,0,0,0,38,..,..,..,..,..,..,..,0,0,0,0,0,0,0,456,198,42,14,5,3,718,76,45,5,0,0,0,132,0,0,0,0,0,0,0,5,0,0,0
LGA51260,1770,3743,1496,1703,678,250,9639,414,236,32,14,6,0,700,37,60,12,15,8,0,130,448,292,46,25,15,0,826,172,100,18,7,0,0,304,0,0,0,0,0,0,0,11,0,0,0,0,0,13,..,..,..,..,..,..,..,0,4,0,0,0,0,11,184,109,18,14,0,0,317,93,74,4,3,4,0,182,4,4,0,0,0,0,18,0,3,3,0,0,0,8,105,81,8,6,4,0,205,0,5,0,3,0,0,7,2505,4225,1567,1747,698,255,10997,2099,4364,1804,1949,797,300,11317,546,311,69,32,15,0,970,45,65,13,12,9,0,148,594,376,84,44,26,0,1117,23,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,4,0,0,0,0,0,6,27,4,5,0,0,0,39,203,185,9,0,3,0,398,6,10,0,0,4,0,22,4,10,0,0
LGA51310,1190,2163,1138,1693,748,202,7131,266,179,50,22,12,0,521,173,144,47,18,8,3,395,434,320,96,45,18,5,915,166,94,14,10,0,4,287,128,89,12,0,0,0,227,226,118,15,8,0,0,364,..,..,..,..,..,..,..,0,0,0,0,0,0,5,522,302,38,19,0,4,886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,11,2156,2786,1262,1760,766,206,8941,1092,2078,1191,1784,819,178,7136,204,148,61,46,14,3,477,165,214,99,63,22,0,567,365,364,159,112,37,7,1043,250,142,17,13,0,0,425,136,96,14,11,0,0,260,235,151,27,10,3,0,425,..,..,..,..,..,..,..,0,0,0,0,0,0,0,625,391,60,28,5,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0
LGA51330,4250,7512,4352,4809,2088,976,23980,1261,1050,495,346,147,68,3360,79,120,91,104,33,28,451,1333,1162,586,449,177,93,3808,750,629,292,175,80,29,1965,4,3,5,3,0,0,20,184,46,0,0,0,0,237,..,..,..,..,..,..,..,7,6,0,0,0,0,14,950,690,303,183,84,34,2242,19,4,0,0,0,0,21,0,0,0,0,0,0,0,7,4,0,0,0,0,9,27,6,0,0,0,0,35,9,0,0,5,0,0,8,6566,9376,5239,5444,2345,1104,30078,4152,7411,4430,5174,2171,1129,24456,1636,1362,761,618,248,110,4744,123,157,103,87,43,28,550,1765,1525,865,706,288,141,5291,266,206,113,120,24,8,748,7,11,5,10,0,0,37,108,37,7,0,0,0,151,..,..,..,..,..,..,..,0,4,0,0,0,0,4,381,254,125,131,33,8,931,0,0,5,0,0,0,9,0,0,0,0,0,0,0,3,5,7,0
LGA51400,603,1565,808,1010,425,173,4589,7,0,0,0,0,0,6,3,0,0,0,0,0,3,8,0,0,0,0,0,12,18,11,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,18,10,0,0,0,0,32,0,3,0,0,0,0,3,4,0,0,3,0,0,7,0,0,0,0,0,0,4,4,4,4,0,0,0,19,0,0,0,0,0,0,3,637,1584,813,1018,429,174,4653,690,1830,974,1123,483,194,5290,67,39,16,8,0,0,129,8,3,0,0,0,0,11,77,45,16,8,0,0,142,85,28,6,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,85,30,6,0,0,0,125,0,4,0,0,0,0,9,0,0,0,0,0,0,5,0,5,0,0
LGA51470,65,74,22,30,13,6,203,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,75,22,30,13,6,218,67,83,23,25,11,3,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LGA51540,315,487,236,233,117,84,1474,88,33,8,4,3,6,144,6,3,3,0,0,0,12,90,31,7,4,3,6,150,41,10,4,4,5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,41,10,4,4,5,0,62,113,103,10,8,0,0,234,6,0,0,0,0,0,10,3,3,0,0,0,0,10,122,110,9,8,0,0,245,5,8,3,0,0,0,17,579,648,256,248,127,88,1949,321,499,237,211,99,72,1442,96,24,8,5,0,0,143,3,0,0,0,0,0,3,101,31,8,5,0,0,149,27,10,4,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,27,10,4,0,0,0,42,111,42,6,3,0,0,164,7,7,0,0,0,0,15,0,0,0,0
LGA51610,70,153,60,82,20,9,392,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,14,0,0,0,0,0,0,0,81,164,62,85,20,5,422,62,165,76,82,40,11,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,21,0,6,0,0,0,0,3,0,0,0,0
LGA51680,227,575,220,247,125,61,1455,10,8,0,5,0,0,19,0,0,0,0,0,0,0,10,8,0,5,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,14,6,3,0,8,3,0,17,0,4,0,0,0,0,4,10,12,0,6,3,0,31,0,4,0,0,0,0,4,251,594,222,257,129,60,1512,256,681,244,304,138,86,1714,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,8,10,0,0,0,0,14,0,3,0,0,0,0,7,0,9,0,4,0,0,13,0,0,0,0
LGA51710,22,65,38,36,17,10,182,19,21,9,8,3,0,62,0,4,3,0,0,0,3,20,23,13,8,3,0,67,44,16,19,3,5,0,90,23,41,24,15,8,3,113,3,0,3,3,0,0,8,..,..,..,..,..,..,..,0,0,0,0,0,0,0,68,54,44,22,7,8,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,113,154,100,57,32,13,462,28,67,37,42,18,11,201,16,16,8,10,6,4,56,12,12,3,3,0,0,35,26,28,16,14,5,5,86,29,4,6,5,3,0,39,8,21,13,5,9,5,54,5,0,0,0,0,0,4,..,..,..,..,..,..,..,0,0,0,0,0,0,0,36,27,17,12,8,4,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51750,514,792,353,445,201,35,2342,79,83,19,11,3,0,193,71,81,25,8,9,0,195,149,165,38,20,8,0,387,213,121,21,15,0,0,366,132,57,3,0,4,0,200,139,123,31,12,0,0,300,..,..,..,..,..,..,..,0,0,0,0,0,0,0,487,293,60,27,5,0,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1148,1252,451,491,212,35,3600,385,674,328,395,196,45,2022,191,165,55,45,6,0,458,117,157,64,51,17,3,398,304,321,119,96,20,3,861,148,81,12,10,0,0,252,158,81,12,4,0,0,254,188,157,47,16,0,0,405,..,..,..,..,..,..,..,0,0,0,0,0,0,0,494,316,65,31,7,0,916,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA51820,4460,9061,5215,5656,2212,887,27490,1101,789,289,177,61,27,2452,112,144,53,30,15,6,359,1220,936,343,206,75,26,2810,373,252,70,31,10,4,742,277,207,50,21,8,0,569,34,45,10,3,0,0,93,..,..,..,..,..,..,..,16,8,5,0,0,0,30,701,518,136,54,21,4,1434,52,26,4,0,0,0,87,0,0,0,0,0,0,4,6,0,0,4,0,0,16,60,33,4,5,0,0,101,3,7,0,0,0,0,10,6443,10551,5701,5923,2309,921,31841,4661,9595,5741,6422,2427,979,29834,1640,1172,477,349,83,39,3767,249,357,144,95,31,3,887,1892,1531,620,448,115,44,4660,172,112,23,10,0,0,322,341,216,64,29,8,4,654,326,337,65,13,5,0,750,..,..,..,..,..,..,..,0,0,0,0,0,0,0,837,665,150,55,7,8,1725,79,45,6,6,0,0,139,0,0,0,0,0,0,4,0,5,0,0
LGA51860,6,34,34,25,23,22,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,34,25,23,22,140,6,38,22,20,15,29,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,748,1088,501,445,199,95,3075,55,19,3,0,3,0,82,0,0,0,0,0,0,0,55,19,3,0,3,0,82,39,18,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,19,0,0,0,0,0,23,57,17,3,0,0,0,80,17,8,0,0,0,0,26,0,0,0,0,0,0,0,9,3,0,5,0,0,15,23,12,0,3,0,0,42,0,0,0,0,0,0,0,884,1143,510,446,195,101,3281,817,1116,469,421,214,70,3106,87,26,4,0,0,0,115,0,0,0,0,0,0,0,87,26,4,0,0,0,115,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,18,0,0,0,0,0,17,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,5,0
LGA51960,253,329,179,201,94,55,1104,19,3,0,0,0,0,27,14,4,0,0,0,0,27,32,13,3,0,0,0,46,23,26,3,4,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,23,26,3,4,0,0,59,7,12,0,0,0,0,21,3,0,0,0,0,0,9,3,0,0,0,0,0,11,19,11,0,0,0,0,35,0,0,0,0,0,0,3,325,378,189,203,97,58,1241,271,338,182,156,84,39,1075,34,20,0,5,4,0,58,6,4,0,0,0,0,15,42,24,0,6,4,0,75,19,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,19,4,3,0,0,0,22,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,3,0
LGA52030,118,166,36,50,25,9,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,5,0,0,0,0,0,6,14,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,3,0,0,0,0,18,0,0,0,0,0,0,0,134,167,41,46,25,9,420,131,194,25,32,13,6,408,6,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,8,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,0,0,0,0,0,3,9,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0
LGA52100,121,175,42,45,21,12,411,7,0,0,0,0,0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,12,16,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,16,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,7,0,0,0,0,0,6,0,0,0,0,0,0,0,146,178,41,46,21,12,443,108,168,50,43,25,9,397,8,5,0,0,0,0,11,0,0,0,0,0,0,0,8,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
LGA52170,367,626,300,384,182,54,1908,37,31,12,5,8,0,83,70,95,32,25,3,0,229,104,127,37,33,12,0,309,66,75,18,5,0,0,162,194,95,15,3,0,0,304,34,35,9,9,0,0,86,..,..,..,..,..,..,..,0,0,0,0,0,0,0,296,199,42,15,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764,953,382,430,195,57,2778,343,608,305,354,215,47,1866,56,46,17,17,6,3,142,64,113,47,36,12,0,273,121,157,56,55,16,3,412,50,71,11,5,0,0,138,169,108,17,0,0,0,304,38,39,3,0,0,0,83,..,..,..,..,..,..,..,0,0,0,0,0,0,0,266,225,36,8,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA52240,107,163,46,48,24,12,397,3,3,0,0,0,0,9,0,0,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,109,164,47,44,24,12,408,95,155,49,44,24,11,366,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
