LGA_CODE_2021,Age_74_C21_P,Age_70_74_C11_M,Age_70_74_C11_F,Age_70_74_C11_P,Age_70_74_C16_M,Age_70_74_C16_F,Age_70_74_C16_P,Age_70_74_C21_M,Age_70_74_C21_F,Age_70_74_C21_P,Age_75_C11_M,Age_75_C11_F,Age_75_C11_P,Age_75_C16_M,Age_75_C16_F,Age_75_C16_P,Age_75_C21_M,Age_75_C21_F,Age_75_C21_P,Age_76_C11_M,Age_76_C11_F,Age_76_C11_P,Age_76_C16_M,Age_76_C16_F,Age_76_C16_P,Age_76_C21_M,Age_76_C21_F,Age_76_C21_P,Age_77_C11_M,Age_77_C11_F,Age_77_C11_P,Age_77_C16_M,Age_77_C16_F,Age_77_C16_P,Age_77_C21_M,Age_77_C21_F,Age_77_C21_P,Age_78_C11_M,Age_78_C11_F,Age_78_C11_P,Age_78_C16_M,Age_78_C16_F,Age_78_C16_P,Age_78_C21_M,Age_78_C21_F,Age_78_C21_P,Age_79_C11_M,Age_79_C11_F,Age_79_C11_P,Age_79_C16_M,Age_79_C16_F,Age_79_C16_P,Age_79_C21_M,Age_79_C21_F,Age_79_C21_P,Age_75_79_C11_M,Age_75_79_C11_F,Age_75_79_C11_P,Age_75_79_C16_M,Age_75_79_C16_F,Age_75_79_C16_P,Age_75_79_C21_M,Age_75_79_C21_F,Age_75_79_C21_P,Age_80_84_C11_M,Age_80_84_C11_F,Age_80_84_C11_P,Age_80_84_C16_M,Age_80_84_C16_F,Age_80_84_C16_P,Age_80_84_C21_M,Age_80_84_C21_F,Age_80_84_C21_P,Age_85over_C11_M,Age_85over_C11_F,Age_85over_C11_P,Age_85over_C16_M,Age_85over_C16_F,Age_85over_C16_P,Age_85over_C21_M,Age_85over_C21_F,Age_85over_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
LGA50840,77,116,102,213,156,137,296,237,196,434,19,11,26,28,22,49,25,44,71,17,9,26,24,20,41,30,30,62,5,10,19,26,15,43,23,23,45,6,6,13,21,12,36,23,24,46,14,13,24,14,11,28,16,21,41,62,51,116,111,86,196,124,140,266,28,45,72,45,52,102,91,70,161,26,36,61,34,53,90,43,57,104,2118,2202,4322,2262,2392,4661,2587,2649,5238
LGA50910,8,21,30,52,39,29,68,46,31,70,3,7,13,3,7,6,4,6,9,6,0,7,3,6,13,8,3,5,4,0,5,0,12,11,3,9,12,3,4,8,4,4,8,5,0,5,3,3,5,3,3,8,5,4,14,18,22,40,19,28,43,22,31,49,8,13,19,18,16,36,21,21,39,14,23,33,22,17,40,19,22,41,476,461,935,494,482,974,474,455,929
LGA50980,58,105,79,186,165,134,298,185,156,335,17,15,33,18,18,36,22,21,36,15,9,20,28,13,41,21,16,39,13,3,19,16,11,27,24,21,44,6,13,24,12,16,28,23,24,46,13,4,15,11,14,24,14,18,30,59,46,107,84,64,154,101,98,200,43,38,81,47,39,78,48,46,96,29,18,41,23,30,58,37,33,75,7665,7337,14997,8120,8095,16217,8255,8706,16959
LGA51080,9,24,15,42,18,16,39,25,23,43,0,0,0,4,8,10,4,4,11,5,0,4,13,6,17,0,0,4,6,4,5,4,4,12,7,5,10,4,7,5,4,0,7,0,7,7,0,4,6,0,0,0,0,0,0,10,12,21,28,17,45,15,17,28,5,11,18,8,6,18,14,16,28,5,8,14,4,10,14,4,9,13,571,569,1139,576,566,1142,526,525,1046
LGA51120,14,16,22,41,22,21,43,50,28,75,4,7,7,4,9,6,7,0,8,4,0,5,5,6,15,0,5,9,6,4,3,6,0,6,0,7,9,0,9,7,0,7,5,0,10,10,6,3,3,4,4,7,0,3,3,16,19,33,18,26,43,10,24,42,10,16,27,9,13,24,20,21,37,11,17,26,10,10,19,8,12,26,490,484,970,480,445,926,503,476,979
LGA51190,374,513,567,1080,676,708,1379,883,986,1869,71,121,193,94,122,220,155,142,294,92,125,211,93,122,221,143,150,294,66,103,167,105,129,233,132,148,277,73,87,158,84,88,169,102,118,221,71,81,150,90,113,205,93,112,202,374,508,883,472,573,1049,616,673,1293,319,465,781,310,454,757,374,482,864,244,436,679,298,569,874,344,622,968,15597,15753,31348,15648,16271,31920,16194,16790,32987
LGA51260,609,569,587,1159,891,903,1792,1363,1385,2744,95,119,211,143,135,277,208,180,389,91,92,182,129,150,285,190,200,390,85,99,189,117,120,236,180,195,369,75,91,173,127,123,244,152,175,323,72,98,173,106,121,227,144,177,320,413,507,919,620,640,1265,875,923,1799,326,415,738,368,491,866,580,588,1164,207,374,581,334,513,852,404,645,1045,14770,15558,30331,17904,18783,36688,19752,20894,40640
LGA51310,234,377,428,810,421,460,878,553,632,1184,54,84,135,67,89,161,104,102,206,52,92,142,79,82,159,91,91,183,60,82,143,66,72,135,79,102,181,53,75,128,63,85,155,80,86,167,45,93,141,70,90,157,71,72,141,269,428,696,347,421,767,425,458,879,257,358,617,242,432,673,322,406,730,232,510,743,298,529,832,345,621,969,12153,12745,24895,13086,13620,26709,14066,14807,28876
LGA51330,722,1077,1272,2347,1366,1404,2769,1808,1955,3756,206,215,421,217,243,464,277,284,558,181,198,375,181,241,417,237,270,501,142,205,345,158,232,391,270,284,554,146,166,312,184,206,391,210,245,461,138,177,317,158,222,381,230,252,476,816,960,1771,895,1147,2045,1219,1334,2549,596,844,1436,598,802,1398,769,978,1749,422,862,1288,538,1005,1549,631,959,1591,42854,42657,85514,45296,44892,90187,48021,47844,95860
LGA51400,165,140,156,293,264,240,505,396,389,785,20,21,39,32,35,71,51,64,117,12,21,35,34,34,66,59,45,110,18,9,24,23,42,62,45,49,92,13,14,33,23,23,50,45,45,86,8,14,25,19,28,40,50,32,76,79,81,157,126,162,289,247,234,485,68,51,120,81,77,153,104,117,219,24,33,59,44,58,102,56,82,136,7260,7375,14636,8389,8735,17121,8882,9287,18175
LGA51470,9,6,7,16,12,16,28,24,13,36,0,4,4,7,0,10,0,7,4,0,0,0,0,0,3,6,0,5,0,0,3,0,0,0,5,7,5,0,0,5,0,0,0,0,0,0,3,3,8,0,0,0,5,3,5,5,7,12,3,3,13,14,13,27,6,3,4,10,8,17,4,0,7,0,0,7,0,5,5,3,4,11,284,260,546,292,254,551,287,261,552
LGA51540,42,117,85,202,110,92,201,124,98,225,13,9,16,14,22,36,25,8,32,12,14,24,18,13,34,10,17,31,19,18,33,22,3,30,12,16,32,9,8,15,5,8,17,15,18,34,7,7,20,24,15,39,19,10,27,59,48,109,86,62,145,83,69,149,43,33,81,37,31,69,46,39,91,17,29,50,30,35,65,29,40,70,2964,2824,5788,2891,2640,5524,2732,2520,5251
LGA51610,13,32,15,43,37,26,60,37,45,81,7,0,3,5,3,9,12,7,16,3,0,9,6,3,9,9,0,4,0,3,4,6,5,9,3,4,5,4,0,6,9,0,12,3,6,4,0,0,0,0,0,3,4,4,5,13,6,21,27,14,41,30,10,38,12,0,14,10,6,18,10,9,15,0,5,0,6,5,12,8,3,9,610,560,1172,713,710,1416,806,750,1556
LGA51680,51,100,78,178,122,114,238,153,138,291,17,6,21,22,20,42,22,25,47,13,6,16,22,21,41,26,21,51,8,9,15,16,12,22,28,19,43,5,7,17,19,14,35,24,17,38,6,7,11,15,10,24,10,10,20,56,31,83,88,75,160,109,93,199,20,23,40,45,33,79,59,51,105,17,10,28,12,22,36,33,40,77,2251,2180,4431,2776,2695,5474,3005,2924,5930
LGA51710,6,22,7,24,25,12,38,63,14,78,0,0,4,4,7,15,0,0,0,0,0,0,4,4,3,3,5,6,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,0,6,18,5,25,12,8,20,3,0,3,4,0,7,10,6,17,0,0,0,3,6,6,4,0,4,1467,611,2072,1128,717,1842,1006,685,1692
LGA51750,123,205,202,411,251,292,541,264,319,585,30,31,68,39,73,112,53,68,118,16,35,50,51,32,81,51,74,126,20,23,46,30,49,84,58,63,123,31,49,76,40,37,74,38,66,109,22,34,54,30,38,67,53,59,113,123,168,294,195,228,421,263,330,592,110,193,305,124,209,336,200,239,441,115,276,384,139,322,463,189,344,529,4487,4799,9282,4872,5181,10055,5379,5909,11284
LGA51820,806,1075,1147,2225,1373,1453,2825,2027,2220,4241,202,199,401,224,229,455,279,331,609,201,199,398,231,223,451,274,318,590,172,198,374,208,232,437,290,252,541,136,192,325,186,249,430,245,284,529,128,151,278,184,200,382,230,246,479,838,941,1779,1032,1124,2155,1324,1426,2748,502,691,1198,723,850,1570,922,1068,1993,311,633,941,492,937,1428,697,1115,1811,44686,45002,89686,51562,52908,104472,58179,59910,118091
LGA51860,4,11,6,19,14,7,25,18,15,33,0,0,3,3,0,3,4,0,3,0,3,3,5,3,5,4,0,5,0,4,0,0,0,0,3,0,6,0,0,4,0,0,0,3,0,5,4,0,4,0,0,0,0,0,0,3,6,15,3,7,13,13,10,22,0,0,3,4,10,10,4,3,7,0,0,5,0,0,0,3,0,11,286,270,554,267,276,541,302,292,593
LGA51890,90,127,135,260,206,189,394,306,265,574,25,38,56,30,32,60,49,46,98,21,21,45,21,27,46,34,34,70,22,19,41,19,24,47,46,36,80,19,35,54,26,16,40,29,24,58,24,24,50,11,24,33,29,33,66,115,127,244,106,125,230,187,178,371,78,89,164,90,107,196,95,106,197,49,97,144,67,90,150,77,101,183,4903,4221,9127,4436,4365,8798,4468,4347,8812
LGA51960,20,31,22,48,48,27,75,83,41,118,0,9,8,7,5,7,13,8,18,6,0,8,5,5,14,8,5,13,7,0,6,3,0,10,7,6,11,3,4,6,3,0,4,6,5,9,0,0,0,3,0,4,11,6,12,15,15,31,20,15,39,43,25,65,4,6,12,17,14,30,14,11,22,6,4,9,3,3,3,8,7,14,2177,1821,3998,1932,1678,3613,1881,1601,3478
LGA52030,13,36,18,54,45,34,76,63,37,101,9,7,13,3,0,7,11,3,16,9,3,13,0,4,10,5,8,12,0,4,3,3,3,5,9,11,19,0,0,0,0,0,0,12,6,17,7,6,6,5,3,7,3,5,9,23,16,41,22,14,32,38,39,79,5,9,15,15,14,26,16,7,28,5,0,3,3,0,12,13,13,23,572,495,1068,572,467,1038,577,482,1055
LGA52100,14,27,30,56,17,18,37,39,34,70,6,0,6,10,5,15,0,0,3,4,6,12,5,3,10,0,3,4,3,6,16,5,0,7,3,11,12,4,3,6,9,10,15,0,6,6,3,4,4,3,0,3,4,6,7,17,22,40,26,24,51,13,25,36,11,17,32,18,24,42,19,15,34,11,24,33,14,17,34,19,25,42,541,524,1064,602,549,1147,503,505,1007
LGA52170,108,127,129,254,197,167,365,232,236,465,14,28,44,30,25,53,57,39,98,17,24,44,25,20,43,29,41,62,22,18,38,23,30,50,36,30,70,14,9,28,15,25,40,35,32,71,20,14,30,15,19,32,40,35,77,89,92,184,105,113,219,194,177,379,61,96,158,71,72,139,95,107,198,61,137,199,67,158,224,91,125,219,3722,3884,7605,3738,3857,7594,3943,4027,7970
LGA52240,10,24,23,49,25,36,59,44,28,65,13,4,17,8,4,10,3,15,18,4,3,5,3,4,9,4,0,6,0,9,8,3,6,10,4,3,7,0,0,0,3,0,9,0,5,5,0,0,5,5,5,8,11,9,15,14,17,35,23,17,45,26,30,50,11,10,18,14,14,23,21,11,31,8,3,13,6,3,11,4,5,15,577,498,1079,561,526,1084,572,532,1100
LGA52310,17,23,26,50,39,15,51,42,26,68,4,3,9,4,0,0,10,4,14,0,4,6,5,7,8,3,3,9,3,0,3,3,11,17,7,0,5,5,0,7,4,5,3,0,4,3,0,0,0,4,0,7,9,0,9,16,6,18,18,21,36,33,15,44,10,4,12,7,3,10,7,12,21,0,3,7,7,10,11,10,8,12,438,431,867,464,401,864,470,426,902
LGA52380,4,7,7,13,10,0,15,18,6,28,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,3,6,6,10,8,5,13,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,155,116,267,111,79,192,147,73,215
LGA52450,17,20,34,54,32,19,47,35,32,67,6,0,3,11,3,11,4,4,6,5,5,7,5,8,14,4,0,7,7,4,10,0,12,12,3,0,6,4,4,10,0,5,4,9,4,11,4,5,9,0,0,5,4,5,7,24,19,37,14,24,43,23,12,40,15,13,31,21,18,38,12,9,20,10,21,28,12,19,25,14,13,27,696,612,1306,804,651,1456,680,618,1302
LGA52520,4,17,23,43,29,29,56,27,18,38,6,0,10,4,10,15,4,8,9,0,3,8,9,0,6,10,3,14,0,5,11,0,0,0,4,4,9,8,0,10,0,3,5,0,3,3,0,0,5,4,0,7,4,3,7,21,17,36,11,15,35,14,24,37,18,14,30,19,15,36,8,14,23,5,9,18,13,20,27,7,27,36,681,589,1268,784,643,1428,720,660,1379
LGA52590,53,86,60,141,103,98,199,150,105,258,27,20,42,25,10,35,28,23,45,12,10,21,13,10,19,13,22,37,10,13,18,21,11,28,17,13,32,14,8,16,14,18,33,14,19,28,6,9,16,13,8,13,8,9,24,67,50,115,77,54,133,82,79,159,32,32,60,41,47,86,58,40,103,16,20,37,20,30,49,25,41,65,1721,1468,3183,1700,1512,3212,1790,1567,3355
LGA52660,130,174,196,372,246,232,476,379,333,717,42,36,78,29,53,88,52,69,123,31,21,54,50,48,97,62,54,112,28,29,52,40,42,78,41,53,96,17,32,47,35,46,80,41,58,96,31,22,50,29,42,70,37,48,86,143,138,284,183,230,415,237,278,518,88,115,208,137,150,288,154,229,386,78,121,202,112,160,273,154,195,347,6190,6217,12403,6938,7091,14028,7281,7406,14686
LGA52730,107,139,114,258,191,194,384,259,259,521,21,29,48,42,17,60,53,53,106,18,20,34,23,34,54,39,41,80,16,17,26,23,30,56,39,39,76,20,17,40,38,19,50,29,32,55,13,11,23,17,11,25,23,17,44,79,93,175,141,105,249,178,181,359,57,64,123,77,88,164,100,81,185,33,62,101,48,69,118,67,86,155,2553,2640,5197,2902,2946,5850,3084,3226,6310
LGA52800,28,43,36,83,61,48,108,85,72,162,10,8,13,10,8,16,10,13,22,7,6,12,13,6,14,12,5,20,12,8,15,11,5,13,10,5,12,12,6,12,3,7,13,0,8,10,7,7,12,5,4,9,0,3,8,39,25,71,37,36,70,31,39,75,26,24,53,13,20,34,24,23,45,17,16,34,16,24,35,10,20,29,4970,3468,8433,3902,3825,7728,3568,3510,7075
LGA52870,90,112,108,220,196,157,352,237,199,435,11,15,31,20,20,47,44,37,80,15,15,32,14,32,40,34,42,73,18,12,24,38,22,56,31,24,56,10,7,18,21,14,30,25,30,49,13,12,27,17,18,30,23,14,40,70,67,136,104,101,205,151,146,295,47,37,83,49,62,113,73,95,167,24,49,71,46,63,110,47,72,127,2677,2644,5325,2905,2970,5871,3039,3112,6155
LGA52940,12,17,18,32,21,13,28,32,26,61,5,0,5,3,0,3,5,8,6,0,5,9,0,5,5,4,4,6,0,5,5,4,4,3,3,0,6,3,0,4,0,0,0,4,0,8,0,0,0,3,0,3,0,0,0,7,5,17,10,13,26,17,11,30,5,12,21,7,8,15,3,8,18,10,10,22,0,7,9,3,10,10,352,328,677,346,342,693,374,337,715
LGA53010,5,17,14,36,13,9,17,25,18,40,0,0,0,3,4,9,0,0,0,4,0,4,4,5,12,3,0,3,0,0,3,3,0,3,5,3,3,0,0,3,7,3,9,3,5,3,0,5,0,6,0,5,3,0,3,5,5,12,22,14,35,14,3,18,3,3,13,3,9,7,16,8,21,3,7,8,3,4,5,0,0,0,324,279,605,353,319,673,353,323,681
LGA53080,0,24,11,40,28,18,51,18,18,36,4,0,4,0,5,5,0,3,3,4,0,4,5,3,9,8,3,14,0,0,4,6,3,4,3,7,6,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,10,4,7,9,3,14,13,12,23,20,15,35,0,9,8,4,4,4,7,10,10,3,5,5,4,3,6,5,0,3,648,493,1142,423,347,767,372,305,677
LGA53150,81,98,131,230,117,149,267,189,187,380,16,18,28,14,25,36,24,30,61,30,20,41,23,15,33,22,34,55,15,22,43,27,22,50,22,32,56,11,21,38,17,23,41,20,25,44,18,29,42,19,20,40,24,25,43,80,108,188,99,106,207,114,144,257,67,90,157,80,93,174,104,111,212,50,106,158,64,104,167,103,149,254,3351,3577,6931,3540,3835,7375,3721,4102,7819
LGA53220,14,29,20,49,41,24,62,41,29,69,0,7,5,5,3,10,0,5,11,9,0,9,3,0,4,3,0,0,4,5,3,0,0,4,0,3,6,0,0,0,0,0,0,0,5,5,0,4,3,5,0,5,4,0,7,9,12,20,14,6,18,12,20,33,3,11,13,3,3,7,7,7,13,0,0,4,0,0,6,3,5,13,8041,3906,11949,7058,3529,10591,6256,3504,9760
LGA53290,166,267,219,490,282,315,598,392,345,737,46,35,79,46,50,96,72,50,120,25,51,76,51,49,100,54,68,126,25,40,65,33,42,75,51,66,116,26,34,60,47,40,86,43,67,108,13,36,49,44,39,84,52,41,90,144,198,340,222,217,440,270,284,560,128,123,257,105,152,256,179,182,355,66,125,190,95,159,256,112,171,284,6737,6738,13478,7167,7070,14238,6990,6891,13883
LGA53360,21,49,17,72,46,37,86,70,46,118,7,4,16,6,4,11,4,8,15,3,3,6,10,3,13,5,4,12,8,0,9,4,4,7,9,9,10,0,8,6,0,0,4,9,6,13,9,0,10,4,0,0,8,4,18,28,16,42,31,14,43,36,39,73,11,9,16,9,8,20,23,10,33,0,4,7,4,9,14,8,9,16,1282,1110,2389,1434,1300,2727,1613,1476,3085
LGA53430,286,477,545,1018,561,600,1161,756,899,1657,96,104,195,106,129,233,131,130,265,75,96,166,77,96,178,130,121,251,80,79,160,95,100,191,109,107,221,90,92,180,81,100,183,74,108,181,65,87,146,73,93,162,104,123,225,398,451,851,430,517,945,548,591,1134,303,394,692,325,406,727,358,439,797,226,378,602,262,472,736,335,518,849,13001,13580,26583,13958,14927,28893,15510,16419,31930
LGA53570,86,156,100,257,173,140,314,244,182,428,25,15,44,31,19,51,30,35,68,13,10,28,30,23,53,46,20,73,15,16,33,25,23,57,38,40,71,9,14,22,21,25,47,24,19,46,13,17,30,18,10,25,23,21,49,83,75,154,128,99,223,164,136,303,42,25,67,58,56,115,99,59,159,23,25,53,38,37,72,42,45,88,2436,2252,4686,2705,2508,5218,2914,2660,5576
LGA53640,10,14,13,25,23,19,42,30,21,47,0,0,4,0,0,5,0,0,3,4,0,4,5,0,9,3,5,3,0,6,7,0,4,4,3,7,6,0,5,5,5,0,5,4,0,4,4,6,8,0,3,3,5,0,5,9,15,19,17,11,30,14,10,23,9,7,18,0,5,7,4,4,9,7,10,12,4,3,15,5,7,8,671,601,1272,659,558,1219,650,564,1215
LGA53710,20,23,22,48,21,24,43,39,37,80,4,0,6,10,9,13,0,3,3,9,0,8,6,4,11,6,6,8,3,0,6,5,0,5,7,3,11,3,6,9,3,3,6,4,9,7,0,0,0,0,4,3,7,0,3,17,12,24,22,19,42,18,18,34,15,3,22,13,8,30,16,13,31,3,10,13,14,18,31,12,12,24,495,495,984,514,518,1036,486,470,955
LGA53780,916,1366,1479,2853,1603,1726,3331,2248,2434,4683,196,237,435,284,287,567,352,364,714,196,204,403,245,308,547,324,327,653,152,207,361,248,269,517,292,352,643,151,201,353,220,245,469,241,308,549,145,188,332,198,219,411,240,277,515,848,1036,1880,1184,1329,2515,1441,1633,3076,623,760,1381,685,915,1603,948,1141,2087,374,675,1053,559,875,1429,717,1156,1869,53754,52835,106587,60005,58066,118073,63485,62887,126376
LGA53800,383,577,596,1175,679,681,1363,940,908,1853,97,103,196,113,101,217,118,145,264,87,89,181,93,115,210,145,134,279,87,96,186,115,120,239,129,140,272,96,90,186,106,108,211,103,118,219,57,84,144,86,103,192,116,111,234,431,465,893,523,547,1064,614,653,1265,318,308,627,344,397,738,411,469,882,175,310,487,279,356,636,355,481,839,18514,18646,37157,19167,19466,38632,19505,19992,39489
LGA53920,14,21,21,36,27,19,49,27,44,67,3,3,8,0,0,5,7,3,15,0,0,6,5,3,11,5,10,14,0,0,0,0,4,4,5,0,9,4,0,3,3,0,6,0,0,0,0,0,3,0,0,0,0,4,3,13,10,26,10,11,26,25,21,41,8,6,16,6,4,14,10,6,21,5,11,18,0,4,11,5,9,11,1820,1736,3561,1602,1664,3267,1788,1789,3574
LGA53990,308,369,366,739,476,481,955,729,732,1460,58,51,116,77,84,156,82,111,193,55,46,100,85,77,155,85,101,180,42,46,84,61,69,130,99,105,204,46,41,92,62,65,127,69,59,123,30,33,68,68,63,126,90,85,175,238,216,450,345,357,702,423,464,881,134,152,287,206,199,402,281,301,578,86,119,198,117,174,292,177,224,400,11659,11577,23239,13286,13266,26549,14285,14286,28567
LGA54060,49,105,72,178,117,139,255,152,152,302,14,20,30,18,14,27,28,35,62,17,7,26,21,16,34,18,23,38,13,11,22,19,18,36,18,20,42,10,11,18,12,14,35,16,19,34,12,11,17,15,12,36,22,26,46,66,59,120,89,73,164,105,123,222,50,33,86,50,47,99,82,62,143,19,28,52,55,36,90,41,45,78,1823,1744,3569,1799,1772,3569,1831,1851,3680
LGA54130,11,13,14,23,23,14,39,27,21,54,0,3,3,4,5,3,0,4,5,4,0,6,3,0,6,7,0,10,5,3,5,6,0,7,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,9,6,0,3,3,9,9,13,20,13,31,17,9,27,8,4,10,7,8,16,8,8,20,0,5,8,7,0,7,6,3,12,568,486,1054,613,494,1106,621,541,1160
LGA54170,1648,1823,1915,3734,2651,2589,5240,4138,4303,8445,275,345,612,359,420,778,578,629,1210,281,324,598,336,369,700,559,556,1110,258,300,563,325,319,641,524,501,1020,231,290,519,275,307,582,424,426,854,240,306,547,224,333,558,361,393,757,1280,1564,2845,1522,1740,3264,2438,2513,4949,922,1263,2182,996,1396,2384,1293,1615,2901,668,1306,1974,866,1538,2404,1043,1746,2782,75365,77041,152403,76540,77905,154443,79198,80810,160003
