LGA_CODE_2021,C16_CF_NCu15DS_MR_1000_1399,C16_CF_NCu15DS_MR_1400_1799,C16_CF_NCu15DS_MR_1800_2399,C16_CF_NCu15DS_MR_2400_2999,C16_CF_NCu15DS_MR_3000_3999,C16_CF_NCu15DS_MR_4000over,C16_CF_NCu15DS_MR_NS,C16_CF_NCu15DS_Tot,C16_CF_NDCO_MR_0_299,C16_CF_NDCO_MR_300_449,C16_CF_NDCO_MR_450_599,C16_CF_NDCO_MR_600_799,C16_CF_NDCO_MR_800_999,C16_CF_NDCO_MR_1000_1399,C16_CF_NDCO_MR_1400_1799,C16_CF_NDCO_MR_1800_2399,C16_CF_NDCO_MR_2400_2999,C16_CF_NDCO_MR_3000_3999,C16_CF_NDCO_MR_4000over,C16_CF_NDCO_MR_NS,C16_CF_NDCO_Tot,C16_CF_Tot_MR_0_299,C16_CF_Tot_MR_300_449,C16_CF_Tot_MR_450_599,C16_CF_Tot_MR_600_799,C16_CF_Tot_MR_800_999,C16_CF_Tot_MR_1000_1399,C16_CF_Tot_MR_1400_1799,C16_CF_Tot_MR_1800_2399,C16_CF_Tot_MR_2400_2999,C16_CF_Tot_MR_3000_3999,C16_CF_Tot_MR_4000over,C16_CF_Tot_MR_NS,C16_CF_Tot_Tot,C16_1PF_Cu15DS_MR_0_299,C16_1PF_Cu15DS_MR_300_449,C16_1PF_Cu15DS_MR_450_599,C16_1PF_Cu15DS_MR_600_799,C16_1PF_Cu15DS_MR_800_999,C16_1PF_Cu15DS_MR_1000_1399,C16_1PF_Cu15DS_MR_1400_1799,C16_1PF_Cu15DS_MR_1800_2399,C16_1PF_Cu15DS_MR_2400_2999,C16_1PF_Cu15DS_MR_3000_3999,C16_1PF_Cu15DS_MR_4000over,C16_1PF_Cu15DS_MR_NS,C16_1PF_Cu15DS_Tot,C16_1PF_CU15_NDS_MR_0_299,C16_1PF_CU15_NDS_MR_300_449,C16_1PF_CU15_NDS_MR_450_599,C16_1PF_CU15_NDS_MR_600_799,C16_1PF_CU15_NDS_MR_800_999,C16_1PF_CU15_NDS_MR_1000_1399,C16_1PF_CU15_NDS_MR_1400_1799,C16_1PF_CU15_NDS_MR_1800_2399,C16_1PF_CU15_NDS_MR_2400_2999,C16_1PF_CU15_NDS_MR_3000_3999,C16_1PF_CU15_NDS_MR_4000over,C16_1PF_CU15_NDS_MR_NS,C16_1PF_CU15_NDS_Tot,C16_1PF_NCu15DS_MR_0_299,C16_1PF_NCu15DS_MR_300_449,C16_1PF_NCu15DS_MR_450_599,C16_1PF_NCu15DS_MR_600_799,C16_1PF_NCu15DS_MR_800_999,C16_1PF_NCu15DS_MR_1000_1399,C16_1PF_NCu15DS_MR_1400_1799,C16_1PF_NCu15DS_MR_1800_2399,C16_1PF_NCu15DS_MR_2400_2999,C16_1PF_NCu15DS_MR_3000_3999,C16_1PF_NCu15DS_MR_4000over,C16_1PF_NCu15DS_MR_NS,C16_1PF_NCu15DS_Tot,C16_1PF_NDCO_MR_0_299,C16_1PF_NDCO_MR_300_449,C16_1PF_NDCO_MR_450_599,C16_1PF_NDCO_MR_600_799,C16_1PF_NDCO_MR_800_999,C16_1PF_NDCO_MR_1000_1399,C16_1PF_NDCO_MR_1400_1799,C16_1PF_NDCO_MR_1800_2399,C16_1PF_NDCO_MR_2400_2999,C16_1PF_NDCO_MR_3000_3999,C16_1PF_NDCO_MR_4000over,C16_1PF_NDCO_MR_NS,C16_1PF_NDCO_Tot,C16_1PF_Tot_MR_0_299,C16_1PF_Tot_MR_300_449,C16_1PF_Tot_MR_450_599,C16_1PF_Tot_MR_600_799,C16_1PF_Tot_MR_800_999,C16_1PF_Tot_MR_1000_1399,C16_1PF_Tot_MR_1400_1799,C16_1PF_Tot_MR_1800_2399,C16_1PF_Tot_MR_2400_2999,C16_1PF_Tot_MR_3000_3999,C16_1PF_Tot_MR_4000over,C16_1PF_Tot_MR_NS,C16_1PF_Tot_Tot,C16_Tot_MR_0_299,C16_Tot_MR_300_449,C16_Tot_MR_450_599,C16_Tot_MR_600_799,C16_Tot_MR_800_999,C16_Tot_MR_1000_1399,C16_Tot_MR_1400_1799,C16_Tot_MR_1800_2399,C16_Tot_MR_2400_2999,C16_Tot_MR_3000_3999,C16_Tot_MR_4000over,C16_Tot_MR_NS,C16_Tot_Tot,C21_CFNC_MR_0_299,C21_CFNC_MR_300_449,C21_CFNC_MR_450_599,C21_CFNC_MR_600_799,C21_CFNC_MR_800_999,C21_CFNC_MR_1000_1399,C21_CFNC_MR_1400_1799,C21_CFNC_MR_1800_2399,C21_CFNC_MR_2400_2999,C21_CFNC_MR_3000_3999,C21_CFNC_MR_4000over,C21_CFNC_MR_NS,C21_CFNC_Tot,C21_CF_Cu15DS_MR_0_299,C21_CF_Cu15DS_MR_300_449,C21_CF_Cu15DS_MR_450_599,C21_CF_Cu15DS_MR_600_799,C21_CF_Cu15DS_MR_800_999,C21_CF_Cu15DS_MR_1000_1399,C21_CF_Cu15DS_MR_1400_1799,C21_CF_Cu15DS_MR_1800_2399,C21_CF_Cu15DS_MR_2400_2999,C21_CF_Cu15DS_MR_3000_3999,C21_CF_Cu15DS_MR_4000over,C21_CF_Cu15DS_MR_NS,C21_CF_Cu15DS_Tot,C21_CF_Cu15NDS_MR_0_299,C21_CF_Cu15NDS_MR_300_449,C21_CF_Cu15NDS_MR_450_599,C21_CF_Cu15NDS_MR_600_799,C21_CF_Cu15NDS_MR_800_999,C21_CF_Cu15NDS_MR_1000_1399,C21_CF_Cu15NDS_MR_1400_1799,C21_CF_Cu15NDS_MR_1800_2399,C21_CF_Cu15NDS_MR_2400_2999,C21_CF_Cu15NDS_MR_3000_3999,C21_CF_Cu15NDS_MR_4000over,C21_CF_Cu15NDS_MR_NS,C21_CF_Cu15NDS_Tot,C21_CF_NCu15DS_MR_0_299,C21_CF_NCu15DS_MR_300_449,C21_CF_NCu15DS_MR_450_599,C21_CF_NCu15DS_MR_600_799,C21_CF_NCu15DS_MR_800_999,C21_CF_NCu15DS_MR_1000_1399,C21_CF_NCu15DS_MR_1400_1799,C21_CF_NCu15DS_MR_1800_2399,C21_CF_NCu15DS_MR_2400_2999,C21_CF_NCu15DS_MR_3000_3999,C21_CF_NCu15DS_MR_4000over,C21_CF_NCu15DS_MR_NS,C21_CF_NCu15DS_Tot,C21_CF_NDCO_MR_0_299,C21_CF_NDCO_MR_300_449,C21_CF_NDCO_MR_450_599,C21_CF_NDCO_MR_600_799,C21_CF_NDCO_MR_800_999,C21_CF_NDCO_MR_1000_1399,C21_CF_NDCO_MR_1400_1799,C21_CF_NDCO_MR_1800_2399,C21_CF_NDCO_MR_2400_2999,C21_CF_NDCO_MR_3000_3999,C21_CF_NDCO_MR_4000over,C21_CF_NDCO_MR_NS,C21_CF_NDCO_Tot,C21_CF_Tot_MR_0_299,C21_CF_Tot_MR_300_449,C21_CF_Tot_MR_450_599,C21_CF_Tot_MR_600_799,C21_CF_Tot_MR_800_999,C21_CF_Tot_MR_1000_1399,C21_CF_Tot_MR_1400_1799,C21_CF_Tot_MR_1800_2399,C21_CF_Tot_MR_2400_2999,C21_CF_Tot_MR_3000_3999,C21_CF_Tot_MR_4000over,C21_CF_Tot_MR_NS,C21_CF_Tot_Tot,C21_1PF_Cu15DS_MR_0_299,C21_1PF_Cu15DS_MR_300_449,C21_1PF_Cu15DS_MR_450_599,C21_1PF_Cu15DS_MR_600_799,C21_1PF_Cu15DS_MR_800_999,C21_1PF_Cu15DS_MR_1000_1399,C21_1PF_Cu15DS_MR_1400_1799,C21_1PF_Cu15DS_MR_1800_2399,C21_1PF_Cu15DS_MR_2400_2999,C21_1PF_Cu15DS_MR_3000_3999
LGA50840,3,13,8,0,5,0,0,30,3,0,0,3,0,0,3,5,0,4,3,0,28,3,5,4,10,9,30,56,68,27,22,12,8,247,0,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,3,3,3,3,0,0,3,0,24,0,0,0,0,0,0,0,0,5,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,13,4,0,6,6,8,11,7,6,3,0,4,0,50,28,18,10,32,26,78,99,95,42,30,22,22,503,22,7,5,13,7,49,32,32,13,14,10,15,223,0,0,3,0,0,5,11,15,4,3,0,4,45,7,3,0,12,8,48,34,52,13,11,5,3,189,3,5,0,0,9,3,3,7,0,4,0,0,27,3,0,0,0,0,7,4,7,0,0,3,3,36,8,5,3,12,14,68,51,76,19,22,9,16,298,0,0,0,0,0,0,0,0,0,0
LGA50910,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,9,0,23,4,7,0,0,0,4,55,0,0,3,3,4,6,4,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,6,0,0,0,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,4,10,4,0,0,0,4,0,30,0,0,0,0,0,0,0,0,0,0
LGA50980,0,0,6,4,7,9,0,35,6,0,0,0,0,9,3,3,7,15,9,3,48,15,3,3,3,5,30,50,75,125,158,84,29,580,0,0,0,0,0,0,0,4,0,0,0,0,14,4,0,0,0,0,8,4,13,7,13,8,0,51,0,0,0,0,0,8,0,3,0,0,0,0,13,0,0,0,0,0,0,8,6,8,8,0,0,30,5,0,0,0,7,20,8,26,10,16,7,4,107,34,4,13,16,18,74,79,155,183,238,138,60,1018,10,0,5,7,12,38,56,68,45,54,36,25,364,0,0,0,0,0,0,7,11,16,12,8,3,64,9,4,0,7,13,25,54,131,87,100,42,19,483,6,0,0,0,3,3,8,15,5,16,8,3,51,0,0,0,0,0,3,10,13,7,6,8,0,56,12,4,0,9,15,41,77,170,119,134,61,25,663,0,0,0,0,0,4,0,4,4,3
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,3,3,6,6,5,7,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,10,16,4,3,10,4,9,3,8,0,0,0,5,66,3,0,5,9,0,4,0,9,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,3,0,4,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,3,0,4,3,0,0,3,3,0,4,3,3,30,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,8,5,7,0,0,5,8,3,4,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,10,7,4,3,4,9,4,6,0,0,0,0,4,49,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,3,0,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,3,4,4,5,11,3,3,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
LGA51190,21,39,38,19,11,3,5,168,17,6,9,5,22,43,48,43,23,17,6,14,253,49,30,30,37,75,255,357,434,175,112,63,45,1651,0,0,0,0,8,8,5,5,0,0,0,0,30,7,7,7,14,21,42,43,31,6,4,0,3,177,0,0,0,0,3,16,14,9,4,10,0,0,59,9,11,8,17,16,31,32,23,4,7,0,0,150,19,13,8,26,39,96,98,70,12,15,6,3,419,145,75,65,113,162,515,671,721,266,186,103,78,3104,71,29,15,40,71,212,222,175,71,56,31,57,1046,3,0,5,8,8,39,45,51,19,13,10,8,206,22,7,9,22,52,192,269,239,69,56,33,44,1017,6,4,7,7,11,40,36,43,25,11,12,9,209,10,0,5,3,13,40,53,54,22,15,6,11,231,40,15,22,48,87,307,398,378,130,97,69,70,1668,0,0,4,4,5,17,11,10,0,0
LGA51260,34,32,69,31,33,17,9,268,20,3,9,12,13,50,36,67,32,18,8,9,285,76,22,29,48,67,288,402,709,349,246,113,100,2443,0,3,0,4,6,0,17,15,3,4,0,4,51,11,0,3,10,5,24,37,32,15,4,0,4,151,4,0,0,3,6,17,11,20,3,0,0,0,78,7,0,4,8,13,19,16,11,9,8,0,3,98,20,4,10,24,26,69,82,76,30,14,10,10,382,196,60,65,127,163,500,651,1076,507,371,174,163,4051,95,49,21,52,64,199,288,318,126,100,83,73,1468,5,0,5,5,10,46,69,105,49,35,27,6,362,35,19,8,27,48,167,342,540,217,155,75,65,1699,10,3,3,10,10,35,46,75,28,25,20,17,274,19,10,11,11,8,37,55,83,38,30,24,20,341,64,25,31,52,78,286,505,808,324,243,141,112,2670,3,0,0,3,0,12,15,9,3,5
LGA51310,23,18,54,25,43,112,14,342,7,5,4,7,3,29,11,17,11,25,26,5,144,111,22,23,24,46,129,99,250,176,363,751,100,2099,0,0,0,0,3,0,0,5,0,9,8,0,27,10,0,0,0,0,7,10,11,8,12,19,0,81,10,0,5,0,7,4,7,7,5,8,4,0,59,7,3,4,3,4,5,3,4,6,3,10,3,63,20,6,8,9,14,18,21,24,19,34,46,11,227,190,52,37,52,78,194,150,351,244,494,955,124,2920,73,8,5,23,23,62,49,95,66,121,172,35,718,17,4,0,5,3,16,18,27,36,68,150,23,369,48,9,5,4,16,55,41,131,128,268,563,70,1351,23,6,5,7,0,24,22,38,31,66,161,26,420,12,0,5,4,9,6,9,21,19,22,42,13,163,98,25,17,19,33,107,89,221,210,424,927,126,2297,0,0,0,0,0,0,0,0,3,6
LGA51330,107,138,251,158,139,98,35,1131,69,21,24,33,40,92,89,147,66,77,54,28,735,291,78,107,131,162,597,739,1478,891,860,502,205,6047,6,0,8,6,3,11,11,34,5,3,0,7,95,16,16,11,11,13,29,68,75,43,39,14,13,350,10,0,3,12,24,37,35,55,33,19,4,7,243,31,15,10,14,26,51,47,73,10,12,4,14,314,68,34,33,37,72,136,162,226,100,75,23,36,997,529,169,196,249,319,972,1217,2284,1312,1165,659,315,9385,169,51,55,68,92,344,446,495,196,187,142,131,2382,39,13,15,13,21,95,127,252,131,108,100,58,983,117,25,24,58,85,361,657,1021,527,429,305,181,3797,58,9,22,24,28,115,139,252,168,125,112,82,1140,61,18,14,16,29,106,120,169,77,66,59,58,801,275,68,71,121,167,683,1045,1695,908,729,577,383,6721,4,0,0,3,6,10,13,25,11,9
LGA51400,19,34,53,35,18,15,7,205,8,0,5,6,0,21,24,36,22,14,6,6,156,20,14,14,26,34,171,266,495,226,134,63,54,1522,0,0,3,0,3,3,5,8,0,3,0,0,31,4,3,0,3,7,29,34,36,6,10,8,0,134,5,0,0,3,6,12,7,10,3,0,5,0,47,3,0,0,4,11,10,22,18,3,0,0,6,69,6,3,8,5,18,55,67,65,18,15,13,8,285,63,30,31,55,78,310,434,740,335,215,97,78,2470,38,17,12,26,20,114,142,171,65,50,37,33,729,0,0,4,4,10,26,57,60,31,16,16,15,241,18,0,3,6,28,140,259,251,97,62,24,41,934,7,5,3,8,4,22,36,65,20,21,14,13,219,5,5,0,4,8,29,42,67,15,18,17,9,216,28,10,14,25,47,222,391,445,158,116,69,77,1608,0,0,0,0,0,6,11,6,0,4
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,4,5,5,5,3,0,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
LGA51540,5,4,0,0,0,0,0,11,0,0,0,0,4,5,3,4,5,0,3,0,27,6,0,0,6,8,33,35,32,14,17,12,13,175,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,0,0,0,0,4,12,0,0,0,0,4,18,8,3,0,4,3,7,40,16,3,7,12,17,65,56,54,23,37,27,21,337,9,0,4,3,6,19,12,13,11,9,3,11,102,0,0,0,0,0,0,0,7,0,0,3,0,13,4,3,0,10,4,22,16,13,9,4,7,8,98,0,0,0,3,0,0,0,3,0,0,0,6,16,5,0,3,0,4,5,5,4,3,0,7,0,32,5,3,8,9,13,31,20,23,13,4,13,9,156,0,0,0,0,0,0,0,0,0,0
LGA51610,4,0,5,0,8,3,0,22,0,0,0,0,0,0,4,0,0,0,0,0,10,3,3,0,8,4,14,15,23,15,19,7,6,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,5,0,12,8,3,3,6,4,19,23,34,30,25,14,4,181,3,0,0,4,3,7,3,19,9,9,8,7,67,0,0,0,0,0,4,0,0,4,4,0,0,18,0,0,0,0,0,10,13,26,7,6,4,0,70,0,0,0,0,0,0,3,6,0,4,0,4,14,0,0,0,5,0,0,0,9,0,4,0,0,14,3,0,0,5,4,12,14,32,14,18,8,4,114,0,0,0,0,0,0,0,4,0,0
LGA51680,11,3,22,9,17,4,0,82,0,0,5,8,7,4,17,9,13,13,4,7,80,10,6,0,17,21,38,61,125,97,106,40,21,536,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,3,8,3,5,4,5,28,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,3,3,4,0,23,0,0,0,5,5,3,9,12,9,7,0,5,60,30,6,7,31,32,65,105,207,151,170,72,43,923,27,5,5,9,12,27,44,78,62,48,22,27,368,4,0,0,0,0,7,12,13,20,15,9,4,82,7,0,0,0,7,14,42,107,50,50,11,12,300,0,0,0,0,5,8,9,22,8,12,4,6,72,0,0,0,5,3,16,18,31,11,15,5,14,118,9,6,4,4,12,53,84,171,96,82,24,35,573,0,0,0,0,0,0,0,0,0,0
LGA51710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,7,6,5,5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,0,0,0,0,6,15,12,3,5,4,0,48,3,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,5,3,0,8,4,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,0,12,6,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0
LGA51750,5,0,17,8,11,45,8,103,0,0,0,0,6,0,0,7,4,5,12,5,44,28,0,4,6,17,22,17,65,40,73,223,24,517,0,0,0,0,0,0,0,0,0,0,8,0,8,6,0,0,0,0,5,8,6,0,0,10,0,26,4,0,0,0,3,5,0,8,7,0,0,0,20,8,0,0,0,0,3,7,4,5,0,3,0,30,13,0,0,0,4,6,12,15,11,0,15,0,92,64,3,9,14,22,47,49,108,69,98,292,33,812,10,5,4,9,10,17,21,19,16,33,47,15,209,0,0,4,0,0,3,4,10,5,14,37,10,87,10,0,0,0,5,5,14,38,33,70,156,14,351,10,0,5,0,0,0,9,15,4,20,68,13,147,0,0,0,0,0,0,4,0,5,10,14,3,35,19,5,6,8,9,17,26,69,43,110,280,33,616,0,0,0,0,0,0,0,4,0,0
LGA51820,147,134,255,173,181,83,48,1203,51,38,26,53,56,139,144,243,116,133,76,48,1118,227,121,102,176,263,821,1099,2347,1620,1310,589,295,8972,8,0,6,11,6,28,18,31,8,16,4,7,147,14,9,11,24,34,64,109,144,76,60,15,24,578,12,4,10,13,23,44,39,64,26,21,9,8,272,34,13,19,20,46,86,73,92,34,28,12,38,505,75,34,41,61,112,219,249,334,144,117,43,72,1502,489,218,186,338,504,1408,1834,3655,2470,1965,897,498,14465,225,65,83,101,151,494,961,1293,516,405,265,231,4780,20,3,11,12,25,94,161,322,176,137,71,39,1075,139,31,28,97,103,474,1158,2222,1087,693,378,297,6694,41,15,21,41,31,155,187,339,187,203,113,72,1403,56,22,35,48,60,157,192,287,143,119,77,102,1285,253,76,93,195,216,880,1698,3165,1591,1148,638,509,10457,5,0,4,4,9,20,42,45,18,10
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,9,10,13,0,0,0,0,53,5,6,0,5,0,21,15,17,8,6,0,9,96,13,12,15,18,30,95,128,139,44,48,11,23,571,0,0,0,3,4,4,3,3,0,0,0,0,19,0,5,0,3,0,17,10,4,0,0,0,5,45,0,6,0,0,3,6,5,0,0,0,0,0,21,0,0,0,7,3,4,3,0,0,4,3,4,32,5,15,0,9,8,35,17,11,0,6,3,8,113,27,38,26,54,59,182,200,195,55,66,23,34,960,10,10,13,23,33,57,48,32,7,10,12,24,302,0,0,0,0,3,12,9,16,3,0,3,7,59,5,4,0,16,27,70,71,73,16,16,9,10,311,0,0,0,5,7,8,15,20,4,3,0,0,66,0,6,0,5,5,21,16,11,0,3,5,9,80,11,10,5,24,35,116,105,116,26,28,14,29,520,0,0,0,0,6,4,3,0,0,0
LGA51960,7,4,0,0,0,0,0,21,0,0,0,3,4,8,7,4,0,5,0,0,31,4,3,13,18,27,78,42,18,3,7,0,8,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,13,3,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,4,7,3,0,0,0,0,0,16,0,0,5,7,7,18,8,0,0,0,0,3,46,9,10,28,36,48,117,62,29,4,9,0,22,362,0,11,6,20,17,27,15,5,0,0,3,9,113,0,0,0,0,5,4,0,0,0,0,0,0,14,7,5,5,13,14,32,6,0,0,0,0,0,91,0,0,0,0,4,4,0,0,0,0,0,0,15,0,0,0,5,0,10,4,0,3,0,0,0,21,7,12,9,16,22,45,14,3,0,0,0,4,138,0,0,0,0,0,0,0,0,0,0
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,4,0,3,7,6,4,4,3,0,51,10,6,0,7,0,4,8,3,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,3,0,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
LGA52100,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4,8,8,3,8,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,6,6,4,0,3,8,9,7,11,9,0,0,3,67,4,0,5,6,0,9,4,6,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,7,0,5,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,7,0,5,4,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0
LGA52170,7,7,4,0,8,24,6,63,3,0,0,0,0,0,3,9,0,5,19,4,48,26,7,0,0,6,13,19,41,14,48,223,25,414,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,3,0,4,8,0,28,0,0,0,0,0,0,0,0,0,3,3,0,12,3,0,0,0,0,0,0,7,0,0,0,0,16,6,0,0,0,0,3,4,15,3,3,18,3,60,57,13,4,5,10,24,30,67,27,71,295,31,633,16,7,4,7,4,12,0,16,6,14,56,10,154,4,0,0,0,0,3,0,8,8,6,42,3,80,6,0,0,6,0,5,4,16,7,27,131,14,216,4,0,0,3,0,4,4,9,3,8,60,7,104,0,0,0,0,0,0,4,0,6,3,11,4,29,21,0,3,9,5,15,14,33,22,47,244,26,436,0,0,0,0,0,0,0,0,0,0
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,4,3,6,11,4,8,0,6,0,3,55,3,0,0,0,0,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,3,3,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,8,5,3,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0
