LGA_CODE_2021,C16_M_LE_NS_15_19,C16_M_LE_NS_20_24,C16_M_LE_NS_25_34,C16_M_LE_NS_35_44,C16_M_LE_NS_45_54,C16_M_LE_NS_55_64,C16_M_LE_NS_65_74,C16_M_LE_NS_75_84,C16_M_LE_NS_85over,C16_M_LE_NS_Tot,C16_M_Tot_15_19_yrs,C16_M_Tot_20_24_yrs,C16_M_Tot_25_34_yrs,C16_M_Tot_35_44_yrs,C16_M_Tot_45_54_yrs,C16_M_Tot_55_64_yrs,C16_M_Tot_65_74_yrs,C16_M_Tot_75_84_yrs,C16_M_Tot_85over,C16_M_Tot_Tot,C21_M_Post_Deg_15_19_yrs,C21_M_Post_Deg_20_24_yrs,C21_M_Post_Deg_25_34_yrs,C21_M_Post_Deg_35_44_yrs,C21_M_Post_Deg_45_54_yrs,C21_M_Post_Deg_55_64_yrs,C21_M_Post_Deg_65_74_yrs,C21_M_Post_Deg_75_84_yrs,C21_M_Post_Deg_85over,C21_M_Post_Deg_Tot,C21_M_GrDip_GrCe_15_19,C21_M_GrDip_GrCe_20_24,C21_M_GrDip_GrCe_25_34,C21_M_GrDip_GrCe_35_44,C21_M_GrDip_GrCe_45_54,C21_M_GrDip_GrCe_55_64,C21_M_GrDip_GrCe_65_74,C21_M_GrDip_GrCe_75_84,C21_M_GrDip_GrCe_85over,C21_M_GrDip_GrCe_Tot,C21_M_BD_15_19,C21_M_BD_20_24,C21_M_BD_25_34,C21_M_BD_35_44,C21_M_BD_45_54,C21_M_BD_55_64,C21_M_BD_65_74,C21_M_BD_75_84,C21_M_BD_85over,C21_M_BD_Tot,C21_M_AdD_DL_15_19,C21_M_AdD_DL_20_24,C21_M_AdD_DL_25_34,C21_M_AdD_DL_35_44,C21_M_AdD_DL_45_54,C21_M_AdD_DL_55_64,C21_M_AdD_DL_65_74,C21_M_AdD_DL_75_84,C21_M_AdD_DL_85over,C21_M_AdD_DL_Tot,C21_M_CL_C_III_IV_15_19,C21_M_CL_C_III_IV_20_24,C21_M_CL_C_III_IV_25_34,C21_M_CL_C_III_IV_35_44,C21_M_CL_C_III_IV_45_54,C21_M_CL_C_III_IV_55_64,C21_M_CL_C_III_IV_65_74,C21_M_CL_C_III_IV_75_84,C21_M_CL_C_III_IV_85over,C21_M_CL_C_III_IV_Tot,C21_M_CL_C_I_II_15_19,C21_M_CL_C_I_II_20_24,C21_M_CL_C_I_II_25_34,C21_M_CL_C_I_II_35_44,C21_M_CL_C_I_II_45_54,C21_M_CL_C_I_II_55_64,C21_M_CL_C_I_II_65_74,C21_M_CL_C_I_II_75_84,C21_M_CL_C_I_II_85over,C21_M_CL_C_I_II_Tot,C21_M_CL_CL_nfd_15_19,C21_M_CL_CL_nfd_20_24,C21_M_CL_CL_nfd_25_34,C21_M_CL_CL_nfd_35_44,C21_M_CL_CL_nfd_45_54,C21_M_CL_CL_nfd_55_64,C21_M_CL_CL_nfd_65_74,C21_M_CL_CL_nfd_75_84,C21_M_CL_CL_nfd_85over,C21_M_CL_CL_nfd_Tot,C21_M_CL_Tot_15_19,C21_M_CL_Tot_20_24,C21_M_CL_Tot_25_34,C21_M_CL_Tot_35_44,C21_M_CL_Tot_45_54,C21_M_CL_Tot_55_64,C21_M_CL_Tot_65_74,C21_M_CL_Tot_75_84,C21_M_CL_Tot_85over,C21_M_CL_Tot_Tot,C21_M_LE_ID_15_19,C21_M_LE_ID_20_24,C21_M_LE_ID_25_34,C21_M_LE_ID_35_44,C21_M_LE_ID_45_54,C21_M_LE_ID_55_64,C21_M_LE_ID_65_74,C21_M_LE_ID_75_84,C21_M_LE_ID_85over,C21_M_LE_ID_Tot,C21_M_LE_NS_15_19,C21_M_LE_NS_20_24,C21_M_LE_NS_25_34,C21_M_LE_NS_35_44,C21_M_LE_NS_45_54,C21_M_LE_NS_55_64,C21_M_LE_NS_65_74,C21_M_LE_NS_75_84,C21_M_LE_NS_85over,C21_M_LE_NS_Tot,C21_M_Tot_15_19_yrs,C21_M_Tot_20_24_yrs,C21_M_Tot_25_34_yrs,C21_M_Tot_35_44_yrs,C21_M_Tot_45_54_yrs,C21_M_Tot_55_64_yrs,C21_M_Tot_65_74_yrs,C21_M_Tot_75_84_yrs,C21_M_Tot_85over,C21_M_Tot_Tot,C11_F_Post_Deg_15_19_yrs,C11_F_Post_Deg_20_24_yrs,C11_F_Post_Deg_25_34_yrs,C11_F_Post_Deg_35_44_yrs,C11_F_Post_Deg_45_54_yrs,C11_F_Post_Deg_55_64_yrs,C11_F_Post_Deg_65_74_yrs,C11_F_Post_Deg_75_84_yrs,C11_F_Post_Deg_85over,C11_F_Post_Deg_Tot,C11_F_GrDip_GrCe_15_19,C11_F_GrDip_GrCe_20_24,C11_F_GrDip_GrCe_25_34,C11_F_GrDip_GrCe_35_44,C11_F_GrDip_GrCe_45_54,C11_F_GrDip_GrCe_55_64,C11_F_GrDip_GrCe_65_74,C11_F_GrDip_GrCe_75_84,C11_F_GrDip_GrCe_85over,C11_F_GrDip_GrCe_Tot,C11_F_BD_15_19,C11_F_BD_20_24,C11_F_BD_25_34,C11_F_BD_35_44,C11_F_BD_45_54,C11_F_BD_55_64,C11_F_BD_65_74,C11_F_BD_75_84,C11_F_BD_85over,C11_F_BD_Tot,C11_F_AdD_DL_15_19,C11_F_AdD_DL_20_24,C11_F_AdD_DL_25_34,C11_F_AdD_DL_35_44,C11_F_AdD_DL_45_54,C11_F_AdD_DL_55_64,C11_F_AdD_DL_65_74,C11_F_AdD_DL_75_84,C11_F_AdD_DL_85over,C11_F_AdD_DL_Tot,C11_F_CL_C_III_IV_15_19,C11_F_CL_C_III_IV_20_24,C11_F_CL_C_III_IV_25_34,C11_F_CL_C_III_IV_35_44,C11_F_CL_C_III_IV_45_54,C11_F_CL_C_III_IV_55_64,C11_F_CL_C_III_IV_65_74,C11_F_CL_C_III_IV_75_84,C11_F_CL_C_III_IV_85over,C11_F_CL_C_III_IV_Tot,C11_F_CL_C_I_II_15_19,C11_F_CL_C_I_II_20_24,C11_F_CL_C_I_II_25_34,C11_F_CL_C_I_II_35_44,C11_F_CL_C_I_II_45_54,C11_F_CL_C_I_II_55_64,C11_F_CL_C_I_II_65_74,C11_F_CL_C_I_II_75_84,C11_F_CL_C_I_II_85over,C11_F_CL_C_I_II_Tot,C11_F_CL_CL_nfd_15_19,C11_F_CL_CL_nfd_20_24,C11_F_CL_CL_nfd_25_34,C11_F_CL_CL_nfd_35_44,C11_F_CL_CL_nfd_45_54,C11_F_CL_CL_nfd_55_64,C11_F_CL_CL_nfd_65_74,C11_F_CL_CL_nfd_75_84,C11_F_CL_CL_nfd_85over,C11_F_CL_CL_nfd_Tot
LGA50840,18,4,21,19,44,38,45,32,7,231,35,35,102,164,211,249,241,89,14,1135,0,0,3,5,0,9,22,11,0,50,0,0,0,0,3,7,5,0,0,22,0,5,14,27,33,30,47,17,0,172,0,3,7,17,25,41,37,20,0,143,5,31,91,82,115,140,123,38,6,635,6,4,9,7,0,0,3,4,0,34,0,0,0,4,4,6,16,8,0,39,13,39,101,95,126,148,137,44,10,713,0,0,0,0,4,3,5,3,0,20,11,9,18,26,43,43,56,26,6,235,21,52,143,181,240,279,304,121,19,1352,0,0,0,3,10,6,0,0,0,20,0,0,4,6,7,10,0,0,0,30,0,8,30,53,44,32,20,9,0,200,6,10,17,33,39,56,29,9,0,199,0,8,26,35,39,46,14,0,0,172,5,0,6,4,4,5,0,0,0,33,0,0,0,10,5,13,9,0,0,35
LGA50910,0,0,6,8,8,5,17,9,9,61,3,8,23,24,32,29,39,13,9,184,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,0,4,0,0,5,7,5,5,3,0,0,18,0,0,3,4,5,0,3,0,0,16,0,0,9,11,16,15,12,4,3,75,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,5,11,15,13,22,12,4,3,84,0,0,0,0,0,3,0,0,0,6,4,6,3,9,6,8,8,3,0,54,6,8,20,21,26,38,32,7,4,172,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,5,0,0,11,4,0,3,0,0,0,30,0,0,0,0,5,9,3,0,0,25,0,0,4,7,7,4,3,0,0,31,0,4,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8
LGA50980,103,73,244,218,158,158,95,31,11,1084,156,228,989,937,773,620,268,69,18,4053,0,3,47,42,30,20,6,0,0,151,0,0,21,20,20,12,11,0,0,92,0,22,198,160,113,69,39,9,3,609,4,17,72,129,99,65,37,12,0,437,12,96,316,371,349,230,119,22,3,1519,16,19,17,3,6,10,3,0,0,81,3,10,18,16,17,17,10,3,0,90,32,127,351,392,377,260,135,26,3,1696,0,5,3,4,10,3,7,3,0,38,87,81,227,193,222,167,84,34,9,1098,121,256,920,944,874,604,316,85,16,4128,0,0,21,35,34,28,7,0,0,120,0,0,31,32,28,24,7,0,0,130,0,37,288,233,152,88,17,3,0,820,0,43,117,132,113,65,11,3,0,486,21,64,165,138,80,39,12,5,0,517,20,30,38,13,11,6,0,0,0,129,4,11,27,22,24,18,6,0,0,111
LGA51080,5,8,11,0,10,18,7,9,0,70,6,10,37,31,39,44,22,22,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,5,0,0,23,0,0,3,5,3,4,7,0,0,18,0,4,12,16,7,18,12,6,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,15,3,9,18,19,12,24,19,6,0,98,0,0,0,0,0,6,3,0,0,6,5,0,9,7,7,8,3,3,0,51,7,9,32,37,36,41,30,14,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,0,3,15,14,16,10,0,0,0,58,0,0,8,7,9,13,0,0,0,32,0,0,13,6,11,4,0,0,0,40,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6
LGA51120,0,0,3,0,11,10,5,7,4,36,5,7,32,27,32,39,25,6,3,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,6,8,0,0,0,0,19,0,0,0,4,0,0,4,0,0,14,0,0,22,23,10,12,13,6,0,88,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,10,18,22,15,21,13,4,0,97,0,0,0,0,0,0,0,0,0,0,5,4,4,8,14,15,17,6,0,75,7,13,32,37,40,33,36,12,0,215,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,13,0,4,3,3,0,37,0,0,4,10,5,8,4,0,0,28,4,6,6,4,6,3,4,0,0,33,0,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4
LGA51190,107,116,301,277,266,218,190,132,53,1654,199,520,1515,1452,1388,1314,908,405,129,7836,0,3,49,72,77,61,46,16,7,328,0,0,17,25,32,41,32,7,0,162,0,29,227,204,214,191,146,67,16,1094,3,22,116,171,156,165,136,71,13,861,61,236,679,659,619,645,504,232,58,3695,50,77,65,20,24,14,9,4,0,252,7,10,18,28,22,35,28,15,5,169,110,328,761,704,661,694,541,257,64,4110,0,4,9,17,15,10,17,15,5,93,45,72,203,171,194,169,158,104,69,1177,160,461,1380,1380,1364,1326,1070,534,164,7835,0,0,34,43,33,32,7,0,0,146,0,3,43,64,41,37,4,0,0,192,0,73,384,288,236,187,70,31,10,1283,18,73,171,184,239,188,75,31,7,987,120,232,414,338,339,229,139,198,100,2110,49,45,66,45,30,25,3,0,0,274,10,24,69,56,72,39,18,12,5,302
LGA51260,111,59,187,212,239,231,225,146,79,1492,194,371,1268,1714,1668,1487,1271,597,187,8764,0,0,30,53,86,67,76,48,3,368,0,0,20,51,44,31,40,9,4,192,0,15,202,316,338,287,286,118,32,1595,0,15,124,216,251,267,282,154,23,1332,56,249,711,917,859,779,707,322,75,4665,60,48,45,21,26,13,18,5,0,237,5,8,23,28,53,46,48,28,6,240,125,306,774,962,932,836,773,355,77,5143,0,3,13,12,12,17,17,11,4,92,81,41,196,221,249,200,168,145,64,1365,207,383,1358,1837,1906,1710,1645,844,201,10089,0,0,25,36,21,16,15,3,0,121,0,0,42,66,49,37,18,5,0,223,0,39,318,394,309,209,143,67,20,1500,8,58,176,294,274,210,123,56,9,1204,64,150,307,351,299,175,53,25,8,1440,31,33,59,53,45,22,18,4,5,269,6,20,49,84,62,60,20,15,0,317
LGA51310,32,43,135,103,120,90,83,69,37,718,50,400,1203,1492,1723,1316,764,425,200,7569,0,16,220,403,488,344,203,90,32,1795,0,3,53,85,91,78,40,27,6,386,0,231,550,746,886,649,382,170,60,3687,4,35,101,130,172,185,151,100,39,915,31,68,148,141,155,194,142,93,46,1021,22,9,10,6,6,7,0,4,0,58,3,8,7,11,19,15,18,16,9,110,52,81,163,162,179,214,160,119,56,1186,4,4,15,11,22,6,10,16,3,83,17,15,79,73,86,65,75,57,34,506,80,380,1176,1610,1927,1542,1027,585,228,8553,0,12,149,227,201,107,30,12,0,742,0,6,56,159,129,86,28,8,5,477,0,228,622,860,639,342,170,120,58,3031,6,42,93,211,329,223,131,73,31,1129,16,51,71,74,77,46,21,29,8,393,0,13,12,7,12,9,9,7,8,82,3,0,15,31,42,24,22,20,5,165
LGA51330,190,297,584,389,358,282,256,170,95,2613,448,2184,5884,4795,4163,3228,2179,944,294,24121,0,84,1012,1102,733,475,241,82,11,3745,0,13,124,169,162,119,89,32,0,711,3,742,2313,2039,1490,916,652,231,45,8428,23,382,856,760,572,490,423,197,49,3749,161,549,1092,1008,1075,1074,846,433,148,6378,112,158,90,48,33,22,19,9,0,486,25,24,63,56,80,75,53,41,13,432,296,728,1249,1111,1184,1174,918,487,159,7297,3,27,65,65,61,37,41,36,5,341,100,292,626,446,353,294,163,151,66,2486,426,2265,6241,5689,4556,3501,2526,1215,343,26760,0,56,494,387,290,141,43,11,3,1419,0,32,190,189,200,111,35,5,0,771,10,953,2184,1448,1018,615,238,83,32,6578,48,392,648,700,821,540,250,96,45,3534,123,361,531,538,543,317,103,46,11,2582,52,68,68,59,63,50,19,11,0,388,17,62,78,134,160,142,70,24,11,701
LGA51400,51,38,69,95,110,76,74,37,8,552,140,216,593,867,931,650,400,105,25,3926,0,0,13,43,53,40,20,8,0,168,0,0,5,16,24,14,10,0,0,76,0,15,85,141,168,129,87,14,0,645,0,14,64,101,129,105,85,27,0,529,45,143,356,411,465,397,233,87,8,2154,28,38,14,11,11,3,5,0,0,103,3,6,8,11,19,21,21,11,0,94,77,183,374,433,493,425,260,96,8,2342,0,0,7,6,4,11,8,0,0,40,38,33,54,84,108,85,64,39,9,526,117,240,589,840,974,807,546,187,20,4328,0,0,14,16,26,5,0,0,0,58,0,0,16,39,39,20,0,0,0,111,0,25,165,264,160,72,35,6,4,738,9,35,71,143,133,83,29,6,0,515,48,81,166,183,148,69,17,13,0,738,19,17,39,32,13,13,0,0,0,133,0,4,18,37,33,19,9,0,0,118
LGA51470,0,3,6,5,9,5,0,3,0,34,0,9,20,16,21,35,14,9,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,6,0,0,0,15,0,7,3,20,13,11,16,5,0,66,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,6,6,20,8,7,19,5,0,76,0,0,0,0,0,0,0,0,0,4,3,0,0,11,12,0,12,3,0,38,3,6,12,36,29,24,31,6,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,4,0,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,11,6,0,3,3,3,4,0,0,0,15,4,5,0,0,3,0,0,0,0,14,0,0,0,4,4,5,0,0,0,8
LGA51540,20,23,71,76,81,74,39,37,11,438,37,84,240,228,275,242,123,62,17,1302,0,0,3,4,11,6,0,0,0,28,0,0,0,0,4,0,0,0,0,19,0,4,35,21,12,21,18,0,0,115,0,0,18,24,19,11,22,9,6,105,3,26,93,75,105,112,63,8,0,497,7,12,8,0,4,0,0,0,0,38,0,0,9,5,3,0,8,4,0,33,11,44,109,83,112,116,76,15,0,565,0,0,0,0,0,0,0,4,0,5,39,41,100,67,80,62,45,28,8,471,54,86,265,208,241,219,161,52,14,1302,0,0,10,7,0,3,0,0,0,18,0,0,10,7,3,5,0,0,0,34,0,11,67,47,32,15,7,6,0,188,0,3,31,31,34,23,9,0,0,138,5,19,52,45,42,28,5,0,0,189,3,12,10,12,11,6,4,0,0,56,0,3,6,5,5,4,3,0,0,28
LGA51610,9,6,7,22,20,16,14,3,0,83,15,13,40,73,73,58,34,17,3,326,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,3,0,0,5,6,11,5,11,0,0,36,0,0,4,7,11,4,15,0,0,36,5,6,35,43,43,35,12,8,3,187,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,10,4,11,41,41,45,38,17,7,3,202,0,0,0,0,0,3,0,0,0,5,4,9,5,14,26,17,9,3,0,91,7,14,52,70,102,68,50,20,5,385,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,16,25,10,0,6,0,0,57,0,5,7,6,14,15,8,0,0,55,0,3,6,12,3,4,0,0,0,29,3,0,5,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,8
LGA51680,37,3,25,34,63,56,31,21,4,274,56,53,147,245,304,280,170,75,4,1345,0,0,0,3,3,10,0,4,0,27,0,0,0,5,3,7,0,0,0,15,0,6,18,23,31,31,18,11,0,134,0,3,12,31,46,40,38,8,0,178,13,28,116,137,175,180,93,46,5,792,10,8,9,4,0,4,3,0,0,31,0,0,6,4,3,6,6,3,4,34,21,29,124,145,183,192,98,49,14,846,0,0,0,0,4,0,0,0,0,12,23,13,26,31,60,63,38,30,5,284,47,57,185,236,332,338,191,99,13,1492,0,0,3,4,3,4,0,0,0,13,0,0,6,3,5,0,0,0,0,18,0,5,18,46,25,20,19,0,0,125,0,0,16,37,53,33,15,4,0,163,5,14,33,56,37,36,10,0,0,185,4,8,9,10,7,5,4,0,0,39,0,0,3,6,11,11,7,0,0,38
LGA51710,15,48,124,83,57,43,22,6,0,398,18,58,185,157,134,94,48,12,0,712,0,0,0,5,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,9,0,0,7,9,11,0,4,0,0,32,0,0,3,5,13,12,0,0,0,38,0,12,35,32,37,37,21,0,0,166,0,4,5,0,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,13,39,34,38,34,25,0,0,190,0,0,0,0,0,0,5,0,0,9,6,31,144,71,56,21,22,0,0,349,7,44,198,130,128,68,56,0,0,632,0,0,3,4,0,0,0,0,0,11,0,0,9,7,0,0,0,0,0,18,0,0,10,21,8,6,0,0,0,52,0,0,15,13,10,8,0,0,0,41,0,9,11,15,15,6,0,0,0,53,4,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9
LGA51750,26,23,60,58,52,59,49,45,14,392,46,164,480,454,532,469,389,245,98,2875,0,10,93,116,164,119,96,70,34,707,0,0,20,24,34,28,25,11,5,140,0,117,298,231,271,221,201,128,34,1501,0,14,27,48,61,41,58,59,21,328,16,19,52,38,47,49,33,27,12,305,8,3,4,0,0,0,0,4,0,20,0,0,0,4,3,4,3,3,0,22,21,26,59,47,50,53,43,34,12,344,0,0,0,4,10,5,8,3,4,39,22,21,56,34,42,36,37,44,29,310,48,191,556,501,624,503,463,351,139,3372,0,5,48,68,82,70,27,16,0,331,0,6,32,41,41,35,20,6,5,188,0,93,243,232,237,163,119,69,24,1186,4,14,46,52,107,97,74,50,18,461,6,21,26,13,18,16,5,7,0,121,3,0,0,0,7,0,6,0,0,21,0,0,4,8,14,15,12,14,3,66
LGA51820,264,247,697,641,570,428,344,307,120,3629,548,1664,6125,6205,4967,3507,1992,940,259,26218,0,35,467,773,459,320,161,44,7,2263,0,9,152,191,164,115,57,25,0,711,0,407,1870,1867,1232,716,399,110,25,6624,17,198,722,1027,861,596,471,151,21,4056,195,807,2530,2530,2255,1893,1228,537,122,12103,150,156,115,80,64,40,23,6,0,645,13,36,93,131,141,114,100,24,3,664,362,1005,2740,2741,2454,2054,1351,576,129,13407,11,22,61,89,73,57,55,25,14,410,133,206,612,642,513,375,304,244,143,3171,521,1883,6624,7332,5748,4228,2803,1176,334,30643,0,16,275,251,171,78,20,0,0,804,0,20,227,200,126,61,14,7,0,657,5,476,1986,1362,703,359,123,44,7,5069,34,244,825,947,723,437,145,63,11,3423,160,485,954,845,589,324,92,33,17,3495,56,91,131,123,90,64,23,7,0,579,17,46,148,193,190,110,46,11,0,763
LGA51860,0,0,7,4,4,3,5,0,0,25,5,4,19,27,18,29,12,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,4,0,0,0,0,0,5,0,0,3,15,9,18,7,0,0,50,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,15,9,23,7,0,0,55,0,0,0,0,0,0,0,0,0,0,5,3,12,14,13,6,5,5,0,55,5,7,20,29,25,25,10,7,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,0,0,0,0,11,0,0,0,0,6,0,0,0,0,4,0,0,8,6,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3
LGA51890,36,29,61,54,58,73,73,50,20,449,62,161,339,305,343,358,258,108,30,1975,0,0,0,3,5,5,3,0,0,14,0,0,0,4,0,5,3,0,0,14,0,4,12,26,13,9,21,11,0,90,0,0,8,23,17,38,33,9,4,133,11,72,231,204,222,241,148,70,7,1208,11,14,17,5,7,0,0,0,0,56,0,0,4,16,6,9,16,3,0,58,22,90,247,219,234,253,167,78,7,1317,0,0,0,3,0,5,10,0,0,29,37,18,45,51,53,60,61,42,26,385,60,110,312,328,328,374,293,145,39,1993,0,0,0,6,3,0,0,0,0,10,0,0,9,11,8,4,0,0,0,27,0,10,45,42,28,33,16,8,0,189,0,10,33,48,49,33,13,7,0,189,25,53,75,90,72,52,12,7,0,383,11,12,22,14,13,6,0,3,0,78,0,0,14,25,17,7,6,0,0,71
LGA51960,19,24,67,40,60,31,28,11,0,280,29,57,215,159,188,126,70,25,4,876,0,0,0,6,3,5,3,0,0,16,0,0,0,0,0,3,0,0,0,4,0,0,13,7,11,8,0,0,0,44,0,0,9,3,10,9,3,0,0,34,7,15,85,56,83,73,40,4,3,375,3,5,5,5,5,0,0,0,0,17,0,0,3,0,0,6,4,0,0,10,9,22,91,61,91,81,44,4,3,406,0,0,0,0,3,0,4,0,0,8,23,32,77,70,90,66,37,14,6,405,25,55,191,152,207,172,87,28,4,918,0,0,0,5,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,11,0,11,21,14,17,8,0,0,0,70,0,7,16,17,12,10,0,0,0,65,0,13,52,37,16,9,0,0,0,131,8,8,5,4,4,0,0,0,0,29,0,0,0,10,0,0,0,0,0,16
LGA52030,4,0,10,10,3,15,9,0,6,59,4,7,36,30,46,54,51,12,6,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,16,0,0,0,4,5,5,13,0,0,25,0,8,20,11,17,37,36,10,0,135,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,5,0,0,12,0,9,20,14,15,39,37,9,0,153,0,0,0,0,0,0,0,0,0,0,0,5,8,0,11,19,14,10,7,77,0,11,41,22,35,67,65,30,4,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,4,4,15,6,4,12,0,0,39,0,0,6,3,11,7,3,3,0,33,0,0,7,10,5,5,0,0,0,31,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,3,0,0,0,9
LGA52100,6,4,12,9,3,13,5,8,6,71,10,14,40,37,32,39,21,6,7,207,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,3,0,0,18,0,0,0,6,0,4,5,0,0,20,0,7,21,19,19,14,17,0,0,103,5,8,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,5,12,26,26,21,11,18,0,0,116,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,8,7,3,0,30,4,15,31,41,25,23,27,8,3,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,9,13,10,8,8,3,0,47,0,0,4,8,10,8,4,0,3,38,0,3,9,4,4,9,3,0,0,36,0,0,3,0,5,0,0,0,0,7,0,0,0,5,3,0,0,0,0,13
LGA52170,17,13,53,27,49,53,32,20,3,268,24,116,400,380,487,485,323,135,42,2382,0,4,71,85,115,123,80,42,11,526,0,0,10,10,19,18,14,10,0,78,0,62,194,174,233,225,183,87,17,1173,0,5,19,24,37,46,45,38,13,225,8,10,37,29,35,30,32,17,5,209,5,0,0,0,4,6,0,0,0,14,0,0,3,6,4,3,8,5,5,29,12,13,37,38,44,44,40,25,9,254,0,0,4,7,8,7,10,0,0,32,12,15,38,38,18,40,21,25,21,222,17,99,378,377,463,495,390,221,74,2517,0,0,52,52,50,55,23,9,0,254,0,4,23,34,46,27,5,0,0,141,0,66,231,237,188,161,63,23,9,983,0,24,34,45,74,76,55,34,9,356,3,9,24,20,21,16,7,3,3,102,0,0,5,0,0,0,6,4,0,17,0,0,4,7,13,11,6,3,9,55
LGA52240,5,0,6,9,10,20,6,8,4,68,5,4,36,37,32,56,31,19,4,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,5,0,0,0,26,0,0,3,0,5,10,5,4,0,23,0,3,18,10,16,13,12,0,6,89,0,3,3,0,0,0,0,0,0,16,0,0,0,0,4,0,0,0,0,7,4,6,17,17,20,17,15,10,6,108,0,0,0,0,0,5,0,0,0,5,3,0,5,3,10,14,15,11,0,65,9,12,35,31,42,44,35,14,7,230,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,4,14,7,9,0,0,0,0,30,0,0,5,10,12,7,3,4,0,40,0,5,7,12,5,0,0,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,9
LGA52310,10,6,8,11,9,10,14,7,0,74,11,11,32,36,33,39,42,12,0,217,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,12,6,0,0,20,0,0,0,9,3,7,5,5,3,32,0,9,14,9,19,24,18,3,0,97,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,14,9,19,22,24,3,0,100,0,0,0,0,0,0,0,0,0,4,0,7,0,8,5,9,7,11,3,45,6,13,23,22,39,51,37,23,6,213,0,0,0,0,3,3,0,0,0,5,0,0,0,4,0,0,0,0,0,6,0,0,4,12,7,7,4,0,0,34,0,0,0,8,8,8,0,0,0,28,3,0,9,6,0,0,3,0,0,23,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,3,4,0,0,12
