LGA_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
LGA50840,163,329,13,14,28,210,213,426,27,28,52,18,22,43,0,5,8,45,55,104,152,159,318,2222,2307,4530,220,178,393,2594,2644,5238
LGA50910,35,57,0,0,5,34,50,90,11,16,29,11,5,17,0,0,0,22,21,41,40,55,91,383,363,747,50,46,91,473,464,929
LGA50980,87,193,28,20,49,157,138,289,12,19,29,22,8,29,9,8,20,43,35,75,223,214,440,6766,7269,14040,1267,1217,2480,8256,8700,16959
LGA51080,22,43,3,3,5,23,25,52,0,0,4,3,5,8,0,0,0,3,5,13,27,31,51,442,421,868,59,72,128,528,524,1046
LGA51120,28,53,9,10,19,28,42,72,3,3,5,10,7,14,0,5,9,13,15,26,23,20,52,404,377,783,78,73,152,505,470,979
LGA51190,856,1614,60,61,118,995,1153,2158,121,324,443,195,239,436,29,58,93,345,621,968,1011,1208,2220,13587,14588,28172,1596,993,2592,16194,16789,32987
LGA51260,1177,2331,92,101,197,1448,1516,2960,156,343,495,219,277,498,28,27,56,403,647,1045,977,1100,2072,17462,18684,36146,1307,1111,2421,19746,20895,40640
LGA51310,676,1292,21,28,54,742,862,1608,156,352,505,185,241,425,9,24,32,350,617,969,488,704,1187,13158,13664,26824,425,437,863,14071,14805,28876
LGA51330,1719,3282,74,119,191,1983,2311,4299,260,510,768,332,380,713,49,61,111,641,951,1591,1775,2064,3841,44001,43941,87936,2242,1836,4079,48018,47841,95860
LGA51400,290,565,21,13,38,352,349,701,24,36,55,28,37,65,7,4,13,59,77,136,387,328,715,7990,8546,16531,506,416,925,8883,9290,18175
LGA51470,6,26,0,9,6,19,15,33,0,0,0,3,3,6,0,0,0,3,3,11,11,10,25,238,208,444,42,40,82,291,258,552
LGA51540,73,161,17,19,36,126,119,241,10,20,30,21,16,33,8,5,8,39,41,70,96,112,210,2131,1976,4111,502,429,929,2729,2517,5251
LGA51610,11,42,4,0,3,39,14,53,3,3,6,3,0,3,0,0,0,6,3,9,32,19,48,670,634,1300,110,98,204,812,751,1556
LGA51680,106,236,14,14,25,160,142,309,10,16,33,18,19,36,3,3,9,31,38,77,132,145,275,2618,2586,5207,259,198,457,3009,2929,5930
LGA51710,11,27,0,3,3,20,14,32,0,0,4,5,0,5,0,0,0,5,0,4,16,17,25,646,565,1210,346,101,449,1008,683,1692
LGA51750,475,857,30,23,51,458,568,1030,59,161,219,109,149,258,18,30,51,186,340,529,219,330,547,4880,5302,10186,278,267,551,5377,5899,11284
LGA51820,1747,3421,134,149,287,2243,2496,4740,296,645,942,335,356,696,65,106,174,696,1107,1811,2420,2857,5278,52853,54693,107547,2909,2361,5264,58182,59911,118091
LGA51860,3,16,7,0,6,22,7,33,3,4,9,0,0,0,0,0,0,3,4,11,12,13,31,243,228,473,48,49,98,303,290,593
LGA51890,200,411,25,32,59,278,282,568,29,32,64,26,38,65,19,32,47,74,102,183,308,275,583,3777,3723,7495,388,345,730,4473,4343,8812
LGA51960,24,57,8,13,21,53,42,86,4,0,4,3,3,8,6,0,6,13,3,14,69,53,122,1364,1199,2564,447,344,790,1880,1596,3478
LGA52030,37,78,4,3,13,52,46,103,3,6,8,8,3,8,3,5,6,14,14,23,29,20,52,470,399,864,73,59,136,572,478,1055
LGA52100,33,62,0,0,6,33,37,75,3,10,11,16,11,28,0,0,3,19,21,42,17,27,44,456,447,903,25,33,58,498,507,1007
LGA52170,237,492,18,20,35,293,280,577,21,49,75,51,45,94,15,27,42,87,121,219,78,120,198,3664,3716,7382,201,184,385,3943,4020,7970
LGA52240,27,61,3,4,11,44,40,85,0,0,4,6,3,6,0,3,0,6,6,15,32,33,63,476,439,916,59,56,123,567,528,1100
LGA52310,17,46,4,3,10,34,29,61,0,3,3,10,0,13,0,0,0,10,3,12,30,21,55,401,361,763,44,40,80,475,422,902
LGA52380,5,10,3,0,3,11,5,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,115,54,172,17,13,32,137,72,215
LGA52450,20,53,0,5,5,33,31,64,0,0,3,8,11,19,0,3,3,8,14,27,23,22,45,602,544,1150,47,52,103,672,618,1302
LGA52520,24,38,0,7,10,17,39,63,0,3,7,10,15,23,0,0,6,10,18,36,19,27,47,587,531,1111,117,105,224,723,663,1379
LGA52590,95,215,11,11,22,139,123,265,4,12,18,17,24,38,4,3,6,25,39,65,64,75,135,1514,1364,2876,211,131,340,1789,1570,3355
LGA52660,358,650,33,50,86,388,505,900,38,77,119,83,76,159,34,40,69,155,193,347,382,391,770,6414,6614,13032,487,400,891,7283,7405,14686
LGA52730,201,433,24,19,44,281,259,542,16,42,61,41,38,81,6,9,19,63,89,155,131,170,299,2651,2762,5407,304,301,599,3086,3233,6310
LGA52800,31,59,7,13,22,51,61,119,9,14,22,0,0,6,0,4,4,9,18,29,121,127,247,2702,2710,5415,740,672,1411,3563,3509,7075
LGA52870,181,350,17,16,32,222,236,460,21,31,59,25,38,60,3,0,6,49,69,127,155,173,331,2671,2778,5441,217,169,383,3043,3120,6155
LGA52940,17,37,3,0,3,24,17,45,0,0,3,3,6,6,0,0,0,3,6,10,15,20,30,324,301,626,36,20,55,375,341,715
LGA53010,10,26,6,0,5,26,13,44,0,0,0,0,0,0,0,0,0,0,0,0,18,10,24,274,264,541,60,49,112,352,323,681
LGA53080,17,32,0,0,4,20,17,49,0,0,0,5,0,5,0,0,0,5,0,3,23,15,43,270,222,493,78,62,143,371,299,677
LGA53150,178,340,15,25,40,217,255,471,44,79,131,37,40,80,15,28,49,96,147,254,157,200,362,3365,3703,7067,195,194,386,3717,4097,7819
LGA53220,12,28,4,3,11,23,21,44,0,0,3,0,0,0,0,3,3,0,3,13,59,72,124,4435,2823,7263,1762,609,2376,6256,3504,9760
LGA53290,354,681,56,42,98,443,469,918,44,86,126,66,76,135,7,14,25,117,176,284,300,303,598,5917,5921,11844,777,668,1440,6994,6892,13883
LGA53360,36,78,3,3,3,54,48,101,0,4,9,3,9,9,3,0,3,6,13,16,43,31,71,1386,1305,2696,183,134,320,1612,1470,3085
LGA53430,750,1461,59,71,131,906,1024,1936,143,276,418,159,172,328,31,72,97,333,520,849,706,886,1598,13668,14576,28243,1135,960,2093,15509,16422,31930
LGA53570,150,369,22,19,36,270,196,462,16,20,33,27,21,47,4,6,7,47,47,88,135,127,259,2517,2345,4862,263,191,451,2915,2663,5576
LGA53640,9,24,5,0,0,25,13,34,3,3,5,0,0,3,0,0,0,3,3,8,35,30,70,558,481,1040,56,50,107,649,561,1215
LGA53710,23,48,8,6,13,34,33,68,5,6,5,8,5,15,0,0,3,13,11,24,22,23,41,410,400,813,60,52,108,492,475,955
LGA53780,1956,3754,118,160,278,2389,2778,5162,262,564,828,350,444,800,101,143,246,713,1151,1869,2830,3156,5987,56211,56436,112647,4448,3295,7744,63489,62887,126376
LGA53800,781,1511,92,94,192,1015,1125,2149,139,240,378,183,181,362,31,62,96,353,483,839,1019,1121,2136,16369,17059,33430,2119,1809,3928,19507,19989,39489
LGA53920,6,24,13,5,16,29,23,62,0,0,3,0,0,5,3,4,3,3,4,11,59,79,140,1484,1479,2966,245,227,468,1788,1785,3574
LGA53990,604,1159,38,50,91,713,763,1466,57,104,164,99,99,201,15,14,33,171,217,400,684,640,1319,12755,13020,25776,847,631,1479,14286,14291,28567
LGA54060,131,266,26,19,45,183,178,362,21,13,32,16,24,40,4,5,11,41,42,78,99,96,195,1506,1572,3080,226,183,403,1831,1851,3680
LGA54130,15,38,0,0,0,25,18,46,0,3,8,4,0,4,0,0,0,4,3,12,19,15,36,546,480,1024,55,52,106,620,547,1160
LGA54170,3186,6262,145,172,315,3729,4124,7853,413,899,1313,553,730,1276,81,115,193,1047,1744,2782,2836,3373,6213,73300,75071,148378,3061,2363,5417,79197,80807,160003
LGA54200,1463,2832,80,102,178,1684,1902,3593,189,343,538,313,343,658,42,59,100,544,745,1292,1279,1468,2752,26386,26992,53384,1435,1196,2632,29100,29656,58762
LGA54280,221,468,46,24,72,357,319,678,28,81,103,29,43,67,6,19,23,63,143,202,440,465,908,13084,12033,25122,1917,1363,3276,15441,13861,29306
LGA54310,43,78,12,3,21,74,60,135,0,5,9,0,0,4,0,0,0,0,5,12,192,142,332,9547,8536,18085,2291,1487,3778,12030,10165,22199
LGA54340,87,166,9,8,15,117,122,232,15,29,42,20,30,53,4,5,7,39,64,100,101,111,208,1750,1667,3418,231,192,430,2082,1970,4057
LGA54410,28,62,5,5,10,50,54,114,4,17,19,6,12,21,4,6,5,14,35,46,63,67,130,452,431,886,69,57,128,584,555,1138
LGA54480,4,12,0,0,0,11,4,19,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,238,194,424,33,23,59,275,222,491
LGA54550,59,109,6,9,16,70,80,150,11,10,29,6,17,25,0,0,3,17,27,54,46,44,93,844,807,1657,82,68,152,972,919,1901
LGA54620,14,41,0,3,5,24,22,51,0,4,9,5,0,9,3,3,6,8,7,18,23,17,41,381,320,704,57,49,102,461,386,847
LGA54690,7,22,0,0,0,15,7,27,0,0,5,0,0,3,0,0,0,0,0,6,10,6,18,189,149,336,13,4,14,212,159,361
LGA54760,10,33,0,3,4,27,18,43,0,3,3,6,3,4,0,0,0,6,6,11,10,18,21,341,316,658,44,39,90,395,373,769
LGA54830,456,903,25,38,66,625,689,1314,81,129,211,82,98,172,14,11,29,177,238,416,1102,1077,2175,19799,20203,40003,2585,1100,3687,23486,22380,45867
LGA54900,24,52,0,4,7,26,31,67,0,4,4,3,4,6,0,0,0,3,8,13,14,18,26,623,527,1144,48,40,83,685,585,1265
LGA54970,4,7,0,0,0,7,4,11,0,0,0,0,0,5,0,0,0,0,0,5,10,14,25,540,299,839,366,107,470,916,420,1333
LGA55040,5,13,3,0,5,6,8,26,3,0,5,0,0,0,0,0,0,3,0,3,21,9,30,593,456,1048,370,139,505,984,604,1588
LGA55110,3112,6058,229,265,496,3794,4053,7848,377,689,1063,618,690,1309,112,224,337,1107,1603,2707,2865,3092,5954,37598,41349,78949,2916,2490,5406,43379,46931,90306
LGA55180,230,492,18,20,40,339,313,647,40,70,108,56,42,95,12,5,18,108,117,221,266,322,584,3946,3863,7808,360,344,707,4572,4529,9093
LGA55250,8,21,5,0,4,19,11,31,0,0,0,0,0,0,0,0,0,0,0,0,7,14,16,529,355,889,179,114,295,715,483,1200
LGA55320,2775,5297,137,153,290,3082,3595,6676,479,1085,1561,663,851,1516,111,158,263,1253,2094,3336,2012,2853,4868,45566,49149,94713,2064,1877,3944,49642,53879,103523
LGA55390,0,6,0,0,4,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7,4,13,260,106,358,130,19,153,397,129,524
LGA55460,50,116,17,4,16,89,73,160,5,19,18,23,17,42,3,0,5,31,36,65,74,99,177,1328,1245,2575,195,168,365,1597,1512,3119
LGA55530,15,27,7,0,8,16,15,34,0,0,0,4,0,4,0,0,0,4,0,9,7,8,12,184,151,333,38,31,65,229,190,407
LGA55600,54,112,6,9,12,77,78,149,7,14,24,8,20,24,3,5,8,18,39,57,54,55,107,962,934,1895,143,142,290,1159,1131,2292
LGA55670,11,21,3,4,10,14,20,36,0,0,3,5,0,10,3,3,8,8,3,18,23,14,33,248,242,494,65,66,136,336,322,660
LGA55740,246,475,27,22,49,283,307,594,42,49,92,32,49,81,4,29,35,78,127,211,209,194,403,3878,4375,8254,266,241,511,4353,4810,9169
LGA55810,3,12,9,0,10,22,8,23,0,0,0,0,0,3,0,0,0,0,0,9,9,9,23,171,144,314,180,135,311,360,288,653
LGA55880,8,14,0,0,0,9,8,20,0,9,13,6,4,8,0,0,0,6,13,16,8,18,31,208,178,386,25,15,44,241,211,459
LGA55950,22,35,3,3,7,20,25,46,0,0,0,3,0,6,3,0,4,6,0,11,12,10,20,263,229,489,43,31,73,318,270,579
LGA56090,964,1902,80,77,157,1187,1245,2428,116,189,305,155,184,345,42,85,124,313,458,775,848,882,1731,16597,17138,33730,2889,812,3705,20334,18832,39166
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,46,41,84,3,9,11,53,56,101
LGA56230,541,1121,36,47,81,732,701,1433,67,97,162,121,97,219,12,11,23,200,205,409,597,549,1153,7656,7940,15595,719,597,1315,8972,9086,18068
LGA56300,54,114,11,8,26,80,68,151,4,7,9,7,3,11,0,3,3,11,13,30,33,36,72,649,611,1264,104,103,210,786,750,1538
LGA56370,27,55,8,7,13,38,40,68,6,11,12,9,15,21,3,6,13,18,32,41,13,17,26,336,309,641,72,51,124,421,377,787
LGA56460,118,234,11,8,22,156,172,326,23,56,81,31,33,68,0,7,12,54,96,159,128,182,307,1978,2012,3993,246,232,479,2352,2426,4779
LGA56580,634,1242,35,48,78,717,787,1499,85,175,263,155,181,330,21,37,61,261,393,650,367,465,826,10185,10399,20581,368,354,728,10920,11218,22132
LGA56620,0,3,0,3,3,3,11,14,0,0,0,0,0,0,0,0,0,0,0,3,28,44,64,538,583,1124,89,74,167,655,701,1358
LGA56730,250,498,27,39,70,344,361,706,37,72,106,46,55,104,10,20,30,93,147,237,335,379,717,4510,4709,9214,897,530,1427,5742,5618,11358
LGA56790,88,207,20,14,38,157,120,282,16,23,38,18,12,35,4,7,14,38,42,86,95,92,192,1377,1229,2602,239,200,434,1711,1521,3227
LGA56860,8,3,3,0,3,8,8,14,5,0,3,0,0,0,0,0,0,5,0,4,11,7,15,98,84,185,25,23,50,134,114,255
LGA56930,52,96,3,8,9,53,64,114,9,9,13,12,17,32,4,0,4,25,26,41,20,24,45,629,860,1489,31,32,59,680,916,1597
LGA57000,7,17,7,0,4,20,7,26,0,0,3,0,6,10,4,0,4,4,6,11,3,5,7,249,177,430,134,54,188,386,236,629
LGA57080,322,717,40,27,75,485,414,901,43,74,116,64,63,124,11,14,25,118,151,268,286,329,624,13038,12008,25048,1668,1126,2799,14992,13463,28463
LGA57140,36,79,3,10,7,51,62,107,3,5,7,7,4,13,0,0,4,10,9,23,36,42,77,471,431,909,22,27,48,529,500,1037
LGA57210,114,254,15,10,25,188,156,352,23,32,54,28,34,60,6,3,11,57,69,117,172,185,354,2263,2183,4447,339,251,591,2774,2619,5388
LGA57280,25,63,7,12,20,58,57,111,6,9,14,7,6,12,3,3,4,16,18,33,153,165,322,6739,6208,12946,1337,1078,2417,8229,7451,15684
LGA57350,28,58,5,10,18,44,41,81,6,13,15,9,7,16,5,4,6,20,24,39,23,28,54,307,350,661,124,123,244,454,501,961
LGA57420,55,99,8,6,7,57,70,126,4,12,12,10,3,16,0,0,0,14,15,32,40,46,89,946,843,1784,112,94,205,1098,983,2085
LGA57490,2393,4611,196,220,418,2943,3266,6210,313,541,849,433,499,930,114,191,300,860,1231,2083,3444,3468,6912,58967,61662,120628,4674,3457,8132,67085,68587,135678
LGA57630,0,9,3,0,3,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,39,31,67,26,9,41,65,45,109
LGA57700,312,694,34,28,62,498,455,955,49,84,137,48,50,104,8,5,12,105,139,249,574,577,1151,14288,14874,29162,1202,656,1861,16064,16107,32173
LGA57770,14,40,12,6,11,39,20,63,0,0,0,0,3,0,0,5,5,0,8,8,21,9,33,416,412,831,87,83,166,524,504,1031
LGA57840,1008,1874,85,111,196,1124,1381,2503,168,382,554,205,267,469,66,138,205,439,787,1233,754,1068,1826,19356,19994,39352,1131,1102,2233,21241,22164,43405
LGA57910,5231,9510,303,361,666,5541,7100,12645,965,1918,2882,1105,1471,2570,170,269,437,2240,3658,5894,4776,6249,11031,99131,104898,204030,5956,5353,11311,109863,116500,226369
LGA57980,495,911,39,45,80,525,631,1153,57,135,187,81,121,205,20,30,50,158,286,439,264,376,639,7501,8257,15762,450,410,867,8215,9043,17267
LGA58050,1909,3750,141,149,290,2442,2753,5197,295,585,879,334,371,706,81,100,180,710,1056,1767,3442,3549,6998,68215,69633,137849,4332,3795,8128,75989,76977,152974
LGA58190,6,13,0,4,3,11,15,25,3,0,3,0,5,9,0,0,0,3,5,6,12,8,15,173,139,315,32,26,54,217,173,386
LGA58260,15,32,3,0,7,24,19,45,3,0,3,3,0,0,0,0,0,6,0,6,14,14,25,234,215,449,51,46,94,299,275,575
LGA58330,117,265,22,20,38,189,165,353,8,16,22,27,14,39,0,3,9,35,33,72,109,126,227,1955,1878,3837,307,230,535,2371,2234,4601
LGA58400,13,22,4,0,4,20,16,29,0,6,6,0,0,0,0,0,0,0,6,0,15,10,26,124,112,238,13,18,28,152,140,298
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,81,75,154,8,6,16,94,81,170
LGA58510,585,1068,60,112,170,709,918,1626,134,306,439,143,207,350,70,168,239,347,681,1022,817,931,1747,16299,16309,32607,1299,1235,2535,18415,18475,36889
LGA58540,22,38,4,0,3,28,27,50,8,0,8,0,3,0,0,0,0,8,3,12,16,17,33,354,314,667,48,53,101,418,384,802
LGA58570,398,780,47,38,84,553,642,1197,111,312,417,94,107,202,21,26,44,226,445,667,576,891,1467,16560,16534,33095,1103,873,1979,18239,18298,36537
LGA58610,47,115,4,10,14,79,70,152,7,11,22,10,15,22,0,4,8,17,30,47,43,57,105,751,705,1457,90,107,201,884,869,1761
LGA58680,21,37,6,3,11,25,24,48,0,0,0,3,3,7,0,0,0,3,3,9,3,8,18,232,195,427,53,43,91,288,246,535
LGA58760,3028,5836,173,232,409,3580,4218,7804,405,898,1304,534,548,1076,88,147,240,1027,1593,2623,4309,4905,9214,93152,97129,190286,5345,4275,9619,102806,106309,209111
LGA58820,99,214,14,18,35,153,152,305,11,25,42,25,19,39,10,18,29,46,62,106,96,141,242,1814,1818,3630,197,159,357,2107,2118,4234
LGA58890,14,40,0,3,3,26,20,46,0,4,4,8,6,11,0,0,3,8,10,24,13,10,22,352,302,649,47,48,100,412,360,773
LGA59030,8,17,0,4,4,13,12,19,0,0,0,4,3,4,0,0,3,4,3,6,6,4,8,107,110,212,16,17,28,129,131,248
LGA59100,22,41,9,7,11,32,32,57,0,3,4,6,3,7,0,4,3,6,10,18,14,17,30,294,270,564,60,42,103,368,329,690
LGA59170,30,57,4,5,9,39,39,65,0,0,0,9,6,10,0,0,0,9,6,17,23,15,33,448,428,873,55,58,110,526,501,1021
LGA59250,3,4,0,0,0,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,7,10,19,213,132,351,126,43,170,346,185,535
LGA59310,27,64,4,0,3,41,33,75,0,8,10,3,7,8,0,0,0,3,15,20,35,38,72,602,525,1126,60,41,95,697,604,1297
LGA59320,8,13,0,6,4,6,14,22,0,0,0,4,0,3,0,0,0,4,0,3,7,7,16,207,180,386,20,24,50,234,211,448
LGA59330,25,53,4,0,3,32,25,65,0,0,0,0,0,3,0,0,3,0,0,9,18,13,28,209,190,399,21,24,45,248,227,470
LGA59340,26,80,10,12,27,73,51,136,4,6,9,0,0,4,0,11,13,4,17,25,101,90,193,2906,3038,5942,695,654,1348,3702,3782,7477
LGA59350,0,5,0,0,4,6,0,7,0,0,4,0,0,0,0,0,0,0,0,4,4,3,3,120,63,182,118,34,152,242,100,340
LGA59360,13,38,5,0,3,31,19,50,4,9,5,5,3,10,0,3,7,9,15,21,18,24,38,560,362,928,158,55,210,736,441,1173
LGA59370,137,283,18,29,44,194,181,369,11,31,42,25,26,54,9,0,12,45,57,108,100,100,197,1465,1502,2966,169,126,295,1734,1728,3459
LGA59499,21,86,47,16,63,111,41,155,5,5,8,4,0,4,10,12,15,19,17,30,135,107,236,2288,2040,4327,2222,1277,3492,4645,3424,8055
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,38,297,196,25,218,456,63,514
