LGA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
LGA51260,3175,3360,1011,50,7596,1770,267,450,10087,155,25,71,7,260,414,20,23,717,49,26,17,0,82,37,9,0,129,202,52,81,9,344,448,28,24,849,68,15,33,0,124,172,8,25,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,..,..,..,..,..,..,..,..,..,4,0,0,0,8,0,0,0,11,76,22,40,0,132,184,8,27,346,72,8,4,0,82,93,4,81,268,0,4,0,0,9,4,0,12,26,3,4,0,0,4,0,0,0,8,77,18,4,0,98,105,3,96,302,5,4,0,0,7,0,0,5,17,3531,3451,1135,61,8180,2505,311,596,11595,3732,3925,1188,69,8906,2099,310,735,12056,234,70,86,7,403,546,27,109,1078,47,29,14,0,92,45,5,19,165,283,102,97,7,494,594,33,123,1244,0,5,0,0,7,23,0,8,40,0,0,0,0,0,0,0,0,0,0,0
LGA51310,1817,3304,492,69,5687,1190,258,208,7338,145,65,34,3,242,266,16,28,546,124,53,22,8,201,173,25,25,415,263,111,55,12,441,434,39,51,965,64,16,13,0,95,166,25,20,309,62,6,6,0,83,128,20,37,268,87,10,8,11,119,226,21,22,387,..,..,..,..,..,..,..,..,..,0,0,0,0,4,0,0,0,6,219,33,28,14,294,522,67,81,966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,3,0,11,2303,3451,571,95,6418,2156,362,337,9280,1788,3459,519,76,5841,1092,203,279,7418,111,94,38,0,247,204,26,35,506,185,138,50,6,379,165,23,45,617,299,235,85,10,627,365,52,81,1126,116,26,13,3,154,250,15,30,449,74,18,12,4,109,136,18,29,291,120,30
LGA51330,6142,9465,2410,553,18566,4250,1167,726,24703,757,627,339,94,1814,1261,288,224,3582,89,101,60,17,264,79,107,48,495,844,731,397,112,2080,1333,394,272,4079,435,320,168,85,1006,750,204,174,2135,3,11,0,0,12,4,8,4,28,36,6,9,0,49,184,0,25,264,..,..,..,..,..,..,..,..,..,3,0,0,0,4,7,0,0,16,474,330,183,89,1081,950,212,200,2445,0,0,0,0,0,19,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,3,7,0,0,9,5,0,0,0,6,27,0,3,41,0,5,0,0,3,9,3,0,12,7463,10535,2989,747,21735,6566,1771,1199,31271,6214,10004,2391,438,19054,4152,1254,923,25382,1010,1066,405,161,2640,1636,465,314,5054,131,113,39,23,300,123,119,36,589,1141,1179,444,183,2942,1765,583,356,5647,145,195,70,19,427,266,56,54,802,7,5,0,5,16,7,10,7,44,17,0
LGA51400,1340,2036,472,26,3877,603,107,203,4786,0,0,0,0,0,7,0,0,6,0,0,0,0,0,3,0,3,8,0,0,0,0,6,8,0,3,15,7,0,6,0,13,18,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,7,0,8,0,15,18,0,0,32,3,0,0,0,5,0,0,3,10,0,3,0,0,3,4,0,0,7,0,0,0,0,0,0,0,0,4,3,9,0,0,11,4,0,3,21,0,3,0,0,3,0,0,5,11,1352,2052,485,26,3914,637,107,216,4864,1547,2274,632,27,4482,690,119,299,5590,21,12,19,0,60,67,9,8,133,0,0,0,0,3,8,0,5,13,24,12,18,0,61,77,9,15,151,22,0,9,0,28,85,5,4,129,0,0,0,0,0,0,0,0,0,0,0
LGA51470,64,55,13,0,136,65,8,25,232,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,69,55,13,0,137,77,8,30,245,74,48,12,0,132,67,6,23,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
LGA51540,413,509,188,13,1118,315,35,205,1674,21,13,15,0,48,88,3,27,165,3,0,0,0,6,6,0,8,16,27,11,14,0,56,90,3,30,181,6,4,9,0,19,41,4,11,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,4,4,6,4,9,0,19,41,4,12,74,90,9,5,5,111,113,6,1086,1318,0,0,0,0,4,6,0,110,117,5,0,4,0,3,3,0,3,7,95,14,6,5,118,122,6,1194,1444,6,4,0,0,14,5,0,38,59,548,541,214,20,1326,579,51,1478,3429,412,447,187,25,1071,321,52,283,1728,13,10,9,3,38,96,5,51,198,0,0,0,0,0,3,0,0,3,14,10,9,3,39,101,5,51,201,3,9,5,0,14,27,4,13,55,0,0,0,0,0,0,0,0,0,0,0
LGA51610,132,161,17,3,318,70,8,22,417,4,0,0,0,10,0,0,0,9,0,0,0,0,3,0,0,0,3,4,3,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,10,0,35,48,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,3,0,0,0,7,11,0,44,56,0,0,0,0,0,0,0,0,6,149,161,18,3,330,81,8,68,486,155,183,23,0,362,62,4,60,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51680,526,560,107,5,1201,227,29,60,1511,5,3,3,0,11,10,0,0,21,0,0,0,0,0,0,0,0,0,5,3,3,0,11,10,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,8,0,0,10,3,6,0,0,12,6,0,3,23,4,0,0,0,4,0,0,0,5,12,10,0,0,23,10,0,4,35,4,0,0,0,4,0,0,0,5,545,578,108,5,1234,251,29,65,1572,644,676,99,7,1428,256,25,144,1861,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,4,0,3,0,11,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0
LGA51710,58,95,9,0,161,22,4,30,210,16,17,7,0,39,19,3,17,76,4,0,0,0,4,0,0,0,3,20,17,7,0,42,20,3,17,85,15,20,5,0,39,44,4,35,124,34,36,6,4,85,23,7,12,126,0,3,0,0,3,3,0,0,8,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,50,59,12,4,132,68,10,49,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,3,126,167,32,9,338,113,14,101,565,59,94,13,0,168,28,0,21,216,13,21,8,0,38,16,0,9,60,7,10,3,0,17,12,0,9,37,14,28,11,0,56,26,0,20,101,5,9,5,0,15,29,0,23,62,14,25,7,4,50,8,0,16,77,0,0
LGA51750,624,853,232,43,1749,514,78,105,2446,58,16,30,10,106,79,4,15,211,60,24,15,0,106,71,18,15,209,118,44,44,10,214,149,21,31,418,79,26,21,9,131,213,29,22,390,44,7,0,0,53,132,12,17,215,77,34,17,12,136,139,29,58,361,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,203,63,32,22,318,487,72,98,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,947,957,312,71,2277,1148,170,234,3832,566,820,177,20,1588,385,55,90,2113,132,80,35,5,256,191,17,37,494,117,99,44,8,267,117,23,34,436,245,182,81,13,519,304,40,73,932,53,14,15,9,85,148,14,33,288,60,10,11,4,86,158,15,76,337,102,43
LGA51820,7340,11330,3084,390,22140,4460,894,883,28376,540,361,315,18,1244,1101,104,123,2570,106,68,40,5,221,112,24,37,392,646,432,363,29,1465,1220,123,157,2963,150,71,89,15,323,373,36,42,785,134,50,31,22,238,277,53,63,631,37,11,3,0,55,34,7,18,120,..,..,..,..,..,..,..,..,..,8,3,0,0,17,16,0,0,28,333,139,124,36,633,701,97,128,1563,29,4,4,0,30,52,0,53,139,0,0,0,0,0,0,0,4,8,0,7,0,0,8,6,0,0,16,28,5,5,0,40,60,0,60,160,0,0,0,0,7,3,0,0,7,8349,11904,3573,457,24282,6443,1120,1231,33073,7978,12654,3261,339,24236,4661,936,1370,31204,790,677,446,49,1959,1640,170,363,4138,258,217,103,10,587,249,46,87,975,1048,891,544,59,2547,1892,219,453,5111,69,20,33,6,130,172,17,42,362,137,72,40,18,269,341,45,111,764,252,58
LGA51860,41,86,5,0,131,6,5,6,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,41,86,5,0,131,6,5,17,157,43,74,6,0,119,6,0,12,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51890,906,986,339,32,2259,748,65,118,3190,15,5,4,0,24,55,5,3,85,0,0,0,0,0,0,0,0,0,15,5,4,0,24,55,5,3,85,17,0,6,0,13,39,0,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,4,0,0,0,8,19,0,4,28,11,0,3,0,19,57,0,9,87,5,0,0,0,8,17,0,18,49,0,0,0,0,0,0,0,0,0,3,6,0,0,6,9,0,5,16,11,9,0,0,22,23,0,25,68,0,0,0,0,0,0,0,0,0,943,1004,342,32,2327,884,70,152,3436,925,916,348,29,2227,817,57,225,3330,15,5,7,0,24,87,0,14,126,0,0,0,0,0,0,0,0,0,15,5,7,0,24,87,0,14,126,0,0,0,0,4,18,0,0,17,0,0,0,0,0,0,0,0,0,0,0
LGA51960,265,421,135,8,830,253,31,123,1229,3,0,0,0,10,19,0,0,32,8,0,0,0,8,14,0,14,38,12,0,0,0,18,32,4,18,66,18,5,3,0,28,23,3,15,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,18,5,3,0,28,23,3,15,68,12,0,0,0,13,7,0,23,50,0,0,0,0,0,3,0,4,10,0,0,0,0,0,3,0,0,8,11,0,0,0,17,19,0,32,68,0,0,0,0,0,0,0,7,6,304,433,138,5,883,325,32,202,1446,272,373,127,5,776,271,31,132,1206,13,6,5,0,29,34,4,23,82,4,0,0,0,3,6,3,3,13,14,8,9,0,32,42,4,23,98,0,0,3,0,7,19,0,9,34,0,0,0,0,0,0,0,0,0,0,0
LGA52030,157,97,24,0,278,118,7,42,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,13,0,0,0,0,4,14,0,16,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,0,0,3,12,0,16,33,0,0,0,0,0,0,0,0,0,159,96,26,0,283,134,7,56,481,182,72,20,4,273,131,5,36,448,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52100,163,100,19,0,285,121,6,12,422,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,4,16,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,15,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,7,0,6,12,0,0,0,0,0,0,0,0,0,164,98,23,0,292,146,6,17,454,153,90,28,0,278,108,14,33,431,5,0,0,0,4,8,0,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52170,499,779,141,34,1451,367,89,153,2068,28,13,0,0,44,37,9,8,97,80,43,19,0,146,70,10,24,245,108,56,24,0,190,104,18,32,344,49,9,8,7,77,66,25,28,191,67,8,12,4,94,194,20,64,368,27,6,4,0,34,34,12,23,107,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,141,26,18,13,203,296,55,115,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749,861,186,46,1845,764,168,302,3083,511,777,158,21,1463,343,58,99,1965,31,34,16,0,81,56,7,15,158,98,70,9,0,182,64,22,29,301,134,100,28,0,262,121,27,40,455,51,6,10,3,69,50,16,12,156,81,8,10,0,104,169,25,30,335,24,3
LGA52240,141,114,39,0,289,107,3,25,428,3,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,144,116,39,0,294,109,3,26,433,145,111,19,0,277,95,9,33,401,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0
LGA52310,128,99,24,0,250,75,0,10,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,0,0,131,99,24,0,251,81,0,14,355,124,71,11,7,211,83,3,42,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52380,26,13,4,0,52,37,3,13,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,4,0,61,69,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,4,3,0,0,9,6,0,63,74,0,0,0,0,0,0,0,0,0,31,12,4,0,57,41,3,78,182,13,4,3,0,24,31,5,18,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
LGA52450,160,136,34,4,332,110,13,22,480,0,0,0,0,4,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,8,4,0,0,13,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,5,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,5,0,4,12,0,0,0,0,0,0,0,0,0,162,138,36,3,344,125,11,29,510,144,144,36,3,318,108,5,47,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0
LGA52520,143,157,24,6,330,126,10,17,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,11,10,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,16,0,0,0,0,0,0,0,7,4,144,157,24,6,332,132,10,31,509,145,159,21,3,330,117,17,50,508,4,5,0,0,7,8,0,3,18,0,0,0,0,0,0,0,0,0,4,5,0,0,7,8,0,3,18,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
LGA52590,412,281,77,9,777,259,14,140,1191,0,0,0,0,0,3,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,9,24,3,3,0,0,3,15,0,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,3,0,0,3,15,0,11,31,6,0,0,0,13,15,0,74,102,7,5,0,0,10,5,6,12,29,0,0,0,0,5,4,0,4,4,16,4,3,0,19,29,6,83,133,0,0,0,0,4,0,0,6,11,436,287,80,9,814,300,22,247,1385,443,278,85,10,814,299,32,122,1270,9,0,3,0,8,11,0,7,32,0,0,0,0,0,0,0,0,5,6,4,3,0,16,13,0,9,36,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0
LGA52660,1224,1572,414,29,3237,617,97,149,4104,100,10,8,0,120,93,4,7,212,0,0,0,0,0,0,0,0,4,100,15,8,0,118,90,4,7,215,7,4,3,0,16,11,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,7,4,3,0,16,11,3,0,28,17,3,3,0,30,50,5,25,106,5,0,0,0,5,0,0,0,0,5,0,4,0,5,0,0,0,4,24,3,9,0,33,55,5,25,114,0,0,0,0,0,0,0,0,0,1353,1590,438,29,3406,772,113,176,4468,1412,1674,496,35,3615,773,104,251,4749,75,19,25,3,120,111,10,25,268,0,0,0,0,0,0,0,0,3,73,19,25,3,124,115,10,31,270,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0
LGA52730,684,474,197,5,1366,490,44,109,2011,21,7,6,0,34,59,0,0,94,4,0,0,0,3,0,0,0,3,22,5,6,0,31,59,0,0,94,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,3,3,0,0,0,3,5,0,0,10,7,3,0,0,14,15,0,21,41,0,3,3,0,5,0,0,5,12,0,0,0,0,0,4,0,0,9,9,3,0,0,19,14,0,28,64,0,0,0,0,0,0,0,0,0,723,488,209,10,1424,565,44,145,2185,752,530,198,12,1492,531,49,233,2311,19,0,5,0,23,56,0,0,89,0,0,0,0,0,0,0,0,0,19,0,5,0,23,59,0,0,90,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
