LGA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
LGA50840,36,10,14,20,21,28,29,12,5,183,0,0,0,0,0,0,0,0,0,5,236,101,100,150,250,363,456,248,71,1984,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,20,0,0,0,4,3,3,0,3,0,24,527,276,233,307,358,419,360,129,20,2636,88,36,43,65,74,82,84,34,4,521,867,413,381,537,699,896,922,426,104,5238
LGA50910,0,0,0,0,4,3,4,0,0,15,0,0,0,0,0,0,0,0,0,0,43,16,24,34,69,65,85,63,23,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,82,41,31,43,54,46,41,21,16,374,32,15,9,18,12,17,10,4,4,119,161,68,67,102,137,134,133,90,41,929
LGA50980,87,45,63,56,44,40,20,4,3,364,0,0,0,0,0,0,0,0,0,3,1356,671,810,897,879,814,478,170,42,6118,15,0,18,16,3,0,0,0,0,58,17,3,19,20,10,4,0,3,0,82,0,4,0,0,0,0,0,0,0,11,10,3,10,7,3,5,0,0,0,38,5,0,8,5,0,0,0,0,0,11,8,4,9,11,3,4,5,0,0,36,18,4,28,18,4,9,3,0,0,87,1950,848,1473,1309,986,680,322,69,13,7644,611,324,513,404,424,289,137,48,19,2766,3994,1869,2890,2707,2353,1828,953,289,75,16959
LGA51080,0,4,5,0,0,8,0,0,0,28,6,0,0,0,0,0,0,0,0,7,84,43,35,67,69,102,69,35,7,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,95,36,61,45,42,55,27,11,5,380,45,14,10,12,22,19,10,7,0,144,228,95,114,125,129,179,104,52,13,1046
LGA51120,10,0,6,6,5,6,0,0,0,30,0,0,0,0,0,0,0,0,0,0,64,21,27,40,52,70,97,41,11,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,93,44,48,53,50,37,24,10,3,370,24,15,11,9,21,29,30,21,10,176,181,87,88,111,123,143,155,72,26,979
LGA51190,202,86,131,134,128,100,96,40,18,934,8,3,8,0,9,0,8,3,0,36,1672,977,964,1361,1829,2309,2417,1511,679,13716,46,11,59,58,19,3,4,0,0,205,73,12,59,48,26,16,7,0,0,235,3,0,0,5,0,0,0,4,0,15,0,0,0,0,0,3,0,0,0,3,17,3,38,21,4,0,0,0,0,85,9,17,27,26,21,17,8,7,4,133,37,15,65,46,23,19,8,7,4,224,3178,2199,2445,1969,1876,1689,1128,491,167,15152,417,303,573,507,446,355,280,132,119,3125,5449,3544,4214,4053,4290,4440,3875,2158,968,32987
LGA51260,253,101,105,161,139,143,129,48,27,1110,6,5,5,0,4,3,7,5,0,30,2186,1075,805,1574,2232,2586,3124,2017,750,16342,32,8,34,27,16,5,8,3,0,126,48,19,41,31,26,18,6,0,0,191,5,0,0,0,6,5,0,0,3,20,0,0,0,0,0,0,0,0,0,8,20,6,33,12,6,3,0,0,0,74,11,7,14,23,15,7,10,5,0,88,31,9,53,40,15,13,10,5,0,164,4775,2278,2456,2972,2708,2265,1934,680,198,20262,507,247,365,436,432,420,383,257,93,3146,7621,3663,3812,5162,5504,5355,5509,2960,1045,40640
LGA51310,114,86,53,83,96,66,75,26,8,602,0,4,0,0,0,8,0,0,0,16,2341,1504,805,1311,2152,1848,1480,1146,742,13331,105,39,59,102,47,17,16,8,5,396,45,21,27,37,19,21,7,5,0,181,12,15,4,13,22,16,17,8,4,111,0,0,0,0,0,0,0,0,0,0,12,3,7,12,4,8,4,0,0,42,15,13,12,20,20,13,12,9,0,115,25,16,20,29,26,19,15,9,0,156,2897,1705,1667,1947,1849,1487,892,330,152,12931,181,112,180,174,186,146,144,85,59,1275,5652,3456,2837,3743,4391,3602,2616,1608,969,28876
LGA51330,778,612,546,653,555,454,321,107,32,4052,19,9,7,20,12,25,21,8,3,131,5400,4398,3456,4350,4802,5055,4732,2866,1142,36208,1337,894,1230,1293,725,337,142,44,6,6022,2055,1150,1238,1128,725,297,160,69,14,6832,3,0,5,5,5,4,3,3,0,38,0,0,0,0,0,0,0,0,0,3,467,359,1161,322,103,83,41,19,11,2568,31,49,87,73,46,50,37,19,5,391,501,413,1245,399,148,137,78,42,15,2968,6443,5294,5578,4872,3857,3101,2097,831,251,32321,848,770,1068,804,641,550,344,240,113,5371,17402,13703,14885,14030,11751,10116,8086,4299,1591,95860
LGA51400,161,96,86,100,114,87,62,15,0,729,19,13,8,5,10,3,0,3,0,60,1384,825,536,936,1315,1240,984,478,90,7788,30,5,4,27,7,0,3,0,0,76,58,8,22,41,10,4,5,0,0,151,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,9,13,11,12,12,9,11,0,0,0,70,16,11,18,23,9,11,0,0,0,81,2328,1284,1138,1230,1155,892,556,166,29,8772,210,156,117,148,199,156,130,54,18,1181,4029,2289,1842,2425,2727,2332,1692,701,136,18175
LGA51470,0,0,0,7,0,0,4,6,0,17,0,0,0,0,0,0,0,0,0,0,22,14,15,30,27,46,52,23,6,242,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,21,34,41,19,34,21,8,0,219,11,10,6,21,12,5,11,6,0,85,76,41,62,95,64,82,86,33,11,552
LGA51540,27,11,18,17,22,18,16,3,5,130,0,0,0,0,0,0,0,0,0,4,302,198,184,211,328,382,308,158,48,2113,8,3,0,8,0,0,0,0,0,26,7,4,21,8,0,3,0,0,0,44,0,0,3,0,0,0,0,0,0,4,3,3,0,3,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,10,3,10,6,0,3,3,5,0,0,31,447,217,341,253,242,244,160,42,11,1958,191,134,155,117,139,100,68,41,10,962,973,558,715,617,767,753,556,241,70,5251
LGA51610,20,0,3,8,6,4,5,0,0,49,0,0,0,0,0,0,0,0,0,0,135,56,45,82,114,127,97,41,6,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,61,71,76,108,83,51,12,0,591,61,20,7,38,44,41,18,6,0,242,327,142,127,194,274,254,169,53,9,1556
LGA51680,33,9,25,23,25,33,16,10,0,175,8,0,0,3,5,0,0,0,0,7,378,170,149,251,393,476,361,198,49,2424,0,0,7,0,0,6,0,0,0,19,7,9,0,5,0,0,0,0,0,16,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,6,0,0,0,4,6,0,6,0,0,12,637,383,297,364,430,384,202,79,16,2794,88,108,55,51,107,112,72,29,14,631,1109,665,516,682,942,988,642,309,77,5930
LGA51710,0,0,8,6,12,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,40,12,28,36,61,47,27,4,0,245,0,0,0,3,0,0,0,0,0,10,109,40,67,54,35,40,24,4,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,11,80,25,51,54,60,40,22,0,0,336,35,37,160,97,68,35,29,3,0,453,285,127,319,271,263,210,178,32,4,1692
LGA51750,28,22,30,22,28,28,27,10,0,196,0,0,0,0,0,0,5,0,0,6,651,569,345,425,700,670,668,726,360,5116,21,16,16,15,14,14,5,4,0,95,17,8,14,14,11,4,0,0,0,68,13,9,10,6,16,11,7,8,3,76,0,3,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,11,8,10,10,10,12,6,4,0,0,56,7,11,9,15,14,6,3,0,0,68,942,855,733,597,608,485,406,211,104,4940,106,107,113,75,91,75,77,73,52,758,1776,1583,1244,1175,1475,1286,1196,1030,529,11284
LGA51820,803,469,604,669,537,412,273,101,25,3888,18,15,6,16,24,26,9,6,0,113,9072,5717,5674,7269,7888,7408,6026,3379,1266,53693,570,134,440,588,191,103,57,17,4,2091,476,187,350,353,179,110,57,26,3,1748,16,10,18,14,11,11,22,4,0,112,0,0,0,0,0,0,0,0,0,6,93,39,152,66,18,19,15,3,4,407,50,69,72,92,91,50,34,14,0,481,149,108,217,161,112,75,51,19,3,893,11392,6894,9684,8539,6191,4291,2423,870,269,50552,1084,743,1177,1183,895,699,518,370,244,6921,22972,13975,17894,18564,15830,12939,9368,4740,1811,118091
LGA51860,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,0,0,0,29,0,0,0,0,0,0,0,0,0,0,87,36,37,54,23,69,45,25,11,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,13,14,17,17,8,0,0,86,13,6,17,15,6,17,7,8,0,93,130,49,65,85,53,111,63,33,11,593
LGA51890,31,9,12,18,20,23,27,12,0,145,0,0,0,0,0,0,0,0,0,10,353,204,188,306,429,622,723,363,92,3262,0,0,3,0,0,0,0,0,0,8,0,7,6,3,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,6,7,10,4,3,0,0,34,5,0,6,7,11,4,3,0,0,39,1052,635,624,561,570,570,398,137,36,4574,158,103,99,99,105,96,93,67,53,873,1571,947,920,976,1120,1301,1220,568,183,8812
LGA51960,22,7,15,13,21,14,8,4,0,105,0,3,0,0,5,0,0,0,0,11,131,84,92,110,198,237,159,49,7,1054,0,0,0,0,0,0,0,0,0,7,3,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,16,398,220,229,204,196,163,82,17,9,1513,157,102,123,143,130,112,57,20,3,845,690,412,461,471,533,513,297,86,14,3478
LGA52030,3,0,7,0,0,0,9,0,0,22,0,0,0,0,0,0,0,0,0,0,24,9,24,31,52,95,138,70,19,458,0,0,4,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,5,87,35,51,47,38,93,53,20,0,427,14,9,17,13,18,26,27,12,6,147,132,60,98,89,107,220,215,103,23,1055
LGA52100,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,55,27,31,51,46,79,104,50,28,477,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,49,68,59,53,53,41,13,3,441,10,10,5,0,15,6,15,7,10,74,173,84,105,118,110,147,156,75,42,1007
LGA52170,13,15,6,7,11,21,29,9,6,116,0,0,0,0,0,0,0,0,0,5,487,425,246,317,506,566,523,376,117,3555,7,4,5,4,7,3,0,0,0,32,3,4,0,6,5,3,0,0,0,18,5,0,0,0,5,4,3,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,6,4,0,6,0,0,19,3,0,0,10,4,0,6,0,0,27,692,543,571,450,518,459,366,152,52,3795,50,41,73,67,40,68,48,41,48,472,1252,1014,908,841,1094,1113,959,577,219,7970
LGA52240,0,3,0,6,3,4,8,0,0,21,0,0,0,0,0,0,0,0,0,0,58,27,27,60,65,84,82,54,10,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,135,51,53,59,69,74,36,16,7,494,28,14,10,16,18,24,20,13,0,139,215,87,90,132,159,178,134,85,15,1100
LGA52310,9,3,6,0,0,3,4,3,0,32,0,0,0,0,0,0,0,0,0,0,34,28,20,23,66,73,85,31,9,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,41,40,42,61,80,54,19,3,423,19,8,15,13,13,11,12,9,0,95,142,72,74,75,142,166,151,61,12,902
