LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA52310,44,47,51,1083,1226,1127,472,604,674,200,228,200,1023,1421,1466,0.8,0.7,0.7,927,1101,1236,2.5,2.3,2.3
LGA52380,51,52,54,542,775,725,419,534,1145,100,144,100,891,949,1333,0.8,0.7,0.6,680,875,682,2.1,1.8,1.5
LGA52450,38,37,37,997,995,1200,505,633,714,150,200,200,1212,1648,1971,0.7,0.8,0.7,977,1288,1496,2.4,2.5,2.5
LGA52520,39,38,39,867,946,1083,675,803,1015,120,223,230,1493,1767,2198,0.7,0.7,0.7,1168,1424,1812,2.5,2.5,2.6
LGA52590,43,48,51,1517,1700,1560,573,636,710,219,280,310,1282,1445,1704,0.7,0.7,0.7,1001,1189,1305,2.3,2.2,2.2
LGA52660,35,37,40,1879,1863,1690,637,670,777,300,335,340,1698,1749,2089,0.8,0.7,0.7,1504,1546,1746,2.7,2.7,2.6
LGA52730,46,49,50,1492,1573,1517,469,544,630,220,280,300,1032,1268,1491,0.8,0.8,0.7,855,1013,1134,2.3,2.3,2.3
LGA52800,30,30,32,1625,1733,1629,411,433,459,80,100,100,1040,1077,1032,1.1,1.1,1,1217,1264,1325,3.2,3,2.9
LGA52870,44,47,49,1460,1541,1562,497,563,658,200,250,290,1277,1425,1688,0.8,0.7,0.7,992,1155,1332,2.5,2.4,2.4
LGA52940,42,43,45,845,867,687,514,641,758,100,125,150,1029,1455,1531,0.7,0.7,0.7,834,1125,1197,2.3,2.4,2.3
LGA53010,40,42,44,813,585,515,492,662,802,95,110,150,947,1309,1670,0.7,0.6,0.7,803,1088,1260,2.3,2.2,2.3
LGA53080,37,47,50,655,604,600,786,612,654,120,150,150,1537,1235,1224,0.8,0.7,0.7,1164,794,827,2.2,1.9,1.8
LGA53150,42,43,44,2383,2500,2600,857,938,1075,370,415,420,2532,2780,3178,0.8,0.8,0.8,1837,2051,2288,2.5,2.5,2.5
LGA53220,32,34,34,364,457,1083,1811,1814,1734,100,110,105,2758,2536,2828,1,1,1,2693,2353,2506,3.1,3,2.9
LGA53290,38,40,42,1517,1679,1560,579,682,806,200,250,265,1401,1709,2014,0.8,0.8,0.7,1139,1363,1521,2.5,2.5,2.4
LGA53360,38,37,37,2167,2167,2103,737,816,967,270,334,330,1732,2011,2252,0.8,0.9,0.9,1384,1650,1979,2.4,2.4,2.5
LGA53430,41,42,42,2137,2167,2167,680,778,969,300,360,370,1867,2173,2591,0.8,0.8,0.8,1298,1585,1887,2.2,2.2,2.2
LGA53570,44,47,50,1600,1733,1700,469,567,670,220,270,270,1126,1329,1626,0.7,0.7,0.7,942,1123,1331,2.5,2.4,2.4
LGA53640,37,40,39,729,774,780,607,759,911,130,152,180,1312,1676,2034,0.7,0.7,0.7,987,1319,1482,2.5,2.5,2.5
LGA53710,41,45,49,1083,1105,1000,479,668,747,130,170,200,1125,1625,1784,0.8,0.7,0.7,854,1128,1217,2.4,2.3,2.2
LGA53780,33,34,36,1800,1800,1733,623,636,727,310,350,330,1561,1656,1930,0.8,0.8,0.8,1371,1482,1656,2.8,2.9,2.8
LGA53800,36,38,40,1649,1733,1519,604,662,777,240,271,260,1485,1674,2003,0.8,0.8,0.7,1219,1348,1536,2.6,2.5,2.4
LGA53920,26,28,29,1387,981,1600,310,359,363,50,100,90,752,809,786,1.4,1.2,1.3,964,1023,1098,3.7,3.2,3.3
LGA53990,37,38,40,1863,1842,1733,603,662,773,260,320,320,1686,1797,2067,0.8,0.7,0.7,1463,1553,1788,2.7,2.7,2.7
LGA54060,44,49,53,1660,1733,1537,517,547,626,200,250,250,1267,1351,1598,0.8,0.7,0.7,993,1085,1168,2.5,2.3,2.2
LGA54130,40,41,40,800,899,1004,597,794,870,137,170,186,1281,1637,1798,0.8,0.7,0.8,971,1284,1421,2.4,2.3,2.4
LGA54170,38,40,41,2000,2100,2080,718,776,906,370,415,400,2036,2230,2528,0.7,0.7,0.7,1780,1957,2165,2.8,2.8,2.7
LGA54200,38,39,40,1955,2000,1907,681,732,835,330,380,370,1778,1932,2215,0.7,0.7,0.7,1521,1661,1866,2.7,2.7,2.6
LGA54280,31,33,34,1955,1800,1600,897,974,1207,270,300,300,2279,2377,2825,0.9,0.8,0.8,1969,2080,2324,2.7,2.7,2.6
LGA54310,32,31,32,3000,2600,2000,1555,1350,1545,150,250,285,2949,2951,3462,1,0.9,0.9,2838,2626,3158,2.9,2.8,2.8
LGA54340,36,40,39,1083,1134,1055,523,667,712,150,185,200,1141,1400,1646,0.8,0.8,0.8,947,1205,1343,2.6,2.5,2.5
LGA54410,44,48,52,758,867,867,390,526,586,102,137,160,977,1292,1612,0.8,0.8,0.7,810,1016,1078,2.5,2.4,2.2
LGA54480,36,39,39,572,412,230,603,856,1103,100,134,105,1224,1589,2187,0.7,0.8,0.7,978,1342,1784,2.5,2.5,2.6
LGA54550,42,44,45,975,1083,1073,524,720,882,139,170,200,1152,1568,2004,0.7,0.7,0.7,938,1303,1446,2.4,2.4,2.3
LGA54620,38,43,46,770,776,650,617,784,860,115,150,148,989,1570,1875,0.8,0.8,0.7,911,1289,1293,2.4,2.3,2.2
LGA54690,41,47,51,508,542,748,497,640,759,91,99,129,907,1458,1524,0.7,0.7,0.7,843,1083,1341,2.3,2.3,2.2
LGA54760,41,44,44,650,650,546,528,746,1007,123,150,169,1174,1607,2225,0.8,0.7,0.8,913,1221,1820,2.4,2.3,2.5
LGA54830,32,32,33,1777,1813,1724,605,684,812,260,330,315,1451,1669,1996,0.8,0.8,0.8,1252,1471,1716,2.7,2.7,2.7
LGA54900,40,40,41,850,1000,1000,624,899,1001,125,170,180,1317,1944,2100,0.7,0.7,0.7,1012,1433,1715,2.3,2.3,2.4
LGA54970,36,36,37,750,679,413,1445,1597,1569,80,90,80,814,888,988,1,1,0.9,955,1111,966,2.6,2.6,2.5
LGA55040,32,35,33,800,867,683,1563,1443,1508,120,150,93,2243,2048,2401,0.9,0.9,0.9,1902,1810,1951,2.7,2.4,2.5
LGA55110,42,43,45,1950,1820,1733,494,555,631,270,320,300,1254,1435,1651,0.7,0.7,0.7,984,1162,1273,2.4,2.4,2.4
LGA55180,42,45,47,1300,1300,1300,492,594,675,150,200,230,1130,1394,1616,0.8,0.8,0.7,912,1118,1211,2.4,2.3,2.3
LGA55250,34,35,34,477,600,650,936,992,1010,100,125,115,1081,1399,1292,0.9,0.9,0.9,1017,1347,1243,2.5,2.5,2.4
LGA55320,40,41,42,2136,2167,2200,694,757,909,350,410,400,2130,2281,2654,0.8,0.7,0.7,1618,1834,2096,2.6,2.6,2.6
LGA55390,36,38,39,4000,199,397,292,776,1722,100,110,150,662,928,1208,1.3,1.3,1,919,1170,1260,3.2,2.9,2.1
LGA55460,36,38,41,1114,1127,1078,600,661,755,140,194,210,1438,1708,1869,0.8,0.8,0.7,1111,1332,1380,2.4,2.4,2.3
LGA55530,38,42,47,748,700,729,693,732,806,121,150,150,1413,1416,1937,0.8,0.7,0.7,1125,1234,1468,2.4,2.4,2.4
LGA55600,37,41,44,1073,1100,1000,587,707,803,150,200,225,1403,1760,1906,0.8,0.8,0.7,1205,1395,1445,2.6,2.5,2.3
LGA55670,36,38,42,758,542,500,543,560,742,155,218,190,1267,1357,1676,0.8,0.7,0.8,1083,1148,1443,2.5,2.4,2.3
LGA55740,38,40,42,2500,2700,3000,748,894,1030,296,325,300,2558,2887,3456,0.8,0.8,0.8,1489,1864,2132,2.3,2.4,2.4
LGA55810,36,42,42,607,442,542,543,526,863,134,150,175,924,1399,1375,0.9,0.8,0.8,987,1110,1204,2.5,2.3,2.1
LGA55880,39,42,47,464,499,650,618,684,868,73,92,145,1268,1451,1802,0.7,0.8,0.7,983,1227,1396,2.4,2.4,2.3
LGA55950,44,43,44,604,607,778,562,647,756,85,139,155,1181,1601,1875,0.8,0.8,0.8,992,1402,1547,2.3,2.4,2.3
LGA56090,41,42,44,1833,2000,1950,644,692,817,310,360,350,1781,1957,2270,0.8,0.8,0.7,1530,1664,1907,2.7,2.7,2.6
LGA56160,39,37,36,3050,0,1800,533,562,833,50,50,139,1031,1775,1674,0.9,0.9,0.9,949,1343,1649,2.5,2.6,2.6
LGA56230,43,44,45,1907,1863,1750,487,543,629,250,307,300,1324,1460,1742,0.8,0.8,0.7,1069,1218,1368,2.5,2.5,2.5
LGA56300,49,53,56,1387,1408,1400,456,515,581,149,183,254,977,1189,1381,0.8,0.7,0.8,821,955,1094,2.2,2.2,2.1
LGA56370,45,46,47,650,625,720,533,763,923,122,138,150,1068,1625,1875,0.7,0.7,0.7,949,1204,1483,2.3,2.3,2.3
LGA56460,37,40,43,1200,1200,1191,514,635,734,175,225,240,1227,1527,1802,0.8,0.7,0.7,998,1225,1310,2.4,2.4,2.2
LGA56580,40,41,43,3000,3250,3500,819,990,1178,450,550,520,2781,3559,4244,0.8,0.8,0.8,2498,2709,3226,2.8,2.8,2.8
LGA56620,28,29,30,0,0,0,271,307,369,21,55,65,596,705,878,1.1,1.2,1.2,955,1073,1228,3.4,3.8,3.5
LGA56730,40,42,43,1300,1408,1393,517,581,660,190,250,250,1242,1468,1631,0.8,0.8,0.7,1004,1178,1316,2.5,2.4,2.4
LGA56790,46,51,53,1500,1517,1300,433,530,607,184,210,250,938,1296,1450,0.8,0.8,0.7,762,961,1110,2.3,2.2,2.2
LGA56860,45,44,49,1400,758,1000,404,615,640,60,75,88,900,1333,1268,0.7,0.7,0.7,807,1068,1087,2.4,2.4,2.1
LGA56930,41,39,42,3500,2817,4167,1021,1061,1501,450,470,440,2923,4146,5012,0.8,0.8,0.7,2650,3481,4565,2.8,2.8,2.7
LGA57000,38,42,43,832,800,780,1328,1188,1305,155,180,170,1213,1699,2018,0.8,0.7,0.7,1042,1343,1652,2.6,2.3,2.3
LGA57080,31,31,33,2427,2167,1924,905,824,1053,430,430,400,2329,2217,2480,1,1,1,1738,1756,1931,1.8,1.9,1.8
LGA57140,44,50,52,1092,1074,867,414,484,585,146,180,200,923,1112,1340,0.8,0.7,0.7,763,886,996,2.4,2.2,2.2
LGA57210,43,46,48,1200,1222,1278,472,534,626,180,200,225,1082,1275,1491,0.8,0.8,0.8,884,1035,1181,2.4,2.4,2.3
LGA57280,31,31,32,2500,2693,1517,1421,1355,1532,130,227,225,2939,3014,3264,0.9,0.9,0.9,2813,2563,2865,2.8,2.7,2.7
LGA57350,48,52,54,750,1002,800,489,545,607,120,140,130,1044,1154,1445,0.8,0.7,0.7,869,906,1129,2.3,2.1,2.2
LGA57420,38,45,42,1205,1200,1029,745,676,926,250,231,250,1613,1507,2019,0.8,0.7,0.7,1341,1196,1655,2.4,2.2,2.2
LGA57490,34,34,36,2000,1950,1733,620,682,786,300,350,330,1657,1812,2077,0.7,0.7,0.7,1410,1555,1724,2.7,2.7,2.6
LGA57630,51,58,60,1690,2578,1517,536,509,675,80,120,70,1499,1375,1833,0.8,0.7,0.6,733,1083,949,2.1,1.8,1.5
LGA57700,35,32,33,2167,2145,1972,667,773,909,330,390,380,1762,1951,2242,0.8,0.8,0.8,1639,1859,2097,3,3,3
LGA57770,45,43,43,1603,1380,1387,570,648,787,160,200,220,1285,1399,1818,0.8,0.8,0.8,957,1083,1187,2.1,2.1,2.1
LGA57840,36,37,39,2167,2173,2200,780,840,1010,340,380,360,2263,2385,2761,0.8,0.8,0.8,1605,1780,2004,2.3,2.3,2.2
LGA57910,36,36,38,2000,2000,1967,689,766,912,310,350,340,1783,2001,2332,0.8,0.8,0.8,1353,1563,1786,2.4,2.4,2.4
LGA57980,38,39,40,2400,2500,2539,953,1064,1210,370,430,400,2648,2774,3242,0.9,0.9,0.9,1753,2013,2140,2.1,2.2,2.1
LGA58050,34,34,35,1950,2000,1842,654,717,840,320,360,340,1648,1813,2109,0.8,0.8,0.8,1441,1624,1843,2.8,2.8,2.8
LGA58190,42,38,46,650,867,563,454,661,701,100,129,161,1012,1589,1583,0.8,0.8,0.8,911,1273,1125,2.5,2.5,2.5
LGA58260,40,40,42,663,594,650,537,610,748,130,163,120,1183,1406,1696,0.7,0.7,0.8,978,1162,1366,2.3,2.4,2.3
LGA58330,47,51,54,1623,1600,1564,496,560,624,250,300,285,1267,1425,1579,0.8,0.7,0.7,1023,1167,1272,2.4,2.3,2.3
LGA58400,46,50,55,498,510,531,527,556,512,76,100,120,1057,1339,1125,0.7,0.7,0.6,808,914,864,2.3,2,1.9
LGA58470,30,26,37,683,2000,826,346,419,484,50,50,75,782,700,1312,1,1.1,0.9,855,966,1300,3,3.2,2.9
LGA58510,34,34,36,2167,2037,2000,696,766,987,320,360,350,1846,1998,2473,0.8,0.9,0.8,1359,1554,1844,2.2,2.3,2.2
LGA58540,40,45,48,500,867,537,542,706,963,100,120,150,1077,1602,2200,0.8,0.8,0.7,921,1225,1653,2.4,2.4,2.3
LGA58570,34,34,36,2263,2275,2197,867,992,1193,360,415,400,2309,2553,3050,0.9,0.9,0.9,1691,2019,2209,2.2,2.3,2.2
LGA58610,44,49,49,997,1000,875,460,539,686,138,178,195,1115,1274,1718,0.7,0.7,0.7,827,970,1183,2.4,2.2,2.2
LGA58680,43,47,49,1559,1668,1600,721,748,824,220,150,200,1447,1777,2100,0.8,0.7,0.7,1307,1542,1687,2.6,2.4,2.4
LGA58760,32,33,35,2110,2058,1900,656,709,817,350,380,350,1691,1875,2148,0.8,0.8,0.8,1514,1696,1894,2.9,2.9,2.8
LGA58820,41,45,48,1560,1636,1625,499,558,620,200,260,260,1427,1464,1701,0.8,0.8,0.7,1105,1218,1312,2.5,2.5,2.4
LGA58890,44,47,50,800,800,915,494,635,804,120,140,143,948,1324,1708,0.7,0.7,0.7,889,1143,1325,2.4,2.2,2.2
LGA59030,42,42,48,998,1019,400,806,1099,817,140,118,85,1583,2071,1465,0.7,0.7,0.7,1187,1562,1318,2.3,2.4,2.2
LGA59100,43,46,47,737,767,867,476,609,742,108,133,139,956,1402,1662,0.7,0.7,0.7,796,1091,1256,2.4,2.3,2.4
LGA59170,42,43,41,1083,1223,1285,629,825,1015,146,169,200,1320,1837,2243,0.7,0.8,0.7,1012,1458,1739,2.3,2.5,2.4
LGA59250,34,35,35,380,1800,0,1652,1345,1196,100,100,118,928,860,767,1.2,1.1,1,1144,1014,1109,3.4,2.9,2.4
LGA59310,37,41,44,940,1083,993,644,717,767,130,165,180,1403,1495,1757,0.7,0.7,0.7,1156,1235,1269,2.4,2.3,2.3
LGA59320,40,43,45,867,817,1148,566,748,741,130,150,150,1100,1600,1663,0.8,0.8,0.8,900,1228,1385,2.5,2.4,2.5
LGA59330,46,53,54,797,604,650,433,511,582,125,155,150,862,1166,1481,0.7,0.7,0.6,769,837,916,2.1,2,1.9
LGA59340,31,33,33,2167,2167,2000,794,864,1016,140,204,230,1714,1950,2082,1.1,1,1,1558,1704,1858,2.8,2.7,2.7
LGA59350,33,39,34,3033,325,223,1465,1483,1397,126,120,150,1187,2150,1583,1,0.8,0.9,1199,1292,1575,3,2.3,2.6
LGA59360,38,45,47,910,790,790,949,861,1128,138,150,150,1461,1807,2057,0.8,0.7,0.6,1125,1201,1370,2.4,2.2,2
LGA59370,47,51,56,1495,1500,1404,477,540,604,216,260,260,1170,1368,1538,0.8,0.7,0.7,914,1024,1127,2.4,2.2,2.2
LGA59499,40,41,40,0,0,0,490,434,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,36,40,40,0,0,1733,10766,2654,2123,0,0,0,0,0,1375,0,0,0.7,0,0,2250,0,0,1.7
