LGA_CODE_2021,C16_C_Lat_Da_Saint_0_14,C16_C_Lat_Da_Saint_15_24,C16_C_Lat_Da_Saint_25_34,C16_C_Lat_Da_Saint_35_44,C16_C_Lat_Da_Saint_45_54,C16_C_Lat_Da_Saint_55_64,C16_C_Lat_Da_Saint_65_74,C16_C_Lat_Da_Saint_75_84,C16_C_Lat_Da_Saint_85ov,C16_C_Lat_Da_Saint_Tot,C16_C_Luthe_0_14,C16_C_Luthe_15_24,C16_C_Luthe_25_34,C16_C_Luthe_35_44,C16_C_Luthe_45_54,C16_C_Luthe_55_64,C16_C_Luthe_65_74,C16_C_Luthe_75_84,C16_C_Luthe_85ov,C16_C_Luthe_Tot,C16_C_Ori_Orth_0_14,C16_C_Ori_Orth_15_24,C16_C_Ori_Orth_25_34,C16_C_Ori_Orth_35_44,C16_C_Ori_Orth_45_54,C16_C_Ori_Orth_55_64,C16_C_Ori_Orth_65_74,C16_C_Ori_Orth_75_84,C16_C_Ori_Orth_85ov,C16_C_Ori_Orth_Tot,C16_C_Oth_Prot_0_14,C16_C_Oth_Prot_15_24,C16_C_Oth_Prot_25_34,C16_C_Oth_Prot_35_44,C16_C_Oth_Prot_45_54,C16_C_Oth_Prot_55_64,C16_C_Oth_Prot_65_74,C16_C_Oth_Prot_75_84,C16_C_Oth_Prot_85ov,C16_C_Oth_Prot_Tot,C16_C_Pentec_0_14,C16_C_Pentec_15_24,C16_C_Pentec_25_34,C16_C_Pentec_35_44,C16_C_Pentec_45_54,C16_C_Pentec_55_64,C16_C_Pentec_65_74,C16_C_Pentec_75_84,C16_C_Pentec_85ov,C16_C_Pentec_Tot,C16_C_Pres_Ref_0_14,C16_C_Pres_Ref_15_24,C16_C_Pres_Ref_25_34,C16_C_Pres_Ref_35_44,C16_C_Pres_Ref_45_54,C16_C_Pres_Ref_55_64,C16_C_Pres_Ref_65_74,C16_C_Pres_Ref_75_84,C16_C_Pres_Ref_85ov,C16_C_Pres_Ref_Tot,C16_C_Sal_Army_0_14,C16_C_Sal_Army_15_24,C16_C_Sal_Army_25_34,C16_C_Sal_Army_35_44,C16_C_Sal_Army_45_54,C16_C_Sal_Army_55_64,C16_C_Sal_Army_65_74,C16_C_Sal_Army_75_84,C16_C_Sal_Army_85ov,C16_C_Sal_Army_Tot,C16_C_Sev_day_Adv_0_14,C16_C_Sev_day_Adv_15_24,C16_C_Sev_day_Adv_25_34,C16_C_Sev_day_Adv_35_44,C16_C_Sev_day_Adv_45_54,C16_C_Sev_day_Adv_55_64,C16_C_Sev_day_Adv_65_74,C16_C_Sev_day_Adv_75_84,C16_C_Sev_day_Adv_85ov,C16_C_Sev_day_Adv_Tot,C16_C_Unit_Chur_0_14,C16_C_Unit_Chur_15_24,C16_C_Unit_Chur_25_34,C16_C_Unit_Chur_35_44,C16_C_Unit_Chur_45_54,C16_C_Unit_Chur_55_64,C16_C_Unit_Chur_65_74,C16_C_Unit_Chur_75_84,C16_C_Unit_Chur_85ov,C16_C_Unit_Chur_Tot,C16_Chr_Ch_nfd_0_14,C16_Chr_Ch_nfd_15_24,C16_Chr_Ch_nfd_25_34,C16_Chr_Ch_nfd_35_44,C16_Chr_Ch_nfd_45_54,C16_Chr_Ch_nfd_55_64,C16_Chr_Ch_nfd_65_74,C16_Chr_Ch_nfd_75_84,C16_Chr_Ch_nfd_85ov,C16_Chr_Ch_nfd_Tot,C16_Chr_Oth_Ch_0_14,C16_Chr_Oth_Ch_15_24,C16_Chr_Oth_Ch_25_34,C16_Chr_Oth_Ch_35_44,C16_Chr_Oth_Ch_45_54,C16_Chr_Oth_Ch_55_64,C16_Chr_Oth_Ch_65_74,C16_Chr_Oth_Ch_75_84,C16_Chr_Oth_Ch_85ov,C16_Chr_Oth_Ch_Tot,C16_Chr_Tot_0_14,C16_Chr_Tot_15_24,C16_Chr_Tot_25_34,C16_Chr_Tot_35_44,C16_Chr_Tot_45_54,C16_Chr_Tot_55_64,C16_Chr_Tot_65_74,C16_Chr_Tot_75_84,C16_Chr_Tot_85ov,C16_Chr_Tot_Tot,C16_Hinduism_0_14,C16_Hinduism_15_24,C16_Hinduism_25_34,C16_Hinduism_35_44,C16_Hinduism_45_54,C16_Hinduism_55_64,C16_Hinduism_65_74,C16_Hinduism_75_84,C16_Hinduism_85ov,C16_Hinduism_Tot,C16_Islam_0_14,C16_Islam_15_24,C16_Islam_25_34,C16_Islam_35_44,C16_Islam_45_54,C16_Islam_55_64,C16_Islam_65_74,C16_Islam_75_84,C16_Islam_85ov,C16_Islam_Tot,C16_Judaism_0_14,C16_Judaism_15_24,C16_Judaism_25_34,C16_Judaism_35_44,C16_Judaism_45_54,C16_Judaism_55_64,C16_Judaism_65_74,C16_Judaism_75_84,C16_Judaism_85ov,C16_Judaism_Tot,C16_OR_AusAborTrad_0_14,C16_OR_AusAborTrad15_24,C16_OR_AusAborTrad25_34,C16_OR_AusAborTrad35_44,C16_OR_AusAborTrad45_54,C16_OR_AusAborTrad55_64,C16_OR_AusAborTrad65_74,C16_OR_AusAborTrad75_84,C16_OR_AusAborTrad85ov,C16_OR_AusAborTrade_Tot,C16_OR_Sikh_0_14,C16_OR_Sikh_15_24,C16_OR_Sikh_25_34,C16_OR_Sikh_35_44,C16_OR_Sikh_45_54,C16_OR_Sikh_55_64,C16_OR_Sikh_65_74,C16_OR_Sikh_75_84,C16_OR_Sikh_85ov,C16_OR_Sikh_Tot,C16_OR_Ot_Re_Gr_0_14,C16_OR_Ot_Re_Gr_15_24,C16_OR_Ot_Re_Gr_25_34,C16_OR_Ot_Re_Gr_35_44,C16_OR_Ot_Re_Gr_45_54,C16_OR_Ot_Re_Gr_55_64,C16_OR_Ot_Re_Gr_65_74,C16_OR_Ot_Re_Gr_75_84,C16_OR_Ot_Re_Gr_85ov,C16_OR_Ot_Re_Gr_Tot,C16_OthRel_Tot_0_14,C16_OthRel_Tot_15_24,C16_OthRel_Tot_25_34,C16_OthRel_Tot_35_44,C16_OthRel_Tot_45_54,C16_OthRel_Tot_55_64,C16_OthRel_Tot_65_74,C16_OthRel_Tot_75_84,C16_OthRel_Tot_85ov,C16_OthRel_Tot_Tot,C16_SBOSB_N_RA_0_14,C16_SBOSB_N_RA_15_24,C16_SBOSB_N_RA_25_34,C16_SBOSB_N_RA_35_44,C16_SBOSB_N_RA_45_54,C16_SBOSB_N_RA_55_64,C16_SBOSB_N_RA_65_74,C16_SBOSB_N_RA_75_84,C16_SBOSB_N_RA_85ov,C16_SBOSB_N_RA_Tot
LGA50840,4,0,0,0,0,3,0,0,0,9,4,3,0,0,0,4,9,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,14,0,0,0,0,0,0,6,3,0,13,6,3,0,9,18,19,24,4,0,89,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,3,0,0,11,9,5,5,9,19,40,44,32,4,166,27,9,5,10,19,21,17,0,0,112,0,0,0,0,0,0,3,0,0,3,278,156,118,203,348,441,461,214,62,2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,4,0,0,29,0,4,0,9,9,3,4,0,0,29,444,190,141,241,248,271,179,45,14,1774
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,0,5,4,9,7,4,6,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,12,17,14,16,12,6,91,9,3,3,7,5,3,9,0,0,40,0,0,0,0,0,0,0,0,0,0,90,27,36,68,94,79,98,60,14,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,9,0,3,4,0,0,0,0,0,0,12,67,38,37,25,40,23,29,10,3,263
LGA50980,8,3,0,6,4,0,3,0,0,22,11,0,7,12,6,6,9,0,0,44,0,0,0,0,0,0,0,0,0,3,36,14,25,25,18,11,6,3,4,144,50,47,23,20,28,30,0,3,0,210,11,5,20,23,21,53,22,3,0,158,0,0,0,0,5,4,0,0,0,14,5,8,3,4,6,3,3,0,0,35,54,16,28,41,47,59,36,8,0,296,84,36,42,58,32,21,18,0,0,306,0,0,4,0,3,0,0,0,0,10,1731,805,1060,1061,1126,973,480,147,26,7412,13,5,22,19,3,0,0,0,0,62,18,3,19,15,9,6,4,0,0,80,0,0,3,0,3,0,0,0,0,10,13,5,3,3,9,3,0,0,0,36,0,0,0,6,0,0,0,0,0,13,4,0,4,3,6,3,0,0,0,21,14,6,15,14,10,7,3,0,0,68,1514,657,1235,1003,708,550,173,37,11,5884
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,9,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,5,0,0,3,0,0,0,0,0,5,0,0,0,0,0,5,6,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,5,9,6,20,12,5,16,6,77,9,10,7,3,11,3,4,0,0,49,0,0,0,0,0,0,0,0,0,0,142,42,76,87,100,102,57,32,4,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,43,42,35,40,29,22,15,3,312
LGA51120,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,9,5,0,0,16,4,0,0,0,0,4,0,0,0,12,0,0,0,0,6,0,0,0,0,4,14,3,0,10,3,7,13,12,0,63,7,3,4,3,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,98,22,53,58,62,110,100,54,17,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,74,26,32,35,36,32,14,3,0,258
LGA51190,60,19,28,26,21,20,19,5,0,202,16,8,6,14,20,12,11,13,5,102,0,0,0,0,0,0,0,0,0,5,18,4,10,20,31,39,18,11,11,169,63,26,41,36,44,21,16,10,3,259,29,22,25,25,72,96,114,55,17,450,4,8,8,12,15,32,14,15,10,110,17,6,13,13,16,8,9,14,9,105,61,44,45,82,115,177,188,121,50,876,208,91,142,134,135,121,63,27,9,935,10,3,12,7,9,5,6,0,0,49,2403,1435,1540,1883,2426,2744,2280,1358,649,16705,47,3,69,49,13,4,3,0,0,197,54,17,58,38,20,8,3,0,0,203,6,3,6,3,0,5,0,0,0,22,0,0,3,0,0,0,0,0,0,5,17,4,34,16,0,0,0,0,0,65,8,22,24,19,13,6,7,7,0,111,25,24,59,36,16,6,12,7,0,178,2417,1725,1875,1404,1273,1054,605,227,111,10699
LGA51260,10,4,0,10,7,4,8,4,0,62,21,6,8,21,18,16,22,15,0,125,0,0,0,0,0,0,0,0,0,0,3,4,5,18,19,31,23,13,8,114,46,22,17,31,20,30,29,14,3,211,59,30,25,44,94,122,131,67,30,600,20,6,5,13,12,24,10,3,0,88,11,12,14,8,20,31,16,15,14,136,105,55,44,104,156,241,264,180,74,1222,274,149,121,139,164,140,105,33,8,1134,7,4,0,8,5,0,11,0,0,32,3117,1480,1223,2177,2713,2809,2897,1526,573,18521,9,3,43,9,6,3,4,0,0,94,36,22,37,34,14,8,9,0,0,158,0,0,0,0,3,0,8,0,0,14,3,0,0,4,0,0,0,0,0,6,11,3,25,4,0,4,0,0,0,38,26,6,19,31,14,10,7,3,0,113,39,8,36,33,14,12,7,3,0,160,3524,1671,1947,2114,1645,1355,848,307,120,13521
LGA51310,3,6,0,0,0,0,0,0,0,19,27,7,12,10,18,12,8,10,10,107,18,0,3,10,0,0,0,0,0,30,12,12,8,19,17,23,15,10,6,115,27,9,19,16,14,11,10,0,5,117,41,27,20,45,74,76,58,44,37,412,5,0,0,0,3,3,12,4,0,20,0,0,4,0,0,3,0,0,0,7,52,68,24,54,117,121,112,72,63,691,106,78,73,88,85,74,32,14,4,559,7,0,5,5,4,3,3,3,3,30,2823,1537,1002,1690,2273,1736,1297,1062,671,14088,67,35,88,66,20,14,14,7,0,308,30,13,41,21,18,6,0,0,0,127,23,16,5,11,21,17,12,9,0,111,0,0,0,0,0,0,0,0,0,0,10,8,13,9,7,0,0,0,0,49,12,11,15,18,19,12,3,5,0,98,29,18,27,23,27,16,4,5,0,149,2186,1317,1315,1401,1302,1037,427,205,94,9281
LGA51330,28,24,14,14,20,12,10,10,6,137,22,37,9,25,34,29,34,31,7,228,54,20,30,40,15,13,7,7,0,185,116,157,142,105,115,88,91,39,18,878,244,202,192,175,138,115,64,36,9,1166,327,264,252,281,302,303,245,133,68,2171,7,0,5,8,15,11,14,17,5,81,29,38,28,39,32,21,36,34,19,271,205,231,163,191,241,324,316,147,66,1873,747,650,595,557,473,420,215,82,24,3769,42,8,20,30,11,19,13,9,0,159,6375,5354,4474,4991,5662,5644,4538,2489,1058,40584,858,741,971,756,523,202,62,32,7,4147,1596,892,1067,857,490,165,90,23,9,5193,4,6,3,7,6,6,7,7,0,43,0,0,0,0,0,0,0,0,0,0,235,356,618,143,71,51,35,14,0,1537,43,51,67,51,59,44,34,20,3,368,280,406,688,200,133,89,71,34,7,1905,4852,5116,5272,3549,2819,2249,1175,415,123,25576
LGA51400,39,18,10,14,14,4,6,0,0,97,22,11,0,6,21,10,17,0,0,90,3,0,0,0,0,0,0,0,0,5,12,12,0,4,23,9,8,3,0,64,52,19,20,28,17,10,9,0,0,156,82,36,25,57,72,79,56,23,3,428,0,0,0,0,4,3,0,0,0,21,10,4,7,5,16,6,12,6,0,65,51,31,32,54,74,98,88,28,10,471,177,100,88,109,102,60,40,9,5,697,13,8,8,4,7,7,0,0,0,43,1875,1072,735,1257,1541,1230,919,324,76,9025,26,4,4,16,9,4,0,0,0,63,16,4,31,10,8,0,0,0,0,71,6,0,0,6,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,12,14,7,12,19,21,3,6,0,0,83,17,10,12,19,21,6,6,0,0,93,1837,950,890,938,798,495,259,69,13,6245
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,5,5,0,25,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,5,9,3,3,0,3,8,3,3,3,43,12,0,3,3,0,0,5,0,0,23,0,0,0,0,0,0,0,0,0,0,56,17,31,39,48,67,38,18,5,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,18,27,19,20,28,21,4,0,162
LGA51540,0,5,0,0,4,0,0,0,0,5,6,0,6,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,5,0,15,5,7,9,5,5,5,5,0,0,39,9,0,9,8,14,26,17,11,3,103,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,3,0,0,6,13,6,7,7,21,28,14,9,3,112,24,13,17,19,15,11,5,0,0,99,0,0,0,0,0,0,0,0,0,3,438,236,267,296,461,429,323,145,46,2635,5,0,9,10,0,0,4,0,0,28,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,5,0,0,5,0,3,3,0,0,0,16,461,226,313,241,205,173,87,31,3,1750
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,7,0,0,0,0,5,0,0,0,6,7,0,0,4,3,5,9,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,5,5,7,12,7,7,0,43,4,4,3,3,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,166,61,54,101,154,110,104,35,7,789,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,46,40,63,62,50,28,17,4,412
LGA51680,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,8,11,0,0,31,9,5,3,4,8,3,0,0,0,42,4,8,3,3,20,22,21,8,0,87,0,3,0,0,3,4,3,0,0,23,0,0,0,6,0,0,7,0,0,20,20,14,7,18,23,35,19,14,0,154,39,18,19,24,18,27,14,11,0,167,0,0,0,0,0,0,0,0,0,0,472,293,214,373,500,480,359,168,26,2877,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,13,0,0,0,5,0,5,0,0,0,13,468,261,191,249,316,218,125,39,4,1880
LGA51710,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,7,4,3,0,3,5,7,3,0,0,22,17,9,3,10,10,3,0,0,0,57,0,0,0,0,0,0,0,0,0,0,80,21,39,65,69,50,21,0,3,347,3,0,0,4,0,0,0,0,0,3,99,52,69,39,44,28,16,5,0,355,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,66,26,45,38,55,37,12,0,0,283
LGA51750,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,6,5,5,0,31,0,0,0,0,0,0,0,0,0,0,5,0,5,8,4,4,0,4,0,29,12,3,6,0,3,3,6,0,0,39,11,17,10,13,36,30,43,41,24,229,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,0,0,0,14,47,43,21,21,64,48,64,51,28,385,34,22,20,20,14,19,24,10,0,162,0,0,0,0,0,0,3,3,0,4,781,582,387,470,716,655,699,528,328,5147,20,15,14,17,25,4,0,0,0,90,20,10,13,10,8,6,0,0,0,70,10,0,0,3,4,9,3,7,8,45,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,15,0,13,6,3,12,5,5,0,5,51,3,13,10,9,14,11,0,0,5,65,616,706,536,387,396,352,245,121,71,3434
LGA51820,31,22,10,20,20,15,11,6,0,131,30,26,21,37,38,23,30,15,5,217,28,11,8,19,9,5,0,0,0,78,94,53,88,90,103,99,53,36,8,625,367,206,212,237,192,137,62,12,13,1429,190,100,165,185,303,329,245,145,49,1693,11,8,6,9,23,32,17,14,7,120,18,14,25,22,19,10,6,6,4,140,250,169,191,200,237,292,202,108,61,1714,739,455,591,568,413,291,133,57,20,3259,23,16,12,30,18,13,8,9,3,130,10169,6329,6778,8153,8351,6926,4979,2812,970,55463,364,125,405,312,129,59,19,10,6,1432,291,163,269,216,111,60,40,13,0,1158,12,7,11,15,9,8,8,4,0,75,3,0,0,0,0,0,0,0,0,14,60,58,126,30,16,19,6,4,0,337,71,39,85,86,76,52,27,12,3,460,137,99,218,121,98,72,40,18,3,806,8036,5074,7040,5748,4026,2545,1113,396,144,34117
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,3,9,7,0,0,0,31,0,0,0,0,0,0,0,0,0,0,85,42,45,41,53,63,45,21,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,15,5,8,4,0,0,69
LGA51890,4,0,4,4,0,0,0,0,0,15,3,0,0,4,3,0,0,0,0,16,0,0,4,0,0,0,0,0,0,5,0,0,5,0,5,14,6,9,0,36,0,4,0,6,3,5,7,3,0,20,3,3,3,4,11,33,26,6,4,103,0,0,0,4,10,16,0,6,0,44,0,0,0,0,4,3,0,0,0,15,38,25,20,39,37,72,77,20,22,348,56,24,25,31,28,36,23,8,0,229,0,0,0,4,0,0,0,0,0,7,686,453,404,484,691,845,681,297,96,4631,0,0,4,5,0,0,3,0,0,13,4,0,7,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,8,4,5,10,5,3,0,0,41,4,6,4,9,10,5,3,0,0,43,844,499,450,385,375,329,180,59,11,3138
LGA51960,0,4,0,0,4,0,0,0,0,7,0,5,0,0,5,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,5,10,3,0,4,4,0,0,0,26,0,0,0,0,0,3,8,0,0,18,0,0,3,6,7,26,12,3,0,63,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,7,12,14,14,11,19,7,0,0,79,54,19,29,22,18,21,4,0,0,168,4,5,0,0,9,6,0,0,0,21,307,183,205,210,285,250,137,38,5,1622,4,0,0,4,0,0,0,0,0,6,3,0,4,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,7,4,0,7,0,0,3,0,0,0,14,383,170,283,179,165,101,46,21,0,1336
LGA52030,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,0,0,3,7,0,8,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,3,11,18,21,6,0,61,0,0,3,0,0,3,8,5,0,16,0,0,0,0,0,0,0,0,0,9,54,22,33,45,81,146,122,46,8,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,28,43,42,50,61,40,10,0,349
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,11,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,8,6,9,23,18,15,5,100,0,0,3,0,0,6,3,0,0,8,0,0,0,0,0,0,0,0,0,0,91,36,66,68,89,126,98,65,23,659,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,98,48,37,48,32,35,20,11,3,329
LGA52170,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,3,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,5,6,0,9,40,8,0,0,9,5,8,0,0,0,35,18,9,7,13,21,28,30,13,11,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,8,18,42,35,34,25,10,230,36,13,7,20,12,19,12,0,0,117,0,0,0,0,0,0,0,0,0,3,690,419,351,372,610,551,514,258,150,3919,9,0,6,3,5,0,0,0,0,31,0,0,0,7,0,0,0,0,0,13,0,0,5,4,4,3,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,5,0,0,13,0,0,0,3,0,9,5,0,0,13,515,361,466,371,375,381,203,71,39,2784
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,0,9,4,4,0,3,5,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,6,0,3,0,6,9,0,0,0,24,3,5,4,5,4,3,6,4,0,24,0,0,0,0,0,0,0,0,0,0,87,26,60,76,80,114,97,47,9,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,8,83,31,40,42,41,48,22,9,3,331
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,10,8,9,8,0,39,6,4,0,4,6,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,75,19,27,54,66,87,78,28,7,434,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,52,29,40,26,50,40,28,9,0,269
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,4,7,0,12,28,11,7,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,8,5,6,12,10,0,0,57
