Date,Region,Population
31-03-2023,NT,251654
31-03-2012,National,22640943
30-06-2012,National,22733465
31-12-2012,National,22833922
31-12-2012,National,22928023
31-03-2013,National,23043004
30-06-2013,National,23128129
31-12-2013,National,23220231
31-12-2013,National,23297777
31-03-2014,National,23406193
30-06-2014,National,23475686
31-12-2014,National,23562901
31-12-2014,National,23640331
31-03-2015,National,23745629
30-06-2015,National,23815995
31-12-2015,National,23904271
31-12-2015,National,23984581
31-03-2016,National,24103425
30-06-2016,National,24190907
31-12-2016,National,24297530
31-12-2016,National,24385064
31-03-2017,National,24511409
30-06-2017,National,24592588
31-12-2017,National,24690071
31-12-2017,National,24759018
31-03-2018,National,24881751
30-06-2018,National,24963258
31-12-2018,National,25067399
31-12-2018,National,25146140
31-03-2019,National,25264932
30-06-2019,National,25334826
31-12-2019,National,25438073
31-12-2019,National,25520468
31-03-2020,National,25627924
30-06-2020,National,25649248
31-12-2020,National,25633341
31-12-2020,National,25630698
31-03-2021,National,25653005
30-06-2021,National,25685412
31-12-2021,National,25704010
31-12-2021,National,25771357
31-03-2022,National,25909850
30-06-2022,National,26013061
31-12-2022,National,26153408
31-12-2022,National,26291429
31-03-2023,National,26473055
31-03-2012,Qld,4545613
30-06-2012,Qld,4568687
31-12-2012,Qld,4592100
31-12-2012,Qld,4611304
31-03-2013,Qld,4634430
30-06-2013,Qld,4652824
31-12-2013,Qld,4670784
31-12-2013,Qld,4685439
31-03-2014,Qld,4705187
30-06-2014,Qld,4719653
31-12-2014,Qld,4734613
31-12-2014,Qld,4747263
31-03-2015,Qld,4764439
30-06-2015,Qld,4777692
31-12-2015,Qld,4791520
31-12-2015,Qld,4804933
31-03-2016,Qld,4826538
30-06-2016,Qld,4845152
31-12-2016,Qld,4865303
31-12-2016,Qld,4882939
31-03-2017,Qld,4906370
30-06-2017,Qld,4926380
31-12-2017,Qld,4945129
31-12-2017,Qld,4960965
31-03-2018,Qld,4985955
30-06-2018,Qld,5006623
31-12-2018,Qld,5027543
31-12-2018,Qld,5046434
31-03-2019,Qld,5070306
30-06-2019,Qld,5088847
31-12-2019,Qld,5110540
31-12-2019,Qld,5129741
31-03-2020,Qld,5154305
30-06-2020,Qld,5165613
31-12-2020,Qld,5173071
31-12-2020,Qld,5184329
31-03-2021,Qld,5199548
30-06-2021,Qld,5215814
31-12-2021,Qld,5235256
31-12-2021,Qld,5261012
31-03-2022,Qld,5294256
30-06-2022,Qld,5320711
31-12-2022,Qld,5350329
31-12-2022,Qld,5382028
31-03-2023,Qld,5418453
31-03-2012,NSW,7284982
30-06-2012,NSW,7304244
31-12-2012,NSW,7327614
31-12-2012,NSW,7353189
31-03-2013,NSW,7382957
30-06-2013,NSW,7404032
31-12-2013,NSW,7430904
31-12-2013,NSW,7454938
31-03-2014,NSW,7487834
30-06-2014,NSW,7508353
31-12-2014,NSW,7536277
31-12-2014,NSW,7562171
31-03-2015,NSW,7595731
30-06-2015,NSW,7616168
31-12-2015,NSW,7645324
31-12-2015,NSW,7671401
31-03-2016,NSW,7707412
30-06-2016,NSW,7732858
31-12-2016,NSW,7767915
31-12-2016,NSW,7795625
31-03-2017,NSW,7833463
30-06-2017,NSW,7855316
31-12-2017,NSW,7884752
31-12-2017,NSW,7900946
31-03-2018,NSW,7934688
30-06-2018,NSW,7954476
31-12-2018,NSW,7984525
31-12-2018,NSW,8003564
31-03-2019,NSW,8032991
30-06-2019,NSW,8046748
31-12-2019,NSW,8071350
31-12-2019,NSW,8088361
31-03-2020,NSW,8112001
30-06-2020,NSW,8110610
31-12-2020,NSW,8098905
31-12-2020,NSW,8094300
31-03-2021,NSW,8093015
30-06-2021,NSW,8097062
31-12-2021,NSW,8088503
31-12-2021,NSW,8101223
31-03-2022,NSW,8137688
30-06-2022,NSW,8166525
31-12-2022,NSW,8206865
31-12-2022,NSW,8243268
31-03-2023,NSW,8293965
31-03-2012,SA,1652716
30-06-2012,SA,1656725
31-12-2012,SA,1660198
31-12-2012,SA,1663082
31-03-2013,SA,1668056
30-06-2013,SA,1671488
31-12-2013,SA,1675313
31-12-2013,SA,1678052
31-03-2014,SA,1683544
30-06-2014,SA,1686945
31-12-2014,SA,1690133
31-12-2014,SA,1693107
31-03-2015,SA,1698433
30-06-2015,SA,1700668
31-12-2015,SA,1703703
31-12-2015,SA,1705937
31-03-2016,SA,1710334
30-06-2016,SA,1712843
31-12-2016,SA,1717275
31-12-2016,SA,1719580
31-03-2017,SA,1725253
30-06-2017,SA,1728673
31-12-2017,SA,1733055
31-12-2017,SA,1735654
31-03-2018,SA,1742255
30-06-2018,SA,1746137
31-12-2018,SA,1751849
31-12-2018,SA,1755715
31-03-2019,SA,1762889
30-06-2019,SA,1767395
31-12-2019,SA,1774006
31-12-2019,SA,1778928
31-03-2020,SA,1787847
30-06-2020,SA,1790355
31-12-2020,SA,1792178
31-12-2020,SA,1794514
31-03-2021,SA,1798586
30-06-2021,SA,1802601
31-12-2021,SA,1802068
31-12-2021,SA,1805733
31-03-2022,SA,1815442
30-06-2022,SA,1821086
31-12-2022,SA,1828860
31-12-2022,SA,1834846
31-03-2023,SA,1844616
31-03-2012,Vic,5625354
30-06-2012,Vic,5651091
31-12-2012,Vic,5680420
31-12-2012,Vic,5709586
31-03-2013,Vic,5744915
30-06-2013,Vic,5772669
31-12-2013,Vic,5804499
31-12-2013,Vic,5832585
31-03-2014,Vic,5869511
30-06-2014,Vic,5894917
31-12-2014,Vic,5927199
31-12-2014,Vic,5957512
31-03-2015,Vic,5995205
30-06-2015,Vic,6022322
31-12-2015,Vic,6057558
31-12-2015,Vic,6093049
31-03-2016,Vic,6138627
30-06-2016,Vic,6173172
31-12-2016,Vic,6205852
31-12-2016,Vic,6235781
31-03-2017,Vic,6278555
30-06-2017,Vic,6302608
31-12-2017,Vic,6333514
31-12-2017,Vic,6358210
31-03-2018,Vic,6398586
30-06-2018,Vic,6423038
31-12-2018,Vic,6454976
31-12-2018,Vic,6479695
31-03-2019,Vic,6518716
30-06-2019,Vic,6537305
31-12-2019,Vic,6567898
31-12-2019,Vic,6590050
31-03-2020,Vic,6616636
30-06-2020,Vic,6615046
31-12-2020,Vic,6591437
31-12-2020,Vic,6567195
31-03-2021,Vic,6555302
30-06-2021,Vic,6547822
31-12-2021,Vic,6552980
31-12-2021,Vic,6566092
31-03-2022,Vic,6604868
30-06-2022,Vic,6630258
31-12-2022,Vic,6670163
31-12-2022,Vic,6713075
31-03-2023,Vic,6766559
31-03-2012,Tas,511993
30-06-2012,Tas,511724
31-12-2012,Tas,511582
31-12-2012,Tas,511813
31-03-2013,Tas,512240
30-06-2013,Tas,512231
31-12-2013,Tas,512510
31-12-2013,Tas,513015
31-03-2014,Tas,513681
30-06-2014,Tas,513621
31-12-2014,Tas,513898
31-12-2014,Tas,514040
31-03-2015,Tas,514812
30-06-2015,Tas,515117
31-12-2015,Tas,515697
31-12-2015,Tas,515694
31-03-2016,Tas,516861
30-06-2016,Tas,517514
31-12-2016,Tas,519606
31-12-2016,Tas,521981
31-03-2017,Tas,524574
30-06-2017,Tas,526762
31-12-2017,Tas,529350
31-12-2017,Tas,531561
31-03-2018,Tas,534754
30-06-2018,Tas,537291
31-12-2018,Tas,540241
31-12-2018,Tas,542927
31-03-2019,Tas,545803
30-06-2019,Tas,547841
31-12-2019,Tas,549947
31-12-2019,Tas,553340
31-03-2020,Tas,555975
30-06-2020,Tas,557578
31-12-2020,Tas,559427
31-12-2020,Tas,561881
31-03-2021,Tas,564840
30-06-2021,Tas,567239
31-12-2021,Tas,566928
31-12-2021,Tas,568628
31-03-2022,Tas,570272
30-06-2022,Tas,571007
31-12-2022,Tas,571546
31-12-2022,Tas,572099
31-03-2023,Tas,572660
