REGION,QUARTER,POPULATION
Australia,2016-Q4,400483
Australia,2017-Q1,407984
Australia,2017-Q2,401681
Australia,2017-Q3,392541
Australia,2017-Q4,373954
Australia,2018-Q1,370342
Australia,2018-Q2,370670
Australia,2018-Q3,377328
Australia,2018-Q4,387122
Australia,2019-Q1,383181
Australia,2019-Q2,371568
Australia,2019-Q3,370674
Australia,2019-Q4,374328
Australia,2020-Q1,362992
Australia,2020-Q2,314422
Australia,2020-Q3,195268
Australia,2020-Q4,110230
Australia,2021-Q1,25081
Australia,2021-Q2,36164
Australia,2021-Q3,70669
Australia,2021-Q4,140659
Australia,2022-Q1,256845
Australia,2022-Q2,327649
Australia,2022-Q3,449398
Australia,2022-Q4,520072
Australia,2023-Q1,563205
