Age group,Sex,Date,NSW_Population,Vic_Population,Qld_Population,WA_Population,SA_Population,Tas_Population,ACT_Population,NT_Population,National_Population
0-4,Male,2013-12-31,503623,386623,325786,172699,104153,32265,27392,19777,1572491
0-4,Male,2014-03-31,252469,195064,163189,86827,52387,15998,13806,9879,789708
0-4,Male,2014-06-30,252860,195819,163160,87148,52482,15875,13875,9894,791208
0-4,Male,2014-12-31,507928,395419,326256,175090,105135,31547,28048,19647,1589264
0-4,Male,2015-03-31,254613,199168,162770,87950,52597,15659,14163,9831,796853
0-4,Male,2015-06-30,254532,199769,162472,88027,52527,15539,14181,9883,797038
0-4,Male,2015-12-31,511527,404722,324756,176341,105342,30934,28618,19662,1602121
0-4,Male,2016-03-31,256805,204919,162472,88484,52770,15445,14422,9814,805241
0-4,Male,2016-06-30,257546,206345,162602,88587,52774,15486,14556,9844,807893
0-4,Male,2016-12-31,515857,414271,324960,177901,105314,30927,29255,19733,1618510
0-4,Male,2017-03-31,257594,207725,162432,89255,52378,15386,14712,9794,809418
0-4,Male,2017-06-30,257052,207783,162518,89432,52221,15353,14697,9820,809010
0-4,Male,2017-12-31,512510,415468,324352,178728,104042,30693,29413,19388,1614854
0-4,Male,2018-03-31,255139,207619,161853,89280,51786,15368,14658,9638,805468
0-4,Male,2018-06-30,254429,207237,161660,89220,51562,15312,14598,9636,803776
0-4,Male,2018-12-31,508376,413773,322342,178378,102692,30608,29000,19036,1604447
0-4,Male,2019-03-31,253668,206514,160757,89367,51116,15281,14438,9458,800717
0-4,Male,2019-06-30,253365,206129,160529,89404,50989,15282,14393,9453,799652
0-4,Male,2019-12-31,505605,410863,319652,178710,101729,30630,28801,18616,1594828
0-4,Male,2020-03-31,251467,204405,159007,89185,50644,15288,14350,9239,793698
0-4,Male,2020-06-30,250224,202936,158375,88876,50354,15226,14219,9246,789571
0-4,Male,2020-12-31,495355,400156,313230,176339,99866,30338,28119,18379,1562024
0-4,Male,2021-03-31,246725,198475,155671,88016,49858,15164,13999,9179,777217
0-4,Male,2021-06-30,246488,197636,155549,87995,49838,15193,13890,9174,775899
0-4,Male,2021-12-31,493961,394625,312674,175660,99704,30385,27559,18096,1552921
0-4,Male,2022-03-31,247125,197172,157205,87744,50010,15181,13711,9022,777297
0-4,Male,2022-06-30,247063,196899,157847,87503,50058,15147,13642,8957,777241
0-4,Male,2022-12-31,494888,394729,317105,174417,100222,30115,27159,17704,1556578
0-4,Male,2023-03-31,247137,198184,158963,87640,50130,14995,13567,8722,779457
0-4,Total,2012-03-31,479476,360251,310223,160834,99114,31812,25093,18705,1485656
0-4,Total,2012-06-30,481593,362609,312314,162498,99619,31672,25356,18877,1494690
0-4,Total,2012-12-31,969798,733564,628980,329207,200673,63109,51542,37951,3015136
0-4,Total,2013-03-31,487296,370802,316117,166731,100803,31444,26101,19075,1518526
0-4,Total,2013-06-30,488548,372996,316926,167791,101111,31317,26274,19252,1524375
0-4,Total,2013-12-31,979782,752726,634932,337518,202639,62387,53006,38487,3061806
0-4,Total,2014-03-31,491358,379760,318040,169833,101787,30986,26764,19239,1537932
0-4,Total,2014-06-30,492039,381358,318229,170668,102079,30755,26862,19267,1541431
0-4,Total,2014-12-31,988145,769651,636704,342520,204724,61223,54265,38300,3095885
0-4,Total,2015-03-31,495156,387683,317703,171925,102463,30407,27346,19138,1552004
0-4,Total,2015-06-30,495113,388692,317204,172124,102397,30239,27384,19223,1552567
0-4,Total,2015-12-31,995222,787150,633696,344698,205526,60192,55138,38406,3120419
0-4,Total,2016-03-31,499605,398527,316990,172852,103023,30028,27819,19268,1568311
0-4,Total,2016-06-30,501131,401326,317329,172998,103072,30076,28054,19356,1573626
0-4,Total,2016-12-31,1003683,805673,634207,346997,205501,60097,56491,38553,3151748
0-4,Total,2017-03-31,501357,403982,316506,173948,102136,29941,28444,19155,1575735
0-4,Total,2017-06-30,500454,404033,316341,174070,101754,29884,28441,19199,1574432
0-4,Total,2017-12-31,997782,807869,631154,347898,202606,59677,56854,37871,3142218
0-4,Total,2018-03-31,496632,403693,314862,173709,100757,29835,28340,18735,1566815
0-4,Total,2018-06-30,495397,402734,314666,173495,100315,29687,28215,18653,1563415
0-4,Total,2018-12-31,988921,804489,627228,346391,200003,59358,56265,36863,3120014
0-4,Total,2019-03-31,493043,402058,312507,173181,99636,29603,28101,18278,1556654
0-4,Total,2019-06-30,492150,401151,312158,173177,99326,29596,28013,18221,1554029
0-4,Total,2019-12-31,981782,800017,621498,346304,198329,59321,56069,35985,3099778
0-4,Total,2020-03-31,488532,397926,309073,172997,98826,29585,27921,17858,1542954
0-4,Total,2020-06-30,486002,395162,307824,172340,98353,29507,27738,17847,1535006
0-4,Total,2020-12-31,962212,780375,608400,342111,195257,58826,54890,35361,3037898
0-4,Total,2021-03-31,478961,387298,302246,170775,97504,29411,27267,17642,1511346
0-4,Total,2021-06-30,478681,386026,301682,170773,97478,29435,27071,17604,1509001
0-4,Total,2021-12-31,959155,771017,607176,341135,194908,58801,53725,34781,3021172
0-4,Total,2022-03-31,480133,385395,305289,170487,97629,29382,26783,17458,1512788
0-4,Total,2022-06-30,480024,385259,306522,170115,97620,29327,26620,17335,1513049
0-4,Total,2022-12-31,961829,772598,615944,339097,195701,58329,52953,34368,3031251
0-4,Total,2023-03-31,480390,387997,308617,170419,97836,29061,26375,16998,1517904
10-14,Female,2012-03-31,216235,161492,144070,73457,47879,15719,10456,7961,677355
10-14,Female,2012-06-30,216027,161667,144225,73617,47797,15630,10439,7973,677461
10-14,Female,2012-12-31,432310,324636,288765,147794,95391,31025,20914,16051,1357055
10-14,Female,2013-03-31,216274,163009,144552,74126,47637,15453,10468,8075,679676
10-14,Female,2013-06-30,216365,163435,144561,74202,47541,15375,10450,8078,680087
10-14,Female,2013-12-31,433182,328400,290023,148367,94912,30378,20919,16037,1362380
10-14,Female,2014-03-31,216813,164906,145471,74198,47387,15038,10440,7959,682294
10-14,Female,2014-06-30,216785,165279,145634,74185,47278,14958,10423,7929,682553
10-14,Female,2014-12-31,434438,331768,292352,148244,94483,29756,20868,15727,1367803
10-14,Female,2015-03-31,217543,166546,146774,74112,47269,14823,10495,7793,685436
10-14,Female,2015-06-30,217629,166878,146998,74146,47227,14793,10526,7785,686064
10-14,Female,2015-12-31,437379,336909,295363,148886,94612,29617,21230,15582,1379740
10-14,Female,2016-03-31,219607,170019,148559,74803,47371,14814,10716,7753,693724
10-14,Female,2016-06-30,220152,171018,149161,74986,47432,14817,10786,7756,696242
10-14,Female,2016-12-31,444633,346062,301293,151615,95654,29849,21915,15644,1406924
10-14,Female,2017-03-31,224554,175109,152208,76690,48263,15073,11105,7847,710979
10-14,Female,2017-06-30,225947,176387,153137,77286,48517,15137,11172,7860,715571
10-14,Female,2017-12-31,456306,356866,309821,156463,97866,30608,22601,15900,1446684
10-14,Female,2018-03-31,230225,180477,156813,79225,49410,15466,11487,8010,731243
10-14,Female,2018-06-30,231663,181696,157999,79941,49730,15572,11579,8051,736363
10-14,Female,2018-12-31,467985,367574,319604,161584,100410,31548,23537,16211,1488711
10-14,Female,2019-03-31,236297,185807,161689,81727,50702,15989,11951,8138,752430
10-14,Female,2019-06-30,237747,186987,162824,82269,51021,16137,12088,8146,757349
10-14,Female,2019-12-31,480072,378448,329316,166549,102787,32428,24730,16336,1530924
10-14,Female,2020-03-31,242340,191473,166635,84411,51845,16319,12634,8224,774011
10-14,Female,2020-06-30,243524,192458,167629,85038,52052,16367,12790,8250,778240
10-14,Female,2020-12-31,489333,385713,336819,171397,104532,32830,25883,16485,1563251
10-14,Female,2021-03-31,245936,193369,169385,86428,52512,16470,13101,8230,785561
10-14,Female,2021-06-30,246768,193745,170108,86908,52676,16508,13218,8193,788254
10-14,Female,2021-12-31,494403,388562,342364,174307,105476,32865,26487,16404,1581130
10-14,Female,2022-03-31,248156,195074,172345,87583,52942,16416,13344,8269,794262
10-14,Female,2022-06-30,248840,195801,172861,87893,53064,16392,13373,8330,796687
10-14,Female,2022-12-31,498603,394095,346947,176750,106333,32706,26984,16725,1599399
10-14,Female,2023-03-31,249916,198294,174182,89037,53279,16295,13637,8412,803174
10-14,Male,2012-03-31,228511,169893,151344,76443,50058,16772,10764,8576,712453
10-14,Male,2012-06-30,228283,169920,151609,76508,50031,16695,10747,8570,712452
10-14,Male,2012-12-31,456910,340871,303871,153190,99890,33103,21510,17185,1426709
10-14,Male,2013-03-31,228719,170958,152404,76758,49827,16415,10753,8581,714503
10-14,Male,2013-06-30,228827,171263,152465,76792,49775,16324,10747,8549,714828
10-14,Male,2013-12-31,458376,344376,305981,153717,99628,32402,21586,16970,1433199
10-14,Male,2014-03-31,229569,172981,153569,76956,49780,16098,10825,8429,718281
10-14,Male,2014-06-30,229686,173430,153731,76986,49771,16033,10847,8382,718938
10-14,Male,2014-12-31,460482,348968,308579,154399,99330,31914,21789,16730,1442333
10-14,Male,2015-03-31,230843,175572,154849,77396,49619,15900,11005,8332,723584
10-14,Male,2015-06-30,231053,176218,155016,77510,49533,15848,11057,8323,724624
10-14,Male,2015-12-31,464073,355798,311597,155542,99338,31713,22391,16626,1457214
10-14,Male,2016-03-31,233034,179459,156764,78145,49813,15863,11320,8268,732733
10-14,Male,2016-06-30,233593,180505,157403,78394,49923,15874,11384,8248,735448
10-14,Male,2016-12-31,472518,365847,318260,158673,100462,31989,23163,16623,1487777
10-14,Male,2017-03-31,238825,185315,161015,80383,50595,16121,11808,8365,752549
10-14,Male,2017-06-30,240312,186767,162199,81120,50807,16183,11931,8387,757830
10-14,Male,2017-12-31,485404,378078,328850,164604,102516,32780,24141,16862,1533486
10-14,Male,2018-03-31,244977,191285,166708,83502,51712,16587,12241,8472,775611
10-14,Male,2018-06-30,246390,192646,168184,84339,51999,16725,12352,8534,781300
10-14,Male,2018-12-31,497264,389574,340675,170639,104835,33797,25150,17127,1579340
10-14,Male,2019-03-31,250843,196922,172629,86410,52849,17128,12784,8544,798256
10-14,Male,2019-06-30,252185,198157,173913,87103,53186,17255,12962,8578,803493
10-14,Male,2019-12-31,509022,400467,351551,176329,107456,34774,26413,17264,1623585
10-14,Male,2020-03-31,256794,202347,177726,89326,54387,17491,13487,8711,820425
10-14,Male,2020-06-30,257935,203240,178661,89977,54637,17572,13630,8771,824582
10-14,Male,2020-12-31,518391,407389,358679,181580,109612,35276,27516,17632,1656396
10-14,Male,2021-03-31,260686,204289,180221,91660,55007,17716,13908,8847,832498
10-14,Male,2021-06-30,261630,204687,180836,92240,55146,17761,14005,8847,835320
10-14,Male,2021-12-31,524134,410037,362893,184831,110571,35288,28100,17720,1673917
10-14,Male,2022-03-31,263080,205696,182135,92772,55542,17591,14099,8949,840039
10-14,Male,2022-06-30,263752,206290,182429,93070,55677,17543,14151,8988,842078
10-14,Male,2022-12-31,529073,415215,365986,187160,111766,34910,28533,17914,1690911
10-14,Male,2023-03-31,265390,209074,183632,94206,56171,17358,14367,8926,849302
10-14,Total,2012-03-31,444746,331385,295414,149900,97937,32491,21220,16537,1389808
10-14,Total,2012-06-30,444310,331587,295834,150125,97828,32325,21186,16543,1389913
10-14,Total,2012-12-31,889220,665507,592636,300984,195281,64128,42424,33236,2783764
10-14,Total,2013-03-31,444993,333967,296956,150884,97464,31868,21221,16656,1394179
10-14,Total,2013-06-30,445192,334698,297026,150994,97316,31699,21197,16627,1394915
10-14,Total,2013-12-31,891558,672776,596004,302084,194540,62780,42505,33007,2795579
10-14,Total,2014-03-31,446382,337887,299040,151154,97167,31136,21265,16388,1400575
10-14,Total,2014-06-30,446471,338709,299365,151171,97049,30991,21270,16311,1401491
10-14,Total,2014-12-31,894920,680736,600931,302643,193813,61670,42657,32457,2810136
10-14,Total,2015-03-31,448386,342118,301623,151508,96888,30723,21500,16125,1409020
10-14,Total,2015-06-30,448682,343096,302014,151656,96760,30641,21583,16108,1410688
10-14,Total,2015-12-31,901452,692707,606960,304428,193950,61330,43621,32208,2836954
10-14,Total,2016-03-31,452641,349478,305323,152948,97184,30677,22036,16021,1426457
10-14,Total,2016-06-30,453745,351523,306564,153380,97355,30691,22170,16004,1431690
10-14,Total,2016-12-31,917151,711909,619553,310288,196116,61838,45078,32267,2894701
10-14,Total,2017-03-31,463379,360424,313223,157073,98858,31194,22913,16212,1463528
10-14,Total,2017-06-30,466259,363154,315336,158406,99324,31320,23103,16247,1473401
10-14,Total,2017-12-31,941710,734944,638671,321067,200382,63388,46742,32762,2980170
10-14,Total,2018-03-31,475202,371762,323521,162727,101122,32053,23728,16482,1506854
10-14,Total,2018-06-30,478053,374342,326183,164280,101729,32297,23931,16585,1517663
10-14,Total,2018-12-31,965249,757148,660279,332223,205245,65345,48687,33338,3068051
10-14,Total,2019-03-31,487140,382729,334318,168137,103551,33117,24735,16682,1550686
10-14,Total,2019-06-30,489932,385144,336737,169372,104207,33392,25050,16724,1560842
10-14,Total,2019-12-31,989094,778915,680867,342878,210243,67202,51143,33600,3154509
10-14,Total,2020-03-31,499134,393820,344361,173737,106232,33810,26121,16935,1594436
10-14,Total,2020-06-30,501459,395698,346290,175015,106689,33939,26420,17021,1602822
10-14,Total,2020-12-31,1007724,793102,695498,352977,214144,68106,53399,34117,3219647
10-14,Total,2021-03-31,506622,397658,349606,178088,107519,34186,27009,17077,1618059
10-14,Total,2021-06-30,508398,398432,350944,179148,107822,34269,27223,17040,1623574
10-14,Total,2021-12-31,1018537,798599,705257,359138,216047,68153,54587,34124,3255047
10-14,Total,2022-03-31,511236,400770,354480,180355,108484,34007,27443,17218,1634301
10-14,Total,2022-06-30,512592,402091,355290,180963,108741,33935,27524,17318,1638765
10-14,Total,2022-12-31,1027676,809310,712933,363910,218099,67616,55517,34639,3290310
10-14,Total,2023-03-31,515306,407368,357814,183243,109450,33653,28004,17338,1652476
15-19,Female,2012-03-31,224341,174830,148914,75787,51463,16138,12039,7503,711071
15-19,Female,2012-06-30,224228,174805,148926,75873,51316,16077,11913,7468,710664
15-19,Female,2012-12-31,449412,350871,299310,152065,102412,31956,23865,14944,1424961
15-19,Female,2013-03-31,225385,176227,150400,76261,51164,15931,11981,7431,714842
15-19,Female,2013-06-30,225166,176034,150436,76096,51021,15847,11906,7389,713960
15-19,Female,2013-12-31,450786,353850,301637,152424,102112,31597,24011,14684,1431234
15-19,Female,2014-03-31,225827,178160,151000,76366,51262,15829,12156,7283,717950
15-19,Female,2014-06-30,225259,177915,150596,76186,51189,15847,12053,7209,716320
15-19,Female,2014-12-31,451364,358003,300816,152039,102234,31420,24343,14348,1434700
15-19,Female,2015-03-31,226360,180288,150311,76052,51172,15641,12324,7079,719294
15-19,Female,2015-06-30,225762,179963,149854,75866,50978,15549,12273,7046,717359
15-19,Female,2015-12-31,452506,361919,300011,151380,101805,30877,24560,14109,1437305
15-19,Female,2016-03-31,226934,182264,150595,75639,50891,15400,12383,7026,721200
15-19,Female,2016-06-30,226433,181676,150549,75442,50758,15311,12296,7009,719579
15-19,Female,2016-12-31,453894,364406,301901,150818,101446,30598,24716,14094,1442085
15-19,Female,2017-03-31,227794,183203,151420,75394,50786,15333,12594,7043,723675
15-19,Female,2017-06-30,227053,182251,151441,75232,50618,15281,12543,7056,721582
15-19,Female,2017-12-31,454680,365671,303529,150471,100927,30439,25119,14214,1445261
15-19,Female,2018-03-31,228113,183848,152227,75390,50451,15226,12707,7159,725228
15-19,Female,2018-06-30,227669,183218,152096,75312,50211,15234,12692,7152,723689
15-19,Female,2018-12-31,456255,367794,305482,150758,100274,30198,25408,14362,1450738
15-19,Female,2019-03-31,228514,185344,153464,75591,50168,15026,12708,7162,728083
15-19,Female,2019-06-30,227336,184226,153318,75528,49924,14977,12566,7154,725135
15-19,Female,2019-12-31,453000,367473,307032,151623,99559,29821,25064,14416,1448199
15-19,Female,2020-03-31,226003,183232,154061,76093,49811,14909,12532,7271,724020
15-19,Female,2020-06-30,224626,181521,153830,75958,49548,14866,12401,7312,720171
15-19,Female,2020-12-31,446881,359191,308230,152615,98528,29652,25145,14668,1435123
15-19,Female,2021-03-31,222841,178709,154643,76744,49072,14804,12796,7325,717042
15-19,Female,2021-06-30,222554,178617,154990,77023,48961,14750,13038,7292,717331
15-19,Female,2021-12-31,448661,359844,313536,155700,98370,29841,25636,14649,1446456
15-19,Female,2022-03-31,228634,184234,159509,79237,50063,15128,12803,7435,737158
15-19,Female,2022-06-30,230890,185435,160743,80071,50395,15240,12716,7463,743071
15-19,Female,2022-12-31,469504,377982,327089,163362,102347,30779,25391,15054,1511749
15-19,Female,2023-03-31,239555,193892,166607,83508,52182,15554,12829,7615,771870
15-19,Male,2012-03-31,237871,183070,156030,79982,54153,17551,12691,8464,749922
15-19,Male,2012-06-30,237440,183119,156201,80124,54055,17503,12641,8448,749640
15-19,Male,2012-12-31,475079,367967,313466,160819,107910,34794,25224,17007,1502481
15-19,Male,2013-03-31,237765,185156,157228,80776,53954,17311,12612,8494,753402
15-19,Male,2013-06-30,237202,185216,157117,80709,53808,17240,12507,8458,752362
15-19,Male,2013-12-31,475201,371985,314442,161269,107688,34226,25140,16713,1506863
15-19,Male,2014-03-31,238279,187370,157340,80720,54034,17046,12652,8215,755756
15-19,Male,2014-06-30,237899,187376,156864,80572,53923,16968,12560,8132,754389
15-19,Male,2014-12-31,476344,375944,313297,160675,107631,33668,25108,16080,1508924
15-19,Male,2015-03-31,238497,188710,156456,80196,53834,16759,12613,7906,755054
15-19,Male,2015-06-30,237762,188047,155985,79898,53579,16678,12544,7922,752497
15-19,Male,2015-12-31,476913,378051,312427,159558,106818,33201,25133,15785,1508042
15-19,Male,2016-03-31,239379,190463,156733,79714,53377,16573,12700,7866,756878
15-19,Male,2016-06-30,239059,190121,156725,79391,53125,16524,12610,7912,755575
15-19,Male,2016-12-31,479453,380912,315445,158683,106216,33017,25211,15911,1515072
15-19,Male,2017-03-31,241078,191474,158864,79376,53236,16534,12775,7961,761412
15-19,Male,2017-06-30,240450,190701,159219,79199,53080,16480,12687,8031,759961
15-19,Male,2017-12-31,482317,382659,318767,158242,106013,32864,25714,15958,1522745
15-19,Male,2018-03-31,242796,192702,159928,79337,53088,16331,13082,7951,765319
15-19,Male,2018-06-30,242753,192288,159932,79263,52880,16298,13114,7978,764607
15-19,Male,2018-12-31,487678,386518,321060,158928,105745,32357,26339,15964,1534781
15-19,Male,2019-03-31,244864,195297,161306,79904,52961,16106,13213,7951,771695
15-19,Male,2019-06-30,244004,194556,161234,79966,52768,16028,13080,7965,769691
15-19,Male,2019-12-31,486509,388814,323107,160730,105091,31921,26287,15873,1538507
15-19,Male,2020-03-31,243012,194451,162132,80865,52715,16029,13101,7948,770337
15-19,Male,2020-06-30,241491,192616,161984,80793,52390,15974,12968,7962,766260
15-19,Male,2020-12-31,479957,380820,324691,162183,104359,31930,26110,15884,1526103
15-19,Male,2021-03-31,239084,189203,162944,81497,52035,15975,13200,7907,761933
15-19,Male,2021-06-30,238716,188820,163340,81775,51943,15959,13387,7853,761881
15-19,Male,2021-12-31,481171,380894,330870,165434,104191,32253,26555,15766,1537324
15-19,Male,2022-03-31,245527,194489,168485,84167,52954,16331,13455,7993,783505
15-19,Male,2022-06-30,248471,195914,170025,85137,53274,16436,13420,8028,790812
15-19,Male,2022-12-31,505601,399684,346362,173905,108223,33228,27147,16236,1610616
15-19,Male,2023-03-31,257808,204921,176782,89059,55154,16855,13759,8290,822750
15-19,Total,2012-03-31,462212,357900,304944,155769,105616,33689,24730,15967,1460993
15-19,Total,2012-06-30,461668,357924,305127,155997,105371,33580,24554,15916,1460304
15-19,Total,2012-12-31,924491,718838,612776,312884,210322,66750,49089,31951,2927442
15-19,Total,2013-03-31,463150,361383,307628,157037,105118,33242,24593,15925,1468244
15-19,Total,2013-06-30,462368,361250,307553,156805,104829,33087,24413,15847,1466322
15-19,Total,2013-12-31,925987,725835,616079,313693,209800,65823,49151,31397,2938097
15-19,Total,2014-03-31,464106,365530,308340,157086,105296,32875,24808,15498,1473706
15-19,Total,2014-06-30,463158,365291,307460,156758,105112,32815,24613,15341,1470709
15-19,Total,2014-12-31,927708,733947,614113,312714,209865,65088,49451,30428,2943624
15-19,Total,2015-03-31,464857,368998,306767,156248,105006,32400,24937,14985,1474348
15-19,Total,2015-06-30,463524,368010,305839,155764,104557,32227,24817,14968,1469856
15-19,Total,2015-12-31,929419,739970,612438,310938,208623,64078,49693,29894,2945347
15-19,Total,2016-03-31,466313,372727,307328,155353,104268,31973,25083,14892,1478078
15-19,Total,2016-06-30,465492,371797,307274,154833,103883,31835,24906,14921,1475154
15-19,Total,2016-12-31,933347,745318,617346,309501,207662,63615,49927,30005,2957157
15-19,Total,2017-03-31,468872,374677,310284,154770,104022,31867,25369,15004,1485087
15-19,Total,2017-06-30,467503,372952,310660,154431,103698,31761,25230,15087,1481543
15-19,Total,2017-12-31,936997,748330,622296,308713,206940,63303,50833,30172,2968006
15-19,Total,2018-03-31,470909,376550,312155,154727,103539,31557,25789,15110,1490547
15-19,Total,2018-06-30,470422,375506,312028,154575,103091,31532,25806,15130,1488296
15-19,Total,2018-12-31,943933,754312,626542,309686,206019,62555,51747,30326,2985519
15-19,Total,2019-03-31,473378,380641,314770,155495,103129,31132,25921,15113,1499778
15-19,Total,2019-06-30,471340,378782,314552,155494,102692,31005,25646,15119,1494826
15-19,Total,2019-12-31,939509,756287,630139,312353,204650,61742,51351,30289,2986706
15-19,Total,2020-03-31,469015,377683,316193,156958,102526,30938,25633,15219,1494357
15-19,Total,2020-06-30,466117,374137,315814,156751,101938,30840,25369,15274,1486431
15-19,Total,2020-12-31,926838,740011,632921,314798,202887,61582,51255,30552,2961226
15-19,Total,2021-03-31,461925,367912,317587,158241,101107,30779,25996,15232,1478975
15-19,Total,2021-06-30,461270,367437,318330,158798,100904,30709,26425,15145,1479212
15-19,Total,2021-12-31,929832,740738,644406,321134,202561,62094,52191,30415,2983780
15-19,Total,2022-03-31,474161,378723,327994,163404,103017,31459,26258,15428,1520663
15-19,Total,2022-06-30,479361,381349,330768,165208,103669,31676,26136,15491,1533883
15-19,Total,2022-12-31,975105,777666,673451,337267,210570,64007,52538,31290,3122365
15-19,Total,2023-03-31,497363,398813,343389,172567,107336,32409,26588,15905,1594620
20-24,Female,2012-03-31,246638,203466,161785,87463,56093,15549,16510,8975,796553
20-24,Female,2012-06-30,246563,203561,162604,87756,56103,15435,16518,9014,797627
20-24,Female,2012-12-31,494707,408959,326805,176873,112042,30616,32874,18300,1601315
20-24,Female,2013-03-31,248848,206154,164376,89054,56092,15217,16489,9234,805531
20-24,Female,2013-06-30,248864,206657,164718,89034,56030,15144,16359,9281,806152
20-24,Female,2013-12-31,501115,416446,330881,177561,112104,30220,32504,18588,1619545
20-24,Female,2014-03-31,252450,210170,166213,88374,56189,15046,16235,9286,814023
20-24,Female,2014-06-30,252461,210324,166480,87610,56163,14991,16108,9254,813450
20-24,Female,2014-12-31,507840,424131,333354,173951,112386,30097,32170,18264,1632313
20-24,Female,2015-03-31,255691,214129,167587,86413,56301,15129,16044,9050,820405
20-24,Female,2015-06-30,255682,214482,167670,85787,56175,15111,15936,9000,819905
20-24,Female,2015-12-31,515032,433689,335860,170703,112595,30223,31914,17737,1647871
20-24,Female,2016-03-31,259768,219795,168753,84938,56363,15133,16126,8744,829677
20-24,Female,2016-06-30,259408,220604,168848,84076,56277,15108,16075,8633,829100
20-24,Female,2016-12-31,523110,445139,337821,167691,112289,30668,32932,17109,1666912
20-24,Female,2017-03-31,263768,225630,169416,83430,56273,15509,16957,8540,839606
20-24,Female,2017-06-30,263108,225683,169180,82972,56191,15555,16993,8493,838262
20-24,Female,2017-12-31,529706,454375,338510,165200,112474,31472,34799,16884,1683593
20-24,Female,2018-03-31,266708,229312,169838,82214,56409,15870,17681,8304,846425
20-24,Female,2018-06-30,266260,228839,169718,81788,56354,15877,17713,8353,844991
20-24,Female,2018-12-31,535121,458927,339985,163923,112871,32121,35626,16561,1695323
20-24,Female,2019-03-31,268462,230991,170288,82226,56626,16215,17940,8256,851104
20-24,Female,2019-06-30,266364,228814,169911,82029,56474,16155,17778,8244,845871
20-24,Female,2019-12-31,528236,453347,338963,164877,112390,32041,35057,16602,1681720
20-24,Female,2020-03-31,261488,224197,169078,82867,56021,15976,17266,8250,835246
20-24,Female,2020-06-30,258376,221289,167911,82332,55724,15815,17322,8161,827034
20-24,Female,2020-12-31,503480,424637,331356,163191,110194,31466,34227,16255,1615015
