Date,Sex,Age group,Region,Population
30-06-2014,Total,50-54,WA,166359
31-12-2014,Total,50-54,WA,166370
31-12-2014,Total,50-54,WA,166367
31-03-2015,Total,50-54,WA,166309
30-06-2015,Total,50-54,WA,166229
31-12-2015,Total,50-54,WA,165931
31-12-2015,Total,50-54,WA,165622
31-03-2016,Total,50-54,WA,165415
30-06-2016,Total,50-54,WA,165092
31-12-2016,Total,50-54,WA,165181
31-12-2016,Total,50-54,WA,165117
31-03-2017,Total,50-54,WA,165145
30-06-2017,Total,50-54,WA,165214
31-12-2017,Total,50-54,WA,165265
31-12-2017,Total,50-54,WA,165226
31-03-2018,Total,50-54,WA,165342
30-06-2018,Total,50-54,WA,165411
31-12-2018,Total,50-54,WA,166077
31-12-2018,Total,50-54,WA,166750
31-03-2019,Total,50-54,WA,167263
30-06-2019,Total,50-54,WA,167935
31-12-2019,Total,50-54,WA,168917
31-12-2019,Total,50-54,WA,170013
31-03-2020,Total,50-54,WA,171106
30-06-2020,Total,50-54,WA,171929
31-12-2020,Total,50-54,WA,173334
31-12-2020,Total,50-54,WA,174752
31-03-2021,Total,50-54,WA,176269
30-06-2021,Total,50-54,WA,177819
31-12-2021,Total,50-54,WA,178825
31-12-2021,Total,50-54,WA,180178
31-03-2022,Total,50-54,WA,181435
30-06-2022,Total,50-54,WA,182761
31-12-2022,Total,50-54,WA,183506
31-12-2022,Total,50-54,WA,184121
31-03-2023,Total,50-54,WA,184711
31-03-2012,Male,0-4,NSW,246253
30-06-2012,Male,0-4,NSW,247469
31-12-2012,Male,0-4,NSW,248544
31-12-2012,Male,0-4,NSW,249599
31-03-2013,Male,0-4,NSW,250339
30-06-2013,Male,0-4,NSW,251034
31-12-2013,Male,0-4,NSW,251514
31-12-2013,Male,0-4,NSW,252109
31-03-2014,Male,0-4,NSW,252469
30-06-2014,Male,0-4,NSW,252860
31-12-2014,Male,0-4,NSW,253695
31-12-2014,Male,0-4,NSW,254233
31-03-2015,Male,0-4,NSW,254613
30-06-2015,Male,0-4,NSW,254532
31-12-2015,Male,0-4,NSW,255574
31-12-2015,Male,0-4,NSW,255953
31-03-2016,Male,0-4,NSW,256805
30-06-2016,Male,0-4,NSW,257546
31-12-2016,Male,0-4,NSW,257995
31-12-2016,Male,0-4,NSW,257862
31-03-2017,Male,0-4,NSW,257594
30-06-2017,Male,0-4,NSW,257052
31-12-2017,Male,0-4,NSW,256844
31-12-2017,Male,0-4,NSW,255666
31-03-2018,Male,0-4,NSW,255139
30-06-2018,Male,0-4,NSW,254429
31-12-2018,Male,0-4,NSW,254353
31-12-2018,Male,0-4,NSW,254023
31-03-2019,Male,0-4,NSW,253668
30-06-2019,Male,0-4,NSW,253365
31-12-2019,Male,0-4,NSW,253264
31-12-2019,Male,0-4,NSW,252341
31-03-2020,Male,0-4,NSW,251467
30-06-2020,Male,0-4,NSW,250224
31-12-2020,Male,0-4,NSW,248568
31-12-2020,Male,0-4,NSW,246787
31-03-2021,Male,0-4,NSW,246725
30-06-2021,Male,0-4,NSW,246488
31-12-2021,Male,0-4,NSW,246919
31-12-2021,Male,0-4,NSW,247042
31-03-2022,Male,0-4,NSW,247125
30-06-2022,Male,0-4,NSW,247063
31-12-2022,Male,0-4,NSW,247679
31-12-2022,Male,0-4,NSW,247209
31-03-2023,Male,0-4,NSW,247137
31-03-2012,Male,65-69,NSW,165380
30-06-2012,Male,65-69,NSW,167973
31-12-2012,Male,65-69,NSW,170111
31-12-2012,Male,65-69,NSW,172497
31-03-2013,Male,65-69,NSW,174809
30-06-2013,Male,65-69,NSW,176999
31-12-2013,Male,65-69,NSW,178139
31-12-2013,Male,65-69,NSW,179367
31-03-2014,Male,65-69,NSW,180624
30-06-2014,Male,65-69,NSW,181771
31-12-2014,Male,65-69,NSW,182943
31-12-2014,Male,65-69,NSW,184215
31-03-2015,Male,65-69,NSW,185506
30-06-2015,Male,65-69,NSW,186628
31-12-2015,Male,65-69,NSW,187650
31-12-2015,Male,65-69,NSW,188884
31-03-2016,Male,65-69,NSW,189961
30-06-2016,Male,65-69,NSW,191040
31-12-2016,Male,65-69,NSW,190613
31-12-2016,Male,65-69,NSW,190236
31-03-2017,Male,65-69,NSW,189622
30-06-2017,Male,65-69,NSW,189217
31-12-2017,Male,65-69,NSW,189251
31-12-2017,Male,65-69,NSW,189308
31-03-2018,Male,65-69,NSW,189420
30-06-2018,Male,65-69,NSW,189496
31-12-2018,Male,65-69,NSW,189796
31-12-2018,Male,65-69,NSW,190284
31-03-2019,Male,65-69,NSW,190636
30-06-2019,Male,65-69,NSW,191220
31-12-2019,Male,65-69,NSW,192101
31-12-2019,Male,65-69,NSW,193509
31-03-2020,Male,65-69,NSW,194528
30-06-2020,Male,65-69,NSW,195022
31-12-2020,Male,65-69,NSW,195499
31-12-2020,Male,65-69,NSW,195943
31-03-2021,Male,65-69,NSW,196245
30-06-2021,Male,65-69,NSW,196703
31-12-2021,Male,65-69,NSW,197217
31-12-2021,Male,65-69,NSW,197874
31-03-2022,Male,65-69,NSW,198581
30-06-2022,Male,65-69,NSW,199386
31-12-2022,Male,65-69,NSW,200041
31-12-2022,Male,65-69,NSW,200856
31-03-2023,Male,65-69,NSW,201563
31-03-2012,Male,70-74,WA,35087
30-06-2012,Male,70-74,WA,35471
31-12-2012,Male,70-74,WA,35706
31-12-2012,Male,70-74,WA,35970
31-03-2013,Male,70-74,WA,36237
30-06-2013,Male,70-74,WA,36504
31-12-2013,Male,70-74,WA,36916
31-12-2013,Male,70-74,WA,37342
31-03-2014,Male,70-74,WA,37765
30-06-2014,Male,70-74,WA,38150
31-12-2014,Male,70-74,WA,38518
31-12-2014,Male,70-74,WA,38921
31-03-2015,Male,70-74,WA,39313
30-06-2015,Male,70-74,WA,39650
31-12-2015,Male,70-74,WA,40096
31-12-2015,Male,70-74,WA,40575
31-03-2016,Male,70-74,WA,41045
30-06-2016,Male,70-74,WA,41490
31-12-2016,Male,70-74,WA,42332
31-12-2016,Male,70-74,WA,43195
31-03-2017,Male,70-74,WA,44083
30-06-2017,Male,70-74,WA,44985
31-12-2017,Male,70-74,WA,45878
31-12-2017,Male,70-74,WA,46790
31-03-2018,Male,70-74,WA,47717
30-06-2018,Male,70-74,WA,48643
31-12-2018,Male,70-74,WA,49217
31-12-2018,Male,70-74,WA,49900
31-03-2019,Male,70-74,WA,50568
30-06-2019,Male,70-74,WA,51267
31-12-2019,Male,70-74,WA,52036
31-12-2019,Male,70-74,WA,52962
31-03-2020,Male,70-74,WA,53754
30-06-2020,Male,70-74,WA,54422
31-12-2020,Male,70-74,WA,55039
31-12-2020,Male,70-74,WA,55695
31-03-2021,Male,70-74,WA,56342
30-06-2021,Male,70-74,WA,57017
31-12-2021,Male,70-74,WA,56938
31-12-2021,Male,70-74,WA,56986
31-03-2022,Male,70-74,WA,57002
30-06-2022,Male,70-74,WA,57038
31-12-2022,Male,70-74,WA,57141
31-12-2022,Male,70-74,WA,57263
31-03-2023,Male,70-74,WA,57366
31-03-2012,Female,5-9,NSW,219932
30-06-2012,Female,5-9,NSW,220957
31-12-2012,Female,5-9,NSW,222000
31-12-2012,Female,5-9,NSW,223182
31-03-2013,Female,5-9,NSW,224554
30-06-2013,Female,5-9,NSW,225847
31-12-2013,Female,5-9,NSW,227247
31-12-2013,Female,5-9,NSW,228678
31-03-2014,Female,5-9,NSW,230258
30-06-2014,Female,5-9,NSW,231727
31-12-2014,Female,5-9,NSW,233314
31-12-2014,Female,5-9,NSW,234838
31-03-2015,Female,5-9,NSW,236525
30-06-2015,Female,5-9,NSW,238021
31-12-2015,Female,5-9,NSW,239131
31-12-2015,Female,5-9,NSW,240136
31-03-2016,Female,5-9,NSW,241375
30-06-2016,Female,5-9,NSW,242693
31-12-2016,Female,5-9,NSW,243542
31-12-2016,Female,5-9,NSW,244247
31-03-2017,Female,5-9,NSW,244987
30-06-2017,Female,5-9,NSW,245470
31-12-2017,Female,5-9,NSW,245788
31-12-2017,Female,5-9,NSW,246040
31-03-2018,Female,5-9,NSW,246469
30-06-2018,Female,5-9,NSW,246745
31-12-2018,Female,5-9,NSW,247055
31-12-2018,Female,5-9,NSW,247201
31-03-2019,Female,5-9,NSW,247441
30-06-2019,Female,5-9,NSW,247598
31-12-2019,Female,5-9,NSW,247463
31-12-2019,Female,5-9,NSW,247229
31-03-2020,Female,5-9,NSW,247197
30-06-2020,Female,5-9,NSW,246598
31-12-2020,Female,5-9,NSW,246134
31-12-2020,Female,5-9,NSW,246016
31-03-2021,Female,5-9,NSW,245718
30-06-2021,Female,5-9,NSW,245467
31-12-2021,Female,5-9,NSW,244674
31-12-2021,Female,5-9,NSW,244172
31-03-2022,Female,5-9,NSW,243890
30-06-2022,Female,5-9,NSW,243578
31-12-2022,Female,5-9,NSW,243057
31-12-2022,Female,5-9,NSW,242790
31-03-2023,Female,5-9,NSW,242538
31-03-2012,Total,45-49,NT,16050
30-06-2012,Total,45-49,NT,16088
31-12-2012,Total,45-49,NT,16151
31-12-2012,Total,45-49,NT,16134
31-03-2013,Total,45-49,NT,16153
30-06-2013,Total,45-49,NT,16208
31-12-2013,Total,45-49,NT,16300
31-12-2013,Total,45-49,NT,16300
31-03-2014,Total,45-49,NT,16351
30-06-2014,Total,45-49,NT,16424
31-12-2014,Total,45-49,NT,16548
31-12-2014,Total,45-49,NT,16593
31-03-2015,Total,45-49,NT,16660
30-06-2015,Total,45-49,NT,16766
31-12-2015,Total,45-49,NT,16893
31-12-2015,Total,45-49,NT,17000
31-03-2016,Total,45-49,NT,17146
30-06-2016,Total,45-49,NT,17249
31-12-2016,Total,45-49,NT,17296
31-12-2016,Total,45-49,NT,17258
31-03-2017,Total,45-49,NT,17297
30-06-2017,Total,45-49,NT,17303
31-12-2017,Total,45-49,NT,17286
31-12-2017,Total,45-49,NT,17239
31-03-2018,Total,45-49,NT,17181
30-06-2018,Total,45-49,NT,17153
31-12-2018,Total,45-49,NT,17133
31-12-2018,Total,45-49,NT,17060
31-03-2019,Total,45-49,NT,16997
30-06-2019,Total,45-49,NT,16899
31-12-2019,Total,45-49,NT,16776
31-12-2019,Total,45-49,NT,16618
31-03-2020,Total,45-49,NT,16498
30-06-2020,Total,45-49,NT,16400
31-12-2020,Total,45-49,NT,16330
31-12-2020,Total,45-49,NT,16231
31-03-2021,Total,45-49,NT,16121
30-06-2021,Total,45-49,NT,16002
31-12-2021,Total,45-49,NT,15982
31-12-2021,Total,45-49,NT,15903
31-03-2022,Total,45-49,NT,15836
30-06-2022,Total,45-49,NT,15749
31-12-2022,Total,45-49,NT,15717
31-12-2022,Total,45-49,NT,15628
31-03-2023,Total,45-49,NT,15563
31-03-2012,Male,55-59,WA,71164
30-06-2012,Male,55-59,WA,71545
31-12-2012,Male,55-59,WA,71851
31-12-2012,Male,55-59,WA,72175
31-03-2013,Male,55-59,WA,72488
30-06-2013,Male,55-59,WA,72797
31-12-2013,Male,55-59,WA,73091
31-12-2013,Male,55-59,WA,73326
31-03-2014,Male,55-59,WA,73576
30-06-2014,Male,55-59,WA,73833
31-12-2014,Male,55-59,WA,74162
31-12-2014,Male,55-59,WA,74431
31-03-2015,Male,55-59,WA,74711
30-06-2015,Male,55-59,WA,74989
31-12-2015,Male,55-59,WA,75172
31-12-2015,Male,55-59,WA,75349
31-03-2016,Male,55-59,WA,75529
30-06-2016,Male,55-59,WA,75661
31-12-2016,Male,55-59,WA,76129
31-12-2016,Male,55-59,WA,76557
31-03-2017,Male,55-59,WA,77042
30-06-2017,Male,55-59,WA,77549
31-12-2017,Male,55-59,WA,78039
31-12-2017,Male,55-59,WA,78516
31-03-2018,Male,55-59,WA,79027
30-06-2018,Male,55-59,WA,79492
31-12-2018,Male,55-59,WA,79910
31-12-2018,Male,55-59,WA,80334
31-03-2019,Male,55-59,WA,80796
30-06-2019,Male,55-59,WA,81252
31-12-2019,Male,55-59,WA,81690
31-12-2019,Male,55-59,WA,82125
31-03-2020,Male,55-59,WA,82562
30-06-2020,Male,55-59,WA,82861
31-12-2020,Male,55-59,WA,83050
31-12-2020,Male,55-59,WA,83212
31-03-2021,Male,55-59,WA,83419
30-06-2021,Male,55-59,WA,83629
31-12-2021,Male,55-59,WA,83602
31-12-2021,Male,55-59,WA,83700
31-03-2022,Male,55-59,WA,83683
30-06-2022,Male,55-59,WA,83761
31-12-2022,Male,55-59,WA,83815
31-12-2022,Male,55-59,WA,83809
31-03-2023,Male,55-59,WA,83827
31-03-2012,Female,80-84,WA,22546
30-06-2012,Female,80-84,WA,22585
31-12-2012,Female,80-84,WA,22557
31-12-2012,Female,80-84,WA,22578
31-03-2013,Female,80-84,WA,22583
30-06-2013,Female,80-84,WA,22628
31-12-2013,Female,80-84,WA,22613
31-12-2013,Female,80-84,WA,22656
31-03-2014,Female,80-84,WA,22724
30-06-2014,Female,80-84,WA,22728
31-12-2014,Female,80-84,WA,22766
31-12-2014,Female,80-84,WA,22859
31-03-2015,Female,80-84,WA,22926
30-06-2015,Female,80-84,WA,22991
31-12-2015,Female,80-84,WA,23062
31-12-2015,Female,80-84,WA,23187
31-03-2016,Female,80-84,WA,23308
30-06-2016,Female,80-84,WA,23435
31-12-2016,Female,80-84,WA,23575
31-12-2016,Female,80-84,WA,23757
31-03-2017,Female,80-84,WA,23931
30-06-2017,Female,80-84,WA,24163
31-12-2017,Female,80-84,WA,24387
31-12-2017,Female,80-84,WA,24629
31-03-2018,Female,80-84,WA,24896
30-06-2018,Female,80-84,WA,25105
31-12-2018,Female,80-84,WA,25404
31-12-2018,Female,80-84,WA,25758
31-03-2019,Female,80-84,WA,26056
30-06-2019,Female,80-84,WA,26360
31-12-2019,Female,80-84,WA,26679
31-12-2019,Female,80-84,WA,27052
31-03-2020,Female,80-84,WA,27429
30-06-2020,Female,80-84,WA,27707
31-12-2020,Female,80-84,WA,27964
31-12-2020,Female,80-84,WA,28262
31-03-2021,Female,80-84,WA,28553
30-06-2021,Female,80-84,WA,28830
31-12-2021,Female,80-84,WA,29089
31-12-2021,Female,80-84,WA,29392
31-03-2022,Female,80-84,WA,29727
30-06-2022,Female,80-84,WA,30020
31-12-2022,Female,80-84,WA,30233
31-12-2022,Female,80-84,WA,30483
31-03-2023,Female,80-84,WA,30733
31-03-2012,Female,10-14,NSW,216235
30-06-2012,Female,10-14,NSW,216027
31-12-2012,Female,10-14,NSW,216135
31-12-2012,Female,10-14,NSW,216175
31-03-2013,Female,10-14,NSW,216274
30-06-2013,Female,10-14,NSW,216365
31-12-2013,Female,10-14,NSW,216580
31-12-2013,Female,10-14,NSW,216602
31-03-2014,Female,10-14,NSW,216813
30-06-2014,Female,10-14,NSW,216785
31-12-2014,Female,10-14,NSW,217108
31-12-2014,Female,10-14,NSW,217330
31-03-2015,Female,10-14,NSW,217543
30-06-2015,Female,10-14,NSW,217629
31-12-2015,Female,10-14,NSW,218389
31-12-2015,Female,10-14,NSW,218990
31-03-2016,Female,10-14,NSW,219607
30-06-2016,Female,10-14,NSW,220152
31-12-2016,Female,10-14,NSW,221638
31-12-2016,Female,10-14,NSW,222995
31-03-2017,Female,10-14,NSW,224554
30-06-2017,Female,10-14,NSW,225947
31-12-2017,Female,10-14,NSW,227512
31-12-2017,Female,10-14,NSW,228794
31-03-2018,Female,10-14,NSW,230225
30-06-2018,Female,10-14,NSW,231663
31-12-2018,Female,10-14,NSW,233270
31-12-2018,Female,10-14,NSW,234715
31-03-2019,Female,10-14,NSW,236297
30-06-2019,Female,10-14,NSW,237747
31-12-2019,Female,10-14,NSW,239314
31-12-2019,Female,10-14,NSW,240758
31-03-2020,Female,10-14,NSW,242340
30-06-2020,Female,10-14,NSW,243524
31-12-2020,Female,10-14,NSW,244202
31-12-2020,Female,10-14,NSW,245131
31-03-2021,Female,10-14,NSW,245936
30-06-2021,Female,10-14,NSW,246768
31-12-2021,Female,10-14,NSW,246956
31-12-2021,Female,10-14,NSW,247447
31-03-2022,Female,10-14,NSW,248156
30-06-2022,Female,10-14,NSW,248840
31-12-2022,Female,10-14,NSW,249105
31-12-2022,Female,10-14,NSW,249498
31-03-2023,Female,10-14,NSW,249916
31-03-2012,Female,85+,NSW,95107
30-06-2012,Female,85+,NSW,95596
31-12-2012,Female,85+,NSW,95793
31-12-2012,Female,85+,NSW,96820
31-03-2013,Female,85+,NSW,98054
30-06-2013,Female,85+,NSW,98607
31-12-2013,Female,85+,NSW,98982
31-12-2013,Female,85+,NSW,99812
31-03-2014,Female,85+,NSW,100724
30-06-2014,Female,85+,NSW,101220
31-12-2014,Female,85+,NSW,101055
31-12-2014,Female,85+,NSW,101765
31-03-2015,Female,85+,NSW,102661
30-06-2015,Female,85+,NSW,103010
31-12-2015,Female,85+,NSW,102816
31-12-2015,Female,85+,NSW,103529
31-03-2016,Female,85+,NSW,104297
30-06-2016,Female,85+,NSW,104665
31-12-2016,Female,85+,NSW,104356
31-12-2016,Female,85+,NSW,104753
31-03-2017,Female,85+,NSW,105417
30-06-2017,Female,85+,NSW,105366
31-12-2017,Female,85+,NSW,104455
31-12-2017,Female,85+,NSW,104962
31-03-2018,Female,85+,NSW,105562
30-06-2018,Female,85+,NSW,105685
31-12-2018,Female,85+,NSW,105556
31-12-2018,Female,85+,NSW,105929
31-03-2019,Female,85+,NSW,106282
30-06-2019,Female,85+,NSW,106309
31-12-2019,Female,85+,NSW,106100
31-12-2019,Female,85+,NSW,106700
31-03-2020,Female,85+,NSW,107300
30-06-2020,Female,85+,NSW,107646
31-12-2020,Female,85+,NSW,108118
31-12-2020,Female,85+,NSW,108935
31-03-2021,Female,85+,NSW,109739
30-06-2021,Female,85+,NSW,109787
31-12-2021,Female,85+,NSW,110096
31-12-2021,Female,85+,NSW,110866
31-03-2022,Female,85+,NSW,111248
30-06-2022,Female,85+,NSW,111168
31-12-2022,Female,85+,NSW,110857
31-12-2022,Female,85+,NSW,111582
31-03-2023,Female,85+,NSW,112223
31-03-2012,Female,5-9,Tas,14926
30-06-2012,Female,5-9,Tas,14934
31-12-2012,Female,5-9,Tas,14978
31-12-2012,Female,5-9,Tas,15053
31-03-2013,Female,5-9,Tas,15129
30-06-2013,Female,5-9,Tas,15184
31-12-2013,Female,5-9,Tas,15255
31-12-2013,Female,5-9,Tas,15361
31-03-2014,Female,5-9,Tas,15457
30-06-2014,Female,5-9,Tas,15541
31-12-2014,Female,5-9,Tas,15547
31-12-2014,Female,5-9,Tas,15571
31-03-2015,Female,5-9,Tas,15597
30-06-2015,Female,5-9,Tas,15606
31-12-2015,Female,5-9,Tas,15600
31-12-2015,Female,5-9,Tas,15587
31-03-2016,Female,5-9,Tas,15620
30-06-2016,Female,5-9,Tas,15638
31-12-2016,Female,5-9,Tas,15628
31-12-2016,Female,5-9,Tas,15637
31-03-2017,Female,5-9,Tas,15632
30-06-2017,Female,5-9,Tas,15643
31-12-2017,Female,5-9,Tas,15646
31-12-2017,Female,5-9,Tas,15676
31-03-2018,Female,5-9,Tas,15675
30-06-2018,Female,5-9,Tas,15688
31-12-2018,Female,5-9,Tas,15661
31-12-2018,Female,5-9,Tas,15644
31-03-2019,Female,5-9,Tas,15654
30-06-2019,Female,5-9,Tas,15661
31-12-2019,Female,5-9,Tas,15705
31-12-2019,Female,5-9,Tas,15752
31-03-2020,Female,5-9,Tas,15757
30-06-2020,Female,5-9,Tas,15731
31-12-2020,Female,5-9,Tas,15705
31-12-2020,Female,5-9,Tas,15675
31-03-2021,Female,5-9,Tas,15652
30-06-2021,Female,5-9,Tas,15622
31-12-2021,Female,5-9,Tas,15549
31-12-2021,Female,5-9,Tas,15527
31-03-2022,Female,5-9,Tas,15527
30-06-2022,Female,5-9,Tas,15497
31-12-2022,Female,5-9,Tas,15445
31-12-2022,Female,5-9,Tas,15375
31-03-2023,Female,5-9,Tas,15296
31-03-2012,Male,75-79,Qld,49240
30-06-2012,Male,75-79,Qld,49709
31-12-2012,Male,75-79,Qld,50187
31-12-2012,Male,75-79,Qld,50776
31-03-2013,Male,75-79,Qld,51362
30-06-2013,Male,75-79,Qld,52015
31-12-2013,Male,75-79,Qld,52689
31-12-2013,Male,75-79,Qld,53365
31-03-2014,Male,75-79,Qld,54053
30-06-2014,Male,75-79,Qld,54711
31-12-2014,Male,75-79,Qld,55441
31-12-2014,Male,75-79,Qld,56191
31-03-2015,Male,75-79,Qld,56934
30-06-2015,Male,75-79,Qld,57664
31-12-2015,Male,75-79,Qld,58372
31-12-2015,Male,75-79,Qld,59003
31-03-2016,Male,75-79,Qld,59723
30-06-2016,Male,75-79,Qld,60452
31-12-2016,Male,75-79,Qld,61281
31-12-2016,Male,75-79,Qld,62198
31-03-2017,Male,75-79,Qld,63058
30-06-2017,Male,75-79,Qld,63911
31-12-2017,Male,75-79,Qld,64573
31-12-2017,Male,75-79,Qld,65352
31-03-2018,Male,75-79,Qld,66142
30-06-2018,Male,75-79,Qld,66887
31-12-2018,Male,75-79,Qld,67888
31-12-2018,Male,75-79,Qld,68951
31-03-2019,Male,75-79,Qld,70011
30-06-2019,Male,75-79,Qld,71077
31-12-2019,Male,75-79,Qld,72181
31-12-2019,Male,75-79,Qld,73402
31-03-2020,Male,75-79,Qld,74620
30-06-2020,Male,75-79,Qld,75830
31-12-2020,Male,75-79,Qld,76978
31-12-2020,Male,75-79,Qld,78247
31-03-2021,Male,75-79,Qld,79508
30-06-2021,Male,75-79,Qld,80717
31-12-2021,Male,75-79,Qld,82524
31-12-2021,Male,75-79,Qld,84350
31-03-2022,Male,75-79,Qld,86131
30-06-2022,Male,75-79,Qld,87877
31-12-2022,Male,75-79,Qld,89316
31-12-2022,Male,75-79,Qld,90922
31-03-2023,Male,75-79,Qld,92448
31-03-2012,Female,50-54,Qld,152918
30-06-2012,Female,50-54,Qld,154059
31-12-2012,Female,50-54,Qld,154876
31-12-2012,Female,50-54,Qld,155762
31-03-2013,Female,50-54,Qld,156638
30-06-2013,Female,50-54,Qld,157504
31-12-2013,Female,50-54,Qld,157981
31-12-2013,Female,50-54,Qld,158557
31-03-2014,Female,50-54,Qld,159126
30-06-2014,Female,50-54,Qld,159659
31-12-2014,Female,50-54,Qld,159834
31-12-2014,Female,50-54,Qld,159938
31-03-2015,Female,50-54,Qld,160129
30-06-2015,Female,50-54,Qld,160226
31-12-2015,Female,50-54,Qld,159979
31-12-2015,Female,50-54,Qld,159731
31-03-2016,Female,50-54,Qld,159616
30-06-2016,Female,50-54,Qld,159506
31-12-2016,Female,50-54,Qld,159434
31-12-2016,Female,50-54,Qld,159370
31-03-2017,Female,50-54,Qld,159286
30-06-2017,Female,50-54,Qld,159209
31-12-2017,Female,50-54,Qld,159139
31-12-2017,Female,50-54,Qld,159055
31-03-2018,Female,50-54,Qld,159049
30-06-2018,Female,50-54,Qld,159021
31-12-2018,Female,50-54,Qld,159368
31-12-2018,Female,50-54,Qld,159705
31-03-2019,Female,50-54,Qld,160014
30-06-2019,Female,50-54,Qld,160262
31-12-2019,Female,50-54,Qld,161248
31-12-2019,Female,50-54,Qld,162355
31-03-2020,Female,50-54,Qld,163377
30-06-2020,Female,50-54,Qld,164097
31-12-2020,Female,50-54,Qld,165468
31-12-2020,Female,50-54,Qld,166899
31-03-2021,Female,50-54,Qld,168329
30-06-2021,Female,50-54,Qld,169808
31-12-2021,Female,50-54,Qld,171429
31-12-2021,Female,50-54,Qld,173065
31-03-2022,Female,50-54,Qld,174657
30-06-2022,Female,50-54,Qld,176110
31-12-2022,Female,50-54,Qld,177182
31-12-2022,Female,50-54,Qld,178333
31-03-2023,Female,50-54,Qld,179379
31-03-2012,Female,10-14,WA,73457
30-06-2012,Female,10-14,WA,73617
31-12-2012,Female,10-14,WA,73831
31-12-2012,Female,10-14,WA,73963
31-03-2013,Female,10-14,WA,74126
30-06-2013,Female,10-14,WA,74202
31-12-2013,Female,10-14,WA,74206
31-12-2013,Female,10-14,WA,74161
31-03-2014,Female,10-14,WA,74198
30-06-2014,Female,10-14,WA,74185
31-12-2014,Female,10-14,WA,74164
31-12-2014,Female,10-14,WA,74080
31-03-2015,Female,10-14,WA,74112
30-06-2015,Female,10-14,WA,74146
31-12-2015,Female,10-14,WA,74365
31-12-2015,Female,10-14,WA,74521
31-03-2016,Female,10-14,WA,74803
30-06-2016,Female,10-14,WA,74986
31-12-2016,Female,10-14,WA,75568
31-12-2016,Female,10-14,WA,76047
31-03-2017,Female,10-14,WA,76690
30-06-2017,Female,10-14,WA,77286
31-12-2017,Female,10-14,WA,77930
31-12-2017,Female,10-14,WA,78533
31-03-2018,Female,10-14,WA,79225
30-06-2018,Female,10-14,WA,79941
31-12-2018,Female,10-14,WA,80544
31-12-2018,Female,10-14,WA,81040
31-03-2019,Female,10-14,WA,81727
30-06-2019,Female,10-14,WA,82269
31-12-2019,Female,10-14,WA,82937
31-12-2019,Female,10-14,WA,83612
31-03-2020,Female,10-14,WA,84411
30-06-2020,Female,10-14,WA,85038
31-12-2020,Female,10-14,WA,85456
31-12-2020,Female,10-14,WA,85941
31-03-2021,Female,10-14,WA,86428
30-06-2021,Female,10-14,WA,86908
31-12-2021,Female,10-14,WA,87016
31-12-2021,Female,10-14,WA,87291
31-03-2022,Female,10-14,WA,87583
30-06-2022,Female,10-14,WA,87893
31-12-2022,Female,10-14,WA,88156
31-12-2022,Female,10-14,WA,88594
31-03-2023,Female,10-14,WA,89037
31-03-2012,Male,15-19,Qld,156030
30-06-2012,Male,15-19,Qld,156201
31-12-2012,Male,15-19,Qld,156692
31-12-2012,Male,15-19,Qld,156774
31-03-2013,Male,15-19,Qld,157228
30-06-2013,Male,15-19,Qld,157117
31-12-2013,Male,15-19,Qld,157256
