LGA_CODE_2021,R_1_74_LT_Real_estate_agent,R_1_74_LT_Ste_terr_hsg_auth,R_1_74_LT_com_hou_pro,R_1_74_LT_Psn_not_Sme_hhd,R_1_74_LT_Other_Lld_type,R_1_74_LT_Lld_type_ns,R_1_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_com_hou_pro,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_com_hou_pro,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_com_hou_pro,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_com_hou_pro,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_com_hou_pro,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_com_hou_pro,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_com_hou_pro,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_com_hou_pro,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_com_hou_pro,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_com_hou_pro,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_com_hou_pro,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_com_hou_pro,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_ovr_LT_com_hou_pro,R_950_over_LT_Psn_not_Sme_hhd,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_com_hou_pro,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_com_hou_pro,Tot_LT_Psn_not_Sme_hhd,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
LGA50840,0,0,0,5,7,0,16,0,5,0,0,0,0,4,0,12,0,8,0,0,19,11,6,6,13,3,0,42,11,0,0,8,4,0,21,15,7,6,13,9,0,45,54,5,0,32,5,0,102,44,0,0,22,0,0,70,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,4,0,15,140,41,13,110,30,5,337
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,0,0,14,0,0,0,3,0,0,9,0,4,0,10,0,0,16,0,3,0,7,3,0,17,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,9,3,16,5,27,13,0,66
LGA50980,4,48,24,0,5,0,79,0,83,33,0,9,0,119,4,196,47,5,33,0,289,7,155,26,19,50,0,253,6,70,6,9,38,3,141,18,133,12,23,58,0,242,89,111,19,48,55,0,316,154,38,13,72,27,0,304,165,10,0,53,23,0,247,120,3,0,35,3,0,168,89,0,0,37,9,0,132,58,3,0,20,4,0,86,26,0,0,13,0,0,48,33,0,0,12,0,0,40,30,82,25,12,57,11,216,795,936,200,361,377,23,2691
LGA51080,0,0,0,0,6,0,7,0,0,0,0,0,0,3,0,3,0,5,7,0,7,0,4,4,7,0,0,21,0,3,0,0,0,0,10,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,10,6,13,10,20,18,0,61
LGA51120,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,12,7,6,0,24,6,0,0,4,3,0,14,0,0,0,5,0,0,10,0,0,0,3,0,0,3,3,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,11,20,20,0,70
LGA51190,4,20,0,7,8,0,30,0,46,3,8,5,0,59,22,234,22,34,6,4,319,46,136,83,61,22,7,354,103,57,23,102,3,0,285,392,65,15,238,25,4,738,917,32,11,446,34,3,1440,648,11,13,212,25,3,917,142,0,0,32,3,0,178,35,0,0,7,0,0,47,18,0,0,3,0,0,18,3,3,0,0,0,0,7,0,0,0,5,0,0,6,0,0,0,0,0,0,0,38,34,18,37,15,6,155,2364,622,198,1193,148,27,4557
LGA51260,5,16,0,19,0,0,31,0,13,0,8,0,0,24,0,176,19,25,21,0,241,19,105,31,33,20,4,216,22,34,6,68,24,0,148,31,57,13,84,31,0,212,240,42,11,199,44,0,534,771,20,0,365,33,4,1196,443,0,0,120,10,4,578,112,0,0,33,0,0,145,30,0,0,9,0,0,42,5,0,0,0,0,0,5,3,0,0,0,0,0,6,4,0,0,3,4,0,11,25,20,3,47,26,3,130,1709,477,92,1018,217,15,3526
LGA51310,0,0,0,0,0,0,5,0,3,0,0,0,0,5,3,13,0,11,4,0,38,13,4,8,10,0,0,37,42,0,0,40,0,0,83,182,0,0,67,6,0,258,192,0,0,83,4,0,285,231,0,0,93,0,0,325,241,0,0,74,0,0,314,190,0,0,55,3,0,247,150,0,0,39,0,0,191,105,0,0,16,4,0,124,68,0,0,13,4,0,82,122,0,0,22,0,0,150,22,0,7,17,7,0,57,1570,27,16,558,29,0,2201
LGA51330,6,37,5,9,0,0,51,5,47,6,19,5,0,87,62,338,21,144,20,3,593,81,125,45,148,17,3,414,53,49,10,108,18,3,244,258,67,27,204,30,0,595,1522,63,19,612,105,7,2324,2828,28,15,770,145,7,3792,1023,5,15,263,41,0,1356,285,0,0,75,6,0,368,100,0,0,34,3,0,133,36,0,0,9,0,0,56,12,0,0,0,0,0,15,17,0,0,17,0,0,31,100,58,10,134,26,22,360,6386,820,184,2559,406,59,10408
LGA51400,0,5,0,0,0,0,0,0,4,0,0,0,0,12,0,63,15,4,0,0,76,0,51,36,16,3,0,112,4,14,13,14,0,0,57,21,26,4,36,4,0,89,113,9,0,106,3,0,232,415,3,0,115,8,5,551,75,0,0,22,0,0,106,11,0,0,5,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,9,14,4,13,8,5,53,655,187,79,339,28,9,1311
LGA51470,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,3,3,3,0,12,3,3,0,11,4,0,18,0,0,0,7,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,7,6,3,19,19,0,56
LGA51540,0,4,18,0,13,0,36,0,13,13,0,14,0,45,0,47,4,15,17,0,89,16,43,25,16,32,4,134,12,16,0,24,15,0,67,22,27,4,39,29,0,126,26,18,4,33,11,0,98,20,13,0,23,12,0,59,6,0,0,6,4,0,13,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,6,14,10,14,14,5,53,120,190,74,178,178,12,739
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,12,0,0,0,5,0,0,3,3,0,0,3,0,0,7,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,19,3,0,29,5,0,57
LGA51680,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,0,4,3,0,0,13,0,0,0,9,0,0,16,0,0,0,9,0,0,9,4,0,0,5,5,0,15,14,0,0,18,0,0,33,14,0,0,17,0,0,34,12,0,0,4,0,0,17,10,0,0,5,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,56,3,5,84,11,0,158
LGA51710,0,9,0,0,23,0,35,0,13,0,0,3,0,26,0,23,0,3,6,0,35,0,23,0,5,3,0,32,0,0,0,11,0,0,13,0,3,0,6,0,0,12,0,3,0,10,0,0,13,0,0,0,13,7,0,16,0,0,0,5,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,8,0,14,0,86,5,58,52,0,204
LGA51750,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,10,0,0,21,9,0,3,10,0,0,22,16,6,3,7,0,0,28,37,0,0,15,0,0,51,95,4,0,45,0,0,145,188,0,0,58,0,0,252,176,0,0,47,0,0,231,143,0,0,24,0,0,168,72,0,0,16,5,0,97,40,0,0,13,3,0,57,35,0,0,6,0,0,47,96,0,0,18,0,0,120,6,0,0,20,6,0,37,917,17,8,301,24,3,1276
LGA51820,9,51,5,11,0,0,68,6,69,8,7,10,0,99,17,413,23,69,5,0,528,39,240,78,116,20,8,497,133,87,17,110,22,0,380,302,113,26,207,52,0,702,1195,87,13,502,44,4,1849,3091,36,3,858,69,5,4069,1439,6,0,305,30,0,1771,354,0,0,79,4,0,435,82,0,0,11,8,0,104,37,0,0,14,4,0,50,19,0,0,4,0,0,22,20,0,0,10,3,0,27,96,65,13,119,22,19,333,6837,1168,195,2417,286,44,10951
LGA51860,0,7,0,0,12,0,18,0,0,0,0,0,0,0,0,8,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,0,0,0,21,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,13,6,47,9,4,17,0,82
LGA51890,0,0,0,7,0,0,3,0,9,0,0,0,0,3,3,45,0,14,0,0,67,18,20,5,27,5,0,67,25,20,0,40,4,0,87,95,22,0,60,7,0,186,82,6,0,46,14,0,146,32,0,0,18,4,0,56,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,6,4,37,257,128,12,227,37,3,665
LGA51960,0,0,0,0,0,0,4,0,3,0,0,0,0,6,24,6,11,14,7,0,60,66,5,4,20,4,0,102,40,6,4,14,0,0,61,50,0,7,20,6,0,89,39,0,4,3,0,0,52,12,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,5,12,236,18,31,84,26,9,391
LGA52030,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,4,4,3,0,3,0,0,9,5,0,0,6,0,0,14,3,0,0,11,0,0,18,0,0,0,5,0,0,6,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,16,7,4,35,15,0,73
LGA52100,0,0,0,0,4,0,5,0,5,0,0,0,0,5,0,5,7,3,3,0,21,0,0,0,9,6,0,18,0,0,0,14,0,0,20,0,0,0,8,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,12,3,9,9,41,19,0,81
LGA52170,0,4,0,0,0,0,4,0,8,0,0,0,0,11,0,20,0,0,0,0,24,3,3,0,8,0,0,10,3,3,0,8,0,0,18,5,0,0,9,0,0,19,35,0,0,26,0,0,60,73,0,0,31,0,0,113,97,0,0,45,0,0,142,53,0,0,31,0,0,84,45,0,0,18,0,0,63,44,0,0,9,0,0,50,33,0,0,7,0,0,40,128,0,0,26,0,0,157,4,0,0,14,0,0,20,535,42,5,222,8,3,813
LGA52240,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,7,0,0,14,8,3,6,14,9,0,40,5,0,0,3,0,0,11,0,0,0,3,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,14,14,5,8,38,25,0,95
LGA52310,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,0,3,0,6,0,0,0,5,0,0,5,0,0,0,6,3,0,7,0,0,0,5,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,3,0,0,31,12,0,52
LGA52380,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,4,11,0,14
LGA52450,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,10,8,5,3,0,22,5,11,4,6,0,0,20,0,7,0,3,0,0,14,6,0,0,17,0,0,27,7,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,9,17,24,10,49,12,0,106
LGA52520,0,3,0,0,0,0,3,0,0,0,0,7,0,7,0,3,0,6,5,0,14,0,0,0,4,0,0,10,0,0,0,6,0,0,8,0,3,0,13,3,0,25,0,3,3,4,0,0,14,0,0,0,7,0,0,9,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,12,0,18,5,38,28,0,102
LGA52590,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,12,10,0,25,0,0,0,5,0,0,9,0,0,0,9,6,0,17,16,11,0,12,7,0,35,34,7,0,21,11,0,81,43,0,0,20,0,0,69,5,0,0,5,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,22,108,25,6,88,48,0,277
LGA52660,0,0,0,4,0,0,4,0,0,3,3,0,0,8,0,10,0,19,3,0,35,5,9,4,15,9,0,40,4,9,6,25,6,0,50,16,3,0,46,9,0,77,156,4,0,115,10,0,294,289,4,3,85,3,0,379,53,0,0,15,0,0,67,8,0,0,4,0,0,12,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,19,6,4,39,540,41,20,349,58,7,1008
LGA52730,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,31,8,11,3,0,52,4,13,11,12,8,0,50,0,7,0,12,4,0,29,6,13,11,25,4,0,60,68,9,0,58,10,3,143,39,0,0,49,3,0,102,16,0,0,10,0,0,30,4,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,20,142,78,28,194,37,4,484
LGA52800,0,196,102,0,57,0,367,0,89,123,0,21,3,241,0,118,59,3,38,0,230,0,57,33,5,29,0,127,0,20,3,13,8,0,46,14,39,12,12,19,0,94,27,20,0,11,3,0,65,28,3,3,11,0,0,47,7,4,0,5,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,38,19,0,25,0,97,93,597,358,70,202,13,1334
