LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA58190,75,34,45,37,64,69,40,25,6,386
LGA58260,120,43,62,77,71,76,72,45,6,575
LGA58330,627,359,338,412,659,967,818,353,72,4601
LGA58400,26,27,34,16,38,61,47,29,0,298
LGA58470,45,21,22,24,24,25,15,0,0,170
LGA58510,5157,4533,7737,5954,4324,3695,2834,1626,1022,36889
LGA58540,136,57,75,101,114,152,102,50,12,802
LGA58570,5245,3842,8305,6304,4660,3835,2485,1197,667,36537
LGA58610,282,149,173,191,207,277,284,152,47,1761
LGA58680,79,49,47,57,96,84,72,48,9,535
LGA58760,46118,27334,29094,30915,28677,21776,14772,7804,2623,209111
LGA58820,697,417,369,482,578,660,627,305,106,4234
LGA58890,137,63,58,85,123,149,105,46,24,773
LGA59030,46,16,32,30,24,46,38,19,6,248
LGA59100,138,49,75,67,86,123,81,57,18,690
LGA59170,220,71,106,152,121,154,111,65,17,1021
LGA59250,85,72,108,95,88,42,39,13,0,535
LGA59310,243,98,149,166,149,201,191,75,20,1297
LGA59320,99,33,43,49,52,84,61,22,3,448
LGA59330,59,28,47,45,58,78,82,65,9,470
LGA59340,1721,857,1302,1102,1030,889,418,136,25,7477
LGA59350,29,41,106,46,52,33,25,7,4,340
LGA59360,117,65,187,169,222,215,127,50,21,1173
LGA59370,491,221,249,327,385,624,680,369,108,3459
LGA59499,772,820,1512,1543,1313,1144,758,155,30,8055
LGA59799,0,42,116,170,109,62,18,0,0,514
