LGA_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA50840,0,0,10,26,7,24,8,31,0,102,4,6,37,9,6,10,18,21,0,122,35,41,68,31,17,16,38,36,4,290,45,94,80,37,33,23,47,36,7,406,97,82,87,70,51,29,61,49,10,532,96,79,78,61,63,37,76,60,15,564,72,25,21,13,20,10,14,28,0,210,23,4,0,3,4,0,0,3,0,37,5,0,0,0,0,0,0,0,0,5,380,332,380,253,197,151,268,264,41,2261
LGA50910,4,0,0,0,0,0,0,3,0,5,4,0,0,0,0,4,0,8,0,21,7,7,10,3,3,4,5,8,4,57,19,3,0,12,9,3,10,9,0,68,37,4,10,7,5,3,9,21,0,94,33,9,9,4,7,10,11,8,0,87,22,0,6,7,3,0,4,8,0,49,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,126,33,33,37,38,21,29,61,6,395
LGA50980,0,13,33,71,35,127,11,92,13,403,21,71,84,114,57,52,22,75,10,506,186,543,261,329,215,90,81,172,34,1916,304,523,248,255,261,79,95,139,46,1955,281,336,217,209,242,88,84,112,38,1602,210,250,118,127,141,80,79,95,24,1120,67,61,42,33,50,27,29,36,8,352,11,4,0,0,4,4,5,9,0,32,0,0,0,0,0,0,0,0,0,0,1088,1808,1004,1139,997,552,401,725,174,7893
LGA51080,0,0,3,0,0,0,0,3,0,9,3,3,3,4,0,0,0,8,0,28,29,14,10,8,6,0,0,13,0,84,45,7,9,5,11,0,3,7,0,93,47,6,5,4,9,3,7,11,0,93,55,10,7,3,3,4,11,18,0,112,24,0,3,0,6,0,5,3,0,45,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,210,46,37,33,36,8,30,61,10,466
LGA51120,0,0,5,0,0,0,0,3,0,12,5,0,6,5,4,3,4,3,0,27,22,4,10,9,9,0,0,6,0,66,24,12,14,13,5,0,5,9,0,85,38,9,9,10,5,8,10,7,0,90,31,3,5,5,9,4,19,9,0,83,25,3,0,3,4,0,4,0,0,41,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,151,34,44,37,34,14,49,44,0,411
LGA51190,3,9,116,173,35,285,42,227,22,911,47,111,271,217,103,149,104,229,18,1243,197,590,571,324,271,217,227,426,45,2869,293,555,578,301,290,165,251,361,51,2847,346,599,474,379,373,219,313,387,52,3148,314,475,366,305,404,184,317,329,33,2732,95,170,101,76,110,56,104,93,17,815,25,19,7,5,3,6,10,10,3,80,0,0,0,3,0,5,0,0,0,7,1322,2525,2482,1779,1582,1281,1373,2063,236,14644
LGA51260,14,9,196,346,25,471,30,301,26,1413,50,75,313,185,61,133,53,213,13,1103,312,504,728,394,215,176,165,373,48,2914,590,862,840,463,430,259,250,403,70,4165,680,911,712,485,531,329,355,463,57,4528,557,600,476,372,457,299,303,423,56,3536,244,175,123,85,138,126,107,128,25,1149,46,17,7,3,17,12,6,17,11,142,9,0,0,0,0,0,0,3,3,15,2498,3157,3399,2326,1874,1805,1277,2326,309,18958
LGA51310,8,37,39,239,63,287,36,174,6,897,42,285,102,261,159,198,35,78,10,1176,270,1206,197,234,213,101,47,89,31,2401,727,1625,175,128,293,104,34,61,50,3193,1022,1732,178,174,392,113,40,49,42,3740,613,1165,149,127,325,110,36,51,28,2606,176,334,58,47,114,29,23,22,19,819,22,45,4,10,25,12,4,8,5,133,5,7,0,0,4,8,0,0,6,29,2887,6444,904,1225,1581,948,253,547,200,14988
LGA51330,29,88,172,520,121,829,116,508,38,2421,169,863,734,1183,449,895,377,709,123,5501,758,3361,1591,1457,1113,704,984,1202,241,11405,1285,3512,1506,1164,1321,433,684,838,188,10932,1238,2581,1243,964,1219,417,608,719,139,9135,893,1529,847,648,1077,354,524,591,93,6551,227,465,259,158,323,119,125,185,28,1888,30,49,24,10,30,12,15,30,3,194,0,0,0,0,4,0,0,3,0,11,4632,12439,6382,6100,5659,3757,3434,4788,854,48045
LGA51400,10,8,87,120,31,246,22,179,6,719,19,51,181,124,65,65,64,110,8,690,106,251,340,174,131,99,116,182,16,1420,215,457,350,221,241,97,187,163,43,1972,296,475,390,256,288,105,210,197,30,2247,214,317,235,182,205,78,206,160,13,1607,82,78,48,24,40,22,35,41,0,380,15,5,0,6,0,5,3,0,10,37,0,0,0,0,0,0,0,0,0,0,955,1641,1627,1095,1006,717,846,1041,127,9068
LGA51470,0,0,4,0,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,19,3,9,5,7,4,3,5,10,0,43,17,9,9,0,4,4,10,8,0,63,15,3,0,4,3,6,7,7,0,45,17,3,4,4,7,7,5,4,0,56,14,0,0,0,0,0,5,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,20,31,19,25,16,29,41,0,252
LGA51540,0,0,21,8,6,28,5,19,7,98,11,17,28,31,23,28,0,30,0,162,47,62,64,75,59,27,40,74,11,445,90,57,55,61,54,35,29,46,4,416,127,67,52,39,59,25,41,79,15,505,106,63,48,53,51,31,49,57,5,459,57,14,13,10,21,10,17,28,13,177,11,0,0,0,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,448,282,275,278,269,186,170,328,52,2279
LGA51610,0,0,13,4,0,13,3,11,0,44,0,0,13,5,0,5,3,4,0,34,16,19,24,13,13,8,8,0,3,101,45,22,26,9,15,8,12,11,0,146,44,31,33,13,32,8,25,7,0,201,37,19,17,18,21,8,22,20,0,158,17,7,3,0,8,0,11,8,0,55,5,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,161,103,125,62,97,46,82,63,7,747
LGA51680,4,3,39,20,7,42,8,45,3,174,4,13,48,21,17,25,20,37,3,190,35,43,111,36,50,21,44,33,3,378,83,86,124,45,71,12,56,51,12,539,130,95,134,91,104,27,93,54,10,743,128,75,119,55,109,37,87,56,3,667,42,15,21,7,11,9,28,21,0,159,15,0,3,4,4,0,0,7,3,36,5,0,0,0,0,0,0,0,0,3,441,328,596,288,375,171,335,306,51,2893
LGA51710,0,0,0,21,0,0,0,6,0,30,0,4,4,6,0,0,8,0,0,32,8,27,37,30,21,3,5,15,3,150,19,24,27,26,23,0,13,16,0,155,28,28,31,28,19,5,14,23,7,182,31,8,24,11,15,6,14,27,8,141,10,6,24,5,0,0,16,16,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,97,143,123,92,14,80,105,16,771
LGA51750,3,18,14,130,15,83,10,56,3,336,25,154,39,129,73,80,19,28,0,546,113,559,63,86,75,53,17,29,8,995,215,459,41,53,104,33,6,19,11,943,344,498,37,56,135,53,16,26,14,1174,212,390,42,53,87,37,10,15,12,866,93,186,21,11,39,25,5,12,12,391,32,52,4,6,15,7,0,4,4,123,0,4,0,0,0,0,0,0,0,9,1027,2324,259,533,535,371,78,183,74,5382
LGA51820,46,57,381,619,146,1097,160,769,52,3330,238,738,1007,1183,602,873,377,645,68,5735,1380,4272,2697,1593,1790,775,824,932,265,14528,2195,4340,2598,1445,1969,647,864,900,263,15226,1887,2765,2067,1309,1923,689,945,1001,219,12809,1143,1552,1408,895,1510,563,796,892,125,8891,264,423,322,180,340,175,203,239,41,2199,38,23,18,7,26,24,10,34,3,181,0,6,0,0,0,0,0,4,6,12,7197,14180,10505,7236,8308,4847,4178,5419,1039,62912
LGA51860,0,0,0,5,0,0,0,0,0,4,0,0,4,4,3,4,0,8,0,26,4,10,9,9,3,4,4,7,0,47,14,7,5,9,5,3,3,9,0,60,13,8,7,4,5,0,0,3,0,38,7,13,18,7,6,5,0,13,0,61,3,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,34,40,39,21,12,11,46,0,239
LGA51890,0,0,50,34,9,58,11,64,5,232,4,8,88,27,29,28,36,62,6,285,26,52,186,67,48,33,94,92,10,602,42,87,146,80,76,43,115,80,18,691,65,71,182,93,76,45,123,105,12,769,59,55,120,69,46,44,146,96,13,656,22,17,17,17,14,7,27,27,7,153,12,6,3,0,0,0,3,4,6,26,8,0,0,0,0,0,0,0,0,5,230,296,790,397,291,252,560,529,79,3420
LGA51960,0,0,16,5,8,16,4,11,4,65,0,3,29,5,13,5,31,6,5,99,10,23,68,23,18,6,78,12,10,252,17,22,49,14,28,10,97,21,0,260,23,22,67,30,30,20,93,25,13,328,16,32,47,19,24,11,80,35,5,274,5,4,11,3,6,5,19,14,4,70,4,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,82,114,291,109,127,69,405,129,33,1359
LGA52030,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,0,3,4,0,19,13,7,12,6,11,4,7,7,0,62,21,10,12,5,11,0,5,5,0,64,19,6,4,5,8,5,11,11,3,81,46,3,21,6,5,5,24,13,0,119,21,4,3,3,4,0,10,12,0,61,8,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,132,31,50,22,45,17,60,54,7,426
LGA52100,0,0,4,4,0,4,0,7,0,22,11,3,3,0,3,7,4,11,0,39,19,6,9,8,11,7,6,15,0,93,39,10,9,15,13,0,7,11,0,105,38,6,10,4,8,5,14,7,0,94,46,12,8,8,13,10,8,10,5,109,32,3,4,0,5,6,3,4,0,64,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,188,40,51,43,57,33,44,62,11,527
LGA52170,3,11,9,98,14,57,9,34,5,240,13,85,31,98,41,49,18,25,10,371,90,417,50,60,66,30,8,14,9,749,157,336,40,22,55,31,4,8,15,668,232,420,31,36,87,52,12,7,16,893,190,386,17,28,71,47,3,13,18,773,106,161,7,11,30,14,7,8,12,352,24,29,0,0,8,4,0,0,5,69,0,0,0,0,0,0,0,0,0,6,822,1844,189,364,374,282,55,111,83,4120
LGA52240,0,0,0,3,0,0,0,10,4,17,4,5,3,4,0,0,4,10,0,33,18,4,8,0,3,0,4,14,5,63,43,13,0,12,12,0,6,19,0,103,48,3,7,4,17,3,13,17,3,114,47,0,4,7,8,0,10,27,0,114,46,0,0,0,3,0,10,3,0,60,9,0,0,0,0,0,0,3,0,11,5,0,0,0,0,0,0,0,0,5,218,31,32,36,41,8,46,95,15,525
LGA52310,0,0,6,0,0,3,0,7,0,16,0,8,4,10,0,3,0,9,0,34,15,7,8,0,10,0,9,8,0,49,15,0,9,4,8,3,3,8,0,49,31,9,9,16,12,5,6,16,0,105,29,5,10,7,14,4,6,13,0,105,19,3,3,0,3,0,3,10,0,45,8,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,108,42,46,34,50,26,35,75,3,419
LGA52380,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,7,4,0,16,0,0,10,0,0,0,6,4,0,31,3,0,3,0,0,0,4,0,0,15,3,0,3,0,0,0,12,0,0,19,7,0,5,0,0,0,3,3,0,18,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,21,3,4,3,43,12,6,111
LGA52450,8,0,9,3,0,8,0,10,0,46,3,6,7,0,4,4,0,7,4,43,31,16,15,12,7,3,8,16,0,113,25,16,19,18,8,10,9,12,0,118,28,9,14,9,14,4,7,12,5,101,31,8,14,7,13,8,12,11,8,99,13,0,6,3,9,5,4,7,0,51,3,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,148,48,86,50,58,43,52,80,11,580
LGA52520,0,0,9,3,0,0,3,0,0,24,9,5,9,0,7,4,3,4,0,52,42,32,9,4,17,6,10,13,0,127,45,18,28,10,21,10,10,11,6,152,38,9,11,5,14,5,8,10,0,110,60,11,12,10,14,12,16,15,0,141,22,0,6,3,0,3,4,9,0,55,10,0,0,0,5,0,0,0,0,11,3,0,0,0,0,0,0,0,0,5,239,79,80,31,75,33,63,63,10,671
LGA52590,3,0,6,7,0,12,3,19,0,63,5,9,14,8,3,11,11,18,4,76,33,43,59,28,22,4,11,62,3,271,53,44,42,23,39,7,17,39,0,272,74,37,46,20,29,21,50,47,0,326,85,38,49,18,45,21,62,51,15,383,57,17,10,8,17,8,25,18,0,150,18,3,0,0,4,7,0,0,0,39,0,0,0,0,0,0,0,0,0,3,330,186,229,115,155,91,187,254,25,1571
LGA52660,5,0,52,66,19,157,16,134,9,457,25,31,123,90,42,70,48,107,10,544,105,200,362,128,178,120,162,141,29,1424,170,263,315,180,191,91,186,170,28,1595,181,221,267,182,197,102,171,152,24,1491,139,170,177,126,161,91,194,107,17,1176,64,39,32,19,31,18,41,35,4,284,20,0,0,0,4,4,6,8,4,47,3,0,0,0,0,0,0,0,0,5,707,934,1330,793,832,655,816,844,117,7025
LGA52730,0,0,19,28,0,45,3,60,0,162,8,0,30,26,3,6,3,14,0,89,36,68,65,42,17,11,14,25,5,282,86,139,97,47,58,18,29,54,12,528,132,146,81,68,59,31,26,58,12,617,131,122,85,57,61,37,49,68,8,625,85,43,17,11,22,20,8,24,5,239,23,8,3,0,10,3,0,3,4,52,5,0,0,0,0,0,0,0,0,5,503,528,397,277,228,179,131,310,45,2592
LGA52800,0,4,6,14,11,17,0,17,3,61,12,43,15,38,12,7,8,25,8,158,48,162,52,113,60,16,15,54,18,532,42,88,39,99,40,14,10,39,12,381,55,68,38,77,43,15,32,29,8,362,56,67,41,75,42,12,19,25,3,345,20,36,10,27,13,8,14,16,4,142,6,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,236,462,202,435,215,83,95,207,64,2001
LGA52870,6,0,35,27,7,32,11,47,5,161,9,12,42,18,10,9,14,32,0,137,35,43,88,22,23,25,37,74,6,350,84,86,101,50,52,28,75,56,13,537,131,109,89,59,73,23,96,73,13,659,117,99,82,84,73,27,76,69,6,637,83,42,25,17,16,12,20,22,4,244,28,5,0,0,4,0,0,6,7,47,0,0,0,0,0,0,0,0,0,5,485,385,463,273,252,155,320,373,53,2774
LGA52940,0,0,0,0,0,0,0,0,0,6,4,0,9,5,0,0,3,6,0,21,11,0,5,0,3,0,7,4,0,37,24,13,0,4,7,0,0,11,0,70,34,6,3,7,6,0,7,4,0,69,24,3,3,7,9,3,7,4,0,61,21,3,5,0,3,0,7,3,0,46,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,129,23,31,28,29,6,31,35,0,318
LGA53010,0,0,0,0,0,0,0,0,0,6,0,0,7,3,6,0,0,5,0,16,12,10,5,0,8,0,4,11,0,54,25,10,4,3,10,0,0,7,0,64,25,4,3,3,5,5,7,12,0,57,42,0,8,10,0,0,4,7,0,74,24,0,0,0,0,0,4,0,0,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,127,27,33,27,26,11,13,41,4,312
LGA53080,0,0,0,0,0,6,0,0,0,15,3,4,0,0,0,3,0,4,0,20,4,12,3,14,0,0,4,8,3,52,6,5,11,6,3,3,4,4,0,33,13,5,7,0,4,4,6,11,0,51,10,7,5,6,13,5,9,13,0,69,3,0,8,0,5,0,7,0,0,24,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,38,35,33,34,25,21,30,41,0,262
LGA53150,3,10,20,88,10,63,9,49,0,250,16,58,25,83,35,50,17,33,0,317,83,249,65,68,46,27,15,24,9,592,174,357,53,39,75,30,4,22,10,763,248,409,64,60,117,54,18,21,6,993,202,305,81,54,96,43,12,22,12,820,41,111,13,11,27,24,6,11,6,255,6,15,4,0,4,0,0,9,0,32,0,0,0,0,0,0,0,0,0,0,772,1509,318,408,408,290,78,188,43,4016
LGA53220,3,8,25,21,11,23,8,30,4,139,9,42,101,27,26,24,71,79,10,389,71,201,445,97,89,45,286,172,26,1434,89,138,399,63,89,15,315,106,26,1242,81,71,246,53,48,19,304,90,14,929,46,57,133,30,32,16,225,65,15,624,10,12,10,11,5,3,26,10,0,91,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,313,528,1366,307,305,144,1239,562,97,4859
LGA53290,5,0,76,51,19,122,24,104,10,413,27,43,130,62,50,50,69,64,13,504,141,190,221,94,126,87,119,155,29,1162,235,186,186,106,144,88,147,141,29,1263,363,184,183,122,187,83,166,149,30,1469,251,157,147,100,143,64,201,161,33,1254,108,46,25,27,47,12,57,42,10,368,42,8,0,0,3,0,5,3,7,67,4,0,0,0,0,0,0,0,6,4,1166,811,978,567,714,515,775,820,153,6504
LGA53360,4,0,20,18,3,31,0,24,0,103,3,12,28,30,23,12,5,24,0,140,36,69,100,81,44,23,6,73,11,437,72,74,74,46,45,22,19,44,10,395,55,53,63,36,45,21,15,40,16,346,43,32,36,25,30,22,16,27,7,247,19,8,3,0,3,5,6,3,0,52,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,226,256,322,231,198,131,76,236,43,1733
LGA53430,8,19,56,204,17,213,18,134,0,673,50,207,155,436,111,175,41,123,12,1304,409,1517,482,437,274,136,92,182,65,3594,665,1542,432,289,288,115,88,130,51,3606,635,1373,323,252,345,128,97,137,41,3324,557,1100,284,221,351,124,143,150,39,2968,138,403,85,58,115,54,43,47,13,957,22,54,7,9,10,10,3,10,10,130,3,5,0,0,0,0,0,0,0,11,2481,6213,1824,1907,1509,955,520,920,238,16569
LGA53570,3,0,8,17,4,17,4,35,5,99,15,0,33,17,6,10,14,50,0,152,51,27,65,24,42,12,45,181,7,444,86,50,74,23,52,17,54,71,9,437,124,55,105,40,49,26,73,90,20,581,126,56,71,26,65,22,83,88,9,540,53,25,14,5,14,15,24,30,13,188,24,0,4,0,3,0,0,3,5,44,0,0,0,0,0,0,0,3,0,6,481,215,371,158,244,115,296,547,63,2487
LGA53640,0,0,0,0,4,0,4,0,0,14,0,0,7,0,5,0,8,8,0,39,35,14,22,11,15,10,9,25,8,132,34,11,16,4,10,3,8,21,0,111,59,9,11,0,6,8,11,19,0,117,46,6,16,0,8,0,14,19,3,108,31,0,5,0,7,0,14,12,0,69,5,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,208,44,81,21,49,26,57,99,10,610
