LGA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
LGA50840,0,0,14,18,40,9,81,8,6,31,20,152,11,214,3,0,6,5,26,3,35,0,0,0,0,26,6,30,0,0,7,8,77,0,94,0,0,5,4,6,0,13,0,0,4,3,21,0,34,0,0,0,0,17,0,17,0,0,0,0,9,0,11,0,0,0,0,0,0,3,0,0,0,0,5,0,6,0,0,0,0,0,0,3,7,4,8,5,4,5,24,0,0,0,0,16,0,10,0,7,6,8,16,0,43,4,0,14,5,6,0,23,3,0,15,3,13,3,41,0,0,0,0,0,0,7,0,0,0,3,25,0,30,3,0,0,3,14,6,19,29,11,116,85,469,36,749,0,8,10,6,14,0,45,5,0,18,3,24,0,50,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,3,6,3,15,0,0,0,0,3,0,9,0,0,13,13,32,4,62,0,4,5,9
LGA50910,0,0,3,5,19,7,38,0,0,0,0,8,0,8,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,3,0,5,0,10,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,16,10,61,3,96,0,0,11,3,7,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,10,0,0,0,0
LGA50980,5,0,24,21,57,3,106,7,0,6,13,100,6,124,3,0,6,4,42,0,57,3,0,6,6,45,4,68,3,3,15,32,308,10,368,0,0,0,4,26,0,34,9,0,25,21,79,8,144,19,0,55,47,82,15,215,5,8,46,50,120,10,240,0,0,8,9,10,0,27,0,0,7,0,4,0,11,0,0,6,7,11,0,26,10,5,42,14,20,0,88,0,0,12,15,60,0,89,16,17,75,59,94,13,265,16,21,88,15,54,7,206,33,11,86,41,89,17,275,5,0,9,6,11,0,35,6,3,13,13,94,0,129,5,0,22,15,78,32,143,135,84,548,380,1374,131,2648,4,0,22,8,18,0,51,0,0,11,4,4,0,18,0,0,10,10,9,0,24,0,0,8,0,3,0,10,0,0,10,10,28,7,60,0,0,3,6,9,0,11,10,0,38,40,68,13,171,13,3,107,52
LGA51080,0,0,14,10,47,11,81,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,3,0,0,22,16,71,7,122,0,0,12,6,9,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,4,0,6,0,0,0,0
LGA51120,0,0,9,5,29,5,49,0,0,0,0,5,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,17,0,17,0,0,5,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,19,12,84,3,118,0,0,8,6,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,4,3,0,4,0,0,0,0
LGA51190,7,0,10,9,32,6,64,18,6,57,67,365,15,529,29,7,82,63,402,22,601,3,0,13,20,107,4,148,12,7,51,94,697,26,881,4,0,11,13,70,4,99,3,0,37,28,187,10,269,8,0,26,24,103,12,181,7,6,32,32,153,12,248,0,0,13,10,20,0,43,3,3,12,32,19,0,66,0,0,13,17,31,0,58,21,10,99,40,58,10,239,3,0,14,12,66,4,102,23,9,63,35,91,9,227,23,44,112,18,58,5,259,71,21,161,35,104,8,402,0,0,6,0,23,0,35,8,5,7,12,163,3,199,5,0,24,23,121,31,207,257,126,845,603,2861,178,4866,0,0,11,9,12,3,38,4,3,17,14,57,5,103,7,7,43,20,72,8,154,4,0,7,7,16,5,38,7,0,21,24,80,6,140,0,0,9,10,24,0,42,7,5,61,61,279,16,437,8,7,62,50
LGA51260,4,9,52,52,145,13,280,16,8,87,80,607,25,830,12,13,109,69,274,15,488,0,0,13,16,69,3,101,4,0,67,150,1028,38,1286,6,0,8,13,64,0,93,4,3,54,56,256,13,390,18,4,87,75,270,14,470,6,7,17,31,139,7,203,0,0,12,3,11,0,30,14,3,41,29,8,4,99,3,0,20,33,32,6,96,34,15,147,54,64,7,324,0,0,26,26,125,10,186,16,11,69,54,127,5,292,27,48,128,29,44,5,280,56,20,134,57,99,10,371,0,0,13,11,38,4,68,8,4,14,13,182,8,221,8,0,32,33,130,26,231,239,146,1134,880,3713,224,6333,8,3,35,23,50,14,134,7,7,23,19,46,7,108,7,11,70,49,86,10,233,0,4,10,3,14,0,25,4,7,51,49,85,10,210,0,3,19,13,31,3,67,17,4,98,114,295,33,560,14,11,151,155
LGA51310,5,0,18,3,4,0,29,232,37,395,43,80,6,800,34,5,78,27,58,12,208,15,0,37,0,5,0,72,55,5,170,86,214,10,544,32,5,52,26,25,3,144,20,8,117,23,39,6,209,14,9,60,32,58,6,175,19,4,63,24,29,6,141,7,3,48,17,7,4,80,55,35,182,47,18,3,345,18,4,86,32,19,7,156,333,61,746,91,45,17,1290,18,3,44,22,23,3,108,70,22,130,38,33,8,290,157,45,149,20,17,12,400,272,44,422,40,27,26,826,16,7,45,17,20,0,106,22,0,29,19,48,3,124,50,13,130,30,33,16,271,1439,309,3004,633,784,141,6312,0,0,8,0,0,0,16,83,16,164,24,7,3,301,20,6,43,8,13,4,95,16,6,26,10,0,0,51,20,8,72,26,17,5,152,10,5,48,11,9,5,84,28,3,124,45,57,17,276,13,8,78,32
LGA51330,17,0,30,13,25,7,79,288,47,586,158,438,27,1540,122,18,383,162,541,26,1251,52,14,137,30,76,3,319,144,18,420,208,1020,71,1886,97,10,197,93,240,22,663,175,26,421,183,326,42,1166,87,9,346,357,336,53,1190,239,31,502,351,346,55,1528,26,5,96,29,41,4,202,82,25,203,61,47,11,419,33,6,77,48,53,4,220,554,66,1159,195,160,50,2182,78,9,198,110,183,24,606,248,61,422,189,255,33,1216,392,114,427,83,108,14,1140,283,76,660,195,204,40,1465,27,6,105,52,86,5,278,52,10,152,120,314,18,672,176,17,320,135,342,125,1118,3176,564,6840,2765,5137,649,19130,10,0,29,4,3,4,57,86,18,186,46,59,12,410,65,16,163,69,88,15,413,23,5,56,7,18,0,116,52,7,162,83,79,16,399,37,7,119,34,56,6,266,154,35,488,205,304,49,1241,121,17,378,243
LGA51400,3,0,11,15,62,5,98,12,4,55,63,304,4,432,11,3,50,42,245,10,368,8,0,3,15,74,0,107,4,5,34,48,451,15,554,3,0,11,12,45,0,67,6,0,28,17,83,0,140,0,0,13,9,38,0,58,3,0,22,19,91,5,151,0,0,0,8,11,0,25,0,3,8,3,8,0,22,0,0,3,3,12,0,20,10,4,51,23,34,4,126,0,0,7,4,41,0,62,9,13,39,35,90,0,188,25,21,68,13,27,3,159,41,8,97,21,45,12,224,0,0,5,9,15,0,24,12,3,16,16,108,0,162,3,0,19,13,84,23,129,147,62,543,399,1859,99,3110,0,6,14,10,30,4,60,0,0,22,8,37,6,76,0,5,24,21,33,0,85,0,0,7,0,5,0,17,0,0,7,21,51,4,92,0,0,4,4,14,0,29,0,0,31,34,162,8,244,0,0,21,15
LGA51470,0,0,5,4,18,4,28,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,10,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,0,3,0,0,12,9,59,5,80,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0
