LGA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50840,..,4,7,4,3,7,9,0,0,41,..,3,6,9,35,69,95,74,31,324,5,7,9,9,4,19,14,5,0,64,384,195,175,252,319,418,410,185,38,2392,..,0,136,280,344,446,527,210,29,1968,..,38,93,84,111,104,52,18,0,497,..,0,20,37,41,35,14,7,4,151,803,..,..,..,..,..,..,..,..,803,..,141,..,..,..,..,..,..,..,141,..,116,35,17,17,5,0,0,0,205,..,13,4,0,3,16,10,12,5,65,..,8,5,0,4,4,0,0,0,16,..,9,13,7,7,20,18,3,0,78,..,8,24,24,64,131,170,110,37,574,10,20,16,13,9,30,27,9,3,136,806,359,337,465,603,793,819,375,78,4631
LGA50910,..,6,0,0,0,0,0,0,0,0,..,0,8,0,7,11,7,15,4,46,3,0,0,0,0,4,0,0,0,10,66,31,35,40,61,48,54,32,7,377,..,0,27,47,64,65,70,39,4,319,..,4,22,17,13,12,8,5,0,87,..,0,0,4,9,0,0,6,0,24,133,..,..,..,..,..,..,..,..,133,..,16,..,..,..,..,..,..,..,16,..,24,0,3,6,4,0,0,0,39,..,3,0,0,0,3,0,0,4,16,..,0,0,0,4,0,0,0,0,7,..,4,0,0,0,0,0,0,0,10,..,3,8,6,17,21,30,17,10,104,4,4,0,0,5,0,7,0,0,26,134,59,58,83,122,112,119,67,16,770
LGA50980,..,59,139,46,22,21,14,0,3,315,..,38,110,81,105,169,98,35,0,641,35,43,39,38,18,22,18,0,0,215,1668,793,1266,1255,931,753,352,100,17,7142,..,33,468,986,806,610,330,78,12,3311,..,154,785,590,392,252,67,13,0,2260,..,42,134,247,187,107,57,21,8,797,3376,..,..,..,..,..,..,..,..,3376,..,391,..,..,..,..,..,..,..,391,..,441,154,61,32,10,4,0,0,700,..,159,77,45,62,54,40,18,4,457,..,65,111,29,28,14,0,3,0,257,..,86,231,86,54,54,42,8,0,566,..,61,193,174,225,322,207,71,9,1261,72,79,64,69,46,42,29,4,5,416,3450,1523,2223,2283,1825,1457,769,220,41,13788
LGA51080,..,0,0,0,0,3,0,0,0,6,..,0,0,3,6,5,11,6,6,37,0,3,4,0,4,0,0,0,0,9,100,39,51,64,52,68,36,25,10,447,..,5,35,75,71,94,48,24,4,345,..,12,32,14,16,18,12,0,0,110,..,0,6,13,3,10,0,4,0,46,192,..,..,..,..,..,..,..,..,192,..,19,..,..,..,..,..,..,..,19,..,23,13,3,0,3,0,0,0,47,..,5,0,0,0,6,6,4,0,23,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,4,0,0,0,13,..,6,5,4,11,26,28,14,6,99,0,6,6,0,4,0,0,0,0,20,195,85,102,115,111,157,89,44,10,912
LGA51120,..,0,0,0,0,0,0,0,0,6,..,0,4,0,3,8,18,14,8,48,0,0,0,0,0,0,0,0,0,7,82,22,38,46,48,53,55,33,10,376,..,0,32,73,58,67,75,26,4,340,..,7,16,10,8,9,6,0,0,56,..,0,0,0,11,3,0,0,0,24,164,..,..,..,..,..,..,..,..,164,..,12,..,..,..,..,..,..,..,12,..,22,6,0,0,0,0,0,0,31,..,0,0,4,0,4,0,0,0,14,..,0,0,0,0,0,0,0,0,3,..,3,0,4,3,5,0,0,4,20,..,5,7,4,11,14,33,18,8,97,0,3,4,5,5,4,3,0,0,25,164,61,76,95,97,107,113,57,12,779
LGA51190,..,124,142,40,57,63,48,17,6,491,..,88,177,165,313,510,578,444,248,2529,39,60,61,33,33,50,40,21,13,353,2477,1657,1886,1864,2064,2082,1817,1023,417,15289,..,60,920,1684,1846,2044,1930,1026,238,9751,..,470,973,494,432,346,176,48,3,2941,..,73,276,477,487,197,103,89,60,1757,5035,..,..,..,..,..,..,..,..,5035,..,1000,..,..,..,..,..,..,..,1000,..,880,336,140,110,85,20,0,0,1563,..,150,103,52,56,81,72,44,24,591,..,96,108,56,37,16,7,3,0,328,..,234,323,121,128,132,98,28,9,1069,..,175,454,431,646,937,927,635,339,4540,103,107,122,85,72,88,70,35,19,695,5133,3245,3616,3545,3805,3917,3401,1904,691,29259
LGA51260,..,59,111,31,44,59,31,13,5,354,..,48,101,112,238,400,589,471,280,2226,53,71,64,47,51,81,67,36,11,470,3532,1595,1773,2557,2676,2507,2440,1299,457,18846,..,23,1082,2724,2912,2878,3075,1553,298,14545,..,276,979,789,653,465,293,80,14,3544,..,26,159,423,523,202,74,55,35,1498,7122,..,..,..,..,..,..,..,..,7122,..,1402,..,..,..,..,..,..,..,1402,..,1056,352,110,88,49,12,4,0,1675,..,123,66,28,34,76,95,44,39,501,..,120,112,39,35,19,9,8,0,346,..,146,236,82,104,128,63,28,12,801,..,91,227,293,474,673,944,663,361,3733,93,125,124,105,109,149,132,63,13,911,7219,3395,3340,4590,4932,4640,4691,2500,766,36071
LGA51310,..,72,146,17,16,13,15,10,0,288,..,51,161,114,107,220,292,298,219,1464,17,38,32,24,13,25,17,11,6,182,2670,1584,1339,1920,2172,1749,1210,765,403,13821,..,19,685,2554,3169,2381,1624,879,284,11592,..,103,620,435,353,307,96,26,13,1948,..,0,27,134,263,163,61,33,53,737,5485,..,..,..,..,..,..,..,..,5485,..,2181,..,..,..,..,..,..,..,2181,..,600,396,71,58,59,3,0,0,1191,..,103,61,14,21,34,58,37,36,363,..,20,64,9,6,11,0,0,0,121,..,130,357,46,39,29,26,14,7,647,..,94,326,256,230,370,447,402,296,2411,36,64,56,43,32,30,33,24,11,326,5525,3319,2597,3566,4168,3387,2353,1417,685,27020
LGA51330,..,729,603,174,94,96,64,21,4,1787,..,173,410,327,362,670,941,777,392,4044,72,133,105,49,58,60,68,34,11,592,8163,6267,6685,6884,5648,5021,4075,2158,745,45643,..,247,5044,9090,7728,6309,5081,2363,477,36345,..,664,1933,983,663,489,240,73,10,5046,..,67,305,792,961,626,277,184,102,3305,16797,..,..,..,..,..,..,..,..,16797,..,5949,..,..,..,..,..,..,..,5949,..,2389,1947,515,273,159,24,4,0,5312,..,810,654,194,161,309,352,228,106,2810,..,555,867,237,109,56,25,3,0,1847,..,1842,1970,497,274,239,149,42,8,5015,..,361,941,823,825,1221,1458,1052,529,7212,121,244,230,134,111,101,98,53,23,1121,16919,13123,13884,13264,11103,9512,7701,4007,1255,90761
LGA51400,..,24,35,16,17,21,8,14,0,132,..,30,51,42,53,136,145,106,33,589,18,41,17,17,14,19,16,10,8,157,1903,1056,962,1256,1332,1054,741,326,73,8697,..,33,654,1400,1681,1375,1004,381,46,6576,..,208,443,338,310,218,71,16,0,1609,..,26,120,233,213,84,52,32,14,764,3828,..,..,..,..,..,..,..,..,3828,..,878,..,..,..,..,..,..,..,878,..,677,191,76,42,21,3,0,0,1007,..,63,37,19,22,57,42,32,9,275,..,51,44,17,14,14,9,3,0,147,..,45,71,27,36,39,25,14,0,264,..,62,110,110,141,230,241,155,48,1093,47,69,38,35,28,44,29,13,8,304,3878,2111,1717,2252,2487,2076,1477,640,124,16753
LGA51470,..,0,0,0,0,0,0,0,0,5,..,4,5,0,3,8,4,5,0,29,0,0,0,0,0,0,3,0,0,7,31,18,28,26,23,40,25,11,3,204,..,0,15,35,24,50,38,13,3,182,..,14,21,12,6,0,4,0,0,57,..,0,0,5,4,0,4,0,0,9,54,..,..,..,..,..,..,..,..,54,..,3,..,..,..,..,..,..,..,3,..,3,5,3,5,0,0,0,0,12,..,0,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,10,7,7,9,18,18,14,0,86,3,5,0,0,7,0,0,0,0,27,64,31,50,62,52,74,71,29,6,441
LGA51540,..,11,19,5,4,16,0,0,0,59,..,23,30,15,29,51,56,28,15,246,5,9,11,4,12,16,8,0,0,70,361,198,273,243,290,301,191,95,26,1983,..,5,144,232,258,291,200,84,11,1223,..,52,145,91,112,82,44,9,0,539,..,9,32,37,60,29,22,14,7,212,751,..,..,..,..,..,..,..,..,751,..,76,..,..,..,..,..,..,..,76,..,130,36,30,25,9,0,0,0,229,..,43,10,6,15,23,17,12,0,136,..,15,16,5,7,10,8,3,0,62,..,27,38,16,17,29,9,3,0,137,..,29,66,56,84,117,146,66,21,590,13,20,19,11,26,29,18,9,0,136,766,406,517,474,607,622,463,198,53,4097
LGA51610,..,0,0,0,0,3,0,0,0,8,..,0,0,0,7,4,13,5,0,31,0,3,3,0,0,0,0,0,0,15,126,59,63,83,113,105,77,15,3,636,..,0,40,111,149,153,112,34,5,596,..,11,41,16,41,27,11,3,0,145,..,0,6,13,9,4,3,0,0,36,266,..,..,..,..,..,..,..,..,266,..,51,..,..,..,..,..,..,..,51,..,40,18,5,3,0,0,0,0,62,..,8,0,3,0,0,0,0,0,15,..,0,4,0,0,0,0,0,0,7,..,0,4,0,0,5,4,0,0,14,..,0,3,5,14,19,15,13,5,78,9,3,10,0,10,4,3,0,0,38,269,121,115,156,222,216,152,52,7,1313
LGA51680,..,0,0,0,0,4,0,4,0,16,..,6,4,9,11,40,28,25,11,130,3,15,7,6,0,7,9,6,3,58,510,268,236,336,433,432,279,131,35,2658,..,0,162,401,570,632,410,179,27,2390,..,26,104,93,108,73,30,11,0,445,..,3,21,37,48,28,15,9,0,168,1012,..,..,..,..,..,..,..,..,1012,..,240,..,..,..,..,..,..,..,240,..,228,96,29,18,4,0,0,0,380,..,16,3,7,8,16,19,19,16,97,..,11,12,11,3,9,0,0,6,51,..,6,0,3,7,15,11,0,0,45,..,8,17,30,43,72,71,42,12,303,11,26,19,5,5,12,14,6,5,117,1027,561,446,629,816,858,572,277,62,5249
LGA51710,..,0,3,0,0,0,0,0,0,5,..,0,3,4,7,7,15,0,0,40,0,0,0,0,0,6,5,0,0,21,116,39,58,92,77,63,41,9,0,500,..,0,58,103,94,78,72,10,3,421,..,7,26,10,22,16,8,0,0,89,..,0,3,3,15,7,3,0,0,34,238,..,..,..,..,..,..,..,..,238,..,34,..,..,..,..,..,..,..,34,..,23,16,6,6,0,0,0,0,48,..,0,0,3,0,0,6,4,0,15,..,0,0,0,0,0,0,0,0,0,..,0,3,5,0,0,0,0,0,11,..,3,20,14,19,25,33,5,0,129,0,0,4,3,4,14,11,4,0,37,238,82,133,152,153,150,130,22,4,1058
LGA51750,..,81,85,6,12,8,4,6,0,199,..,49,99,67,55,103,163,228,155,917,8,17,24,10,6,11,9,0,0,87,769,670,562,598,743,648,589,503,240,5323,..,5,212,721,916,758,673,541,138,3954,..,61,272,108,98,87,67,20,11,726,..,3,7,51,171,98,33,15,18,399,1572,..,..,..,..,..,..,..,..,1572,..,754,..,..,..,..,..,..,..,754,..,186,147,33,25,15,9,0,0,413,..,55,23,5,6,13,15,15,18,147,..,20,28,8,0,5,0,0,0,62,..,149,172,20,15,15,13,6,0,395,..,77,180,119,120,170,241,289,200,1403,28,32,41,12,15,21,15,8,3,169,1601,1341,1091,1079,1358,1176,1067,900,377,9990
LGA51820,..,386,437,125,98,122,79,14,5,1262,..,279,715,543,601,986,1138,788,408,5460,139,167,129,108,68,96,70,50,20,840,10823,6684,8754,8980,7637,6335,4605,2237,767,56825,..,152,5514,10661,9330,7556,5533,2471,477,41696,..,1115,4600,2407,1525,916,407,88,15,11060,..,87,615,1328,1458,847,365,222,107,5026,22016,..,..,..,..,..,..,..,..,22016,..,5553,..,..,..,..,..,..,..,5553,..,3926,2116,605,398,180,39,0,0,7262,..,606,482,189,183,318,323,202,117,2425,..,349,377,155,113,63,41,10,0,1109,..,770,1085,384,288,264,182,46,4,3017,..,473,1581,1378,1378,1756,1761,1141,571,10046,233,314,298,225,157,156,116,79,27,1595,22251,13351,16665,17332,14821,12055,8763,4261,1323,110813
LGA51860,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,17,47,23,28,36,20,46,26,7,0,240,..,8,37,51,33,75,39,20,0,261,..,0,8,6,9,6,0,0,0,23,..,0,0,0,0,0,0,0,0,5,106,..,..,..,..,..,..,..,..,106,..,3,..,..,..,..,..,..,..,3,..,18,5,3,0,3,0,0,0,31,..,0,0,0,0,0,0,3,5,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,4,0,4,0,12,0,3,3,8,0,3,11,0,0,32,112,43,44,72,46,93,50,28,11,496
