LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA51400,36,44,77,20,17,40,26,37,61,19,86,104,82,196,276,92,103,197,255,76,331,197,86,281,251,117,368,314,93,407,252,91,345,251,51,297,645,108,756,519,9,536,436,27,463,249,9,258,634,23,649,661,19,683,55,42,90,4995,1224,6221
LGA51470,0,4,4,0,0,0,4,0,0,0,8,12,3,23,25,5,5,10,9,11,17,6,5,11,7,9,17,12,11,19,7,8,12,18,5,19,10,4,14,12,0,12,7,0,8,0,0,0,13,0,13,27,0,27,0,5,10,132,87,219
LGA51540,9,20,28,7,9,14,13,30,43,11,57,65,28,88,117,26,61,84,81,45,119,57,66,124,53,66,116,77,47,126,50,24,70,72,25,96,133,43,177,102,6,112,88,11,95,45,0,49,105,22,124,131,13,149,27,35,64,1117,648,1771
LGA51610,0,0,10,3,0,3,0,0,5,3,3,3,6,14,24,9,12,20,19,4,19,16,5,19,24,3,27,25,3,30,12,4,23,22,6,27,43,15,56,56,0,56,34,0,34,14,0,21,51,4,58,63,4,62,7,0,14,422,84,506
LGA51680,17,12,31,6,5,9,8,8,20,9,19,22,24,54,78,17,28,43,79,20,98,74,39,115,83,24,107,85,29,112,59,20,83,82,13,91,171,23,193,151,0,151,150,6,155,95,0,100,229,11,245,244,3,243,21,14,34,1605,324,1926
LGA51710,0,3,8,0,3,8,0,3,3,0,9,9,0,15,16,0,3,7,9,0,7,5,7,13,15,11,24,10,16,29,18,10,31,16,18,32,34,19,54,33,0,33,40,0,40,20,0,17,57,0,61,37,0,37,3,0,8,292,130,422
LGA51750,29,41,76,20,27,48,11,33,47,7,64,74,25,148,170,32,137,166,59,104,158,80,120,200,88,151,236,147,112,258,100,101,204,116,93,213,211,164,374,184,15,206,185,61,248,147,4,145,1130,119,1256,218,38,254,15,46,61,2821,1578,4399
LGA51820,266,362,627,119,123,240,133,344,479,162,669,832,433,1605,2041,495,885,1378,1411,620,2031,1282,856,2136,1539,1078,2610,1792,936,2732,1581,844,2424,1674,676,2347,4216,1071,5286,3477,142,3628,3110,268,3379,2089,49,2140,5056,321,5370,2992,304,3290,239,288,532,32070,11446,43510
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,3,0,3,4,0,3,9,0,9,0,0,4,9,0,5,11,0,14,15,0,15,9,4,13,12,0,12,19,0,19,19,0,19,0,3,4,114,9,122
LGA51890,27,37,63,6,9,13,11,52,62,26,117,139,69,287,353,61,96,162,218,66,287,148,83,232,156,89,246,187,55,244,109,56,166,124,48,166,230,68,299,199,3,201,162,16,181,87,0,87,170,11,177,239,15,251,38,48,87,2253,1149,3404
LGA51960,12,11,23,3,3,9,5,11,18,10,30,35,22,62,80,13,22,36,38,22,66,25,25,53,29,26,55,30,20,50,27,25,49,23,22,46,97,55,152,58,4,57,65,14,78,33,0,33,135,17,144,96,10,101,17,19,32,739,383,1126
LGA52030,9,10,17,8,0,6,0,5,5,5,10,18,9,31,38,3,20,25,23,12,35,35,3,42,17,8,28,24,5,31,14,12,24,8,4,12,29,9,39,19,0,19,14,0,14,8,0,8,23,6,26,33,0,33,7,0,12,280,138,418
LGA52100,6,7,7,0,0,0,0,3,5,0,3,8,4,27,33,3,18,23,23,10,26,14,9,35,15,10,22,23,9,26,14,4,19,9,9,21,38,6,47,33,0,33,11,0,17,10,0,10,21,0,23,37,0,31,3,3,4,262,131,395
LGA52170,24,27,53,8,9,22,9,20,30,3,47,52,16,63,78,17,50,70,31,50,81,43,54,97,53,70,118,55,53,104,41,48,87,66,50,114,130,111,238,114,6,119,121,50,166,100,6,103,1046,150,1199,191,36,222,15,21,35,2085,913,2998
LGA52240,5,3,7,0,4,4,0,7,3,8,10,14,5,19,26,3,14,20,25,4,31,14,12,26,16,12,37,16,6,29,15,7,23,19,4,23,38,4,38,16,0,16,14,0,16,12,0,12,24,7,28,29,5,34,6,4,18,274,130,405
LGA52310,0,5,3,0,0,0,6,0,7,5,4,8,8,34,46,4,11,11,15,6,22,18,10,24,18,9,28,19,9,24,10,7,19,24,7,28,23,5,25,17,0,17,16,0,17,6,0,6,17,0,17,41,0,46,3,7,7,246,110,359
LGA52380,0,0,0,0,0,0,0,0,0,0,4,4,4,15,16,0,9,9,6,0,3,0,0,0,0,0,0,3,0,5,3,3,3,0,0,5,0,0,5,0,0,0,0,5,5,4,0,4,0,0,0,4,5,3,0,0,4,20,45,70
LGA52450,0,7,7,0,0,3,0,3,3,0,12,8,0,31,32,0,17,23,10,5,21,24,13,30,18,14,31,26,9,38,14,10,18,31,6,38,44,7,55,29,3,30,15,5,20,9,0,7,27,0,24,41,0,41,8,8,17,301,148,447
LGA52520,6,3,7,0,0,0,0,0,0,0,9,9,6,11,11,7,13,17,11,9,23,17,10,26,15,19,32,16,14,34,17,9,26,17,0,19,41,13,55,37,6,42,24,0,26,20,0,20,39,4,45,35,0,37,3,7,8,309,120,431
LGA52590,16,16,35,8,6,10,4,15,25,8,40,51,20,73,96,11,34,50,81,20,102,44,36,82,42,34,75,78,13,86,36,20,59,54,16,69,91,25,115,63,0,62,60,11,72,30,0,28,66,6,71,129,8,135,16,12,24,866,390,1253
LGA52660,24,44,67,14,20,34,13,34,37,17,82,96,66,220,292,67,136,200,270,93,363,216,116,335,242,109,351,251,83,337,197,78,272,221,66,289,546,96,640,422,12,435,347,32,377,198,3,196,404,22,432,466,20,482,33,37,74,4014,1291,5302
LGA52730,19,18,38,5,17,22,18,30,49,4,69,73,37,178,217,42,98,140,148,49,194,119,77,195,149,65,208,132,41,169,77,31,106,96,14,114,142,18,161,136,0,136,79,12,95,41,0,43,121,11,134,217,13,232,13,19,38,1594,765,2362
LGA52800,10,11,14,4,10,14,23,52,76,19,42,58,100,53,148,38,19,62,111,23,130,87,31,120,91,47,138,81,55,135,51,67,120,66,47,110,92,84,179,73,4,74,85,8,95,31,0,35,76,11,94,166,10,171,41,21,66,1241,599,1844
LGA52870,20,24,44,14,20,38,7,19,24,10,46,52,50,131,180,34,68,101,135,52,189,112,57,169,122,51,177,134,34,172,80,17,101,82,21,99,171,34,211,148,0,147,113,8,121,72,0,72,164,3,169,195,8,207,25,25,46,1691,616,2305
LGA52940,0,0,0,0,0,0,0,7,7,0,5,5,3,29,35,4,7,10,16,8,28,11,12,20,20,9,31,12,10,23,6,7,12,10,3,12,23,9,31,16,0,16,5,0,6,0,0,0,15,0,12,26,0,26,6,5,14,176,107,282
LGA53010,7,0,3,0,0,0,0,3,4,0,3,4,0,14,13,0,10,6,10,0,13,7,4,18,19,14,30,8,0,12,15,5,13,15,0,15,12,3,18,14,0,12,3,0,3,3,0,3,11,0,13,16,0,20,8,6,10,162,72,235
LGA53080,7,0,5,0,0,0,0,8,8,0,9,9,9,34,42,6,13,18,13,11,25,13,12,24,4,7,10,12,0,9,3,7,10,0,4,6,8,8,17,6,0,9,5,0,4,4,0,4,5,0,11,25,0,29,9,14,17,127,134,258
LGA53150,17,34,50,8,13,21,0,30,32,4,45,49,20,106,125,28,85,114,61,59,122,53,58,105,81,62,146,113,72,185,72,57,132,76,40,117,179,83,267,131,8,144,159,23,190,118,0,120,731,50,782,184,19,204,13,20,25,2058,860,2913
LGA53220,5,10,14,0,3,4,4,11,14,3,11,18,19,6,24,14,4,19,35,12,47,34,19,54,44,27,70,41,55,93,48,41,87,47,52,98,91,108,190,124,3,135,113,38,151,104,4,111,306,34,341,125,15,136,13,17,36,1166,477,1644
LGA53290,34,42,80,18,25,41,17,55,74,16,111,128,64,278,341,53,172,224,187,101,288,171,113,281,195,156,355,230,114,342,168,83,256,202,64,270,449,98,552,308,9,315,266,33,304,121,8,138,343,34,378,462,31,497,55,67,125,3389,1603,4990
LGA53360,10,11,13,0,4,4,0,11,11,6,15,21,10,34,42,11,27,37,23,21,45,34,20,52,39,21,65,36,15,56,34,20,54,40,22,63,92,39,129,83,6,86,50,19,72,44,4,49,92,19,108,133,24,158,9,33,39,744,360,1097
LGA53430,67,162,233,26,69,95,50,190,234,43,353,400,118,709,828,124,393,516,353,287,641,326,336,659,384,368,751,393,327,724,323,263,584,377,272,646,815,498,1315,662,66,729,718,163,881,504,18,518,1988,303,2288,728,184,912,60,127,194,8042,5110,13148
LGA53570,18,25,44,12,13,20,11,23,37,14,50,60,36,116,154,33,57,88,122,36,151,92,53,144,78,34,115,103,39,143,63,32,95,97,23,123,156,34,191,108,6,114,65,14,81,47,0,46,113,9,119,220,11,233,37,24,64,1412,613,2026
LGA53640,3,0,8,0,0,9,0,7,10,3,7,4,10,15,27,9,7,18,12,9,25,13,11,27,23,19,41,28,14,45,12,5,14,13,0,19,43,11,53,31,0,31,25,0,23,11,0,11,32,4,34,37,0,37,7,6,11,312,124,437
LGA53710,0,5,9,0,0,0,0,4,5,3,9,11,3,30,35,0,19,22,22,12,35,15,14,31,15,9,22,20,4,29,17,4,23,23,0,23,28,3,32,17,0,17,12,0,13,7,0,7,22,0,20,35,0,35,9,5,13,253,134,383
LGA53780,355,399,753,113,110,226,141,348,486,198,734,933,522,1677,2197,641,1063,1703,1847,696,2547,1702,880,2577,2071,1076,3150,2436,800,3231,1955,673,2628,2005,495,2497,4380,724,5108,3224,105,3330,2498,150,2649,1446,44,1483,3208,190,3397,2938,230,3177,320,290,609,31996,10678,42675
LGA53800,109,129,241,42,56,98,67,188,250,57,336,398,178,719,898,210,471,678,643,305,946,527,368,902,539,390,934,637,299,930,542,222,767,534,200,733,1222,328,1549,963,29,992,799,64,867,488,10,503,1005,77,1091,1237,74,1313,119,145,261,9920,4418,14338
LGA53920,0,5,5,3,3,11,18,29,42,17,25,37,43,17,59,41,12,55,56,8,67,59,10,75,60,14,78,46,24,74,22,23,50,21,26,51,40,33,74,36,0,38,20,7,26,7,0,9,17,0,22,84,5,90,44,21,62,642,262,908
LGA53990,78,62,137,34,20,54,38,66,105,47,164,208,147,422,571,149,222,370,473,150,622,373,171,548,462,183,646,496,144,640,360,126,488,452,101,555,997,193,1190,779,13,790,651,54,703,390,7,396,855,55,910,939,45,978,89,71,154,7815,2265,10077
LGA54060,11,23,39,0,8,5,7,18,22,12,42,54,28,88,114,33,73,103,88,26,114,65,36,101,53,30,85,62,20,88,51,16,64,39,18,64,104,23,124,67,3,67,53,3,56,40,0,43,74,7,85,152,4,157,24,26,49,973,459,1437
LGA54130,9,5,12,4,0,4,3,3,11,0,14,14,6,9,15,4,13,25,19,9,29,13,13,21,15,20,31,28,16,41,15,6,26,19,10,33,29,10,37,18,0,18,28,0,29,0,0,0,32,3,34,39,0,38,0,8,9,283,142,424
LGA54170,366,414,780,185,157,344,175,317,491,196,696,891,599,1739,2348,569,1277,1841,1836,849,2681,1793,936,2730,2319,1005,3327,2492,842,3337,1988,731,2721,2056,617,2670,4958,1045,5996,4385,123,4510,4304,274,4576,2999,44,3043,9665,314,9978,4347,244,4588,372,297,670,45607,11914,57522
LGA54200,143,181,323,78,74,152,66,151,218,78,306,388,233,765,995,238,564,807,796,334,1133,700,411,1112,968,474,1441,1070,375,1437,789,314,1101,871,220,1098,1994,408,2399,1645,48,1688,1403,88,1488,946,9,958,2375,114,2492,1608,103,1710,159,146,307,16165,5090,21248
LGA54280,40,90,132,22,28,50,28,66,94,22,117,140,60,268,326,92,138,228,191,115,306,174,183,353,196,249,443,253,218,480,220,297,516,282,258,542,821,509,1329,759,38,801,795,137,934,524,26,548,1583,151,1729,720,81,807,111,109,218,6899,3089,9991
LGA54310,12,33,47,11,9,16,12,21,34,13,36,51,25,47,67,36,33,61,40,44,86,60,54,112,89,80,166,91,108,204,100,147,256,155,159,314,437,341,777,399,24,421,537,122,661,398,23,423,1750,208,1958,526,43,572,32,45,79,4741,1571,6308
LGA54340,11,13,19,9,7,16,3,14,16,6,29,32,27,70,98,26,54,77,81,41,128,72,50,117,63,44,107,75,30,106,58,31,90,76,12,87,120,24,152,99,6,105,54,9,60,27,0,27,62,3,71,106,15,116,11,20,32,983,476,1456
LGA54410,9,7,16,0,6,6,0,9,10,0,10,15,3,43,44,9,16,18,36,9,41,19,11,32,16,13,25,17,4,25,9,0,16,19,5,21,37,9,43,30,0,27,12,0,11,5,0,0,22,0,20,33,0,33,8,9,17,281,155,436
LGA54480,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,3,8,4,6,11,5,10,16,3,7,11,6,6,6,12,0,14,17,5,23,13,0,14,10,0,13,4,0,4,10,6,11,19,0,16,0,4,0,111,53,174
LGA54550,6,10,14,3,3,9,0,9,14,0,6,6,10,42,50,9,19,30,31,22,59,27,26,52,27,29,59,36,15,52,22,12,37,27,13,43,74,13,88,33,0,41,29,3,32,19,0,14,58,9,65,49,6,57,5,21,28,467,264,737
LGA54620,0,0,3,0,4,5,0,8,13,0,10,10,4,18,24,8,4,14,15,10,26,8,18,23,7,10,22,19,5,23,8,3,15,10,3,10,22,4,29,18,0,14,14,0,19,8,0,8,15,0,15,33,0,33,4,5,14,202,106,297
LGA54690,3,0,3,0,0,0,0,3,7,0,4,4,3,9,8,0,9,6,14,4,16,9,0,10,3,7,8,11,6,18,3,5,8,3,5,4,8,12,17,9,0,9,3,0,7,0,0,0,11,3,12,10,0,10,4,3,5,94,62,157
LGA54760,5,3,9,3,0,3,0,0,3,0,5,5,3,10,16,7,8,14,5,3,8,4,3,10,8,7,17,7,8,17,4,6,9,15,4,12,26,5,31,14,0,16,17,0,20,12,0,12,21,0,28,32,0,32,4,7,12,197,74,270
LGA54830,81,110,193,28,47,75,44,128,175,82,260,340,169,575,749,276,337,612,579,213,794,564,352,913,655,425,1081,790,361,1150,740,328,1064,764,221,985,1597,345,1945,1238,47,1286,956,69,1024,572,19,590,964,60,1030,1330,111,1445,107,112,218,11540,4123,15666
LGA54900,8,0,11,0,0,0,0,0,0,0,4,4,0,19,23,0,4,8,16,9,28,13,17,36,17,15,35,26,9,33,23,13,33,27,8,35,44,12,59,32,0,32,24,0,26,12,0,12,34,3,42,42,0,44,5,12,18,320,148,469
LGA54970,0,3,3,0,0,0,0,8,12,6,5,13,10,8,19,3,5,5,17,6,19,12,4,16,9,5,10,3,0,5,6,4,10,6,6,12,3,3,16,10,0,10,4,0,9,5,0,5,7,3,10,12,0,12,0,3,6,115,67,183
LGA55040,0,0,3,0,0,0,0,6,3,3,4,4,0,8,11,3,4,8,12,7,13,3,3,12,10,10,22,10,12,23,13,13,26,3,11,15,31,15,43,20,0,20,23,3,24,12,0,12,29,0,36,34,0,34,3,0,5,209,107,314
LGA55110,318,393,705,127,124,249,131,381,513,172,826,993,519,2209,2732,701,1455,2163,2172,786,2960,1789,810,2595,1806,774,2590,1821,495,2315,1114,475,1588,1210,363,1572,2530,662,3188,1819,57,1882,1596,152,1753,941,25,966,2466,197,2666,3046,150,3194,330,408,739,24619,10742,35358
LGA55180,27,23,50,15,16,30,18,66,85,7,85,99,64,231,296,55,141,195,195,88,283,164,124,291,196,116,306,191,62,255,133,57,192,158,43,197,293,50,338,203,0,204,147,12,151,64,0,68,115,15,132,247,10,258,38,47,86,2322,1192,3514
LGA55250,7,6,7,0,0,0,5,3,7,7,13,15,6,14,21,6,3,11,14,3,20,7,8,11,12,8,23,9,10,17,9,6,18,11,0,15,18,14,36,7,0,7,9,0,8,3,0,6,4,5,7,26,0,26,11,20,31,170,108,276
LGA55320,295,367,664,174,153,328,139,337,477,112,618,735,418,1532,1951,366,1088,1456,1093,711,1804,1074,776,1852,1392,808,2200,1543,659,2204,1100,641,1741,1233,496,1735,2782,937,3724,2340,100,2447,2430,251,2681,1691,43,1733,7571,432,8006,2185,198,2382,203,250,455,28152,10413,38566
LGA55390,0,0,0,0,0,0,0,0,0,0,4,4,0,11,9,5,0,3,5,0,6,0,4,4,3,0,5,9,6,11,0,0,5,0,0,3,0,7,6,0,0,0,0,0,4,0,0,0,0,0,4,9,0,9,0,0,0,35,35,66
LGA55460,4,9,16,0,4,5,4,18,21,6,22,31,11,74,90,15,39,57,58,24,87,40,36,77,57,34,90,58,35,95,38,24,60,44,21,67,106,19,125,67,0,67,56,0,57,32,0,30,59,7,68,79,0,82,16,12,28,759,391,1151
LGA55530,0,3,3,0,0,0,0,0,0,0,0,4,0,11,13,0,0,4,6,0,6,8,0,10,8,7,14,6,3,7,8,0,8,10,0,11,17,4,18,4,0,4,9,3,6,0,0,0,10,3,9,13,0,13,4,4,7,101,42,147
LGA55600,10,10,22,0,0,0,6,7,17,0,13,13,20,43,63,12,24,35,41,20,66,29,28,54,33,30,60,41,13,55,26,22,48,29,17,46,64,24,84,60,0,60,45,7,55,21,0,22,43,3,47,69,0,72,6,13,21,545,277,824
LGA55670,0,5,0,0,0,0,3,5,6,0,9,9,0,14,17,0,3,9,10,8,12,11,4,18,10,8,11,14,8,16,14,7,19,6,3,10,21,8,28,6,0,8,8,0,8,8,0,8,12,5,14,13,0,13,5,5,5,134,78,214
LGA55740,27,43,69,15,18,33,8,57,67,11,87,101,29,176,201,31,122,148,40,88,130,67,100,169,86,103,188,88,91,178,76,72,146,87,43,127,154,104,257,125,11,143,164,25,193,88,4,90,942,71,1016,209,20,225,15,26,40,2247,1272,3520
LGA55810,4,4,9,0,0,0,0,0,0,0,4,3,3,4,6,3,4,9,8,8,14,3,4,7,4,3,12,6,3,11,0,0,3,3,5,4,9,3,11,7,0,7,0,5,5,0,0,0,3,3,6,6,3,12,0,5,9,71,57,128
LGA55880,0,9,7,0,4,3,0,0,0,0,7,5,0,10,6,6,0,4,11,5,6,3,5,9,0,7,13,12,9,19,3,4,6,9,0,11,8,7,14,11,0,11,6,3,11,0,0,5,15,0,15,20,0,20,0,0,6,115,61,174
LGA55950,6,0,6,0,0,0,0,0,5,6,3,5,4,12,17,8,9,7,4,6,10,4,4,16,11,8,15,7,3,6,11,3,13,7,3,16,19,5,26,12,0,12,8,0,8,9,0,9,7,6,15,17,0,17,6,0,7,148,68,215
LGA56090,75,118,193,30,37,67,63,121,179,33,216,247,151,565,713,164,305,473,527,206,733,459,227,682,592,245,834,640,199,841,417,178,598,562,124,689,1161,213,1376,988,17,1004,919,58,977,590,0,593,1729,70,1801,1273,56,1333,105,103,207,10489,3055,13541
LGA56160,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,5,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,28,10,32
LGA56230,58,50,107,22,29,52,23,67,92,35,142,178,105,358,472,119,232,350,451,120,570,293,136,431,330,120,449,323,72,394,217,75,290,237,52,287,492,109,601,405,3,411,327,30,364,179,3,186,495,42,538,690,32,721,77,82,157,4878,1760,6641
LGA56300,5,6,14,4,3,7,5,10,20,0,20,19,11,34,44,14,20,30,50,18,66,30,19,54,35,17,48,46,13,54,21,11,27,26,3,34,38,8,44,28,0,29,10,0,13,7,0,7,24,5,24,38,3,43,6,13,16,403,201,604
LGA56370,5,3,5,4,0,4,0,0,0,0,8,8,0,8,8,3,4,8,14,3,19,11,5,15,13,11,23,24,7,28,11,6,16,13,0,15,25,7,36,15,0,15,13,0,11,9,0,9,14,0,15,23,0,23,0,0,0,189,75,262
