LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA55110,33849,37044,70892,1273,1442,2711,156,142,302,108,129,235,149,181,332,37,46,85,4004,4567,8573,26,39,62,37,38,73,12,13,26,4,4,7,4536,5156,9689,229,252,484,123,140,263,6160,6988,13143,2917,2466,5383,42920,46496,89419
LGA55180,3666,3577,7240,197,221,414,8,8,19,6,10,14,10,10,16,0,0,4,238,270,508,0,4,3,7,6,7,0,0,0,0,0,0,271,311,581,36,16,47,7,8,18,508,560,1068,367,346,715,4537,4482,9019
LGA55250,400,274,673,13,15,30,4,4,4,0,4,6,6,5,10,0,3,8,72,46,122,0,0,0,3,7,11,0,0,0,0,0,0,97,65,162,5,0,5,0,0,0,114,82,200,189,119,310,707,477,1188
LGA55320,40937,44478,85418,1083,1225,2306,133,151,287,157,174,334,75,97,175,41,37,72,4359,4870,9232,11,18,26,25,21,47,10,10,25,0,0,0,4813,5385,10197,458,479,937,101,110,213,6463,7193,13658,1821,1774,3594,49223,53446,102668
LGA55390,200,72,270,4,13,12,0,0,0,0,0,0,5,0,5,4,0,4,44,24,65,0,0,0,0,0,3,0,0,0,0,0,0,55,23,87,0,0,0,0,0,0,58,39,98,135,22,157,394,128,525
LGA55460,1180,1142,2320,91,83,172,8,4,12,0,0,0,0,5,4,0,0,0,88,93,181,0,0,0,0,0,0,0,0,0,0,0,0,98,100,195,3,4,9,0,0,0,198,186,383,205,165,375,1581,1497,3079
LGA55530,162,128,291,13,13,30,0,0,0,0,0,0,0,4,4,0,0,0,5,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,5,0,0,0,23,17,41,35,32,70,221,178,401
LGA55600,893,872,1762,44,49,97,0,0,3,3,5,5,3,4,6,0,0,0,46,49,98,0,0,0,0,0,0,0,0,0,0,0,0,55,58,112,4,5,7,0,4,4,99,115,220,144,136,281,1140,1125,2264
LGA55670,226,213,436,17,14,32,0,4,4,0,0,0,0,0,0,3,0,3,18,17,34,0,0,0,0,0,0,0,0,0,0,0,0,20,25,41,0,0,0,0,0,0,34,39,77,67,67,131,329,313,644
LGA55740,3346,3729,7078,185,200,387,25,25,47,16,25,45,21,18,42,0,3,6,366,464,832,3,4,6,3,0,7,4,3,10,0,0,0,442,548,990,59,83,145,6,5,15,702,842,1538,252,204,452,4296,4773,9073
LGA55810,143,118,264,4,4,4,0,0,0,0,0,0,0,0,8,0,0,0,19,21,42,0,0,0,0,0,0,4,0,4,0,0,0,26,23,46,0,0,0,0,0,0,34,27,60,183,140,322,365,287,648
LGA55880,191,171,367,7,7,24,0,0,0,0,0,0,0,0,0,0,0,0,10,11,26,0,0,0,0,0,0,0,0,0,0,0,0,10,11,28,0,0,0,0,0,0,25,24,45,22,22,47,238,211,450
LGA55950,223,205,425,14,13,26,0,0,0,0,0,0,0,0,0,0,0,0,10,13,24,0,0,0,0,0,0,0,0,0,0,0,0,13,11,27,0,0,0,0,0,0,33,24,54,53,37,89,310,263,568
LGA56090,15462,15884,31338,285,308,592,27,28,51,23,26,43,39,34,71,4,5,9,1374,1459,2832,11,19,25,6,8,13,0,0,0,0,0,0,1485,1567,3050,73,77,154,38,35,69,1878,1989,3864,2822,777,3595,20158,18649,38804
LGA56160,36,40,72,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,15,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,0,0,0,0,0,0,7,4,19,3,6,12,51,47,100
LGA56230,6981,7124,14103,239,264,506,19,13,32,17,12,28,18,17,30,8,6,10,784,859,1644,3,5,7,6,4,11,0,0,0,0,0,0,847,915,1766,19,28,52,28,28,54,1140,1239,2375,773,654,1426,8885,9021,17907
LGA56300,596,552,1145,11,14,26,0,0,0,0,0,0,0,0,0,0,4,0,67,71,132,5,0,4,0,0,0,0,0,0,0,0,0,71,81,148,0,0,3,0,0,0,84,92,177,106,105,212,783,747,1531
LGA56370,303,284,582,15,15,25,0,0,3,0,0,0,3,5,10,3,7,7,11,10,21,0,0,0,0,0,0,0,0,0,0,0,0,19,23,40,0,0,4,0,0,0,32,38,67,79,48,134,416,370,783
LGA56460,1720,1826,3545,124,136,255,0,3,3,7,3,14,5,0,5,0,0,0,166,177,344,0,0,0,3,3,5,0,0,0,0,0,0,188,194,387,27,13,37,0,3,4,337,344,682,276,237,513,2332,2407,4741
LGA56580,8943,9192,18130,377,366,742,46,49,93,50,50,102,21,23,41,12,7,18,866,887,1756,0,3,4,0,0,9,14,9,25,0,0,0,1014,1037,2042,179,153,329,11,19,29,1579,1572,3149,324,351,676,10848,11115,21957
LGA56620,533,572,1105,38,37,73,0,3,3,0,0,6,0,4,5,4,8,15,20,11,24,0,0,0,5,0,3,0,0,0,0,0,0,30,30,65,0,0,5,0,5,5,65,72,141,50,47,101,651,689,1338
LGA56730,4105,4308,8415,240,262,504,8,13,21,11,5,17,9,13,23,3,5,13,368,373,747,0,0,0,0,3,3,0,0,0,0,0,0,405,412,820,20,26,45,8,12,17,677,704,1387,903,563,1467,5692,5575,11266
LGA56790,1231,1111,2346,94,75,170,9,5,7,0,0,7,6,6,12,4,0,5,88,91,179,0,0,0,0,0,5,0,0,0,0,0,0,108,102,215,3,7,11,0,7,7,208,197,402,260,205,463,1698,1512,3215
LGA56860,92,86,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,0,0,0,0,0,0,0,0,0,0,0,0,11,8,15,0,0,0,0,0,0,12,8,20,33,23,51,134,120,249
