LGA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
LGA53150,885,212,90,4,0,1191,772,153,96,0,0,1017,161,109,144,4,3,418,10,20,19,0,0,42,4,0,0,0,0,4,69,50,59,3,0,187,6,0,0,0,0,4,0,0,0,0,0,3,235,176,227,10,3,652,18,8,4,0,0,25,15,3,4,0,0,20,1926,548,424,9,3,2913
LGA53220,94,0,0,24,7,127,77,0,0,5,0,79,173,13,22,0,4,207,103,8,0,0,0,115,147,0,3,0,0,146,36,0,0,0,0,39,683,28,0,0,7,720,0,0,0,0,0,0,1134,54,26,6,11,1220,158,0,6,0,0,166,36,3,0,6,4,49,1491,58,38,33,28,1644
LGA53290,1586,89,19,47,23,1766,1452,32,0,0,8,1497,337,111,22,0,0,465,119,68,5,0,0,191,7,13,26,0,0,49,458,58,11,10,6,543,110,15,0,13,3,135,10,7,3,0,0,17,1040,269,63,21,9,1403,202,10,3,0,21,239,64,15,8,0,5,88,4339,413,95,72,67,4990
LGA53360,174,0,0,73,5,248,311,0,0,29,0,346,116,8,10,5,0,137,83,6,7,0,0,95,11,0,26,0,0,42,71,3,0,9,3,83,53,0,5,17,6,76,0,0,0,0,0,0,332,22,51,33,7,444,18,0,0,7,0,35,23,0,0,5,0,30,856,25,50,146,17,1097
LGA53430,3004,746,452,94,13,4307,3166,654,453,3,3,4285,728,570,701,3,0,2014,174,441,208,0,0,823,25,85,32,0,0,141,559,255,216,4,3,1040,44,15,28,34,0,131,6,0,7,0,0,16,1534,1373,1199,55,5,4168,89,108,22,3,0,222,78,59,24,0,8,168,7871,2932,2154,160,31,13148
LGA53570,832,12,3,21,5,870,687,3,0,0,4,695,70,0,5,0,0,87,10,8,0,0,0,19,3,4,0,0,0,13,137,5,9,4,0,159,43,0,0,3,0,54,3,0,0,0,0,3,277,29,17,11,0,329,78,5,0,4,0,91,40,3,0,3,0,48,1912,43,22,39,7,2026
LGA53640,186,0,0,0,0,186,88,0,0,0,0,92,13,0,0,0,0,13,12,0,0,0,0,12,4,0,0,0,0,4,46,0,0,0,0,46,20,0,0,0,0,22,0,0,0,0,0,0,89,0,0,0,0,97,55,0,0,0,6,53,6,0,0,0,0,9,425,4,0,0,5,437
LGA53710,178,4,0,4,0,187,88,0,0,0,0,88,15,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,10,35,0,0,0,0,35,8,0,0,0,0,15,0,0,0,0,0,0,59,12,0,0,0,75,25,0,0,0,0,25,7,0,0,0,0,14,361,19,0,4,0,383
LGA53780,10474,629,72,58,8,11247,18473,795,140,15,8,19426,4545,1023,350,17,9,5942,546,309,58,0,0,918,71,127,63,0,0,266,2509,290,64,15,4,2879,369,62,16,54,4,517,53,21,4,0,0,82,8099,1830,555,84,16,10592,347,404,15,13,4,786,518,86,13,8,3,623,37916,3746,801,176,40,42675
LGA53800,4100,301,21,103,25,4554,4779,186,20,9,5,4998,1467,452,103,4,9,2031,307,187,47,0,0,545,60,44,3,0,0,111,1081,159,21,0,3,1271,183,48,0,21,7,255,17,7,0,0,0,25,3117,901,173,24,17,4238,192,90,8,3,9,303,181,46,14,5,5,251,12367,1519,230,154,67,14338
LGA53920,34,0,0,26,0,64,8,0,0,3,0,12,0,0,0,0,0,0,359,38,12,0,7,412,154,7,0,0,0,168,5,0,0,3,0,7,53,7,0,0,0,67,3,0,0,0,0,6,583,50,8,9,12,661,75,16,0,5,6,106,39,5,0,11,15,70,740,80,15,48,30,908
LGA53990,3099,70,14,72,4,3264,4435,27,5,12,4,4477,897,69,6,4,5,972,124,51,9,0,0,185,15,27,0,0,4,41,607,48,8,8,0,667,89,5,0,48,0,140,15,0,0,0,0,13,1746,193,26,58,5,2036,128,60,0,5,0,190,94,6,0,3,0,110,9503,360,47,149,13,10077
LGA54060,592,36,4,14,0,650,338,11,5,5,0,355,124,16,0,0,0,139,16,20,6,0,0,46,3,14,5,0,0,25,94,12,0,3,0,116,13,0,0,4,0,17,5,0,0,0,0,5,253,67,17,8,0,345,27,12,0,3,0,41,33,5,0,0,0,38,1238,130,23,31,11,1437
LGA54130,153,0,0,9,0,164,91,0,0,4,0,99,3,0,0,0,0,3,8,8,0,0,0,17,0,5,0,0,0,3,35,0,0,0,0,38,35,0,0,5,0,43,0,0,0,0,0,3,92,14,0,5,0,106,53,0,0,0,0,53,0,0,0,0,0,0,391,14,0,19,4,424
LGA54170,18913,1635,251,79,6,20879,24589,1336,270,4,3,26203,4263,850,626,6,10,5756,141,187,24,0,0,359,35,54,14,0,0,101,2226,447,188,9,6,2867,120,21,20,8,0,169,26,14,3,0,0,51,6812,1576,870,19,17,9295,314,259,35,0,0,614,358,93,64,14,7,529,50982,4900,1483,120,32,57522
LGA54200,7063,277,16,124,4,7484,9375,179,15,13,3,9588,1721,194,25,0,3,1942,139,96,0,0,0,242,16,42,3,0,0,62,1060,89,8,8,0,1167,83,8,0,12,0,107,19,5,0,0,0,18,3036,435,40,23,8,3538,230,126,9,3,0,372,229,32,3,3,0,266,19923,1048,86,165,20,21248
LGA54280,1657,110,10,43,11,1832,3872,236,10,5,0,4119,1213,635,72,5,0,1922,282,237,11,0,5,525,9,59,0,0,4,68,571,105,7,7,3,696,233,101,11,82,6,424,8,16,0,3,0,27,2316,1144,104,88,10,3667,100,23,0,10,0,140,170,50,5,6,3,234,8110,1569,125,150,26,9991
LGA54310,362,32,5,36,6,448,1366,134,12,7,0,1518,791,242,175,0,0,1207,380,125,37,0,0,542,35,12,4,0,0,54,169,57,11,0,0,245,1466,216,60,27,3,1778,3,0,0,0,0,9,2844,651,286,30,9,3828,300,40,29,11,9,388,82,26,5,5,7,124,4951,893,330,97,34,6308
LGA54340,474,4,0,0,5,481,443,9,0,0,0,445,105,53,0,0,0,158,84,25,0,0,0,108,5,12,3,0,0,14,98,8,0,0,0,106,35,3,0,0,0,42,0,0,0,0,0,4,327,99,5,0,4,437,43,5,0,0,0,46,27,11,0,0,0,40,1313,126,5,5,6,1456
LGA54410,190,0,0,0,5,193,99,0,0,0,0,106,16,0,0,0,0,12,9,3,0,0,0,19,3,0,7,0,0,12,33,0,0,0,0,34,7,0,0,0,0,11,0,0,0,0,0,0,68,6,19,0,0,96,30,0,0,0,0,33,10,0,0,0,0,10,400,12,19,3,3,436
LGA54480,77,0,0,0,0,77,18,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,7,6,0,0,0,0,6,6,0,0,0,0,6,19,0,0,0,0,22,0,0,0,0,0,0,35,0,0,0,0,42,32,0,0,0,0,32,0,0,0,0,0,0,167,0,0,0,0,174
LGA54550,305,4,0,0,4,305,155,0,0,0,0,156,13,9,0,0,0,17,22,6,0,0,0,30,10,3,0,0,0,16,81,9,0,0,0,89,32,3,0,0,0,43,3,0,0,0,0,4,163,24,0,0,5,192,57,0,0,0,0,57,25,0,0,0,0,27,696,30,0,5,3,737
LGA54620,132,0,0,3,0,136,49,0,0,0,0,49,5,3,0,0,0,6,7,6,0,0,0,8,9,0,0,0,0,5,21,0,0,0,0,21,30,0,0,0,0,29,3,0,0,0,0,3,74,4,0,0,0,76,22,0,0,0,0,24,9,0,0,0,0,10,282,6,0,4,0,297
LGA54690,84,0,0,0,0,84,27,0,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0,8,4,0,0,0,0,4,10,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,0,26,9,0,0,0,0,9,9,0,0,0,0,9,154,0,0,0,0,157
LGA54760,138,0,0,4,0,147,44,0,0,0,0,44,0,0,0,0,0,0,9,0,0,0,0,10,3,0,0,0,0,3,16,0,0,0,0,15,16,0,0,0,0,18,0,0,0,0,0,0,43,0,0,0,0,51,24,0,0,3,0,27,0,0,0,0,0,0,258,4,0,4,5,270
LGA54830,2457,71,40,3,0,2571,8210,105,80,0,5,8400,2295,111,203,0,0,2611,239,141,106,0,0,483,62,44,31,0,3,141,861,36,40,0,0,932,114,0,11,0,0,132,20,7,0,0,0,23,3595,336,396,3,6,4324,84,33,0,3,0,126,220,10,16,0,0,242,14566,552,529,9,7,15666
LGA54900,209,0,0,0,4,212,90,4,0,0,0,92,0,0,0,0,0,0,8,7,0,0,0,17,0,3,0,0,0,4,45,0,0,0,0,43,27,0,0,0,0,32,0,0,0,0,0,0,78,17,0,0,0,97,52,0,5,0,0,56,10,0,0,0,0,15,438,18,3,4,4,469
