LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA52660,131,1572,2192,873,476,5237,63,5302
LGA52730,55,841,954,334,147,2326,35,2362
LGA52800,561,625,360,134,82,1760,84,1844
LGA52870,35,649,880,428,281,2277,33,2305
LGA52940,4,92,102,45,29,278,6,282
LGA53010,3,53,93,36,43,230,6,235
LGA53080,22,111,64,19,18,230,28,258
LGA53150,124,1037,1197,371,168,2897,19,2913
LGA53220,163,565,575,198,102,1596,49,1644
LGA53290,223,1524,1908,743,514,4908,79,4990
LGA53360,20,335,413,167,137,1068,25,1097
LGA53430,1113,5448,4698,1158,562,12974,174,13148
LGA53570,34,540,752,373,285,1973,48,2026
LGA53640,9,84,170,77,89,431,7,437
LGA53710,11,108,134,64,55,376,9,383
LGA53780,1775,13766,16665,6264,3624,42095,582,42675
LGA53800,679,4858,5457,2010,1101,14104,239,14338
LGA53920,398,285,108,33,23,839,66,908
LGA53990,238,2719,4225,1737,1022,9945,131,10077
LGA54060,50,496,517,214,119,1398,35,1437
LGA54130,8,115,152,91,63,424,7,424
LGA54170,1451,15938,25740,8972,4897,57002,516,57522
LGA54200,597,5847,8596,3526,2434,21006,247,21248
LGA54280,479,3053,3859,1516,872,9776,213,9991
LGA54310,211,1566,2768,1086,552,6181,123,6308
LGA54340,104,468,493,203,146,1413,43,1456
LGA54410,32,122,137,72,63,422,10,436
LGA54480,0,33,51,35,43,164,6,174
LGA54550,34,180,253,116,135,717,22,737
LGA54620,10,92,100,48,42,294,9,297
LGA54690,5,58,47,16,25,153,4,157
LGA54760,3,56,91,44,58,260,9,270
LGA54830,773,5400,6265,1979,1013,15422,236,15666
LGA54900,14,112,188,59,92,458,10,469
LGA54970,33,75,34,22,9,172,8,183
LGA55040,38,119,101,29,6,294,21,314
LGA55110,1788,13845,12896,4200,2091,34815,543,35358
LGA55180,164,1134,1283,541,333,3449,60,3514
LGA55250,46,103,60,19,22,254,23,276
LGA55320,1660,12760,16236,4905,2639,38196,372,38566
LGA55390,10,27,19,9,3,63,4,66
LGA55460,64,372,406,176,102,1121,31,1151
LGA55530,7,34,45,25,27,137,6,147
LGA55600,33,257,268,127,102,797,30,824
LGA55670,12,62,76,44,23,211,3,214
LGA55740,317,1283,1278,392,212,3481,43,3520
LGA55810,6,45,41,15,18,128,0,128
LGA55880,3,53,57,27,37,173,0,174
LGA55950,5,54,81,37,35,206,9,215
LGA56090,337,3273,5343,2555,1897,13404,136,13541
LGA56160,3,8,7,3,3,29,4,32
LGA56230,163,2092,2363,1104,794,6520,122,6641
LGA56300,27,163,250,103,50,594,9,604
LGA56370,9,68,99,50,37,262,3,262
LGA56460,114,645,592,260,166,1776,43,1819
LGA56580,264,2112,3484,1115,564,7540,59,7602
LGA56620,199,85,25,4,0,314,25,340
LGA56730,198,1265,1430,643,444,3983,88,4070
LGA56790,26,361,452,190,123,1150,45,1191
LGA56860,5,26,29,16,17,86,5,93
LGA56930,16,138,203,98,68,520,4,523
LGA57000,4,32,47,17,22,125,9,139
LGA57080,2559,7115,2098,282,104,12155,169,12329
LGA57140,21,140,138,67,60,423,7,432
LGA57210,44,549,743,362,266,1963,40,2001
LGA57280,264,1432,2004,733,334,4764,103,4872
LGA57350,7,99,109,42,43,305,9,313
LGA57420,29,287,276,91,84,765,22,786
LGA57490,1909,16574,19282,6638,3369,47776,647,48428
LGA57630,0,13,21,4,9,40,0,43
LGA57700,124,2194,4277,1914,1569,10077,131,10211
LGA57770,22,150,109,32,31,349,18,360
LGA57840,988,7374,6620,1789,748,17516,172,17690
LGA57910,5386,35839,34242,9170,4547,89179,1137,90318
LGA57980,709,3794,2303,491,173,7478,62,7534
LGA58050,1942,15965,21448,7887,4743,51985,675,52666
LGA58190,4,43,48,22,24,132,6,136
LGA58260,6,72,65,28,23,202,6,205
LGA58330,30,415,644,310,277,1683,68,1749
LGA58400,6,44,50,18,10,132,0,131
LGA58470,3,26,15,6,8,53,5,57
LGA58510,1416,6847,5140,1257,505,15162,200,15367
LGA58540,5,58,108,53,55,290,8,288
LGA58570,1453,7143,5122,1165,441,15317,136,15450
LGA58610,40,215,251,92,79,671,14,684
LGA58680,7,26,63,38,39,181,4,182
LGA58760,2307,22195,29689,10418,5805,70417,831,71246
LGA58820,57,447,584,272,200,1553,33,1584
LGA58890,4,63,109,51,63,290,8,293
LGA59030,8,21,35,21,14,97,0,101
LGA59100,3,42,105,30,37,226,0,229
LGA59170,9,93,132,85,43,358,8,365
LGA59250,9,37,22,3,7,80,5,84
LGA59310,18,147,205,97,44,514,9,521
LGA59320,0,37,59,33,37,163,0,161
LGA59330,13,79,71,27,18,211,5,209
LGA59340,319,706,624,223,139,2005,116,2122
LGA59350,6,14,15,4,3,42,3,44
LGA59360,16,122,127,60,50,368,13,377
LGA59370,43,461,500,239,151,1393,25,1420
LGA59499,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,3,0,3
