LGA_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
LGA50840,11,53,274,860,615,90,18,25,1954,0,17,30,12,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,17,30,12,0,0,0,0,58,0,3,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,7,7,4,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,7,16,80,312,880,620,97,18,32,2039
LGA50910,4,9,53,155,87,8,7,4,323,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,57,156,82,8,7,10,332
LGA50980,21,129,409,1793,1345,165,29,103,3992,18,106,201,102,27,0,0,26,479,9,30,110,62,9,0,0,0,222,34,135,313,167,31,0,0,27,701,0,15,75,17,4,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,78,21,4,0,0,3,124,57,111,26,26,22,9,3,12,258,14,31,24,9,4,0,0,14,101,113,422,843,2013,1405,179,35,163,5172
LGA51080,0,9,40,139,126,27,12,12,367,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,5,0,14,48,148,126,27,12,12,377
LGA51120,0,4,37,127,87,23,3,0,286,0,4,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,4,7,0,0,3,16,0,11,57,137,92,23,3,6,332
LGA51190,9,68,667,4993,3830,411,58,132,10171,3,258,820,890,68,0,7,84,2137,0,7,87,278,43,3,0,5,424,3,267,906,1167,110,6,7,90,2556,4,85,157,61,0,0,0,7,333,0,10,64,26,0,0,0,0,104,0,0,12,3,0,0,0,0,15,0,0,10,20,0,0,0,0,32,0,0,0,0,0,0,0,0,4,3,95,253,113,7,0,0,10,490,9,39,42,9,0,0,0,14,116,0,3,7,6,3,0,0,8,28,27,478,1868,6296,3953,415,67,254,13356
LGA51260,20,160,803,4720,6525,710,134,160,13238,4,131,445,451,99,9,4,27,1166,0,23,27,93,55,12,0,7,205,4,151,466,541,155,16,4,35,1366,0,0,22,8,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,4,10,5,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,9,6,7,7,0,0,0,31,0,11,40,16,9,0,0,0,74,19,80,113,29,16,0,0,13,268,0,3,9,7,3,0,0,7,36,44,403,1427,5316,6706,728,141,219,14988
LGA51310,0,31,484,2539,3330,1010,195,38,7619,0,21,239,260,39,4,0,6,572,0,67,103,388,55,5,0,10,627,0,87,346,643,97,13,0,13,1202,11,86,251,35,3,0,0,4,391,5,121,164,78,8,0,0,7,377,17,306,230,19,0,0,0,3,568,0,29,155,0,0,0,0,6,188,0,6,0,0,0,0,0,0,10,27,550,800,129,10,0,3,16,1540,0,0,0,0,0,0,0,0,0,0,0,7,9,4,0,0,0,16,27,677,1634,3317,3441,1020,198,63,10378
LGA51330,11,189,1004,9703,12766,2172,485,272,26598,5,213,1128,2709,456,51,53,86,4701,0,60,173,268,133,36,48,17,736,6,278,1293,2977,587,86,102,106,5434,0,95,358,433,38,5,0,6,930,0,10,12,27,0,0,0,0,54,0,18,163,3,0,0,0,3,189,0,41,61,3,0,0,0,0,108,0,11,11,6,4,3,5,4,43,0,172,606,472,40,4,4,16,1317,5,8,12,4,0,0,0,4,38,0,14,16,7,6,0,0,11,61,27,656,2937,13165,13398,2265,597,404,33444
LGA51400,4,35,199,1640,3547,389,62,75,5949,0,53,65,48,5,7,0,5,174,0,7,3,0,0,0,0,0,15,0,61,62,48,5,7,0,5,188,0,38,25,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,25,0,0,0,0,0,69,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,8,8,133,290,1693,3559,393,59,86,6221
LGA51470,0,5,26,110,52,10,5,0,206,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,10,34,110,49,10,5,6,219
LGA51540,5,35,152,707,341,38,23,26,1320,0,34,102,38,0,0,0,11,187,0,5,12,12,0,0,0,0,31,0,39,110,53,3,0,0,7,215,0,41,5,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,0,0,0,0,0,48,30,71,18,6,12,6,0,8,147,0,7,3,4,0,0,10,4,30,33,195,291,776,360,45,29,44,1771
LGA51610,0,25,44,154,201,33,12,10,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,5,38,51,155,207,33,12,12,506
LGA51680,6,26,131,503,950,190,70,19,1902,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,32,137,507,962,190,70,22,1926
LGA51710,0,15,29,122,24,6,0,4,193,0,3,41,34,4,4,0,3,83,0,0,0,6,0,0,0,0,10,0,7,43,37,4,4,0,3,96,0,29,29,11,0,0,0,3,76,0,0,13,25,3,0,0,0,51,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,41,42,3,0,0,3,127,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,57,117,203,33,3,0,10,422
LGA51750,0,7,159,743,857,242,51,15,2070,0,23,127,339,99,9,0,6,604,0,10,103,199,75,8,0,3,398,0,33,231,535,168,20,0,10,999,0,40,156,34,3,0,0,0,242,0,95,96,43,0,0,0,0,234,0,129,353,112,0,0,0,0,600,0,12,187,39,7,0,0,3,248,0,0,0,0,0,0,0,0,0,0,279,792,231,7,0,0,13,1324,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,317,1180,1512,1033,261,57,42,4399
LGA51820,26,164,971,12141,19354,2109,298,324,35391,0,347,1230,2141,276,18,3,72,4092,3,97,293,454,84,5,4,13,953,4,445,1522,2597,357,24,7,84,5041,0,135,443,54,3,0,0,16,652,0,200,504,142,0,0,0,11,856,0,273,593,77,3,0,0,6,958,0,62,200,25,0,0,0,3,295,7,13,25,15,8,3,4,0,73,8,684,1760,312,15,3,4,47,2832,10,50,116,34,5,0,0,0,212,0,9,13,5,3,0,0,11,42,45,1346,4380,15086,19736,2141,309,460,43510
LGA51860,0,0,8,51,33,12,0,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,49,33,12,0,4,122
LGA51890,4,27,381,1481,1051,138,16,59,3165,0,19,20,50,10,0,0,5,108,0,0,0,0,0,0,0,0,0,0,19,20,50,10,0,0,5,108,0,6,58,35,0,0,0,4,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,58,35,4,0,0,4,104,4,4,4,4,0,0,0,0,17,4,0,0,8,3,0,0,3,16,9,57,460,1571,1075,138,18,73,3404
LGA51960,0,21,68,618,243,17,5,25,998,0,0,41,4,0,0,0,0,58,0,0,28,0,0,0,0,0,27,0,0,69,4,0,0,0,0,83,0,5,13,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,3,0,0,0,0,19,0,8,0,0,0,0,0,0,12,5,0,4,0,0,0,0,0,8,6,36,160,633,245,17,5,27,1126
LGA52030,0,10,57,187,116,17,4,0,394,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,7,0,13,64,198,123,17,4,3,418
LGA52100,0,6,49,176,118,22,0,3,372,0,10,3,0,0,0,0,0,11,0,6,0,0,0,0,0,0,3,0,13,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,18,55,176,121,22,0,10,395
LGA52170,0,19,197,777,756,249,40,19,2058,0,8,49,66,9,5,0,3,136,0,3,52,141,25,3,0,3,224,0,14,100,205,38,9,0,4,364,0,32,85,28,5,0,0,4,157,16,108,155,37,4,0,0,4,337,5,10,54,20,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,154,299,86,9,0,0,10,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,185,594,1068,800,252,38,28,2998
LGA52240,0,14,52,181,107,20,10,3,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,5,0,0,3,0,0,0,0,0,8,0,17,58,186,107,20,9,6,405
LGA52310,0,12,58,148,102,11,13,4,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,18,63,148,102,11,13,4,359
LGA52380,0,6,14,22,7,0,5,4,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,3,0,7,14,24,7,0,0,13,70
LGA52450,0,3,62,190,120,34,18,6,433,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,12,65,192,122,34,18,6,447
