LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA50840,18,36,53,372,434,804,0,0,0,37,28,73,0,0,0,282,347,632,3,7,13,5,3,11,8,8,19,7,0,11,9,13,14,0,0,0,5,11,17,6,6,12,26,30,60,0,0,0,10,13,22,57,65,115,83,99,183,0,0,5,917,1063,1984,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,7,14,20,10,15,24,1336,1266,2604,11,5,14,10,9,22,1354,1288,2636,284,239,521,2587,2649,5238
LGA50910,0,4,4,84,104,187,0,0,0,6,6,11,0,0,0,54,53,102,0,0,4,0,0,0,0,6,6,0,0,0,0,0,4,0,0,0,0,4,4,4,0,7,19,20,46,0,0,0,0,0,0,26,24,50,11,10,15,0,0,0,196,230,428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,215,165,375,0,0,0,0,0,0,215,166,374,66,56,119,474,455,929
LGA50980,53,141,193,423,492,916,0,0,0,68,77,142,0,0,0,1833,2153,3993,12,16,23,8,11,22,24,28,53,6,6,7,3,19,22,0,0,4,32,49,81,75,87,162,52,56,108,0,11,11,19,19,30,74,106,178,162,199,364,0,4,3,2797,3321,6118,33,24,58,47,37,82,4,7,11,15,20,38,5,8,11,19,18,36,34,48,87,3821,3767,7589,18,13,31,7,19,25,3849,3801,7644,1437,1332,2766,8255,8706,16959
LGA51080,4,4,3,59,58,119,0,0,0,47,54,101,0,0,0,82,70,149,0,0,0,0,0,0,0,0,0,0,0,0,9,7,16,0,0,0,5,4,6,0,7,7,3,9,7,0,0,3,0,0,0,31,34,68,12,13,28,3,3,7,252,257,510,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,0,0,4,0,4,196,182,371,0,0,0,0,0,0,198,182,380,69,80,144,526,525,1046
LGA51120,0,0,0,82,84,169,0,0,0,0,0,0,0,0,0,70,79,142,5,9,19,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,9,3,12,0,4,10,5,9,15,17,18,33,15,15,30,0,0,0,207,230,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,204,158,365,0,0,0,0,0,0,204,159,370,96,85,176,503,476,979
LGA51190,105,204,309,1791,2418,4207,0,0,0,219,247,465,0,0,0,2680,3196,5876,31,49,85,65,83,150,65,128,195,69,97,170,29,39,74,3,3,13,62,79,137,85,109,195,149,182,331,31,55,86,45,55,97,272,403,677,425,509,934,16,17,36,6048,7672,13716,111,96,205,115,121,235,3,9,15,3,0,3,45,36,85,52,85,133,99,125,224,7728,7259,14986,64,36,99,29,37,66,7818,7333,15152,1899,1230,3125,16194,16790,32987
LGA51260,140,248,386,2651,3336,5981,0,0,0,236,279,520,0,0,0,2674,3243,5916,102,111,208,37,47,84,124,174,300,24,25,49,41,56,100,0,0,0,64,79,142,95,111,206,211,242,452,10,30,42,66,64,129,428,635,1063,516,597,1110,17,16,30,7295,9051,16342,70,61,126,106,87,191,10,8,20,0,4,8,40,29,74,35,51,88,76,91,164,10292,9794,20091,62,35,92,23,55,77,10374,9889,20262,1674,1472,3146,19752,20894,40640
LGA51310,200,286,482,1672,2018,3693,0,0,0,82,95,180,0,0,0,3070,3612,6678,48,69,119,290,358,645,12,19,34,3,0,7,44,45,87,24,20,43,50,71,122,55,86,146,138,174,311,14,11,25,9,5,19,243,353,598,250,353,602,3,9,16,6026,7308,13331,201,199,396,81,96,181,61,53,111,0,0,0,24,23,42,57,59,115,81,81,156,6691,6093,12783,58,44,98,13,35,46,6760,6170,12931,660,612,1275,14066,14807,28876
LGA51330,2807,3304,6107,2778,3486,6266,0,0,0,883,1010,1899,100,87,193,7641,8562,16204,124,161,283,203,234,436,114,165,275,69,76,140,72,83,162,116,114,232,409,437,848,625,732,1361,883,931,1811,24,53,73,120,194,310,667,873,1537,1906,2143,4052,61,73,131,16800,19405,36208,3178,2838,6022,3690,3141,6832,22,20,38,3,0,3,1378,1196,2568,182,215,391,1561,1405,2968,16824,15145,31967,130,90,224,51,71,124,17012,15310,32321,2957,2421,5371,48021,47844,95860
LGA51400,45,74,111,1028,1255,2283,0,0,0,264,239,505,0,0,3,1328,1565,2894,16,20,35,24,35,59,30,37,66,34,53,90,29,36,63,7,5,14,39,38,79,90,95,184,156,142,304,8,15,25,31,41,68,141,194,335,328,402,729,34,33,60,3585,4203,7788,33,38,76,76,75,151,3,4,5,0,0,0,7,0,9,25,49,70,31,54,81,4426,4287,8710,26,13,38,5,19,27,4453,4322,8772,651,527,1181,8882,9287,18175
LGA51470,0,0,0,51,51,101,0,0,0,0,0,0,0,0,0,28,34,64,4,0,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,5,5,0,0,0,0,9,12,0,0,0,5,0,6,17,15,35,6,9,17,0,0,0,118,121,242,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,98,217,0,0,0,0,0,0,124,98,219,44,37,85,287,261,552
LGA51540,58,58,118,226,214,442,0,0,0,13,24,37,0,0,0,571,574,1146,42,57,98,8,4,11,11,19,35,0,0,3,6,3,7,0,0,0,12,12,21,10,11,20,36,30,67,0,3,4,8,10,15,34,40,70,67,61,130,0,3,4,1046,1067,2113,17,13,26,30,18,44,3,0,4,13,5,16,0,0,0,7,9,10,19,14,31,1037,906,1945,10,0,3,5,5,6,1048,913,1958,524,437,962,2732,2520,5251
LGA51610,4,4,8,115,126,241,0,0,0,8,9,16,0,0,0,154,175,325,3,0,4,0,0,0,5,4,7,0,0,0,4,6,8,0,0,0,3,4,4,11,0,11,3,7,9,0,0,0,3,0,3,12,10,20,26,23,49,0,0,0,353,351,704,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,272,593,0,0,0,0,0,0,327,272,591,120,115,242,806,750,1556
LGA51680,9,18,27,406,494,903,0,0,0,25,36,56,0,0,0,451,503,948,0,6,9,14,14,24,6,7,10,0,3,6,6,5,11,0,0,0,10,13,19,21,18,39,39,32,72,10,5,15,17,16,33,45,46,97,68,103,175,3,9,7,1113,1311,2424,10,6,19,10,8,16,4,0,4,0,0,0,0,0,0,0,8,6,4,8,12,1499,1286,2783,7,0,8,0,4,4,1507,1293,2794,356,277,631,3005,2924,5930
LGA51710,134,127,258,25,12,35,0,0,0,13,10,28,0,0,0,64,59,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,17,19,31,0,0,0,132,116,245,4,0,10,204,170,374,0,0,0,0,0,0,0,4,4,0,4,6,0,7,11,182,153,333,0,0,0,0,0,0,185,150,336,348,105,453,1006,685,1692
LGA51750,66,92,160,892,1146,2038,0,0,0,47,45,92,0,0,0,859,1101,1955,14,15,34,45,79,123,3,3,11,0,0,0,9,17,29,3,4,9,16,26,49,20,26,48,63,95,157,0,3,0,4,3,7,140,215,356,97,103,196,8,3,6,2225,2893,5116,47,51,95,30,42,68,29,48,76,3,0,3,8,3,11,26,28,56,33,35,68,2516,2351,4869,24,19,42,13,20,33,2553,2388,4940,398,366,758,5379,5909,11284
LGA51820,837,1238,2073,4318,5332,9648,0,0,0,802,939,1743,38,43,84,14639,16209,30843,65,76,137,586,652,1240,173,211,381,57,59,123,94,110,210,49,53,101,330,387,719,667,752,1418,701,758,1457,41,52,94,71,97,162,531,801,1335,1788,2106,3888,55,58,113,25000,28693,53693,1046,1044,2091,854,893,1748,38,69,112,6,0,6,226,179,407,206,273,481,439,458,893,25883,24099,49982,187,138,325,93,154,251,26171,24388,50552,3796,3129,6921,58179,59910,118091
LGA51860,0,0,0,3,6,9,0,0,0,0,0,0,0,0,0,3,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,9,17,29,0,0,0,198,192,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,39,83,0,0,0,0,0,0,44,38,86,45,47,93,302,292,593
LGA51890,6,24,31,485,625,1110,0,0,0,54,62,119,0,0,0,685,720,1407,25,25,44,0,3,6,24,22,48,4,9,8,4,3,16,0,0,0,19,14,38,13,18,36,28,31,58,8,7,17,8,14,24,82,107,187,67,81,145,7,3,10,1516,1753,3262,3,9,8,9,8,18,0,0,0,0,3,3,0,0,0,13,18,34,12,27,39,2435,2103,4548,10,13,18,0,10,14,2447,2130,4574,468,408,873,4468,4347,8812
LGA51960,14,19,34,159,141,300,0,0,0,22,22,44,0,0,0,181,180,363,19,25,37,10,8,16,10,15,25,0,9,11,9,5,14,0,0,0,9,7,20,8,9,14,24,20,45,0,4,4,9,7,15,16,29,42,50,50,105,0,9,11,528,525,1054,7,0,7,3,10,10,0,0,0,0,0,0,3,0,9,4,6,8,8,5,16,830,666,1498,4,0,5,3,3,11,838,676,1513,483,362,845,1881,1601,3478
LGA52030,0,0,8,101,97,200,0,0,0,4,0,6,0,0,0,68,77,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,11,19,5,0,5,0,3,3,28,29,56,11,13,22,0,0,0,225,231,458,0,0,4,0,6,7,0,0,0,0,0,0,0,0,0,4,6,5,4,6,5,258,169,426,0,0,0,0,0,0,263,166,427,86,67,147,577,482,1055
LGA52100,0,6,3,114,122,235,0,0,0,5,8,10,0,0,0,62,60,119,6,5,13,0,0,0,5,3,9,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,5,8,9,0,0,0,4,0,10,33,30,64,4,3,8,0,0,0,232,247,477,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,209,437,0,0,0,0,0,0,233,209,441,33,39,74,503,505,1007
LGA52170,16,26,46,687,781,1461,0,0,0,8,20,29,0,0,0,689,794,1484,5,0,5,50,53,96,0,0,0,0,0,0,5,6,14,0,0,0,9,18,30,8,12,24,41,64,102,0,0,0,0,0,3,78,107,186,47,69,116,4,0,5,1634,1920,3555,15,9,32,3,5,18,16,3,20,0,0,0,3,0,8,12,9,19,13,12,27,1964,1791,3755,18,9,29,3,9,12,1985,1812,3795,253,224,472,3943,4027,7970
LGA52240,0,0,3,111,95,205,0,0,0,30,30,60,0,0,0,56,62,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,5,10,0,0,0,4,5,4,4,10,20,5,11,21,0,0,0,230,220,453,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,260,228,488,0,5,4,0,0,0,262,232,494,69,73,139,572,532,1100
LGA52310,0,4,9,57,67,123,0,0,0,16,18,36,0,0,0,42,58,106,4,0,4,0,0,0,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,3,9,13,6,3,12,0,6,5,0,0,0,19,10,27,13,20,32,0,0,0,169,198,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,181,420,0,0,0,0,0,3,250,180,423,53,42,95,470,426,902
LGA52380,0,0,3,16,3,21,0,0,0,0,0,0,0,0,0,27,13,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,8,0,4,3,0,0,0,52,25,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,25,95,0,0,0,0,0,0,64,25,95,24,19,39,147,73,215
LGA52450,4,6,5,102,94,192,0,0,0,7,8,14,52,46,105,81,78,158,0,0,0,0,0,0,9,8,12,0,0,0,0,0,3,0,0,0,6,3,3,0,3,4,4,3,9,3,0,4,0,0,0,45,43,87,11,16,26,0,0,0,321,307,624,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,7,6,4,9,9,294,245,534,0,0,0,0,6,4,291,249,544,56,57,110,680,618,1302
LGA52520,0,0,0,73,98,165,0,0,0,22,31,52,53,53,104,88,84,171,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,4,5,4,0,0,0,3,0,3,32,24,59,33,21,60,0,0,0,315,318,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,223,498,0,0,0,0,3,0,280,230,506,124,110,232,720,660,1379
LGA52590,8,7,14,261,262,524,0,0,0,16,13,31,0,0,0,206,231,435,0,4,4,0,3,3,0,0,0,0,0,0,11,14,21,0,0,5,5,3,13,0,0,5,18,27,49,0,3,3,11,3,11,38,47,82,27,26,59,0,3,3,605,645,1254,9,3,15,4,6,10,0,0,0,0,0,0,3,0,4,3,8,10,8,10,18,915,733,1647,3,0,6,0,0,0,919,732,1650,246,157,403,1790,1567,3355
LGA52660,46,66,114,856,1039,1897,0,0,0,145,158,305,0,0,0,1151,1304,2449,17,32,51,11,18,31,38,55,90,23,17,40,20,16,37,0,3,4,29,28,62,49,55,109,79,89,165,8,17,26,24,22,50,120,152,276,218,224,435,6,9,20,2800,3239,6042,31,16,47,63,68,129,0,0,0,5,4,3,14,19,35,8,29,36,31,45,75,3661,3438,7101,20,15,36,8,13,20,3692,3467,7157,620,496,1121,7281,7406,14686
LGA52730,34,57,94,327,359,682,0,0,0,23,34,60,0,0,0,220,271,486,0,0,0,0,0,0,26,33,57,6,0,9,12,17,21,0,0,0,5,10,20,4,9,9,24,31,55,0,0,0,7,7,13,49,66,108,39,68,104,0,3,5,737,905,1642,3,3,10,7,6,12,5,8,15,0,0,0,0,0,0,11,29,41,11,29,41,1862,1817,3686,14,10,24,11,24,34,1889,1849,3743,391,366,754,3084,3226,6310
LGA52800,7,19,27,99,114,216,0,0,0,26,34,59,0,0,0,377,420,799,5,10,15,6,0,6,3,4,9,0,0,3,3,5,8,0,0,0,345,389,731,33,45,80,28,12,42,3,5,8,13,21,35,56,100,154,198,220,419,3,5,5,1206,1383,2585,10,5,14,23,12,28,0,0,0,48,40,91,0,0,3,10,6,17,63,56,119,1032,921,1947,3,9,14,8,0,8,1041,923,1965,1218,1116,2331,3568,3510,7075
LGA52870,13,21,32,385,503,888,0,0,0,26,24,51,0,0,0,442,512,950,3,8,8,0,6,7,23,37,61,0,4,5,8,6,14,0,0,0,25,33,63,10,12,23,24,32,65,4,3,6,19,27,47,48,55,107,90,114,205,0,0,3,1125,1374,2498,4,3,6,14,10,29,6,0,5,0,6,6,0,0,5,10,24,38,14,26,39,1583,1455,3035,5,4,13,3,12,16,1594,1465,3055,275,216,489,3039,3112,6155
LGA52940,0,0,0,64,61,127,0,0,0,9,5,11,0,0,0,28,49,79,0,0,0,0,0,0,12,4,15,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,7,4,9,0,0,0,0,0,0,25,26,47,14,13,28,0,0,0,154,166,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,168,137,306,0,0,0,0,0,0,167,143,312,47,29,78,374,337,715
LGA53010,0,0,0,47,42,87,0,0,0,0,3,11,0,0,0,37,48,84,0,0,0,0,0,0,5,11,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,9,4,7,0,0,0,0,0,0,16,7,22,7,7,11,6,0,3,124,126,248,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,4,3,6,158,138,297,0,0,0,0,0,0,156,137,299,68,54,121,353,323,681
LGA53080,7,6,17,37,34,64,0,0,0,3,12,17,0,0,0,48,40,89,9,5,12,4,0,4,0,0,0,0,0,4,8,0,8,0,0,0,0,7,7,0,4,10,5,4,6,0,0,0,0,6,4,6,3,3,7,3,14,0,0,0,123,118,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,4,3,158,111,267,0,0,0,0,0,0,161,111,272,83,64,149,372,305,677
LGA53150,16,49,65,353,471,825,0,0,0,32,42,70,0,0,0,841,1044,1886,3,7,6,21,21,38,15,12,25,0,0,0,7,8,15,0,0,0,10,19,31,5,13,26,40,52,91,0,0,0,0,0,0,57,74,134,46,73,121,3,0,3,1437,1829,3270,8,8,22,10,5,17,0,4,5,0,0,0,0,0,6,19,30,51,23,27,50,1937,1893,3834,21,13,36,0,14,9,1963,1915,3878,254,252,509,3721,4102,7819
LGA53220,48,69,117,273,163,431,0,0,0,113,106,217,0,0,0,789,451,1239,8,3,14,31,16,45,6,3,7,8,0,11,74,77,153,3,0,3,21,9,34,43,27,74,47,12,64,0,0,0,60,63,122,47,22,75,212,186,399,8,3,6,1740,1162,2903,63,20,76,68,29,95,4,0,4,84,73,163,8,6,17,13,9,26,109,90,202,2339,1433,3774,14,7,17,13,9,19,2361,1451,3817,1868,678,2547,6256,3504,9760
LGA53290,33,59,90,708,785,1502,0,0,0,98,107,203,0,0,4,761,847,1604,15,29,43,3,11,13,53,73,119,4,8,8,75,98,177,0,6,4,42,43,88,48,50,91,85,105,189,7,9,14,30,35,65,175,224,405,322,337,663,9,4,17,2439,2764,5203,6,4,15,9,7,18,0,0,0,3,3,9,0,0,5,8,12,20,15,17,33,3554,3239,6791,15,10,30,8,10,18,3577,3266,6842,915,771,1686,6990,6891,13883
