LGA_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA52520,0,3,9,7,0,5,0,0,0,24,3,3,6,12,4,4,4,0,0,30,24,52,127,152,110,141,55,11,5,671
LGA52590,0,5,9,9,11,11,0,0,0,48,4,3,19,9,9,12,8,6,0,65,63,76,271,272,326,383,150,39,3,1571
LGA52660,12,35,79,69,55,32,9,5,0,294,15,26,57,63,56,38,19,3,0,274,457,544,1424,1595,1491,1176,284,47,5,7025
LGA52730,7,6,19,25,17,16,0,0,0,86,9,0,12,17,26,20,14,5,0,102,162,89,282,528,617,625,239,52,5,2592
LGA52800,0,5,26,11,24,11,3,0,0,86,0,12,27,13,11,11,11,0,0,79,61,158,532,381,362,345,142,11,0,2001
LGA52870,9,3,19,19,22,18,5,0,0,97,5,9,14,21,31,27,6,8,0,124,161,137,350,537,659,637,244,47,5,2774
LGA52940,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,4,0,0,10,6,21,37,70,69,61,46,5,0,318
LGA53010,0,4,0,4,6,0,0,0,0,7,0,0,0,0,4,4,0,0,0,8,6,16,54,64,57,74,30,3,0,312
LGA53080,0,0,0,0,0,0,0,0,0,5,0,4,6,0,0,4,3,0,0,20,15,20,52,33,51,69,24,7,0,262
LGA53150,7,16,21,21,30,16,7,0,0,121,5,15,22,30,43,25,12,3,0,142,250,317,592,763,993,820,255,32,0,4016
LGA53220,4,14,46,31,20,10,0,0,0,118,5,10,28,18,14,19,0,0,0,96,139,389,1434,1242,929,624,91,9,0,4859
LGA53290,30,34,74,54,72,43,10,0,0,309,22,35,45,42,46,54,17,9,0,269,413,504,1162,1263,1469,1254,368,67,4,6504
LGA53360,7,4,13,9,15,4,0,0,0,58,4,13,36,20,11,18,3,0,0,106,103,140,437,395,346,247,52,9,0,1733
LGA53430,35,45,124,110,111,87,24,5,0,542,29,47,181,165,140,112,41,9,0,735,673,1304,3594,3606,3324,2968,957,130,11,16569
LGA53570,3,4,15,13,17,10,5,0,0,65,3,14,21,20,24,24,14,3,0,124,99,152,444,437,581,540,188,44,6,2487
LGA53640,0,0,4,0,4,5,0,0,0,18,6,6,9,5,4,4,0,0,0,28,14,39,132,111,117,108,69,8,0,610
LGA53710,0,5,4,7,5,3,0,0,0,22,0,0,0,0,0,4,0,0,0,13,16,32,48,94,91,101,47,9,4,440
LGA53780,126,295,570,600,505,351,110,11,0,2565,148,373,821,867,659,465,119,18,4,3471,3184,5796,12233,14594,12076,8195,2145,167,10,58391
LGA53800,65,95,166,152,137,113,40,12,0,779,57,65,121,119,137,105,50,8,4,671,1323,1441,3290,3520,4000,3299,960,122,14,17963
LGA53920,0,0,5,8,0,8,0,0,0,16,3,0,15,12,10,8,3,0,0,50,19,79,201,168,157,119,31,0,0,786
LGA53990,40,48,123,85,94,76,21,0,0,478,46,43,114,106,100,67,34,0,4,519,973,955,2459,3037,3028,2351,607,69,9,13484
LGA54060,3,5,4,9,3,3,0,0,0,35,6,5,3,10,19,20,9,6,0,82,94,86,143,259,351,354,137,35,0,1465
LGA54130,0,0,3,0,0,3,0,0,0,10,0,0,0,0,5,4,0,0,0,12,14,44,103,132,115,122,55,0,0,589
LGA54170,177,350,604,685,655,557,194,18,0,3240,192,271,595,695,738,613,197,26,0,3327,5414,7215,13330,17936,19415,15711,4338,353,22,83741
LGA54200,86,151,283,273,255,227,75,8,0,1355,60,127,267,293,270,218,72,16,7,1320,1751,2454,5057,6472,6454,5058,1537,163,16,28979
LGA54280,57,91,169,142,141,83,21,0,0,703,49,64,142,144,134,90,32,3,0,659,888,1429,3572,3326,3029,2416,589,46,0,15298
LGA54310,33,37,111,111,74,35,6,0,0,396,25,50,151,153,101,53,7,0,0,556,597,748,2834,3167,2310,1242,230,9,0,11129
LGA54340,10,12,20,9,12,10,8,0,0,86,6,10,12,15,17,31,4,0,0,86,110,175,356,330,345,353,126,22,0,1816
LGA54410,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,4,5,0,0,16,34,24,65,80,102,120,30,13,0,472
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,8,6,18,48,68,66,37,18,8,0,258
LGA54550,0,0,9,4,0,4,4,0,0,23,3,6,3,5,13,11,13,0,0,54,30,63,146,194,183,215,106,22,3,967
LGA54620,3,3,0,3,0,0,0,0,0,13,4,0,5,5,0,0,5,0,4,17,16,34,67,79,99,86,54,21,7,459
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,28,32,45,47,28,3,0,193
LGA54760,0,0,0,4,3,0,4,0,0,10,0,0,0,0,3,0,0,0,0,4,9,19,55,88,95,81,38,18,0,404
LGA54830,40,99,262,207,132,81,18,7,0,847,54,112,305,280,224,134,36,0,0,1139,1119,2011,5458,5621,4142,2473,508,38,4,21377
LGA54900,0,0,4,6,3,3,0,0,0,17,0,3,3,0,3,9,3,5,0,23,22,49,120,150,151,154,71,23,0,744
LGA54970,0,0,0,0,3,0,0,0,0,8,3,0,6,7,4,0,0,0,0,15,9,40,144,104,99,99,13,0,0,518
LGA55040,0,4,4,10,0,0,0,0,0,21,0,0,6,0,0,0,0,3,0,11,17,69,188,143,120,100,28,4,0,669
LGA55110,99,141,317,256,282,217,74,7,0,1394,111,141,301,310,325,244,97,31,7,1564,2432,3128,6385,7220,8043,6989,1763,192,15,36163
LGA55180,8,16,36,26,27,31,8,0,0,152,15,20,33,32,32,44,22,4,0,208,289,277,671,716,917,995,393,71,3,4339
LGA55250,0,0,0,0,0,4,5,0,0,10,4,4,0,4,0,0,0,0,0,19,3,41,149,81,73,83,37,6,0,483
LGA55320,111,169,322,347,324,275,122,12,0,1669,105,203,389,499,461,375,133,44,8,2221,3248,4796,8980,11058,11375,8878,3016,370,27,51746
LGA55390,0,0,3,0,0,0,3,0,0,10,0,5,0,0,0,0,0,0,0,3,4,34,60,49,48,33,14,3,0,247
LGA55460,5,11,16,15,10,3,3,0,0,65,3,4,6,0,10,13,3,3,0,49,88,118,268,259,288,285,96,18,3,1414
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,27,38,42,37,17,3,0,184
LGA55600,9,4,12,14,10,6,4,0,0,50,6,6,4,3,6,12,4,0,0,27,53,70,156,171,240,246,107,30,0,1078
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,17,37,43,52,62,19,9,0,249
LGA55740,15,33,23,24,31,16,8,0,0,150,14,10,30,43,63,26,15,3,0,204,255,425,768,916,1051,708,301,61,0,4486
LGA55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,15,25,34,45,42,14,6,0,179
LGA55880,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,7,5,13,33,48,58,61,25,8,0,249
LGA55950,0,0,3,6,0,0,6,3,0,14,0,0,0,5,0,4,3,0,0,9,9,5,42,49,56,57,41,11,0,270
LGA56090,42,87,154,182,174,145,51,8,0,843,53,68,137,163,216,163,56,18,3,887,1224,1442,2771,3475,4346,3918,1120,153,6,18464
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,11,10,5,7,0,0,40
LGA56230,34,33,73,52,54,56,14,0,0,317,16,26,53,56,69,60,18,12,0,310,538,603,1216,1418,1680,1432,421,60,7,7368
LGA56300,0,0,0,0,0,8,0,0,0,8,0,0,4,3,3,8,4,3,0,25,20,8,61,123,130,164,86,18,0,617
LGA56370,0,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,8,7,20,77,53,68,83,34,11,0,362
LGA56460,6,12,19,19,18,18,4,0,0,104,7,7,12,8,17,16,4,4,0,74,118,171,383,382,432,437,162,28,5,2119
LGA56580,15,30,46,41,38,39,30,0,0,233,20,32,59,96,118,83,38,14,4,472,667,1048,1503,1991,2607,1965,885,173,13,10851
LGA56620,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,9,38,49,47,43,15,4,0,221
LGA56730,10,20,30,40,40,37,16,0,0,201,12,17,34,34,46,35,16,7,0,202,294,364,730,812,1002,1006,336,29,3,4577
LGA56790,5,4,0,4,3,11,3,0,0,31,4,0,4,11,11,13,13,0,0,54,50,58,150,226,280,355,151,27,0,1306
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,12,9,19,29,8,0,0,98
LGA56930,4,0,4,4,0,0,0,0,0,13,3,6,4,0,9,8,5,0,0,34,64,78,91,92,164,143,85,21,7,737
LGA57000,0,3,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,8,8,22,48,54,62,72,25,13,0,308
LGA57080,18,59,155,80,51,36,14,7,0,422,20,110,267,149,92,80,23,12,0,744,549,2127,6369,3582,1867,1541,535,114,4,16702
LGA57140,0,0,0,3,0,6,0,0,0,9,0,4,0,0,6,0,0,0,0,16,21,32,57,61,75,101,38,10,0,391
LGA57210,9,11,7,11,11,17,9,0,0,75,6,4,10,17,28,28,9,3,0,101,128,131,310,384,536,538,232,46,0,2308
LGA57280,20,26,73,67,47,32,7,0,0,274,22,34,75,80,69,47,10,0,0,345,379,511,2167,2095,1417,1026,178,5,0,7782
LGA57350,0,0,0,0,6,6,0,0,0,7,0,0,0,0,0,0,0,0,0,4,12,7,51,42,57,82,33,9,0,296
LGA57420,0,3,5,0,5,7,3,0,0,27,3,0,11,11,5,7,5,4,3,41,27,57,226,197,208,203,46,20,9,997
LGA57490,160,242,595,485,470,313,71,10,0,2338,179,282,659,658,605,442,98,15,6,2952,4223,5850,13358,13935,13775,9840,1890,143,11,63025
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,18,5,3,0,44
LGA57700,52,94,224,152,140,113,24,0,0,799,60,73,192,201,133,116,29,10,0,826,1048,1343,3786,3762,3213,2301,544,61,3,16059
LGA57770,0,0,10,0,0,3,0,0,0,8,0,0,5,0,7,0,0,0,0,16,15,30,121,92,87,101,25,10,0,475
LGA57840,29,87,192,122,124,91,47,12,0,700,43,90,219,205,160,122,72,17,5,929,1091,2619,5411,4714,4248,3459,1337,200,10,23079
LGA57910,181,436,1253,1015,783,589,213,43,6,4513,168,491,1400,1298,976,618,230,65,10,5258,4990,10257,30702,28172,22330,16137,4958,628,45,118218
LGA57980,11,29,42,40,35,30,15,3,0,205,11,16,88,79,68,50,19,11,0,336,365,790,2241,1938,1743,1370,599,107,6,9155
LGA58050,171,396,948,779,661,456,127,12,0,3545,188,436,926,979,799,529,148,19,8,4041,4423,7059,17730,17941,15392,11052,2667,256,24,76545
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,8,34,23,39,37,11,4,0,161
LGA58260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,13,33,60,49,55,18,8,0,242
LGA58330,3,9,8,10,15,16,7,0,0,70,6,10,13,7,19,27,5,0,0,99,98,96,208,288,447,563,186,22,3,1904
LGA58400,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,6,26,5,27,27,16,8,0,125
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,9,15,7,0,0,56
LGA58510,24,91,209,141,108,82,35,4,0,683,15,73,254,202,150,76,28,3,3,818,751,2207,6234,4773,3366,2319,692,55,11,20410
LGA58540,0,3,3,4,6,3,0,0,0,16,0,0,4,0,5,10,0,0,0,15,13,18,55,72,82,111,41,18,0,412
LGA58570,16,64,206,158,104,95,38,3,0,687,20,81,263,194,133,69,33,0,0,788,656,1924,6924,5322,3822,2546,731,80,3,22010
LGA58610,4,3,3,8,11,3,0,0,0,38,0,0,8,8,11,4,0,0,0,31,37,39,120,139,146,169,75,8,0,734
LGA58680,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,6,12,11,26,38,60,59,26,10,0,242
LGA58760,243,538,1258,1091,967,608,130,20,0,4851,265,562,1144,1265,1056,655,139,31,4,5115,6458,9989,22408,24629,22991,14647,3168,278,22,104601
LGA58820,7,6,9,11,6,10,4,0,0,47,6,11,10,11,15,9,4,5,0,80,110,125,244,339,411,377,117,26,0,1750
LGA58890,5,0,0,0,6,0,0,0,0,8,0,0,3,0,0,5,0,0,0,3,10,25,34,52,90,87,55,16,3,378
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,15,21,22,33,10,0,0,115
LGA59100,0,0,0,0,0,4,0,0,0,10,0,0,0,4,0,0,0,6,0,13,8,15,49,58,65,88,30,8,4,322
LGA59170,0,0,4,0,0,3,0,0,0,4,0,0,5,0,0,7,3,0,0,17,20,33,80,119,103,115,56,15,0,537
LGA59250,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,4,18,54,42,46,21,0,5,0,196
LGA59310,3,6,6,3,6,4,0,0,0,28,7,5,6,3,3,8,3,0,0,35,29,41,109,127,121,134,69,14,0,648
LGA59320,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,4,6,12,34,32,35,57,18,5,0,210
LGA59330,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,5,0,0,12,4,13,36,24,40,53,27,10,0,208
LGA59340,7,9,29,32,34,19,0,0,0,123,12,9,45,30,31,29,6,3,0,172,136,215,824,685,640,525,153,17,0,3198
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,13,34,17,22,12,11,0,0,120
LGA59360,0,4,0,0,0,0,0,0,0,14,0,3,3,0,6,9,7,0,0,29,6,31,119,118,151,137,41,9,4,620
LGA59370,4,0,5,10,6,13,3,0,0,47,3,3,6,7,16,17,9,4,0,68,73,63,184,249,276,390,150,23,9,1408
LGA59499,6,9,16,12,3,10,0,0,0,52,3,7,22,25,10,11,3,0,0,78,53,185,501,355,248,216,45,0,0,1614
LGA59799,0,0,0,0,0,0,0,0,0,4,0,8,6,16,5,4,3,0,0,35,5,17,62,95,59,33,5,0,0,277
