LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA50840,23,18,13,15,10,10,5,15,0,108,21,21,16,33,15,14,5,5,0,133,69,24,236,83,46,28,87,58,14,655,9,0,6,5,7,5,3,13,0,53,6,4,3,6,9,4,6,4,0,43,8,0,0,0,0,0,0,0,0,16,13,3,11,7,4,5,6,6,7,51,239,310,304,185,122,78,118,114,23,1502
LGA50910,4,0,0,0,0,0,0,0,0,7,8,0,0,3,3,0,0,3,0,19,21,0,21,13,7,6,12,10,4,92,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,50,33,25,28,26,13,10,21,4,213
LGA50980,58,98,28,48,41,21,12,22,3,321,115,111,41,153,90,33,16,40,6,604,218,140,603,254,206,91,142,160,27,1842,10,18,6,41,41,20,8,15,3,168,18,22,10,28,24,8,3,11,0,135,10,6,4,10,3,3,0,4,0,48,10,43,23,29,30,22,16,36,37,235,820,1679,795,805,648,257,211,371,108,5692
LGA51080,11,5,0,0,0,0,0,0,0,19,10,3,4,0,0,0,0,0,0,22,30,0,20,12,5,0,4,12,0,85,3,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,8,97,40,29,21,20,8,11,27,0,252
LGA51120,3,0,0,0,3,0,0,0,0,10,7,0,4,5,3,0,0,0,0,25,32,0,23,11,12,0,16,7,3,110,0,0,0,0,0,5,0,0,0,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,10,80,29,30,21,27,9,22,13,0,238
LGA51190,89,142,70,74,58,33,18,20,3,508,106,134,141,196,117,54,47,70,4,880,295,198,1477,637,406,258,415,426,56,4168,16,14,57,62,47,54,41,72,7,376,27,19,28,49,62,38,22,41,8,289,6,27,11,17,12,0,13,14,0,103,21,22,31,25,27,16,29,49,36,259,943,2395,1967,1304,942,535,635,822,139,9675
LGA51260,168,218,89,111,117,74,37,68,14,888,223,155,191,264,168,102,33,79,13,1225,503,186,2038,671,476,287,437,519,78,5193,24,16,44,68,57,90,26,94,3,421,56,25,30,95,56,43,31,61,3,402,27,30,10,14,17,10,6,17,0,132,41,34,32,61,34,55,30,48,37,371,1754,2965,2622,1611,1226,785,633,1049,192,12826
LGA51310,146,204,62,82,103,38,11,20,5,661,126,155,93,88,96,53,16,24,5,661,179,72,326,153,100,64,36,79,18,1028,10,4,7,13,18,12,0,5,0,79,22,27,13,25,37,24,4,11,0,158,15,59,4,5,13,0,0,3,0,109,31,46,13,16,21,13,3,14,21,178,2550,6206,736,736,1109,435,140,255,150,12318
LGA51330,259,401,330,285,262,113,135,139,33,1956,315,374,621,729,466,223,266,338,45,3374,567,358,2430,1118,641,372,612,615,99,6812,42,24,83,113,85,92,63,124,8,640,70,47,85,124,123,53,53,70,3,632,46,103,54,57,53,35,30,45,3,430,55,84,100,106,68,53,52,98,134,760,3775,11829,5008,4445,3917,1842,1978,2505,570,35879
LGA51400,57,61,45,58,40,10,24,16,3,311,94,89,97,142,87,31,22,23,13,583,198,136,1035,389,275,129,255,242,33,2694,17,3,24,37,42,37,18,47,0,228,12,8,18,36,46,18,12,27,0,178,5,7,9,5,8,5,6,9,0,50,13,23,17,26,12,15,16,20,30,167,666,1575,1307,821,654,267,398,452,84,6214
LGA51470,0,0,0,0,5,0,0,0,0,3,9,0,0,0,0,0,0,3,0,15,20,0,20,7,0,5,5,7,0,63,3,0,0,4,0,0,0,3,0,13,3,0,0,0,0,0,0,3,0,6,4,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,51,20,18,14,14,6,10,21,0,147
LGA51540,13,21,9,12,9,5,5,7,0,71,17,10,8,33,14,6,3,9,0,100,82,24,158,68,56,28,59,51,14,552,5,4,5,11,13,10,0,11,0,72,10,0,3,6,3,3,3,13,0,45,5,0,0,0,4,0,0,0,0,7,7,9,5,9,7,13,8,9,7,77,201,251,206,183,144,77,84,136,35,1313
LGA51610,5,6,4,6,8,0,3,0,0,33,10,7,3,7,6,0,0,9,0,43,39,11,79,16,28,7,20,19,0,225,3,0,0,0,4,0,5,0,0,13,3,0,0,5,4,0,0,0,0,17,0,4,0,0,4,0,3,0,0,10,8,0,3,0,3,0,4,0,0,19,98,90,95,46,61,16,36,30,3,482
LGA51680,23,29,14,22,26,6,8,5,0,135,39,20,20,45,34,3,16,12,3,189,104,34,335,91,92,28,108,71,15,877,9,0,10,11,15,3,11,19,0,63,14,8,9,6,11,7,4,10,0,58,4,5,5,0,5,0,0,0,0,6,13,6,9,13,12,10,9,11,8,98,272,305,426,214,222,62,158,135,35,1834
LGA51710,9,4,0,0,6,0,0,5,0,26,11,6,0,9,10,0,0,7,0,51,26,13,79,25,17,3,14,21,3,202,0,0,3,9,8,6,3,3,0,33,3,0,0,6,3,0,0,0,0,11,0,0,0,0,6,0,0,0,0,3,4,0,3,5,3,0,4,0,6,28,81,87,100,74,64,4,27,38,7,495
LGA51750,47,71,16,26,40,25,3,3,0,233,43,38,11,30,29,21,7,8,0,191,60,18,94,56,26,16,11,25,6,303,3,0,4,3,8,0,0,0,0,30,3,6,0,10,12,8,0,5,0,46,3,27,0,0,4,0,0,0,0,47,5,8,4,9,15,3,0,6,10,60,897,2212,201,288,410,206,39,80,48,4385
LGA51820,406,612,377,346,379,125,104,135,32,2521,683,688,702,944,756,318,188,248,59,4578,1310,733,5688,1898,1510,685,1069,1043,226,14159,89,63,131,169,191,162,77,180,12,1070,142,81,148,206,250,116,78,106,17,1134,61,125,88,70,58,31,27,49,7,506,109,165,142,145,124,66,80,106,140,1070,5461,13320,8326,5225,5208,2069,1985,2322,675,44595
LGA51860,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,7,11,4,19,11,6,0,0,8,0,59,0,0,5,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,0,16,27,25,22,21,12,4,4,19,0,137
LGA51890,7,14,11,25,12,0,4,6,0,73,15,20,27,38,21,3,19,11,0,154,65,32,549,169,110,47,189,109,28,1288,4,0,12,16,13,15,9,24,0,90,9,4,6,16,11,3,14,6,5,82,3,0,0,0,0,0,3,3,0,14,5,0,10,9,3,6,14,10,4,52,136,268,629,294,190,83,252,171,37,2061
LGA51960,0,4,6,0,6,0,3,0,0,26,3,6,9,12,11,5,9,4,0,48,23,19,172,27,25,10,95,15,6,394,0,0,5,8,6,4,16,13,0,39,0,0,5,3,0,0,4,0,0,16,4,0,0,0,4,0,0,0,0,10,5,0,8,8,5,0,16,11,8,57,54,89,207,63,64,18,150,42,21,710
LGA52030,3,0,0,0,0,0,0,0,0,13,11,3,0,0,0,0,0,0,0,17,23,4,28,6,8,4,17,14,0,108,0,0,0,0,3,0,0,4,0,10,3,3,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,0,0,7,56,30,33,18,30,7,21,23,0,226
LGA52100,13,6,0,0,0,0,3,0,0,18,11,0,0,7,9,0,0,0,0,23,26,0,35,13,18,8,10,11,5,121,4,0,0,0,3,4,0,4,0,19,8,0,0,3,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,87,42,36,32,32,18,16,19,4,282
LGA52170,34,53,16,13,25,12,6,0,5,158,43,26,11,17,15,13,0,7,5,134,40,10,69,32,27,13,9,13,5,214,3,3,3,0,4,6,0,0,0,25,7,13,4,5,10,11,0,6,3,49,4,22,0,0,4,0,0,0,0,33,8,16,5,6,10,4,0,3,13,62,702,1768,140,179,279,153,20,41,70,3357
LGA52240,12,0,8,0,3,0,0,4,0,28,9,0,0,0,3,0,0,7,0,15,37,4,13,18,9,0,7,23,4,114,7,0,0,3,0,0,0,6,0,17,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,17,97,22,24,30,29,0,15,42,7,275
LGA52310,3,0,0,4,0,0,0,0,0,19,4,4,5,0,0,0,0,0,0,15,16,6,22,9,8,4,11,13,0,94,0,0,0,4,6,0,0,0,0,12,3,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,55,35,24,26,30,10,11,33,0,223
LGA52380,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,6,7,0,37,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,10,11,6,19,3,0,0,15,10,3,69
LGA52450,5,0,0,3,0,0,0,0,0,11,6,0,0,3,3,0,0,0,0,14,28,5,53,16,15,7,10,17,3,153,0,0,0,0,0,0,6,3,0,12,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,5,0,0,16,80,47,59,37,22,16,12,26,8,298
LGA52520,9,0,0,0,4,0,0,0,0,15,7,3,3,4,0,0,3,7,0,30,37,5,37,10,6,8,7,7,0,123,0,0,0,5,9,0,5,0,0,18,4,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,4,0,0,5,0,0,4,3,3,0,0,0,0,12,105,65,50,24,28,11,18,23,5,332
LGA52590,26,15,5,6,11,4,4,7,0,76,21,3,7,11,18,4,6,12,0,84,69,25,128,24,37,20,50,55,6,412,6,4,0,3,6,0,7,3,0,24,8,5,3,5,8,9,0,8,0,40,4,0,0,6,0,0,0,0,0,10,6,7,3,4,0,6,4,9,0,46,175,174,165,76,98,35,77,110,16,927
LGA52660,48,49,30,42,29,7,15,4,0,224,52,72,48,104,64,27,20,20,12,427,176,93,897,297,233,124,261,201,37,2324,17,5,29,24,34,34,19,31,0,193,11,13,6,27,28,18,12,8,4,137,3,0,3,4,0,3,0,5,0,32,15,13,9,14,19,11,18,20,14,137,457,886,1080,593,490,257,367,335,80,4545
LGA52730,33,30,12,17,21,6,0,15,7,142,25,27,19,33,23,10,6,13,9,160,91,28,221,74,42,31,45,70,9,606,6,9,0,9,3,7,6,9,0,52,10,3,5,7,6,4,0,5,0,45,6,8,0,0,0,0,0,3,0,25,8,8,6,10,8,4,3,10,6,60,341,510,305,213,165,79,64,161,31,1873
LGA52800,9,15,4,19,0,0,0,4,0,54,17,17,3,32,21,8,0,6,0,102,43,40,105,99,56,12,18,72,10,465,0,12,6,13,10,7,0,3,0,58,3,5,5,16,5,5,4,5,0,46,3,0,0,0,0,0,0,0,0,5,5,10,5,6,3,0,0,8,6,59,167,394,142,247,118,32,34,111,25,1263
LGA52870,32,28,25,17,10,7,8,11,0,130,36,21,23,27,22,7,11,8,3,165,107,34,271,91,73,27,89,74,15,788,5,0,8,11,6,12,3,17,0,72,7,0,4,8,12,3,4,11,0,50,4,0,0,0,0,0,0,0,0,14,8,5,4,9,6,4,11,10,3,63,300,362,360,199,156,73,137,164,30,1795
LGA52940,7,0,0,0,4,0,3,0,0,14,8,0,0,6,4,0,0,4,0,19,27,5,13,4,9,0,10,4,0,67,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,60,24,13,20,19,0,8,12,0,168
LGA53010,5,0,0,0,0,0,0,0,0,8,4,0,0,4,3,0,0,0,0,18,15,0,12,7,3,0,0,9,0,62,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,55,24,17,14,20,4,0,21,4,161
LGA53080,0,3,0,0,0,0,0,0,0,9,0,0,3,4,0,0,0,0,0,13,6,5,15,9,0,9,5,7,0,51,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,21,26,21,20,9,7,9,13,3,123
LGA53150,38,51,21,13,27,20,4,3,0,179,53,35,21,27,36,8,5,8,0,197,91,26,144,58,44,32,13,28,4,436,6,0,5,7,5,8,0,13,0,44,9,9,8,17,16,5,0,5,0,67,3,14,5,0,4,0,0,0,0,21,8,16,6,3,5,4,0,0,10,61,653,1440,251,234,287,136,38,85,28,3156
LGA53220,18,21,33,20,8,7,27,15,0,138,29,35,62,30,29,8,57,13,12,274,68,53,909,66,77,16,351,128,28,1694,4,12,25,13,13,7,27,31,6,129,0,3,9,4,9,6,24,10,0,64,0,0,0,0,0,0,0,0,0,8,11,6,12,14,5,3,28,12,12,112,228,462,1139,191,182,60,567,264,65,3158
LGA53290,52,37,20,32,29,13,14,4,0,196,82,52,42,63,71,16,23,21,4,373,246,79,600,188,174,81,224,188,32,1809,22,4,17,16,38,21,20,33,9,181,22,3,11,19,25,12,11,8,0,105,8,11,4,4,3,0,3,9,4,45,28,10,13,12,14,11,20,36,16,163,681,750,740,372,438,174,335,329,79,3899
LGA53360,18,14,7,13,7,8,0,5,0,67,21,24,18,15,19,6,0,10,0,107,55,40,189,60,57,19,26,58,6,503,4,8,8,6,12,6,4,13,0,46,4,3,0,5,5,4,0,3,0,23,0,0,3,0,0,0,0,4,0,12,4,4,9,7,5,12,0,12,4,55,160,236,262,164,127,67,33,134,24,1206
LGA53430,138,261,104,98,93,25,10,23,15,772,188,179,142,180,131,59,19,37,14,948,248,168,867,320,189,97,120,179,34,2218,15,21,17,43,22,28,15,22,3,186,32,30,17,47,54,24,13,20,0,242,30,40,9,16,13,9,7,8,0,128,25,44,27,42,22,14,5,16,34,229,2078,5939,1467,1251,1057,464,262,443,167,13128
LGA53570,26,12,3,17,15,0,12,12,0,106,29,19,6,20,21,0,4,15,4,126,88,17,236,25,63,18,88,68,11,620,7,0,0,6,11,4,5,10,0,40,16,5,4,5,7,4,7,12,0,55,7,0,0,0,0,0,6,9,0,24,10,5,5,3,3,4,8,28,10,80,267,184,275,96,152,49,138,222,31,1406
LGA53640,9,4,0,3,0,0,0,0,0,17,17,5,3,0,4,0,3,0,0,30,29,5,39,10,7,7,18,16,6,125,3,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,15,107,39,56,17,19,9,24,32,0,307
LGA53710,0,0,0,0,7,0,0,0,0,13,7,0,0,5,0,0,0,0,0,12,21,5,26,15,9,4,11,10,0,102,3,0,3,0,0,0,0,0,0,10,3,0,0,0,3,0,0,0,0,7,0,3,0,0,0,0,0,0,0,3,5,0,0,0,7,0,0,3,0,14,64,34,36,25,25,6,15,16,0,226
LGA53780,280,434,397,310,315,116,167,160,25,2207,457,492,702,971,662,272,378,297,41,4268,881,508,4528,1894,1229,668,1219,1167,181,12269,34,37,123,170,176,206,131,216,12,1106,73,59,123,225,198,92,96,128,13,1014,40,80,74,75,68,31,61,45,5,478,71,118,145,140,105,65,109,126,159,1039,3524,9107,7232,5439,4593,2127,2855,2914,638,38424
LGA53800,126,172,62,83,68,29,29,30,13,600,169,192,116,345,202,56,42,59,14,1201,423,251,1925,773,541,275,459,460,70,5177,43,18,48,89,98,111,52,94,6,566,38,15,32,61,60,31,20,49,0,319,11,21,16,15,9,8,13,20,5,116,31,49,29,47,37,28,26,44,38,324,1259,2827,2323,1678,1207,611,665,823,162,11550
LGA53920,4,3,3,4,0,0,0,0,0,18,7,3,0,3,8,0,0,0,0,24,23,12,42,40,17,6,14,22,10,181,0,3,4,4,6,3,0,3,3,27,0,0,0,4,3,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,4,6,0,8,6,0,3,7,5,32,81,128,53,90,38,5,22,39,24,482
LGA53990,53,101,64,61,50,21,23,26,6,410,116,122,134,171,132,40,43,65,13,834,297,172,1792,584,427,201,486,371,79,4407,27,9,42,44,68,53,37,70,8,354,20,13,32,69,43,21,28,30,3,258,3,8,14,3,5,6,8,28,3,83,32,22,20,26,14,21,33,46,27,240,850,1664,2211,1118,910,411,701,785,148,8799
LGA54060,16,14,6,8,9,4,4,9,3,66,15,9,11,20,12,7,4,7,0,80,38,15,175,40,28,21,46,39,6,406,0,0,0,0,11,6,0,8,3,40,0,0,3,4,6,0,0,3,0,15,3,4,3,0,3,3,0,0,0,13,10,0,5,7,0,0,0,6,3,40,128,150,199,94,77,44,68,78,23,851
LGA54130,6,0,0,0,0,0,3,0,0,17,10,0,3,0,4,3,4,0,0,24,33,9,38,10,11,5,11,26,0,129,8,0,0,0,6,0,0,3,0,15,7,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,7,4,0,0,0,0,0,0,7,0,13,112,40,46,9,29,10,24,46,0,319
LGA54170,765,1231,540,601,725,200,101,133,42,4347,1007,1058,804,1160,1050,389,146,201,59,5877,1845,1009,7239,2317,1914,946,1073,1206,266,17814,88,51,128,206,222,184,61,159,13,1105,200,141,169,273,462,148,64,108,19,1585,115,153,84,80,93,42,20,36,10,633,138,227,111,187,195,113,56,100,148,1273,9119,19774,10105,6687,7308,2833,1798,2359,795,60775
LGA54200,186,307,182,183,217,66,59,47,10,1242,331,302,291,375,382,102,113,78,29,2005,708,386,2841,943,786,346,670,471,118,7266,36,17,72,81,110,89,57,102,4,571,45,37,58,103,144,35,46,46,11,528,27,38,41,22,31,13,9,7,0,189,57,57,63,52,76,26,52,34,65,479,2522,5017,3869,2275,2452,866,1130,935,303,19375
LGA54280,62,85,39,46,58,10,29,19,6,343,129,121,122,170,134,49,78,44,13,853,350,174,2108,367,374,136,631,247,69,4449,26,17,59,56,69,37,64,59,6,383,21,14,35,40,47,22,55,23,6,263,13,9,17,10,10,10,7,6,0,79,14,26,35,33,30,22,56,45,36,298,976,2059,2584,916,905,340,1030,507,146,9454
LGA54310,55,76,79,42,49,15,15,13,7,353,111,100,144,137,122,29,36,35,4,729,342,155,1796,252,356,91,386,246,81,3702,16,11,52,26,72,31,33,37,4,286,17,18,24,27,31,13,29,20,0,181,8,11,15,3,8,5,11,12,0,72,23,22,34,20,26,7,26,26,27,206,939,1537,2356,674,824,258,580,476,148,7794
LGA54340,13,13,6,7,5,0,0,3,0,37,12,16,9,19,5,5,3,3,0,71,49,21,136,51,42,27,22,54,8,414,3,0,9,6,7,3,3,15,0,53,5,0,5,4,8,0,0,17,0,45,3,0,0,0,0,0,0,4,0,14,3,6,3,9,4,4,0,19,8,52,116,186,178,120,79,49,42,133,17,924
LGA54410,3,8,0,3,0,0,0,0,0,14,6,0,0,4,0,0,0,3,0,17,27,0,33,20,11,6,13,11,0,122,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,10,57,45,35,35,18,9,21,18,5,244
LGA54480,10,0,0,0,0,0,0,0,0,9,4,0,0,3,0,0,0,6,0,13,18,0,5,3,4,5,4,8,0,47,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,4,74,14,7,9,8,4,13,17,0,142
