LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA56620,0,0,0,0,0,0,3,0,10,4,13,4,19,8,0,4,22,73,5,107
LGA56730,0,4,0,0,0,4,4,7,16,125,125,15,266,13,17,29,300,219,4,526
LGA56790,5,5,0,0,0,5,0,0,4,21,17,5,37,0,3,5,48,37,0,78
LGA56860,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,0,8,3,0,8
LGA56930,0,0,0,0,0,0,0,0,0,9,12,0,26,0,0,0,24,12,0,39
LGA57000,0,0,0,0,0,0,0,0,0,6,3,0,7,0,0,0,7,0,0,12
LGA57080,0,0,0,0,0,0,0,4,8,223,105,12,337,7,10,16,360,164,8,527
LGA57140,0,0,0,0,0,0,0,0,0,3,9,3,21,0,0,5,21,23,0,40
LGA57210,0,0,0,0,0,0,3,0,5,35,52,0,99,4,3,8,101,71,5,174
LGA57280,0,5,0,0,0,5,7,12,22,229,61,23,307,13,10,26,332,154,15,501
LGA57350,0,0,0,0,0,0,0,0,0,3,5,0,10,0,0,0,9,16,0,24
LGA57420,0,0,0,0,0,0,0,4,4,24,6,3,35,5,0,3,36,21,4,61
LGA57490,14,33,0,0,0,33,32,51,113,2031,1559,254,3843,182,175,358,4201,2272,75,6551
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA57700,0,3,0,0,0,3,13,6,20,402,306,46,759,24,26,52,805,369,3,1179
LGA57770,0,0,0,0,0,0,0,0,0,5,3,0,11,0,0,0,11,3,0,15
LGA57840,0,0,0,0,0,0,10,10,18,473,325,31,834,25,27,54,878,432,18,1329
LGA57910,10,26,7,0,7,30,21,50,100,2994,2161,224,5380,182,203,392,5769,3015,87,8871
LGA57980,3,4,0,0,0,4,0,0,6,236,142,10,390,15,11,26,415,122,0,539
LGA58050,18,35,0,0,0,32,24,36,95,2514,1702,257,4469,168,175,343,4812,2313,74,7196
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,11,0,16
LGA58260,0,0,0,0,0,0,0,0,0,10,3,0,11,0,4,4,11,5,0,18
LGA58330,0,0,0,0,0,0,0,3,5,38,30,7,75,4,5,7,82,64,10,148
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,8,0,13
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9
LGA58510,0,0,0,0,0,0,10,8,14,396,252,24,677,24,21,45,717,367,5,1092
LGA58540,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,4,3,0,8
LGA58570,0,3,0,0,0,3,0,3,8,422,265,26,716,16,15,27,748,305,5,1051
LGA58610,0,0,0,0,0,0,0,0,0,19,14,4,33,5,4,3,39,27,0,65
LGA58680,0,0,0,0,0,0,0,0,0,4,0,5,5,0,0,0,6,6,0,12
LGA58760,20,46,3,4,4,50,26,46,119,3334,2536,334,6198,250,265,517,6717,3139,81,9937
LGA58820,0,0,0,0,0,0,0,5,4,32,29,5,68,3,6,11,83,58,0,144
LGA58890,0,0,0,0,0,0,0,0,0,5,4,0,4,0,0,0,7,5,0,18
LGA59030,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,6
LGA59100,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,9,4,0,16
LGA59170,0,0,0,0,0,0,0,0,0,10,6,0,14,0,0,0,14,6,0,24
LGA59250,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,0,8,11,0,17
LGA59310,0,0,0,0,0,0,0,0,0,12,16,0,26,0,0,0,31,30,0,59
LGA59320,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,9,0,0,13
LGA59330,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,10,0,16
LGA59340,5,3,0,0,0,3,6,13,21,97,48,9,153,3,4,11,159,185,20,358
LGA59350,0,0,0,0,0,0,0,0,0,6,3,0,5,0,0,3,9,3,0,11
LGA59360,0,0,0,0,0,0,0,0,0,5,0,0,10,0,0,0,13,7,0,25
LGA59370,0,0,0,0,0,0,0,0,3,41,33,3,73,6,6,11,84,45,0,133
LGA59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
