LGA_CODE_2021,F_Kidney_disease_0_14,F_Kidney_disease_15_24,F_Kidney_disease_25_34,F_Kidney_disease_35_44,F_Kidney_disease_45_54,F_Kidney_disease_55_64,F_Kidney_disease_65_74,F_Kidney_disease_75_84,F_Kidney_disease_85_over,F_Kidney_disease_Tot,F_Lung_cond_0_14,F_Lung_cond_15_24,F_Lung_cond_25_34,F_Lung_cond_35_44,F_Lung_cond_45_54,F_Lung_cond_55_64,F_Lung_cond_65_74,F_Lung_cond_75_84,F_Lung_cond_85_over,F_Lung_cond_Tot,F_Mental_health_cond_0_14,F_Mental_health_cond_15_24,F_Mental_health_cond_25_34,F_Mental_health_cond_35_44,F_Mental_health_cond_45_54,F_Mental_health_cond_55_64,F_Mental_health_cond_65_74,F_Mental_health_cond_75_84,F_Mental_health_cond_85_over,F_Mental_health_cond_Tot,F_Stroke_0_14,F_Stroke_15_24,F_Stroke_25_34,F_Stroke_35_44,F_Stroke_45_54,F_Stroke_55_64,F_Stroke_65_74,F_Stroke_75_84,F_Stroke_85_over,F_Stroke_Tot,F_Other_0_14,F_Other_15_24,F_Other_25_34,F_Other_35_44,F_Other_45_54,F_Other_55_64,F_Other_65_74,F_Other_75_84,F_Other_85_over,F_Other_Tot,F_None_0_14,F_None_15_24,F_None_25_34,F_None_35_44,F_None_45_54,F_None_55_64,F_None_65_74,F_None_75_84,F_None_85_over,F_None_Tot,F_NS_0_14,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_over,F_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_Arthritis_0_14,P_Arthritis_15_24,P_Arthritis_25_34,P_Arthritis_35_44,P_Arthritis_45_54,P_Arthritis_55_64,P_Arthritis_65_74,P_Arthritis_75_84,P_Arthritis_85_over,P_Arthritis_Tot,P_Asthma_0_14,P_Asthma_15_24,P_Asthma_25_34,P_Asthma_35_44,P_Asthma_45_54,P_Asthma_55_64,P_Asthma_65_74,P_Asthma_75_84,P_Asthma_85_over,P_Asthma_Tot,P_Cancer_0_14,P_Cancer_15_24,P_Cancer_25_34,P_Cancer_35_44,P_Cancer_45_54,P_Cancer_55_64,P_Cancer_65_74,P_Cancer_75_84,P_Cancer_85_over,P_Cancer_Tot,P_Dementia_0_14,P_Dementia_15_24,P_Dementia_25_34,P_Dementia_35_44,P_Dementia_45_54,P_Dementia_55_64,P_Dementia_65_74,P_Dementia_75_84,P_Dementia_85_over,P_Dementia_Tot,P_Diabetes_0_14,P_Diabetes_15_24,P_Diabetes_25_34,P_Diabetes_35_44,P_Diabetes_45_54,P_Diabetes_55_64,P_Diabetes_65_74,P_Diabetes_75_84,P_Diabetes_85_over,P_Diabetes_Tot,P_Heart_disease_0_14,P_Heart_disease_15_24,P_Heart_disease_25_34,P_Heart_disease_35_44,P_Heart_disease_45_54,P_Heart_disease_55_64,P_Heart_disease_65_74,P_Heart_disease_75_84,P_Heart_disease_85_over,P_Heart_disease_Tot,P_Kidney_disease_0_14,P_Kidney_disease_15_24,P_Kidney_disease_25_34,P_Kidney_disease_35_44,P_Kidney_disease_45_54,P_Kidney_disease_55_64,P_Kidney_disease_65_74,P_Kidney_disease_75_84,P_Kidney_disease_85_over,P_Kidney_disease_Tot,P_Lung_cond_0_14,P_Lung_cond_15_24,P_Lung_cond_25_34,P_Lung_cond_35_44,P_Lung_cond_45_54,P_Lung_cond_55_64,P_Lung_cond_65_74,P_Lung_cond_75_84,P_Lung_cond_85_over,P_Lung_cond_Tot,P_Mental_health_cond_0_14,P_Mental_health_cond_15_24,P_Mental_health_cond_25_34,P_Mental_health_cond_35_44,P_Mental_health_cond_45_54,P_Mental_health_cond_55_64,P_Mental_health_cond_65_74,P_Mental_health_cond_75_84,P_Mental_health_cond_85_over,P_Mental_health_cond_Tot,P_Stroke_0_14,P_Stroke_15_24,P_Stroke_25_34,P_Stroke_35_44,P_Stroke_45_54,P_Stroke_55_64,P_Stroke_65_74,P_Stroke_75_84,P_Stroke_85_over,P_Stroke_Tot,P_Other_0_14,P_Other_15_24,P_Other_25_34,P_Other_35_44,P_Other_45_54,P_Other_55_64,P_Other_65_74,P_Other_75_84,P_Other_85_over,P_Other_Tot,P_None_0_14,P_None_15_24,P_None_25_34,P_None_35_44,P_None_45_54,P_None_55_64,P_None_65_74,P_None_75_84,P_None_85_over,P_None_Tot
LGA50840,0,0,0,0,0,5,3,4,0,18,0,0,0,0,7,7,23,19,9,61,10,55,35,45,59,68,39,9,0,334,0,0,0,0,4,0,8,15,4,31,16,16,19,22,42,46,61,22,5,248,327,131,120,164,181,236,144,59,6,1368,34,20,16,27,30,46,38,14,6,234,411,225,191,285,351,472,452,206,57,2649,0,0,13,25,59,149,237,116,48,647,40,38,33,54,51,65,77,31,9,392,0,4,3,8,20,45,81,55,17,227,0,0,0,0,0,0,3,14,13,32,8,0,3,10,31,46,82,58,9,240,0,0,3,3,14,33,101,74,25,245,0,0,3,0,0,6,11,7,0,35,0,0,0,8,5,25,45,36,8,127,22,70,58,73,88,106,71,27,11,525,0,0,0,0,3,7,23,22,12,61,34,28,24,51,60,85,109,51,6,459,681,264,240,322,388,452,333,120,9,2823
LGA50910,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,3,3,7,0,16,0,3,4,7,8,8,3,9,9,55,0,0,0,0,0,3,0,0,0,3,6,3,8,0,10,6,0,7,0,33,48,17,21,35,34,27,21,10,0,217,18,8,5,10,3,6,5,8,0,57,78,39,41,51,65,53,57,51,22,455,0,0,5,3,13,23,39,45,21,150,22,6,13,10,8,9,8,8,3,86,0,0,0,0,6,4,12,20,6,46,0,0,0,0,0,0,3,18,15,30,0,0,0,0,6,10,21,15,6,55,0,0,0,0,3,5,17,16,14,51,0,0,0,0,0,3,0,8,7,14,0,0,0,0,0,3,4,5,5,23,3,7,10,7,17,20,12,12,15,93,0,0,0,0,0,5,5,0,3,7,7,3,8,3,10,10,6,8,3,64,102,37,39,57,73,60,47,18,4,447
LGA50980,0,0,3,12,13,19,13,10,5,75,7,0,0,0,13,37,31,10,6,105,20,78,135,135,102,65,24,3,6,560,0,0,0,0,11,9,8,3,0,36,42,32,58,73,74,77,39,9,3,407,1517,666,1098,921,614,455,156,45,5,5485,294,150,258,224,203,134,66,23,12,1369,1938,967,1620,1469,1159,928,438,140,33,8706,0,9,15,56,113,195,151,55,13,598,117,78,134,155,149,115,70,16,3,837,0,0,4,33,49,89,62,35,7,274,0,0,0,0,0,3,16,13,15,52,12,10,25,61,123,147,111,35,8,527,21,15,23,22,49,96,87,33,8,355,10,0,4,13,25,31,31,16,8,140,12,0,3,3,22,60,54,22,4,188,35,105,179,187,166,119,48,9,4,851,0,0,0,5,19,18,12,10,3,72,94,59,87,126,141,151,80,24,5,761,3073,1312,2008,1759,1277,869,382,101,12,10794
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,3,9,13,3,13,8,3,0,53,0,0,0,0,0,0,0,0,0,0,4,0,0,5,3,14,0,3,0,36,90,32,35,43,31,34,15,3,0,287,23,7,13,4,10,12,3,3,0,76,124,46,57,70,64,82,47,29,9,525,0,0,0,3,19,28,32,16,7,100,9,3,8,6,16,24,12,5,0,78,0,0,0,3,0,6,10,8,3,36,0,0,0,0,0,0,0,3,0,5,0,0,0,5,7,14,15,10,4,61,0,0,0,0,3,5,11,9,0,26,4,0,0,0,0,4,0,0,0,5,0,0,0,0,0,5,6,5,3,16,3,6,16,17,11,19,14,6,4,91,0,0,0,0,0,4,0,0,0,7,8,3,5,7,18,15,0,8,0,66,171,74,69,74,63,79,41,12,0,584
LGA51120,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,3,4,0,12,9,5,10,13,7,10,7,0,0,52,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,10,9,4,0,46,65,21,23,27,19,28,17,11,0,214,12,6,8,8,10,15,10,16,10,90,90,33,37,51,59,77,68,46,12,476,0,0,0,0,13,33,34,23,4,107,20,9,8,13,16,12,11,8,0,99,0,0,0,0,5,10,14,4,0,38,0,0,0,0,0,0,3,0,0,7,0,0,0,0,10,16,20,12,0,50,0,0,0,0,5,9,14,6,9,41,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,14,8,3,24,5,5,12,10,10,14,8,7,3,82,0,0,0,0,0,0,0,3,0,4,8,6,6,7,12,13,19,4,6,71,128,46,48,63,48,48,43,13,5,452
LGA51190,3,0,3,9,10,25,37,31,35,154,3,5,4,12,31,87,127,83,44,398,68,358,422,330,383,339,203,99,87,2292,0,0,3,9,18,29,57,52,39,209,88,112,152,179,227,297,240,167,152,1618,2073,1065,1195,1161,1132,986,703,294,87,8698,257,178,207,163,175,174,140,99,71,1456,2626,1789,2067,2009,2198,2299,2025,1158,622,16790,3,40,90,188,426,801,1052,730,379,3703,421,333,417,382,370,363,308,170,58,2812,5,0,19,48,98,241,357,244,105,1125,0,0,4,4,0,19,52,144,180,410,9,29,62,98,243,405,561,344,146,1898,5,6,20,36,101,233,426,392,264,1478,6,0,10,9,30,48,78,79,60,314,12,8,12,12,58,144,226,183,75,745,142,534,678,550,609,569,366,163,123,3741,0,0,9,7,33,55,104,106,70,389,229,193,250,269,375,527,427,275,214,2766,4179,2239,2458,2377,2290,1954,1351,553,156,17552
LGA51260,3,0,0,12,4,28,37,37,37,162,6,0,0,9,20,75,127,99,49,397,100,251,348,388,386,315,247,116,67,2209,0,4,4,4,16,12,50,64,42,197,122,100,138,193,255,314,326,194,91,1717,3017,1156,1221,1775,1684,1421,1065,404,97,11829,335,163,175,212,214,208,210,121,39,1684,3746,1730,1965,2760,2854,2837,2844,1510,645,20894,11,22,51,172,406,840,1318,936,428,4179,477,292,291,452,416,410,437,235,105,3125,5,0,18,62,130,290,499,355,114,1477,0,0,0,0,3,17,55,127,146,347,12,7,37,77,164,320,563,360,140,1679,9,6,9,24,93,227,550,517,261,1689,8,3,5,16,25,55,73,96,64,343,12,8,12,15,37,135,264,217,85,774,188,391,526,605,653,541,430,213,83,3633,0,4,3,11,31,46,125,126,73,419,289,202,210,310,431,516,573,345,135,3017,6075,2561,2477,3354,3322,2715,2129,811,167,23611
LGA51310,3,6,0,7,8,6,16,21,15,80,3,0,0,10,11,21,44,55,45,184,42,227,194,198,178,140,91,50,41,1166,0,0,0,4,0,13,9,31,31,89,88,93,102,139,170,194,145,123,115,1173,2375,1205,997,1463,1543,1090,611,257,114,9659,135,77,95,75,102,105,100,48,37,780,2739,1657,1462,1993,2259,1857,1355,861,621,14807,4,14,35,57,182,329,489,450,319,1874,251,233,235,262,323,242,176,112,61,1889,5,5,13,44,107,190,238,219,138,966,0,0,0,0,0,10,32,108,189,339,15,11,17,41,72,101,166,156,89,671,3,8,8,15,66,133,268,288,243,1023,6,8,6,10,19,19,31,53,34,184,8,5,0,11,17,43,86,106,72,347,91,357,320,327,291,217,157,89,64,1917,0,0,5,8,13,21,35,77,57,214,208,194,147,217,309,335,281,243,184,2119,4871,2579,2009,2770,3058,2195,1178,482,185,19317
LGA51330,0,4,12,21,29,46,66,68,58,301,0,8,10,16,34,104,192,159,73,597,128,724,648,571,498,489,272,147,92,3571,0,0,6,14,23,35,78,93,41,286,227,307,371,449,545,628,598,296,173,3597,7379,4870,5355,5281,3739,2804,1718,568,162,31885,437,401,463,393,346,289,194,158,83,2763,8406,6528,7085,7168,5867,5256,4274,2310,959,47844,13,46,95,287,616,1219,1721,1289,564,5848,628,798,756,774,676,665,598,322,93,5307,10,28,52,123,243,468,721,488,178,2313,0,0,0,5,5,19,69,216,233,546,26,60,103,367,688,973,1199,801,241,4465,23,24,38,94,210,548,906,818,358,3013,7,9,22,43,70,112,165,169,92,684,11,15,24,38,59,214,334,309,117,1127,251,1085,1077,1007,860,793,477,243,136,5914,5,3,12,20,53,84,192,180,85,640,559,619,610,776,966,1081,1044,546,280,6482,15089,10575,11554,10415,7648,5424,3198,1090,291,65275
LGA51400,0,0,4,6,16,12,14,14,8,63,4,0,0,9,13,35,41,25,3,138,49,170,176,199,184,151,71,16,5,1023,0,0,0,6,5,8,17,10,5,48,85,63,74,112,140,149,95,40,12,772,1611,745,631,804,797,526,273,97,14,5499,133,96,77,79,88,86,67,29,10,673,1976,1143,1022,1308,1409,1162,831,356,82,9287,3,15,33,103,245,418,453,242,47,1561,311,183,180,245,238,194,164,50,3,1571,6,4,4,26,66,122,165,81,9,475,0,0,0,0,0,5,22,20,18,70,11,16,19,60,134,194,258,105,17,812,5,8,12,9,58,134,194,126,29,565,0,0,5,7,24,22,29,29,12,128,3,5,4,10,20,73,101,58,9,285,109,256,260,285,294,241,139,33,7,1619,0,0,7,5,0,21,48,24,7,117,192,120,112,173,224,260,183,80,11,1357,3190,1566,1199,1586,1572,1099,562,187,24,10983
LGA51470,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,6,0,4,7,6,0,3,4,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,0,17,30,13,20,21,14,20,8,4,0,126,11,3,3,9,0,6,5,5,0,44,44,24,37,43,28,46,35,13,4,261,0,0,0,3,8,10,22,12,0,56,0,5,5,0,3,3,10,3,0,32,0,0,0,6,0,5,4,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,10,5,3,38,0,0,0,0,0,7,13,6,3,37,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,6,7,7,0,22,0,7,7,13,6,10,6,5,0,53,0,0,0,0,0,0,3,0,0,5,0,3,0,4,4,6,10,0,0,24,55,19,39,49,36,42,25,5,3,274
LGA51540,0,0,4,5,0,7,9,9,0,32,4,0,0,0,3,16,13,7,3,51,4,24,34,30,23,21,16,5,0,154,0,0,0,0,0,3,0,7,4,18,7,9,12,23,33,29,28,14,7,149,321,164,225,178,184,169,87,19,5,1356,104,66,78,59,65,57,29,23,9,492,457,273,363,318,355,367,237,114,40,2520,6,0,5,14,42,85,106,60,15,344,36,30,38,46,46,63,37,5,0,310,0,0,4,7,10,35,29,19,5,111,0,0,0,0,0,4,6,6,6,26,0,9,5,16,52,79,60,46,10,268,3,0,4,10,26,52,58,35,15,206,0,0,4,0,7,12,13,24,5,64,4,0,3,0,9,34,28,18,6,104,11,26,43,37,40,39,33,12,0,248,0,0,0,0,7,6,9,13,4,40,17,17,20,34,53,57,61,24,4,286,673,342,451,360,415,348,210,55,16,2871
