LGA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
LGA50840,18,7,0,0,4,0,22,4,0,0,0,3,0,11,7,7,5,0,3,0,18,5,3,0,0,0,0,7,13,8,0,5,0,0,27,7,8,9,3,0,0,24,21,20,3,4,4,0,59,24,39,3,4,0,0,68,23,28,5,7,0,0,54,14,19,3,0,0,0,44,11,20,4,0,0,0,40,17,35,9,0,3,0,63,3,11,4,0,0,0,22,0,5,0,0,0,0,6,11,8,3,0,0,0,26,14,19,4,0,0,0,36,6,0,4,0,0,0,13,4,0,0,0,0,0,3,15,8,7,0,0,0,30,223,232,63,22,32,0,576
LGA50910,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,3,4,4,0,0,0,0,8,3,0,0,0,0,0,4,9,7,0,0,0,0,16,0,0,0,0,0,0,4,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,25,4,0,4,0,57
LGA50980,10,9,6,0,0,0,25,4,3,0,0,0,0,3,0,4,0,0,0,0,4,5,0,0,0,0,0,3,7,5,0,0,0,0,18,12,14,6,0,0,0,34,21,15,6,7,0,0,47,23,13,3,5,0,0,50,29,19,9,4,0,0,61,28,41,5,8,4,0,85,19,35,9,9,4,0,76,37,67,17,10,3,0,133,13,39,7,3,4,0,66,20,35,3,7,0,0,59,27,71,10,9,7,0,126,54,117,26,6,4,0,206,25,31,6,3,0,0,65,13,18,4,3,0,3,36,25,24,3,4,9,0,68,364,549,112,85,35,10,1149
LGA51080,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,5,9,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,5,30,22,8,0,4,0,63
LGA51120,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,8,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,5,5,0,0,47
LGA51190,54,20,13,3,6,0,97,19,5,3,0,3,0,33,29,10,5,3,8,0,61,15,16,6,4,17,3,60,40,28,15,12,20,0,122,71,60,21,20,15,0,195,96,107,28,41,28,7,309,119,128,45,51,30,3,376,111,157,47,34,17,8,375,107,160,43,27,24,3,356,62,95,30,13,12,0,208,84,149,50,23,14,0,315,27,44,13,0,3,0,89,18,25,4,3,0,0,53,58,62,38,9,4,0,168,56,72,27,7,5,0,162,25,28,20,6,0,0,73,10,18,0,0,0,0,36,57,53,19,14,6,0,148,1046,1220,442,272,213,25,3230
LGA51260,67,25,22,8,7,0,126,25,11,6,6,0,0,41,49,21,8,5,6,0,84,21,13,12,7,5,0,65,52,28,20,15,14,0,129,64,57,18,17,20,4,173,82,79,24,9,25,0,223,118,136,46,34,26,0,355,121,178,44,42,17,0,406,166,231,59,45,22,0,514,108,209,44,20,10,0,401,152,287,75,35,17,3,571,58,148,43,12,9,0,267,34,106,12,9,0,5,164,92,157,50,16,9,0,320,100,195,58,13,3,0,368,49,52,24,0,0,0,129,37,49,14,4,6,0,108,73,75,35,20,12,6,221,1468,2058,613,311,204,22,4678
LGA51310,63,60,29,5,3,4,163,11,0,3,0,0,0,17,8,12,11,0,6,0,34,5,7,7,0,0,0,26,23,7,6,0,5,0,44,23,22,9,4,6,0,59,29,42,16,3,0,0,97,28,30,14,5,4,0,90,27,30,16,3,9,0,84,22,30,17,7,8,0,80,15,28,8,10,3,0,67,45,90,34,13,13,0,200,24,44,14,3,7,0,93,19,66,12,8,0,0,107,49,97,37,5,7,0,191,121,340,87,15,16,4,577,69,285,63,11,8,3,429,106,432,148,15,15,4,716,35,89,40,4,9,7,179,718,1717,576,117,104,21,3254
LGA51330,146,131,98,17,34,5,433,28,28,20,4,3,0,80,51,40,29,3,11,5,144,55,34,39,4,6,4,143,68,74,40,14,22,0,221,92,111,55,17,25,4,306,172,195,103,32,32,10,543,174,265,122,36,43,9,651,205,337,123,42,49,12,775,240,444,136,43,57,11,933,152,363,113,35,49,12,721,261,635,219,60,46,10,1223,84,274,95,18,20,0,495,73,275,82,9,15,0,449,127,390,171,28,29,3,750,187,538,191,33,31,4,985,85,226,84,10,15,0,424,58,177,85,6,10,0,342,131,243,138,25,28,11,581,2382,4778,1942,440,536,106,10191
LGA51400,30,15,8,6,5,0,55,15,7,4,0,3,0,24,17,3,5,3,0,0,30,12,3,6,3,5,0,25,26,15,11,6,5,0,58,20,39,11,12,16,0,99,47,48,21,11,11,3,152,62,118,30,28,23,0,261,53,154,30,24,16,0,279,83,162,50,23,10,0,336,54,97,35,13,7,0,214,77,145,71,19,21,4,335,37,72,22,9,4,0,136,26,35,12,3,0,0,81,36,90,26,7,4,0,157,50,76,41,6,3,0,176,22,26,22,0,0,0,67,19,13,14,5,3,0,51,33,58,20,7,3,6,128,729,1175,436,184,141,15,2682
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,3,0,0,0,25
LGA51540,9,4,5,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,7,4,0,3,0,0,0,10,3,10,0,3,3,0,20,6,8,4,3,0,0,26,13,12,3,5,0,0,36,11,11,0,3,0,0,28,4,7,0,6,0,0,19,11,10,5,0,4,0,24,4,0,0,0,0,0,6,11,15,6,0,0,0,30,0,4,0,0,0,0,3,0,9,3,0,0,0,10,9,7,0,5,0,0,15,9,4,0,0,4,0,20,5,4,6,0,0,0,9,4,9,5,0,0,0,7,11,5,4,0,0,0,24,102,113,43,23,20,0,306
LGA51610,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,9,3,3,0,0,0,0,8,5,9,0,0,0,0,13,3,6,0,0,0,0,4,4,7,0,0,0,0,18,0,5,0,0,0,0,7,9,10,0,0,0,0,17,10,10,0,0,0,0,25,3,5,3,0,0,0,12,0,6,0,0,0,0,5,6,7,0,0,0,0,12,9,11,4,0,0,0,25,0,6,0,0,0,0,9,7,0,0,0,0,0,6,7,0,9,0,0,0,13,67,84,31,8,7,0,203
LGA51680,22,5,4,0,0,0,25,10,4,0,0,0,0,12,5,0,0,0,0,0,5,5,0,0,0,0,0,10,9,0,5,0,0,0,10,12,7,5,0,0,0,23,13,7,13,7,0,0,29,16,21,14,11,6,0,64,22,20,8,0,7,0,58,27,31,18,3,0,0,80,25,25,14,0,0,0,68,40,56,27,10,4,0,138,15,40,13,0,4,0,66,21,22,8,0,0,0,50,41,46,17,9,5,0,122,48,60,24,4,4,0,142,19,6,0,0,3,0,34,8,9,3,0,0,0,18,27,16,19,4,4,0,68,368,380,191,49,39,0,1031
LGA51710,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,4,0,0,0,0,10,0,0,0,0,0,0,3,0,5,0,0,0,0,3,0,0,0,0,0,0,3,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,4,4,3,0,53
LGA51750,11,8,10,3,3,0,31,5,0,0,0,0,0,7,5,0,4,0,0,0,13,4,4,5,0,0,0,13,9,4,0,0,0,0,13,10,8,0,0,0,0,21,3,7,0,0,0,0,13,11,3,4,0,3,0,21,7,8,6,3,0,0,27,10,10,5,0,3,0,26,3,10,0,0,0,0,14,12,31,7,7,11,0,57,10,10,7,5,0,0,30,7,15,4,0,0,0,26,10,20,0,0,0,0,44,33,76,29,5,7,0,156,14,71,24,4,3,4,123,33,129,55,11,9,0,229,15,21,19,3,3,0,56,209,433,185,52,47,5,924
LGA51820,178,140,77,28,45,7,474,54,23,19,3,7,0,105,65,38,35,6,16,0,161,83,40,49,20,29,0,224,101,112,85,19,30,5,351,151,127,93,44,61,9,487,204,233,148,65,52,7,708,293,341,162,96,86,11,987,429,547,163,100,84,15,1332,531,772,216,97,80,11,1708,429,725,147,88,64,17,1468,573,1197,325,117,84,15,2308,294,619,148,36,28,4,1127,181,464,103,27,19,10,797,343,792,232,62,54,3,1479,405,821,324,61,44,13,1677,162,244,113,26,6,0,554,105,202,76,14,19,3,409,231,332,175,44,61,21,862,4780,7774,2687,941,881,159,17222
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
LGA51890,11,6,0,4,0,0,23,3,0,0,0,7,0,7,10,9,8,0,6,0,33,13,0,0,3,6,0,31,23,16,7,5,8,0,58,33,25,10,16,11,0,94,27,50,11,12,9,0,110,32,40,16,6,7,0,98,29,30,15,8,6,0,88,21,47,17,3,0,0,87,5,35,13,4,4,0,56,25,44,13,4,3,0,80,4,9,5,0,0,0,27,0,3,3,0,0,0,9,7,18,5,0,0,0,32,10,14,8,0,0,0,39,10,13,4,0,0,0,24,3,0,0,0,0,0,8,24,14,12,6,3,0,68,302,369,149,65,72,7,959
LGA51960,0,0,0,0,0,0,3,0,6,0,0,0,0,9,11,8,0,3,0,0,19,6,9,0,0,0,0,23,20,13,5,0,0,0,39,17,18,0,6,5,0,49,16,19,10,3,3,0,48,10,20,9,0,3,0,34,10,6,4,5,0,0,20,10,4,0,0,0,0,12,0,0,0,0,0,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,4,9,3,0,0,4,0,14,113,109,31,22,16,0,288
LGA52030,4,3,0,0,0,0,11,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,0,0,4,0,0,7,5,0,0,0,0,0,10,3,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,20,5,3,3,0,69
LGA52100,4,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,0,0,0,0,4,6,0,0,0,0,0,8,0,7,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0,4,3,0,4,0,0,8,0,0,0,0,0,0,5,0,0,0,0,0,0,5,4,0,0,0,0,0,4,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,4,4,4,0,66
LGA52170,13,12,8,0,6,0,32,0,0,0,0,0,0,3,7,0,0,0,0,0,4,4,0,0,0,0,0,4,7,6,3,0,0,0,13,4,0,0,0,0,0,7,5,4,4,0,4,0,17,3,7,0,0,5,0,15,0,4,3,0,0,0,13,0,3,3,3,0,0,16,5,0,3,0,0,0,10,18,18,5,7,3,0,45,0,0,0,0,0,0,9,0,4,0,0,0,0,10,6,8,4,0,0,0,21,14,33,17,4,3,0,69,16,43,17,5,4,0,85,44,135,49,6,9,3,246,10,17,8,6,5,0,41,154,301,136,33,28,6,658
LGA52240,6,3,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,4,3,0,0,50
LGA52310,0,0,0,0,0,0,4,0,0,0,0,0,0,5,4,6,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,11,3,0,0,0,3,0,7,0,4,0,0,0,0,7,4,0,0,0,0,0,8,0,7,0,0,0,0,9,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,34,21,16,3,3,0,73
