LGA_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
LGA57980,273,232,504,394,330,721,0,0,0,0,0,0,33,38,69,1968,2069,4042,152,247,398,3,0,3,39,9,44,195,94,293,57,20,78,323,352,674,3435,3399,6828,50,52,113,0,0,0,0,0,0,7,5,8,3,3,12,9,8,19,79,74,150,0,0,0,0,0,0,10,7,11,7,11,18,12,8,16,21,23,40,39,32,75,139,123,264,5,6,14,0,4,6,3,0,3,10,15,25,549,566,1115,348,554,897,13,15,23,4496,4660,9155
LGA58050,367,410,774,824,477,1304,9,5,11,6,0,4,117,115,233,27610,23773,51385,1622,1987,3610,572,23,596,180,10,194,157,42,194,1044,237,1276,461,433,893,32952,27511,60473,245,290,530,0,0,0,0,0,0,328,364,694,38,51,89,27,11,34,635,716,1344,0,0,0,0,0,0,43,44,84,28,57,84,56,27,83,124,127,256,346,190,535,1106,1029,2137,107,162,270,40,17,56,14,9,23,161,187,348,1737,2767,4501,3996,4771,8771,185,123,315,40146,36400,76545
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,33,90,0,4,3,0,0,0,0,0,0,0,0,0,0,0,5,12,0,19,74,46,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,24,8,15,19,0,0,0,99,64,161
LGA58260,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,86,61,150,0,5,9,4,0,4,0,0,0,0,0,0,0,0,0,15,8,20,114,79,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,21,44,4,3,9,0,3,4,136,106,242
LGA58330,0,0,0,30,7,36,0,0,0,0,0,0,0,0,0,568,544,1114,36,42,78,33,6,38,0,0,0,0,0,0,40,4,46,31,20,49,747,619,1363,0,0,0,0,0,0,0,0,0,0,3,6,0,4,4,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,16,15,8,26,0,4,4,0,0,0,0,0,0,4,4,3,105,127,232,134,134,263,5,9,16,1007,895,1904
LGA58400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,24,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,17,58,32,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,6,21,7,9,15,0,0,6,75,50,125
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,26,26,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,3,0,0,0,27,28,56
LGA58510,272,280,557,951,867,1821,0,0,3,0,0,0,60,52,112,6122,5092,11216,353,622,980,42,0,39,61,10,68,203,62,267,211,86,296,197,184,383,8475,7254,15733,104,119,220,0,0,0,0,0,0,16,30,49,0,9,10,15,0,14,138,157,298,0,0,0,0,0,0,35,21,57,25,38,53,37,18,55,91,79,172,73,53,120,302,285,591,40,49,90,14,11,19,8,7,15,64,63,125,782,813,1591,979,1324,2305,43,22,65,10642,9766,20410
LGA58540,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,133,96,230,6,6,9,7,0,7,0,0,0,0,0,0,4,0,4,19,20,43,170,129,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,38,77,20,17,30,4,0,3,233,184,412
LGA58570,214,199,410,1156,994,2146,0,0,3,0,0,0,101,117,214,5498,5115,10612,341,545,880,47,0,52,74,18,95,402,162,565,188,63,247,732,644,1372,8744,7845,16592,117,144,264,0,0,0,0,0,0,11,14,25,6,12,19,19,0,22,164,172,331,0,0,0,0,0,0,15,27,43,13,30,41,28,30,58,58,86,145,98,50,147,315,313,622,28,30,48,18,10,27,4,3,8,47,41,87,1130,1092,2226,932,1461,2401,44,36,81,11223,10789,22010
