LGA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
LGA50840,0,0,0,0,0,0,16,7,0,3,0,0,0,0,0,27,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,3,5,10,12,12,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,11,14,35,174,149,106,30,58,10,0,0,0,4,0,0,26,606,0,0,6,8,3,5,9,6,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,15,15,17,17,22,3,0,0,0,0,0,0,6,90,21,73,226,211,214,102,154,58,3,7,6,11,3,0,39,1126
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,9,7,3,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,12,0,4,21,11,12,3,17,8,5,0,0,6,0,0,6,94
LGA50980,0,0,0,0,10,8,61,82,13,4,13,14,3,0,3,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,0,0,0,0,0,0,0,0,0,23,0,0,0,4,6,13,46,16,0,8,0,3,0,0,0,102,0,0,0,0,0,0,15,7,0,0,4,4,0,0,0,24,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,23,0,0,0,0,7,10,20,17,4,0,3,11,0,0,3,70,0,13,90,73,77,44,133,73,5,6,7,18,6,0,17,571,0,3,0,3,3,4,16,11,0,3,0,5,0,0,0,55,0,0,0,0,0,0,3,6,0,4,5,0,0,3,0,25,0,7,9,28,24,27,97,50,15,32,21,85,33,7,17,459,13,52,145,191,213,193,575,423,64,81,80,230,73,16,85,2449
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,25,9,7,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,7,0,8,31,17,16,3,8,4,0,0,4,0,0,0,8,103
LGA51120,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,9,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,14,5,9,18,12,13,8,18,7,0,0,0,0,0,0,0,88
LGA51190,0,0,0,8,21,32,131,134,23,24,25,28,17,5,16,465,3,4,4,3,18,3,6,3,0,0,0,0,0,0,3,53,0,7,3,0,4,3,8,3,0,4,3,0,4,0,0,40,0,0,6,20,30,39,141,39,14,12,10,10,11,3,9,344,0,0,3,0,3,3,3,12,7,4,0,0,0,4,0,42,0,0,0,0,0,4,3,15,4,10,11,25,8,0,0,83,0,0,0,0,3,6,32,14,8,4,3,5,0,0,0,80,57,154,593,354,265,160,256,139,10,6,10,26,20,0,72,2120,0,0,12,21,7,5,11,7,8,0,0,3,0,0,0,79,0,0,0,0,7,19,13,11,0,3,0,0,0,0,5,69,15,23,57,61,61,55,145,98,31,29,27,29,26,4,32,688,151,400,834,656,698,530,1232,884,169,167,174,223,112,36,247,6510
LGA51260,0,0,0,0,14,7,57,37,13,3,5,14,5,0,3,166,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,30,0,3,3,10,4,8,7,10,0,0,0,0,0,0,0,47,0,0,10,31,66,60,166,72,13,12,0,17,11,0,0,477,0,0,0,0,0,0,12,20,0,3,0,3,0,0,0,46,0,0,0,0,0,0,3,17,3,0,0,6,0,0,0,44,0,0,0,0,9,9,34,17,8,0,3,8,0,0,0,97,80,226,898,617,524,261,525,252,34,12,23,33,25,14,123,3654,3,4,9,31,11,17,30,23,0,9,0,5,6,5,6,158,0,0,0,3,3,11,15,24,4,0,0,7,0,0,3,64,18,24,90,81,88,61,170,105,22,24,27,32,10,4,17,773,164,386,1184,1031,1060,702,1473,931,145,124,123,172,87,41,238,7864
LGA51310,0,0,0,4,13,9,20,23,4,0,6,4,0,0,3,89,9,0,4,10,33,4,0,5,0,0,0,0,0,0,3,67,5,0,8,43,47,37,57,36,0,9,0,5,12,0,5,268,3,3,11,39,69,92,218,66,8,10,12,18,4,0,10,563,3,0,0,5,14,8,23,8,3,9,0,11,0,0,0,78,0,0,0,0,5,9,7,13,0,0,0,3,0,0,0,38,0,0,0,8,5,3,21,13,6,4,0,0,4,0,6,64,37,109,305,315,388,329,514,238,27,38,26,43,25,7,62,2469,0,4,10,21,30,29,60,62,9,12,14,21,14,7,7,303,0,0,3,27,20,5,0,12,0,0,4,0,0,0,4,78,22,16,60,95,152,142,278,203,46,36,63,87,60,6,17,1291,161,367,593,857,1266,1038,1953,1172,195,217,246,336,217,56,169,8838
LGA51330,0,0,0,10,103,79,533,489,88,57,55,99,42,8,17,1584,8,3,0,13,81,29,26,7,0,0,4,0,0,0,3,186,0,5,17,148,256,288,689,253,69,59,63,89,35,6,25,2010,0,5,19,59,163,173,366,134,24,21,24,17,9,6,20,1037,3,9,7,17,86,165,447,376,55,60,57,120,54,4,6,1470,0,0,0,0,21,51,78,129,18,20,29,44,10,3,5,406,0,0,6,15,44,61,124,57,16,22,10,15,6,5,13,399,99,244,1181,945,944,416,820,396,46,33,55,50,29,5,92,5355,0,3,12,35,25,46,77,54,16,16,4,15,7,5,5,311,0,0,0,72,121,68,92,114,47,34,45,49,23,4,25,685,34,42,298,355,616,678,1446,1128,326,274,348,512,177,40,100,6377,272,753,2178,2567,4851,4399,13111,9244,2095,1895,2343,2840,1147,220,852,48777
LGA51400,0,0,0,4,6,13,123,83,16,9,13,19,11,0,0,305,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,0,13,6,0,0,3,0,0,0,0,26,0,0,7,12,15,32,343,177,11,30,12,23,11,3,8,676,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,0,0,0,4,8,0,12,6,0,0,0,0,0,0,0,26,22,60,279,187,160,76,291,114,12,7,10,11,3,8,34,1282,0,0,6,12,3,4,21,3,0,0,0,9,0,0,0,51,0,0,0,0,0,0,3,8,3,0,0,0,0,0,0,17,4,7,35,30,42,42,205,83,4,22,7,15,8,0,3,507,42,111,367,327,390,262,1277,716,61,102,70,107,44,15,80,3982
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,5,0,4,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,12,0,5,12,10,3,12,8,10,0,0,0,0,0,0,5,79
LGA51540,0,0,0,0,3,3,10,18,7,0,0,4,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,7,3,0,0,0,0,0,0,20,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,14,5,11,60,37,9,16,25,15,5,0,4,3,0,0,9,193,0,0,3,5,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0,49,28,21,10,0,0,0,0,0,0,9,118,3,3,16,13,46,14,20,11,8,11,7,7,0,5,3,177,6,33,119,82,140,91,138,113,36,26,46,58,22,7,35,968
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,15,12,10,13,8,0,0,0,0,0,0,0,96,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,5,5,0,0,0,0,0,0,0,20,0,3,37,34,32,22,36,33,0,0,0,0,3,0,4,208
LGA51680,0,0,0,0,0,3,0,9,0,4,0,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,3,0,7,0,0,0,0,0,0,0,0,17,0,0,0,0,5,10,27,20,8,0,0,0,0,0,0,74,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,19,113,119,127,83,224,59,0,0,4,6,0,0,29,789,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,20,13,16,19,25,6,0,0,0,3,0,0,7,115,12,48,154,192,237,160,351,133,13,7,11,18,4,0,56,1384
