LGA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA51960,0,3,0,0,5,5,0,18,0,26,3,0,3,4,7,4,0,12,18,56,86,138,102,62,147,166,102,510,51,1359
LGA52030,0,0,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,6,6,24,28,51,44,31,27,61,21,153,13,426
LGA52100,0,0,3,0,0,3,0,7,0,23,3,5,0,0,0,0,0,3,3,15,25,60,46,36,48,116,32,156,13,527
LGA52170,0,38,4,9,16,17,0,10,0,90,5,35,15,15,6,33,11,33,27,190,170,804,494,308,406,801,269,814,56,4120
LGA52240,0,10,3,0,0,0,0,3,0,12,3,3,5,0,0,0,0,4,9,24,30,65,47,39,44,112,40,143,12,525
LGA52310,0,7,0,0,4,6,0,0,0,12,0,0,0,0,6,0,0,0,4,18,16,41,66,30,40,79,27,102,11,419
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,15,4,0,9,16,3,61,3,111
LGA52450,0,0,0,0,4,3,0,0,0,17,0,4,4,0,0,0,8,4,7,31,33,90,67,22,68,87,49,160,9,580
LGA52520,0,5,0,0,0,9,4,10,0,24,0,3,4,3,5,0,5,9,0,30,16,83,45,40,55,118,73,233,10,671
LGA52590,0,9,6,6,6,8,5,5,0,48,10,10,4,4,4,6,3,8,11,65,103,240,192,90,177,232,96,410,37,1571
LGA52660,9,62,30,17,46,48,22,47,0,294,16,33,17,14,37,46,18,45,45,274,407,1025,843,532,1060,1280,499,1283,102,7025
LGA52730,7,18,14,9,9,16,3,11,0,86,7,18,13,4,8,5,3,16,17,102,166,530,396,249,295,377,114,411,55,2592
LGA52800,0,11,12,4,16,21,3,13,0,86,10,6,6,0,10,12,5,9,23,79,114,167,158,110,423,419,145,387,58,2001
LGA52870,8,15,7,10,18,15,10,14,3,97,16,15,11,11,17,23,6,19,20,124,181,428,282,249,344,456,193,576,63,2774
LGA52940,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,5,0,10,11,44,29,27,19,49,16,104,9,318
LGA53010,0,0,5,0,0,0,0,0,0,7,0,5,5,0,0,0,0,0,0,8,19,47,33,15,26,58,18,94,3,312
LGA53080,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,4,20,15,28,21,16,35,33,17,76,12,262
LGA53150,4,25,16,7,13,17,9,19,3,121,4,24,17,9,24,23,4,28,17,142,156,718,486,337,534,766,282,693,45,4016
LGA53220,4,12,10,3,17,19,10,34,0,118,9,0,0,6,4,11,5,25,22,96,354,285,212,126,397,427,376,2583,103,4859
LGA53290,10,29,31,21,50,88,35,43,0,309,14,37,22,14,36,37,14,43,53,269,395,872,665,456,885,1239,443,1399,152,6504
LGA53360,3,7,3,3,9,17,5,10,0,58,8,11,13,3,9,20,9,17,16,106,107,204,169,135,267,386,109,308,49,1733
LGA53430,11,100,81,57,96,85,28,71,10,542,33,90,94,47,95,145,38,102,81,735,810,2626,2181,1422,2509,3223,1106,2500,196,16569
LGA53570,8,11,14,5,10,9,0,10,0,65,12,19,22,14,11,18,5,13,17,124,187,322,317,172,317,404,158,541,69,2487
LGA53640,0,0,0,0,0,3,5,3,0,18,3,3,4,0,5,4,0,5,8,28,23,87,58,27,53,109,49,188,6,610
LGA53710,0,0,0,4,0,5,4,0,0,22,0,0,0,0,0,7,0,0,6,13,20,56,63,31,41,84,25,116,9,440
LGA53780,68,391,302,181,606,542,163,272,41,2565,74,354,309,197,708,703,179,361,586,3471,2060,8304,6954,4513,12877,11786,3423,7278,1198,58391
LGA53800,31,97,79,52,133,180,47,147,6,779,29,93,62,45,79,106,38,112,110,671,930,2574,2029,1503,2994,3195,1220,3228,292,17963
LGA53920,0,4,0,0,9,0,0,9,0,16,4,0,0,0,7,0,4,6,34,50,43,58,76,57,145,126,44,186,49,786
LGA53990,27,101,51,45,63,84,26,86,9,478,18,68,39,23,82,80,32,94,92,519,728,1984,1472,966,2144,2422,938,2618,222,13484
LGA54060,6,6,5,0,9,8,0,0,0,35,8,12,0,8,12,12,6,21,15,82,84,244,169,109,183,236,80,313,45,1465
LGA54130,0,0,0,0,0,4,0,0,0,10,0,4,0,0,0,4,0,0,0,12,28,85,49,45,37,133,36,171,8,589
LGA54170,106,599,443,281,545,654,204,393,23,3240,124,440,303,186,548,738,189,427,380,3327,3678,13424,10588,6517,14290,17071,5489,11804,872,83741
LGA54200,43,223,158,113,263,272,93,181,8,1355,45,154,111,94,208,285,74,151,202,1320,1289,4218,3323,2156,5242,5655,1980,4650,457,28979
LGA54280,38,61,50,30,90,123,62,249,5,703,28,57,50,28,69,125,37,146,117,659,663,1377,1205,764,2043,2653,1355,4955,287,15298
LGA54310,7,55,29,25,57,64,37,122,3,396,15,39,25,17,53,105,46,171,71,556,691,1017,741,573,1412,2093,1151,3257,194,11129
LGA54340,3,9,0,4,13,27,3,14,0,86,9,15,7,11,9,14,0,10,14,86,89,250,182,134,362,384,110,260,46,1816
LGA54410,0,4,0,0,0,5,0,0,0,4,0,3,6,3,3,0,0,0,11,16,17,72,46,47,59,86,32,105,16,472
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,11,23,20,9,20,47,21,101,10,258
LGA54550,0,3,6,0,3,4,4,5,0,23,0,4,3,0,11,5,3,9,9,54,51,119,123,65,99,167,57,246,31,967
LGA54620,0,0,0,0,0,4,0,0,0,13,0,0,0,0,4,0,0,6,7,17,25,50,42,25,46,64,39,160,15,459
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,26,20,15,18,37,20,58,11,193
LGA54760,0,0,0,0,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,4,29,54,40,22,22,72,34,121,9,404
LGA54830,27,115,107,48,197,185,65,98,6,847,35,111,97,49,196,243,70,147,190,1139,951,2817,2378,1563,4463,4270,1335,3175,426,21377
LGA54900,0,0,5,0,0,7,0,3,0,17,0,0,0,0,3,6,5,5,4,23,30,78,70,42,63,161,49,256,9,744
LGA54970,0,0,0,0,4,0,0,0,0,8,0,3,0,0,0,0,0,0,8,15,50,30,21,18,40,42,23,284,13,518
LGA55040,0,0,0,0,0,6,0,18,0,21,0,0,0,0,0,0,0,10,3,11,39,44,37,14,36,85,46,345,24,669
LGA55110,48,269,201,103,244,272,78,162,12,1394,80,212,156,77,194,243,69,224,295,1564,2146,5918,4566,2738,6113,5565,2050,6372,704,36163
LGA55180,7,21,14,18,28,32,13,19,0,152,6,34,16,10,29,46,7,26,31,208,249,643,510,373,635,808,260,774,91,4339
LGA55250,0,0,0,0,0,3,0,8,0,10,3,4,0,0,0,0,0,0,7,19,40,36,15,13,54,57,23,225,19,483
LGA55320,55,323,272,129,273,302,100,206,12,1669,63,348,223,113,322,491,127,278,259,2221,1956,9129,6464,3837,8541,10527,3444,7287,567,51746
LGA55390,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,17,16,3,5,21,19,21,155,4,247
LGA55460,5,12,5,0,10,18,6,13,0,65,0,10,3,0,5,10,4,3,9,49,79,229,132,84,201,262,99,295,32,1414
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,25,15,10,9,32,16,70,3,184
LGA55600,0,3,3,3,6,14,0,13,4,50,3,4,5,0,0,7,0,3,0,27,46,138,107,81,117,206,82,289,17,1078
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,28,21,19,30,42,17,79,0,249
LGA55740,0,44,19,14,18,29,0,19,0,150,9,39,25,16,20,46,13,21,20,204,176,849,620,368,540,849,251,808,36,4486
LGA55810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,7,10,9,6,10,13,30,8,84,7,179
LGA55880,0,0,0,4,0,0,3,0,0,6,0,0,0,0,0,0,5,3,0,7,9,25,12,18,30,36,23,88,0,249
LGA55950,0,0,0,0,3,0,0,9,0,14,0,3,0,0,0,0,0,0,3,9,14,33,26,16,23,55,19,90,12,270
LGA56090,33,164,100,59,146,140,55,133,7,843,36,116,69,44,138,169,40,131,135,887,972,2848,2133,1384,3034,3470,1226,3093,300,18464
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,6,0,4,3,3,0,24,4,40
LGA56230,12,56,44,24,40,55,19,66,9,317,17,39,28,20,43,43,15,53,52,310,447,1151,865,532,1235,1039,447,1490,162,7368
LGA56300,0,0,3,0,0,3,0,0,0,8,0,9,0,0,0,4,0,3,9,25,34,115,83,59,76,88,21,128,11,617
LGA56370,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,4,0,4,0,8,9,34,35,21,35,73,28,117,3,362
LGA56460,4,10,11,3,22,24,8,16,0,104,0,11,0,3,4,17,10,12,22,74,88,269,231,195,311,442,150,396,43,2119
LGA56580,11,60,51,20,30,23,7,36,6,233,13,87,63,28,34,91,30,79,48,472,348,2233,1379,764,1161,2097,749,2018,95,10851
LGA56620,0,0,5,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,15,43,18,53,31,7,26,15,221
LGA56730,13,33,19,4,32,57,14,27,4,201,5,25,14,12,30,33,15,35,32,202,215,627,497,362,805,866,303,827,81,4577
LGA56790,0,4,4,7,6,4,0,8,0,31,3,7,9,3,5,4,4,4,8,54,93,205,155,127,117,205,65,302,48,1306
LGA56860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,12,7,5,11,23,4,28,0,98
LGA56930,0,7,0,3,3,3,0,0,0,13,0,11,4,3,0,4,0,5,3,34,20,166,94,62,57,118,37,168,9,737
LGA57000,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,14,26,25,12,20,32,31,139,7,308
LGA57080,12,90,60,34,85,67,24,41,12,422,31,95,76,28,111,158,29,88,129,744,613,2345,1763,964,3291,3937,1045,2481,260,16702
LGA57140,0,0,0,0,0,7,0,3,0,9,4,3,0,0,0,0,0,3,0,16,25,67,41,24,38,67,32,94,10,391
LGA57210,6,14,5,8,22,12,0,9,0,75,16,9,14,12,6,13,6,11,22,101,150,331,292,187,307,375,165,444,62,2308
LGA57280,14,30,19,12,47,38,15,90,9,274,26,28,13,13,33,48,13,90,76,345,494,626,466,327,1058,1276,680,2641,208,7782
LGA57350,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,14,44,29,18,39,50,23,83,4,296
LGA57420,5,3,3,0,0,6,0,6,0,27,5,8,0,4,3,4,0,6,10,41,70,122,72,56,84,92,63,396,30,997
LGA57490,70,409,308,192,421,449,140,308,34,2338,146,274,194,157,495,614,165,437,462,2952,3381,8652,6971,4586,11474,12010,3971,10923,1062,63025
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0,3,4,0,14,0,44
LGA57700,27,135,87,58,149,146,60,129,8,799,41,78,62,38,131,179,40,107,149,826,839,2068,1732,1188,2851,3115,1079,2885,300,16059
LGA57770,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,12,16,27,43,58,26,88,66,32,120,21,475
LGA57840,19,128,94,55,128,143,46,85,4,700,29,116,88,65,125,216,48,108,133,929,842,3712,2778,1628,3928,4919,1556,3458,255,23079
LGA57910,130,804,667,382,889,814,294,494,45,4513,145,673,566,298,863,1064,249,585,817,5258,4428,17336,14754,9095,22513,24565,7606,16176,1737,118218
LGA57980,11,42,25,19,37,28,12,33,4,205,4,39,27,29,49,77,23,39,39,336,290,1512,980,693,1374,2062,674,1481,82,9155
LGA58050,95,500,439,244,748,748,258,474,48,3545,116,430,344,247,785,830,173,494,634,4041,3221,10277,8772,5601,15909,15037,4773,11580,1369,76545
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,21,21,11,7,23,16,55,4,161
LGA58260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,27,17,16,26,44,21,80,4,242
LGA58330,6,8,9,3,14,22,7,7,0,70,5,21,10,7,10,19,12,7,18,99,118,302,194,124,298,326,111,394,41,1904
LGA58400,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,3,9,14,13,3,17,20,0,44,3,125
LGA58470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,3,11,4,25,6,56
LGA58510,19,131,95,60,128,122,42,87,4,683,14,87,69,45,140,198,48,94,119,818,781,2806,2461,1485,3946,4463,1395,2811,255,20410
LGA58540,0,0,0,3,0,0,0,3,0,16,0,4,4,0,0,0,0,0,3,15,16,49,45,30,40,68,14,135,14,412
LGA58570,24,100,100,55,144,141,36,84,9,687,13,89,64,54,145,166,46,96,122,788,808,2715,2507,1590,4052,5004,1639,3431,257,22010
LGA58610,4,6,0,0,0,9,5,4,0,38,0,5,0,0,5,5,5,3,7,31,61,115,88,52,81,109,47,163,22,734
LGA58680,0,0,0,0,0,0,0,3,0,9,0,0,6,0,0,0,0,0,0,6,13,21,22,9,18,44,19,85,4,242
LGA58760,152,799,647,391,1014,965,295,534,44,4851,142,579,392,330,970,1037,241,569,862,5115,4537,14956,12445,8275,21035,20691,6191,14572,1895,104601
LGA58820,0,7,6,4,9,4,0,9,0,47,5,12,9,6,10,10,6,10,19,80,131,268,192,140,264,213,105,386,50,1750
LGA58890,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,3,13,44,50,33,49,57,27,110,9,378
LGA59030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,10,8,9,15,14,10,39,4,115
LGA59100,0,4,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,13,21,43,35,23,43,46,25,78,10,322
LGA59170,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,5,4,0,17,41,70,40,39,43,82,44,174,5,537
LGA59250,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,5,5,13,3,10,23,14,4,113,13,196
LGA59310,0,7,0,5,4,10,7,0,0,28,3,3,4,4,0,4,6,10,3,35,35,93,56,32,50,135,53,177,9,648
LGA59320,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,4,9,33,8,16,16,36,16,67,3,210
LGA59330,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,12,13,23,19,16,31,33,12,57,0,208
LGA59340,5,9,7,6,21,33,12,30,0,123,10,22,9,5,26,21,9,22,38,172,155,263,192,206,641,636,240,775,88,3198
LGA59350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,12,6,0,8,8,4,76,4,120
LGA59360,5,0,0,0,0,6,0,3,0,14,0,0,4,0,3,5,0,8,7,29,35,42,52,26,45,67,53,283,17,620
LGA59370,3,10,3,3,10,12,3,6,0,47,3,7,0,0,8,5,0,8,28,68,85,205,175,128,182,204,79,312,39,1408
LGA59499,6,12,6,4,9,4,0,10,0,52,9,13,0,3,5,20,0,24,12,78,181,208,163,110,217,250,70,370,33,1614
LGA59799,0,0,0,0,0,0,0,0,0,4,8,5,0,0,0,0,0,29,0,35,13,14,5,3,5,5,11,220,5,277
