LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA50840,798,1562,5,40,51,240,23,88,280,1127,357,1489,22,80,24,75,74,231,123,386,486,1874,0,3,11,34,13,41,50,127,72,203,4,8,17,31,62,120,76,158,152,362,12,28,1448,3828
LGA50910,125,236,0,7,8,20,5,11,53,195,59,235,6,7,3,9,18,52,23,72,84,310,0,5,4,16,0,0,10,21,7,40,0,0,0,5,10,24,15,25,19,73,6,9,230,630
LGA50980,1298,2507,20,123,141,596,74,372,1103,4336,1341,5426,46,164,68,197,183,579,290,947,1634,6366,15,76,61,217,50,172,396,1173,523,1640,8,18,56,115,208,474,271,607,798,2248,74,170,3805,11286
LGA51080,128,251,0,0,8,20,0,9,69,280,75,305,3,10,11,22,21,57,28,91,107,398,0,6,3,21,3,12,13,39,22,77,3,10,6,8,13,33,26,50,44,127,4,7,277,775
LGA51120,112,216,0,5,11,37,7,21,55,224,74,282,8,11,0,7,11,36,22,61,94,347,6,12,5,13,0,0,9,32,18,58,0,0,0,0,5,11,5,11,22,74,5,5,229,637
LGA51190,3736,7346,40,214,270,1191,92,405,1619,6158,2021,7976,117,456,204,646,493,1523,812,2623,2834,10605,20,87,117,380,75,258,781,2042,993,2776,35,116,126,254,599,1249,765,1619,1760,4387,138,290,8470,22633
LGA51260,5171,10101,63,352,467,2052,168,732,2503,9626,3212,12772,153,571,304,925,658,1975,1108,3473,4315,16240,21,96,150,486,59,204,649,1694,883,2472,39,108,122,265,452,928,612,1304,1497,3776,82,171,11067,30286
LGA51310,2851,5602,39,221,542,2457,37,142,2189,8608,2806,11430,227,947,565,2021,485,1533,1278,4504,4088,15935,3,17,62,188,8,29,259,601,334,838,34,105,118,298,256,528,407,930,740,1767,99,203,7774,23506
LGA51330,8669,17332,154,919,1529,6942,231,1046,6664,25578,8572,34482,685,2900,1318,4620,2023,6432,4024,13954,12600,48437,44,228,290,993,91,332,1074,2862,1503,4419,190,599,394,952,1218,2633,1807,4185,3307,8602,557,1193,25130,75567
LGA51400,1903,3711,54,263,282,1235,93,421,1259,4915,1691,6835,129,510,194,594,387,1162,703,2266,2395,9103,15,56,62,218,34,135,346,979,459,1393,38,108,65,131,204,421,305,666,761,2055,36,75,5093,14940
LGA51470,83,155,0,0,4,14,0,0,19,90,28,106,5,4,8,11,3,15,9,36,45,142,0,0,0,0,0,0,3,13,3,13,0,0,0,0,8,14,8,14,13,24,0,3,135,321
LGA51540,511,1000,8,41,29,118,13,83,255,985,304,1225,14,47,18,41,74,232,100,319,408,1542,0,8,12,32,13,49,99,280,118,361,4,16,14,29,81,177,100,218,219,579,22,44,1151,3172
LGA51610,213,411,4,23,27,99,0,9,92,370,127,499,3,10,16,48,39,108,53,172,179,670,0,0,8,27,0,0,11,33,20,63,0,0,0,0,11,25,13,21,37,90,5,13,426,1179
LGA51680,760,1490,22,124,71,316,39,159,330,1330,464,1926,42,160,49,154,188,562,278,880,738,2806,5,22,10,36,6,19,68,177,84,253,7,14,14,28,59,133,81,176,165,431,6,12,1669,4739
LGA51710,116,223,3,10,15,64,0,5,102,390,118,468,6,23,0,13,22,68,33,105,149,575,0,0,4,9,0,5,9,28,14,41,5,8,6,7,11,17,18,33,34,76,0,4,295,882
LGA51750,1186,2330,4,23,151,677,11,40,598,2325,767,3065,90,359,200,711,149,461,445,1532,1210,4599,5,9,33,105,0,4,139,328,174,439,11,33,84,196,125,268,224,498,399,940,45,97,2839,7965
LGA51820,11831,23347,215,1146,1334,5927,380,1651,8863,33300,10784,42029,793,3314,1243,4211,2639,8449,4675,15973,15467,58003,46,208,356,1188,180,628,2001,5054,2591,7076,260,817,446,987,1729,3810,2436,5611,5028,12692,484,1009,32804,95043
LGA51860,69,145,4,13,8,22,3,16,40,180,54,225,0,0,4,5,17,56,22,64,77,291,0,0,0,0,0,8,6,10,0,9,0,0,0,0,3,3,3,3,7,12,0,0,154,450
LGA51890,1047,2079,11,50,79,359,48,213,418,1662,557,2277,34,138,59,176,179,537,268,858,831,3140,5,39,29,93,25,82,155,451,219,668,8,43,21,47,141,292,172,380,390,1046,32,61,2292,6325
LGA51960,318,618,4,26,22,100,13,71,178,693,222,891,3,21,13,44,37,124,60,189,286,1081,0,3,7,23,10,34,68,178,84,247,6,19,9,21,30,60,50,102,130,342,15,32,753,2077
LGA52030,188,363,0,4,9,46,5,7,42,159,54,213,0,5,4,8,9,36,16,45,69,257,0,0,0,0,0,6,7,26,12,29,0,3,0,4,6,16,12,24,21,50,3,4,279,675
LGA52100,148,289,0,9,8,24,4,9,63,248,72,295,8,15,6,8,18,54,22,81,99,370,0,4,0,3,4,5,9,14,12,31,0,0,4,7,3,8,7,14,17,40,3,6,269,704
LGA52170,915,1784,13,64,129,592,4,22,451,1773,600,2456,72,297,166,566,112,335,348,1200,942,3654,0,0,22,76,0,5,71,167,98,252,9,33,45,100,66,144,118,275,217,526,25,58,2102,6019
LGA52240,134,266,4,7,8,43,3,23,67,259,82,331,3,6,5,11,21,55,26,76,113,407,0,0,0,5,3,8,11,38,17,50,0,0,0,3,8,9,8,11,21,68,7,8,272,742
LGA52310,143,275,0,3,13,51,0,12,36,145,55,211,0,9,6,9,20,55,25,74,82,286,0,0,0,7,0,10,6,19,10,42,0,4,0,0,12,22,13,28,29,73,3,8,249,636
LGA52380,18,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,4,3,9,0,0,24,47
LGA52450,123,246,3,18,21,82,3,12,85,337,114,451,5,15,5,19,24,64,35,99,145,548,0,9,9,10,0,0,9,30,19,47,0,3,0,3,11,25,15,29,27,75,3,7,305,884
LGA52520,140,272,4,16,18,66,3,12,93,377,122,471,6,18,6,16,17,61,31,100,150,569,0,7,0,3,0,3,8,24,10,38,0,0,0,0,10,33,14,31,26,72,3,6,314,914
LGA52590,528,1037,0,4,22,88,9,24,162,614,191,724,12,33,14,35,50,141,74,206,266,934,0,3,9,24,4,8,33,93,50,135,4,11,4,9,26,61,37,77,81,212,7,7,883,2188
LGA52660,1719,3368,32,179,171,755,80,351,1006,3872,1291,5153,62,251,90,285,312,962,463,1495,1754,6654,12,59,44,134,27,101,256,664,338,953,23,58,42,94,166,363,229,524,573,1475,37,80,4080,11570
LGA52730,837,1606,11,44,68,293,20,81,335,1289,428,1711,16,61,40,124,73,224,138,410,561,2119,0,6,17,54,3,13,95,242,115,314,12,24,33,68,54,112,94,209,214,516,4,9,1613,4251
LGA52800,450,905,11,73,35,157,56,344,340,1372,440,1948,7,28,11,23,72,249,92,302,527,2250,0,12,19,78,52,258,180,561,252,912,5,21,7,19,101,257,118,300,373,1208,69,178,1424,4540
LGA52870,917,1795,9,61,66,300,23,102,327,1307,432,1768,26,113,33,92,106,332,172,537,603,2303,0,0,13,42,5,19,72,209,90,266,8,17,13,26,81,166,99,208,195,475,18,35,1726,4610
LGA52940,92,172,4,14,10,35,0,0,38,162,51,213,4,4,5,13,7,27,16,46,70,260,0,3,0,3,0,5,10,39,13,52,0,0,0,0,4,9,4,10,23,61,0,0,178,494
LGA53010,88,166,0,0,9,30,0,0,48,186,55,215,0,0,5,7,3,12,12,23,65,237,0,0,0,0,0,0,0,7,0,7,0,0,4,3,0,7,6,9,5,23,0,3,161,429
LGA53080,63,126,0,4,0,8,4,11,16,59,23,89,0,4,0,0,3,19,7,17,27,108,0,0,0,7,5,8,10,24,17,40,0,0,0,0,17,35,17,35,29,73,5,11,127,318
LGA53150,812,1603,10,59,122,551,9,40,505,1949,647,2602,51,223,142,474,146,458,342,1155,987,3753,3,10,29,80,4,12,86,223,126,330,13,24,45,94,79,171,132,294,259,622,19,40,2075,6022
LGA53220,405,834,19,84,40,189,26,137,477,1930,562,2337,8,23,23,64,52,176,83,260,643,2603,9,35,17,44,19,75,98,277,132,434,5,11,6,10,51,118,59,139,195,574,24,54,1264,4063
LGA53290,1550,3011,26,146,172,718,37,156,780,3077,1016,4094,38,153,79,215,229,694,353,1064,1364,5157,8,42,42,168,17,73,190,531,261,817,14,40,36,75,173,350,222,467,482,1277,50,98,3441,9545
LGA53360,365,697,7,18,27,102,3,21,204,777,243,916,9,37,23,67,33,107,73,210,311,1133,0,0,3,11,0,0,29,82,33,96,3,4,8,16,28,56,36,79,71,172,5,10,758,2014
LGA53430,3665,7152,31,149,255,1148,52,200,1829,6733,2161,8229,142,592,303,1027,466,1424,913,3037,3076,11268,9,55,76,244,34,102,438,1030,562,1431,50,138,166,354,500,1042,719,1537,1276,2969,112,238,8131,21631
LGA53570,812,1579,10,63,51,227,22,76,237,911,314,1276,20,82,42,120,105,315,168,521,482,1799,4,7,6,20,0,4,64,189,71,226,7,28,4,14,54,118,70,160,149,383,22,39,1459,3801
LGA53640,137,280,4,27,13,40,4,19,90,358,107,446,5,6,9,23,23,71,30,99,145,550,0,0,3,8,0,4,13,22,14,40,0,0,0,0,10,23,12,24,25,60,3,12,319,900
LGA53710,129,247,0,0,9,45,3,16,54,218,69,280,3,11,0,3,20,58,23,71,93,350,0,0,0,5,0,0,14,37,16,40,0,0,0,5,11,18,11,22,30,66,6,10,253,674
LGA53780,10339,20581,390,2387,1713,8110,521,2501,9028,35233,11656,48228,953,4095,1251,4284,2886,9295,5095,17677,16749,65901,87,418,375,1325,222,808,2022,5574,2703,8127,265,917,452,1041,2008,4437,2728,6392,5425,14517,599,1283,33116,102287
LGA53800,4238,8267,67,339,391,1752,134,622,2239,8645,2831,11362,149,604,234,720,693,2077,1074,3400,3905,14761,28,156,127,444,114,446,796,2205,1070,3254,63,195,131,261,586,1240,780,1706,1851,4954,159,323,10147,28308
LGA53920,145,309,11,77,19,90,33,179,195,788,255,1133,0,3,10,14,32,139,43,157,294,1289,12,75,17,71,35,161,148,449,210,751,7,18,4,17,76,215,88,248,298,994,44,109,778,2705
LGA53990,3334,6522,80,431,362,1655,125,567,1939,7543,2511,10199,148,577,205,629,583,1790,934,2992,3449,13189,13,56,89,288,54,195,497,1350,649,1890,48,136,82,186,349,730,480,1052,1131,2942,84,177,8001,22840
LGA54060,529,1018,5,39,27,119,13,47,159,604,207,811,12,44,26,67,78,234,115,338,316,1156,0,0,14,35,5,22,57,157,76,219,0,13,6,20,36,73,50,112,125,325,10,22,984,2519
LGA54130,141,277,0,13,11,50,6,24,81,317,102,403,0,0,3,15,12,28,15,48,123,443,0,0,0,0,0,3,17,45,16,46,0,0,0,0,4,13,8,11,20,62,0,7,287,789
LGA54170,17825,35183,325,1699,2202,9805,470,2040,11338,43511,14338,57056,1384,5657,2251,7866,4373,13730,8007,27249,22347,84305,64,275,474,1544,149,482,1980,4971,2668,7276,328,1011,676,1547,2171,4648,3168,7204,5840,14478,456,950,46463,134916
LGA54200,6515,12874,148,807,736,3387,190,851,3950,15238,5026,20289,392,1679,559,1924,1424,4504,2376,8100,7406,28390,35,161,176,610,103,387,888,2406,1198,3567,93,304,202,439,917,1981,1214,2725,2415,6294,213,446,16548,48009
LGA54280,2551,5026,59,329,238,1101,155,721,2112,8234,2560,10377,108,424,159,483,488,1526,753,2429,3319,12809,18,76,56,199,49,169,514,1425,632,1868,23,62,56,121,342,738,423,924,1054,2789,114,243,7033,20871
LGA54310,1595,3097,39,223,265,1197,76,349,1899,7419,2285,9183,48,193,126,388,236,728,410,1312,2696,10496,10,35,40,131,33,130,252,654,324,960,13,40,28,57,121,275,162,377,491,1337,51,110,4826,15033
LGA54340,460,925,7,61,40,177,16,92,212,848,278,1176,14,50,20,62,62,201,97,309,373,1484,3,12,11,42,6,22,65,199,86,287,4,15,9,20,61,133,71,165,159,451,17,52,1010,2914
LGA54410,148,287,0,10,9,42,3,14,45,158,56,232,0,8,9,35,24,66,33,102,92,332,0,0,3,10,0,0,17,41,15,49,0,8,3,9,17,42,21,55,39,106,3,10,283,736
LGA54480,45,83,0,5,3,18,0,0,44,177,53,204,4,9,6,25,3,13,15,51,69,251,0,0,0,0,0,0,0,8,0,8,0,0,0,0,5,4,5,4,3,7,0,0,119,345
LGA54550,221,441,3,12,13,41,9,25,129,532,150,605,8,21,8,22,41,116,57,159,206,760,0,0,3,10,5,14,20,66,32,85,0,0,0,3,14,37,13,36,47,119,0,0,475,1330
LGA54620,103,209,0,0,3,18,0,10,44,173,52,208,6,12,5,7,6,20,15,35,71,244,0,0,0,6,0,0,9,30,10,37,0,0,5,6,9,14,14,21,29,61,3,9,199,520
LGA54690,53,105,0,0,4,14,0,4,29,98,29,114,0,0,0,0,3,12,3,12,35,131,0,0,0,0,0,0,0,12,0,11,0,3,0,0,0,0,4,7,3,15,0,0,95,251
LGA54760,102,200,7,11,8,26,0,0,58,235,69,270,0,5,9,12,6,17,11,32,84,301,0,0,0,0,0,0,7,13,7,13,0,0,0,6,8,6,9,14,9,25,0,3,196,531
LGA54830,3640,7128,114,670,507,2357,213,944,3620,13672,4454,17644,234,1006,289,959,800,2552,1330,4517,5783,22157,38,181,128,490,101,389,1008,2782,1280,3846,84,262,156,339,766,1644,1004,2249,2287,6095,196,409,11898,35791
LGA54900,159,303,0,4,11,50,0,17,91,378,115,451,3,12,5,20,18,60,31,97,146,538,0,0,3,4,0,0,4,22,7,26,0,3,0,0,10,19,8,22,18,50,3,7,321,893
LGA54970,50,104,0,0,4,29,3,31,21,78,27,139,0,0,0,6,7,17,4,18,35,163,0,0,0,0,5,11,23,73,24,89,0,0,0,3,4,8,4,8,25,96,9,17,120,377
LGA55040,89,176,0,0,8,34,0,18,66,256,74,310,0,6,0,3,13,23,12,34,85,338,0,11,0,0,4,15,15,62,23,86,0,0,0,0,10,24,10,26,31,112,6,7,210,633
LGA55110,11632,22705,148,778,858,3845,329,1450,4723,17873,6060,23948,410,1638,722,2311,1675,5064,2810,9014,8872,32962,73,321,305,1121,203,748,1868,5109,2451,7296,138,423,333,738,1386,2920,1851,4076,4306,11377,301,629,25111,67672
LGA55180,1177,2306,12,78,72,313,37,164,456,1796,580,2358,42,148,56,178,155,471,249,798,829,3152,5,28,27,103,19,54,111,309,166,494,10,35,27,49,107,224,144,304,305,804,33,68,2346,6324
LGA55250,70,144,0,0,4,29,4,28,36,141,44,193,0,10,0,0,6,14,8,19,52,213,0,0,8,25,10,34,22,64,33,126,3,10,0,3,6,15,9,31,42,159,13,26,182,543
LGA55320,11072,21940,142,771,1470,6577,206,936,6858,26389,8678,34669,823,3432,1580,5566,2430,7686,4843,16684,13519,51355,29,135,302,940,89,313,1150,2833,1574,4221,203,613,488,1115,1405,3009,2097,4748,3670,8963,426,888,28676,83144
LGA55390,17,39,0,0,0,8,0,0,3,23,6,26,0,0,0,5,3,12,5,16,11,48,0,0,0,0,0,0,3,5,3,5,0,0,0,0,0,3,0,3,4,7,0,7,37,101
LGA55460,349,683,8,36,32,135,6,35,182,716,231,918,9,21,16,41,43,143,66,204,293,1124,0,5,10,24,10,41,40,109,61,178,0,0,7,10,39,91,52,103,111,281,7,12,763,2101
LGA55530,49,92,0,4,0,9,0,0,28,121,35,138,0,0,5,7,10,26,10,32,47,168,0,0,0,0,0,0,4,8,4,8,0,0,0,0,3,8,3,8,7,22,0,3,104,282
LGA55600,261,512,0,15,21,73,5,30,125,468,150,587,10,25,12,36,33,102,54,161,205,745,0,6,3,18,4,18,46,132,52,177,0,3,7,9,24,47,34,65,89,241,12,20,564,1513
LGA55670,70,140,0,9,7,14,0,5,36,162,44,189,0,3,0,4,7,28,14,38,56,227,0,0,0,16,0,0,5,12,10,28,0,0,3,10,8,15,9,20,19,43,0,0,140,405
LGA55740,880,1714,12,65,125,535,3,22,560,2192,704,2822,63,273,194,701,140,421,398,1397,1104,4221,3,7,23,76,0,7,98,219,128,315,13,38,49,121,73,154,138,310,262,625,31,62,2284,6631
LGA55810,40,70,0,0,0,0,0,6,14,54,16,57,0,0,0,9,0,6,0,11,18,69,0,0,0,0,0,4,7,32,12,35,0,0,0,5,4,7,7,10,15,44,0,0,71,188
LGA55880,55,106,0,4,3,15,0,0,26,104,35,121,3,9,4,10,14,35,16,57,48,170,0,0,0,5,0,3,4,6,6,19,0,0,0,0,3,13,3,13,14,28,0,0,118,306
LGA55950,80,154,0,6,8,21,0,0,38,150,46,181,0,4,0,11,9,29,13,44,60,225,0,3,0,3,0,0,9,14,5,22,0,0,0,0,8,8,7,9,14,35,6,7,153,416
LGA56090,4594,9066,90,459,447,2020,131,565,2287,8791,2957,11836,281,1165,397,1321,1033,3184,1712,5676,4669,17513,25,100,94,300,54,192,461,1212,631,1805,57,177,136,301,597,1289,793,1767,1421,3568,101,209,10783,30353
LGA56160,10,24,0,0,0,0,0,4,3,31,5,29,0,0,0,0,0,0,0,0,5,29,0,0,0,3,0,0,6,15,5,15,0,0,0,3,0,0,0,6,9,21,0,4,27,79
LGA56230,2332,4543,41,245,177,827,87,385,927,3658,1239,5116,73,294,129,418,417,1235,620,1941,1860,7055,8,48,38,123,40,128,324,897,411,1191,25,77,53,122,280,597,365,795,775,1987,47,96,5016,13681
LGA56300,251,489,5,14,9,41,0,14,63,240,78,309,5,13,5,17,27,76,36,105,112,417,0,6,0,4,0,3,10,29,13,42,0,0,8,21,17,33,30,54,37,93,3,6,406,1001
LGA56370,98,197,0,0,9,21,0,0,58,210,62,232,0,5,3,8,12,32,15,42,73,276,0,0,0,0,3,10,6,20,6,30,0,4,0,0,9,7,9,13,17,40,0,0,191,512
LGA56460,523,1019,4,27,42,200,15,63,229,891,300,1183,11,57,16,50,78,244,111,346,404,1531,3,18,19,57,15,40,87,232,121,349,6,24,16,36,68,142,89,200,210,547,21,37,1155,3140
LGA56580,2151,4250,24,109,478,2187,19,78,1522,6111,2049,8486,183,747,532,1881,391,1236,1107,3866,3157,12353,5,37,55,179,13,41,157,408,236,656,43,133,133,314,176,372,351,818,587,1475,53,118,5950,18189
LGA56620,88,185,4,18,10,61,16,71,67,285,101,439,0,4,0,6,16,55,17,67,121,509,3,15,10,38,16,79,43,127,69,263,0,0,3,5,30,94,34,100,107,363,13,31,323,1089
LGA56730,1279,2494,29,170,80,388,42,191,534,2129,686,2874,38,146,65,198,220,674,318,1020,1004,3894,15,90,37,136,29,125,196,548,280,895,12,34,36,84,201,437,249,555,526,1449,38,83,2848,7919
LGA56790,489,958,5,21,16,69,10,42,138,546,171,675,5,23,10,21,55,158,64,201,237,875,0,6,6,20,5,16,25,85,37,121,0,0,6,19,34,60,42,85,78,200,10,18,816,2053
LGA56860,30,61,0,5,0,4,0,0,7,35,14,43,0,0,0,3,5,18,8,25,21,63,0,0,0,0,0,7,0,5,5,16,0,0,0,0,3,7,3,7,8,20,0,0,62,156
LGA56930,167,325,4,22,31,154,4,14,71,278,108,473,20,61,45,172,28,83,91,314,197,786,0,0,5,23,0,0,8,24,14,48,5,11,9,24,14,27,28,58,39,110,0,3,408,1225
LGA57000,45,99,0,0,4,6,0,10,26,97,24,114,0,9,0,6,5,11,6,22,38,139,0,0,0,0,0,0,4,9,4,9,0,3,6,3,8,10,9,17,12,27,0,4,99,260
LGA57080,3858,7516,0,10,51,217,4,30,988,3372,1045,3630,17,72,105,318,148,429,271,818,1313,4448,0,7,32,91,6,19,182,416,219,537,15,32,108,222,192,383,313,638,527,1176,170,357,5867,13501
LGA57140,150,297,0,10,7,28,0,27,44,188,57,243,3,12,0,6,23,64,27,81,83,328,0,0,3,16,0,3,15,55,22,73,0,0,0,4,19,40,21,43,40,114,5,10,286,745
LGA57210,751,1464,7,51,49,226,24,113,257,993,342,1381,14,69,41,114,103,301,159,492,500,1870,3,12,11,43,3,20,73,204,91,280,7,12,13,34,62,131,80,172,174,455,14,25,1436,3818
LGA57280,1196,2317,31,163,128,617,62,294,1278,5036,1505,6104,32,126,50,136,164,538,249,796,1747,6904,4,26,28,112,36,125,259,726,334,983,14,33,35,80,120,274,168,386,501,1370,69,143,3514,10737
LGA57350,119,238,0,5,6,15,0,6,38,166,47,194,4,4,4,6,4,14,11,30,59,225,0,0,0,0,0,15,9,24,11,37,0,0,3,6,11,17,13,26,24,62,4,5,208,530
LGA57420,259,507,3,8,18,62,3,15,133,513,155,611,9,18,10,15,13,39,26,76,181,688,0,0,0,14,4,15,29,67,35,95,0,0,4,3,29,48,23,53,61,146,3,12,505,1343
LGA57490,13164,25683,368,2013,1673,7601,659,2971,9242,35340,11941,47929,779,3161,1097,3598,2829,8740,4704,15498,16640,63426,105,501,515,1825,311,1090,2918,7990,3858,11407,249,783,495,1112,1949,4182,2695,6085,6551,17488,441,915,36800,107514
LGA57630,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30
LGA57700,2980,5856,103,604,389,1845,166,763,2744,10780,3403,13993,200,847,235,776,720,2253,1159,3879,4562,17870,22,86,73,283,66,225,574,1594,735,2184,39,130,74,164,330,717,445,1009,1179,3194,81,168,8804,27089
LGA57770,124,234,0,6,4,18,5,15,48,189,61,227,0,0,4,9,9,25,14,36,71,258,0,0,0,0,0,0,10,28,15,29,0,0,0,4,3,4,4,11,15,36,6,8,213,539
LGA57840,5030,9917,47,269,420,1886,33,148,2521,9389,3029,11695,216,888,580,2013,671,2108,1465,5011,4491,16699,7,57,78,246,24,80,461,1123,581,1503,55,167,203,434,497,1039,753,1645,1329,3149,365,752,11213,30517
LGA57910,23852,47147,287,1658,2364,10752,348,1523,15293,57213,18292,71141,1249,5195,2504,8748,3882,12304,7624,26246,25915,97387,97,433,572,1853,204,686,3271,8123,4141,11103,360,1111,1101,2444,3268,6998,4731,10549,8871,21646,1142,2399,59778,168584
LGA57980,2007,3936,10,40,181,790,10,34,1125,4243,1323,5110,61,257,232,797,181,560,471,1616,1791,6723,3,12,51,157,0,4,209,497,265,665,26,76,110,241,139,285,276,596,539,1266,73,151,4416,12076
