LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA50840,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,9,4,3,0,0,0,27,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,6,8,0,36,0,0,0,0,0,3,0,0,0,5,0,0,0,10,5,9,13,3,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,0,8,6,6,6,0,0,33,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,4,0,0,0,8,0,0,0,3,3,8,4,0,0,20,0,0,3,18,3,22,16,8,0,72,12,43,31,85,65,73,71,40,8,431,223,646,413,918,699,896,922,426,104,5238
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,11,11,11,17,20,6,14,12,8,5,102,57,103,68,166,137,134,133,90,41,929
LGA50980,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,0,0,0,9,0,18,41,93,36,24,7,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,5,14,8,0,3,58,0,0,0,6,3,4,4,0,0,23,0,6,6,44,19,14,8,0,0,102,0,6,0,10,9,0,0,0,0,24,0,0,0,16,0,0,0,0,0,23,0,3,4,29,14,5,0,0,0,70,0,0,0,4,5,0,0,0,0,6,0,0,3,25,9,9,4,0,6,55,0,4,0,15,0,0,0,0,0,25,0,0,0,3,0,6,0,0,0,14,0,0,3,17,8,8,3,0,0,33,3,9,17,199,37,24,16,5,0,311,135,342,246,744,352,272,130,45,17,2281,1233,2762,1869,5596,2353,1828,953,289,75,16959
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,10,25,14,24,16,25,15,5,0,132,63,168,95,235,129,179,104,52,13,1046
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,14,8,11,14,19,15,28,27,20,5,148,54,127,87,193,123,143,155,72,26,979
LGA51190,3,10,0,26,0,0,0,0,0,38,0,5,5,7,10,5,0,0,0,29,12,43,65,204,92,34,17,4,0,465,0,0,0,4,8,14,15,4,10,53,0,0,0,3,0,0,0,0,0,3,0,6,12,31,30,55,50,25,14,224,0,0,0,13,4,6,6,5,0,40,0,20,29,110,60,66,32,23,9,344,0,4,0,29,0,0,4,0,0,42,0,0,5,76,0,0,0,0,0,83,0,6,13,21,26,5,6,0,0,80,0,0,0,3,0,0,0,0,0,3,0,5,0,13,14,16,20,5,0,79,0,0,4,26,18,5,7,0,0,69,0,0,0,13,10,13,13,10,6,64,0,9,13,30,20,10,21,3,4,107,8,32,26,162,83,91,55,36,13,506,84,195,189,568,276,242,218,128,87,1992,1693,3752,3544,8268,4290,4440,3875,2158,968,32987
LGA51260,0,3,5,4,5,0,0,0,0,26,0,0,0,3,4,9,0,0,0,11,0,11,24,74,18,19,7,0,0,166,0,0,0,7,9,5,6,3,0,30,0,0,0,0,0,0,0,0,0,0,0,3,11,37,29,63,81,44,8,278,0,0,0,14,11,9,5,3,0,47,0,24,35,132,112,69,62,21,17,477,0,9,4,15,10,0,0,4,0,46,0,0,0,44,0,0,0,0,0,44,0,11,10,35,24,11,3,0,0,97,0,0,0,3,0,0,0,0,0,6,4,10,14,40,18,23,30,8,0,158,0,7,8,26,13,3,3,0,0,64,0,0,0,15,15,20,23,14,3,88,0,0,0,27,27,23,14,0,0,100,5,31,17,152,94,97,85,60,28,568,83,249,166,648,340,312,305,240,86,2422,2035,5587,3663,8977,5504,5355,5509,2960,1045,40640
LGA51310,0,5,0,15,0,3,3,0,0,19,0,0,0,3,3,3,0,0,0,15,0,3,13,48,18,3,0,7,0,89,0,0,0,21,6,11,10,9,8,67,0,0,0,0,3,3,0,0,0,5,0,15,19,50,70,61,23,24,19,285,0,43,21,66,62,28,25,13,6,268,0,21,74,167,132,93,44,25,7,563,0,8,6,27,11,10,6,13,4,78,0,0,0,22,5,4,0,0,0,38,0,10,10,24,13,6,6,0,0,64,0,0,0,6,0,3,3,0,0,8,14,54,36,72,49,38,20,11,8,303,0,0,0,24,27,19,4,4,0,78,0,0,0,13,11,10,14,12,6,59,0,0,0,22,18,32,17,0,0,101,11,90,57,345,147,149,94,49,29,969,26,56,53,235,111,92,103,66,55,801,1400,4260,3456,6580,4391,3602,2616,1608,969,28876
LGA51330,23,85,226,653,80,27,20,5,0,1119,0,4,14,13,19,12,5,0,0,56,4,123,320,610,292,178,48,11,0,1584,0,3,8,38,25,36,49,13,6,186,0,0,0,4,3,9,8,3,0,21,0,6,26,92,85,152,129,85,40,616,8,148,329,544,308,301,253,95,28,2010,7,52,153,302,161,176,121,43,21,1037,14,111,243,489,294,184,90,44,22,1470,3,12,11,311,32,14,18,4,0,406,4,28,60,153,76,45,34,8,0,399,5,16,9,94,75,50,18,13,6,276,7,54,51,75,39,37,26,11,0,311,11,40,93,262,118,84,50,24,3,685,3,0,10,25,23,28,32,16,3,141,0,15,60,98,75,60,28,12,5,337,35,474,553,1946,552,410,298,177,61,4511,155,301,489,1329,425,364,239,214,106,3623,5286,12114,13703,28918,11751,10116,8086,4299,1591,95860
LGA51400,0,7,0,22,0,5,4,0,0,33,0,0,0,0,0,6,0,0,0,8,0,31,50,125,64,17,13,0,0,305,0,0,0,5,6,0,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,4,12,23,32,19,19,0,114,0,0,3,8,3,0,3,0,0,26,4,54,115,181,168,99,43,16,3,676,0,0,0,0,5,5,0,0,0,11,0,0,0,11,0,0,0,0,0,16,0,0,0,11,6,9,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,4,5,17,12,11,6,0,0,51,0,0,0,12,0,3,0,0,0,17,0,3,4,0,12,7,4,0,0,26,0,8,15,58,42,45,18,3,0,190,3,25,20,89,60,48,33,18,3,291,35,88,104,210,142,130,107,35,18,873,1052,2973,2289,4270,2727,2332,1692,701,136,18175
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,15,0,11,10,28,14,5,11,7,0,87,27,48,41,150,64,82,86,33,11,552
LGA51540,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,0,16,10,10,0,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,16,0,0,0,4,0,0,0,0,0,8,0,0,0,10,7,4,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,20,0,0,0,0,0,20,0,0,3,4,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,0,18,0,5,6,39,45,21,6,0,0,118,0,0,0,3,0,3,0,0,0,10,0,0,0,4,0,7,0,0,0,15,0,7,0,42,23,34,23,6,0,141,62,114,124,260,132,97,75,41,7,915,352,623,558,1329,767,753,556,241,70,5251
LGA51610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,5,9,0,0,0,15,8,49,15,52,36,29,19,0,0,208,69,255,142,323,274,254,169,53,9,1556
LGA51680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,9,0,7,4,3,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,3,0,0,0,9,13,25,13,13,0,61,0,0,0,5,6,0,3,0,0,17,0,9,10,19,15,14,0,7,0,74,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,3,0,0,19,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,6,0,0,0,7,0,0,0,0,8,12,0,0,0,28,0,0,5,29,18,14,17,7,3,86,11,42,78,91,99,114,59,44,12,549,301,812,665,1199,942,988,642,309,77,5930
