LGA_CODE_2021,F_ID_NS_15_19,F_ID_NS_20_24,F_ID_NS_25_34,F_ID_NS_35_44,F_ID_NS_45_54,F_ID_NS_55_64,F_ID_NS_65_74,F_ID_NS_75_84,F_ID_NS_85ov,F_ID_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ag_For_Fshg_15_19,P_Ag_For_Fshg_20_24,P_Ag_For_Fshg_25_34,P_Ag_For_Fshg_35_44,P_Ag_For_Fshg_45_54,P_Ag_For_Fshg_55_64,P_Ag_For_Fshg_65_74,P_Ag_For_Fshg_75_84,P_Ag_For_Fshg_85ov,P_Ag_For_Fshg_Tot,P_Mining_15_19,P_Mining_20_24,P_Mining_25_34,P_Mining_35_44,P_Mining_45_54,P_Mining_55_64,P_Mining_65_74,P_Mining_75_84,P_Mining_85ov,P_Mining_Tot,P_Manufact_15_19,P_Manufact_20_24,P_Manufact_25_34,P_Manufact_35_44,P_Manufact_45_54,P_Manufact_55_64,P_Manufact_65_74,P_Manufact_75_84,P_Manufact_85ov,P_Manufact_Tot,P_El_Gas_Wt_Waste_15_19,P_El_Gas_Wt_Waste_20_24,P_El_Gas_Wt_Waste_25_34,P_El_Gas_Wt_Waste_35_44,P_El_Gas_Wt_Waste_45_54,P_El_Gas_Wt_Waste_55_64,P_El_Gas_Wt_Waste_65_74,P_El_Gas_Wt_Waste_75_84,P_El_Gas_Wt_Waste_85ov,P_El_Gas_Wt_Waste_Tot,P_Constru_15_19,P_Constru_20_24,P_Constru_25_34,P_Constru_35_44,P_Constru_45_54,P_Constru_55_64,P_Constru_65_74,P_Constru_75_84,P_Constru_85ov,P_Constru_Tot,P_WhlesaleTde_15_19,P_WhlesaleTde_20_24,P_WhlesaleTde_25_34,P_WhlesaleTde_35_44,P_WhlesaleTde_45_54,P_WhlesaleTde_55_64,P_WhlesaleTde_65_74,P_WhlesaleTde_75_84,P_WhlesaleTde_85ov,P_WhlesaleTde_Tot,P_RetTde_15_19,P_RetTde_20_24,P_RetTde_25_34,P_RetTde_35_44,P_RetTde_45_54,P_RetTde_55_64,P_RetTde_65_74,P_RetTde_75_84,P_RetTde_85ov,P_RetTde_Tot,P_Accom_food_15_19,P_Accom_food_20_24,P_Accom_food_25_34,P_Accom_food_35_44,P_Accom_food_45_54,P_Accom_food_55_64,P_Accom_food_65_74,P_Accom_food_75_84,P_Accom_food_85ov,P_Accom_food_Tot,P_Trans_post_wrehsg_15_19,P_Trans_post_wrehsg_20_24,P_Trans_post_wrehsg_25_34,P_Trans_post_wrehsg_35_44,P_Trans_post_wrehsg_45_54,P_Trans_post_wrehsg_55_64,P_Trans_post_wrehsg_65_74,P_Trans_post_wrehsg_75_84,P_Trans_post_wrehsg_85ov,P_Trans_post_wrehsg_Tot,P_Info_media_teleco_15_19,P_Info_media_teleco_20_24,P_Info_media_teleco_25_34,P_Info_media_teleco_35_44,P_Info_media_teleco_45_54,P_Info_media_teleco_55_64,P_Info_media_teleco_65_74,P_Info_media_teleco_75_84,P_Info_media_teleco_85ov,P_Info_media_teleco_Tot,P_Fin_Insur_15_19,P_Fin_Insur_20_24,P_Fin_Insur_25_34,P_Fin_Insur_35_44,P_Fin_Insur_45_54,P_Fin_Insur_55_64,P_Fin_Insur_65_74,P_Fin_Insur_75_84,P_Fin_Insur_85ov,P_Fin_Insur_Tot,P_RtnHir_REst_15_19,P_RtnHir_REst_20_24,P_RtnHir_REst_25_34,P_RtnHir_REst_35_44,P_RtnHir_REst_45_54,P_RtnHir_REst_55_64,P_RtnHir_REst_65_74,P_RtnHir_REst_75_84,P_RtnHir_REst_85ov,P_RtnHir_REst_Tot,P_Pro_scien_tec_15_19,P_Pro_scien_tec_20_24,P_Pro_scien_tec_25_34,P_Pro_scien_tec_35_44,P_Pro_scien_tec_45_54,P_Pro_scien_tec_55_64,P_Pro_scien_tec_65_74,P_Pro_scien_tec_75_84,P_Pro_scien_tec_85ov,P_Pro_scien_tec_Tot,P_Admin_supp_15_19,P_Admin_supp_20_24,P_Admin_supp_25_34,P_Admin_supp_35_44,P_Admin_supp_45_54,P_Admin_supp_55_64,P_Admin_supp_65_74,P_Admin_supp_75_84,P_Admin_supp_85ov,P_Admin_supp_Tot,P_Public_admin_sfty_15_19,P_Public_admin_sfty_20_24,P_Public_admin_sfty_25_34,P_Public_admin_sfty_35_44,P_Public_admin_sfty_45_54,P_Public_admin_sfty_55_64,P_Public_admin_sfty_65_74,P_Public_admin_sfty_75_84,P_Public_admin_sfty_85ov,P_Public_admin_sfty_Tot,P_Educ_trng_15_19,P_Educ_trng_20_24,P_Educ_trng_25_34,P_Educ_trng_35_44,P_Educ_trng_45_54,P_Educ_trng_55_64,P_Educ_trng_65_74,P_Educ_trng_75_84,P_Educ_trng_85ov,P_Educ_trng_Tot,P_HlthCare_SocAs_15_19,P_HlthCare_SocAs_20_24,P_HlthCare_SocAs_25_34,P_HlthCare_SocAs_35_44,P_HlthCare_SocAs_45_54,P_HlthCare_SocAs_55_64,P_HlthCare_SocAs_65_74,P_HlthCare_SocAs_75_84,P_HlthCare_SocAs_85ov,P_HlthCare_SocAs_Tot,P_Art_recn_15_19,P_Art_recn_20_24,P_Art_recn_25_34,P_Art_recn_35_44,P_Art_recn_45_54,P_Art_recn_55_64,P_Art_recn_65_74,P_Art_recn_75_84,P_Art_recn_85ov,P_Art_recn_Tot
LGA50840,3,0,3,7,0,3,6,0,0,31,59,50,134,208,267,279,89,15,0,1105,9,11,20,30,41,54,57,22,3,238,6,27,64,101,92,90,14,0,0,401,8,13,16,6,24,26,6,0,0,94,0,0,5,16,10,8,0,0,0,43,3,12,24,18,29,43,12,0,0,145,5,0,4,3,8,13,8,0,0,39,18,15,25,28,37,40,12,0,0,175,34,11,22,13,23,30,8,0,0,140,3,0,0,7,12,23,6,0,0,52,0,0,0,0,3,7,0,0,0,3,0,0,0,5,3,7,0,0,0,19,0,0,4,5,9,5,4,0,0,22,0,0,3,16,20,16,11,4,0,69,6,3,13,16,10,16,8,4,0,66,0,0,13,23,39,21,5,0,0,110,3,6,15,42,65,51,11,0,0,197,5,10,21,53,77,86,29,3,0,280,0,0,0,3,3,6,5,0,0,27
LGA50910,0,0,5,0,0,0,0,0,0,7,7,9,29,32,46,38,21,0,0,179,3,9,14,27,37,36,20,3,0,157,0,0,0,3,3,3,0,0,0,8,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,12,0,0,3,5,5,0,0,0,0,16,0,0,4,4,5,6,5,0,0,28,3,0,5,5,0,0,6,0,0,14,0,0,0,3,5,6,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,0,7,0,0,0,0,9,9,0,0,0,23,0,0,7,10,11,10,4,0,0,39,0,5,4,11,4,3,3,0,0,34,0,0,0,0,0,0,0,0,0,0
LGA50980,10,13,36,43,27,16,0,7,0,161,224,262,1066,1047,801,581,154,16,0,4149,7,41,74,43,27,27,10,4,0,240,0,13,68,69,58,28,4,0,0,232,7,13,28,24,26,18,0,0,0,118,0,0,18,33,31,9,3,0,0,99,18,35,115,155,141,84,40,0,0,578,0,6,12,17,15,22,5,0,0,81,120,51,108,102,108,110,33,4,0,639,89,60,270,121,85,67,29,5,0,733,13,32,135,121,90,70,31,3,0,502,4,5,13,19,21,9,0,0,0,72,0,4,16,17,14,7,5,0,0,61,0,8,23,29,29,11,5,6,0,110,3,10,50,54,56,37,8,0,0,222,15,20,53,72,70,40,17,0,0,284,7,25,139,200,167,113,28,0,0,665,17,40,223,291,222,145,37,0,0,973,32,82,386,374,288,228,63,3,0,1456,12,11,30,26,29,16,16,0,0,139
LGA51080,0,0,0,3,0,0,0,0,0,9,3,14,35,49,40,50,14,4,0,202,4,11,37,47,55,58,26,5,0,244,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,4,4,0,8,6,6,0,0,22,0,5,8,0,0,3,0,0,0,10,0,0,0,3,3,5,0,0,0,14,0,0,0,0,3,0,0,5,0,9,0,0,0,3,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,5,7,0,0,27,0,7,5,11,9,15,0,0,0,44,0,0,5,7,5,13,3,0,0,32,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,9,9,12,27,39,50,35,14,0,0,179,0,8,23,22,38,28,23,9,0,154,0,0,0,5,0,4,0,0,0,12,0,0,0,3,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,5,8,7,10,0,0,0,38,0,0,0,4,4,3,4,0,0,10,0,6,0,0,5,7,0,0,0,14,0,0,4,4,4,3,0,0,0,17,0,0,0,0,0,8,4,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,11,0,0,0,32,0,0,6,10,7,5,0,0,0,34,0,8,3,6,6,6,0,0,0,35,0,0,0,0,0,0,0,0,0,0
LGA51190,11,25,36,43,37,38,14,0,0,200,475,613,1364,1383,1618,1339,345,27,0,7166,6,25,48,26,22,31,20,4,0,193,7,71,193,202,241,152,29,0,0,908,48,118,254,295,279,190,44,4,0,1237,9,16,48,46,54,75,10,0,0,256,61,157,321,351,298,290,82,7,0,1560,6,22,39,54,72,42,23,3,0,263,215,173,304,252,268,237,65,8,0,1513,345,128,207,170,153,86,20,3,0,1122,9,35,85,89,126,165,64,9,0,584,19,13,34,19,18,9,5,0,0,119,3,11,41,38,55,41,8,0,0,204,4,11,39,44,47,38,17,4,4,203,4,22,103,128,104,107,52,4,0,522,6,33,71,91,109,85,31,0,0,431,9,41,137,127,198,163,40,6,0,718,22,48,182,226,359,309,91,6,0,1242,50,176,508,449,494,486,133,6,0,2304,13,21,31,11,31,26,9,0,0,148
LGA51260,25,27,34,69,73,48,21,12,0,302,696,519,1426,2144,2347,1747,477,53,5,9417,30,43,94,129,139,182,121,34,6,782,8,48,219,377,400,184,38,0,0,1272,64,68,183,268,232,201,74,6,0,1100,0,4,23,43,53,41,8,0,0,176,111,171,413,508,497,360,90,4,0,2151,8,8,36,55,78,55,21,0,0,261,345,167,276,324,378,374,108,14,0,1987,535,207,379,424,313,258,88,10,0,2217,15,14,45,75,136,137,71,3,0,502,13,3,15,21,29,14,8,0,0,97,0,6,31,63,83,60,22,0,0,271,5,25,44,66,80,61,39,6,0,325,8,16,111,186,238,161,72,13,0,814,23,47,137,185,210,154,46,7,0,810,14,15,86,156,207,150,45,0,0,685,36,36,184,392,462,329,72,11,0,1513,43,90,368,550,614,569,121,8,0,2354,38,9,49,53,52,35,12,0,0,241
LGA51310,12,17,43,46,59,37,17,5,0,233,452,607,1215,1593,1825,1218,339,50,4,7311,0,0,8,9,10,17,6,3,0,53,3,25,176,376,367,162,31,6,0,1149,40,29,62,80,78,70,33,9,0,396,0,4,22,45,35,21,4,0,0,133,27,62,148,201,213,162,57,5,0,867,12,19,31,85,76,69,6,3,0,295,228,187,121,124,149,100,49,6,0,968,281,151,151,81,77,37,11,4,0,793,16,24,44,62,80,47,29,5,0,301,6,23,37,38,42,32,0,0,0,179,3,34,110,140,197,118,25,6,6,636,0,18,43,60,85,67,29,10,4,319,13,148,392,582,621,406,114,28,3,2298,18,21,55,73,77,65,18,0,0,330,10,20,115,170,212,153,41,4,0,722,64,91,199,254,419,351,111,18,0,1506,48,183,478,586,734,521,169,12,5,2738,71,52,57,50,70,43,12,6,0,347
LGA51330,48,123,258,223,150,107,28,9,0,949,1272,2581,5093,5116,4314,3124,786,69,4,22361,4,16,61,56,46,26,20,4,0,228,12,115,560,723,534,302,49,4,0,2297,80,175,501,556,548,441,115,11,0,2418,10,34,99,163,109,89,16,0,0,519,77,298,791,797,626,436,136,10,0,3168,33,104,289,346,287,213,65,3,4,1342,581,933,1046,662,529,435,126,9,0,4324,913,928,991,579,314,277,67,4,0,4070,46,288,804,574,529,435,118,7,0,2808,21,62,102,102,78,38,11,0,0,420,5,47,230,321,216,155,54,13,0,1036,9,45,117,129,132,97,32,4,0,573,41,344,1022,1155,797,428,151,15,0,3945,36,214,500,402,295,196,60,9,0,1719,30,201,532,671,629,533,125,9,0,2736,134,328,741,941,1050,814,230,23,0,4264,101,680,1680,1711,1531,1009,269,18,0,6995,104,167,192,151,88,93,36,0,0,837
LGA51400,8,6,14,32,20,21,0,0,0,116,393,334,700,1017,1130,734,142,11,0,4454,30,20,45,47,69,70,59,9,0,345,12,41,111,187,204,144,25,0,0,714,40,59,111,141,185,104,17,0,0,666,4,15,24,41,52,32,5,0,0,165,40,99,196,207,227,151,33,0,0,955,8,9,28,32,31,25,3,5,0,146,167,84,139,160,154,97,20,0,0,823,250,68,44,62,52,31,10,0,0,515,6,18,38,66,97,98,26,4,0,354,7,4,11,12,8,3,0,0,0,43,0,7,20,23,30,18,3,0,0,102,3,10,13,24,12,24,3,0,0,83,9,19,52,64,85,43,27,0,0,301,5,13,39,57,66,47,11,0,0,248,3,26,57,129,145,86,9,0,0,466,24,18,90,194,277,182,45,0,0,833,39,96,240,354,366,300,53,0,0,1451,26,13,33,17,19,18,6,0,0,135
