LGA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
LGA50840,2132,2237,4367,816,409,1224,240,605,842,104,87,195,52,33,89,1215,1137,2351,735,941,1675,4.5,3.1,3.8,56.9,50.9,53.8,54.3,49.3,51.8,50,42,93,22,66,83,172,296,472,143,273,417,635,339,976,34,60,91,39,51,92,713,450,1166,1937,1975,3917,404,463,867,1318,1358,2680,920,980,1904
LGA50910,392,383,770,158,77,234,36,89,121,20,20,36,16,8,21,229,191,416,126,159,287,5.3,5.3,5.3,57.5,49.9,53.8,54.5,47.2,50.9,3,4,11,4,12,13,18,41,52,16,27,42,75,54,125,6,5,9,5,7,8,84,67,148,372,352,720,40,53,94,272,256,520,121,130,250
LGA50980,6206,6766,12969,2807,2461,5267,642,1375,2010,297,315,610,224,179,401,3963,4326,8291,1300,1492,2797,5.6,4.1,4.8,63.9,64,63.9,60.3,61.3,60.9,151,313,459,92,253,346,609,1204,1818,437,650,1087,1519,709,2233,81,157,242,90,113,206,1696,987,2683,5483,5655,11137,1399,1775,3176,3206,3225,6429,3174,3700,6876
LGA51080,419,403,816,215,85,297,38,106,144,18,17,29,9,10,22,277,214,496,103,134,232,4.7,5.1,4.9,66.3,53.8,60.2,63.2,51,57.3,0,8,8,0,8,5,23,65,84,18,31,52,85,43,123,3,8,13,15,4,14,98,58,157,424,406,832,49,45,93,320,304,625,122,121,244
LGA51120,413,388,798,198,90,285,26,81,109,8,6,20,9,8,16,241,190,431,103,136,238,4.1,4.3,4.2,58.1,48.7,53.6,55.7,46.6,51.3,0,0,3,3,16,11,19,37,59,14,35,51,88,44,130,5,8,8,5,5,15,97,59,152,368,348,714,55,51,105,285,260,544,112,115,229
LGA51190,13376,14159,27536,5454,3114,8560,1531,3566,5091,498,490,986,475,405,877,7951,7569,15524,4511,5748,10258,5.9,5.4,5.7,59.5,53.5,56.4,55.9,50.6,53.2,328,330,654,162,346,509,1094,1811,2907,861,1278,2139,3695,2304,5999,252,349,605,169,341,501,4110,2995,7107,11945,12945,24891,2495,2682,5175,7937,8532,16470,5734,6390,12122
LGA51260,15871,17146,33019,6417,3461,9882,2351,5247,7598,775,708,1483,305,291,599,9855,9703,19558,4927,6525,11445,3.1,3,3,62.1,56.6,59.2,60.1,54.9,57.4,368,419,785,192,522,718,1595,2711,4299,1332,1959,3289,4665,2449,7111,237,371,602,240,451,692,5143,3266,8409,15263,16283,31545,3011,3258,6267,9827,10277,20099,7573,8379,15950
LGA51310,11155,12062,23216,5520,3153,8677,1868,3754,5625,283,401,688,297,292,586,7977,7599,15571,2805,4068,6867,3.7,3.8,3.8,71.5,63,67.1,68.8,60.6,64.6,1795,1476,3271,386,692,1070,3687,4115,7801,915,1201,2114,1021,503,1524,58,99,155,110,225,334,1186,828,2014,11573,12150,23727,1933,2109,4045,7664,8055,15726,5238,5598,10838
LGA51330,39025,39434,78459,17491,9906,27394,6998,11222,18223,1198,1229,2428,1551,1445,2996,27232,23805,51039,9869,14082,23949,5.7,6.1,5.9,69.8,60.4,65.1,65.8,56.7,61.2,3745,3490,7233,711,1259,1970,8428,9536,17966,3749,4020,7772,6378,3312,9695,486,550,1036,432,723,1159,7297,4588,11887,38249,38918,77169,7219,6803,14022,23529,24610,48142,19585,18952,38536
LGA51400,6833,7313,14148,3493,1877,5364,779,2279,3056,335,308,644,166,197,361,4774,4653,9429,1635,2337,3970,3.5,4.2,3.9,69.9,63.6,66.6,67.4,60.9,64.1,168,190,358,76,217,286,645,1153,1793,529,715,1245,2154,1321,3475,103,215,319,94,197,288,2342,1737,4082,7131,7445,14578,1174,1331,2506,4823,4958,9775,3026,3389,6419
LGA51470,253,218,473,117,53,168,17,47,69,8,6,19,11,8,14,151,117,265,70,69,141,5.4,6.1,5.7,58.4,52.3,55.6,55.3,49.1,52.4,0,4,9,0,4,7,13,21,25,15,18,33,66,20,88,4,11,14,3,5,10,76,33,114,204,186,389,34,29,64,134,111,249,93,86,181
LGA51540,2216,2060,4280,840,661,1494,206,380,583,109,96,196,71,40,115,1219,1171,2396,585,558,1141,6,3.5,4.8,55.2,56.8,56,51.9,54.8,53.3,28,42,64,19,36,47,115,237,349,105,127,232,497,213,708,38,50,89,33,30,67,565,289,863,1805,1700,3505,373,367,735,1199,1072,2272,838,863,1707
LGA51610,634,595,1226,301,175,474,60,154,212,35,27,56,23,11,31,419,361,783,130,160,294,5.5,2.8,4.2,66.3,60.7,63.6,62.7,59.1,60.9,6,10,17,3,13,18,36,86,117,36,70,108,187,86,273,3,6,17,10,16,30,202,111,316,599,565,1162,87,70,156,425,395,822,223,208,433
LGA51680,2441,2376,4820,1170,613,1786,239,639,872,139,97,236,54,52,107,1602,1399,3000,621,807,1432,3.6,3.6,3.6,65.6,58.8,62.2,63.3,56.6,60,27,43,67,15,47,58,134,260,394,178,275,456,792,371,1162,31,57,88,34,66,97,846,494,1343,2342,2314,4652,366,367,736,1727,1686,3414,856,883,1739
LGA51710,856,546,1406,347,200,548,54,114,170,29,27,55,0,5,12,431,347,783,304,107,415,0.9,1.7,1.3,50.7,63.5,55.7,50.2,62.4,55,10,21,29,9,13,29,32,63,99,38,46,86,166,54,216,16,18,39,6,7,11,190,85,268,545,466,1009,109,105,208,397,350,746,211,189,397
LGA51750,4439,5074,9513,1834,1230,3064,767,1283,2055,105,160,265,126,124,255,2835,2799,5638,1377,2028,3399,4.5,4.5,4.5,63.9,55.2,59.2,61,52.7,56.6,707,608,1316,140,293,428,1501,1671,3173,328,514,841,305,161,461,20,27,46,22,101,122,344,281,625,4127,4494,8621,943,1087,2030,2392,2710,5102,2461,2711,5167
LGA51820,46388,48736,95118,24546,14123,38666,6094,14615,20705,1667,1875,3539,1618,1514,3131,33923,32122,66038,10046,14695,24739,4.8,4.7,4.7,73.1,65.9,69.4,69.6,62.8,66.1,2263,2437,4702,711,1562,2271,6624,9703,16320,4056,5289,9349,12103,6182,18281,645,895,1544,664,1071,1734,13407,8143,21557,46756,48369,95127,7841,8546,16388,30125,31052,61172,21102,22749,43853
LGA51860,229,236,467,90,62,157,35,43,78,5,0,3,3,4,5,132,113,248,56,80,140,1.5,3.5,2.4,57.8,47.9,52.8,57,46.2,51.5,0,8,9,0,6,8,6,19,27,5,13,16,50,18,70,3,7,15,0,0,3,55,27,80,225,199,425,26,28,57,181,162,346,59,56,111
LGA51890,3630,3611,7239,1337,615,1946,312,862,1170,165,138,301,157,134,293,1969,1740,3708,1338,1576,2914,8,7.6,7.8,54.2,48.2,51.2,49.9,44.5,47.2,14,23,42,14,46,56,90,229,323,133,248,383,1208,656,1865,56,97,154,58,79,136,1317,838,2162,3518,3429,6945,546,571,1112,2652,2511,5161,1177,1273,2446
LGA51960,1525,1262,2789,613,314,925,96,201,303,83,48,138,45,36,79,847,601,1447,308,390,699,5.7,5.7,5.7,55.5,47.4,51.8,52.3,44.7,48.9,16,9,24,4,16,24,44,64,104,34,64,104,375,151,529,17,33,55,10,20,35,406,204,607,1100,968,2072,300,255,561,742,602,1340,571,548,1118
LGA52030,502,419,922,185,79,260,35,91,131,22,17,40,15,10,26,257,198,455,173,164,340,6.6,5.6,6.2,51.4,46.9,49.3,48,44.3,46.3,0,3,4,0,12,9,16,48,58,25,30,53,135,44,179,4,14,17,12,13,25,153,69,217,439,360,800,52,55,106,335,274,604,133,128,256
LGA52100,428,409,833,234,114,349,43,103,143,18,15,31,9,3,12,305,238,537,108,145,247,3,2.1,2.6,70.7,58.1,64.6,68.6,56.9,62.9,4,5,8,0,7,10,18,58,72,20,47,64,103,44,147,15,13,29,4,12,16,116,75,189,393,397,793,68,64,132,314,284,602,126,148,271
LGA52170,3282,3437,6722,1458,826,2283,608,996,1605,104,128,232,87,61,149,2254,2015,4271,859,1267,2133,3.8,3.1,3.5,68.6,58.7,63.5,66,56.8,61.3,526,398,926,78,185,260,1173,1289,2464,225,314,539,209,101,303,14,27,38,29,73,103,254,194,452,3126,3196,6323,604,648,1248,1971,2062,4034,1580,1628,3212
LGA52240,464,421,882,230,97,327,35,114,148,25,17,48,8,7,17,304,239,543,111,134,247,3.3,2.5,3,65.7,56.2,61.2,63.6,54.7,59.3,0,0,7,0,11,7,26,39,69,23,38,64,89,66,156,16,10,24,7,7,12,108,79,191,453,404,859,44,60,107,327,281,611,141,157,299
LGA52310,399,358,756,161,89,251,42,98,138,15,12,28,9,3,16,229,203,431,133,120,255,3.5,2.5,3,57.8,56.6,57.2,55.8,55.2,55.5,4,6,12,0,10,13,20,41,56,32,30,59,97,42,143,4,13,14,3,13,12,100,69,164,396,347,746,29,35,66,302,257,561,106,112,216
LGA52380,143,70,209,64,19,89,9,7,16,7,0,9,3,4,3,93,29,117,33,28,62,3.4,6.9,4.2,62.7,42.6,56.2,60.6,39.7,53.8,0,0,6,0,0,0,3,3,15,4,6,11,39,9,50,3,5,3,0,4,4,44,15,55,101,52,152,26,12,34,69,26,90,61,35,88
LGA52450,547,489,1039,270,88,357,47,131,177,27,23,47,16,11,33,359,256,612,153,197,347,5,4.7,4.9,65.1,52,59,61.8,49.6,56.1,3,7,15,3,8,9,21,47,69,21,28,49,135,65,204,9,13,22,13,4,20,153,82,240,526,487,1016,87,72,164,363,323,689,217,201,418
LGA52520,580,500,1081,337,132,470,45,133,171,12,13,30,10,3,13,398,281,681,78,136,218,2,1.1,1.6,68.9,56.6,63.2,67.5,56,62.2,4,6,13,0,7,5,38,78,109,23,33,60,99,45,147,4,12,22,4,9,7,111,62,179,532,486,1015,67,68,131,370,316,686,191,193,381
LGA52590,1516,1373,2885,596,324,916,175,340,516,75,64,141,43,28,68,888,749,1639,440,499,935,5.1,3.2,4.2,58.6,54.9,56.8,55.6,53.1,54.4,17,12,31,13,21,38,69,165,239,93,138,234,418,154,574,13,27,34,27,37,60,452,214,668,1308,1162,2467,255,261,509,866,756,1614,619,591,1210
LGA52660,5732,5961,11691,2816,1304,4116,613,1779,2396,282,229,512,168,153,321,3885,3466,7348,1437,2164,3602,4.4,4.4,4.4,67.7,58.1,62.9,64.8,55.6,60.1,61,79,140,48,112,159,366,698,1058,377,560,939,1883,1112,2996,100,186,285,73,142,217,2051,1444,3496,5812,5972,11789,901,961,1860,4059,4064,8121,2247,2486,4735
LGA52730,2529,2695,5225,752,437,1195,444,731,1182,110,113,216,58,39,103,1370,1323,2693,920,1133,2050,4.3,3.2,3.8,54.1,49.1,51.5,51.8,47.6,49.6,117,128,243,51,110,165,328,488,818,205,357,556,635,296,929,29,52,83,36,61,100,704,407,1107,2313,2451,4760,438,460,894,1544,1573,3118,1090,1203,2302
LGA52800,2743,2723,5466,724,670,1389,189,245,431,82,88,175,73,58,129,1062,1061,2123,1237,1201,2430,6.6,5.4,6,38.7,39.1,38.9,36.2,37,36.6,34,65,94,25,43,69,102,257,352,84,122,200,434,209,642,32,79,108,28,53,79,498,337,834,2353,2369,4720,462,481,943,1634,1572,3200,933,1054,1980
LGA52870,2521,2609,5132,1058,509,1571,280,676,954,129,117,247,74,48,121,1539,1354,2891,786,1115,1904,4.7,3.5,4.1,61.1,51.8,56.4,58.3,50,54,56,60,110,29,73,100,175,365,538,190,275,468,731,382,1112,33,68,105,36,59,96,799,513,1311,2425,2489,4920,362,416,776,1755,1767,3524,909,1001,1916
LGA52940,296,265,557,137,60,198,32,77,106,8,6,18,11,5,17,189,147,334,71,104,178,4.8,3.4,4.2,64.4,54.5,59.6,61.3,52.6,57.1,0,3,3,3,3,7,8,36,41,17,27,47,62,24,89,4,4,13,6,4,14,70,36,107,297,279,577,32,34,62,230,221,449,80,77,160
LGA53010,293,252,540,143,57,202,26,69,90,6,13,20,10,4,12,185,144,328,51,68,120,4.9,2.8,4,62.9,56.8,60.1,59.8,55.2,57.7,0,0,4,0,4,4,22,37,62,13,16,29,51,26,79,4,9,5,0,4,6,57,40,91,271,240,509,18,25,46,208,190,397,62,60,119
LGA53080,319,278,600,92,80,171,29,32,66,9,16,27,13,8,17,148,134,280,107,90,198,8.2,4.5,6.5,45.5,48,46.7,41.7,45.8,43.6,0,3,3,4,5,8,17,14,29,12,12,21,50,28,75,3,4,4,4,4,4,53,31,83,231,188,415,50,57,105,160,134,295,111,100,211
LGA53150,3046,3394,6439,1396,880,2282,485,1059,1548,78,113,190,98,73,173,2057,2131,4188,845,1123,1968,4.8,3.6,4.2,67.5,62.9,65.1,64.3,60.6,62.4,321,318,639,114,217,332,817,1007,1814,274,323,598,401,203,607,36,34,69,45,78,123,479,319,795,3026,3293,6308,488,603,1092,2045,2223,4263,1280,1509,2786
LGA53220,5440,2746,8186,2708,1070,3774,254,368,622,300,159,460,99,91,187,3365,1682,5042,396,557,953,2.9,5.2,3.7,61.8,61.2,61.6,60,58,59.3,84,58,143,25,33,61,291,287,583,244,219,462,1450,361,1807,93,71,160,41,44,87,1582,477,2061,3374,2082,5459,1093,796,1891,1784,979,2763,2393,1674,4067
LGA53290,5611,5553,11164,2659,1312,3965,540,1454,1993,283,259,542,106,76,182,3585,3103,6685,1386,1925,3313,2.9,2.5,2.7,63.9,55.9,59.9,62,54.5,58.3,61,78,135,38,126,160,333,674,1003,297,475,774,1503,764,2268,80,148,232,52,106,159,1639,1022,2658,5150,5171,10321,954,950,1906,3566,3487,7053,2205,2305,4513
LGA53360,1310,1217,2523,655,418,1071,151,348,507,87,72,153,29,16,43,928,849,1782,241,259,501,3.3,1.8,2.6,70.8,70,70.4,68.4,68.7,68.6,24,45,71,4,27,39,116,225,341,94,110,205,452,175,627,17,36,56,23,21,42,490,238,724,1057,973,2031,340,353,697,671,583,1251,665,671,1336
LGA53430,13174,14176,27353,5632,3702,9338,2110,4115,6226,461,548,1011,470,360,830,8681,8721,17401,3532,4649,8179,5.4,4.1,4.8,65.9,61.5,63.6,62.3,59,60.6,1359,1487,2845,372,758,1130,2844,3897,6736,1221,1363,2582,2152,1022,3177,133,165,291,181,260,440,2467,1448,3914,11888,12683,24576,2364,2665,5026,7347,7833,15176,6172,6863,13038
LGA53570,2519,2264,4781,902,516,1417,280,526,809,168,96,259,53,32,88,1405,1166,2571,872,929,1800,3.8,2.8,3.4,55.9,51.6,53.8,53.7,50.1,52,24,42,64,3,43,50,126,244,368,155,209,360,739,250,989,24,43,68,32,54,89,801,349,1148,2167,1992,4159,439,436,874,1607,1451,3059,882,881,1761
LGA53640,515,439,952,292,112,399,49,123,173,10,18,29,12,9,27,369,261,631,100,141,243,3.5,4.2,3.8,72.2,59.5,66.4,69.6,57,63.8,3,9,13,4,12,15,37,60,101,24,31,55,108,52,163,4,3,10,5,9,10,121,66,187,505,445,955,70,52,127,351,295,646,185,165,354
LGA53710,407,386,792,192,74,268,34,108,145,18,13,30,6,9,14,246,206,453,110,132,236,2.8,4.3,3.5,60.6,54.1,57.4,58.9,51.8,55.4,5,8,9,3,3,7,24,32,54,10,29,41,78,62,141,8,13,11,3,4,7,84,80,163,388,375,765,33,35,64,305,307,607,88,90,179
LGA53780,50056,50054,100107,23194,12170,35364,7050,12717,19770,1687,1573,3259,2182,2067,4249,34109,28530,62643,13124,19108,32233,6.4,7.2,6.8,68.1,57,62.6,63.8,52.9,58.3,2362,2413,4775,513,976,1488,6007,8175,14184,4215,4722,8938,11071,6116,17187,707,986,1691,614,1058,1669,12388,8156,20546,51400,51969,103374,7120,7168,14282,34658,34768,69430,20222,20836,41063
LGA53800,15514,16116,31634,6659,3976,10636,1835,4267,6104,641,582,1216,555,428,977,9693,9245,18941,4237,5481,9719,5.7,4.6,5.2,62.5,57.4,59.9,58.9,54.7,56.8,260,302,563,131,393,522,893,1900,2797,952,1511,2463,4438,2399,6834,304,499,801,193,319,514,4933,3218,8152,14616,15172,29787,2554,2805,5362,9850,10066,19912,6334,6947,13284
LGA53920,1310,1372,2685,269,239,509,80,113,189,48,46,87,149,97,248,548,487,1035,563,712,1275,28,19.8,24.1,41.8,35.5,38.6,30.1,28.5,29.3,19,16,35,7,22,27,41,91,132,25,33,56,181,108,292,34,29,61,15,16,37,230,157,390,1333,1362,2698,200,230,428,951,1003,1955,427,446,870
LGA53990,11113,11485,22603,5445,2669,8115,1179,3237,4423,484,467,953,305,306,609,7422,6678,14097,2999,4296,7299,4.1,4.6,4.3,66.7,58.1,62.4,64,55.5,59.7,157,189,351,103,258,368,748,1404,2154,712,1109,1821,3682,2129,5807,201,333,531,151,278,433,4033,2740,6770,11480,11554,23033,1778,1934,3712,7745,7778,15523,4714,5042,9754
LGA54060,1559,1564,3126,517,294,809,157,368,521,79,58,130,29,32,58,780,737,1520,583,667,1255,3.9,3.9,3.9,49.9,47.3,48.6,48,45.5,46.7,10,18,24,3,28,30,61,131,190,79,148,226,441,192,630,23,39,69,17,19,35,480,256,737,1378,1428,2810,199,224,416,1028,1016,2041,501,581,1081
LGA54130,485,422,911,256,120,377,54,122,176,15,20,38,8,4,9,332,265,599,111,119,229,1.8,2.6,2.2,68.5,62.7,65.8,67.2,61,64.3,5,3,13,5,4,13,30,74,101,20,40,58,118,55,171,10,10,20,3,11,17,131,78,207,445,385,829,105,96,200,290,234,525,208,215,421
LGA54170,63822,66334,130156,31690,16961,48652,9234,21303,30530,2069,2481,4548,2151,1714,3863,45147,42461,87602,16152,22012,38161,4.8,4,4.4,70.7,64,67.3,67.4,61.4,64.3,3494,3113,6602,1316,2600,3920,10527,14076,24595,6637,7959,14598,16646,7468,24116,676,989,1660,891,1850,2740,18212,10305,28520,66759,68700,135463,8799,9205,18003,47946,49212,97163,23918,25121,49042
LGA54200,23227,24174,47399,11316,6213,17530,3040,6657,9703,842,904,1744,743,652,1396,15948,14420,30369,6083,8751,14837,4.7,4.5,4.6,68.7,59.7,64.1,65.5,57,61.1,842,860,1700,340,676,1017,2657,3939,6602,2031,2705,4737,6582,3260,9836,326,494,821,324,596,920,7234,4347,11579,24331,24901,49232,3042,3312,6354,17717,18168,35884,8201,8715,16919
LGA54280,12083,10734,22815,6970,4037,11007,943,2392,3336,522,432,953,303,229,535,8746,7091,15837,1981,2606,4584,3.5,3.2,3.4,72.4,66.1,69.4,69.8,63.9,67,317,306,631,90,222,310,863,1340,2203,559,848,1406,3714,1509,5219,190,282,471,138,208,345,4042,2001,6040,10648,9891,20543,2724,2470,5196,6510,5852,12362,5910,5624,11530
LGA54310,9092,7466,16560,5133,2782,7913,661,1673,2339,494,391,881,163,170,328,6447,5009,11459,972,1348,2321,2.5,3.3,2.9,70.9,67.1,69.2,69.1,64.9,67.2,183,234,417,89,211,303,616,1165,1779,557,692,1247,2966,1106,4069,142,219,356,84,127,212,3191,1447,4640,7311,6341,13649,2295,2206,4501,3426,2753,6180,5377,5102,10475
LGA54340,1677,1596,3271,739,380,1118,200,371,570,71,59,133,54,41,100,1059,853,1915,441,588,1025,5.2,5,5.1,63.3,53.5,58.5,60,50.8,55.5,10,18,31,11,25,33,71,144,214,60,95,159,349,180,530,34,43,79,27,33,58,416,256,668,1555,1492,3042,253,264,520,1108,1031,2135,597,617,1213
