LGA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
LGA50840,28,40,71,133,117,249,76,53,135,10,4,15,213,177,394,134,135,260,12,40,49,5,7,11,148,179,324,3,5,11,0,9,9,17,15,34,7,29,36,0,0,0,28,56,86,0,10,8,3,10,8,0,3,3,8,18,27,0,0,0,12,40,50,36,98,136,3,11,11,7,11,15,0,0,0,9,19,28,210,183,395,655,691,1353
LGA50910,5,4,13,28,31,63,0,3,3,0,0,0,29,39,69,13,12,26,0,0,0,4,0,3,13,12,30,0,0,0,0,0,0,3,0,3,6,9,12,0,0,0,4,11,10,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,4,8,6,16,20,0,0,0,0,0,0,0,0,0,0,0,0,49,40,88,109,117,224
LGA50980,141,128,271,624,586,1213,214,174,387,13,16,37,853,785,1636,354,381,743,137,151,291,11,23,34,514,556,1063,12,23,30,13,16,26,35,35,65,63,144,201,0,0,0,127,211,334,24,35,63,20,57,77,0,23,24,47,146,194,0,0,0,83,263,355,211,479,689,15,14,27,20,49,67,0,0,0,32,58,97,1245,1192,2432,2996,3194,6191
LGA51080,7,9,13,40,63,101,7,0,7,0,0,3,49,63,111,18,17,35,0,0,0,3,9,13,16,32,50,3,0,5,0,0,0,0,0,4,0,15,14,0,0,0,4,18,22,0,3,4,0,0,0,0,0,3,0,0,0,0,0,0,4,6,5,8,21,26,0,0,0,0,4,4,0,0,0,0,6,7,60,81,137,143,199,347
LGA51120,11,7,18,29,34,66,5,0,3,6,0,6,38,42,76,27,25,51,0,0,0,0,0,4,23,23,47,3,0,3,0,0,0,4,3,4,0,4,11,0,0,0,8,10,19,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,5,11,12,14,22,0,0,0,0,0,0,0,0,0,0,0,3,75,69,148,163,156,318
LGA51190,263,233,496,876,761,1635,186,205,395,130,110,242,1199,1077,2272,634,652,1287,224,217,441,112,139,253,968,1006,1977,63,61,121,50,88,134,116,74,188,87,172,264,0,0,0,310,399,711,36,109,140,46,108,149,17,37,52,60,183,244,0,0,0,152,430,583,464,825,1291,24,37,61,69,109,176,4,0,4,95,143,240,1589,1013,2607,4582,4299,8882
LGA51260,320,328,648,1080,959,2032,409,402,812,315,315,627,1816,1672,3484,787,690,1477,368,414,785,326,329,654,1484,1431,2916,65,36,97,31,86,109,148,84,224,119,233,355,5,0,8,360,436,796,42,107,151,33,110,143,13,30,47,68,255,322,0,0,0,155,507,658,518,941,1458,39,41,79,63,136,198,0,3,8,104,178,286,1275,1103,2380,5518,5660,11172
LGA51310,280,237,514,979,959,1942,214,202,418,227,189,411,1416,1356,2774,550,490,1043,324,309,630,517,421,940,1391,1226,2615,37,35,66,31,47,81,34,19,54,66,99,161,0,0,0,163,200,360,537,572,1115,114,159,270,66,98,167,171,260,429,0,0,0,892,1087,1979,1055,1290,2343,24,30,54,62,85,145,0,3,3,83,117,200,413,454,865,4637,4678,9316
LGA51330,769,768,1530,3233,2972,6207,472,467,939,420,407,825,4130,3849,7983,2759,2574,5328,404,377,788,408,440,852,3577,3393,6974,418,274,690,374,470,838,246,126,372,380,589,973,4,8,9,1418,1461,2881,1975,2132,4105,908,907,1821,233,257,486,389,570,961,5,10,16,3507,3878,7385,4942,5346,10287,281,273,556,227,335,565,9,7,10,518,616,1134,2127,1766,3892,16056,15740,31796
LGA51400,155,166,319,573,553,1122,133,132,268,240,209,449,943,896,1841,481,452,929,134,162,293,256,230,487,867,848,1709,31,37,73,15,41,57,88,44,138,50,138,188,0,0,0,190,258,453,35,76,112,24,49,68,5,18,26,53,127,182,0,0,0,122,273,393,310,537,845,20,21,41,32,64,96,3,0,6,53,86,143,529,419,946,2850,2953,5799
LGA51470,3,3,8,8,13,25,0,0,0,0,0,0,8,13,25,3,3,13,0,0,3,0,0,0,4,6,9,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,3,10,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,4,4,4,10,11,0,0,0,0,0,0,0,0,0,0,0,0,45,46,86,72,75,145
LGA51540,42,54,95,69,74,146,87,67,155,28,29,55,183,173,355,63,45,108,46,44,93,11,3,11,120,90,212,0,0,0,0,6,4,10,6,18,13,27,37,0,0,0,30,39,63,4,0,4,3,8,4,5,0,3,4,20,28,0,0,0,14,27,48,43,74,114,4,0,5,6,5,16,0,0,0,10,9,23,511,424,933,912,812,1729
LGA51610,10,9,21,38,25,64,24,20,48,14,14,29,72,61,134,26,15,42,25,33,53,5,15,22,54,59,113,4,0,4,0,0,3,6,10,13,6,7,10,0,0,0,16,14,30,0,0,4,0,3,0,0,0,0,3,14,15,0,0,0,10,16,25,18,33,53,4,0,4,0,0,0,0,0,0,4,0,4,114,105,218,275,259,538
LGA51680,27,34,63,139,138,278,73,83,153,40,36,79,250,260,509,120,95,213,89,78,167,33,56,82,241,226,462,9,4,15,0,5,8,31,12,43,7,23,33,0,0,0,51,50,98,18,29,50,4,8,11,0,15,14,10,30,37,0,0,0,24,88,111,76,136,213,9,11,14,7,18,29,0,0,3,17,29,45,270,214,486,879,896,1777
LGA51710,14,11,26,66,55,127,0,0,0,0,0,0,66,55,127,35,51,85,0,0,0,0,0,0,38,51,86,0,0,0,5,0,7,5,3,6,11,5,14,0,0,0,16,11,25,0,3,5,0,3,3,0,0,4,0,3,8,0,0,3,3,14,18,24,22,44,3,0,3,3,3,9,0,0,0,7,3,12,350,104,458,489,248,741
LGA51750,84,76,158,244,236,477,39,50,92,115,103,218,399,387,784,107,86,189,52,98,151,411,279,691,572,457,1031,17,9,24,7,14,24,17,5,22,16,53,71,0,0,0,57,90,152,255,276,530,70,76,147,35,30,61,77,92,173,0,0,0,434,477,909,494,571,1061,9,8,15,22,39,60,0,0,0,29,47,78,264,278,542,1842,1812,3658
LGA51820,1200,1062,2258,3716,3613,7332,975,1026,2002,399,420,817,5100,5067,10170,2011,1844,3859,1299,1300,2598,598,557,1153,3916,3701,7611,224,226,445,186,303,493,403,215,623,414,690,1104,5,0,5,1229,1439,2666,1003,1506,2515,389,661,1053,213,304,517,521,951,1477,6,4,6,2134,3426,5561,3373,4868,8240,125,110,235,306,464,771,10,5,6,432,585,1017,2780,2249,5028,16804,17524,34330
LGA51860,4,5,8,36,23,60,0,0,0,0,0,0,36,23,60,17,8,22,0,0,0,0,0,0,17,8,22,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,5,7,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,5,4,10,10,0,0,0,0,0,0,0,0,0,0,0,0,51,47,97,107,88,199
LGA51890,58,74,135,261,219,479,78,67,146,6,7,16,346,297,642,238,193,427,35,34,76,11,18,35,280,252,533,19,20,40,3,14,18,27,19,47,22,43,71,0,0,4,72,102,177,3,21,21,6,17,22,3,0,8,5,17,24,0,0,0,19,51,75,98,162,250,14,11,26,13,27,35,0,0,0,23,38,62,390,353,750,1200,1175,2377
LGA51960,18,26,42,107,94,201,3,14,15,14,15,27,123,118,244,55,60,113,19,23,34,10,6,19,79,88,163,5,8,14,3,3,9,6,5,8,13,23,36,0,0,0,28,36,65,0,5,5,4,3,5,0,3,3,4,5,13,0,0,0,10,18,27,39,53,87,0,6,6,0,9,12,0,0,0,3,13,17,436,339,774,695,634,1335
LGA52030,3,5,12,31,16,44,0,0,0,0,0,0,26,16,43,14,14,29,0,0,0,0,3,3,14,15,32,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,5,10,14,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,10,10,5,18,17,0,0,5,0,0,0,0,0,0,0,6,3,76,56,132,126,119,245
LGA52100,13,11,21,27,49,75,0,0,0,0,0,0,27,49,75,14,10,25,0,0,0,0,0,0,16,15,30,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,3,10,11,0,4,6,0,0,0,0,0,0,0,4,5,0,0,0,0,7,16,8,19,26,0,0,0,0,0,0,0,0,0,0,0,4,30,38,67,99,128,220
LGA52170,67,71,138,169,176,346,20,20,38,88,65,155,280,260,539,63,70,130,37,42,79,227,199,423,331,305,637,10,4,10,9,7,19,8,5,13,10,16,29,0,0,0,32,31,71,172,178,349,41,49,92,24,23,51,41,70,113,0,0,0,278,319,598,316,350,669,0,4,5,15,27,38,0,3,5,17,33,45,197,176,371,1201,1198,2400
LGA52240,6,6,7,39,50,89,3,0,8,3,0,7,46,53,95,15,17,36,4,0,8,9,6,19,23,35,55,0,0,0,0,0,0,3,0,3,0,8,8,0,0,0,4,9,12,0,0,0,0,0,0,3,0,3,0,3,6,0,0,0,3,3,10,8,18,25,3,0,3,0,4,4,0,0,0,3,4,3,62,55,112,142,159,309
LGA52310,3,3,7,18,30,51,6,3,8,0,0,0,28,33,64,15,17,32,0,0,0,7,0,5,27,19,41,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,7,0,3,4,0,7,7,0,0,0,0,3,3,0,0,0,0,9,9,5,11,18,0,0,0,0,0,3,0,0,0,0,3,4,42,39,86,101,113,216
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,11,31,19,17,35
LGA52450,11,13,21,41,43,84,4,4,12,3,3,8,49,53,104,75,52,127,0,6,8,4,9,14,79,65,146,0,6,5,0,4,10,7,4,6,9,7,15,0,0,0,13,21,31,0,4,4,0,0,3,0,4,4,0,0,3,0,0,0,5,15,15,15,31,49,3,0,4,3,0,4,0,0,0,7,3,10,54,55,110,212,224,437
LGA52520,9,13,23,58,44,105,0,0,0,0,3,6,63,50,111,22,21,46,0,0,0,7,8,15,30,33,59,3,0,6,0,0,0,3,0,3,0,5,9,0,0,0,12,7,15,3,0,11,0,4,4,0,0,0,0,6,6,0,0,0,6,12,18,17,16,32,0,0,0,0,0,4,0,0,0,0,0,4,118,104,223,226,221,454
LGA52590,24,18,42,123,85,207,5,0,4,0,0,3,135,85,216,54,43,101,5,3,9,0,8,5,65,52,117,3,7,8,4,5,4,0,0,4,6,11,19,0,0,0,12,21,33,0,3,3,4,3,12,0,0,0,3,9,11,0,0,0,6,11,26,22,34,56,0,3,5,0,8,12,0,0,0,6,10,13,211,142,347,453,336,790
LGA52660,160,132,288,474,409,880,131,111,244,91,81,173,695,604,1302,332,331,660,88,116,203,68,77,146,489,520,1009,27,25,54,16,39,52,68,30,96,46,86,129,4,3,4,160,178,342,18,37,53,9,36,41,8,19,24,31,74,109,0,0,0,65,163,227,228,345,571,12,18,33,23,50,71,0,0,0,40,63,110,480,386,872,2086,2054,4146
LGA52730,53,45,97,175,150,325,0,5,3,57,60,123,237,213,447,202,208,410,4,8,10,18,17,37,220,232,451,15,8,20,10,9,17,24,6,27,12,50,68,0,0,0,60,69,131,3,3,9,4,14,21,0,3,6,13,41,48,0,0,0,22,64,91,76,138,219,11,4,11,11,21,28,0,0,0,17,24,42,303,309,610,914,958,1866
LGA52800,72,53,124,273,217,495,35,24,63,39,44,81,352,292,640,113,134,247,6,10,17,22,40,64,145,182,329,4,5,6,0,0,0,5,9,10,13,22,34,0,0,0,20,34,51,0,4,7,3,8,13,0,3,7,9,25,31,0,0,0,13,47,59,33,75,109,6,3,6,3,3,11,0,0,0,10,8,16,717,630,1351,1330,1243,2572
LGA52870,40,46,84,152,137,284,65,57,124,22,32,53,240,224,463,106,81,189,41,44,86,30,41,65,176,169,342,12,3,14,4,14,17,19,14,35,9,34,39,0,0,3,43,68,105,3,11,14,0,12,16,0,3,3,7,22,33,0,0,0,20,51,63,62,113,176,7,7,14,4,11,18,0,0,0,8,21,33,225,173,402,743,751,1493
LGA52940,12,8,16,30,34,62,3,0,3,0,0,0,36,39,69,16,10,24,0,0,0,3,6,6,18,14,33,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,6,0,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0,13,8,4,15,16,0,0,0,0,0,0,0,0,0,0,0,0,36,20,57,104,96,196
LGA53010,3,9,10,33,30,61,0,0,0,0,0,0,33,29,59,9,11,14,0,0,0,0,4,4,7,13,23,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,69,56,123,115,118,230
LGA53080,0,0,0,9,5,14,0,0,0,3,0,4,11,8,18,10,10,18,0,0,0,0,0,0,10,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,4,4,6,4,4,9,0,0,0,0,0,0,0,0,0,0,3,3,79,62,143,105,90,190
LGA53150,64,62,121,240,259,493,33,49,82,32,20,47,297,327,624,125,130,261,110,136,247,77,69,149,313,341,654,12,10,22,13,10,30,12,13,27,6,31,39,0,0,0,47,67,116,115,124,235,35,47,83,25,30,56,31,79,111,0,0,0,205,274,483,252,349,599,4,13,15,13,24,32,0,0,0,15,32,49,170,160,329,1115,1265,2378
LGA53220,69,60,127,298,259,560,3,3,5,32,28,61,339,290,625,143,134,279,0,4,4,29,23,51,170,169,334,13,4,17,7,18,26,18,13,31,32,49,84,0,0,0,79,88,165,0,10,9,8,13,18,0,5,9,33,42,76,0,0,0,46,67,118,129,147,279,3,10,14,11,34,37,0,0,0,11,39,53,1748,593,2339,2468,1292,3765
LGA53290,106,113,221,466,486,958,49,39,95,38,37,74,555,563,1120,364,336,701,9,12,29,93,96,188,474,449,918,24,16,37,5,4,10,46,40,78,25,102,122,0,3,3,97,158,258,7,30,41,8,21,29,6,8,19,16,41,63,0,0,0,43,105,149,144,263,408,7,4,14,21,32,46,0,0,0,27,33,60,798,675,1476,2100,2105,4205
LGA53360,23,22,35,125,108,230,0,3,6,5,0,7,128,115,242,55,56,111,0,0,3,0,3,7,64,62,122,3,0,4,4,4,3,9,4,16,7,24,33,0,0,0,27,27,55,0,5,6,3,5,8,0,9,9,4,30,33,0,0,0,10,49,56,33,79,112,9,6,6,4,9,12,0,0,0,12,8,20,185,132,317,434,415,854
LGA53430,251,233,480,674,658,1333,122,144,264,102,103,203,902,905,1805,415,428,842,243,247,492,138,147,290,802,824,1619,33,35,70,34,70,105,57,40,87,108,145,250,0,0,0,232,281,517,311,498,807,166,291,449,72,76,141,206,357,558,3,0,8,756,1210,1969,993,1493,2485,27,29,54,86,133,216,3,0,3,113,160,274,1101,940,2037,4155,4552,8711
LGA53570,26,29,58,136,119,260,18,15,29,28,25,51,178,163,341,64,74,135,29,31,69,48,56,103,145,163,304,4,0,7,0,11,8,17,10,25,11,22,30,0,0,0,31,38,72,7,13,25,0,10,12,0,6,6,5,22,25,0,0,0,12,59,71,42,100,136,0,7,7,3,11,10,0,0,4,11,14,24,276,191,466,678,655,1335
LGA53640,7,8,19,41,43,87,0,0,0,10,6,11,52,48,100,15,10,27,0,0,0,9,12,24,29,21,50,0,0,0,0,0,0,3,0,0,6,12,10,0,0,0,5,9,16,0,0,0,0,4,6,0,0,0,0,6,3,0,0,0,3,11,14,14,21,28,4,0,4,3,7,4,0,0,0,4,3,12,54,50,102,155,157,312
LGA53710,6,3,16,22,28,53,18,21,37,0,0,0,38,48,89,14,11,26,3,5,8,0,3,3,22,17,35,0,3,6,0,0,0,5,0,3,4,5,13,0,0,0,12,9,18,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,6,14,16,24,0,0,0,0,0,0,0,0,0,0,0,0,61,52,109,137,137,273
LGA53780,1158,1138,2291,4241,4060,8295,742,736,1479,1015,1012,2026,6012,5816,11825,2984,2738,5721,746,702,1445,825,858,1686,4561,4306,8870,388,354,742,317,566,884,415,238,652,437,829,1268,10,11,25,1571,2007,3572,1271,1604,2877,448,587,1041,210,267,484,393,588,980,3,8,11,2326,3061,5389,3903,5076,8980,265,262,526,368,501,870,9,8,16,639,768,1406,4342,3187,7535,20621,20292,40907
LGA53800,347,337,681,960,822,1783,458,491,953,241,261,496,1666,1577,3245,717,666,1387,408,485,892,189,196,387,1322,1351,2669,62,99,164,39,78,115,153,124,277,143,326,476,0,5,8,405,630,1038,35,82,114,27,97,130,19,47,60,91,239,331,0,0,0,169,468,639,581,1101,1678,33,37,67,73,114,195,4,0,0,112,157,266,2076,1739,3812,6098,6256,12350
LGA53920,30,24,54,67,68,136,101,99,199,26,6,38,197,171,372,44,51,96,32,37,67,13,10,23,98,98,189,10,12,27,0,0,0,3,0,3,4,5,6,0,0,0,17,14,36,0,0,0,0,5,5,3,0,4,3,15,15,0,0,0,6,16,21,28,27,52,0,0,5,0,0,0,0,0,0,0,0,3,266,234,499,613,559,1175
LGA53990,259,224,488,1020,922,1945,253,228,480,151,129,278,1424,1287,2706,783,764,1543,246,238,489,123,145,266,1149,1139,2293,45,53,102,13,60,78,114,59,173,81,177,257,0,0,0,260,352,609,33,78,116,12,73,84,13,22,37,66,130,197,0,0,0,125,314,440,384,668,1046,33,24,56,69,76,150,0,0,0,102,96,197,847,630,1478,4169,4048,8216
LGA54060,19,21,43,105,112,216,3,0,6,3,3,6,111,117,227,60,44,105,44,54,104,8,12,23,113,110,224,5,3,5,0,3,3,7,9,14,4,13,14,0,0,0,14,25,46,0,3,8,0,7,7,0,3,4,0,12,17,0,0,0,4,26,35,19,52,73,5,5,6,5,3,14,0,0,0,8,10,17,226,178,400,496,493,986
LGA54130,15,8,24,50,46,100,0,0,0,0,5,4,52,51,100,14,18,31,0,0,4,6,4,9,27,22,43,0,0,3,0,0,0,0,0,0,3,11,11,0,0,0,3,8,14,0,6,6,0,0,0,0,5,3,0,4,4,0,0,0,0,9,8,8,15,25,0,0,0,0,4,4,0,0,0,0,4,4,59,53,115,150,153,311
