LGA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
LGA50840,17,16,20,9,14,0,0,69,13,15,23,14,19,0,0,84,17,24,31,14,8,3,0,101,144,184,99,59,65,0,0,550,0,3,4,3,0,0,0,9,190,239,170,104,107,8,3,810,0,0,0,0,0,0,0,5,0,11,6,0,6,0,0,23,7,0,0,5,4,0,0,11,11,23,18,23,17,0,0,89,0,0,0,0,0,0,0,4,18,33,24,26,27,3,0,131,209,269,194,125,131,10,3,940
LGA50910,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,4,5,6,0,0,0,0,0,10,30,32,17,8,7,0,0,92,3,0,0,0,0,0,0,3,43,42,17,10,7,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,3,0,3,0,0,29,0,0,0,0,0,0,0,0,11,12,5,3,3,0,0,31,49,49,24,10,9,0,0,140
LGA50980,112,99,40,16,31,6,0,314,56,48,22,15,9,0,0,152,68,67,30,20,20,0,0,208,586,667,394,226,168,15,3,2060,10,10,0,0,0,0,0,21,832,897,486,279,232,27,4,2758,3,9,3,9,3,0,0,29,3,5,6,11,6,0,0,35,6,12,10,7,3,0,0,45,187,257,173,129,102,8,0,855,10,21,9,4,0,0,0,50,214,309,209,154,124,6,4,1014,1041,1209,694,438,350,36,7,3769
LGA51080,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,43,59,34,9,6,0,0,143,0,0,0,0,0,0,0,6,48,61,35,9,10,4,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,13,3,10,0,0,44,0,0,5,0,0,0,0,5,3,14,15,8,13,0,0,56,49,74,51,10,17,3,0,217
LGA51120,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,6,3,0,0,0,0,0,14,37,40,27,16,4,0,0,116,0,0,0,0,0,0,0,0,47,41,29,18,3,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,8,4,3,0,0,33,0,0,0,0,0,0,0,0,4,10,8,4,3,0,0,36,54,52,37,24,11,0,0,180
LGA51190,208,233,147,90,101,16,7,797,115,96,56,44,47,7,0,358,135,118,65,37,52,5,6,414,735,745,439,301,420,28,9,2690,3,6,7,5,0,0,0,26,1193,1198,708,477,621,61,24,4284,18,28,25,20,37,0,3,134,27,53,40,16,22,9,0,168,19,44,28,20,31,0,0,145,284,351,253,186,171,16,6,1263,9,12,8,9,0,0,0,36,359,488,347,253,262,31,9,1745,1552,1687,1057,731,882,90,28,6036
LGA51260,193,226,159,99,115,12,6,808,187,214,136,75,124,10,3,740,206,286,136,81,88,13,0,814,1074,1285,880,582,617,63,17,4516,13,15,12,3,3,0,0,39,1671,2023,1320,846,949,94,26,6923,11,22,13,13,21,3,0,85,22,44,54,33,30,0,0,183,15,41,42,33,34,4,0,163,163,321,224,191,220,11,0,1140,3,9,3,3,6,0,0,34,209,439,342,275,315,18,4,1603,1881,2464,1665,1117,1259,116,31,8525
LGA51310,315,471,308,215,264,135,63,1761,191,250,167,116,161,79,47,1010,181,288,171,100,121,53,42,957,605,768,560,370,511,304,126,3243,7,0,3,5,0,0,0,9,1296,1777,1209,798,1053,583,275,6990,8,29,32,32,36,24,16,168,20,27,28,17,24,14,9,134,3,16,17,13,19,17,9,83,19,48,61,50,64,30,18,289,0,3,5,0,0,0,0,9,55,115,133,108,145,81,47,681,1348,1896,1334,909,1199,657,324,7669
LGA51330,2941,3275,1963,1253,1608,1007,624,12668,336,309,201,150,181,96,54,1322,407,358,235,129,189,82,52,1454,939,968,664,461,591,258,106,3984,9,12,10,4,0,4,0,47,4630,4929,3068,1993,2570,1444,837,19475,151,268,223,187,299,156,122,1414,57,76,80,46,62,23,4,344,33,67,55,44,79,32,21,328,171,275,183,165,195,67,26,1089,29,20,20,3,7,0,0,88,443,715,566,450,649,274,178,3268,5077,5637,3637,2444,3222,1716,1009,22744
LGA51400,166,204,146,106,143,16,15,797,70,84,47,35,35,8,4,291,86,122,50,34,52,3,0,343,516,663,423,305,363,48,17,2339,0,5,5,3,0,0,0,17,848,1076,674,485,596,72,37,3781,20,23,21,16,14,6,3,96,15,32,17,16,17,3,0,104,19,19,9,5,12,6,0,63,90,168,143,133,108,7,0,650,3,4,0,4,0,0,0,17,150,250,183,167,149,14,4,925,992,1328,856,653,751,88,40,4711
LGA51470,5,0,0,0,0,0,0,3,3,4,0,0,0,0,0,4,0,0,3,0,0,0,0,4,15,12,3,0,5,0,0,42,0,0,0,0,0,0,0,0,16,21,3,4,3,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,6,24,24,12,4,3,0,0,60
LGA51540,25,19,13,14,9,0,0,79,13,13,11,8,7,0,0,37,34,24,11,0,4,0,0,79,141,119,68,34,32,0,0,393,3,4,0,0,0,0,0,8,214,176,100,62,49,0,4,606,5,0,8,0,0,0,0,19,0,0,0,0,3,0,0,13,0,6,8,5,0,0,0,16,54,43,37,21,24,0,0,175,0,0,3,0,0,0,0,7,57,55,55,33,25,0,0,229,274,235,155,88,68,0,0,826
LGA51610,0,0,0,5,4,0,0,17,0,5,0,0,0,0,0,14,0,0,0,4,0,0,0,6,60,71,52,29,36,6,0,246,0,0,0,0,0,0,0,0,66,87,58,33,42,3,0,280,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,7,8,10,4,0,0,25,0,0,0,0,0,0,0,0,4,12,16,12,9,0,0,38,65,94,67,41,49,3,0,317
LGA51680,19,27,32,18,32,13,7,159,34,26,11,7,21,0,0,101,52,33,23,18,11,0,0,139,145,196,154,71,92,11,7,678,0,0,0,3,0,0,0,10,247,293,217,126,158,26,18,1086,3,6,0,0,0,0,0,13,0,4,0,0,0,0,0,15,8,3,6,0,5,0,0,21,23,26,26,15,23,0,3,115,0,3,0,0,0,0,0,4,33,41,39,19,32,0,4,168,279,331,260,148,190,30,20,1257
LGA51710,10,24,12,10,6,0,0,58,14,12,10,3,0,0,0,46,17,13,8,9,9,0,0,61,24,25,15,4,9,0,0,82,0,0,0,0,0,0,0,0,68,82,42,28,23,0,0,239,0,3,0,3,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,5,0,0,0,0,0,7,6,7,6,3,13,0,0,33,71,90,46,31,33,0,4,271
LGA51750,113,133,80,65,81,55,38,554,43,51,26,27,38,28,12,231,45,63,42,35,40,20,12,256,180,185,158,105,139,97,41,910,0,0,0,0,0,0,0,4,377,433,308,238,301,202,98,1955,0,19,21,13,32,11,10,111,7,5,10,3,9,6,0,50,4,10,11,11,9,3,4,51,10,25,34,27,37,23,9,165,0,0,0,0,0,0,0,0,18,62,79,54,86,46,25,375,393,497,391,299,390,247,120,2324
LGA51820,2246,2139,1098,677,926,503,325,7910,751,663,342,202,251,111,61,2381,898,758,386,227,267,120,67,2733,2868,2547,1558,999,1147,395,198,9722,17,24,10,8,0,0,4,66,6787,6129,3387,2122,2601,1134,655,22817,111,238,162,126,172,71,65,936,131,178,132,87,110,43,19,702,73,143,91,76,76,23,19,505,422,708,474,345,403,112,53,2508,30,33,16,15,6,4,3,104,767,1305,872,648,762,242,159,4754,7551,7431,4264,2771,3363,1380,810,27571
LGA51860,0,0,0,0,0,0,0,3,4,8,7,5,0,0,0,23,4,0,0,0,0,0,0,6,22,24,19,4,3,0,0,74,0,0,0,0,0,0,0,0,32,44,21,11,3,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,32,43,22,9,3,0,0,111
LGA51890,19,14,9,14,7,3,0,59,24,18,13,15,17,0,0,83,13,23,15,9,14,0,0,70,279,311,183,113,131,18,5,1038,0,0,0,0,0,0,0,6,333,359,227,142,167,23,3,1256,3,4,0,0,0,0,0,9,3,12,9,3,7,0,0,37,5,3,0,3,4,0,0,15,76,99,62,44,47,5,0,337,0,9,0,4,0,0,0,25,85,130,72,65,63,8,3,423,422,486,298,205,235,30,11,1682
LGA51960,25,19,11,8,13,0,0,82,18,11,6,5,6,0,0,37,11,15,14,6,3,0,0,44,102,78,49,31,20,0,0,283,5,0,0,0,0,0,0,8,157,126,78,45,44,0,0,457,3,0,0,9,5,0,0,13,0,6,7,0,0,0,0,11,3,0,0,0,0,0,0,8,27,36,11,15,20,3,0,107,0,0,6,0,0,0,0,9,36,39,25,20,26,3,0,146,194,164,107,69,69,3,0,604
LGA52030,6,5,0,0,0,0,0,5,0,0,3,0,4,0,0,9,4,11,0,0,0,0,0,12,36,15,12,8,7,0,0,78,0,0,0,0,0,0,0,0,43,33,14,13,9,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,3,0,4,0,0,19,0,0,0,0,0,0,0,0,5,5,3,0,3,0,0,19,49,36,14,10,12,0,0,125
LGA52100,4,0,0,0,0,0,0,6,5,0,0,0,0,0,0,3,14,0,0,0,0,0,0,11,41,59,17,6,3,0,0,128,0,0,0,0,0,0,0,0,55,65,20,7,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,6,3,4,0,0,0,14,54,69,23,12,9,0,0,169
LGA52170,35,52,42,29,52,35,10,252,47,53,35,24,29,25,10,227,39,46,33,23,37,23,14,214,196,187,140,85,148,93,43,893,0,0,0,0,0,0,0,4,319,336,254,160,265,170,76,1589,0,3,6,3,6,5,0,24,6,5,8,5,8,5,0,25,0,3,4,13,8,4,3,40,5,16,20,15,31,15,6,111,0,3,0,0,0,0,0,6,18,31,37,35,52,31,12,209,332,368,292,192,323,202,83,1796
LGA52240,7,0,5,4,0,0,0,16,0,3,0,0,0,0,0,3,8,10,0,4,0,0,0,19,34,39,25,13,9,0,0,121,0,0,0,0,0,0,0,0,50,54,32,15,14,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,6,5,8,5,6,4,0,0,27,0,0,0,0,0,0,0,3,5,9,6,4,4,0,0,36,58,61,42,22,19,0,0,192
LGA52310,0,0,0,5,0,0,0,3,3,0,0,0,0,0,0,7,3,0,3,0,5,0,0,9,15,25,20,15,5,0,0,83,0,0,0,0,0,0,0,0,22,34,28,20,10,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,5,0,0,0,16,0,0,0,0,0,0,0,0,10,4,8,5,0,0,0,24,27,37,31,28,12,0,0,134
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA52450,7,7,4,8,8,0,0,29,4,4,0,0,5,0,0,11,9,6,0,3,0,0,0,15,54,57,37,21,14,6,0,178,0,0,0,0,0,0,0,0,69,72,36,24,23,6,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,3,3,0,0,30,0,0,0,0,0,0,0,0,3,8,7,3,3,0,0,30,74,80,50,31,29,6,0,265
LGA52520,11,17,7,7,9,0,0,47,6,4,0,0,0,0,0,14,18,10,11,0,0,0,0,32,53,45,31,15,10,3,0,151,0,0,0,0,0,0,0,0,78,73,44,21,14,3,0,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,4,0,0,0,16,0,0,0,0,0,0,0,0,6,5,4,3,4,0,0,19,88,78,52,21,18,3,0,259
LGA52590,8,3,5,3,0,0,0,22,3,10,5,8,5,4,0,32,7,8,8,0,0,0,0,30,109,102,43,14,20,0,0,296,0,0,0,0,0,0,0,3,130,123,61,26,28,4,0,375,0,0,0,0,0,0,0,0,0,6,0,4,5,0,0,7,0,0,0,0,0,0,0,0,18,21,9,10,10,0,0,70,0,0,0,0,0,0,0,0,18,25,13,12,14,0,0,81,142,152,74,35,41,4,0,454
LGA52660,116,120,61,40,43,13,3,401,83,63,36,26,19,5,0,235,59,51,27,19,18,0,0,181,533,591,294,220,235,30,7,1908,3,5,0,0,0,0,0,12,794,828,422,309,317,45,11,2729,9,5,6,10,4,0,0,37,18,20,7,3,3,0,0,48,8,14,8,6,16,0,0,49,89,135,98,59,81,6,3,470,0,3,0,5,0,0,0,11,123,179,126,80,111,8,3,616,916,1007,546,388,426,50,20,3344
LGA52730,21,30,11,11,12,0,0,95,26,28,24,6,14,0,0,96,29,38,19,15,19,0,0,112,153,176,115,77,83,7,0,612,4,0,0,0,0,0,0,6,230,275,171,103,131,11,0,921,0,4,0,6,5,0,0,17,7,7,3,0,6,0,0,25,0,3,9,3,3,0,0,23,21,34,24,21,39,0,0,146,5,0,0,3,0,0,0,12,34,54,45,39,48,6,0,223,265,327,210,140,183,12,4,1138
LGA52800,14,17,13,4,0,0,0,50,5,10,6,0,0,0,0,25,12,9,3,0,0,0,0,25,274,261,135,94,45,0,0,813,5,0,3,0,0,0,0,4,311,297,164,96,51,0,0,917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,135,153,94,53,33,0,0,475,3,0,3,0,0,0,0,12,136,164,96,53,33,0,0,488,451,459,258,151,77,4,0,1406
LGA52870,21,21,14,10,11,0,0,75,19,18,15,14,16,0,0,91,28,38,18,10,9,4,0,106,185,215,108,73,85,5,4,682,0,0,0,0,0,0,0,4,252,295,160,116,124,7,4,958,0,0,3,0,0,0,0,4,0,10,4,4,0,0,0,17,0,3,3,3,0,0,0,9,32,40,27,13,17,3,0,134,0,0,3,0,0,0,0,6,38,51,36,18,29,3,0,178,283,344,199,136,150,10,7,1131
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,8,26,38,16,5,7,4,0,96,0,0,0,0,0,0,0,0,31,43,15,7,7,4,0,108,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,10,5,4,0,0,0,18,0,0,0,0,0,0,0,0,4,10,9,11,0,0,0,32,32,53,20,19,6,4,0,136
LGA53010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,18,27,39,7,0,5,0,0,80,0,0,0,0,0,0,0,0,46,46,14,0,5,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,8,46,45,15,3,3,0,0,112
LGA53080,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,9,10,3,4,6,0,0,0,25,0,0,0,0,0,0,0,0,14,7,10,7,4,0,0,36,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,7,5,0,0,3,0,0,0,9,8,0,3,4,0,0,0,18,24,7,17,11,4,0,0,61
LGA53150,52,75,35,26,27,17,7,240,50,53,39,27,47,19,12,238,55,60,30,19,31,14,3,216,162,189,146,110,165,73,32,888,0,0,0,0,0,0,0,5,327,381,258,182,269,122,51,1591,9,4,7,5,8,0,0,37,9,14,4,4,8,0,0,34,0,6,6,11,14,3,3,33,13,28,31,16,34,9,6,144,0,0,0,0,0,0,0,0,24,60,50,38,59,20,6,250,353,435,305,224,324,145,61,1842
LGA53220,70,76,42,21,19,0,0,237,45,21,16,4,6,0,0,89,46,32,16,7,3,0,0,99,247,238,135,77,46,0,0,743,0,0,0,0,0,0,0,0,405,362,205,118,75,0,0,1167,0,9,4,0,3,0,0,21,0,3,9,0,0,0,0,11,0,3,6,0,0,0,0,5,47,71,27,27,16,3,0,196,0,0,0,0,0,0,0,3,55,82,40,30,26,0,0,235,458,447,242,146,106,4,0,1401
