LGA_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
LGA51330,..,73,2100,4268,3879,3146,2687,1397,329,17886,..,273,937,476,335,235,135,48,5,2438,..,9,42,121,207,159,62,37,19,653,8702,..,..,..,..,..,..,..,..,8702,..,2973,..,..,..,..,..,..,..,2973,..,1399,1185,334,178,90,12,0,0,3191,..,414,384,111,74,87,79,51,15,1215,..,308,521,166,74,39,20,0,0,1139,..,1110,1368,318,177,151,78,21,3,3232,..,190,531,496,462,549,518,280,132,3168,49,110,128,86,55,42,36,16,7,526,8757,6859,7202,6380,5448,4493,3628,1850,507,45118,..,178,2941,4819,3848,3168,2396,964,148,18462,..,396,997,512,325,247,102,27,4,2606,..,55,261,670,754,470,212,148,88,2656,8094,..,..,..,..,..,..,..,..,8094,..,2975,..,..,..,..,..,..,..,2975,..,989,766,178,97,79,12,4,0,2121,..,396,269,82,86,218,274,178,89,1594,..,244,342,69,27,18,10,0,0,713
LGA51400,..,11,250,635,792,711,527,226,36,3178,..,92,204,152,138,111,44,6,0,762,..,0,5,46,56,17,18,9,0,146,1948,..,..,..,..,..,..,..,..,1948,..,425,..,..,..,..,..,..,..,425,..,382,122,46,27,12,0,0,0,590,..,34,24,15,16,23,15,10,0,136,..,29,27,7,11,9,6,3,0,83,..,22,39,18,17,18,21,3,0,133,..,38,58,70,86,97,92,45,8,503,28,30,17,19,15,20,17,3,0,151,1976,1059,751,998,1159,1016,734,313,51,8060,..,21,406,763,893,669,474,152,13,3400,..,123,242,185,171,103,25,5,0,846,..,22,111,192,159,62,39,21,11,617,1885,..,..,..,..,..,..,..,..,1885,..,456,..,..,..,..,..,..,..,456,..,291,76,27,11,11,3,0,0,421,..,27,9,3,7,35,27,22,9,136,..,24,22,14,4,3,3,3,0,67
LGA51470,..,0,3,18,19,24,19,7,0,88,..,6,7,6,3,0,6,0,0,27,..,0,0,0,0,0,4,0,0,4,30,..,..,..,..,..,..,..,..,30,..,3,..,..,..,..,..,..,..,3,..,0,0,0,5,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,6,0,9,5,11,18,5,0,59,4,6,0,0,3,0,0,0,0,14,33,13,22,37,31,40,46,20,3,238,..,0,9,22,12,24,22,3,0,92,..,5,10,3,0,0,0,0,0,28,..,0,0,5,4,0,0,0,0,11,28,..,..,..,..,..,..,..,..,28,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA51540,..,0,58,100,132,141,116,48,11,612,..,16,68,46,54,44,23,4,0,263,..,5,6,4,19,15,4,0,0,58,398,..,..,..,..,..,..,..,..,398,..,43,..,..,..,..,..,..,..,43,..,77,22,20,20,3,0,0,0,144,..,24,7,0,8,11,12,7,5,74,..,3,10,6,8,9,7,0,0,40,..,16,20,13,11,17,4,4,0,84,..,11,39,37,53,71,92,35,7,345,8,11,7,5,13,10,7,0,0,70,405,208,241,230,319,321,266,102,25,2114,..,4,87,128,124,156,84,35,3,615,..,35,77,48,60,39,19,5,0,275,..,6,28,36,47,15,16,9,7,161,352,..,..,..,..,..,..,..,..,352,..,36,..,..,..,..,..,..,..,36,..,58,12,9,8,5,0,0,0,90,..,20,7,4,8,10,8,10,3,59,..,10,5,4,0,0,0,4,0,24
LGA51610,..,0,16,51,67,68,58,24,4,291,..,9,15,6,20,16,8,3,0,69,..,0,0,8,7,0,0,0,0,12,142,..,..,..,..,..,..,..,..,142,..,27,..,..,..,..,..,..,..,27,..,24,11,0,3,0,0,0,0,41,..,5,0,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,9,..,0,3,0,10,15,9,7,5,48,4,0,5,0,7,6,4,0,0,23,142,66,51,71,116,109,76,39,5,678,..,0,24,61,75,84,52,11,0,309,..,7,25,11,21,10,10,0,0,75,..,0,6,10,7,3,0,0,0,22,126,..,..,..,..,..,..,..,..,126,..,28,..,..,..,..,..,..,..,28,..,13,4,5,0,0,0,0,0,21,..,0,0,0,0,0,0,0,0,9,..,0,4,0,0,0,0,0,0,7
LGA51680,..,0,63,176,262,318,202,110,19,1148,..,6,45,43,50,38,20,4,0,215,..,4,3,11,17,8,0,0,0,43,510,..,..,..,..,..,..,..,..,510,..,117,..,..,..,..,..,..,..,117,..,134,65,25,12,0,0,0,0,241,..,7,5,0,3,0,9,7,0,39,..,5,7,4,3,6,0,0,0,29,..,3,0,5,0,9,8,0,0,26,..,6,11,18,35,39,45,13,0,175,9,12,10,3,0,5,9,3,0,60,515,289,208,294,381,434,288,145,29,2592,..,3,108,228,310,315,208,73,7,1246,..,14,60,53,55,37,14,3,0,231,..,0,22,30,32,19,12,4,0,122,508,..,..,..,..,..,..,..,..,508,..,123,..,..,..,..,..,..,..,123,..,95,34,4,6,0,0,0,0,143,..,3,4,0,4,13,14,13,14,58,..,7,4,6,0,0,0,0,4,23
LGA51710,..,0,30,41,49,40,43,3,3,206,..,0,15,4,13,9,3,0,0,46,..,0,0,0,3,6,0,0,0,11,127,..,..,..,..,..,..,..,..,127,..,16,..,..,..,..,..,..,..,16,..,17,10,5,6,0,0,0,0,32,..,0,0,3,0,7,3,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,4,..,5,13,4,11,19,26,5,0,86,0,0,0,0,0,5,7,0,0,21,132,39,71,66,76,83,86,13,4,559,..,0,26,64,52,39,25,3,0,211,..,4,14,6,12,4,0,0,0,43,..,0,3,3,7,3,0,0,0,20,109,..,..,..,..,..,..,..,..,109,..,21,..,..,..,..,..,..,..,21,..,8,5,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0
LGA51750,..,0,93,318,447,372,343,307,88,1958,..,22,129,62,48,42,37,16,9,362,..,0,0,3,27,15,6,3,0,66,806,..,..,..,..,..,..,..,..,806,..,388,..,..,..,..,..,..,..,388,..,109,85,18,13,8,4,0,0,236,..,24,13,0,0,5,5,0,6,57,..,8,15,0,0,0,0,0,0,26,..,73,93,14,3,8,7,4,0,197,..,28,86,54,61,69,77,61,46,485,19,13,20,7,4,6,6,4,3,84,825,665,531,485,616,529,483,396,141,4671,..,5,122,399,468,384,336,240,54,1997,..,33,140,52,51,46,31,3,3,360,..,0,9,49,140,77,31,13,13,334,762,..,..,..,..,..,..,..,..,762,..,369,..,..,..,..,..,..,..,369,..,80,67,17,6,8,0,0,0,180,..,30,13,5,3,6,11,14,10,86,..,11,14,3,0,5,0,0,0,33
LGA51820,..,48,2192,5048,4587,3803,2909,1462,337,20389,..,417,2158,1198,752,469,244,57,8,5304,..,9,75,242,328,206,102,44,24,1032,11332,..,..,..,..,..,..,..,..,11332,..,2664,..,..,..,..,..,..,..,2664,..,2302,1303,416,289,107,19,0,0,4443,..,336,290,128,96,108,81,43,18,1101,..,162,203,105,71,45,28,6,0,624,..,380,644,259,187,150,100,29,0,1754,..,197,859,837,783,770,620,349,166,4590,95,145,165,116,86,59,45,30,6,757,11426,6658,7905,8355,7178,5719,4159,2026,560,53988,..,104,3327,5620,4738,3756,2623,1011,141,21311,..,699,2437,1206,776,444,165,32,0,5758,..,85,535,1082,1130,633,263,179,86,3996,10685,..,..,..,..,..,..,..,..,10685,..,2888,..,..,..,..,..,..,..,2888,..,1622,816,187,104,70,17,0,0,2822,..,271,184,61,89,214,238,159,104,1323,..,186,174,51,36,19,13,0,0,487
LGA51860,..,3,14,31,14,35,23,12,0,128,..,0,0,0,3,3,0,0,0,11,..,0,0,0,0,0,0,0,0,0,66,..,..,..,..,..,..,..,..,66,..,3,..,..,..,..,..,..,..,3,..,10,0,0,0,0,0,0,0,15,..,0,0,0,0,0,0,0,6,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,4,0,11,0,0,0,3,0,0,5,0,0,14,64,18,20,35,22,41,27,18,3,256,..,3,23,23,16,35,19,4,0,129,..,0,4,3,5,5,0,0,0,14,..,0,0,0,0,0,0,0,0,6,47,..,..,..,..,..,..,..,..,47,..,0,..,..,..,..,..,..,..,0,..,9,0,0,0,3,0,0,0,17,..,0,0,0,0,0,0,3,3,12,..,0,0,0,0,0,0,0,0,0
LGA51890,..,3,76,198,227,319,330,176,23,1345,..,31,121,82,71,54,36,6,0,410,..,0,6,20,20,7,7,3,5,78,745,..,..,..,..,..,..,..,..,745,..,145,..,..,..,..,..,..,..,145,..,184,70,28,18,16,4,0,0,324,..,20,22,3,6,11,14,3,0,82,..,9,14,12,3,3,0,0,0,46,..,14,15,12,17,18,11,4,0,94,..,21,36,60,77,134,151,52,24,550,26,28,23,13,10,16,12,5,0,143,777,455,381,422,458,582,575,250,57,3958,..,9,132,211,287,327,314,112,3,1401,..,66,136,90,83,48,27,0,0,453,..,7,74,90,76,33,15,12,11,313,660,..,..,..,..,..,..,..,..,660,..,123,..,..,..,..,..,..,..,123,..,100,35,10,9,7,0,0,0,157,..,19,9,0,10,11,10,9,4,73,..,15,6,5,0,0,0,0,0,28
LGA51960,..,0,43,56,87,104,70,20,0,383,..,16,64,35,30,24,6,3,0,180,..,0,0,10,16,3,0,0,0,39,269,..,..,..,..,..,..,..,..,269,..,38,..,..,..,..,..,..,..,38,..,49,14,3,3,3,0,0,0,71,..,14,12,0,0,10,0,5,0,38,..,6,0,0,3,0,0,0,0,12,..,6,5,8,6,6,4,0,0,36,..,11,26,17,42,73,47,18,6,244,10,4,0,13,7,3,5,0,0,35,283,139,169,138,201,227,138,46,10,1346,..,10,47,87,94,105,52,12,0,399,..,38,56,36,39,15,7,0,0,191,..,10,17,28,20,9,6,4,3,98,258,..,..,..,..,..,..,..,..,258,..,37,..,..,..,..,..,..,..,37,..,35,9,3,5,0,0,0,0,48,..,14,5,5,4,3,3,0,0,33,..,3,0,0,0,0,0,0,0,11
LGA52030,..,0,11,16,16,45,59,38,6,190,..,3,9,9,10,9,12,0,0,56,..,0,0,0,0,0,0,0,0,0,62,..,..,..,..,..,..,..,..,62,..,3,..,..,..,..,..,..,..,3,..,9,3,0,5,0,0,0,0,15,..,0,0,0,0,3,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,4,4,0,0,0,5,..,0,3,4,12,31,27,11,3,98,5,0,3,5,3,7,9,5,0,28,71,25,35,40,43,108,100,54,9,474,..,0,19,19,22,36,62,29,3,188,..,3,13,10,4,11,4,0,0,59,..,0,5,5,5,0,0,0,0,18,51,..,..,..,..,..,..,..,..,51,..,9,..,..,..,..,..,..,..,9,..,6,3,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4
LGA52100,..,0,18,36,31,37,45,21,9,198,..,11,14,8,5,4,3,0,0,43,..,0,0,0,0,0,0,0,0,0,69,..,..,..,..,..,..,..,..,69,..,3,..,..,..,..,..,..,..,3,..,18,4,0,0,3,0,0,0,24,..,0,0,0,4,0,0,0,0,7,..,0,0,0,4,0,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,11,10,4,9,11,22,4,3,68,0,0,6,0,0,0,4,0,0,14,69,41,45,56,47,59,76,25,15,438,..,4,23,36,32,39,44,17,6,198,..,7,15,7,4,3,0,0,0,41,..,0,0,5,6,0,0,0,4,17,92,..,..,..,..,..,..,..,..,92,..,3,..,..,..,..,..,..,..,3,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA52170,..,0,49,200,344,359,293,176,45,1468,..,9,85,71,54,48,37,16,3,321,..,0,3,12,24,9,7,0,0,57,629,..,..,..,..,..,..,..,..,629,..,309,..,..,..,..,..,..,..,309,..,92,49,13,12,7,0,0,0,171,..,21,10,0,4,0,0,0,0,46,..,4,10,0,0,0,0,0,0,17,..,23,77,11,4,7,5,3,0,133,..,15,56,37,46,71,67,50,12,357,12,7,15,11,4,4,6,4,0,60,638,483,371,359,490,501,410,255,66,3563,..,0,87,259,386,334,281,141,18,1507,..,20,114,58,56,36,27,9,0,320,..,0,4,28,75,33,15,9,5,159,556,..,..,..,..,..,..,..,..,556,..,296,..,..,..,..,..,..,..,296,..,69,40,4,3,3,4,0,0,126,..,19,3,0,0,12,0,6,4,49,..,3,7,0,0,0,0,0,0,16
LGA52240,..,5,8,34,37,42,43,20,4,191,..,3,19,3,6,7,6,0,0,50,..,0,0,0,0,0,0,0,0,3,97,..,..,..,..,..,..,..,..,97,..,6,..,..,..,..,..,..,..,6,..,7,0,0,5,6,0,0,0,17,..,3,3,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,4,0,0,5,..,4,6,5,16,28,10,12,4,87,0,0,8,6,7,4,0,0,0,17,95,32,40,53,69,89,65,38,4,489,..,0,13,42,33,50,35,16,4,189,..,6,8,15,9,4,6,0,0,53,..,0,5,3,0,4,0,3,0,23,82,..,..,..,..,..,..,..,..,82,..,11,..,..,..,..,..,..,..,11,..,10,4,0,4,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA52310,..,0,11,17,28,50,46,18,6,168,..,3,8,3,13,3,0,0,0,38,..,0,3,0,6,0,0,0,0,10,61,..,..,..,..,..,..,..,..,61,..,0,..,..,..,..,..,..,..,0,..,12,7,3,7,0,0,0,0,28,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,6,..,0,5,0,0,0,0,0,0,8,..,6,8,9,13,12,24,12,4,74,0,3,0,0,3,0,4,0,0,10,61,31,34,32,66,70,76,33,10,404,..,0,15,19,34,53,38,16,4,179,..,11,5,4,12,7,0,0,0,39,..,0,0,3,3,0,5,5,0,20,59,..,..,..,..,..,..,..,..,59,..,8,..,..,..,..,..,..,..,8,..,7,4,0,0,0,0,0,0,17,..,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,4
LGA52380,..,0,0,0,0,0,5,4,0,17,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,3,..,0,3,0,0,3,14,0,0,27,0,0,0,0,0,0,0,0,0,3,0,3,10,0,4,11,28,6,0,52,..,0,0,0,0,4,10,3,0,11,..,0,0,0,0,4,0,0,0,4,..,0,0,0,0,0,0,0,0,6,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA52450,..,4,27,35,36,50,36,17,5,209,..,0,15,8,3,5,6,0,0,41,..,0,0,0,0,3,0,0,0,7,115,..,..,..,..,..,..,..,..,115,..,7,..,..,..,..,..,..,..,7,..,14,6,0,0,0,0,0,0,31,..,5,0,0,0,0,4,4,0,11,..,0,0,0,0,0,0,0,0,0,..,7,0,3,0,0,0,0,0,16,..,6,19,5,11,14,19,15,4,91,3,5,3,0,3,7,0,0,0,21,121,53,77,57,59,80,61,36,12,552,..,9,30,51,45,44,35,11,0,220,..,7,15,8,6,4,0,0,0,47,..,0,4,6,5,0,4,0,0,23,119,..,..,..,..,..,..,..,..,119,..,21,..,..,..,..,..,..,..,21,..,9,4,0,3,0,0,0,0,22,..,0,0,0,0,0,3,0,0,7,..,0,0,0,0,0,0,0,0,9
LGA52520,..,6,28,57,33,54,35,16,10,232,..,6,13,6,6,7,3,0,0,44,..,0,0,0,0,4,0,0,0,5,114,..,..,..,..,..,..,..,..,114,..,13,..,..,..,..,..,..,..,13,..,15,6,3,9,3,0,0,0,36,..,0,0,0,0,0,0,0,0,8,..,7,0,7,0,0,0,0,0,16,..,0,5,11,5,0,0,0,0,17,..,4,12,10,12,21,15,4,0,74,10,0,6,3,4,3,0,0,0,20,119,55,74,96,67,93,54,22,10,579,..,9,34,53,35,50,29,11,5,239,..,6,13,14,3,0,0,0,0,45,..,0,4,6,0,3,0,3,0,20,127,..,..,..,..,..,..,..,..,127,..,8,..,..,..,..,..,..,..,8,..,7,3,3,0,0,0,0,0,16,..,0,0,0,3,0,0,0,0,10,..,0,5,0,0,0,0,0,0,7
LGA52590,..,0,32,61,78,138,164,74,17,566,..,15,43,27,30,29,23,7,0,163,..,0,0,3,9,7,0,0,0,23,231,..,..,..,..,..,..,..,..,231,..,19,..,..,..,..,..,..,..,19,..,37,20,13,5,5,0,0,0,79,..,0,3,0,0,3,6,0,0,20,..,6,0,7,5,0,0,0,0,12,..,0,8,4,4,6,3,0,0,28,..,5,16,10,34,42,67,29,0,207,13,6,4,0,12,8,22,4,0,70,248,92,127,132,173,235,282,122,22,1422,..,0,45,98,97,157,147,54,12,606,..,15,49,29,28,33,11,3,0,169,..,0,11,19,13,3,0,4,0,58,172,..,..,..,..,..,..,..,..,172,..,26,..,..,..,..,..,..,..,26,..,19,8,0,0,0,0,0,0,24,..,3,0,0,0,11,3,0,4,25,..,3,5,0,6,4,0,0,0,15
LGA52660,..,11,254,489,485,495,467,255,65,2516,..,63,247,137,92,92,55,7,3,703,..,4,12,38,44,15,5,0,0,113,1467,..,..,..,..,..,..,..,..,1467,..,234,..,..,..,..,..,..,..,234,..,306,105,45,17,12,0,0,0,481,..,29,34,15,5,8,3,6,4,102,..,23,24,9,6,3,0,0,0,72,..,31,28,10,20,22,11,0,0,132,..,21,85,75,108,94,87,57,29,559,22,24,18,15,8,8,10,3,0,115,1491,750,800,833,778,755,646,334,111,6500,..,24,359,557,556,524,399,210,31,2657,..,103,265,153,113,86,34,16,0,769,..,7,85,146,117,43,33,13,13,453,1382,..,..,..,..,..,..,..,..,1382,..,259,..,..,..,..,..,..,..,259,..,202,69,21,21,6,5,0,0,325,..,21,14,0,7,17,17,10,11,101,..,31,8,9,4,6,0,0,0,65
LGA52730,..,0,41,146,173,208,261,166,25,1021,..,4,43,57,48,75,46,8,3,284,..,0,0,6,19,17,3,0,3,48,476,..,..,..,..,..,..,..,..,476,..,96,..,..,..,..,..,..,..,96,..,64,16,14,13,6,0,0,0,118,..,6,3,5,5,3,0,0,0,16,..,3,8,0,6,4,3,0,0,22,..,7,9,0,4,12,6,5,0,46,..,8,12,23,44,73,91,56,18,321,14,9,6,16,13,22,22,8,3,116,489,193,142,266,319,423,429,248,54,2561,..,0,67,185,201,241,244,122,14,1074,..,12,62,68,57,55,33,6,0,294,..,0,13,49,52,21,9,7,8,163,472,..,..,..,..,..,..,..,..,472,..,102,..,..,..,..,..,..,..,102,..,37,9,12,10,4,3,0,0,71,..,0,0,0,3,7,6,4,9,28,..,7,4,0,0,4,0,0,0,16
LGA52800,..,39,124,107,113,100,63,16,3,564,..,40,120,72,59,53,17,3,0,366,..,0,14,14,17,14,3,0,5,71,690,..,..,..,..,..,..,..,..,690,..,35,..,..,..,..,..,..,..,35,..,128,53,35,7,4,0,0,0,229,..,86,47,49,27,19,13,0,0,239,..,8,5,4,0,6,0,0,0,24,..,3,17,6,4,5,7,3,0,51,..,16,52,47,64,62,63,8,3,318,21,20,13,6,14,13,9,0,0,94,708,381,443,348,303,279,170,39,7,2685,..,44,143,119,105,103,52,10,0,578,..,56,115,95,65,47,9,3,0,384,..,30,94,65,53,21,24,8,0,297,630,..,..,..,..,..,..,..,..,630,..,51,..,..,..,..,..,..,..,51,..,127,27,15,9,4,0,0,0,182,..,59,33,28,30,38,23,7,5,218,..,9,0,4,3,0,0,0,0,14
LGA52870,..,0,47,152,214,258,272,144,30,1123,..,12,62,56,58,55,44,12,0,304,..,0,4,7,10,14,8,0,4,52,490,..,..,..,..,..,..,..,..,490,..,84,..,..,..,..,..,..,..,84,..,117,27,20,13,4,0,0,0,181,..,10,3,0,0,7,6,0,0,27,..,9,4,3,4,4,4,0,0,32,..,9,8,0,7,7,15,3,0,49,..,12,11,28,36,58,77,33,4,260,5,11,13,9,13,9,11,0,3,74,493,257,187,289,358,409,441,194,42,2673,..,5,85,196,239,296,246,98,16,1186,..,20,72,57,54,61,34,10,0,310,..,3,24,37,37,12,7,11,5,137,475,..,..,..,..,..,..,..,..,475,..,88,..,..,..,..,..,..,..,88,..,61,22,4,6,6,0,0,0,98,..,8,5,4,0,12,6,13,4,56,..,9,6,4,8,4,0,0,0,28
LGA52940,..,0,8,22,25,22,36,17,0,130,..,9,7,7,0,0,0,0,0,25,..,0,0,0,0,0,0,0,0,5,74,..,..,..,..,..,..,..,..,74,..,4,..,..,..,..,..,..,..,4,..,15,0,0,5,0,0,0,0,17,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,7,..,5,3,3,9,13,18,0,0,50,0,0,0,0,3,0,0,0,0,10,73,31,20,34,46,34,59,17,3,322,..,0,11,28,19,28,41,10,0,133,..,10,5,3,0,0,0,0,0,25,..,0,5,8,5,0,0,0,0,19,58,..,..,..,..,..,..,..,..,58,..,4,..,..,..,..,..,..,..,4,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
LGA53010,..,0,9,25,23,30,20,13,0,120,..,0,10,6,4,0,3,0,0,29,..,0,0,0,0,4,0,0,0,5,53,..,..,..,..,..,..,..,..,53,..,3,..,..,..,..,..,..,..,3,..,3,6,0,0,0,0,0,0,7,..,0,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,..,0,6,7,6,11,9,4,0,40,5,0,3,0,0,0,3,0,0,11,51,12,32,44,37,43,38,20,0,280,..,0,12,28,24,25,17,8,0,120,..,5,10,4,0,3,4,0,0,28,..,0,0,0,4,0,0,0,0,7,58,..,..,..,..,..,..,..,..,58,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
