LGA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
LGA50840,45,241,207,1475,21,1986,0,10,0,72,4,83,6,0,5,0,0,11,11,3,0,8,0,25,78,24,14,37,3,148,906,274,178,1255,31,2646,28,0,6,0,0,36,15,4,0,11,0,33,61,9,11,86,0,168,3,3,0,6,0,15,8,0,3,3,0,9,13,4,0,0,0,18,151,48,36,330,8,576,64,37,6,106,4,210,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,14,0,25,6,0,4,10,0,17,22,3,0,0,0,29,33,16,7,0,0,57,17,3,0,14,0,32,4,0,0,0,0,4,0,0,0,0,0,0,175,51,35,308,3,573,11,0,0,0,0,7,19,3,0,0,0,26,5,0,0,8,0,13,0,0,0,0,0,0,5,0,0,0,0,5,22,9,5,15,0,47,114,30,33,38,4,218,5,4,4,17,346,372,1417,460,331,2617,405,5238
LGA50910,11,28,29,358,6,432,0,3,0,70,0,71,0,0,3,0,0,5,0,4,0,0,0,0,4,5,0,0,0,14,59,25,26,254,5,371,3,0,0,0,0,3,0,0,0,3,0,3,7,0,3,20,0,32,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,11,4,3,59,0,72,6,0,0,12,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,11,40,0,69,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,12,0,3,0,41,0,0,0,3,87,94,118,47,42,620,102,929
LGA50980,123,483,455,3802,41,4903,4,192,40,4135,112,4474,152,29,12,100,5,298,24,6,4,20,0,64,97,47,28,78,5,257,1079,413,340,2814,58,4700,244,11,19,20,0,286,82,3,7,20,0,114,167,39,22,220,7,458,14,4,6,23,0,42,19,5,0,3,0,28,85,9,0,10,0,108,244,99,63,903,3,1307,177,48,26,227,6,479,15,0,0,0,0,12,4,0,0,3,0,7,7,0,0,7,0,16,7,9,3,13,0,32,67,17,10,4,5,95,72,29,15,10,3,125,19,10,6,26,0,59,10,4,3,6,0,26,7,0,3,0,0,9,285,93,91,752,4,1224,4,0,0,0,0,12,66,11,11,3,0,94,65,0,10,15,4,93,14,3,5,8,0,26,22,0,0,0,0,22,43,14,13,26,0,95,661,155,98,471,24,1419,60,5,4,102,2218,2400,3061,1002,730,9731,2444,16959
LGA51080,3,32,17,362,11,429,0,3,0,103,5,109,0,0,0,4,0,4,0,0,0,0,0,0,7,0,0,0,0,11,69,25,26,269,4,391,6,0,0,0,0,4,4,0,0,3,0,9,9,5,3,35,0,43,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,63,0,87,9,4,3,26,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,5,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,3,7,58,0,90,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,9,19,3,0,9,0,34,0,0,0,14,108,124,138,47,38,694,119,1046
LGA51120,0,29,34,299,0,362,0,0,0,34,0,36,4,0,0,0,0,0,0,3,0,4,0,8,8,5,0,3,0,21,52,26,34,316,0,429,8,0,0,0,0,15,0,0,0,0,0,0,7,7,8,31,0,44,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,6,9,0,0,41,0,53,13,3,0,27,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,0,3,0,0,9,5,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,74,0,99,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,23,4,3,13,0,40,3,0,0,9,144,157,119,49,54,618,144,979
LGA51190,263,1481,1044,8808,112,11706,10,71,28,1119,22,1239,387,14,25,29,0,466,39,21,11,51,0,131,269,99,66,162,5,589,3249,1501,1100,8407,146,14404,483,0,36,12,6,536,73,14,4,69,0,163,269,82,66,578,5,1003,55,28,9,87,6,186,28,7,0,13,0,47,261,6,10,4,0,289,771,233,200,2047,16,3272,649,259,97,1105,12,2116,60,0,5,0,0,64,34,8,4,3,0,46,8,7,0,14,0,33,18,5,6,6,0,33,294,49,49,19,4,419,159,103,44,33,0,337,172,37,43,98,5,348,64,3,6,4,0,82,27,4,8,0,0,39,814,301,236,1928,22,3290,18,3,0,3,0,28,175,22,19,7,0,222,70,6,9,38,0,122,25,0,4,3,0,37,63,5,11,0,3,81,141,32,29,114,0,312,1437,182,168,336,32,2155,63,23,18,141,2379,2618,8257,2697,1941,17400,2686,32987
LGA51260,330,2025,1725,11772,175,16034,3,55,32,701,13,797,195,16,28,40,0,276,48,16,16,81,4,164,411,115,89,268,4,897,5379,2023,1565,10669,189,19828,151,10,40,11,0,219,181,23,24,77,0,309,471,132,107,748,14,1467,43,27,11,79,0,162,32,16,5,27,0,81,128,17,23,34,0,196,1026,378,242,2680,28,4357,374,177,91,905,22,1568,52,0,9,0,0,61,10,4,3,5,0,16,6,5,9,21,0,45,23,12,3,28,0,70,118,40,27,23,4,216,239,151,80,36,9,507,119,31,37,58,5,252,49,9,11,26,0,92,4,0,0,0,0,4,1119,419,318,2437,15,4309,23,4,0,7,0,30,266,52,44,16,0,370,66,14,7,76,0,160,34,12,5,8,0,48,64,8,3,8,0,77,192,48,24,109,0,370,1404,286,306,372,23,2387,77,32,27,219,2153,2509,9757,3536,2795,21986,2564,40640
LGA51310,267,1620,1273,6024,38,9212,8,6,4,100,0,113,1545,83,117,73,5,1824,119,49,41,227,0,437,363,101,48,147,0,663,3551,1376,1064,5287,61,11336,102,4,32,0,3,144,178,18,29,52,0,270,422,81,73,413,0,1001,201,85,49,243,0,578,53,13,11,16,0,93,645,51,54,38,0,785,1249,364,214,1935,16,3779,709,248,127,704,12,1802,77,4,7,5,0,99,29,3,6,9,0,50,61,14,20,58,0,151,19,5,3,14,0,37,38,8,7,3,0,54,140,59,64,29,0,297,197,37,35,58,0,327,97,11,12,13,0,132,4,0,0,0,0,3,907,347,207,1595,14,3064,53,8,12,18,0,83,318,43,43,6,0,407,112,3,9,37,0,160,86,7,10,13,0,112,102,9,15,10,0,133,155,30,26,79,0,291,2364,303,324,347,9,3353,52,11,5,41,787,902,11147,2853,2190,11759,927,28876
LGA51330,1341,2906,2415,11109,186,17950,32,87,65,1008,24,1207,16855,192,428,185,100,17759,178,48,37,172,3,429,726,202,153,387,7,1481,9063,2631,1986,9747,184,23601,1763,34,95,29,6,1927,292,26,28,88,0,432,726,132,116,746,21,1744,136,41,22,115,0,318,96,9,8,20,0,133,7628,112,68,59,25,7891,1860,485,340,2508,35,5238,1437,372,186,1157,21,3175,1436,12,32,3,0,1482,132,29,13,31,0,203,31,5,3,35,0,76,64,15,3,23,0,110,431,39,35,18,4,527,375,144,82,27,0,640,391,66,40,110,4,612,202,14,23,18,3,263,123,14,0,0,0,143,1930,569,426,2343,36,5303,76,9,10,10,0,103,616,57,63,15,3,754,284,16,18,33,3,358,778,7,8,11,0,813,764,34,41,4,3,849,292,79,48,144,0,569,19876,762,831,698,121,22292,733,38,26,129,3364,4294,61116,5276,4372,21076,4019,95860
LGA51400,178,815,672,5441,52,7164,0,36,27,426,11,509,88,5,6,18,0,115,16,8,9,33,0,65,266,66,56,134,0,526,2295,810,676,4514,62,8351,326,3,17,11,6,359,62,10,12,36,0,117,215,38,31,343,7,627,16,8,0,31,0,49,5,3,0,8,0,15,174,8,0,18,0,197,404,124,84,1007,8,1621,142,91,42,491,7,771,14,0,0,0,0,13,28,0,3,0,0,37,7,0,0,8,0,20,11,9,8,9,0,31,155,25,14,8,5,212,113,49,38,17,0,216,66,16,12,39,0,129,48,5,8,7,0,66,9,0,0,0,0,9,520,131,155,985,17,1807,10,0,5,4,0,11,404,22,16,5,0,451,32,6,0,22,0,63,4,0,0,0,0,5,23,0,4,3,0,28,66,25,15,37,0,144,824,110,109,171,6,1220,68,8,7,82,775,938,5077,1388,1157,9632,913,18175
LGA51470,3,17,10,190,0,219,0,0,0,18,3,17,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,4,39,20,20,122,4,204,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,23,0,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,6,5,33,0,48,5,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,8,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,51,0,66,0,0,0,0,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,19,3,0,0,0,81,82,92,32,25,314,85,552
