LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA51330,..,7209,7209,8959,894,9848,5575,500,6068,6191,273,6461,2457,118,2577,1212,62,1275,24392,9059,33444
LGA51400,..,1097,1097,2080,108,2185,1030,16,1052,1146,3,1152,526,0,525,207,0,207,4995,1224,6221
LGA51470,..,84,84,83,0,86,13,0,13,23,0,23,5,0,5,0,0,0,132,87,219
LGA51540,..,589,589,563,44,606,207,9,213,213,6,217,79,6,86,65,0,65,1117,648,1771
LGA51610,..,80,80,216,6,217,74,0,75,81,0,81,38,0,38,12,0,12,422,84,506
LGA51680,..,306,306,717,21,736,334,4,339,298,6,300,149,0,149,101,0,101,1605,324,1926
LGA51710,..,131,131,120,4,129,60,0,60,58,0,58,34,0,34,10,0,10,292,130,422
LGA51750,..,1403,1403,1390,114,1503,551,32,586,588,21,611,249,0,252,45,0,47,2821,1578,4399
LGA51820,..,10049,10049,13144,1022,14162,7480,273,7747,7703,76,7782,2680,21,2704,1053,5,1062,32070,11446,43510
LGA51860,..,9,9,36,0,35,18,0,18,13,0,13,14,0,14,26,0,26,114,9,122
LGA51890,..,1067,1067,1150,79,1223,425,9,434,415,0,415,190,0,188,82,0,82,2253,1149,3404
LGA51960,..,350,350,367,28,400,159,4,159,123,0,123,55,0,55,33,0,34,739,383,1126
LGA52030,..,135,135,192,3,191,34,0,34,36,0,36,6,0,6,8,0,8,280,138,418
LGA52100,..,126,126,152,4,157,39,0,39,31,0,31,35,0,35,7,0,7,262,131,395
LGA52170,..,782,782,993,73,1065,394,32,431,429,17,446,215,0,219,58,0,58,2085,913,2998
LGA52240,..,127,127,146,5,150,47,0,47,51,0,51,24,0,24,8,0,8,274,130,405
LGA52310,..,98,98,153,9,163,40,0,40,36,0,38,12,0,12,6,0,6,246,110,359
LGA52380,..,41,41,19,0,26,0,5,5,0,0,0,0,0,0,0,0,0,20,45,70
LGA52450,..,141,141,140,11,145,46,0,46,58,0,62,38,0,38,16,0,16,301,148,447
LGA52520,..,111,111,139,6,139,57,0,59,58,0,58,37,0,41,16,0,16,309,120,431
LGA52590,..,359,359,535,25,558,124,0,125,130,0,128,60,0,60,21,0,21,866,390,1253
LGA52660,..,1182,1182,1855,96,1947,831,10,835,820,7,828,362,0,362,154,0,154,4014,1291,5302
LGA52730,..,703,703,906,52,958,275,9,283,252,0,252,117,0,117,50,0,50,1594,765,2362
LGA52800,..,552,552,464,40,505,219,4,221,201,0,202,149,0,149,208,0,208,1241,599,1844
LGA52870,..,565,565,952,43,992,266,4,268,278,0,285,130,0,130,62,0,62,1691,616,2305
LGA52940,..,104,104,95,6,102,25,0,25,24,0,24,26,0,26,3,0,3,176,107,282
LGA53010,..,71,71,89,3,91,22,0,30,26,0,26,20,0,20,4,0,4,162,72,235
LGA53080,..,128,128,76,0,77,21,0,24,19,0,19,3,0,3,3,0,3,127,134,258
LGA53150,..,777,777,904,63,971,413,17,438,509,4,514,172,0,177,51,0,51,2058,860,2913
LGA53220,..,430,430,387,29,419,239,8,249,262,3,266,136,0,136,139,0,142,1166,477,1644
LGA53290,..,1461,1461,1704,121,1824,621,16,636,639,4,636,292,0,295,139,0,139,3389,1603,4990
LGA53360,..,282,282,350,37,390,138,21,158,167,12,181,72,9,79,16,4,21,744,360,1097
LGA53430,..,4380,4380,4209,467,4678,1724,169,1895,1524,73,1596,462,10,469,130,6,136,8042,5110,13148
LGA53570,..,539,539,808,59,871,231,7,239,197,8,199,103,3,100,72,0,75,1412,613,2026
LGA53640,..,115,115,152,8,163,50,0,50,69,0,69,29,0,29,14,0,14,312,124,437
LGA53710,..,122,122,151,4,155,38,0,38,33,0,33,31,0,31,6,0,6,253,134,383
LGA53780,..,9334,9334,11413,958,12369,7242,242,7487,7702,95,7798,3471,34,3507,2172,17,2184,31996,10678,42675
LGA53800,..,4020,4020,4757,336,5097,2041,54,2090,1866,4,1868,837,0,837,427,0,425,9920,4418,14338
LGA53920,..,246,246,155,14,167,134,4,137,103,3,104,79,0,79,168,0,170,642,262,908
LGA53990,..,2058,2058,3579,165,3745,1488,24,1510,1666,8,1671,740,3,745,337,10,345,7815,2265,10077
LGA54060,..,437,437,571,22,596,170,0,169,139,0,145,69,0,74,20,0,20,973,459,1437
LGA54130,..,140,140,149,3,156,33,0,33,58,0,58,35,0,35,7,0,7,283,142,424
LGA54170,..,10704,10704,19212,907,20119,9691,194,9890,11459,74,11530,4049,22,4070,1195,17,1210,45607,11914,57522
LGA54200,..,4623,4623,7062,386,7446,3370,59,3428,3535,15,3552,1554,5,1554,641,6,648,16165,5090,21248
LGA54280,..,2725,2725,2828,286,3113,1518,62,1578,1498,12,1517,696,9,702,348,3,355,6899,3089,9991
LGA54310,..,1360,1360,1630,151,1784,999,44,1041,1283,7,1289,597,0,600,225,3,230,4741,1571,6308
LGA54340,..,422,422,474,33,514,191,13,210,168,0,170,67,0,67,77,0,83,983,476,1456
LGA54410,..,143,143,163,11,169,56,0,52,35,0,35,14,0,14,14,0,14,281,155,436
LGA54480,..,52,52,43,4,49,19,0,19,34,0,34,15,0,15,0,0,0,111,53,174
LGA54550,..,251,251,237,11,247,81,0,77,91,0,90,48,0,53,21,0,21,467,264,737
LGA54620,..,99,99,117,3,124,27,0,31,30,0,30,12,0,12,9,0,9,202,106,297
LGA54690,..,56,56,54,4,55,14,0,14,15,0,15,13,0,13,4,0,4,94,62,157
LGA54760,..,73,73,102,6,111,28,0,28,30,0,30,25,0,25,7,0,7,197,74,270
LGA54830,..,3588,3588,4271,437,4706,2721,70,2788,2677,22,2695,1193,10,1200,679,0,681,11540,4123,15666
LGA54900,..,133,133,160,6,167,43,0,47,64,0,64,35,0,35,9,0,9,320,148,469
LGA54970,..,64,64,52,0,53,18,0,18,17,0,17,10,0,10,15,0,15,115,67,183
LGA55040,..,99,99,95,4,100,38,0,38,36,0,36,25,0,25,13,0,13,209,107,314
LGA55110,..,9909,9909,12919,690,13616,4685,104,4789,4360,21,4382,1822,16,1832,828,0,830,24619,10742,35358
LGA55180,..,1118,1118,1291,58,1357,408,8,412,375,0,377,180,0,180,73,5,79,2322,1192,3514
LGA55250,..,103,103,75,5,79,37,0,41,24,0,22,14,0,14,19,0,19,170,108,276
LGA55320,..,9375,9375,12269,659,12927,5920,244,6162,6725,90,6814,2466,39,2506,772,16,786,28152,10413,38566
LGA55390,..,31,31,19,0,15,7,0,10,6,0,6,3,0,3,3,0,3,35,35,66
LGA55460,..,359,359,404,24,426,142,3,142,119,0,119,65,0,65,25,0,25,759,391,1151
LGA55530,..,42,42,52,0,52,18,0,18,20,0,20,12,0,12,0,0,0,101,42,147
LGA55600,..,261,261,282,13,296,95,6,96,107,0,107,48,0,48,18,0,18,545,277,824
LGA55670,..,73,73,77,7,78,22,0,22,19,0,19,8,0,8,9,0,9,134,78,214
LGA55740,..,1147,1147,983,89,1071,452,23,473,531,12,541,237,6,238,51,0,51,2247,1272,3520
LGA55810,..,49,49,40,10,49,10,0,10,11,0,11,3,0,3,0,0,0,71,57,128
LGA55880,..,60,60,57,5,57,17,0,17,26,0,26,14,0,14,4,0,4,115,61,174
LGA55950,..,62,62,84,0,87,21,0,21,25,0,25,8,0,8,10,0,10,148,68,215
LGA56090,..,2792,2792,4819,214,5035,2162,32,2195,2166,3,2172,957,0,962,385,0,389,10489,3055,13541
LGA56160,..,10,10,10,0,10,5,0,5,3,0,3,5,0,5,6,0,6,28,10,32
LGA56230,..,1627,1627,2490,115,2604,890,12,906,876,9,885,397,0,399,222,0,222,4878,1760,6641
LGA56300,..,187,187,262,18,276,68,0,68,45,0,45,19,0,19,11,0,11,403,201,604
LGA56370,..,69,69,104,4,110,34,0,34,28,0,28,20,0,20,4,0,4,189,75,262
LGA56460,..,629,629,606,39,643,216,6,229,181,3,184,96,0,98,36,0,36,1143,683,1819
LGA56580,..,1480,1480,2302,119,2415,1093,64,1156,1571,59,1629,724,17,742,174,4,179,5865,1736,7602
LGA56620,..,83,83,57,5,63,50,0,50,40,0,40,39,0,39,68,0,68,253,86,340
LGA56730,..,1181,1181,1415,91,1510,511,14,523,477,3,480,227,0,227,148,0,148,2777,1294,4070
LGA56790,..,371,371,517,19,537,105,0,105,97,0,97,52,0,52,28,0,28,806,389,1191
LGA56860,..,31,31,36,0,36,13,0,13,5,0,5,0,0,0,4,0,4,61,31,93
LGA56930,..,115,115,173,4,173,84,0,84,78,0,80,44,0,44,26,0,26,404,118,523
LGA57000,..,46,46,56,3,56,11,0,11,18,0,18,12,0,12,8,0,8,93,48,139
LGA57080,..,5303,5303,4099,871,4969,1109,246,1359,482,55,535,121,9,132,30,0,33,5846,6481,12329
LGA57140,..,151,151,162,3,169,47,0,47,33,0,33,19,0,19,11,0,11,279,155,432
LGA57210,..,550,550,785,37,830,251,6,259,201,4,201,97,0,97,66,0,63,1403,601,2001
LGA57280,..,1264,1264,1311,136,1452,758,20,779,756,6,763,390,0,391,224,0,224,3443,1427,4872
LGA57350,..,101,101,133,6,139,17,0,17,29,0,29,19,0,19,8,0,8,211,106,313
LGA57420,..,265,265,294,18,306,81,0,84,76,0,76,42,0,42,13,0,13,507,277,786
LGA57490,..,11283,11283,14792,980,15771,7941,155,8098,8045,30,8077,3527,11,3540,1656,0,1660,35958,12471,48428
LGA57630,..,22,22,16,0,15,0,0,0,0,0,0,0,0,0,0,0,0,16,27,43
LGA57700,..,1542,1542,3038,172,3205,1785,25,1811,2054,5,2058,1002,5,1002,592,0,592,8477,1734,10211
LGA57770,..,137,137,124,14,145,31,0,31,37,0,37,6,0,6,11,0,11,213,153,360
LGA57840,..,5651,5651,5735,626,6357,2284,237,2523,2176,60,2232,700,19,719,200,9,209,11092,6598,17690
LGA57910,..,27703,27703,27045,2757,29800,13065,833,13896,12728,250,12983,4183,61,4249,1651,28,1687,58676,31645,90318
LGA57980,..,2850,2850,2267,219,2482,888,62,948,897,23,918,277,3,280,63,0,63,4381,3157,7534
LGA58050,..,11157,11157,15001,1143,16142,9323,210,9538,9417,59,9473,3970,22,3994,2347,9,2360,40062,12606,52666
LGA58190,..,53,53,36,0,36,20,0,20,16,0,16,9,0,9,4,0,4,91,51,136
LGA58260,..,73,73,71,0,71,21,0,21,31,0,31,8,0,8,8,0,8,136,73,205
LGA58330,..,468,468,742,49,790,202,0,209,149,0,147,85,0,85,44,0,44,1229,525,1749
LGA58400,..,56,56,45,0,48,14,0,14,5,0,5,6,0,6,4,0,4,70,60,131
LGA58470,..,19,19,16,6,13,4,0,4,8,0,8,8,0,8,6,0,6,38,20,57
LGA58510,..,5323,5323,4605,709,5308,2024,288,2316,1669,96,1760,441,29,476,163,14,184,8898,6466,15367
LGA58540,..,82,82,119,4,120,22,0,22,43,0,43,16,0,16,6,0,6,203,89,288
LGA58570,..,5244,5244,4752,776,5520,1820,348,2165,1810,105,1916,474,18,492,102,15,113,8952,6501,15450
LGA58610,..,242,242,260,16,279,57,0,55,56,0,56,31,0,31,24,0,24,430,260,684
LGA58680,..,41,41,85,4,89,17,0,17,17,0,17,14,0,14,5,0,5,134,46,182
LGA58760,..,13627,13627,20272,1212,21480,12980,239,13217,14075,59,14132,5829,16,5850,2935,13,2946,56085,15162,71246
LGA58820,..,443,443,589,37,628,181,0,184,179,0,179,101,0,101,52,0,58,1101,481,1584
LGA58890,..,86,86,120,8,128,28,0,28,37,0,37,17,0,17,5,0,5,202,92,293
LGA59030,..,34,34,45,0,45,9,0,9,9,0,9,3,0,3,0,0,0,63,34,101
LGA59100,..,65,65,92,3,101,20,0,20,22,0,22,20,0,20,6,0,6,166,65,229
LGA59170,..,95,95,139,8,147,37,3,38,48,0,48,26,0,26,8,0,8,260,102,365
LGA59250,..,36,36,33,3,32,7,0,7,0,0,0,10,0,10,5,0,5,56,34,84
LGA59310,..,179,179,186,13,199,49,0,49,54,0,54,31,0,31,12,0,12,334,188,521
LGA59320,..,44,44,54,7,61,17,0,17,28,0,28,12,0,12,6,0,6,119,45,161
LGA59330,..,99,99,60,9,68,23,0,23,14,0,14,6,0,6,4,0,4,107,106,209
LGA59340,..,548,548,594,57,651,316,13,330,268,5,277,157,4,159,148,5,148,1488,632,2122
LGA59350,..,20,20,15,0,15,7,0,7,5,0,5,0,0,0,9,0,9,29,20,44
LGA59360,..,159,159,134,8,142,24,0,31,39,0,41,10,0,10,4,0,4,210,169,377
LGA59370,..,469,469,568,32,593,149,0,150,112,0,112,59,0,59,31,0,31,923,499,1420
LGA59499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA59799,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
