LGA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
LGA50840,0,0,0,0,107,107,0,0,0,0,81,81,64,5,0,0,120,191,152,14,14,0,73,253,198,13,35,0,102,346,258,21,62,9,74,424,323,12,75,14,37,465,144,9,28,24,12,216,26,0,0,15,4,43,1171,71,213,63,614,2132,0,0,0,0,139,139,5,5,0,0,75,79,81,4,0,0,100,191,171,13,20,9,75,285,205,18,53,9,71,351,285,25,87,17,59,472,298,11,79,48,16,452,102,6,25,66,9,206,10,0,4,41,4,57,1148,89,261,192,544,2237,0,0,0,0,250,250,5,5,0,0,158,160,150,8,0,0,220,381,321,27,36,9,149,537,401,30,86,9,169,699,537,50,147,29,135,896,618,31,157,62,53,922,252,10,49,93,15,426,34,0,8,49,7,104,2317,160,479,255,1159,4367
LGA50910,0,0,0,0,15,15,0,0,0,0,21,21,13,0,0,0,17,30,25,4,4,0,21,50,37,10,4,0,20,73,44,5,14,0,14,75,46,8,12,3,11,76,28,0,4,5,0,40,9,0,0,11,0,19,195,17,32,25,121,392,0,0,0,0,19,19,0,0,0,0,13,17,16,5,0,0,17,41,32,4,4,0,13,51,45,0,6,0,9,65,40,8,5,4,5,53,44,0,8,0,3,57,22,0,0,20,0,51,5,0,0,15,0,22,207,13,27,45,88,383,0,0,0,0,29,29,0,0,0,0,39,35,30,5,0,0,35,67,62,3,5,0,37,102,81,10,12,0,28,137,83,6,21,6,13,134,86,9,18,5,11,133,51,0,4,28,3,90,12,0,0,26,4,41,402,33,64,66,206,770
LGA50980,0,0,0,0,459,459,18,0,0,0,435,452,261,16,11,0,972,1265,576,35,63,3,556,1231,585,58,112,16,422,1194,425,43,148,29,263,903,278,35,95,21,82,512,87,0,24,21,16,149,18,5,3,10,6,37,2245,194,451,94,3214,6206,0,0,0,0,497,503,18,0,0,0,443,464,355,28,25,5,1214,1620,650,58,69,15,676,1469,527,53,138,15,424,1159,409,64,185,63,212,928,189,18,91,70,66,438,55,6,23,49,15,140,0,4,8,22,0,33,2209,233,542,232,3550,6766,0,0,0,0,958,961,41,0,0,0,874,917,619,43,34,4,2188,2890,1230,96,129,23,1232,2707,1112,111,254,31,849,2353,833,104,328,86,473,1828,462,55,184,93,151,953,142,10,45,63,35,289,21,3,6,25,13,75,4458,432,993,326,6759,12969
LGA51080,0,0,0,0,22,22,0,0,0,0,22,25,15,0,0,0,38,54,42,3,4,0,15,58,42,4,6,5,20,69,53,7,7,0,18,95,35,12,9,0,6,59,17,0,0,5,0,31,0,0,0,0,0,4,208,26,33,11,143,419,0,0,0,0,30,29,3,0,0,0,11,20,23,0,0,0,33,57,43,0,0,0,20,70,41,3,7,0,4,64,57,9,11,3,7,82,26,0,9,7,0,47,14,0,0,11,3,29,4,0,0,3,0,9,204,12,35,29,119,403,0,0,0,0,53,55,7,0,0,0,39,44,37,0,0,0,71,114,83,9,0,0,35,125,79,11,12,5,23,129,112,14,19,3,26,179,61,15,22,7,6,104,31,0,4,16,3,52,6,0,0,4,0,13,409,43,63,38,264,816
LGA51120,0,0,0,0,20,20,0,0,0,0,31,31,17,0,0,0,29,48,41,0,4,0,8,58,39,0,8,0,18,59,46,6,8,0,12,70,63,0,12,10,10,90,19,0,4,3,0,27,4,0,0,3,0,8,238,10,29,11,122,413,0,0,0,0,17,17,0,0,0,0,19,17,19,0,0,0,19,37,40,0,0,0,9,51,45,0,8,0,11,59,49,5,9,3,3,77,41,4,9,8,0,68,28,0,7,10,0,46,0,0,5,12,0,12,226,11,35,35,84,388,0,0,0,0,40,40,0,0,0,0,47,45,39,0,0,0,51,88,82,0,5,0,23,111,82,0,12,0,27,123,97,8,20,3,14,143,107,5,22,16,9,155,44,0,7,15,0,72,7,0,5,11,0,26,460,22,66,48,205,798
LGA51190,0,0,0,0,861,864,27,5,0,0,858,892,492,46,26,0,1593,2146,964,107,121,6,845,2045,1034,151,293,8,607,2097,1192,129,439,43,345,2138,1195,107,341,82,124,1847,704,36,119,112,25,997,197,8,20,101,13,344,5807,584,1361,355,5265,13376,0,0,0,0,895,898,36,0,0,0,857,892,613,74,57,5,1315,2067,1002,141,156,17,686,2009,1035,185,414,54,506,2198,1228,118,602,110,240,2299,1101,86,437,294,104,2025,502,21,159,443,28,1158,112,10,35,454,9,622,5631,634,1868,1388,4635,14159,0,0,0,0,1753,1764,61,6,0,3,1709,1785,1096,122,75,5,2906,4214,1967,248,286,23,1530,4053,2069,333,709,68,1110,4290,2418,246,1034,148,583,4440,2303,191,780,374,229,3875,1205,56,280,559,51,2158,310,20,58,560,27,968,11441,1219,3227,1744,9905,27536
LGA51260,5,0,0,0,1186,1192,5,5,0,0,729,739,542,16,26,0,1265,1851,1437,91,118,0,763,2408,1650,167,283,13,540,2649,1679,108,372,36,326,2518,1984,72,380,96,135,2673,1095,32,148,138,31,1447,238,4,34,129,3,404,8627,492,1352,418,4979,15871,0,0,0,0,1079,1079,16,3,0,0,633,653,723,46,42,4,1151,1965,1676,152,201,16,713,2760,1676,183,433,49,519,2854,1799,119,544,114,269,2837,1862,69,504,292,112,2844,817,19,177,462,42,1510,136,4,38,454,17,645,8706,590,1938,1386,4536,17146,7,0,0,5,2263,2269,28,7,0,0,1362,1394,1260,65,67,4,2418,3812,3114,242,321,17,1478,5162,3317,350,719,60,1062,5504,3478,227,909,151,594,5355,3851,135,884,393,250,5509,1909,53,328,602,75,2960,377,10,74,574,14,1045,17333,1083,3290,1808,9509,33019
LGA51310,0,0,0,0,1069,1069,8,0,0,0,719,729,297,6,14,0,1056,1371,1231,42,64,3,402,1749,1690,44,132,5,263,2138,1316,44,163,14,202,1746,968,19,131,39,103,1264,573,12,67,57,48,749,214,7,18,92,13,345,6302,179,581,210,3876,11155,0,0,0,0,909,914,16,0,0,0,726,742,462,24,22,6,953,1462,1495,53,84,5,353,1993,1688,81,191,22,276,2259,1283,64,242,82,183,1857,867,31,221,127,108,1355,455,14,83,254,58,861,131,4,29,382,70,621,6393,274,869,880,3647,12062,0,0,0,0,1977,1984,18,0,0,0,1448,1472,760,33,33,6,2009,2837,2721,102,147,11,760,3743,3374,129,321,26,538,4391,2609,110,406,97,383,3602,1837,47,349,163,214,2616,1025,23,141,311,101,1608,343,16,46,477,86,969,12691,450,1455,1089,7520,23216
LGA51330,0,0,0,0,2990,2996,99,8,0,3,4068,4176,2645,65,104,11,4978,7804,4774,190,283,9,1612,6867,4324,205,462,30,861,5879,3524,154,552,72,572,4867,2880,111,465,134,221,3817,1522,48,179,154,79,1987,399,9,29,182,15,631,20167,783,2073,596,15404,39025,4,0,0,7,2932,2937,260,13,0,0,3315,3597,3398,130,124,7,3420,7085,5149,262,444,40,1269,7168,4139,273,654,97,697,5867,3484,190,836,285,458,5256,2612,135,735,582,209,4274,1066,40,304,812,86,2310,195,3,54,682,22,959,20314,1048,3157,2508,12409,39434,6,0,0,5,5920,5932,358,16,4,3,7383,7768,6040,198,230,19,8399,14885,9925,456,729,45,2879,14030,8464,480,1117,128,1562,11751,7005,342,1388,354,1034,10116,5501,244,1197,717,430,8086,2585,90,483,972,169,4299,592,13,86,867,36,1591,40478,1834,5231,3101,27814,78459
LGA51400,0,0,0,0,693,693,17,0,0,0,438,452,298,8,8,0,507,821,716,50,61,0,289,1117,909,68,129,9,202,1318,851,45,160,19,95,1165,640,22,123,36,37,861,261,5,43,31,8,353,38,0,0,13,0,56,3730,196,527,112,2270,6833,3,0,0,0,683,689,25,0,0,0,424,449,432,30,31,5,524,1022,816,69,109,6,305,1308,968,84,145,15,192,1409,755,67,216,47,82,1162,568,25,131,91,19,831,174,7,43,121,18,356,17,0,7,53,5,82,3757,287,675,333,2257,7313,9,0,0,0,1376,1385,40,0,0,0,862,903,731,36,37,4,1036,1842,1531,119,170,4,597,2425,1877,155,279,22,395,2727,1604,112,372,68,181,2332,1205,49,253,129,56,1692,434,5,85,150,22,701,56,0,8,62,8,136,7483,483,1205,450,4526,14148
LGA51470,0,0,0,0,11,11,0,0,0,0,7,7,9,0,0,0,14,22,29,0,0,0,14,50,22,3,4,0,8,41,28,6,4,0,6,36,27,4,13,0,9,57,10,0,9,0,3,18,5,0,0,0,0,3,124,20,32,0,76,253,0,0,0,0,0,0,0,0,0,0,18,18,15,5,5,0,20,37,25,0,4,0,5,43,16,3,3,0,3,28,29,4,9,0,4,46,25,0,3,4,0,35,10,0,4,8,0,13,0,0,0,6,0,4,116,8,25,11,60,218,0,0,0,0,15,15,0,0,0,0,29,29,16,3,5,0,36,62,59,3,3,0,25,95,39,6,6,0,11,64,56,3,17,6,10,82,52,4,18,4,10,86,15,0,8,7,3,33,9,0,0,6,0,11,241,25,56,15,134,473
LGA51540,0,0,0,0,141,143,9,0,0,0,140,147,81,9,11,0,251,353,136,18,11,0,133,298,180,20,46,5,154,404,198,21,54,7,118,391,164,22,63,14,62,323,67,9,22,16,15,130,17,0,0,11,3,29,848,102,208,49,1018,2216,0,0,0,0,109,111,0,0,0,0,161,162,108,6,6,0,247,363,166,18,23,3,113,318,169,20,61,13,101,355,208,21,40,23,69,367,119,8,36,40,29,237,42,0,10,45,7,114,9,0,3,26,0,40,819,81,184,152,827,2060,3,0,0,0,257,257,6,0,0,0,298,307,189,11,13,0,501,715,300,41,32,5,240,617,345,47,105,9,254,767,401,45,92,29,180,753,277,28,103,54,89,556,114,5,37,61,20,241,21,0,3,35,7,70,1671,183,386,196,1843,4280
LGA51610,0,0,0,0,47,47,0,0,0,0,29,29,22,0,0,0,44,61,64,8,5,0,17,91,91,7,4,0,35,139,86,10,17,5,21,134,71,0,12,3,3,83,27,0,3,3,0,37,4,0,0,0,0,8,359,31,50,16,186,634,0,0,0,0,45,45,0,0,0,0,27,27,32,0,3,0,33,71,71,6,3,0,20,100,92,6,7,0,22,129,96,3,13,0,4,118,62,0,9,14,3,87,11,0,0,7,0,20,0,0,0,0,0,3,361,14,43,28,155,595,0,0,0,0,94,94,0,0,0,0,47,47,47,3,3,0,77,127,140,12,11,0,41,194,182,15,15,0,54,274,180,10,31,8,23,254,127,6,22,15,5,169,37,0,5,8,0,53,5,0,0,3,0,9,717,49,91,40,337,1226
