LGA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
LGA50840,22,23,33,23,39,76,21,131,10,380,20,53,59,38,39,54,14,51,0,332,20,33,23,18,40,80,32,119,7,380,17,63,61,38,29,17,4,17,8,253,6,42,44,17,46,37,3,7,0,197,3,49,33,15,20,14,7,10,0,151,27,12,17,7,30,35,13,118,8,268,10,74,36,30,34,27,15,30,8,264,0,4,3,0,0,3,0,6,14,41,138,361,298,183,280,341,106,494,55,2261
LGA50910,5,11,8,9,11,11,11,73,0,126,4,5,0,0,5,8,0,4,0,33,3,0,4,0,4,4,5,14,0,33,3,3,14,0,5,6,5,0,0,37,0,13,3,3,0,10,5,5,0,38,0,4,3,0,3,5,0,3,0,21,10,10,0,0,5,7,4,7,4,29,4,11,7,6,3,10,5,10,0,61,0,0,0,0,0,0,0,0,4,6,27,53,46,23,41,54,25,116,6,395
LGA50980,45,37,55,49,211,237,101,344,9,1088,131,115,149,162,437,389,114,290,28,1808,40,58,51,53,168,239,96,272,25,1004,78,137,115,129,273,200,58,136,21,1139,40,92,94,102,338,177,40,99,13,997,15,150,59,39,117,89,28,54,11,552,25,28,27,21,47,64,23,168,8,401,28,136,85,55,103,116,42,138,18,725,6,8,8,7,16,23,0,28,73,174,410,754,643,612,1713,1529,507,1514,195,7893
LGA51080,13,14,10,5,15,31,23,90,0,210,4,3,12,6,0,5,3,11,0,46,0,4,5,4,5,11,4,7,0,37,3,6,11,4,4,4,0,0,0,33,0,16,10,0,7,0,3,0,0,36,0,0,0,0,0,0,0,0,0,8,4,0,3,0,5,10,8,10,0,30,4,10,9,7,4,18,8,7,0,61,0,0,0,0,0,0,0,0,5,10,24,56,57,33,37,81,48,130,10,466
LGA51120,7,14,5,4,8,20,12,85,0,151,0,3,3,0,0,3,4,7,0,34,0,3,7,0,8,13,0,14,0,44,0,3,4,3,5,4,4,9,0,37,0,3,8,3,3,7,4,5,0,34,0,3,0,0,0,3,5,3,0,14,0,0,7,0,6,10,0,21,0,49,0,11,0,7,3,8,0,5,0,44,0,0,0,0,0,0,0,3,0,0,12,43,40,22,36,71,38,144,8,411
LGA51190,44,64,88,68,240,296,138,374,10,1322,126,279,269,255,506,568,184,328,14,2525,139,186,144,104,449,591,229,598,37,2482,94,396,387,251,314,163,46,107,22,1779,71,231,237,164,426,263,53,116,4,1582,56,401,219,138,208,133,35,80,17,1281,104,89,94,55,157,241,149,463,19,1373,109,488,292,172,324,292,112,237,39,2063,12,18,12,12,32,42,9,30,60,236,764,2145,1734,1213,2667,2583,971,2343,222,14644
LGA51260,132,188,199,155,345,527,242,681,25,2498,226,420,411,365,495,610,214,403,20,3157,220,235,267,226,585,819,270,736,37,3399,140,634,468,307,311,249,68,116,29,2326,101,387,370,192,371,261,80,103,11,1874,80,593,332,179,263,196,48,99,17,1805,151,107,97,69,113,136,84,492,17,1277,122,680,405,219,276,255,91,224,51,2326,21,49,25,22,30,46,9,44,80,309,1195,3299,2570,1728,2784,3096,1102,2895,283,18958
LGA51310,71,166,205,175,323,704,315,911,23,2887,244,718,772,553,908,1560,505,1146,33,6444,34,94,87,43,156,215,80,178,5,904,58,493,254,108,109,89,32,52,24,1225,53,374,274,132,314,257,70,96,12,1581,24,438,142,48,91,87,29,80,8,948,21,55,25,16,36,38,8,51,5,253,26,268,76,35,42,39,7,32,8,547,13,22,23,14,25,35,8,26,36,200,542,2634,1861,1129,2007,3031,1059,2580,149,14988
LGA51330,107,246,328,239,945,1243,454,1043,34,4632,417,1199,1274,966,3020,3420,781,1275,86,12439,197,548,647,358,1464,1492,464,1103,110,6382,240,1701,1357,747,875,596,181,311,89,6100,201,787,802,455,1590,1180,228,348,60,5659,125,1403,764,290,509,371,81,167,41,3757,110,396,450,233,685,655,223,594,82,3434,142,1411,994,408,689,513,151,391,99,4788,28,84,85,40,113,135,33,74,262,854,1567,7786,6696,3741,9886,9603,2599,5303,862,48045
LGA51400,33,51,60,52,124,211,118,305,6,955,88,171,198,169,308,355,115,231,14,1641,98,99,89,57,224,409,156,478,20,1627,55,233,228,161,162,132,28,73,21,1095,49,150,163,99,244,175,38,77,4,1006,28,263,129,63,105,69,14,31,5,717,70,49,44,29,88,143,69,332,21,846,66,253,135,87,139,149,44,145,23,1041,13,11,6,9,14,19,3,16,35,127,497,1281,1051,724,1415,1667,593,1695,145,9068
LGA51470,0,7,3,3,6,9,5,37,0,69,4,7,6,0,0,3,0,3,0,20,0,4,0,0,9,4,0,10,0,31,0,3,5,0,0,3,0,0,0,19,4,0,3,3,6,4,0,0,0,25,0,0,3,0,4,8,0,5,0,16,0,3,3,0,3,0,5,12,0,29,0,3,4,7,4,5,4,9,0,41,0,0,0,0,0,0,0,0,0,0,13,26,24,15,33,43,19,77,0,252
LGA51540,18,21,16,10,46,105,38,173,11,448,17,18,19,16,81,73,19,33,0,282,14,14,12,3,44,84,23,67,10,275,22,23,33,33,60,61,17,25,8,278,17,28,26,23,91,50,11,24,3,269,8,42,32,21,32,23,15,12,6,186,20,12,14,10,11,22,15,56,3,170,13,59,44,38,66,42,15,44,7,328,0,8,3,5,4,3,0,9,18,52,127,228,203,155,443,464,151,440,75,2279
LGA51610,3,10,13,6,14,17,14,85,0,161,7,6,18,9,20,15,3,18,0,103,5,10,4,5,21,24,9,43,3,125,8,12,11,5,12,10,0,7,0,62,3,12,12,9,26,22,12,4,0,97,0,18,4,4,6,5,4,0,0,46,3,4,12,4,5,3,3,37,0,82,6,17,6,3,4,15,0,11,0,63,0,0,0,0,7,0,0,0,0,7,44,96,83,39,110,112,49,209,12,747
LGA51680,17,27,39,24,63,89,31,150,9,441,17,29,42,23,69,72,21,48,0,328,38,31,41,36,91,142,45,176,20,596,17,58,48,28,44,46,16,22,5,288,19,64,53,25,79,69,23,32,8,375,8,58,22,15,25,14,3,11,4,171,28,20,23,10,32,56,27,135,7,335,8,81,43,25,39,47,14,42,8,306,0,6,0,4,4,4,4,7,16,51,155,366,314,194,449,536,181,617,79,2893
LGA51710,4,5,0,0,23,30,15,24,4,100,3,3,4,8,30,26,8,12,0,97,10,8,0,8,42,27,17,26,5,143,3,30,12,5,12,27,3,24,0,123,0,16,5,0,34,18,3,7,3,92,0,6,3,0,5,0,0,3,0,14,5,6,0,0,22,11,10,21,0,80,5,25,6,4,37,19,0,9,4,105,0,4,0,0,3,0,0,0,10,16,27,105,38,30,207,161,45,130,28,771
LGA51750,28,83,78,71,108,229,114,312,5,1027,86,279,238,174,324,568,203,437,16,2324,13,33,25,16,43,60,18,38,0,259,26,240,99,49,38,37,9,21,9,533,22,125,85,45,104,96,20,31,4,535,17,128,69,27,33,50,11,31,4,371,3,30,10,3,9,9,7,15,0,78,11,82,23,7,14,17,3,19,0,183,0,14,11,3,6,13,0,8,17,74,214,1006,642,406,685,1078,389,903,53,5382
LGA51820,219,321,366,338,1377,2016,728,1794,31,7197,698,1348,1481,1197,3049,3620,987,1700,90,14180,416,690,609,525,1991,2836,960,2334,144,10505,338,1759,1449,874,1181,872,230,439,86,7236,343,1064,1209,761,2222,1698,384,572,51,8308,149,1701,874,394,689,566,152,254,54,4847,239,308,276,218,749,816,366,1133,72,4178,234,1474,817,431,783,718,262,620,91,5419,32,95,69,45,168,207,36,141,247,1039,2676,8762,7156,4785,12219,13346,4103,8987,866,62912
LGA51860,0,0,0,3,10,12,7,12,0,37,0,0,4,0,7,7,3,7,0,34,0,9,4,0,9,7,3,9,0,40,0,11,6,7,8,0,0,9,0,39,0,3,0,0,7,5,0,8,0,21,0,5,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,6,0,11,0,12,3,3,5,10,0,13,0,46,0,0,0,0,0,0,0,0,0,0,3,47,17,18,47,42,12,57,0,239
LGA51890,14,23,13,14,26,38,23,69,7,230,18,33,40,23,53,62,16,48,0,296,45,51,57,20,116,201,79,200,16,790,19,100,100,44,43,35,12,25,11,397,18,57,52,23,71,52,7,10,9,291,10,93,47,21,36,15,11,13,3,252,42,25,21,11,48,200,70,132,11,560,24,155,80,44,57,68,26,60,13,529,3,9,0,3,12,9,3,7,30,79,209,541,415,210,455,677,242,571,97,3420
LGA51960,4,5,3,3,11,18,10,31,0,82,3,11,7,5,19,18,10,37,0,114,16,16,12,10,16,30,31,160,8,291,11,15,13,12,21,23,0,16,10,109,3,23,14,8,27,22,4,20,0,127,4,22,6,9,16,3,0,6,0,69,34,21,21,9,24,33,38,211,17,405,3,27,19,6,10,17,11,28,8,129,4,4,5,0,3,0,0,5,10,33,86,138,102,62,147,166,102,510,51,1359
LGA52030,10,0,6,5,5,11,8,79,0,132,4,3,0,0,8,4,0,11,0,31,0,0,3,6,3,13,3,18,0,50,0,7,3,0,4,7,0,0,0,22,6,14,5,9,8,7,0,3,0,45,0,3,5,0,0,3,0,0,0,17,9,0,3,4,0,16,10,22,0,60,0,12,15,3,5,3,0,9,0,54,0,0,0,0,0,0,0,4,5,7,28,51,44,31,27,61,21,153,13,426
LGA52100,3,16,14,7,5,38,16,97,0,188,0,7,3,7,3,6,0,10,0,40,0,0,3,4,6,18,3,13,0,51,0,10,7,7,6,5,0,3,0,43,0,5,9,11,8,13,0,8,0,57,3,3,4,4,10,5,0,7,0,33,0,0,0,3,0,12,6,15,0,44,6,16,8,3,4,11,5,8,0,62,0,0,0,0,0,0,0,0,5,11,25,60,46,36,48,116,32,156,13,527
LGA52170,31,72,73,58,75,176,71,265,10,822,76,228,209,154,203,432,146,391,12,1844,9,24,18,11,33,47,19,35,4,189,25,178,53,26,21,27,6,15,7,364,15,112,70,17,42,61,16,30,9,374,9,108,38,21,22,34,12,36,3,282,9,16,3,6,3,3,0,9,0,55,9,54,16,7,5,11,0,19,0,111,4,14,14,4,0,12,3,16,15,83,170,804,494,308,406,801,269,814,56,4120
LGA52240,7,9,11,14,9,46,14,99,6,218,4,5,3,0,7,5,4,0,0,31,0,9,0,0,4,8,0,10,0,32,5,9,9,6,6,5,0,4,0,36,5,16,9,3,0,10,0,4,0,41,0,4,4,0,0,0,0,0,0,8,7,6,3,6,5,9,3,11,0,46,0,11,12,10,3,25,17,15,0,95,4,0,0,6,0,0,0,0,5,15,30,65,47,39,44,112,40,143,12,525
LGA52310,5,0,8,6,4,26,15,47,3,108,3,4,4,3,3,11,0,6,0,42,4,5,10,0,4,14,0,9,0,46,0,8,8,8,7,0,3,4,5,34,0,13,15,7,7,4,0,3,0,50,0,3,3,3,0,3,0,0,0,26,0,0,3,0,3,4,3,16,0,35,4,10,13,12,5,17,8,16,0,75,0,0,0,0,0,0,0,3,0,3,16,41,66,30,40,79,27,102,11,419
LGA52380,0,0,0,0,0,3,0,6,0,15,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,6,0,19,0,21,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,3,5,0,0,0,4,0,26,0,43,0,6,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,6,4,15,4,0,9,16,3,61,3,111
LGA52450,8,11,14,6,10,19,14,80,0,148,6,6,3,4,8,17,4,11,0,48,4,8,7,3,18,13,15,25,0,86,4,11,10,4,11,5,0,3,0,50,0,18,14,3,11,3,0,4,0,58,0,13,10,3,3,5,3,8,0,43,5,5,4,0,8,8,7,17,0,52,4,15,13,3,8,14,8,15,0,80,0,0,8,0,0,3,0,0,4,11,33,90,67,22,68,87,49,160,9,580
LGA52520,3,15,9,12,12,28,21,137,6,239,3,18,3,0,4,30,5,15,0,79,3,3,0,3,9,19,9,32,0,80,0,8,5,5,0,3,0,0,0,31,3,15,12,10,6,18,9,5,0,75,0,4,6,3,3,8,5,0,0,33,3,11,0,0,4,3,6,32,0,63,4,14,13,0,13,3,8,7,0,63,0,0,0,0,0,0,0,4,3,10,16,83,45,40,55,118,73,233,10,671
LGA52590,16,16,20,11,31,53,19,154,6,330,15,23,21,14,29,50,12,26,6,186,8,20,19,12,35,35,28,63,3,229,3,29,28,14,12,18,3,0,8,115,12,43,27,14,23,29,5,18,0,155,6,25,20,5,7,9,3,3,0,91,22,16,14,3,14,9,14,87,6,187,18,59,33,13,28,23,9,54,5,254,0,4,0,0,0,0,0,5,6,25,103,240,192,90,177,232,96,410,37,1571
LGA52660,30,53,44,42,94,167,68,207,9,707,49,126,116,89,153,209,57,127,0,934,72,80,68,51,192,344,131,377,16,1330,47,176,165,125,113,76,19,49,12,793,45,133,148,75,195,138,36,50,8,832,41,215,143,59,92,58,20,30,6,655,79,40,38,28,87,140,91,299,17,816,40,193,112,55,122,122,63,124,17,844,8,12,3,3,16,26,9,15,18,117,407,1025,843,532,1060,1280,499,1283,102,7025
LGA52730,33,61,61,40,44,85,34,137,11,503,30,92,79,72,61,100,23,63,9,528,26,46,43,31,62,66,28,85,6,397,19,86,63,28,20,29,8,21,3,277,13,48,48,31,36,28,3,12,5,228,10,67,35,8,16,19,3,11,3,179,12,16,12,3,17,14,9,46,3,131,22,103,53,31,37,28,7,30,7,310,7,4,7,0,3,5,0,0,17,45,166,530,396,249,295,377,114,411,55,2592
LGA52800,8,11,8,0,47,54,28,68,0,236,19,31,29,23,103,116,45,89,6,462,8,18,14,13,43,42,13,39,5,202,29,33,46,39,101,103,27,54,3,435,18,15,22,14,72,34,11,29,3,215,7,13,9,3,18,19,5,11,0,83,8,14,5,7,12,11,3,46,0,95,10,23,27,16,26,45,5,52,5,207,9,5,0,0,4,7,0,4,29,64,114,167,158,110,423,419,145,387,58,2001
LGA52870,19,46,48,27,39,90,33,159,10,485,35,44,51,40,46,76,32,63,3,385,32,44,15,26,60,98,54,120,7,463,21,66,48,46,33,34,9,18,3,273,14,53,35,35,36,37,14,19,0,252,5,42,25,21,29,20,4,15,3,155,35,20,18,13,35,54,28,126,8,320,15,107,40,35,62,46,19,44,8,373,10,4,4,0,0,10,0,0,17,53,181,428,282,249,344,456,193,576,63,2774
LGA52940,4,10,14,5,0,14,10,70,0,129,0,11,4,7,0,5,0,0,0,23,0,0,0,3,0,8,0,8,5,31,6,5,7,3,7,0,0,3,0,28,0,11,5,5,3,8,0,3,0,29,0,0,0,0,0,0,0,0,0,6,0,0,4,3,3,7,0,9,0,31,0,5,10,4,5,3,3,9,0,35,0,0,0,0,0,0,0,4,0,0,11,44,29,27,19,49,16,104,9,318
LGA53010,6,11,7,3,9,27,7,66,0,127,4,5,5,0,6,4,0,4,0,27,0,5,4,3,3,6,0,7,0,33,3,11,0,0,5,3,0,4,0,27,3,6,5,4,0,0,0,3,0,26,0,6,0,0,3,6,0,0,0,11,0,3,0,0,3,5,3,4,0,13,0,8,6,0,0,5,6,12,0,41,0,0,0,0,0,3,0,0,0,4,19,47,33,15,26,58,18,94,3,312
LGA53080,4,0,0,0,0,4,3,15,0,38,0,0,0,0,12,8,0,3,7,35,5,0,3,0,4,3,5,9,0,33,6,0,6,4,0,7,5,7,0,34,0,4,4,4,4,4,0,0,0,25,0,3,0,4,10,0,0,0,0,21,3,0,0,0,3,8,0,15,0,30,0,8,3,0,0,7,3,19,4,41,0,0,0,0,0,0,0,0,0,0,15,28,21,16,35,33,17,76,12,262
LGA53150,25,50,40,49,82,187,85,258,3,772,67,189,198,154,209,317,115,241,7,1509,10,38,24,24,53,81,26,69,3,318,13,154,77,35,44,26,14,25,3,408,12,85,66,33,72,78,18,40,3,408,6,106,48,19,41,43,8,23,5,290,3,18,10,3,14,9,3,20,0,78,12,81,15,15,17,19,5,23,3,188,0,5,3,0,6,10,0,3,10,43,156,718,486,337,534,766,282,693,45,4016
LGA53220,15,15,4,3,31,35,25,168,7,313,40,47,26,15,68,78,64,180,7,528,93,36,44,18,79,113,127,848,13,1366,23,45,44,30,41,38,14,75,4,307,10,17,20,12,60,48,29,100,0,305,8,29,23,12,29,14,6,30,0,144,115,43,31,12,45,50,76,836,25,1239,42,52,25,18,39,37,27,310,14,562,12,3,0,0,3,8,5,41,24,97,354,285,212,126,397,427,376,2583,103,4859
LGA53290,63,97,72,49,103,225,96,444,14,1166,51,67,93,81,139,192,54,141,0,811,49,51,50,53,158,269,108,224,18,978,42,108,108,73,106,72,19,29,14,567,44,147,123,75,128,120,25,50,8,714,27,148,75,41,86,66,19,37,17,515,66,57,35,21,69,142,77,292,22,775,46,187,106,63,78,128,36,147,21,820,10,17,5,4,15,28,8,28,39,153,395,872,665,456,885,1239,443,1399,152,6504
LGA53360,15,10,14,13,19,57,26,72,3,226,25,23,27,18,35,64,17,52,0,256,14,17,15,10,56,112,24,67,4,322,14,29,31,39,42,40,11,26,4,231,12,36,29,19,47,29,16,16,0,198,8,43,11,10,18,20,3,7,6,131,7,3,4,0,13,10,4,30,0,76,14,40,30,29,37,41,6,32,10,236,4,0,3,0,4,5,0,8,13,43,107,204,169,135,267,386,109,308,49,1733
LGA53430,89,129,197,162,382,636,260,623,13,2481,329,736,796,582,971,1373,452,934,49,6213,81,187,167,132,290,426,164,366,15,1824,93,598,406,220,232,180,56,96,24,1907,59,244,236,143,357,272,66,129,6,1509,29,369,174,90,100,89,24,67,9,955,50,61,38,25,74,98,40,134,5,520,58,283,143,66,93,106,31,117,23,920,12,28,22,12,24,32,12,36,61,238,810,2626,2181,1422,2509,3223,1106,2500,196,16569
LGA53570,24,42,49,30,52,94,31,166,9,481,17,31,29,22,33,36,11,40,0,215,30,32,27,19,36,75,29,109,10,371,15,41,37,12,16,15,7,10,0,158,16,52,45,38,40,38,6,11,8,244,9,39,28,3,13,11,4,8,0,115,43,21,12,8,23,34,25,115,9,296,33,75,91,37,102,85,47,63,16,547,10,4,6,0,5,7,5,5,19,63,187,322,317,172,317,404,158,541,69,2487
LGA53640,5,10,11,10,12,32,16,110,3,208,0,10,5,6,8,10,8,3,0,44,0,8,5,5,4,23,9,28,0,81,6,6,9,4,3,0,0,3,0,21,4,16,3,3,7,11,0,4,0,49,6,7,5,0,6,0,0,4,0,26,5,8,3,0,4,12,4,20,0,57,0,22,10,0,12,18,8,18,0,99,6,0,0,0,0,0,0,4,3,10,23,87,58,27,53,109,49,188,6,610
LGA53710,4,12,17,4,6,20,7,60,0,129,0,7,3,6,5,16,4,3,0,44,4,3,13,5,5,17,5,15,0,62,4,7,3,5,5,9,0,0,0,41,0,9,13,0,7,15,0,0,0,49,0,0,7,0,0,0,4,0,0,17,0,7,0,4,6,11,5,16,0,52,3,8,12,0,4,10,0,14,0,50,0,0,0,0,0,0,0,0,7,8,20,56,63,31,41,84,25,116,9,440
LGA53780,117,243,268,246,1041,1340,513,1039,41,4848,335,871,929,775,2549,2704,547,992,109,9817,331,652,700,522,2230,2451,834,1925,172,9809,329,1629,1461,954,1321,810,224,453,116,7286,283,873,950,640,2222,1558,364,474,64,7434,171,1712,925,366,782,524,152,212,74,4916,226,488,535,371,1256,1288,471,1423,158,6217,231,1722,1116,595,1281,943,276,637,151,6947,35,110,70,50,204,165,38,118,322,1116,2060,8304,6954,4513,12877,11786,3423,7278,1198,58391
LGA53800,59,94,106,102,278,422,184,624,12,1878,192,314,306,291,612,642,229,429,18,3032,161,194,196,145,471,737,303,778,41,3012,119,471,430,321,398,342,114,194,38,2421,87,306,272,228,547,353,87,140,11,2036,56,514,280,156,270,173,64,88,19,1618,139,124,115,61,143,237,166,629,29,1645,107,543,297,192,236,256,62,298,52,2043,13,27,20,7,48,38,14,42,68,282,930,2574,2029,1503,2994,3195,1220,3228,292,17963
