LGA_CODE_2021,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
LGA50840,38,39,37,41,14,0,204,11,20,43,43,57,41,20,0,235,3,4,17,7,15,15,4,0,65,9,19,19,20,14,4,3,0,88,0,0,0,0,0,0,0,0,4,0,3,0,0,4,3,0,0,13,24,13,32,32,40,40,28,13,213,100,147,227,243,285,257,99,17,1373,6,11,11,11,10,20,4,0,74,0,5,5,4,5,9,0,0,31,12,67,62,84,107,115,38,3,489,15,26,18,22,34,23,13,5,148,8,24,26,22,23,17,8,0,131,10,22,41,41,50,58,16,0,248,16,23,36,52,64,69,15,0,269,21,25,51,60,65,71,29,3,326,21,22,47,51,68,54,24,0,290,5,11,20,12,29,23,11,0,107,9,28,27,21,17,18,3,0,128,4,0,0,0,3,0,0,0,3,0,3,4,9,6,7,3,0,30,41,30,56,78,81,84,56,13,453,171,287,408,479
LGA50910,8,11,3,0,0,0,41,0,6,6,6,3,6,0,0,25,0,0,4,0,0,0,3,0,12,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,10,8,5,3,0,0,38,20,33,41,39,29,24,13,0,195,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,8,9,14,8,3,0,49,0,0,0,4,4,4,0,0,13,7,9,3,9,3,5,3,0,29,7,9,7,3,0,3,3,0,25,4,4,6,5,3,3,4,0,36,3,11,10,16,10,6,6,0,59,0,10,9,7,3,6,0,0,30,0,3,5,6,0,0,3,0,13,0,0,0,8,5,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,12,16,10,13,14,0,3,89,31,54,69,71
LGA50980,217,144,94,33,7,0,771,38,140,154,107,91,37,8,0,569,7,50,47,23,16,3,3,0,152,28,92,60,51,28,7,0,0,265,0,0,0,0,0,0,0,0,0,0,10,18,8,10,5,0,0,55,170,305,215,209,142,67,22,8,1147,403,1275,1144,828,606,257,62,18,4590,14,53,48,34,13,4,0,0,168,23,20,29,9,4,0,0,0,79,84,257,234,212,144,81,20,4,1036,14,111,126,107,68,34,12,5,469,18,53,70,60,31,16,3,0,244,50,276,226,160,136,52,18,0,918,29,171,219,150,128,68,18,0,775,75,286,308,221,139,67,16,0,1113,48,207,206,146,130,60,11,0,820,15,73,72,40,22,16,3,0,245,37,126,103,101,43,10,0,0,419,4,0,0,0,0,0,0,0,8,0,24,37,25,20,16,4,0,122,357,547,412,437,320,151,55,19,2306,773,2194,2089,1703
LGA51080,10,7,3,0,0,0,34,0,0,0,4,4,4,0,0,16,0,0,0,0,0,0,0,0,7,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,8,9,17,4,6,0,63,25,39,45,37,50,27,6,4,232,0,3,3,0,0,0,0,0,8,0,4,0,0,0,0,0,0,4,6,5,10,6,13,10,0,0,49,0,3,5,3,4,0,3,0,18,3,15,18,10,7,6,0,0,62,3,9,7,4,15,5,0,0,36,5,4,10,9,13,0,0,0,43,6,14,7,8,8,4,0,0,47,0,4,0,7,4,5,0,0,22,0,0,0,0,0,0,0,0,7,0,0,3,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,21,14,15,18,24,12,9,0,119,38,70,74,73
LGA51120,3,7,7,0,0,0,30,0,4,3,5,0,4,0,0,24,0,0,0,6,0,0,0,0,7,0,6,3,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,4,4,9,15,14,9,5,69,17,26,36,41,44,32,22,10,220,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,14,14,11,15,5,0,0,68,0,3,3,3,4,4,0,0,16,0,3,6,0,0,3,0,0,26,0,5,0,0,4,4,0,5,30,0,7,16,8,10,8,4,0,49,5,8,7,12,7,6,3,0,49,0,8,3,5,3,3,0,0,30,0,0,4,5,0,0,0,0,9,0,6,4,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,14,7,16,22,28,31,23,6,147,35,53,74,75
LGA51190,325,278,276,149,52,16,1591,139,175,259,281,232,140,35,4,1270,45,56,40,32,25,16,9,5,235,84,160,121,113,76,58,21,3,631,8,4,0,3,3,0,0,0,25,10,11,21,19,20,10,3,4,88,135,178,147,135,143,160,125,116,1128,811,1511,1463,1422,1315,927,422,218,8091,23,72,57,64,55,47,15,0,331,30,63,44,40,31,14,6,5,223,191,464,497,452,501,406,209,57,2770,69,189,181,155,152,126,70,21,972,37,71,71,66,53,25,15,6,349,142,361,292,272,308,249,109,38,1770,76,192,238,315,300,234,102,27,1495,220,453,469,427,417,258,94,18,2365,191,254,333,344,306,187,57,15,1691,59,86,71,54,42,27,15,5,356,110,229,182,175,118,74,27,3,911,15,7,0,3,3,4,0,0,37,21,23,46,45,50,22,9,6,217,256,418,355,370,311,329,228,180,2447,1432,2886,2839,2784
LGA51260,459,438,346,249,93,34,2034,76,213,307,346,264,195,50,4,1461,41,84,113,85,78,46,23,8,479,77,177,191,182,109,76,20,9,841,6,6,0,0,0,3,0,0,18,0,9,22,28,23,12,5,11,108,131,168,174,143,175,192,180,101,1272,640,1499,2178,2078,1779,1402,666,238,10487,11,63,134,129,91,83,38,7,551,28,40,50,39,30,23,3,0,214,124,357,546,565,564,556,274,57,3042,90,279,271,266,247,226,99,28,1508,42,95,175,162,121,86,47,12,749,101,292,457,421,458,338,192,54,2318,50,214,426,431,388,401,157,26,2094,195,428,616,671,556,435,190,48,3149,106,278,384,428,336,276,91,10,1914,66,116,154,125,95,71,35,5,676,128,284,320,294,183,135,31,7,1377,12,9,0,0,0,6,4,0,37,13,21,52,59,40,28,13,9,236,264,369,431,406,373,375,325,160,2705,1225,2858,4012,3988
LGA51310,509,508,306,148,67,40,2002,81,207,337,326,228,141,71,31,1426,60,97,93,100,43,24,21,4,440,29,35,42,65,37,32,21,14,271,3,0,0,0,0,0,4,0,13,4,23,18,26,20,13,6,8,120,32,87,61,64,66,69,59,103,536,500,1328,1853,2031,1512,974,523,342,9064,96,135,200,238,229,137,74,18,1124,25,56,90,98,63,20,5,4,371,84,278,479,463,388,262,145,70,2173,29,104,144,131,124,80,46,20,676,10,29,51,52,34,13,26,9,215,109,442,548,696,564,313,182,96,2950,32,123,148,272,299,314,166,65,1430,211,561,908,1057,686,357,171,77,4027,132,341,505,525,376,244,115,51,2285,101,160,142,127,69,53,24,8,688,50,71,57,88,53,52,30,14,417,3,5,0,4,0,0,0,0,15,7,35,35,54,36,21,16,13,221,74,163,142,152,125,128,109,135,1031,961,2509,3460,3959
LGA51330,1716,1211,773,446,165,44,6397,308,687,860,701,492,321,109,15,3494,194,265,228,123,70,25,21,9,937,226,346,323,211,137,86,42,10,1382,15,9,7,5,4,0,0,4,48,28,73,93,57,46,36,8,5,342,308,484,362,246,209,187,200,111,2108,2496,6041,6093,4421,3166,2094,955,292,25562,291,530,590,479,340,213,74,13,2533,232,775,803,396,183,57,16,4,2466,600,2029,1898,1663,1317,1031,454,145,9144,176,424,383,285,269,217,113,43,1901,67,138,137,123,93,62,24,6,649,571,1531,1277,974,664,523,215,61,5822,203,528,610,669,711,554,270,49,3597,962,2733,2891,2063,1384,853,310,70,11269,545,1051,1174,975,721,505,207,24,5208,335,444,366,220,121,59,33,12,1584,393,746,617,354,248,139,63,15,2582,27,21,11,6,8,3,3,7,86,54,166,181,134,100,74,29,10,735,722,1162,845,636,510,343,346,185,4743,5185,12282,11775,8974
LGA51400,205,186,121,73,18,0,868,82,120,168,170,125,57,11,0,739,24,28,15,24,14,11,3,0,113,50,69,57,61,24,30,7,0,292,0,0,0,0,4,0,0,0,12,0,14,10,9,14,3,3,0,55,72,58,75,78,75,66,36,17,474,464,785,994,1009,735,422,129,32,4566,11,20,42,57,40,20,5,0,202,14,38,48,24,12,5,4,0,150,121,269,344,401,323,195,72,9,1733,36,98,94,109,109,65,17,0,518,21,41,61,61,47,25,7,0,258,87,174,275,230,227,122,40,6,1173,46,106,180,259,176,120,30,9,923,110,216,280,273,199,124,28,3,1242,111,156,198,223,157,87,15,0,947,42,34,21,31,18,11,6,0,176,55,90,82,82,48,43,11,0,413,7,4,0,3,5,0,0,0,17,4,21,23,35,22,10,3,0,109,148,113,169,203,157,136,75,23,1022,824,1373,1829,1984
LGA51470,5,3,3,0,0,0,31,0,8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,4,3,3,0,40,9,25,32,16,22,13,5,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,13,10,12,10,0,0,57,0,0,4,0,0,0,0,0,7,0,4,4,5,3,5,0,0,19,3,3,0,5,4,4,0,0,18,0,0,7,0,0,4,0,0,20,4,9,12,5,4,0,0,0,37,0,8,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,4,0,4,3,5,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,18,11,9,13,8,0,81,23,39,69,46
LGA51540,34,20,27,17,4,0,182,8,23,22,22,16,10,0,0,106,3,0,3,5,0,0,0,0,16,13,12,23,19,6,5,4,0,79,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,10,62,74,55,70,55,37,27,7,394,136,246,218,212,183,99,41,10,1151,7,16,13,8,0,3,0,0,56,4,8,7,0,5,3,0,0,22,23,67,58,64,66,55,12,6,337,8,19,21,28,18,20,5,0,124,4,12,18,18,9,10,0,0,67,10,34,22,31,42,20,4,0,171,11,25,34,50,37,14,4,0,187,25,61,55,42,38,24,8,0,260,11,41,31,28,19,18,6,0,151,3,8,6,4,6,0,0,0,22,21,26,29,28,18,9,0,0,132,0,0,0,0,0,0,0,0,0,3,10,3,10,7,4,0,0,44,145,181,125,154,121,87,52,12,883,277,512,429,457
LGA51610,19,15,9,4,0,0,64,0,6,3,10,9,3,0,0,32,0,0,0,0,0,0,0,0,0,7,3,9,6,4,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,11,4,16,17,15,9,6,0,85,25,54,86,85,70,43,7,0,377,0,0,0,4,3,0,0,0,12,0,3,0,0,0,4,0,0,6,7,29,27,34,29,18,8,0,148,0,5,9,7,8,6,0,0,41,0,3,5,9,7,3,7,0,41,3,12,9,26,19,9,5,0,77,0,10,16,22,11,14,5,0,75,7,10,20,21,9,12,0,0,86,0,11,8,14,5,8,5,0,51,0,0,3,3,0,0,0,0,6,8,7,12,3,12,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,21,9,38,44,34,22,3,0,173,50,104,156,192
LGA51680,58,55,63,27,9,0,275,18,17,43,54,35,13,3,0,179,4,3,8,12,3,3,0,0,40,12,17,26,28,15,13,3,0,121,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,18,33,24,20,47,58,34,17,3,239,124,187,261,315,283,141,72,15,1404,3,10,15,6,13,0,0,0,46,9,5,5,11,8,0,0,0,44,23,97,113,147,146,81,36,4,648,8,21,25,31,33,13,12,0,147,8,14,18,27,23,10,3,0,111,14,39,43,61,58,41,22,0,274,12,22,38,48,56,26,14,0,214,20,51,74,79,93,42,18,0,371,24,17,59,63,44,18,7,0,230,9,11,8,15,3,9,6,5,58,19,25,35,40,15,13,8,0,158,0,0,0,0,0,0,0,0,0,4,5,5,9,5,7,3,0,42,69,59,53,111,123,69,42,9,539,226,370,498,650
LGA51710,24,11,12,0,0,0,68,4,11,9,9,5,0,0,0,36,0,3,0,0,3,0,0,0,8,9,4,4,4,4,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,27,23,14,22,4,4,0,96,24,79,93,68,50,12,4,0,338,0,8,6,5,0,0,0,0,25,0,0,8,0,3,0,0,0,10,8,25,21,36,29,16,0,0,139,0,10,8,8,4,5,0,0,38,0,3,0,3,4,0,0,0,13,0,11,9,9,5,5,0,0,40,0,7,11,16,7,10,0,0,46,5,24,37,19,17,6,0,0,99,9,13,19,12,9,0,0,0,62,0,3,4,0,5,0,0,0,7,9,8,10,10,3,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,42,163,95,71,36,29,4,0,433,71,278,224,194
LGA51750,158,199,116,76,48,17,777,31,96,97,120,102,88,54,32,612,13,47,34,33,22,16,22,12,209,9,15,10,10,13,7,8,0,76,0,0,0,0,0,0,0,0,3,4,3,9,14,4,12,11,3,65,53,47,34,41,34,32,48,37,317,256,583,588,707,587,510,388,204,3818,42,92,51,66,64,49,46,16,429,4,18,25,29,20,0,6,0,107,26,116,115,140,88,95,56,30,658,16,67,37,46,43,28,18,7,264,3,10,13,18,20,13,7,9,84,59,176,172,172,203,196,136,77,1187,10,38,74,97,110,132,112,37,610,117,220,294,399,255,180,124,42,1633,59,170,141,197,170,160,105,44,1053,38,83,59,44,25,20,26,10,313,12,23,15,20,16,11,5,5,122,0,0,0,0,0,6,0,0,7,8,10,18,21,7,14,15,3,100,94,102,66,81,64,61,81,66,621,491,1137,1091,1334
LGA51820,1945,1364,883,425,121,36,6813,413,1103,1168,866,697,326,67,11,4655,195,376,328,206,119,61,19,9,1302,306,633,509,432,246,161,30,9,2333,18,8,4,4,8,9,0,0,51,40,64,84,70,38,23,7,0,328,327,498,443,359,313,306,287,251,2783,2745,7540,7591,5561,3819,2074,811,399,30539,179,532,589,398,274,134,47,6,2155,154,395,641,296,118,43,10,0,1655,670,2483,2721,2243,1834,1178,473,111,11712,216,778,685,511,409,281,135,29,3049,75,218,256,206,133,90,36,0,1019,555,1981,1629,1153,784,445,144,47,6731,316,1009,1078,1031,762,440,163,32,4830,803,2386,3066,2237,1457,776,207,52,10988,657,1579,1560,1189,933,462,114,25,6512,344,595,525,311,177,109,33,11,2095,392,863,793,648,376,235,63,19,3386,32,17,13,10,10,11,3,0,101,63,167,198,174,97,65,21,0,790,685,1180,1159,904,694,620,539,398,6177,5146,14168,14918,11310
LGA51860,5,0,0,0,0,0,20,0,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,6,12,7,3,0,55,22,21,27,15,28,7,3,0,127,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,3,6,10,11,5,0,0,27,0,0,3,0,3,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,10,6,9,0,0,0,28,3,8,9,4,4,0,0,0,32,0,5,9,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,13,19,14,18,14,8,0,113,30,38,59,33
LGA51890,75,70,38,27,5,4,318,32,51,55,59,67,24,5,0,290,3,8,9,8,4,5,3,0,39,22,35,30,30,22,7,0,0,145,5,0,0,0,0,0,0,0,3,0,4,0,4,3,0,5,0,16,53,42,53,44,45,55,44,37,363,190,311,326,323,288,218,98,44,1795,0,3,7,8,4,7,0,0,36,13,4,10,5,5,0,0,0,32,82,165,181,186,190,152,59,9,1023,10,37,28,17,37,17,13,3,159,10,20,16,13,15,7,0,0,90,18,36,30,44,68,68,32,6,306,20,48,67,64,59,38,9,4,308,47,87,89,88,48,38,13,5,404,33,56,68,68,74,27,7,0,326,4,10,10,9,4,5,3,0,47,20,37,41,53,39,16,8,0,216,5,0,0,0,0,0,0,0,6,4,5,5,12,11,6,7,0,47,106,103,102,94,110,118,91,60,782,361,624,653,657
LGA51960,27,18,12,9,0,0,99,6,9,12,5,9,4,0,0,47,0,0,5,0,0,0,0,0,6,9,11,10,8,4,0,0,0,42,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,8,64,46,63,48,41,31,13,0,315,109,123,160,118,100,55,20,3,679,0,6,4,8,4,0,4,0,26,0,0,3,5,0,0,0,0,9,20,78,56,77,62,27,7,4,323,0,8,4,4,8,3,0,0,29,0,4,4,4,3,3,0,0,22,4,11,12,18,20,4,4,0,64,3,15,22,17,17,6,0,0,81,21,21,27,26,25,9,0,0,124,10,10,15,11,15,6,0,0,71,0,0,3,0,0,3,0,0,10,11,17,15,16,10,8,0,0,73,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,17,115,130,139,141,116,67,30,5,743,188,317,311,321
LGA52030,4,10,7,12,0,0,42,3,5,8,0,0,3,0,0,20,0,0,3,0,0,0,0,0,3,0,3,0,4,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,6,11,11,11,4,6,59,11,35,33,34,37,48,27,6,225,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,17,9,14,36,30,13,0,116,3,3,0,0,3,4,4,0,19,0,0,4,8,8,6,3,0,29,0,0,3,0,0,3,3,0,19,0,9,0,6,8,14,11,0,54,0,15,3,10,9,17,0,0,55,0,5,5,0,0,3,0,0,29,0,0,0,0,0,0,0,0,6,0,3,0,4,3,4,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,18,9,20,27,26,13,8,130,27,73,49,64
LGA52100,16,5,8,5,5,0,45,0,3,5,0,5,6,0,0,28,0,3,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,3,4,0,4,3,4,5,9,40,10,40,42,36,38,30,15,8,230,0,4,0,4,0,0,0,0,14,0,0,0,0,0,0,0,0,0,9,17,16,12,4,10,0,0,73,0,5,0,4,5,0,0,0,9,7,6,10,3,6,5,3,0,39,0,0,9,6,12,3,5,0,44,3,8,5,0,11,12,3,0,40,9,5,24,11,6,6,5,0,58,0,11,8,6,5,6,5,0,30,0,3,3,0,0,0,0,0,4,0,5,3,0,4,3,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,5,8,0,9,10,14,8,11,63,28,73,85,66
LGA52170,106,140,89,57,31,11,535,24,77,72,102,83,65,30,10,461,14,35,30,37,26,11,16,0,166,3,4,11,3,15,5,0,0,44,0,0,0,0,0,0,0,0,3,3,4,5,8,7,7,5,0,38,16,32,21,17,27,18,32,28,193,148,436,395,529,483,376,206,90,2650,23,57,45,45,46,47,24,9,294,0,4,3,5,14,10,4,0,44,19,80,69,83,84,80,42,15,471,7,38,34,38,32,33,9,8,183,0,15,15,15,18,11,8,3,88,35,172,126,165,176,123,70,27,890,15,32,31,53,103,117,58,17,430,58,170,211,310,230,140,73,14,1211,43,105,115,168,139,131,63,16,776,17,47,49,48,42,22,17,0,243,3,9,18,13,17,5,0,5,72,0,4,0,0,0,0,0,0,4,6,3,8,14,12,12,5,0,68,33,68,55,35,63,40,51,55,398,262,817,772,993
LGA52240,13,6,0,6,0,0,36,6,4,7,7,0,6,0,0,30,0,0,0,0,0,0,0,0,3,0,0,7,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,4,12,6,16,8,7,4,62,20,33,55,45,40,23,16,4,242,0,0,0,4,5,0,0,0,8,0,0,0,0,0,0,0,0,3,6,9,4,10,11,14,0,0,57,3,0,0,0,3,0,0,0,15,4,19,22,18,23,10,0,0,93,6,4,4,3,3,5,4,0,31,8,3,5,3,8,4,0,0,33,4,7,20,6,3,4,0,0,48,3,4,7,11,0,4,0,0,33,0,0,0,0,0,0,0,0,3,0,10,7,3,0,3,3,0,24,0,0,0,0,4,0,0,0,3,0,0,0,0,0,4,0,0,7,11,7,20,14,26,21,11,5,118,42,71,87,87
LGA52310,7,0,4,6,0,0,28,0,3,4,5,7,4,0,0,29,4,0,0,4,0,0,0,0,13,3,3,5,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,7,10,3,9,0,46,23,27,21,38,42,29,12,3,197,0,0,0,0,4,3,0,0,5,0,0,0,0,0,0,0,0,3,9,7,4,14,21,13,5,0,69,0,6,0,6,0,4,0,0,14,5,9,6,7,8,5,6,0,45,0,4,3,5,11,4,0,0,36,0,3,0,11,8,3,0,3,28,4,9,7,5,10,10,4,0,46,0,3,4,5,11,10,0,0,35,4,0,0,4,0,0,0,0,12,3,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,17,14,14,15,5,92,38,48,46,77
LGA52380,0,3,0,0,0,0,6,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,6,0,0,9,5,4,5,5,6,12,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,8,4,6,0,0,28,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,11,0,4,0,0,5,0,0,0,5,3,0,4,0,6,7,0,0,18,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,6,3,10,3,0,35,13,26,11,27
