LGA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA51750,2392,2710,5102,256,299,561,53,82,136,48,65,121,44,39,80,15,11,24,1590,1679,3265,0,6,13,12,14,19,14,7,17,0,0,0,1780,1907,3680,402,476,879,27,27,51,2461,2711,5167,292,299,587,5143,5717,10859
LGA51820,30125,31052,61172,2510,2729,5237,421,438,856,393,384,780,320,334,656,132,123,256,14628,15636,30261,52,52,99,104,112,213,60,53,114,3,0,6,16112,17138,33253,2038,2505,4542,443,380,821,21102,22749,43853,2841,2348,5183,54059,56149,110210
LGA51860,181,162,346,3,7,11,0,0,4,0,0,0,4,5,9,0,0,0,36,34,69,0,0,0,4,3,4,4,5,6,0,0,0,48,48,95,8,0,7,0,0,0,59,56,111,49,52,101,281,271,557
LGA51890,2652,2511,5161,544,600,1151,11,17,34,0,10,12,17,14,36,5,0,8,495,542,1039,6,8,17,16,12,23,0,0,0,0,0,0,564,604,1160,34,37,73,40,32,68,1177,1273,2446,378,352,725,4204,4135,8336
LGA51960,742,602,1340,143,164,302,13,13,23,22,18,44,33,30,64,14,19,31,289,264,554,3,7,16,9,3,9,0,0,0,0,0,0,390,349,734,29,27,58,9,9,18,571,548,1118,438,339,778,1751,1489,3242
LGA52030,335,274,604,34,26,64,0,0,0,0,0,0,0,0,0,0,0,0,85,91,177,0,0,0,0,0,0,0,0,0,0,0,0,86,96,181,4,0,0,4,0,3,133,128,256,77,58,135,542,455,996
LGA52100,314,284,602,49,48,99,0,0,0,0,0,0,0,0,4,0,0,0,65,76,142,0,0,0,0,0,0,0,0,0,0,0,0,67,82,149,8,13,17,0,3,6,126,148,271,33,35,72,480,465,946
LGA52170,1971,2062,4034,299,304,608,81,75,156,55,59,113,26,27,50,8,11,18,831,863,1689,0,4,7,4,0,6,4,4,9,0,0,0,1012,1040,2051,256,269,526,18,15,30,1580,1628,3212,189,174,363,3751,3866,7615
LGA52240,327,281,611,47,42,89,3,0,3,0,0,0,0,0,4,3,0,6,79,100,178,0,0,0,0,0,0,0,0,0,0,0,0,84,104,185,8,11,21,0,3,4,141,157,299,66,61,118,536,501,1034
LGA52310,302,257,561,20,23,34,0,0,0,0,0,0,0,0,0,0,3,0,80,83,159,0,0,0,0,0,0,0,0,0,0,0,0,83,83,166,5,4,16,0,0,0,106,112,216,44,43,83,455,414,868
LGA52380,69,26,90,0,0,10,0,0,0,0,0,4,0,0,3,0,0,0,41,25,69,0,0,0,0,0,0,0,0,0,0,0,0,58,27,80,0,0,0,0,0,0,61,35,88,19,13,32,147,72,216
LGA52450,363,323,689,85,88,169,0,0,0,3,5,5,3,0,4,0,0,0,111,93,197,0,0,0,0,0,0,0,0,0,0,0,0,121,98,217,11,14,29,4,0,3,217,201,418,56,54,107,639,580,1216
LGA52520,370,316,686,85,89,170,0,7,7,0,4,3,4,0,8,0,0,0,74,73,141,0,0,0,0,0,0,0,0,0,0,0,0,78,80,155,30,27,57,0,0,3,191,193,381,111,93,201,672,598,1270
LGA52590,866,756,1614,176,162,335,6,4,10,9,10,18,13,17,29,0,0,4,357,346,706,0,0,0,0,0,9,0,0,0,0,0,0,386,382,769,48,42,86,12,10,17,619,591,1210,217,148,368,1705,1493,3193
LGA52660,4059,4064,8121,468,535,996,34,31,67,36,36,68,40,36,74,8,7,11,1474,1637,3114,4,9,8,23,26,46,0,0,0,0,0,0,1619,1787,3406,108,127,233,51,42,97,2247,2486,4735,497,385,883,6796,6940,13736
LGA52730,1544,1573,3118,372,401,771,16,20,39,24,35,56,20,16,34,8,9,12,579,629,1217,5,4,11,10,8,15,0,0,0,0,0,0,665,719,1385,36,63,102,15,22,35,1090,1203,2302,289,292,584,2930,3076,6003
LGA52800,1634,1572,3200,347,392,744,22,24,43,30,34,65,34,36,71,3,14,16,381,429,811,0,3,6,23,23,43,4,0,4,0,0,0,500,563,1066,59,73,138,23,15,39,933,1054,1980,726,627,1353,3288,3249,6536
LGA52870,1755,1767,3524,257,278,534,13,15,28,3,10,10,11,8,15,6,5,7,565,603,1175,4,6,8,3,6,15,0,0,0,0,0,0,601,657,1262,38,54,88,14,14,30,909,1001,1916,232,180,414,2890,2957,5846
LGA52940,230,221,449,44,36,79,0,0,0,0,0,0,0,0,0,0,0,0,30,42,70,0,0,0,0,0,0,0,0,0,0,0,0,35,42,73,0,0,3,0,0,3,80,77,160,36,25,59,344,325,668
LGA53010,208,190,397,13,13,26,0,0,3,0,3,4,0,0,0,0,0,0,38,37,70,0,0,0,4,0,5,0,0,0,0,0,0,44,37,87,0,6,6,0,0,5,62,60,119,63,53,117,334,298,631
LGA53080,160,134,295,31,27,58,0,0,6,5,4,5,9,3,16,6,8,12,46,42,93,3,0,3,0,6,5,0,0,0,0,0,0,70,60,128,5,13,18,4,4,5,111,100,211,79,57,135,348,297,645
LGA53150,2045,2223,4263,172,217,391,42,50,95,39,54,93,16,16,37,6,7,11,828,944,1771,4,4,8,3,3,11,0,7,7,0,0,0,948,1088,2032,124,142,271,39,56,95,1280,1509,2786,197,197,394,3530,3921,7449
LGA53220,1784,979,2763,372,349,724,74,42,115,65,35,102,155,91,245,44,21,62,1376,885,2258,12,9,21,28,20,48,3,0,7,3,0,3,1755,1105,2863,231,190,413,32,33,65,2393,1674,4067,1784,583,2370,5959,3238,9200
LGA53290,3566,3487,7053,1034,1072,2106,34,37,67,51,45,95,51,51,100,29,21,46,827,891,1718,7,7,12,9,6,16,0,0,0,0,0,0,1010,1055,2067,112,136,252,43,42,83,2205,2305,4513,811,696,1505,6581,6492,13074
LGA53360,671,583,1251,189,189,378,27,32,59,25,19,43,25,25,51,22,14,38,264,272,535,11,0,6,12,3,17,0,0,0,0,3,4,385,369,761,66,100,169,21,9,29,665,671,1336,179,131,310,1514,1385,2896
LGA53430,7347,7833,15176,882,929,1805,188,218,408,200,248,455,111,132,237,39,32,76,3683,4162,7846,16,23,34,32,39,72,14,17,29,3,3,4,4292,4872,9165,843,907,1750,160,159,319,6172,6863,13038,1120,905,2021,14634,15600,30240
LGA53570,1607,1451,3059,164,139,309,18,21,41,13,7,17,10,14,27,13,3,20,517,511,1029,7,4,12,4,3,13,0,0,0,0,0,0,580,567,1148,121,157,276,14,18,31,882,881,1761,294,213,508,2790,2544,5334
LGA53640,351,295,646,71,57,126,0,0,4,0,0,5,0,0,0,5,7,9,83,80,159,0,0,0,0,0,0,0,0,0,0,0,0,92,91,183,19,14,31,9,6,14,185,165,354,54,50,106,592,514,1109
LGA53710,305,307,607,28,29,59,0,0,0,0,0,0,0,0,0,0,0,0,58,57,113,0,0,0,0,0,0,0,0,0,0,0,0,59,58,119,4,0,5,0,0,0,88,90,179,69,54,123,464,449,910
LGA53780,34658,34768,69430,2962,2951,5915,389,371,764,268,256,530,241,217,456,131,140,275,12395,12675,25066,51,68,125,104,100,205,34,43,71,20,22,45,13637,13886,27527,3168,3687,6856,455,312,770,20222,20836,41063,4264,3105,7371,59145,58716,117859
LGA53800,9850,10066,19912,1517,1588,3109,94,97,188,103,128,229,100,116,217,49,49,97,3899,4355,8249,27,29,50,64,76,140,8,17,27,6,4,3,4347,4865,9213,318,367,679,148,130,283,6334,6947,13284,2137,1800,3938,18326,18814,37133
LGA53920,951,1003,1955,162,168,327,13,13,30,10,11,20,25,17,39,0,0,0,155,160,315,3,6,6,30,16,43,0,0,4,0,0,0,233,226,466,23,36,60,8,8,18,427,446,870,239,198,438,1621,1655,3272
LGA53990,7745,7778,15523,1472,1519,2994,54,66,119,58,62,119,79,102,184,30,17,44,2521,2792,5320,13,23,39,42,24,69,9,4,13,0,0,0,2802,3098,5907,326,353,677,106,74,182,4714,5042,9754,889,682,1568,13346,13503,26851
LGA54060,1028,1016,2041,190,217,403,7,6,14,5,12,18,11,4,17,0,4,4,259,299,558,4,4,9,4,5,6,0,0,0,0,0,0,292,340,631,14,21,34,8,3,9,501,581,1081,237,190,424,1768,1782,3549
LGA54130,290,234,525,71,65,143,0,7,7,0,4,5,3,9,6,6,0,9,107,116,222,0,0,0,3,0,3,0,0,0,0,0,0,119,135,250,6,16,26,4,0,4,208,215,421,66,51,119,563,501,1071
LGA54170,47946,49212,97163,3032,3190,6223,478,545,1026,412,443,853,379,397,775,87,76,167,16147,16919,33070,44,50,91,110,130,237,61,57,118,12,12,23,17731,18632,36362,2706,2935,5635,451,370,820,23918,25121,49042,2940,2326,5269,74805,76667,151464
LGA54200,17717,18168,35884,1628,1702,3327,74,82,162,101,107,205,124,127,253,45,38,89,5422,5700,11124,21,23,41,40,47,84,14,9,28,3,6,9,5847,6141,11990,541,697,1241,190,171,359,8201,8715,16919,1433,1208,2640,27352,28090,55441
LGA54280,6510,5852,12362,1273,1265,2535,160,142,302,166,153,320,249,217,466,90,86,170,2977,2843,5819,46,47,93,40,31,77,7,3,4,0,0,0,3734,3527,7261,728,685,1413,179,143,324,5910,5624,11530,1856,1318,3176,14286,12789,27073
LGA54310,3426,2753,6180,1916,1748,3664,123,101,225,130,115,239,268,229,502,65,50,121,2303,2224,4524,7,14,31,111,118,224,8,12,18,7,0,8,3020,2867,5890,313,401,717,131,82,212,5377,5102,10475,2219,1450,3665,11018,9304,20325
LGA54340,1108,1031,2135,221,248,469,3,12,16,3,3,8,0,6,10,3,6,9,255,280,533,0,0,0,0,0,4,0,0,0,0,0,0,273,311,584,100,51,147,5,6,14,597,617,1213,233,196,429,1940,1841,3780
LGA54410,348,353,697,29,31,61,0,3,4,0,0,4,0,0,0,3,0,3,68,63,133,0,0,0,0,0,0,0,0,0,0,0,0,78,68,147,11,5,18,0,3,5,113,109,224,97,74,173,553,531,1087
LGA54480,158,126,284,26,12,34,5,0,3,0,0,0,0,0,0,0,0,5,32,24,62,0,0,0,0,0,0,0,0,0,0,0,0,37,29,65,9,3,10,0,0,0,67,49,111,33,22,53,252,197,447
LGA54550,580,554,1134,123,109,227,0,9,6,3,0,3,7,3,9,0,0,0,94,98,196,0,0,0,0,0,0,0,0,0,0,0,0,102,109,211,28,25,46,0,4,8,252,244,489,89,78,168,917,875,1791
LGA54620,242,206,448,43,38,83,0,0,3,3,0,3,5,0,10,0,0,0,63,59,116,0,0,0,0,0,0,0,0,0,0,0,0,73,62,130,14,10,21,3,0,7,130,110,240,62,51,109,432,367,795
LGA54690,140,109,247,15,17,33,0,0,0,0,0,0,0,0,0,0,0,0,26,25,50,0,0,0,0,0,0,0,0,0,0,0,0,26,25,50,5,0,3,0,0,0,48,41,88,13,4,13,197,151,348
LGA54760,254,222,476,22,20,43,0,0,4,0,0,3,0,0,0,0,0,0,37,46,84,0,0,3,0,0,0,0,0,0,0,0,0,41,54,101,7,0,9,0,0,3,79,80,155,48,40,90,379,343,719
LGA54830,10978,10646,21624,1009,1135,2153,148,148,293,95,130,220,131,126,257,58,54,114,5564,6025,11586,31,39,72,68,53,112,7,10,16,0,5,3,6101,6579,12675,763,976,1739,179,167,346,8055,8859,16913,2516,1000,3519,21546,20511,42053
LGA54900,390,334,730,78,64,142,5,0,5,0,0,0,0,0,0,3,4,6,79,70,154,0,0,0,0,0,0,0,0,0,0,0,0,87,74,163,18,16,35,4,0,4,188,161,347,49,36,87,629,534,1163
LGA54970,278,132,409,41,50,96,14,0,17,7,4,7,11,4,14,5,5,8,138,77,217,0,0,0,0,0,5,0,0,0,0,0,0,173,94,269,14,17,32,4,0,4,243,159,402,372,106,476,892,398,1290
LGA55040,243,183,421,28,44,66,13,12,29,4,5,11,15,8,24,6,5,8,216,138,353,0,0,0,8,0,12,0,0,0,0,0,0,258,165,426,31,23,57,11,0,10,316,240,558,377,138,516,938,555,1490
LGA55110,21593,23103,44697,3056,3446,6506,397,394,790,304,368,677,393,459,853,107,127,235,10453,12058,22511,99,115,208,110,117,226,23,35,59,0,12,18,11892,13675,25570,1038,1245,2274,377,444,818,16359,18808,35169,3019,2646,5664,40976,44557,85536
LGA55180,2674,2555,5231,484,539,1019,17,15,36,15,10,26,20,19,33,4,6,11,614,674,1292,4,8,14,0,4,7,0,0,0,0,0,0,686,733,1417,104,90,194,21,27,49,1291,1391,2682,392,366,760,4353,4313,8666
LGA55250,240,158,396,34,35,65,3,6,13,8,4,10,8,0,8,4,6,5,141,96,233,0,0,0,0,3,7,0,0,0,0,0,0,160,117,282,36,19,55,9,0,8,237,173,410,196,122,321,674,454,1128
LGA55320,27382,29886,57263,2516,2684,5198,343,377,719,313,373,687,206,252,463,88,89,174,11508,12833,24349,32,37,71,76,70,147,48,33,84,3,3,3,12636,14058,26692,2376,2621,4997,270,293,569,17803,19657,37456,1934,1900,3837,47115,51443,98556
LGA55390,134,54,191,8,15,24,0,0,4,3,0,5,11,3,13,8,0,10,70,23,93,0,0,0,0,0,0,0,0,0,0,0,0,97,36,128,12,3,20,0,0,4,124,47,170,136,19,158,392,125,519
LGA55460,838,779,1619,198,196,396,5,4,8,0,4,9,0,7,4,0,0,0,243,236,480,0,0,0,0,0,0,0,0,0,0,0,0,253,250,506,21,19,35,6,0,10,475,472,947,201,173,366,1509,1422,2936
LGA55530,122,89,209,21,14,35,0,0,0,0,0,0,4,0,4,0,0,0,24,25,44,3,0,4,0,0,0,0,0,0,0,0,0,24,28,54,0,0,0,0,0,0,45,44,89,39,30,72,213,158,372
LGA55600,668,608,1277,118,141,257,3,3,6,6,5,8,9,6,6,0,0,0,138,160,291,0,0,0,0,0,0,0,0,0,0,0,0,148,174,322,15,18,35,11,9,17,285,337,629,138,138,274,1096,1079,2171
LGA55670,171,159,328,34,28,63,0,0,0,0,0,0,5,0,4,3,4,3,32,40,71,0,0,0,0,0,0,0,0,0,0,0,0,39,48,82,0,0,4,0,0,0,72,82,152,68,71,136,310,307,618
LGA55740,2127,2379,4506,370,427,804,62,60,125,56,70,127,27,32,59,8,12,25,839,956,1796,13,4,11,8,11,18,18,9,28,0,0,0,1034,1157,2190,328,405,728,19,20,40,1749,2001,3757,266,236,505,4143,4622,8767
LGA55810,100,69,169,10,22,32,0,0,0,0,0,6,7,3,9,0,0,0,38,33,75,0,0,0,0,0,4,3,0,5,0,0,0,48,44,92,7,3,11,6,0,3,68,67,139,178,127,311,349,265,610
LGA55880,150,124,279,23,19,44,0,0,0,0,0,0,0,0,3,0,0,0,28,28,51,0,0,0,0,0,0,0,0,0,0,0,0,30,28,57,0,0,0,0,5,7,50,54,105,22,21,43,226,200,425
LGA55950,165,131,297,44,41,83,0,0,0,0,0,0,0,0,0,0,0,0,31,30,61,0,0,0,5,0,8,0,0,0,0,0,0,34,35,69,3,3,6,0,0,0,76,74,155,45,39,84,289,247,538
LGA56090,11497,11782,23282,762,805,1567,88,86,178,60,66,122,69,73,139,21,22,47,3612,3873,7486,19,31,45,30,18,53,8,12,18,0,4,7,3909,4180,8089,245,273,519,86,89,172,4995,5354,10343,2858,806,3667,19358,17934,37297
LGA56160,26,22,50,0,0,6,0,0,0,0,8,8,0,0,0,0,0,0,9,12,20,0,0,0,0,0,0,0,0,0,0,0,0,14,13,29,0,0,0,0,0,0,17,19,38,3,6,12,47,47,92
LGA56230,4716,4774,9489,587,640,1230,54,48,110,28,32,63,45,59,103,8,14,26,2062,2209,4272,12,16,27,17,16,34,6,8,10,0,0,0,2233,2404,4639,86,92,179,63,55,123,2971,3202,6177,804,678,1476,8489,8654,17140
LGA56300,442,399,840,33,37,68,3,0,5,5,8,13,6,3,10,0,0,0,155,157,310,3,4,6,0,0,0,0,0,0,0,0,0,172,174,344,16,10,20,8,0,7,225,223,444,102,107,208,764,725,1493
LGA56370,232,209,436,37,35,72,0,0,4,9,6,8,0,6,10,5,4,3,41,37,78,0,0,0,0,0,0,0,0,0,0,0,0,50,47,101,4,0,4,0,0,0,91,86,176,74,54,127,390,345,736
LGA56460,1233,1272,2503,264,277,543,6,8,12,16,16,26,5,3,12,0,0,0,365,395,756,0,0,0,0,0,5,0,0,0,0,0,0,389,429,822,71,69,140,9,11,21,739,790,1527,274,238,517,2251,2302,4552
LGA56580,5877,6191,12068,831,781,1620,133,130,257,84,95,180,100,117,217,21,29,49,2284,2228,4516,10,7,17,19,22,43,20,15,30,0,0,0,2664,2649,5318,677,653,1327,41,44,85,4218,4129,8347,341,389,726,10433,10700,21134
LGA56620,476,509,982,31,40,72,6,11,17,0,3,6,5,9,16,8,10,12,28,23,52,0,0,0,4,4,12,0,0,0,0,0,0,52,64,110,4,0,4,0,3,8,92,101,195,45,50,100,617,659,1279
LGA56730,2890,2989,5883,571,622,1190,16,16,27,24,24,53,34,28,65,10,12,23,877,969,1842,6,0,6,9,3,16,0,0,3,0,0,0,974,1066,2043,54,65,121,25,28,51,1628,1780,3404,927,557,1487,5444,5327,10770
